"","Table 1#1#9# Implicit Price Deflators for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253"
"24","16","    Goods","A253RD3",24.712,27.046,28.729,29.549,29.684,29.442,28.975,28.397,27.779,27.14,26.617,26.266,25.782,25.828,26.095,26.64,28.448,29.595,30.508,30.994,30.048,29.835,29.676,29.553,29.654,29.559,29.443,29.312,29.171,29.078,29.027,29.021,29.102,29.237,29.402,29.626,29.924,30.26,30.614,30.955,31.316,31.495,31.533,31.464,31.152,31.035,31.059,31.18,31.433,31.263,31.302,31.634,31.604,31.559,31.717,31.594,31.869,32.358,32.204,32.46,32.329,31.875,31.83,31.858,31.996,31.925,31.791,31.772,31.939,31.817,32.079,32.474,33.355,33.224,33.228,33.021,33.715,33.998,34.452,35.153,35.935,35.769,35.619,35.759,35.931,36.839,36.158,36.376,36.993,36.88,37.395,38.439,38.677,39.507,39.17,39.204,40.387,40.332,39.899,40.153,40.706,40.993,41.056,42.175,43.83,46.049,49.132,52.099,56.167,58.345,62.132,65.873,67.969,67.403,66.863,67.165,68.03,68.775,69.071,70.374,71.217,72.201,71.454,71.476,72.875,74.774,75.922,78.805,81.572,85.219,87.145,88.475,90.96,91.969,94.736,98.209,100.66,100.73,100.483,100.468,100.848,100.192,98.779,97.73,97.815,98.181,98.729,100.04,100.507,101.034,99.391,97.504,95.968,95.307,93.854,93.232,92.21,91.513,90.679,91.569,91.922,93.574,93.779,95.843,97.207,99.822,101.424,100.971,101.95,101.867,100.865,100.168,99.718,99.841,100.255,101.124,101.245,100.614,99.377,99.368,98.953,98.789,98.393,97.997,98.03,98.141,97.965,97.753,98.323,98.675,99.102,99.867,101.199,101.902,101.54,100.844,100.167,99.728,98.471,96.795,96.565,96.304,95.965,95.299,94.18,93.456,92.444,91.908,91.583,91.505,91.665,92.151,92.446,92.934,93.024,93.159,93.118,92.687,92.116,91.23,90.991,91.38,92.163,92.326,93.137,93.382,93.289,94.236,95.524,96.848,97.153,98.12,99.135,99.769,100.184,100.863,101.527,102.899,104.288,104.526,105.334,106.421,107.197,108.949,111.126,114.337,115.907,107.72,103.492,104.111
"25","17","    Services","A646RD3",16.218,15.509,15.145,15.021,15.142,15.235,15.359,15.471,15.536,15.623,15.675,15.731,15.684,15.752,15.819,15.904,16.153,16.414,16.753,17.094,17.188,17.493,17.749,17.941,18.046,18.13,18.129,18.071,18.001,17.909,17.855,17.846,17.913,17.958,18.001,18.052,17.986,18.09,18.257,18.513,18.98,19.31,19.534,19.599,19.42,19.306,19.172,19.028,18.203,18.582,19.104,19.301,19.442,19.394,19.467,19.451,19.297,19.437,19.584,19.699,20.086,20.161,20.196,20.256,20.122,20.133,20.195,20.324,20.182,20.395,20.544,20.673,20.868,20.841,20.921,21.013,21.053,21.221,21.365,21.529,21.604,21.787,21.97,22.197,22.512,22.678,22.804,23.022,23.239,23.569,23.876,24.098,23.612,23.96,24.375,24.671,25.307,25.627,25.953,26.118,27.948,28.233,28.502,28.755,28.555,29.27,30.106,30.701,32.032,32.696,33.544,34.097,34.548,35.121,35.664,36.084,36.802,37.189,37.627,38.186,38.586,39.3,39.832,40.568,41.273,42.076,42.878,43.483,43.893,45.044,46.288,47.788,49.524,50.81,51.918,53.11,54.451,55.452,56.317,57.15,57.894,58.938,59.824,60.349,61.2,61.425,61.799,61.795,61.292,61.925,62.423,63.289,63.432,63.704,63.887,64.683,65.325,65.687,66.274,66.689,67.01,67.375,67.826,68.111,68.468,68.827,69.033,69.398,70.101,70.663,70.908,71.419,72.565,73.046,74.795,77.105,77.76,77.577,78.278,78.838,79.307,79.873,80.594,80.756,80.811,81.17,81.19,81.39,81.5,81.849,82.449,82.729,83.15,84.026,84.083,84.188,85.078,85.033,85.592,86.202,85.938,86.378,86.368,86.645,86.168,86.297,86.245,86.425,86.634,87.272,87.54,87.791,89.015,89.707,90.423,90.533,90.581,90.218,90.018,89.285,89.216,90.138,90.595,90.824,91.891,91.996,92.938,93.228,94.192,95.019,95.893,97.216,98.419,99.263,100.666,101.615,102.485,103.603,104.582,104.154,105.289,106.587,107.676,109.401,111.032,112.678,114.82,111.235,108.925,108.002
"26","18","  Imports","A021RD3",14.737,15.774,16.615,17.172,17.558,17.611,17.438,17.163,16.785,16.607,16.522,16.561,16.836,17.177,17.735,18.588,20.191,21.322,21.962,22.047,21.122,20.766,20.399,20.061,19.879,19.679,19.586,19.589,19.815,19.907,20.032,20.046,19.796,19.809,19.85,19.913,19.972,20.127,20.248,20.437,20.523,20.537,20.415,20.214,19.736,19.53,19.499,19.547,19.58,19.679,19.776,19.969,19.91,19.903,20.003,19.95,19.97,19.949,19.929,19.92,19.691,19.722,19.653,19.755,19.934,20.021,20.139,20.251,20.432,20.536,20.507,20.568,20.733,20.644,20.787,21.007,21.107,21.33,21.275,21.402,21.397,21.345,21.351,21.364,21.505,21.666,21.709,21.862,21.95,22.045,22.204,22.777,23.02,23.286,23.858,24.101,24.71,24.795,25.097,25.465,25.889,26.559,26.995,27.609,28.445,30.699,32.161,34.56,39.996,44.549,46.823,48.334,49.135,49.285,48.191,48.251,49.007,49.738,50.624,51.15,52.968,54.449,55.177,55.741,56.666,58.031,58.99,60.019,62.358,65.604,70.514,75.217,81.552,84.549,86.929,88.412,90.606,91.103,88.7,88.884,88.636,87.092,86.059,85.398,83.597,83.598,83.76,83.236,83.5,83.969,82.473,81.45,79.476,79.809,79.738,81.307,81.484,78.968,79.512,80.483,82.533,84.68,85.541,86.884,88.136,89.717,88.732,89.452,90.874,91.871,90.302,90.78,92.199,90.584,93.22,98.401,95.388,92.756,91.356,91.768,92.183,92.536,93.712,92.964,92.418,92.744,91.918,91.537,91.467,92.318,93.867,94.233,95.034,96.415,95.82,94.962,94.757,94.268,93.32,93.288,92.584,90.662,90.067,89.354,87.147,86.078,84.954,84.895,84.64,85.636,86.666,87.891,89.524,89.517,90.15,90.619,90.189,88.463,87.075,85.135,84.971,86.811,87.345,87.903,90.411,89.119,89.547,90.103,92.092,93.37,94.333,96.602,97.426,98.795,100.834,102.814,103.228,104.315,105.12,103.893,104.722,106.342,107.938,113.072,117.19,122.999,125.116,112.647,103.669,104.767
"27","19","    Goods","A255RD3",14.436,15.823,16.933,17.661,18.011,18.049,17.816,17.474,17.069,16.868,16.766,16.82,17.234,17.66,18.354,19.41,21.414,22.907,23.807,23.981,22.448,22.024,21.585,21.205,21.022,20.826,20.771,20.832,21.093,21.241,21.443,21.472,21.18,21.212,21.269,21.34,21.408,21.595,21.719,21.968,22,22.016,21.855,21.591,20.962,20.675,20.621,20.647,20.573,20.767,20.929,21.21,21.144,21.104,21.135,20.986,20.954,20.883,20.877,20.865,20.518,20.475,20.309,20.282,20.411,20.498,20.641,20.765,21.078,21.194,21.112,21.161,21.234,21.055,21.214,21.449,21.471,21.791,21.71,21.892,21.812,21.729,21.729,21.735,21.883,22.048,22.026,22.206,22.336,22.421,22.549,23.31,23.581,23.821,24.556,24.842,25.287,25.222,25.493,25.782,26.418,27.223,27.652,28.246,29.13,31.498,32.934,35.718,42.281,47.871,50.639,52.334,53.264,53.239,51.625,51.478,52.433,53.359,54.302,54.8,56.942,58.64,59.359,59.821,60.848,62.303,63.082,64.144,66.844,70.538,76.215,81.635,88.901,92.48,95.054,96.828,99.583,100.113,96.874,96.816,96.397,94.635,93.619,92.812,90.493,90.517,90.702,90.026,90.274,90.887,89.531,88.596,86.251,86.22,85.546,87.019,86.457,82.99,83.438,84.598,87.558,90.143,90.985,92.553,93.65,95.489,94.314,95.152,97.24,98.591,96.524,96.857,98.169,95.722,98.454,104.203,100.24,97.425,95.513,95.891,96.195,96.46,97.346,96.712,96.059,96.258,95.367,94.792,94.671,95.688,97.185,97.477,98.694,99.805,99.001,97.981,97.622,96.91,95.614,95.414,94.663,92.306,91.761,90.986,88.702,87.242,85.85,85.527,85.236,86.171,87.239,88.662,90.56,90.655,91.333,91.911,91.334,89.349,87.611,85.411,85.15,87.028,87.37,88.057,90.705,88.606,88.984,89.635,91.79,93.1,93.983,96.418,97.243,98.63,100.803,103.172,103.375,104.409,105.237,103.787,104.662,106.237,107.81,113.498,118.052,124.124,126.238,112.473,102.293,103.67
"28","20","    Services","A656RD3",15.826,15.725,15.716,15.793,16.269,16.367,16.375,16.279,15.991,15.874,15.815,15.8,15.653,15.767,15.951,16.192,16.654,16.841,16.933,16.913,17.208,17.018,16.808,16.564,16.395,16.204,16.06,15.974,16.118,16.11,16.106,16.093,15.931,15.915,15.925,15.967,16.009,16.103,16.205,16.287,16.45,16.459,16.411,16.329,16.128,16.051,16.034,16.092,16.303,16.26,16.257,16.285,16.236,16.28,16.483,16.584,16.688,16.746,16.707,16.7,16.68,16.83,16.934,17.254,17.511,17.592,17.657,17.736,17.663,17.735,17.805,17.888,18.221,18.321,18.422,18.593,18.853,18.855,18.855,18.857,19.011,19.026,19.045,19.07,19.185,19.327,19.52,19.596,19.583,19.693,19.92,20.004,20.168,20.475,20.634,20.756,21.71,22.163,22.526,23.08,22.912,23.177,23.608,24.248,24.896,26.686,28.158,29.212,30.838,32.017,32.694,33.615,34.052,34.694,35.14,35.816,35.934,36.023,36.694,37.297,37.97,38.678,39.414,40.313,40.861,41.882,43.438,44.322,45.342,46.962,49.113,51.244,54.22,55.169,56.847,57.348,57.656,58.01,58.346,59.267,59.533,58.719,57.709,57.541,57.395,57.351,57.443,57.422,57.698,57.684,55.866,54.682,53.991,55.392,57.176,58.957,61.43,62.13,62.956,63.242,62.241,62.906,63.774,64.337,65.99,66.684,66.351,66.671,65.935,65.774,65.836,66.726,68.376,69.382,71.572,74.742,74.777,72.882,73.151,73.655,74.416,75.049,77.192,76.061,75.911,76.693,76.138,76.499,76.634,76.828,78.555,79.22,78.241,80.741,81.053,80.901,81.376,81.866,82.469,83.193,82.707,82.788,81.958,81.533,79.681,80.439,80.576,81.761,81.701,83.01,83.861,84.103,84.406,83.892,84.303,84.235,84.562,84.109,84.416,83.776,84.107,85.761,87.271,87.17,88.957,91.83,92.495,92.55,93.678,94.786,96.161,97.564,98.392,99.669,101.001,100.902,102.443,103.813,104.498,104.443,105.022,106.874,108.597,110.887,112.794,117.284,119.426,113.252,109.668,109.587
"29","21","Government consumption expenditures and gross investment","A822RD3",8.905,8.923,8.783,8.883,9.031,9.11,9.317,9.389,9.569,9.501,9.384,9.474,9.416,9.367,9.511,9.645,10.103,10.022,10.097,10.225,10.116,10.264,10.386,10.5,10.425,10.444,10.396,10.445,10.512,10.61,10.697,10.783,10.849,11.038,11.176,11.309,11.503,11.684,11.803,11.862,12.089,12.2,12.282,12.355,12.44,12.565,12.666,12.722,12.705,12.668,12.604,12.628,12.677,12.723,12.858,12.965,12.974,13.044,13.071,13.159,13.298,13.347,13.406,13.527,13.608,13.651,13.636,13.854,13.944,14.005,14.146,14.174,14.267,14.33,14.473,14.68,14.784,14.909,15.175,15.279,15.383,15.556,15.74,15.99,16.185,16.384,16.614,16.884,17.024,17.32,17.727,17.997,18.489,18.795,19.109,19.38,19.924,20.294,20.576,20.881,21.579,21.796,22.065,22.51,22.964,23.383,23.779,24.246,24.788,25.492,26.363,27.236,27.804,28.308,28.787,29.407,29.821,30.235,30.608,31.206,31.826,32.319,32.692,33.467,33.89,34.363,34.859,35.509,36.215,36.94,37.99,39.103,40.042,41.086,42.014,43.536,44.62,45.421,45.96,47.032,47.771,48.456,49.044,49.767,50.091,50.524,50.958,51.252,52.631,53.141,53.567,53.871,54.561,54.799,54.98,55.497,55.577,55.727,56.032,56.519,56.995,57.34,57.794,57.99,58.491,58.972,59.23,59.556,60.312,60.739,61.115,61.473,62.37,62.965,63.609,64.624,65.12,65.323,65.793,66.152,66.61,67.138,67.551,67.761,68.301,68.762,69.164,69.524,70.055,70.609,70.999,71.555,72.143,72.517,72.809,73.505,74.328,74.133,74.49,74.95,75.537,75.664,75.86,76.352,76.434,76.63,77.01,77.423,78.177,78.982,79.711,80.438,81.57,81.983,82.863,83.624,84.266,84.653,84.976,85.144,86.057,86.64,87.145,88.141,90.118,90.358,90.842,91.271,92.766,93.889,95.04,96.423,98.164,99.244,100.681,101.895,103.231,104.644,105.435,106.051,107.88,109.118,109.841,111.325,113.029,114.765,115.957,114.229,113.919,114.088
"30","22","  Federal","A823RD3",10.406,10.339,9.956,9.941,9.982,9.993,10.133,10.155,10.554,10.542,10.336,10.56,10.523,10.372,10.415,10.436,11.031,10.789,10.815,10.953,10.778,10.946,11.037,11.213,11.055,11.099,11.028,11.113,11.231,11.263,11.371,11.475,11.631,11.922,12.04,12.182,12.352,12.562,12.639,12.662,12.973,13.049,13.154,13.291,13.462,13.61,13.738,13.802,13.67,13.588,13.472,13.499,13.495,13.532,13.739,13.9,13.865,13.899,13.877,13.955,14.075,14.119,14.209,14.367,14.429,14.449,14.397,14.717,14.835,14.894,15.11,15.111,15.164,15.214,15.385,15.693,15.714,15.732,16.063,16.092,16.07,16.261,16.427,16.749,16.902,17.112,17.429,17.674,17.704,17.966,18.493,18.719,19.32,19.545,19.853,20.054,20.787,21.208,21.524,21.995,23.09,23.275,23.451,24.04,24.43,24.805,25.286,25.792,26.167,26.724,27.602,28.685,29.325,29.74,30.309,31.162,31.526,31.895,32.393,33.321,34.041,34.47,34.615,35.755,36.099,36.468,36.962,37.906,38.455,39.041,39.831,41.477,42.233,43.21,43.91,46.13,46.914,47.631,48.152,49.8,50.485,51.111,51.543,52.423,52.722,53.056,53.425,53.531,55.681,56.2,56.615,56.773,57.515,57.496,57.412,57.976,57.832,57.821,57.917,58.041,58.438,58.538,58.72,58.73,59.425,59.883,59.962,60.126,61.147,61.342,61.714,61.661,62.581,63.16,63.601,64.704,65.568,65.688,66.223,66.675,67.486,67.967,68.427,68.359,69.01,69.486,70.157,70.525,70.937,71.771,71.756,72.271,73.126,73.225,73.494,74.907,75.93,75.292,75.586,76.075,76.841,76.923,77.013,77.409,77.684,77.822,78.039,78.172,79.17,79.625,80.079,80.635,82.079,81.836,82.905,83.286,83.659,83.89,84.37,84.862,86.9,87.085,87.121,88.133,90.624,90.863,91.139,91.449,93.992,95.175,95.75,96.402,99.168,99.674,100.416,100.727,103.103,104.19,104.505,104.636,106.8,107.726,107.884,108.564,110.067,111.258,111.778,110.623,111.079,111.251
"31","23","    National defense","A824RD3",10.47,10.467,9.608,9.621,9.8,9.897,10.09,10.154,10.394,10.336,10.224,10.338,10.295,10.156,10.307,10.464,10.848,10.633,10.663,10.816,10.564,10.73,10.814,10.989,10.808,10.851,10.781,10.86,11.019,11.029,11.161,11.268,11.387,11.688,11.857,12.015,12.202,12.408,12.463,12.507,12.837,12.886,12.994,13.11,13.27,13.386,13.539,13.602,13.433,13.362,13.266,13.301,13.284,13.325,13.489,13.66,13.589,13.642,13.607,13.692,13.779,13.833,13.934,14.041,14.154,14.161,14.083,14.441,14.511,14.518,14.727,14.729,14.784,14.86,15.051,15.373,15.34,15.343,15.716,15.709,15.668,15.865,16.042,16.394,16.478,16.677,16.984,17.21,17.238,17.524,18.038,18.252,18.763,18.944,19.277,19.508,20.229,20.627,20.953,21.49,22.831,23.016,23.19,23.837,24.189,24.632,25.218,25.678,26.133,26.605,27.582,28.596,29.147,29.478,30.022,30.846,31.275,31.676,32.191,33.095,33.8,34.215,34.335,35.612,36.085,36.496,37.053,37.973,38.538,39.157,40.02,41.666,42.464,43.562,44.196,46.456,47.174,48.012,48.584,50.309,51.002,51.693,52.136,52.907,53.194,53.605,54.02,54.251,56.97,57.509,57.902,58.011,58.706,58.547,58.489,59.036,58.745,58.56,58.593,58.674,59.126,59.193,59.344,59.277,59.91,60.316,60.396,60.682,61.662,61.783,62.154,61.92,63.024,63.475,64.059,65.113,65.682,65.75,66.424,67.092,68.039,68.549,69.016,68.475,68.958,69.458,70.052,70.397,70.699,71.489,71.566,72,72.664,72.861,73.176,73.982,75.394,75.103,75.399,75.84,76.462,76.445,76.443,76.716,77.098,77.215,77.362,77.625,78.636,79.032,79.387,79.808,81.418,81.361,82.142,82.362,83.036,83.172,83.671,84.036,85.833,86.226,86.453,87.915,90.188,90.463,90.788,91.158,93.446,94.644,95.311,96.154,99.131,99.667,100.395,100.799,103.336,104.498,104.88,104.959,107.078,108.157,108.478,109.374,110.844,112.392,113.05,111.327,111.576,111.712
"32","24","    Nondefense","A825RD3",9.724,9.375,10.665,10.564,10.041,9.782,9.775,9.684,10.482,10.583,10.142,10.623,10.592,10.427,10.141,9.662,11.145,10.723,10.668,10.646,11.115,11.287,11.432,11.589,11.625,11.663,11.601,11.711,11.545,11.72,11.65,11.732,12.097,12.3,12.103,12.135,12.167,12.384,12.597,12.472,12.637,12.887,12.956,13.207,13.433,13.784,13.749,13.839,13.959,13.832,13.632,13.617,13.671,13.682,14.094,14.196,14.347,14.288,14.329,14.374,14.65,14.639,14.67,15.039,14.884,14.955,15.014,15.176,15.475,15.715,15.948,15.944,15.989,15.949,16.052,16.304,16.509,16.576,16.741,16.91,16.968,17.128,17.244,17.416,17.856,18.102,18.451,18.764,18.799,18.952,19.505,19.763,20.695,21.079,21.281,21.368,22.123,22.613,22.892,23.158,23.52,23.703,23.877,24.307,24.791,24.982,25.185,25.806,25.973,26.747,27.365,28.602,29.447,30.062,30.686,31.599,31.805,32.092,32.548,33.52,34.272,34.728,34.926,35.755,35.816,36.087,36.441,37.424,37.934,38.447,39.07,40.706,41.364,42.078,42.906,45.019,45.942,46.386,46.789,48.249,48.912,49.365,49.761,50.908,51.221,51.357,51.628,51.429,51.961,52.477,52.978,53.279,54.141,54.503,54.337,54.945,55.231,55.729,56.016,56.263,56.504,56.707,56.984,57.233,58.13,58.754,58.834,58.604,59.762,60.184,60.565,61.041,61.431,62.361,62.41,63.636,65.31,65.57,65.729,65.628,66.12,66.535,66.976,68.024,69.051,69.467,70.307,70.725,71.381,72.309,72.094,72.786,74.046,73.946,74.121,76.805,77.005,75.642,75.935,76.53,77.59,77.871,78.144,78.782,78.846,79.018,79.379,79.249,80.228,80.798,81.441,82.257,83.385,82.795,84.397,85.08,84.892,85.301,85.747,86.472,88.955,88.757,88.44,88.615,91.511,91.68,91.857,92.049,95.107,96.262,96.648,96.91,99.247,99.694,100.46,100.576,102.628,103.562,103.739,103.981,106.244,106.854,106.672,106.902,108.464,108.917,109.145,109.193,110.08,110.328
"33","25","  State and local","A829RD3",7.23,7.354,7.512,7.754,8.032,8.2,8.497,8.633,8.543,8.408,8.395,8.34,8.263,8.323,8.569,8.821,9.129,9.288,9.46,9.582,9.589,9.704,9.899,9.885,9.989,9.957,9.955,9.936,9.908,10.136,10.193,10.25,10.173,10.212,10.385,10.511,10.75,10.897,11.082,11.194,11.309,11.475,11.525,11.514,11.486,11.587,11.655,11.702,11.833,11.852,11.853,11.873,11.985,12.042,12.096,12.142,12.202,12.317,12.403,12.504,12.67,12.727,12.75,12.828,12.934,13.006,13.034,13.139,13.199,13.263,13.325,13.383,13.517,13.595,13.71,13.819,14.007,14.244,14.444,14.632,14.873,15.029,15.235,15.411,15.655,15.845,15.985,16.285,16.538,16.87,17.165,17.482,17.878,18.26,18.581,18.912,19.302,19.631,19.886,20.061,20.461,20.701,21.039,21.38,21.879,22.327,22.664,23.101,23.754,24.555,25.419,26.148,26.664,27.223,27.641,28.106,28.551,28.99,29.282,29.662,30.214,30.746,31.268,31.798,32.27,32.809,33.303,33.758,34.563,35.375,36.592,37.349,38.404,39.491,40.575,41.607,42.901,43.762,44.314,44.956,45.737,46.467,47.174,47.775,48.12,48.633,49.12,49.564,50.33,50.832,51.268,51.689,52.34,52.788,53.188,53.67,53.931,54.212,54.689,55.475,56.017,56.561,57.241,57.591,57.934,58.434,58.83,59.283,59.839,60.445,60.825,61.499,62.379,62.987,63.785,64.739,64.962,65.227,65.65,65.942,66.15,66.71,67.09,67.496,67.958,68.409,68.633,68.988,69.598,69.978,70.622,71.205,71.63,72.169,72.474,72.749,73.453,73.515,73.909,74.353,74.841,74.992,75.246,75.791,75.769,75.995,76.463,77.022,77.651,78.634,79.503,80.318,81.292,82.034,82.818,83.769,84.545,85.01,85.253,85.256,85.599,86.382,87.13,88.117,89.82,90.06,90.661,91.157,92.056,93.144,94.627,96.434,97.577,98.99,100.837,102.583,103.302,104.91,105.984,106.886,108.52,109.942,111.002,112.969,114.799,116.875,118.492,116.395,115.586,115.754
"34",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  Gross national product","A001RD3",13.364,13.57,13.814,14.154,14.261,14.378,14.648,14.696,14.622,14.472,14.389,14.391,14.357,14.404,14.709,15,15.55,15.653,15.662,15.837,15.826,15.851,16.029,16.074,16.076,16.107,16.17,16.205,16.255,16.266,16.292,16.334,16.414,16.48,16.603,16.768,16.935,17.033,17.252,17.318,17.561,17.68,17.788,17.789,17.984,18.036,18.149,18.235,18.261,18.279,18.331,18.408,18.486,18.544,18.613,18.665,18.707,18.749,18.808,18.874,18.985,19.012,19.058,19.119,19.163,19.2,19.238,19.385,19.443,19.496,19.573,19.669,19.769,19.854,19.927,20.055,20.186,20.358,20.568,20.757,20.852,20.963,21.169,21.403,21.638,21.864,22.08,22.39,22.623,22.914,23.242,23.542,23.877,24.208,24.399,24.712,25.086,25.416,25.673,25.878,26.279,26.435,26.691,27.044,27.365,27.789,28.33,28.893,29.445,30.146,31.038,31.964,32.706,33.193,33.814,34.413,34.789,35.16,35.639,36.284,36.894,37.423,37.881,38.709,39.275,40.001,40.667,41.525,42.267,43.307,44.245,45.136,46.085,47.117,48.194,49.529,50.788,51.747,52.666,53.628,54.356,55.013,55.795,56.401,56.861,57.28,57.864,58.29,59.029,59.535,60.012,60.394,61.062,61.415,61.677,62.078,62.391,62.716,63.071,63.491,64.088,64.458,64.964,65.46,65.997,66.617,67.368,67.883,68.652,69.331,69.79,70.254,71.103,71.926,72.589,73.177,73.962,74.487,75.063,75.498,75.878,76.346,76.7,77.138,77.607,78.039,78.402,78.834,79.247,79.625,80.096,80.51,80.973,81.334,81.717,82.132,82.608,82.925,83.186,83.645,84.184,84.378,84.673,84.982,85.125,85.327,85.653,85.913,86.295,86.6,86.922,87.229,87.922,88.367,88.901,89.369,89.976,90.587,90.873,91.15,91.466,91.875,92.279,92.821,93.492,93.771,94.3,94.795,95.623,96.433,97.128,97.86,98.764,99.437,100.463,101.314,102.076,102.976,103.76,104.217,105.311,106.007,106.444,107.07,107.538,108.076,109.181,109.167,109.678,NA
