"","Table 5U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"52","44","S4 EN7223ZZMA   Special food Services","T050440",4606,4341,4297,4475,4442,4533,4597,4644,4615,4724,4816,4691,4595,4906,4826,4836,4856,4871,4948,5150,5351,5162,5442,5442,5566,5718,5779,6056,6074,6265,6440,6730,7093,7118,7438,7203,7439,7570,7279,7083,7354,7401,7386,7533,7509,7447,7943,7808,7889,7944,8002,8285,8339,8635,8743,8959,9321,9320,9269,9579,9610,9326,10055,9763,9402,9473,10126,9070,9162,9929,9940,9833,9792,9508,9506,9668,9724
"53","45","S4 EN7224ZZMA   Drinking places (alcoholic beverages)","T050450",3430,3181,3148,3221,3193,3247,3261,3117,3142,3132,3061,3082,3134,3229,3361,3421,3390,3384,3423,3471,3429,3489,3601,3586,3650,3648,3702,3727,3780,3838,3762,3941,4120,4144,4079,3975,4033,4000,4203,4366,4312,4353,4339,4331,4479,4636,4710,4726,4790,4752,4760,4805,4848,4918,5014,5139,5363,5470,5451,5552,5494,5557,5632,5718,5675,5747,5781,5771,5784,5753,5725,5743,5835,5895,5929,5980,6082
"54",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","S1 EN04472BMA   Retail and food services except motor vehicle and parts dealers","T050460",412359,414258,419429,427538,431427,437463,442873,449423,455624,464520,474159,481455,482595,487113,493066,499150,503975,516890,520859,530200,536791,537378,546559,549841,555405,563046,569739,580381,591126,601595,611950,628972,640570,647607,655456,663419,665318,671247,669656,672496,680117,689284,690317,698809,707637,711656,732467,741210,759963,771560,780099,798808,811125,824457,840168,858628,879597,883933,886596,890865,900712,909236,918567,933923,938156,955174,953006,890284,871906,874367,882807,894699,916880,919111,926150,948442,971269
"56","47","S1 EN44GZZZMA   Retail trade except motor vehicle and parts dealers","T050470",358233,361602,366312,372300,375780,380628,384983,391493,397576,405053,413923,420751,421906,425493,430799,436737,441167,453211,456463,464319,469657,469884,477549,481013,485243,491642,497590,506596,517487,526847,536682,551321,560971,567188,574208,582014,582154,587981,585561,587508,593536,601965,602414,610583,618477,620304,638942,646410,663420,674399,681359,698686,709514,720820,735811,752666,770056,774650,776186,778176,788271,794285,799665,815964,821071,837835,834863,773782,755942,758925,768412,779620,800274,802428,808058,829041,849333
"57","48","S2 EN44BZZZMA   GAFO-Department store merchandise stores \1\","T050480",139195,140826,142758,146354,147747,150909,153672,155992,159158,162020,165820,169871,169580,171834,174824,176630,177198,181381,183290,185534,186954,187238,191317,193620,197586,200554,202335,206329,212061,215186,218421,222087,224980,228833,230999,231396,231968,232126,233294,238205,240749,241610,240145,244580,243172,247925,255635,257668,262990,263674,266923,271703,275706,280239,281668,288294,293840,294256,296894,301232,303002,302629,305345,309176,306572,308560,304126,294348,296701,298837,301391,304505,313570,312592,316671,319665,323535
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Includes industries EN442ZZZMA, EN443ZZZMA, EN448ZZZMA, EN451ZZZMA,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","EN452ZZZMA, and EN4532ZZMA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
