"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238"
"24","16","          Consumption of general government fixed capital \2\","B995RA3",62.213,58.695,55.724,53,50.745,48.426,46.389,44.428,43.009,41.587,40.255,38.729,37.408,36.51,35.719,35.323,34.988,35.188,35.643,36.374,37.552,38.594,39.667,40.811,41.881,42.948,43.711,44.63,45.481,45.851,46.402,46.599,46.789,46.85,47.006,46.911,46.867,47.031,47.276,47.158,47.25,47.222,47.276,47.285,47.241,47.239,47.278,47.361,47.643,48.063,48.279,48.683,48.978,49.205,49.524,49.769,49.875,50.145,50.374,50.76,51.424,51.716,52.17,52.602,53.033,53.32,53.66,54.099,54.268,54.519,54.679,54.818,54.972,55.046,55.229,55.38,55.556,55.822,56.168,56.491,56.961,57.368,57.764,58.157,58.472,58.621,58.918,58.905,58.963,58.858,58.826,58.7,58.575,58.32,58.108,57.672,57.216,56.598,55.879,54.996,54.433,53.784,53.274,52.707,52.095,51.676,51.267,50.944,50.569,50.277,50.114,50.022,49.857,49.801,49.813,49.886,49.951,49.999,50.086,50.164,50.276,50.424,50.571,50.731,50.804,51.006,51.142,51.324,51.528,51.82,52.097,52.337,52.721,53.103,53.477,53.923,54.31,54.714,55.191,55.679,56.194,56.803,57.407,58.092,58.857,59.653,60.502,61.473,62.463,63.54,64.676,65.896,67.19,68.543,69.955,71.399,72.813,74.227,75.706,77.15,78.596,79.993,81.294,82.529,83.716,84.816,85.853,86.886,87.844,88.824,89.797,90.781,91.758,92.713,93.595,94.48,95.287,95.989,96.692,97.296,97.808,98.26,98.669,98.974,99.224,99.4,99.506,99.505,99.432,99.342,99.208,99.085,98.893,98.718,98.607,98.569,98.529,98.511,98.44,98.334,98.227,98.303,98.348,98.331,98.142,98.141,98.226,98.42,98.719,98.927,99.203,99.451,99.718,99.923,100.121,100.238,100.557,100.777,101.041,101.217,101.356,101.556,101.764,101.957,102.162,102.477,102.788,103.161,103.579,104.073,104.596,105.153,105.72,106.332,106.818
"25","17","        Intermediate goods and services purchased \3\","W113RA3",5.29,8.997,8.469,7.475,8.419,12.853,14.266,17.123,17.71,20.138,18.603,16.393,17.288,19.248,11.75,14.504,26.398,29.091,37.071,38.082,44.402,49.541,52.1,54.924,57.911,60.606,57.398,59.845,51.35,46.334,43.297,43.208,42.314,43.368,43.934,40.928,38.78,43.583,36.574,42.033,46.662,46.167,45.567,49.928,44.232,50.76,44.33,47.838,41.89,46.306,49.061,49.165,41.711,41.169,44.41,45.235,40.863,43.349,45.05,44.958,48.588,50.292,54.188,54.867,54.043,51.281,57.951,56.104,55.581,54.157,52.652,49.674,49.853,50.869,56.493,60.518,60.717,66.862,67.018,65.761,76.162,75.748,75.41,76.624,81.818,79.834,78.58,80.645,75.771,77.399,75.57,74.234,70.453,66.424,65.434,64.967,63.787,63.742,62.891,61.984,67.55,70.143,62.953,60.774,61.72,62.658,57.995,57.175,60.809,58.33,58.731,58.992,58.088,58.956,56.72,56.819,54.779,56.825,54.593,53.443,55.961,58.874,60.452,58.742,58.968,61.342,61.446,61.657,63.497,65.727,61.315,65.023,66.606,71.536,69.48,68.976,72.297,75.962,75.526,75.844,77.63,75.64,79.733,83.978,84.04,86.592,91.525,81.029,80.804,86.991,86.718,89.162,91.2,93.133,97.878,97.963,96.511,103.216,107.504,103.864,105.092,105.105,102.667,107.871,103.989,101.733,99.517,106.519,100.233,106.804,106.168,105.8,107.404,105.989,103.51,107.493,109.346,108.054,106.191,101.255,101.9,101.594,105.993,105.617,99.006,96.946,96.523,97.276,94.323,95.376,99.096,96.754,94.982,94.341,95.002,90.615,92.003,94.209,91.878,96.075,93.614,98.485,95.198,96.089,89.469,93.946,94.052,94.255,93.233,93.184,99.29,104.069,95.271,102.135,99.954,102.64,105.239,107.925,108.229,115.648,117.218,121.679,124.166,132.168,129.612,143.955,142.756,145.272,151.886,153.09,158.302,154.107,160.027,159.06,166.333
"26","18","          Durable goods","W114RA3",10.249,9.623,9.966,9.403,17.576,16.152,17.94,22.101,19.474,21.676,24.382,22.215,32.046,32.621,38.725,42.209,56.261,76.808,91.962,115.343,131.829,146.854,154.308,165.226,175.13,186.629,158.428,148.337,128.99,132.644,113.079,113.808,108.01,112.188,102.346,91.537,92.708,104.938,94.886,99.534,99.9,106.152,102.765,101.169,105.671,111.905,102.385,103.725,72.617,75.329,78.419,76.653,65.682,62.933,65.896,63.986,51.467,52.91,55.43,55.826,65.711,67.24,68.83,67.619,70.042,68.39,68.12,69,61.559,60.485,58.334,59.443,59.764,66.544,61.732,65.526,75.329,91.705,86.747,105.031,89.576,87.764,87.224,86.625,101.58,98.309,99.384,99.365,89.803,83.263,82.773,77.484,76.535,74.118,72.932,73.368,61.226,54.821,52.835,47.832,70.502,71.55,68.043,64.38,66.061,65.35,58.419,62.09,55.499,61.461,46.356,54.596,57.506,56.218,57.61,55.243,49.866,56.621,46.367,52.113,59.104,73.811,61.371,64.272,71.372,76.162,71.869,70.853,73.051,81.859,76.25,84.106,83.176,84.507,86.347,78.102,90.617,98.951,92.321,100.745,95.903,101.918,104.942,113.521,120.242,126.222,124.126,125.499,129.554,129.37,116.93,126.746,125.359,131.037,143.852,138.141,129.042,148.082,153.478,143.888,144.086,149.182,160.978,156.808,157.025,154.214,153.634,163.632,150.906,157.526,153.992,143.945,149.757,146.591,144.465,147.92,143.768,145.851,140.272,133.998,129.797,124.823,128.665,128.939,118.2,135.426,107.803,106.413,101.772,99.731,107.043,96.943,95.904,87.266,103.822,84.723,86.724,98.586,97.864,88.893,90.565,98.51,91.864,94.197,90.54,92.087,100.43,95.991,89.679,101.956,109.249,99.662,101.333,100.748,101.023,96.896,95.209,103.166,110.047,98.393,101.074,106.226,112.83,106.17,103.908,119.741,117.525,116.971,120.444,129.978,130.584,132.89,127.414,133.56,137.875
"27","19","          Nondurable goods","W115RA3",6.004,19.813,15.659,13.709,8.039,28.334,37.806,50.165,63.002,56.307,58.244,56.489,44.748,58.319,3.671,8.783,48.225,47.361,55.466,50.58,60.81,69.325,75.19,86.167,147.222,166.133,148.466,151.008,120.599,105.761,97.369,134.766,67.373,92.647,89.453,72.667,57.552,59.473,36.848,45.947,70.659,38.007,39.032,83.3,32.658,62.537,55.845,73.467,77.07,111.055,116.594,104.268,49.306,58.787,66.526,73.415,34.616,58.482,66.719,64.588,56.087,85.566,115.317,107.561,83.457,60.648,102.947,74.649,85.353,84.31,89.471,68.844,64.074,65.663,109.414,113.103,92.513,130.645,90.752,79.321,169.325,168.502,159.938,164.677,197.421,197.709,192.977,201.463,196.111,204.625,213.18,179.199,152.786,133.284,125.569,131.433,108.83,119.014,127.351,117.752,136.808,137.651,116.144,111.66,98.733,93.665,89.654,98.766,102.792,82.018,99.928,97.082,92.212,95.372,70.313,80.682,82.892,80.341,79.508,77.287,78.223,77.375,90.372,90.176,78.133,83.214,91.561,92.648,87.727,83.857,88.642,89.298,92.538,110.083,96.726,106.149,110.055,132.611,126.866,123.835,114.056,110.992,107.976,111.075,107.732,130.03,170.786,62.718,57.569,106.871,106.425,106.695,110.257,113.648,108.612,103.921,116.23,140.175,152.733,165.154,128.317,112.264,72.249,118.225,70.475,62.65,50.128,92.296,107.681,118.67,115.942,97.855,93.898,96.089,96.34,117.215,128.473,105.818,98.418,88.041,93.949,110.679,108.893,104.26,103.72,102.236,106.152,95.999,94.798,94.373,87.723,99.844,91.262,83.314,88.059,82.486,88.169,89.455,90.099,86.069,94.016,90.952,94.312,93.991,94.163,93.331,99.407,94.423,83.336,89.641,98.865,88.185,102.572,100.563,96.929,99.936,100.989,118.26,104.519,117.789,123.773,138.841,123.488,129.477,131.701,146.643,136.032,143.347,159.895,154.513,152.194,154.049,178.953,156.442,159.319
"28","20","          Services","W116RA3",4.028,6.354,6.45,5.652,6.506,8.307,8.403,9.65,8.07,11.934,9.209,7.436,9.537,9.909,7.926,7.752,14.939,15.319,21.962,20.659,23.576,25.773,26.389,26.077,19.541,18.004,21.637,26.176,23.651,18.838,19.914,13.616,24.516,20.944,23.952,24.7,24.14,27.858,24.138,29.048,31.185,34.384,34.108,33.351,32.654,35.592,29.933,31.6,29.56,29.453,31.852,34.542,35.849,34.052,36.645,37.071,40.405,39.582,40.044,40.149,44.347,41.683,42.116,44.612,46.701,46.765,49.569,51.204,50.565,48.963,46.527,45.31,46.204,45.825,48.117,52.267,53.546,52.455,59.96,56.016,60.132,60.149,61.121,62.273,61.425,59.328,58.029,59.61,55.853,58.239,54.766,58.633,57.381,55.149,55.105,53.588,57.563,57.54,55.743,56.757,57.124,60.177,54.196,52.626,55.248,57.344,53.103,50.079,55.607,54.156,54.734,54.002,53.022,53.936,54.689,53.597,51.492,53.399,52.467,50.146,52.079,53.33,55.768,52.912,53.772,55.252,54.902,55.225,58.097,60.052,54.284,57.79,59.6,62.775,62.278,61.206,62.724,61.636,63.495,62.934,68.342,64.97,70.726,74.426,73.865,72.014,71.666,76.462,76.024,76.108,78.415,79.631,82.289,83.225,88,90.124,87.821,89.37,92.354,87.804,94.774,95.882,95.887,96.887,98.369,97.022,95.966,98.404,90.485,96.151,96.055,99.754,101.475,99.989,97.174,99.02,100.706,101.604,101.127,97.103,97.919,96.391,101.633,101.652,95.075,89.422,93.445,95.862,93.014,94.801,99.071,96.444,95.325,96.946,94.328,92.669,93.443,94.063,91.097,98.581,94.131,99.437,95.942,96.733,88.824,94.388,92.477,94.013,94.941,92.189,97.762,106.68,93.397,102.552,100.164,103.886,107.351,107.43,108.397,118.06,118.94,122.131,126.019,136.453,133.299,147.366,147.368,149.813,155.789,156.499,163.221,157.385,162.715,163.307,171.566
"29","21","      Less: Own-account investment \4\","W117RA3",13.357,15.675,15.013,14.719,17.954,20.72,28.765,34.278,27.227,29.947,37.226,36.244,29.234,30.007,49.483,47.755,50.678,66.002,82.932,84.909,91.168,101.404,110.323,110.966,121.29,111.013,104.107,94.043,100.972,97.38,91.618,82.404,83.483,77.636,76.199,71.952,69.159,77.741,85.173,75.055,80.04,83.341,88.338,91.037,84.386,88.154,95.057,107.538,96.037,106.358,100.658,102.039,94.658,100.668,94.848,102.332,106.905,98.529,98.492,105.62,92.989,100.699,108.699,109.185,73.684,98.972,108.434,93.041,91.314,89.493,89.642,92.673,85.28,97.591,97.679,94.839,100.033,103.373,103.104,108.034,91.584,83.972,85.678,80.765,81.484,77.439,73.784,75.82,72.819,74.229,73.35,69.938,71.468,74.519,75.19,76.153,77.372,76.359,79.156,75.835,87.576,77.194,75.911,84.766,76.822,72.641,74.69,78.969,59.307,73.307,73.448,76.221,69.181,67.704,71.625,75.657,68.174,70.837,69.16,70.338,61.435,62.782,63.876,60.254,61.823,67.632,73.931,71.466,72.562,76.209,81.205,79.159,79.436,82.228,85.812,84.12,81.45,82.906,84.739,86.129,87.097,91.363,96.161,94.807,96.843,98.507,103.664,101.498,103.744,108.479,115.107,118.902,122.314,125.429,129.307,127.597,126.497,127.842,129.217,131.508,135.566,141.381,142.3,144.166,142.817,144.408,147.778,146.717,148.717,155.563,165.898,173.242,175.298,170.172,164.91,160.859,163.944,173.15,175.534,176.45,183.916,174.941,171.983,157.792,165.259,169.296,171.581,161.974,152.42,150.189,161.055,151.568,160.236,151.606,159.904,138.364,138.622,142.932,151.768,140.578,155.752,145.434,130.695,116.176,139.755,155.234,143.288,109.594,82.342,145.249,140.054,123.067,95.566,99.097,102.587,102.75,123.016,126.554,120.423,120.507,124.722,125.9,130.594,126.776,120.056,121.685,116.142,124.105,111.91,116.5,119.628,116.021,121.3,122.56,124.966
"30","22","            Sales to other sectors","W118RA3",134.909,101.718,27.566,24.964,64.251,26.826,25.089,52.091,18.02,17.308,30.427,19.728,19.59,102.695,14.204,15.003,181.501,23.938,22.532,19.436,14.964,32.896,16.169,22.729,22.873,19.783,20.146,20.708,21.036,55.675,20.026,27.971,55.45,231.298,54.618,53.877,42.443,75.096,37.426,39.949,67.013,83.863,87.755,88.929,60.85,134.396,42.464,71.736,82.082,40.925,45.903,70.295,56.323,55.563,54.792,48.335,46.614,52.145,48.075,41.117,51.209,55.378,51.986,50.582,92.547,42.886,55.163,49.079,76.741,43.321,62.076,58.493,62.643,53.803,76.714,68.296,104.615,120.863,78.052,68.47,63.89,62.853,68.133,58.304,55.083,58.363,60.614,67.796,57.416,67.466,66.303,61.815,69.041,61.579,52.469,56.782,51.795,56.1,61.617,59.348,96.043,112.435,99.899,116.78,109.327,141.453,121.999,111.194,150.654,150.362,128.076,125.511,148.264,134.051,71.723,81.057,72.202,108.843,121.316,60.909,105.818,120.919,137.372,95.402,104.295,120.382,140.021,132.862,129.483,127.684,122.476,173.999,117.695,131.986,138.99,123.141,118.835,109.192,140.29,100.909,114.507,105.202,105.191,116.935,95.69,88.9,111.528,118.313,104.637,109.119,126.696,102.763,104.417,106.793,115.608,112.931,103.753,119.239,115.447,121.959,124.382,121.081,131.831,121.847,129.5,139.642,157.917,120.673,132.566,140.693,141.318,115.482,125.862,113.651,145.262,170.6,167.547,125.129,175.325,131.112,152.606,146.676,158.088,95.401,129.071,133.212,136,94.107,150.554,202.527,126.297,162.159,124.68,98.922,97.494,134.525,104.402,114.631,143.722,120.222,84.717,90.265,76.443,81.015,80.928,49.352,187.079,53.765,56.076,79.723,85.846,68.747,104.087,81.493,89.242,125.177,83.545,62.542,66.385,85.032,77.094,53.081,88.366,60.451,63.507,90.962,83.668,66.842,65.933,70.826,100.799,85.85,118.968,92.634,117.379
"31","23","    Defense consumption expenditures \1\","A997RA3",51.652,48.165,48.999,48.965,47.645,46.821,46.394,48.135,48.259,48.1,47.72,45.14,45.256,45.699,47.841,54.566,65.776,78.025,90.756,94.013,99.549,106.142,108.393,110.412,111.563,110.594,109.953,111.28,100.571,97.702,95.559,92.265,92.801,86.956,91.386,89.673,88.205,91.713,88.604,93.004,95.045,97.354,97.263,96.339,94.905,95.924,93.14,93.392,85.668,86.129,88.358,88.604,87.34,87.385,89.281,88.774,88.611,88.911,91.011,92.879,96.089,95.997,97.144,97.11,96.794,96.467,98.792,98.519,96.724,95.311,95.324,92.964,92.011,92.851,95.843,101.01,102.548,106.914,111.77,114.227,121.057,123.056,124.234,124.232,129.29,129.656,127.185,127.334,123.255,124.415,122.764,122.841,116.847,111.845,110.623,109.15,107.864,104.309,100.98,100.496,100.179,99.878,94.964,93.259,92.762,91.79,87.726,87.889,88.329,88.952,85.809,85.49,85.263,85.219,84.9,84.537,83.459,84.759,83.076,82.768,83.399,84.758,85.571,83.742,84.707,85.68,85.897,84.845,86.072,87.871,85.131,86.395,88.535,89.507,90.328,90.581,92.858,94.587,95.15,96.75,98.597,99.551,102.401,104.21,104.974,106.566,106.507,108.308,108.372,109.44,109.549,111.981,113.425,114.663,118.372,119.298,118.976,122.568,124.241,121.269,123.982,125.855,126.996,128.244,128.66,127.226,125.903,129.058,124.127,127.604,127.62,127.806,127.543,126.347,123.542,126.285,129.334,127.929,124.639,121.303,118.754,118.303,120.058,120.014,116.309,114.329,113.14,113.037,109.241,108.644,111.117,107.159,106.416,106.322,105.922,102.032,102.949,104.389,102.381,103.653,101.324,103.59,101.837,101.454,97.261,100.128,99.827,100.695,99.927,98.458,101.237,104.27,97.594,102.064,99.743,100.6,102.598,103.043,103.289,106.717,107.775,109.941,110.474,115.557,114.057,124.005,121.452,123.873,127.433,127.559,130.593,128.582,131.219,131.542,134.436
"32","24","      Gross output of general government","W085RA3",51.21,47.752,48.569,48.502,47.428,46.641,46.255,47.982,47.984,47.852,47.468,44.913,44.994,45.481,47.597,54.292,69.245,77.491,90.165,93.432,98.894,105.423,107.732,109.731,110.923,109.947,109.25,110.517,99.998,97.193,95.024,91.747,92.911,87.089,91.533,89.822,88.08,91.92,88.483,92.859,95.04,97.256,97.559,96.651,95.314,96.488,93.135,94.134,85.532,86.016,88.185,88.556,87.388,87.485,89.27,88.666,88.445,88.937,90.764,92.588,95.819,95.995,97.033,97.031,96.273,96.308,98.674,98.296,96.6,95.112,95.245,93.026,91.976,92.896,96.231,101.162,103.263,108.168,112.182,114.459,120.721,122.885,123.446,123.478,128.449,128.837,126.342,126.612,122.481,123.742,122.002,122.017,116.246,111.219,109.937,108.418,107.126,103.615,100.489,99.859,100.055,100.07,94.968,93.453,92.879,92.565,88.506,88.305,89.271,89.959,86.694,86.193,86.514,86.027,84.598,84.362,83.262,84.599,82.924,82.507,83.303,84.92,85.562,83.458,84.522,85.537,85.874,84.962,86.081,87.73,84.973,86.401,88.476,89.389,90.452,90.778,93.105,94.484,95.441,96.704,98.816,99.618,102.252,104.61,104.797,106.307,106.136,108.177,108.208,109.239,109.743,111.74,113.127,114.499,118.352,119.122,118.635,122.379,124.119,121.171,123.892,125.739,127.009,127.957,128.509,127.146,126.186,128.818,124.098,127.537,127.588,127.662,127.541,126.245,123.908,126.995,129.44,128.205,125.067,121.239,119.149,119.008,120.627,119.981,116.743,114.837,114.024,113.177,110.251,110.049,111.815,108.565,106.942,106.512,106.07,102.436,103.199,104.765,102.999,104.093,101.531,103.923,102.005,101.553,97.583,99.922,100.282,100.452,99.51,98.525,101.626,104.245,98.007,101.857,99.817,100.32,102.994,102.895,103.231,106.76,107.798,109.853,111.137,115.594,114.129,124.19,121.659,123.776,127.285,127.517,130.808,128.416,131.351,131.656,134.619
"33","25","        Value added","W086RA3",101.987,93.431,91.704,93.008,86.796,83.548,83.685,83.766,83.332,81.71,79.956,77.188,74.476,75.027,77.048,87.954,96.837,109.152,119.844,122.463,125.713,128.218,129.126,128.108,129.694,130.36,130.749,129.205,127.976,126.949,127.258,126.189,125.307,123.304,122.959,122.543,121.749,121.08,121.913,121.715,121.362,121.265,121.498,118.636,115.957,115.557,116.442,116.334,114.777,114.769,114.794,115.16,114.951,116.382,116,116.257,116.303,116.76,118.022,121.716,123.174,123.238,122.846,121.873,121.475,122.394,123.015,122.829,122.344,122.787,123.39,123.104,122.076,122.079,122.783,124.838,127.257,129.515,132.764,135.963,139.891,139.579,140.545,140.68,141.25,142.716,143.076,141.307,141.442,142.229,142.895,141.817,136.907,134.721,133.024,130.998,128.278,125.961,123.879,121.766,118.144,115.633,115.388,115.301,112.535,110.575,109.13,108.807,108.604,108.212,107.686,108.02,107.461,106.659,106.355,105.989,105.645,105.125,104.729,104.58,104.327,104.332,104.556,104.575,104.855,105.064,105.357,105.065,104.758,104.554,104.732,104.776,104.801,105.276,106.057,106.542,107.588,108.264,109.283,109.881,110.456,111.427,111.925,112.498,113.524,113.877,114.508,114.905,115.86,116.777,117.619,118.407,119.525,120.601,121.864,122.31,123.006,123.45,124.359,125.122,125.618,126.739,128.148,128.457,128.039,127.791,127.948,128.122,128.357,129.175,130.04,130.213,129.933,129.918,130.111,130.945,133.492,132.094,130.138,128.007,127.072,126.517,125.64,124.694,124.126,122.829,121.939,120.162,119.161,118.241,117.23,115.528,114.425,113.384,112.28,110.278,109.592,109.384,108.79,107.417,106.667,105.792,105.47,104.352,103.716,102.873,102.717,101.664,100.97,100.543,100.717,100.55,99.83,100.154,100.132,99.884,100.269,100.409,100.555,100.567,101.721,102.415,102.762,102.462,104.233,105.365,105.625,105.679,106.715,106.503,107.363,107.932,108.095,107.811,107.915
"34","26","          Compensation of general government employees","B237RA3",91.319,81.534,83.423,91.469,83.074,80.916,85.134,89.004,90.929,90.41,89.435,86.74,83.882,86.646,92.127,114.894,133.644,158.277,179.107,182.916,187.194,190.274,189.881,185.517,186.584,185.808,184.995,179.952,175.897,172.923,172.571,169.943,167.787,163.627,162.662,162.021,160.41,158.805,159.969,159.793,158.887,158.729,159.132,153.245,148.131,147.32,149.035,148.59,145.043,144.285,143.917,143.955,142.974,145.365,144.108,144.172,144.079,144.5,146.57,153.199,154.954,154.637,153.157,150.704,149.419,150.833,151.61,150.787,149.735,150.407,151.458,150.936,149.089,149.207,150.567,154.329,158.847,162.809,168.525,174.098,180.802,179.807,181.188,180.983,181.774,184.288,184.62,181.591,181.812,183.484,184.791,183.098,174.609,171.163,168.602,165.587,161.494,158.252,155.564,152.986,147.507,144.009,144.194,144.693,140.684,137.931,135.995,135.824,135.888,135.627,134.927,135.642,134.896,133.689,133.221,132.598,132.005,131.141,130.429,130.131,129.671,129.595,129.89,129.872,130.371,130.609,131.041,130.49,129.872,129.373,129.494,129.456,129.256,129.802,130.854,131.385,132.866,133.729,135.061,135.701,136.264,137.409,137.783,138.209,139.334,139.352,139.759,139.68,140.531,141.266,141.822,142.237,143.101,143.852,144.87,144.57,144.697,144.421,144.838,145.058,144.878,145.712,147.045,146.763,145.377,144.332,143.971,143.624,143.436,144.133,144.926,144.635,143.665,143.127,142.964,143.767,147.269,144.796,141.479,137.979,136.361,135.349,133.901,132.388,131.49,129.518,128.205,125.626,124.252,123.02,121.671,119.276,117.832,116.501,115.044,112.213,111.412,111.274,110.581,108.75,107.818,106.734,106.45,105.02,104.315,103.279,103.215,101.806,100.904,100.412,100.751,100.597,99.635,100.187,100.222,99.956,100.465,100.66,100.849,100.892,102.557,103.526,103.992,103.548,105.911,107.354,107.6,107.539,108.778,108.303,109.269,109.839,109.854,109.239,109.197
"35","27","          Consumption of general government fixed capital \2\","B432RA3",82.576,77.583,73.36,69.495,66.305,63.033,60.095,57.377,55.351,53.312,51.408,49.302,47.398,46.109,44.998,44.4,43.882,44.141,44.825,45.825,47.473,48.875,50.434,52.023,53.509,54.981,56.088,57.419,58.508,59.135,59.823,60.145,60.413,60.525,60.738,60.601,60.61,60.797,61.161,61.001,61.132,61.11,61.168,61.256,61.111,61.139,61.161,61.342,61.723,62.307,62.633,63.165,63.624,63.933,64.349,64.699,64.845,65.216,65.509,65.913,66.765,67.121,67.708,68.175,68.607,68.899,69.243,69.641,69.766,69.904,69.968,69.961,69.908,69.811,69.764,69.774,69.685,69.833,70.028,70.274,70.711,71.106,71.465,71.898,72.138,72.267,72.584,72.451,72.478,72.207,72.066,71.818,71.632,71.211,70.764,70.192,69.509,68.645,67.601,66.358,65.555,64.635,63.859,63.018,62.209,61.52,60.893,60.408,59.876,59.36,59.124,58.921,58.67,58.497,58.444,58.461,58.489,58.484,58.55,58.616,58.664,58.776,58.88,58.946,58.904,59.052,59.129,59.208,59.347,59.559,59.789,59.938,60.265,60.591,60.924,61.295,61.629,61.98,62.463,62.941,63.477,64.107,64.728,65.448,66.236,67.032,67.919,68.945,69.975,71.118,72.355,73.685,75.149,76.706,78.31,79.974,81.601,83.254,84.971,86.646,88.315,89.918,91.43,92.788,94.117,95.326,96.432,97.554,98.569,99.605,100.597,101.627,102.634,103.596,104.448,105.32,106.026,106.677,107.336,107.864,108.302,108.682,108.975,109.173,109.257,109.298,109.243,109.056,108.79,108.487,108.143,107.792,107.358,106.892,106.486,106.128,105.688,105.346,104.959,104.541,104.171,103.742,103.339,102.889,102.4,101.981,101.625,101.35,101.117,100.837,100.644,100.448,100.277,100.078,99.926,99.719,99.809,99.819,99.864,99.802,99.683,99.674,99.721,99.807,99.984,100.263,100.561,100.934,101.392,101.939,102.496,103.066,103.656,104.331,104.861
"36","28","        Intermediate goods and services purchased \3\","W087RA3",4.674,6.11,9.348,8.139,11.477,12.789,11.997,14.915,15.324,16.466,17.276,15.016,17.44,17.822,19.819,22.56,40.313,44.697,57.477,60.978,67.275,76.296,79.41,83.528,84.407,82.211,80.681,83.97,67.37,63.497,59.633,55.014,57.627,49.482,57.191,54.661,52.368,59.302,52.846,60.39,64.319,68.114,68.461,69.224,69.172,71.504,64.938,66.705,52.543,53.377,57.412,57.753,55.784,54.601,58.357,56.978,56.504,56.996,59.244,59.19,63.876,64.153,66.454,67.364,66.306,65.492,69.455,68.915,66.119,62.772,62.439,58.386,57.354,59.145,64.957,72.586,74.251,81.752,86.396,87.64,95.992,100.576,100.718,100.651,110.003,109.244,103.822,106.25,97.699,99.421,95.194,96.429,89.897,81.654,80.9,80.013,80.451,75.502,71.121,72.324,77.402,80.759,69.207,65.747,68.087,69.917,62.401,62.329,64.793,66.837,60.194,58.679,60.064,59.967,57.18,57.105,55.068,58.695,55.452,54.709,56.795,60.386,61.534,56.824,58.855,60.853,61.238,59.572,62.402,66.264,60.044,63.07,67.509,68.913,70.272,70.412,74.161,76.309,77.157,79.154,83.051,83.629,88.75,93.196,92.373,95.251,94.126,98.119,97.012,98.188,98.254,101.803,103.516,105.27,112.536,113.728,111.669,119.848,122.702,114.734,120.457,123.278,124.349,126.152,128.036,125.152,122.649,128.673,117.057,124.171,123.065,123,123.094,120.029,114.226,120.371,122.694,121.711,116.921,110.695,106.9,107.348,112.623,112.398,105.291,102.492,101.793,102.312,96.554,97.424,103.296,97.774,95.39,95.869,96.404,90.337,93.272,97.541,93.975,98.84,93.503,100.946,96.558,97.125,87.969,95.279,96.439,98.516,97.192,95.321,103.081,110.099,95.09,104.57,99.322,101.017,107.329,106.85,107.487,116.697,117.516,121.871,124.731,137.161,130.182,155.647,148.261,153.936,161.766,162.801,170.383,162.787,170.602,171.952,179.929
