"","Table 3#5U# Taxes on Production and Imports","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197"
"23","15","    State","A1666C0",9605,9747,10224,10352,10533,10790,10911,11034,11139,11375,11736,12102,12449,12489,12597,12693,12820,13154,13697,13981,14293,14393,14729,14673,15120,15694,16501,17225,17548,17766,18160,18346,18404,18715,19827,20758,21716,22357,23228,23779,24448,25303,26193,26828,27347,27965,28565,28895,29800,30620,32081,33071,33743,34874,35664,36615,37908,38203,39621,39628,40020,41878,43290,42860,42889,44011,45532,46564,48357,49444,50021,51650,53193,54241,55589,57077,57745,60696,61646,63245,64344,64888,66171,67537,68770,68299,70413,72658,75844,75524,77144,77292,77690,79863,81016,82755,84847,88785,91858,94350,97372,99862,101761,104529,105955,108653,110347,111057,112774,114095,117564,118639,120203,122996,126771,128482,131359,135338,136257,137642,139580,143028,144132,142280,152498,149610,153390,154606,152133,154868,159744,163259,166685,167208,172541,172286,174931,178066,180120,184439,186992,191529,193043,195152,198963,197575,201191,204251,208960,211712,212130,214534,216630,219813,222763,225978,228400,231392,234381,238839,239341,243885,249060,251478,253798,254982,255257,257823,260884,258935,256362,262071,262304,265630,270760,270658,273714,279335,284116,289879,294464,297893,299615,308296,314311,319969,325207,324809,333231,337132,337584,339977,342837,345786
"24","16","      General","L305130",3943,3997,4140,4156,4318,4425,4460,4561,4607,4698,4907,5180,5372,5421,5389,5394,5444,5584,5948,6176,6344,6437,6551,6424,6720,6937,7550,8097,8298,8383,8748,8839,8861,9038,9845,10316,11030,11514,11878,12290,12577,13135,13581,13923,14268,14709,14948,15183,15520,16132,17134,17714,18094,18669,19096,19657,20406,20590,21754,21622,22226,23941,25046,24383,24490,25238,26269,27023,28088,28926,29545,30561,31666,32596,33440,34586,35074,37410,38059,39445,40267,41163,42271,43399,44126,43399,45125,46610,48761,48713,49339,49035,49723,50711,51465,52797,54368,57412,59239,61605,64181,66299,66768,68924,70282,71861,73504,73689,74654,75349,78230,78851,79442,82000,84730,85764,87918,91769,91839,93162,94993,96788,98017,95474,104752,100964,104102,103774,102759,102715,106046,108592,110164,111120,112944,114292,115062,116714,119693,121279,123228,127043,129210,132163,133612,134012,135468,137436,141044,143486,144078,146660,148111,150157,152678,154786,156273,157703,161240,162744,164511,167711,170776,173262,176123,178226,177629,179326,181659,178829,176753,180647,179220,181108,183854,182786,183821,187606,191947,196418,200685,202476,205410,210661,214613,219520,222457,223074,229458,232391,232009,234446,235852,237448
"25","17","      Gasoline","L305140",3111,3134,3294,3325,3308,3430,3424,3426,3428,3519,3619,3682,3778,3745,3798,3847,3895,3946,4027,4084,4170,4190,4244,4244,4295,4486,4568,4667,4696,4748,4786,4786,4823,4933,5078,5250,5387,5379,5596,5574,5729,5848,6128,6203,6287,6332,6493,6516,6658,6764,6966,7076,7306,7463,7729,8002,8328,8176,8307,8289,7950,8081,8218,8279,8294,8333,8460,8453,8946,8865,8909,9124,9196,9248,9377,9439,9462,9815,9859,9840,10046,9556,9640,9718,9720,9455,9455,9650,10140,9579,10261,10392,10100,10495,10574,10695,10974,11397,12088,11977,12316,12535,13244,13533,13363,13917,14301,14239,14383,14778,15232,15403,15864,16113,16977,17114,17386,17476,17615,17739,17761,18909,18833,18965,19913,19767,19980,20824,20681,21232,21530,22153,22628,22396,23215,23225,23315,24839,23673,24241,24775,25348,25102,25471,25837,24985,25820,26110,26072,26273,27167,26912,27401,27217,27903,28315,27939,28875,29019,28667,29135,29967,29459,29899,30252,29853,30090,31281,31672,31635,31228,31601,31865,32418,32735,32186,31776,32172,32912,33444,33700,34019,32663,34842,35221,34982,35766,34119,36112,36629,36029,36334,36103,36250
"26","18","      Alcoholic beverages","L305150",620,618,632,634,633,645,696,694,695,689,725,747,770,737,770,787,803,839,841,841,846,870,899,933,926,935,955,972,990,1002,1009,1047,1072,1072,1070,1094,1107,1149,1206,1246,1280,1291,1323,1346,1420,1481,1525,1546,1599,1607,1617,1657,1704,1716,1769,1807,1824,1852,1874,1894,1946,1958,2023,2029,2012,2034,2066,2064,2068,2124,2147,2141,2157,2160,2196,2259,2266,2312,2373,2369,2359,2353,2458,2454,2554,2517,2492,2545,2673,2686,2708,2745,2714,2735,2699,2700,2674,2761,2870,2967,2938,2941,3019,3018,3047,3040,3132,3093,3102,3071,3056,3027,3099,3137,3192,3272,3210,3107,3017,3122,3113,3141,3142,3156,3244,3210,3377,3353,3414,3490,3553,3527,3601,3626,3618,3387,3829,3520,3546,3669,3565,3605,3532,3674,3675,3567,3594,3600,3685,3718,3749,3736,3677,3663,3724,3720,3750,3834,3798,3830,3916,4070,3980,4122,4113,4101,4261,4121,4213,4123,4033,4471,4201,4184,4293,4318,4335,4664,4482,4587,4634,4655,4674,4609,4739,4894,4860,4923,5023,4983,5069,5169,5143,5315
"27","19","      Tobacco","L305160",679,727,867,927,947,948,973,980,1016,1054,1048,1034,1051,1091,1125,1133,1135,1164,1225,1212,1237,1160,1251,1256,1294,1433,1477,1496,1538,1611,1584,1603,1569,1586,1702,1859,1935,2005,2080,2100,2048,2058,2130,2208,2323,2372,2476,2533,2593,2502,2612,2697,2867,2973,2990,3030,2992,3099,3245,3308,3366,3242,3170,3226,3146,3269,3428,3553,3483,3552,3450,3451,3579,3490,3590,3597,3593,3679,3647,3697,3684,3700,3616,3668,3706,3814,3841,3935,3894,3890,3908,3992,3889,4054,4166,4127,3994,3998,4019,4137,4145,4157,4229,4285,4327,4354,4400,4519,4558,4572,4592,4558,4503,4560,4790,4851,4770,4755,4806,4925,5152,5319,5469,5596,5674,5774,5868,5960,6075,6122,6138,6129,6036,6038,6074,6148,6294,6423,6563,6708,6872,6999,7105,7188,7224,7279,7329,7376,7450,7477,7488,7489,7413,7454,7541,7672,7945,8078,8169,8216,8129,8153,8202,8276,8484,8542,8560,8550,8397,8403,8586,8946,9584,10174,10687,11107,11415,11663,11852,11994,12244,12490,12740,12994,13293,13541,13778,14000,14195,14383,14554,14708,14927,15217
"28","20","      Public utilities","L305170",352,357,363,368,376,381,385,390,400,407,413,420,420,425,431,436,438,461,471,474,460,471,484,493,523,527,541,553,555,554,556,567,595,596,609,640,664,640,696,712,788,824,824,888,928,962,992,894,1064,1164,1124,1252,1244,1384,1352,1284,1344,1388,1396,1420,1404,1524,1560,1696,1700,1840,1984,1924,2040,2076,2024,2304,2326,2354,2418,2482,2562,2656,2748,2806,2860,2912,2958,2998,3212,3570,3868,4174,4464,4604,4640,4776,4912,5320,5512,5656,6024,5820,5931,5697,5779,5759,5958,6244,6283,6452,6050,5955,6047,6128,5830,6107,6107,5992,6089,6096,5981,6122,6381,6000,6002,6273,6227,6470,6264,6687,6654,7055,6175,6601,7611,7521,8184,7180,9152,7204,8125,7612,7494,8677,8421,9211,8186,8282,7813,7803,7892,8220,9233,9157,8678,8420,8646,8731,9065,9118,8654,8966,7961,9779,8858,9178,9771,9665,9085,8467,8898,8550,9329,9697,9244,9818,9359,9915,10430,10620,10605,10430,9913,10088,9913,10550,11065,10660,10911,10657,10837,10715,11226,10935,11279,11860,11987,12177
"29","21","      Insurance receipts","L305180",529,537,545,553,549,555,560,568,575,585,594,602,604,611,619,626,606,637,650,655,682,698,718,730,761,768,787,804,813,812,816,831,818,820,838,880,845,878,944,1041,1170,1243,1259,1220,1125,1083,1095,1161,1278,1367,1412,1427,1408,1409,1432,1475,1538,1590,1629,1655,1668,1680,1689,1695,1699,1717,1749,1795,1856,1933,2026,2137,2237,2333,2424,2510,2588,2660,2720,2772,2812,2868,2940,3028,3124,3212,3284,3344,3388,3420,3444,3448,3444,3484,3568,3692,3868,3996,4080,4124,4028,4058,4361,4353,4410,4791,4648,5227,5654,5761,6171,6198,6774,6737,6428,6665,7177,7021,7395,7499,7353,7425,7258,7220,7176,7669,7665,7630,7147,8398,8102,7885,7725,7804,7964,8059,7593,8171,8096,8732,9144,8328,9027,7341,9394,8264,9030,9152,9025,9072,8465,8874,9035,9846,8792,9047,9771,9353,9657,9635,9335,9228,10430,9791,9276,9788,10110,10150,9942,10236,10319,10779,11677,11116,11640,11711,12984,13187,12977,13056,13715,14737,14240,15052,14587,14878,15515,15712,15158,15169,16610,15195,15854,16028
"30","22","      Other","L305190",371,377,383,389,402,406,413,415,418,423,430,437,454,459,465,470,499,523,535,539,554,567,582,593,601,608,623,636,658,656,661,673,666,670,685,719,748,792,828,816,856,904,948,1040,996,1026,1036,1062,1088,1084,1216,1248,1120,1260,1296,1360,1476,1508,1416,1440,1460,1452,1584,1552,1548,1580,1576,1752,1876,1968,1920,1932,2032,2060,2144,2204,2200,2164,2240,2316,2316,2336,2288,2272,2328,2332,2348,2400,2524,2632,2844,2904,2908,3064,3032,3088,2945,3401,3631,3843,3985,4113,4182,4172,4243,4238,4312,4335,4376,4436,4453,4495,4414,4457,4565,4720,4917,5088,5204,5195,5206,5173,5186,5399,5475,5539,5744,6010,5882,6310,6764,7452,8347,9044,9574,9971,10713,10787,11055,11133,10987,10995,10881,11033,11408,11665,12058,12357,12451,12529,12505,12443,12347,12745,13060,13320,14068,14583,14537,15968,15457,15578,16442,16463,16465,16005,15709,15845,15672,16012,16199,15809,16398,16715,17121,17930,18778,19613,20033,20292,19573,18966,18823,19478,20947,21497,21994,22266,22059,22642,22034,22265,22971,23351
"31","23","    Local","A1667C0",1098,1134,1178,1190,1254,1329,1367,1406,1415,1417,1438,1458,1460,1455,1450,1459,1476,1518,1587,1667,1773,1898,2017,2040,2110,2066,2012,2012,1993,1974,2008,2017,1987,1958,1928,1903,2131,2220,2336,2461,2647,2792,2932,3105,3240,3371,3534,3663,3757,3875,4058,4194,4332,4495,4648,4833,5043,5129,5304,5484,5688,5967,6443,6494,6645,6831,7076,7264,7558,7745,7945,8320,8651,8875,9086,9360,9546,10076,10327,10719,11049,11365,11735,12035,12394,12548,13044,13306,13710,14028,14610,14836,15259,15651,16025,16537,16645,17414,17993,18708,19415,20009,20232,20820,21317,21908,22480,22779,23301,23707,24480,24840,24930,25620,26120,26182,26452,26936,27466,28118,29093,29822,30421,30920,31234,31574,31947,32305,32662,32991,33324,33663,33956,34352,34828,35368,36014,36658,37327,38017,38733,39413,40085,40737,41396,41976,42536,43052,43449,43999,44633,45327,46215,46970,47734,48497,49124,50024,51063,52229,53529,54909,56337,57805,59527,60745,61721,62431,61924,61546,61332,61410,61916,62476,63103,63797,64536,65391,66385,67452,68381,69360,70398,71457,72535,73629,74750,75834,76917,77964,78956,79947,81099,82430
"32","24","      General","L305210",695,731,775,787,790,865,903,942,904,906,927,947,962,957,952,961,979,1021,1090,1170,1061,1186,1305,1328,1371,1327,1273,1273,1271,1252,1286,1295,1245,1216,1186,1161,1283,1372,1488,1613,1587,1732,1872,2045,1971,2102,2265,2394,2262,2380,2563,2699,2710,2873,3026,3211,3307,3357,3500,3624,3760,3955,4323,4258,4349,4467,4640,4768,4946,5069,5221,5432,5659,5835,5966,6160,6246,6668,6819,7103,7325,7553,7863,8127,8466,8576,9000,9162,9442,9628,10070,10148,10419,10671,10921,11333,11458,12016,12411,12963,13523,13979,14072,14534,14907,15370,15811,15976,16356,16617,17243,17452,17387,17919,18265,18173,18295,18545,18932,19448,20292,20852,21322,21690,21842,22076,22292,22498,22721,22912,23102,23297,23465,23721,24030,24392,24841,25284,25750,26233,26722,27219,27716,28203,28740,29159,29523,29842,30009,30349,30757,31241,31906,32483,33077,33690,34212,34958,35813,36773,37862,38958,40073,41171,42418,43265,43893,44300,43889,43537,43301,43221,43502,43823,44197,44626,45096,45688,46397,47211,47878,48601,49375,50190,51042,51895,52742,53577,54403,55200,55973,56720,57656,58757
"33","25","      Public utilities","L305220",233,233,233,233,268,268,268,268,298,298,298,298,312,312,312,312,332,332,332,332,362,362,362,362,372,372,372,372,392,392,392,392,381,381,381,381,467,467,467,467,612,612,612,612,731,731,731,731,876,876,876,876,996,996,996,996,1076,1108,1124,1160,1200,1256,1344,1436,1476,1524,1572,1604,1696,1736,1756,1896,1976,2004,2060,2112,2192,2268,2336,2400,2460,2508,2540,2560,2568,2584,2608,2640,2676,2740,2824,2932,3064,3176,3268,3336,3362,3442,3520,3596,3668,3737,3801,3858,3909,3955,3996,4032,4061,4093,4127,4163,4202,4246,4291,4341,4392,4453,4521,4598,4692,4775,4858,4939,5008,5096,5193,5299,5423,5534,5645,5754,5853,5963,6074,6186,6307,6415,6518,6616,6700,6793,6888,6983,7090,7179,7261,7338,7395,7474,7559,7652,7766,7861,7952,8037,8126,8193,8253,8308,8315,8405,8530,8690,8938,9117,9281,9424,9622,9802,9964,10108,10187,10278,10385,10510,10526,10564,10631,10727,10980,11213,11422,11601,11738,11888,12038,12188,12335,12482,12625,12762,12901,13032
"34","26","      Other","L305230",170,170,170,170,196,196,196,196,213,213,213,213,186,186,186,186,165,165,165,165,350,350,350,350,367,367,367,367,330,330,330,330,361,361,361,361,381,381,381,381,448,448,448,448,538,538,538,538,619,619,619,619,626,626,626,626,660,664,680,700,728,756,776,800,820,840,864,892,916,940,968,992,1016,1036,1060,1088,1108,1140,1172,1216,1264,1304,1332,1348,1360,1388,1436,1504,1592,1660,1716,1756,1776,1804,1836,1868,1825,1956,2062,2149,2224,2293,2359,2428,2501,2583,2673,2771,2884,2997,3110,3225,3341,3455,3564,3668,3765,3938,4013,4072,4109,4195,4241,4291,4384,4402,4462,4508,4518,4545,4577,4612,4638,4668,4724,4790,4866,4959,5059,5168,5311,5401,5481,5551,5566,5638,5752,5872,6045,6176,6317,6434,6543,6626,6705,6770,6786,6873,6997,7148,7352,7546,7734,7944,8171,8363,8547,8707,8413,8207,8067,8081,8227,8375,8521,8661,8914,9139,9357,9514,9523,9546,9601,9666,9755,9846,9970,10069,10179,10282,10358,10465,10542,10641
"35","27","  Property taxes","B249RC0",14415,14466,14935,15432,15606,16026,16454,16866,17188,17453,17705,17974,18331,18748,19174,19579,19885,20125,20356,20614,20989,21446,21924,22389,22757,23054,23329,23608,23922,24288,24714,25216,25842,26566,27333,28115,28851,29566,30253,30914,31551,32291,33132,34078,35129,36166,37193,38208,39207,40102,40893,41578,42158,42818,43557,44375,45273,46065,46751,47331,47805,48465,49310,50340,51554,52772,53993,55217,56442,57655,58853,60038,61543,62817,63841,64599,65275,66057,61336,62324,63164,63992,64816,65640,66516,67796,69464,71528,73892,76248,78020,80160,82440,84492,86328,87940,89325,90901,92665,94617,96757,98793,100717,102533,104469,106454,108480,110561,112643,114908,117291,119790,122548,125141,127719,130280,132398,134891,137744,140951,145019,148377,151545,154515,156622,159703,163080,166727,171212,174726,177846,180500,182865,184417,185424,186006,184818,185890,187799,190525,196002,198767,200758,201949,200773,201623,202984,204936,208120,210867,213747,216674,219976,222560,224818,226766,227697,229672,231989,234674,238319,241346,244326,247249,249915,252921,256100,259500,262621,266548,271279,276720,282906,288316,292850,296504,300730,305245,310125,315380,320325,325194,329970,334659,338912,343716,348724,353948,359655,365106,370560,376003,381506,386974
"36","28","  Motor vehicle licenses","S230200",705,715,726,738,749,760,771,780,782,782,782,786,798,815,829,838,839,848,855,862,874,890,907,925,940,954,968,982,980,983,996,1005,1020,1029,1035,1036,1038,1035,1040,1047,1049,1060,1071,1092,1114,1128,1146,1156,1163,1177,1190,1206,1230,1250,1269,1295,1320,1343,1371,1402,1434,1456,1459,1451,1424,1420,1444,1488,1558,1606,1636,1640,1627,1625,1635,1657,1692,1728,1760,1784,1804,1828,1852,1876,1908,1936,1964,1996,2028,2060,2092,2116,2144,2156,2148,2132,2067,2082,2117,2166,2223,2285,2348,2412,2473,2528,2580,2627,2659,2706,2756,2811,2878,2933,2981,3024,3071,3182,3250,3261,3334,3444,3384,3454,3486,3610,3550,3610,3623,3575,3766,3704,3917,3890,3885,4220,4461,4288,4495,4676,4912,5175,5061,4600,5381,5400,5492,5595,5465,5400,5545,5286,5659,5858,5702,5885,5961,6083,6060,6156,6240,6162,6297,6417,6690,6617,6900,6529,6452,6624,6615,6673,6606,6976,6950,6928,6819,6965,7305,7371,7485,7445,7631,7923,7811,7747,7896,8082,8164,8266,8242,8312,8412,8474
"37","29","  Severance taxes","S230430",391,401,412,424,426,434,440,444,446,450,452,456,457,458,461,464,467,473,483,489,485,493,501,509,500,505,515,520,545,561,572,582,580,600,592,608,612,652,608,628,624,644,668,672,700,692,692,720,744,740,752,748,732,800,804,876,836,828,888,996,1396,1596,1676,1716,1740,1772,1944,1784,1920,1980,2224,2280,2216,2272,2404,2448,2512,2580,2468,2736,3112,3188,3456,4100,4288,4760,5160,5592,6416,7528,8128,8080,8048,7676,7600,7712,7444,6864,6892,7096,7384,7376,7284,7112,7236,6832,7048,6904,6408,5404,4012,4012,4152,4316,4620,4152,4260,4424,4111,3797,4043,4529,5302,3762,5572,4679,4461,6184,5596,4823,4829,5108,4417,4663,4857,5167,4311,4500,4744,4013,4322,4581,4498,4159,4533,3863,3817,3951,4262,4858,4225,4723,4876,5039,4270,4699,4473,3575,3185,3075,3033,3259,3727,4089,4197,5087,6062,5938,7361,6097,4871,4251,3806,3831,4535,4496,5294,5973,5727,6022,6254,6594,7207,7633,8091,8709,8156,11328,11146,11056,9866,9964,9522,9116
"38","30","  Special assessments","S230550",334,334,334,334,369,369,369,369,392,392,392,392,381,381,381,381,449,449,449,449,532,532,532,532,519,519,519,519,493,493,493,493,419,419,419,419,485,485,485,485,533,533,533,533,586,586,586,586,662,662,662,662,751,751,751,751,800,800,800,800,825,825,825,825,852,852,852,852,875,875,875,875,933,933,933,933,1066,1066,1066,1066,1212,1212,1212,1212,1321,1321,1321,1321,1476,1476,1476,1476,1612,1612,1612,1612,1729,1781,1841,1901,1979,2026,2071,2108,2126,2141,2146,2151,2252,2308,2362,2422,2495,2528,2528,2505,2421,2385,2361,2349,2374,2378,2374,2370,2360,2360,2368,2384,2404,2440,2492,2556,2632,2716,2812,2912,2878,2868,2881,2921,3012,3061,3094,3113,3092,3111,3146,3199,3271,3346,3430,3517,3635,3696,3730,3739,3685,3674,3672,3681,3719,3745,3773,3803,3838,3868,3896,3922,4237,4398,4546,4675,5037,5335,5561,5711,5918,6092,6234,6344,6241,6171,6144,6168,6269,6353,6445,6541,6651,6756,6864,6977,7079,7198
"39","31","  Other taxes \2\","S230400",1386,1419,1453,1482,1507,1511,1513,1513,1558,1574,1591,1601,1600,1612,1624,1640,1677,1699,1716,1716,1745,1754,1787,1818,1870,1896,1948,1966,2044,2158,2285,2413,2424,2385,2408,2363,2378,2405,2479,2466,2457,2450,2460,2497,2494,2523,2608,2735,2919,3051,3170,3260,3422,3538,3657,3799,3880,3965,3934,3981,3854,3805,3831,3818,3917,4025,4058,4088,4160,4211,4471,4842,4717,4737,4844,4978,5124,5492,5632,5716,5900,6084,6316,6568,6704,6684,6784,6872,6816,6804,6852,6728,6736,6848,6992,7272,7543,8156,8676,9129,9542,9929,10311,10702,11107,11533,11982,12450,12966,13431,13874,14285,14701,14999,15227,15389,15563,16115,16206,16240,16838,16558,16646,16982,17314,17201,16951,16926,16937,16856,17338,18329,18135,20756,19702,19707,20171,20918,22260,22079,22464,23005,23143,23688,24174,24401,24566,24423,24585,26354,26218,26963,26689,26611,27594,28710,29962,30903,31236,30207,31961,32112,31905,32834,32972,33780,34204,35064,34045,35278,36381,37148,38505,37621,39403,39427,40477,41683,44249,45227,47822,50203,51769,53998,55030,56875,59052,59779,58808,60587,59882,60459,62512,63339
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","1. Consists largely of taxes on telephone services, tires, coal, nuclear fuel,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","and trucks, and of refunds other than those for alcoholic beverages and tobacco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2. Consists largely of business licenses and of documentary and stamp taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
