"","Table 5#7#9A# Implicit Price Deflators for Private Inventories b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"27","19","    Durable goods","A383RD3",22.791,22.974,23.406,23.943,24.286,24.603,25.56,26.137,26.175,25.945,25.672,25.596,25.756,25.947,26.522,27.519,28.26,28.447,28.334,28.444,28.606,28.602,28.563,28.641,28.752,28.988,29.1,29.1,29.101,29.136,29.22,29.446,29.566,29.643,29.952,30.492,30.76,30.949,31.106,31.725,31.912,31.95,32.031,32.379,32.603,32.684,32.686,32.984,33.113,33.165,33.098,32.948,32.9,32.811,32.748,32.632,32.554,32.529,32.421,32.397,32.285,32.247,32.176,32.103,32.012,31.939,31.935,32.094,32.089,32.034,31.959,31.997,31.961,31.933,31.903,31.917,31.944,31.965,31.883,32.184,32.16,32.242,32.54,32.874,32.996,33.064,33.241,33.436,33.73,33.568,33.603,34.012,34.016,34.286,34.612,35.243,35.733,35.974,35.993,36.191,36.267,36.562,36.667,36.732,37.065,37.69,37.723,38.207,39.165,40.738,42.381,43.915,45.044,45.542,46.209,46.88,47.342,48.008,48.967,49.845,50.497,51.077,51.745,52.582,53.406,55.407,56.566,57.701,59.206,60.624,61.527,63.997,66.469,67.58,69.579,70.869,71.665,72.7,73.579,74.649,74.722,75.57,76.199,76.777,77.496,78.065,78.695,79.424,80.294,80.72,80.852,81.011,81.553,81.732,81.384,82.223,82.379,82.748,83.112,83.765,83.597,84.592,85.033,85.546,86.318,87.062,87.832,88.815,89.444,89.663,89.889,90.279,90.165,90.444,91.241,92.007,92.364,92.682,93.185,93.9,93.999,94.781,95.592,96.046,96.804,97.912,98.745,99.486,99.431,100.611,101.48,102.207,102.958,103.653,103.746,104.212,103.922,104.088,104.224,104.046,103.557,102.544,101.679,101.008
"28","20","      Motor vehicle dealers","A864RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.914,27.914,27.913,27.906,27.603,27.6,27.6,27.6,27.417,27.299,27.301,27.238,27.241,27.115,27.116,27.116,26.993,26.932,26.75,26.75,26.998,26.935,26.811,26.689,26.755,26.754,26.753,26.691,26.63,26.571,26.446,26.264,26.748,26.683,26.792,27.186,27.549,27.622,27.67,27.797,27.831,28.15,28.114,28.111,28.667,28.565,28.987,29.406,30.33,30.566,30.902,30.837,31.181,31.099,31.466,31.474,31.528,31.674,32.164,32.158,32.577,32.783,34.302,36.123,37.805,38.404,38.987,39.862,40.722,40.991,41.902,43.043,44.078,44.366,45.02,45.483,46.442,46.67,48.416,49.291,50.675,51.756,53.1,53.193,55.486,56.851,57.943,59.805,62.174,62.312,64.049,65.436,67.223,67.04,68.572,69.251,70.065,70.236,70.575,71.645,72.527,73.621,74.376,74.484,74.457,75.46,75.347,74.552,75.906,76.025,76.207,76.295,77.686,77.726,79.064,79.342,79.521,80.117,80.782,81.695,82.786,83.111,83.098,83.044,83.585,82.887,83.262,84.194,85.044,85.588,85.813,86.8,87.691,87.405,88.794,89.86,90.421,90.767,92.59,93.604,94.254,93.964,95.977,97.293,98.248,99.094,99.796,99.789,100.672,100.404,100.398,100.445,100.119,99.744,98.748,97.974,97.334
"29","21","      Other","A865RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.088,39.329,39.427,39.302,39.263,39.174,38.998,38.869,38.82,38.77,38.727,38.569,38.518,38.416,38.34,38.2,38.169,38.05,38.084,38.076,38.144,38.199,38.221,38.199,38.205,38.125,38.064,38.069,38.176,38.314,38.525,38.573,38.636,38.657,38.697,38.886,39.182,39.363,39.451,39.688,40.079,40.336,40.017,40.099,40.303,40.449,40.524,40.725,40.995,41.8,41.918,42.07,42.055,42.35,42.537,42.765,42.84,43.408,44.204,44.288,44.849,46.798,48.396,49.764,51.048,52.856,53.232,53.604,54.008,54.717,55.057,55.767,56.429,57.551,58.026,58.959,59.605,61.255,63.55,65.064,65.82,67.88,69.332,71.416,74.041,77.956,79.022,81.129,81.005,81.545,81.907,82.283,82.656,82.976,83.197,83.784,84.142,85.379,86.174,86.405,87.002,87.656,87.761,87.916,88.26,88.338,88.821,88.924,89.218,89.406,89.98,90.631,90.502,90.1,90.676,91.316,92.222,93.189,94.015,94.623,95.478,96.466,96.964,97.509,97.719,98.276,98.452,99.092,99.757,99.9,100.316,100.27,100.785,101.321,101.411,101.93,102.266,103.523,103.765,104.397,105.254,105.47,105.699,106.068,106.537,107.173,107.86,108.067,108.051,107.741,108.102,108.34,108.339,107.723,106.667,105.669,104.95
"30","22","    Nondurable goods","A384RD3",29.801,29.727,30.002,30.868,31.499,31.5,31.813,31.183,30.039,29.175,29.052,29.053,28.935,28.856,30.4,31.499,32.641,32.602,32.485,32.084,31.856,31.501,31.458,31.101,31.06,31.026,31.299,31.182,31.257,31.183,31.216,31.063,30.982,30.986,30.985,30.868,30.986,31.297,31.423,31.538,31.777,31.89,32.047,32.049,32.126,32.087,32.204,31.991,31.909,31.929,31.96,31.874,32.071,32.121,32.125,32.143,32.031,31.788,31.839,31.952,32.01,31.835,32.018,31.854,31.73,31.909,31.909,32.035,32.054,32.078,32.137,32.089,32.28,32.532,32.586,32.957,33.153,33.124,33.412,33.335,33.036,33.361,33.387,33.407,33.677,34.047,34.086,34.226,34.452,34.901,35.007,35.33,35.871,35.935,35.838,35.99,36.403,36.62,36.694,36.754,37.129,37.505,37.861,38.653,40.694,42.536,42.477,43.735,43.978,44.598,46.264,46.993,47.284,48.347,49.173,49.461,49.651,50.641,50.817,51.489,52.783,53.232,53.097,53.614,54.787,56.115,56.933,58.13,60.148,61.549,63.118,64.897,67.962,69.308,71.27,70.485,71.72,72.388,72.84,73.092,73.4,73.981,74.261,74.382,74.995,75.499,76.15,76.715,77.409,77.419,77.454,77.68,77.601,77.85,77.896,78.654,77.754,78.266,78.888,78.987,79.881,80.899,81.384,82.11,82.543,83.7,84.682,85.217,86.476,87.466,87.503,88.196,89.106,89.552,91.122,91.751,91.306,91.33,91.679,92.207,92.633,93.256,93.65,93.8,94.07,94.21,93.637,93.664,93.656,94.04,94.493,94.525,95.384,96.148,96.428,96.871,97.624,97.909,98.236,98.652,98.568,98.286,98.355,98.289
"31","23","  Other","A385RD3",12.221,12.684,13.182,13.594,13.75,14.245,14.871,15.127,15.103,14.48,14.244,14.269,14.531,14.717,15.391,16.199,16.76,16.762,16.664,16.687,16.687,16.583,16.661,16.816,16.947,17.126,17.279,17.2,17.155,17.026,17.212,17.333,17.441,17.568,18.035,18.476,18.738,18.938,19.018,19.334,19.41,19.437,19.434,19.389,19.334,19.127,19.255,19.95,20.02,19.861,20.155,20.398,20.149,19.642,19.865,19.713,19.612,19.194,19.32,19.311,19.199,19.086,19.411,19.457,19.578,19.181,19.358,19.521,19.429,19.235,19.54,19.941,19.977,20.054,20.342,20.645,20.82,21.163,21.348,21.589,21.768,21.765,21.9,22.059,22.297,22.104,22.089,22.371,22.717,22.956,23.516,24.105,24.685,25.112,25.57,25.605,25.632,25.796,26.06,26.273,26.346,26.414,26.743,27.123,27.769,28.321,28.941,30.835,33.411,36.752,39.057,40.271,39.965,40.204,40.465,41.172,41.634,42.375,43.862,44.751,46.476,47.208,48.041,48.672,49.521,51.057,52.116,53.533,55.705,58.376,61.805,64.36,70.057,70.16,72.632,76.015,80.16,81.786,82.939,84.02,84.801,85.767,86.541,87.023,85.607,85.459,85.998,85.932,86.751,87.468,87.287,86.902,86.058,85.392,84.975,85.412,81.769,79.15,78.066,78.542,79.894,80.601,81.196,80.78,80.362,80.308,80.363,81.527,83.486,84.819,84.978,86.104,86.262,85.513,88.678,90.738,87.173,86.484,86.818,86.617,85.378,87.007,88.185,88.504,87.707,88.776,88.145,88.025,88.505,88.183,88.668,88.418,89.868,91.215,90.328,91.788,94.144,94.218,93.694,97.122,97.57,95.768,96.032,96.934
"32","24","    Durable goods","A386RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.922,23.195,23.634,23.42,23.42,23.419,23.066,22.782,22.57,22.575,22.663,22.58,22.505,22.651,22.58,22.506,22.439,22.439,22.506,22.729,22.663,22.801,22.867,22.871,22.87,22.937,23.08,23.221,23.279,23.71,24.049,23.915,23.851,23.979,23.98,24.387,24.464,25.16,25.386,25.739,26.494,27.882,26.775,26.567,26.778,26.871,26.943,27.197,27.581,28.198,28.473,29.637,30.065,30.061,30.31,30.802,31.499,32.809,33.514,33.722,35.159,36.534,39.046,40.808,40.905,41.333,41.902,42.13,43.418,44.374,44.677,46.291,47.879,47.946,48.713,51.005,51.666,53.415,55.097,56.182,57.809,59.4,60.359,61.913,62.231,63.783,63.64,65.026,66.717,67.264,68.666,68.719,69.368,69.189,69.624,69.692,69.963,71.006,71.822,72.486,73.163,73.764,73.59,74.31,74.762,74.446,75.424,74.673,74.808,74.325,74.679,74.879,74.611,75.169,75.52,76.854,78.314,79.418,80.183,80.851,81.769,82.691,83.151,83.341,83.012,83.15,83.069,83.286,83.205,83.408,84.369,83.621,83.549,85.282,85.21,85.502,85.982,89.832,88.774,89.747,91.325,92.241,92.646,93.834,94.881,96.326,96.558,97.11,95.988,97.047,97.292,98.289,97.936,98.32,98.916,98.822,98.245
"33","25","    Nondurable goods","A387RD3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.626,19.675,19.453,19.8,20.069,19.794,19.272,19.547,19.4,19.288,18.808,18.959,18.958,18.808,18.689,19.072,19.134,19.274,18.808,18.98,19.175,19.053,18.822,19.17,19.626,19.658,19.726,20.036,20.374,20.516,20.862,21.091,21.374,21.56,21.556,21.656,21.827,22.008,21.766,21.71,21.945,22.198,22.556,23.187,23.814,24.438,24.894,25.369,25.374,25.352,25.507,25.703,25.902,25.98,26.035,26.352,26.707,27.299,27.835,28.485,30.416,33.098,36.508,38.857,40.167,39.8,40.011,40.274,40.933,41.355,42.129,43.604,44.439,46.287,47.018,47.732,48.362,49.141,50.663,51.718,53.116,55.328,58.141,61.73,64.467,70.507,70.631,73.183,76.696,81.126,82.765,84,85.111,85.966,86.975,87.807,88.309,86.676,86.446,86.976,86.851,87.686,88.485,88.224,87.767,86.886,86.094,85.704,86.165,82.308,79.5,78.344,78.865,80.264,80.993,81.548,81.023,80.516,80.416,80.44,81.617,83.638,85.022,85.18,86.399,86.556,85.756,89.127,91.332,87.526,86.743,87.137,86.925,85.495,87.237,88.472,88.78,87.696,88.884,88.153,87.921,88.375,88.003,88.442,88.1,89.554,90.98,89.992,91.632,94.084,94.143,93.51,97.212,97.653,95.682,95.982,96.963
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Implicit price deflators are as of the end of the quarter and are consistent with inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","stocks.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Note.  Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","periods are based on the 1972 Standard Industrial Classification (SIC).  Manufacturing estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","for 1981 and earlier periods and trade estimates for 1966 and earlier periods are based on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1972 SIC; later estimates for these industries are based on the 1987 SIC.  The resulting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","discontinuities are small.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
