"","Table 5#6#5BU1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"80","68","D   Motor vehicle and parts dealers","C4410",-3936,4468,7116,12304,14776,-324,-3716,-1948,20888,424,7644,22796,4196,24320,16004,4696,-21228,9568,7012,-30688,21772,19828,3976,27136,18620,15376,7976,7344,14292,14516,7344,-6568,-1524,-20576,-2816,14128,7564,3620,-4564,-8028,-14520,-3772,10596,-26624,-10384,-13064,5156,-9148,-43732
"81","69","D   Furniture, furnishings, electronics, and appliance stores","C44230",1760,1532,772,916,2772,1116,2308,2260,1424,2784,2100,2352,2368,3184,-520,3372,-36,-2432,-1316,1468,3772,1300,2712,-940,-136,1732,1564,2964,2364,2244,3120,5400,-1904,3388,-708,2828,2112,1856,104,-760,1948,396,2480,904,-2248,692,1128,-10888,-4800
"82","70","D   Building material and garden equipment and supplies dealers","C4440",164,1944,2436,908,3016,272,3076,2864,2080,1192,1568,4252,876,3488,2228,-1072,176,360,-292,-344,2884,-744,1656,2164,1056,-816,4508,-92,1720,2708,-484,4944,1412,-12,3308,4364,2660,1012,1860,-4564,-1236,3248,-2700,2344,1160,-4024,-320,-5144,-1404
"83","71","D   Food and beverage stores","C4450",268,40,1828,-756,2220,1916,4,676,1736,868,2780,1900,208,-1704,740,144,1572,720,-484,1176,-1260,352,1392,172,152,-1852,1480,-3940,308,936,548,-164,-52,-92,-2112,1568,2096,1340,376,-412,-952,1372,2020,1020,444,828,1184,-184,1440
"84","72","D   Clothing and clothing accessories stores","C4480",-1856,3468,1656,1420,1800,1944,2096,-1232,2220,1704,-2856,4036,168,2280,3256,4420,-516,-684,140,-3204,-2592,3192,3544,2224,2640,-1912,272,700,864,3740,2248,3280,4660,1720,712,-1384,2772,2980,928,6084,-1164,-3352,-1204,-872,-4764,-1592,-76,-3200,-3580
"85","73","D   General merchandise stores","C4520",-2856,3168,-1204,1572,1924,464,2668,-1612,2100,928,2412,5304,700,2004,-1028,2580,6260,328,-1868,-5236,-3468,508,4096,3784,-836,-60,2212,2112,5316,3628,1164,7316,6800,188,2060,-584,-3564,-1968,7192,6132,1960,-60,-2580,-1124,-3144,148,-840,-5832,-8108
"86","74","D     Department stores","C45210",-1380,1944,-1432,1900,228,-696,820,-3168,624,-468,0,2464,-1296,48,-2232,980,1548,-1384,-1416,-7152,-5016,-1804,88,508,-2176,-1120,-1224,-2308,1396,432,-1012,1720,4472,-3792,40,-792,-4820,-2516,3420,3520,-280,800,-628,-2056,-1728,-2092,-924,-6612,-4016
"87","75","D     Other general merchandise stores","C45290",-1476,1224,228,-328,1696,1160,1848,1556,1476,1396,2412,2840,1996,1956,1204,1600,4712,1712,-452,1916,1548,2312,4008,3276,1340,1060,3436,4420,3920,3196,2176,5596,2328,3980,2020,208,1256,548,3772,2612,2240,-860,-1952,932,-1416,2240,84,780,-4092
"88","76","D   Other retail stores","C44X0",4544,6920,6308,3512,12308,5484,3528,7368,2964,4520,2792,6520,-420,2796,2408,4772,-3356,-1924,2152,-600,-128,3964,1256,-5680,2068,-2928,1456,1924,-180,1176,3176,4668,-108,1624,-2020,-248,6360,2296,2332,4052,776,2468,1812,1972,-1824,-1276,-2256,536,-6864
"89","77","B Other industries","COTH0",8512,4508,3016,5280,2904,5136,5464,9280,7552,9092,6996,4824,12764,14180,17548,5092,2232,-544,-248,-728,-2972,1468,-1564,-2344,-1220,3952,1072,1396,5688,4748,6708,5876,1672,1856,-1052,2420,3608,6692,4484,2032,5760,3480,1696,2344,256,-4176,-1316,4868,504
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","B=Quarterly data published in the Survey of Current Business monthly (NIPA table 5.6.5B).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","D=Detail underlying published data.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
