"","Table 7U# Chain-Type Price Indexes for BEA Real Retail and Food ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210"
"41","33","S3 PN4531ZZMG       Florists","T070333",99.071,99.542,101.314,103.932,101.186,103.538,102.902,101.522,100.735,98.327,97.919,102.556,100.908,100.246,100.106,101.558,100.324,97.365,96.929,97.292,98.622,99.057,99.348,98.934,97.255,99.227,98.515,96.785,98.564,99.618,99.332,100.258,100.799,101.7,101.659,101.523,101.399,102.037,101.682,101.352,102.27,102.05,102.72,102.838,103.94,102.79,102.946,101.771,98.557,99.514,102.31,102.47,101.899,99.081,99.059,98.704,100.59,97.155,97.327,100.997,98.746,98.052,99.755,101.057,99.912,98.307,97.073,95.596,93.946,95.304,94.955,94.963,100.074,100.94,98.342,100.46,98.906,98.303,99.007,98.746,97.102,96.766,97.207,96.462,96.5,98.39,98.521,98.593,98.348,98.523,95.097,95.121,94.492,95.273,94.039,95.947,95.174,96.146,100.021,101.988,102.249,101.86,101.485,100.95,99.977,99.666,100.641,100.23,101.052,104.62,103.953,102.877,103.49,103.418,102.5,102.584,101.442,101.885,102.869,102.325,102.601,103.989,103.786,103.161,103.98,103.725,102.804,101.545,101.468,102.071,102.866,101.393,102.524,102.385,101.642,102.135,101.487,101.351,101.654,101.52,101.597,101.036,101.515,103.095,103.21,103.803,104.433,105.358,104.685,103.142,103.402,103.718,104.178,105.82,104.663,103.724,102.968,101.955,102.778,102.276,102.837,104.406,104.173,104.466,104.77,104.89,104.627,104.724,104.285,104.001,104.006,104.071,104.499,104.582,103.555,102.955,102.551,102.856,103.144,103.414,103.933,104.397,103.955,103.865,103.646,103.618,103.911,103.979,104.124,104.722,103.442,104.158,105.078,105.759,106.26,106.539,107.147,107.124,106.575,107.07,107.618,107.013,107.117,108.111,107.747,106.381,105.729
"42","34","S3 PN4532ZZMG       Office supplies, stationery, and gift stores","T070343",105.091,105.875,105.578,104.914,106.069,105.703,105.787,105.356,105.681,105.351,106.221,105.891,105.856,105.55,105.634,106.403,106.232,105.651,105.455,106.139,106.214,106.354,106.167,106.05,106.188,106.66,106.958,106.504,106.536,106.087,106.267,106.153,106.38,106.557,106.583,106.841,107.711,107.681,108.786,109.111,109.529,109.636,110.313,110.712,111.187,110.869,111.214,111.461,111.841,110.492,109.778,109.57,109.753,108.893,108.917,108.169,108.628,108.647,108.247,107.719,107.478,108.505,108.558,108.547,108.311,108.17,108.556,107.713,107.427,107.23,107.691,108.135,107.865,107.354,107.621,108.3,107.676,106.868,106.641,105.984,105.76,105.912,105.331,105.087,104.62,103.703,103.652,103.812,103.345,103.3,102.996,102.671,102.735,102.495,101.925,101.496,101.767,101.641,101.236,101.291,100.871,100.202,99.651,99.132,99.033,98.56,98.534,98.083,97.748,97.332,96.841,96.869,96.367,95.621,95.709,95.081,94.556,94.296,94.169,93.536,92.702,91.848,91.471,91.397,91.124,91.004,90.781,90.273,90.076,89.693,89.247,88.489,88.466,88.22,87.666,87.846,86.015,85.361,84.92,83.153,82.808,82.931,82.813,82.37,82.672,82.656,82.001,81.782,81.712,81.298,80.926,80.674,80.593,82.261,81.302,80.373,80.459,80.257,80.234,79.814,79.591,78.838,78.177,77.538,77.074,76.776,76.871,76.373,75.509,75.394,74.973,74.432,74.426,73.951,73.555,73.467,72.854,72.931,72.889,72.913,72.491,72.362,72.108,71.749,71.553,71.072,70.516,70.423,69.761,70.047,69.168,68.647,69.019,68.946,68.829,68.932,68.538,68.223,68.152,67.808,67.396,66.759,66.693,66.469,66.199,66.116,66.145
"43","35","S4 PN4533ZZMG       Used merchandise stores","T070353",107.939,108.587,108.501,107.812,108.983,108.6,108.574,107.949,108.401,108.3,108.854,108.804,108.774,108.737,108.593,109.194,108.738,108.157,108.045,109.114,109.103,108.682,108.589,108.232,108.368,108.123,108.536,108.459,108.739,108.328,108.594,108.162,108.188,107.8,107.809,107.071,107.386,106.407,106.746,106.652,106.513,106.151,106.673,106.792,107.114,107.092,107.192,107.492,108.13,106.939,106.866,106.618,106.821,105.969,105.762,104.705,105.512,105.412,105.065,104.821,104.825,105.665,105.655,105.844,106.006,105.943,105.953,105.12,104.934,104.67,105.08,105.385,105.03,104.612,104.973,105.643,105.29,104.496,104.515,104.667,104.079,104.182,104.168,103.815,103.566,102.648,102.464,103.246,102.922,102.774,102.386,102.168,102.248,102.285,101.884,101.229,101.293,101.171,100.949,100.948,100.497,100.043,99.686,99.236,99.375,98.878,99.103,98.774,98.71,98.508,98.29,98.306,97.785,97.327,97.397,96.956,96.724,96.665,96.639,96.214,95.395,94.879,95.018,94.955,94.693,94.551,94.178,94.321,94.602,94.184,93.978,93.036,92.941,92.755,92.03,92.466,90.714,90.376,90.106,88.645,88.529,88.852,88.793,88.245,88.737,88.973,88.408,88.063,88.146,87.846,87.492,86.665,86.64,89.237,88.607,87.503,87.429,87.435,87.343,86.649,86.735,85.859,85.109,84.866,84.506,84.233,84.59,83.972,83.125,82.652,82.273,82.197,82.596,82.133,81.745,81.558,80.807,80.983,80.815,80.672,80.192,80.303,79.769,79.16,79.033,78.747,78.12,77.997,77.144,77.706,77.275,76.557,77.01,76.719,76.107,76.393,76.271,76.211,76.261,76.183,76.057,75.151,75.258,74.913,74.741,74.925,75.122
"44","36","S4 PN4539ZZMG       Other miscellaneous store retailers","T070363",86.325,86.74,86.577,86.393,87.113,86.857,86.81,86.724,86.902,86.979,87.587,87.719,88.081,88.237,88.542,89.055,89.059,88.67,88.889,88.959,88.734,88.593,88.762,88.736,89.483,89.437,90.261,90.254,90.571,90.437,90.687,90.589,90.684,90.777,91.493,91.25,91.958,91.764,91.726,91.736,91.867,91.987,92.353,92.137,92.624,92.657,93.466,93.565,94.003,93.618,93.788,93.679,94.018,93.662,93.675,93.29,93.71,93.747,93.802,93.715,93.849,94.356,94.523,94.875,94.709,94.588,94.912,94.709,94.674,94.887,95.186,95.324,95.557,95.8,95.631,96.41,96.628,96.191,96.491,96.293,96.53,96.758,96.89,98.549,99.441,98.748,98.369,99.388,99.134,99.051,99.6,99.108,100.012,99.985,99.773,99.093,99.74,99.91,99.932,100.888,100.345,100.028,100.132,99.709,100.163,99.505,100.179,99.469,99.785,99.721,99.659,100.692,100.493,100.338,101.186,100.762,101.324,100.858,101.446,100.724,100.333,100.488,100.047,101.11,100.63,101.171,101.251,101.552,102.162,101.35,101.25,100.639,100.976,100.919,100.35,100.85,99.442,99.329,99.54,98.524,98.53,99.045,99.275,99.133,99.695,100.047,100.146,100.013,100.331,100.206,100.23,99.884,100.466,102.804,102.299,101.543,101.779,102.279,102.137,101.692,101.986,101.525,101.203,101.201,101.45,101.363,101.448,101.191,100.697,100.554,100.136,100.473,101.202,100.84,100.768,100.442,99.544,99.777,99.774,99.816,99.815,100.036,99.933,99.51,99.677,99.597,99.232,99.238,98.705,99.438,99.068,98.763,99.474,99.576,99.728,100.408,100.907,101.804,102.428,102.517,102.82,102.673,102.91,102.751,102.948,103.209,104.782
"45","37","S1 PN454ZZZMG     Nonstore retailers","T070373",108.873,108.868,108.637,108.928,109.444,109.956,110.423,110.266,110.195,110.238,110.28,110.09,110.277,110.304,110.427,110.585,110.329,109.908,109.874,109.933,109.952,110.264,110.402,109.936,109.725,110.658,110.664,110.492,110.327,110.416,110.68,110.79,110.741,110.316,110.21,110.203,110.184,109.794,109.75,109.957,110.186,109.959,110.234,110.181,110.088,109.786,109.623,109.925,111.11,110.66,110.89,111.306,110.954,110.057,109.849,109.549,109.968,110.988,111.124,111.356,110.796,110.538,109.804,109.082,108.393,108.065,107.566,106.866,106.774,106.333,106.086,105.858,105.125,104.433,104.185,104.088,103.824,103.276,103.02,102.441,101.6,101.305,100.6,100.013,99.476,98.942,98.605,99.244,99.183,99.072,99.117,99.072,99.265,99.28,99.011,99.372,99.648,101.77,100.887,100.029,99.886,99.77,99.683,99.296,100.231,99.829,99.559,99.412,99.379,98.393,97.149,96.662,96.048,95.771,95.182,94.138,93.831,92.875,92.096,91.026,90.176,89.357,89.093,89.425,89.275,88.911,88.629,88.529,87.902,87.619,87.082,86.801,87.244,88.274,89.055,87.51,85.723,85.207,85.015,84.478,83.989,83.994,84.05,84.074,84.736,84.87,84.778,84.764,84.981,84.837,84.554,84.576,84.516,85.415,85.16,84.283,84.054,83.834,83.969,84.11,83.681,83.306,83.372,83.076,84.438,84.073,82.997,82.267,81.942,81.582,81.337,81.31,81.083,80.788,80.868,80.812,79.858,79.046,78.751,79.078,78.693,78.496,78.7,78.76,78.47,77.929,77.639,77.324,77.202,77.34,77.232,77.372,78.143,77.806,78.36,78.262,78.434,78.95,79.217,78.198,77.311,76.272,74.512,73.115,73.342,72.993,72.177
"46","38","S2 PN4541ZZMG       Electronic shopping and mail-order houses","T070383",131.764,131.691,131.003,131.914,133.025,133.306,134.037,133.335,133.019,132.899,133.062,132.761,133.023,133.167,132.698,132.796,132.51,131.765,132.024,132.574,132.826,132.833,133.29,132.932,132.769,132.77,133.262,133.339,133.245,133.128,133.027,132.786,132.776,132.332,132.026,131.937,131.983,131.063,131.118,131.296,131.401,130.564,131,130.823,130.682,130.21,130.171,130.172,130.022,129.054,128.47,127.707,127.257,126.581,126.232,125.341,125.354,125.153,124.556,123.551,122.727,122.845,122.533,122.052,121.165,120.745,120.103,118.742,118.539,117.66,117.209,116.959,116.223,115.408,115.183,115.084,114.413,113.519,112.919,112.034,110.993,110.499,109.515,108.907,108.024,107.372,106.744,106.829,106.478,106.004,105.572,104.906,104.435,104.039,103.402,103.281,102.858,102.203,101.848,101.3,101.084,100.284,99.739,99.232,99.04,98.395,97.862,97.25,96.235,95.606,94.662,94.085,92.912,92.404,92.147,90.799,89.849,89.392,89.058,88.475,87.4,86.445,85.708,85.464,85.31,84.702,84.17,83.95,82.771,82.08,81.211,80.641,80.392,79.792,79.597,79.313,78.03,77.436,76.988,76.139,75.516,75.685,75.555,75.35,75.243,74.904,74.793,74.983,74.708,74.282,73.846,73.407,73.286,73.102,72.225,71.42,71.373,70.865,70.527,70.276,69.911,69.234,68.743,67.94,67.84,67.375,66.889,66.208,65.582,65.309,65.051,64.659,64.017,63.527,63.36,63.184,62.723,62.453,62.244,62.243,61.926,61.623,61.515,61.41,60.735,59.99,59.569,59.262,58.966,58.791,57.604,57.483,57.861,57.588,57.54,57.146,56.571,56.2,56.128,55.634,55.144,54.848,54.536,53.978,54.331,54.101,53.791
"47","39","S4 PN4542ZZMG       Vending machine operators","T070393",82.948,83.205,83.267,83.099,83.07,83.337,83.325,83.831,84.08,84.003,83.928,84.097,84.166,84.346,84.478,84.583,85.197,85.009,84.996,85.028,84.865,85.079,85.335,85.482,85.637,85.524,85.485,85.657,85.874,86.161,86.534,86.678,86.782,86.715,86.705,87.065,87.075,87.423,87.401,88.019,88.014,88.06,88.042,88.142,88.575,88.749,88.792,88.974,88.941,89.37,89.677,89.983,90.18,90.715,90.939,91.305,91.612,91.968,92.215,92.232,92.231,92.515,92.488,92.494,92.591,92.655,92.773,92.885,93.079,93.26,93.57,93.54,93.871,93.972,94.075,94.306,94.644,94.674,94.848,95.117,95.215,95.707,95.779,96.404,97.027,97.047,96.844,97.16,97.333,97.278,97.535,97.567,98.105,98.237,98.348,98.418,98.582,98.946,99.174,99.429,99.835,99.846,100.392,100.493,100.779,100.668,100.864,101.163,101.505,101.933,102.126,102.476,102.698,103.003,103.611,103.681,103.904,104.124,104.361,104.096,104.328,104.728,104.738,105.399,104.75,105.008,105.161,105.275,105.603,105.274,105.577,105.761,105.589,106.202,106.366,106.418,106.464,107.056,107.041,107.515,107.577,107.922,108.243,108.885,108.715,109.045,109.343,109.521,110.3,110.46,110.743,110.758,110.536,111.138,111.323,111.263,111.364,111.199,111.487,112.412,112.448,112.289,112.684,112.688,113.013,113.14,113.54,113.651,114.042,113.911,114.083,114.07,114.215,114.614,114.895,115.178,115.626,115.849,115.794,115.692,116.542,117.331,117.893,118.138,118.503,119.162,119.514,119.961,120.542,120.809,121.295,121.337,122.262,122.743,123.061,124.409,124.728,125.661,126.991,127.788,128.653,129.181,129.443,129.402,129.461,129.232,129.408
"48","40","S4 PN4543ZZMG       Direct selling establishments","T070403",84.631,84.609,84.594,84.595,84.805,85.419,85.744,85.833,85.867,86.031,86.017,85.854,85.993,85.915,86.403,86.583,86.229,86.021,85.809,85.557,85.461,85.946,85.831,85.244,84.972,86.582,86.266,85.889,85.635,85.827,86.292,86.624,86.532,86.115,86.145,86.147,86.087,86.009,85.898,86.038,86.37,86.582,86.748,86.776,86.655,86.449,86.167,86.681,88.954,88.848,89.7,91.077,90.774,89.557,89.399,89.569,90.359,92.495,93.304,94.708,94.435,93.778,92.587,91.539,90.995,90.742,90.357,90.279,90.282,90.271,90.182,89.953,89.071,88.424,88.089,87.93,88.106,87.926,88.056,87.762,87.057,86.9,86.465,85.711,85.489,85.041,85.122,86.612,86.929,87.351,88.087,89.006,90.218,90.896,91.189,92.432,93.952,101.49,99.403,97.775,97.704,98.902,99.597,99.374,102.636,102.672,102.878,103.616,105.48,103.601,101.547,101.066,101.491,101.614,100.051,99.504,100.515,98.318,96.326,93.961,93.393,92.68,93.511,95.164,95.126,95.252,95.517,95.696,96.301,97.054,97.251,97.664,99.961,105.168,108.59,103.611,100.309,99.876,100.318,100.5,100.296,99.767,100.255,100.774,103.656,105.091,104.974,104.271,105.939,106.665,106.777,108.248,108.421,112.766,114.549,113.44,112.642,113.478,115.277,116.738,116.099,116.914,119.003,120.772,127.878,128.11,124.633,123.775,124.741,124.043,123.886,125.667,127.442,128.094,129.347,129.859,126.618,123.228,122.59,124.55,123.8,124.08,125.695,126.59,128.306,128.963,129.4,129.085,129.875,131.658,137.665,139.238,141.763,141.152,144.914,146.427,150.974,156.616,158.789,154.909,151.892,146.603,136.447,130.382,129.552,128.687,125.021
"49","41","S1 PN722ZZZMG Food services and drinking places","T070413",82.704,82.831,82.928,83.076,83.199,83.284,83.352,83.474,83.676,83.718,83.827,83.946,84.127,84.276,84.387,84.564,84.724,84.873,84.989,85.064,85.157,85.261,85.332,85.443,85.59,85.623,85.758,85.93,86.039,86.144,86.203,86.314,86.504,86.645,86.863,87.001,87.133,87.309,87.561,87.748,87.907,88.043,88.21,88.366,88.531,88.722,88.815,88.942,89.095,89.282,89.449,89.708,89.948,90.11,90.317,90.529,90.745,91.148,91.405,91.583,91.803,91.961,92.193,92.307,92.341,92.539,92.784,92.95,93.235,93.443,93.669,93.899,94.095,94.293,94.416,94.531,94.768,94.811,95.081,95.265,95.6,95.785,95.902,96.167,96.463,96.585,96.758,96.985,97.157,97.269,97.538,97.741,97.957,98.095,98.295,98.531,98.781,98.979,99.197,99.37,99.588,99.804,100.101,100.356,100.634,100.788,101.098,101.304,101.714,101.821,102.132,102.416,102.752,103.017,103.341,103.727,103.879,104.217,104.488,104.71,104.892,105.179,105.237,105.369,105.561,105.898,106.05,106.254,106.454,106.664,106.86,107.031,106.886,107.301,107.535,107.591,107.797,108.021,108.255,108.374,108.541,108.822,109.129,109.439,109.781,110.1,110.326,110.619,110.963,111.171,111.667,112.01,112.252,112.517,112.674,112.858,113.403,113.719,113.972,114.189,114.386,114.713,114.978,115.307,115.535,115.902,116.171,116.371,116.779,117.147,117.417,117.672,118.124,118.444,118.758,119.041,119.179,119.507,119.736,120.142,120.708,121.127,121.309,121.704,122.034,122.458,123.046,123.497,124.032,124.388,124.739,125.038,125.529,125.968,126.402,126.771,127.27,127.911,128.643,129.035,129.648,130.191,130.601,130.984,131.394,131.694,131.873
"50","42","S4 PN7221ZZMG   Full-service restaurants","T070423",82.374,82.501,82.61,82.773,82.898,82.981,83.051,83.172,83.375,83.418,83.531,83.651,83.829,83.972,84.092,84.272,84.43,84.579,84.698,84.775,84.865,84.967,85.03,85.152,85.311,85.339,85.473,85.652,85.757,85.863,85.911,86.02,86.21,86.353,86.574,86.71,86.834,87.012,87.271,87.465,87.63,87.768,87.937,88.096,88.259,88.447,88.541,88.665,88.818,89.008,89.179,89.447,89.689,89.851,90.042,90.26,90.478,90.883,91.135,91.312,91.543,91.703,91.935,92.049,92.096,92.29,92.542,92.71,92.993,93.2,93.424,93.665,93.858,94.052,94.189,94.372,94.654,94.803,94.949,95.212,95.509,95.755,95.913,96.221,96.468,96.826,96.923,97.031,97.249,97.369,97.634,97.768,97.987,98.111,98.317,98.441,98.657,98.932,99.059,99.304,99.608,99.834,100.184,100.411,100.763,100.888,101.155,101.236,101.757,101.958,102.205,102.502,102.83,103.137,103.445,103.817,103.977,104.278,104.495,104.683,104.706,105.03,105.133,105.37,105.565,105.886,105.929,106.162,106.418,106.626,106.818,107.034,107.063,107.283,107.491,107.643,107.755,108.087,108.268,108.406,108.609,108.788,109.077,109.376,109.704,109.944,110.219,110.454,110.722,110.949,111.463,111.699,111.968,112.241,112.535,112.747,113.242,113.571,113.773,113.917,114.062,114.361,114.619,114.888,115.141,115.465,115.773,116.004,116.321,116.858,117.192,117.508,118.018,118.321,118.675,118.949,119.123,119.563,119.603,120.064,120.641,120.991,121.25,121.572,121.871,122.417,122.984,123.352,123.802,124.122,124.614,124.835,125.263,125.757,126.146,126.536,126.921,127.54,128.042,128.339,128.866,129.301,129.461,129.691,130.006,130.284,130.502
"51","43","S4 PN7222ZZMG   Limited-service eating places","T070433",83.558,83.681,83.721,83.801,83.921,84.004,84.047,84.165,84.359,84.384,84.475,84.582,84.771,84.936,85.008,85.169,85.324,85.478,85.578,85.649,85.759,85.868,85.962,86.036,86.143,86.185,86.317,86.477,86.594,86.696,86.779,86.892,87.083,87.219,87.429,87.57,87.724,87.89,88.126,88.284,88.422,88.551,88.708,88.851,89.017,89.218,89.301,89.433,89.572,89.743,89.896,90.128,90.364,90.519,90.772,90.968,91.172,91.572,91.849,92.034,92.234,92.388,92.625,92.737,92.728,92.936,93.158,93.319,93.611,93.826,94.055,94.258,94.45,94.652,94.754,94.802,95.016,94.916,95.311,95.398,95.769,95.877,95.951,96.134,96.507,96.323,96.597,96.975,97.071,97.164,97.444,97.724,97.919,98.103,98.289,98.661,98.94,99.038,99.411,99.502,99.601,99.791,99.985,100.262,100.452,100.635,101.005,101.376,101.649,101.627,102.031,102.286,102.616,102.815,103.149,103.554,103.714,104.077,104.4,104.67,105.054,105.314,105.31,105.28,105.465,105.843,106.115,106.258,106.392,106.594,106.751,106.89,106.5,107.173,107.437,107.372,107.691,107.782,108.087,108.194,108.284,108.691,109.024,109.344,109.714,110.134,110.288,110.632,111.06,111.231,111.713,112.191,112.394,112.646,112.633,112.772,113.393,113.689,113.982,114.297,114.569,114.935,115.211,115.612,115.797,116.205,116.414,116.571,117.075,117.239,117.426,117.615,117.982,118.312,118.579,118.863,118.929,119.151,119.61,119.94,120.492,120.999,121.07,121.517,121.882,122.178,122.781,123.331,123.974,124.366,124.553,124.935,125.507,125.879,126.358,126.69,127.339,128.024,129.09,129.574,130.302,131.023,131.751,132.326,132.876,133.238,133.361
"52","44","S4 PN7223ZZMG   Special food Services","T070443",82.721,82.851,82.916,83.027,83.145,83.233,83.31,83.433,83.632,83.68,83.779,83.89,84.08,84.236,84.334,84.51,84.687,84.832,84.939,85.013,85.127,85.234,85.328,85.411,85.522,85.575,85.717,85.877,85.995,86.108,86.196,86.316,86.503,86.647,86.858,86.995,87.15,87.323,87.565,87.738,87.887,88.022,88.184,88.336,88.502,88.703,88.79,88.921,89.069,89.245,89.407,89.645,89.884,90.038,90.287,90.487,90.696,91.088,91.355,91.536,91.727,91.886,92.119,92.242,92.248,92.461,92.682,92.837,93.124,93.333,93.557,93.767,93.956,94.141,94.284,94.505,94.85,94.976,95.064,95.339,95.6,95.869,96.047,96.315,96.573,96.919,97.02,97.135,97.327,97.425,97.694,97.799,98.007,98.182,98.372,98.484,98.692,98.964,99.143,99.402,99.673,99.866,100.155,100.343,100.702,100.81,101.077,101.171,101.718,101.914,102.18,102.461,102.751,103.045,103.323,103.685,103.807,104.118,104.322,104.499,104.533,104.899,105.002,105.212,105.394,105.74,105.77,105.98,106.254,106.438,106.567,106.824,106.822,107.074,107.258,107.396,107.537,107.865,108.059,108.238,108.361,108.538,108.81,109.12,109.454,109.677,109.955,110.156,110.422,110.618,111.126,111.351,111.619,111.9,112.183,112.361,112.866,113.189,113.381,113.548,113.693,113.991,114.275,114.535,114.744,115.083,115.36,115.569,115.86,116.369,116.696,117.013,117.468,117.741,118.111,118.369,118.478,118.974,119.017,119.452,120.026,120.381,120.586,120.85,121.157,121.771,122.288,122.635,123.103,123.389,123.902,124.099,124.542,125.003,125.352,125.706,126.121,126.782,127.362,127.571,128.098,128.535,128.617,128.783,129.09,129.388,129.544
"53","45","S4 PN7224ZZMG   Drinking places (alcoholic beverages)","T070453",78.847,78.996,79.424,79.944,80.084,80.19,80.375,80.53,80.771,80.902,81.122,81.316,81.454,81.503,81.848,82.109,82.3,82.412,82.631,82.729,82.687,82.771,82.694,83.046,83.478,83.452,83.601,83.851,83.908,84.037,83.952,84.047,84.232,84.402,84.666,84.8,84.79,85.028,85.375,85.75,86.036,86.217,86.447,86.694,86.848,86.971,87.121,87.218,87.443,87.737,87.993,88.433,88.696,88.906,88.793,89.116,89.42,89.858,89.997,90.133,90.499,90.697,90.893,91.021,91.352,91.478,91.88,92.095,92.339,92.508,92.714,93.108,93.357,93.568,93.696,93.64,93.503,93.691,94.275,94.452,94.914,95.087,95.104,95.683,95.815,96.118,96.22,96.38,96.747,96.988,97.189,97.507,97.885,97.726,98.023,98.287,98.653,98.919,98.734,98.843,99.242,99.633,100.325,100.749,101.002,101.267,101.496,101.518,101.88,102.149,102.242,102.65,103.195,103.625,104.113,104.472,104.529,104.967,105.35,105.546,105.676,105.77,105.914,106.398,106.647,106.753,107.016,107.475,107.639,107.948,108.613,108.536,108.789,108.846,109.106,109.257,109.37,109.682,109.812,109.788,110.388,110.61,110.909,111.21,111.468,111.741,112.121,112.59,112.963,113.356,113.807,114.037,114.369,114.658,114.98,115.35,115.698,116.068,116.499,116.515,116.562,116.796,116.993,117.286,117.719,118.133,118.586,118.914,119.411,119.975,120.343,120.561,121.282,121.723,122.022,122.416,122.948,122.967,123.058,123.64,124.275,124.628,125.109,125.877,126.22,126.439,127.213,127.66,128.046,128.495,128.839,129.219,129.631,130.166,130.713,131.257,131.566,132.016,132.163,132.855,133.37,133.527,133.868,134.277,134.514,134.503,134.864
"54",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","S1 PN04472BMG   Retail and food services except motor vehicle and parts dealers","T070463",93.219,93.521,93.755,93.809,93.953,94.127,94.253,94.289,94.377,94.454,94.606,94.809,94.975,95.342,95.495,95.693,95.554,95.196,95.154,95.235,95.125,95.681,95.807,95.788,95.779,95.769,95.912,95.878,95.865,96.101,96.427,96.701,96.746,96.622,96.747,96.736,96.776,96.677,96.701,96.922,96.999,96.889,96.992,97.051,97.075,97.084,96.876,97.076,97.426,97.385,97.745,98.083,98.246,97.914,97.911,97.803,98.131,98.359,98.586,98.761,98.785,98.996,98.882,98.739,98.482,98.31,98.283,98.333,98.479,98.356,98.256,98.175,98,97.677,97.337,97.298,97.39,97.227,97.302,97.261,96.96,96.978,96.783,96.781,96.884,96.65,96.647,97.76,97.763,97.807,98.223,98.401,98.722,98.643,98.505,98.892,99.006,99.459,100.257,99.874,99.753,100.302,100.334,99.811,100.483,100.261,100.291,100.17,100.263,100.253,99.984,100.241,100.753,100.733,100.041,99.654,100.202,99.313,98.534,97.9,98.03,97.992,98.628,99.412,99.031,98.952,98.934,99.082,99.042,98.998,98.926,98.757,99.04,99.87,100.168,99.34,98.371,98.413,98.652,98.966,99.432,99.161,98.908,99.062,99.637,100.222,100.645,100.771,101.662,101.736,101.412,101.359,101.348,102.334,102.031,101.55,101.813,102.108,102.282,102.656,102.057,101.973,102.646,103.284,104.874,104.606,103.488,103.257,103.74,103.502,103.437,103.973,104.171,104.152,104.522,104.749,103.81,102.761,102.724,103.428,103.41,103.634,104.115,104.249,104.571,104.631,104.643,104.334,104.531,104.754,105.584,105.824,106.348,106.183,106.469,106.655,107.153,108.226,109.027,108.807,108.858,107.63,104.919,103.167,103.588,104.053,103.736
