"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"43","32","E1HHO1 C Household operation","E1HHO10",43917,44059,43843,43998,44835,45762,45344,45508,45642,45794,46246,45434,45680,46149,46890,47390,46445,46849,46614,46590,46598,47352,46907,47031,47087,47158,47643,47769,48174,48153,48235,48078,48365,48815,49466,49737,50128,49877,50600,50237,50516,50262,50662,50949,52044,51536,52327,52719,53674,53487,53262,53091,53049,53542,54005,54712,55069,54539,54652,55465,55302,56536,56973,57579,58264,58911,58799,59667,58928,60304,59332,59995,59731,59749,59752,60551,61324,61240,62411,62360,63280,64754,64916,64602,65089,64778,65423,65931,65904,67111,67903,68185,68489,68880,68765,69361,69052,69921,69003,69984,70870,71095,70515,70480,71655,70982,72756,73500,73715,74195,74850,74711,75338,76466,76893,77808,77225,77372,78320,78248,78829,79978,80554,80237,80795,80802,81283,81280,81803,82071,82464,83331,84471,83220,82850,84070,84024,84045,84511,85226,85538,86472,86286,87438,87341,87967,88267,88736,89175,89844,90099,90472,91612,91711,92575,93194,93809,94591,96647,97305,97442,98345,99952,100821,101505,103877,104693,105223,106259,107982,107895,108521,110204,111504,111375,112218,114583,114615,116098,115378,117591,117600,119531,121796,123352,123916,125245,126367,127071,128760,125835,125926,127075,129083,131324,134234,134086,135165,136781,138544,139976,139438,139488,142862
"44","33","E1MED1 C Medical care","E1MED10",19828,19870,20052,20222,20413,20552,20625,20771,20924,21059,21084,21288,21535,21574,21748,22112,22250,22303,22178,22042,22298,22705,22869,22882,22907,23004,23145,23517,23629,23823,23944,24017,24244,24436,24688,25059,25185,25376,25685,25936,26268,26420,26647,26874,27203,27319,27702,27918,27924,28087,28229,28245,28372,28617,28678,28906,28956,29091,29316,29771,30217,30611,31064,31437,31988,32222,32650,33050,33280,33492,33614,33925,34313,34541,34608,34697,34779,34629,34609,34423,34639,34929,35018,35318,35535,35811,36267,36893,37232,37855,38291,38542,39074,39575,40087,40399,40377,40638,40815,40954,41040,41322,41341,41554,41893,41996,42309,42936,43679,44352,45361,46068,47051,47596,48080,48864,49321,50018,50740,51128,51810,51960,52338,52865,53906,54026,54382,54819,55227,55842,56332,56659,57620,58896,58691,59415,59878,60543,61490,62089,63040,63809,64692,65347,65164,65613,66009,66520,67690,67979,68884,69673,70257,70661,71273,72742,73073,73511,74555,75290,75184,75963,77218,78330,78791,79174,79523,79885,81167,82095,83155,83846,84617,85491,85787,86247,87064,87692,88136,88503,89557,90764,91719,92577,93810,95063,95857,96848,98134,99538,99920,101909,103606,105210,105444,107144,108846,109505,109755,110071,111649,114097,115871,117485
"45","34","E1PBU1 C Personal business","E1PBU10",12696,12783,12862,12915,12978,13048,13088,13139,13259,13391,13517,13568,13602,13633,13810,14019,14219,14250,14203,14185,14232,14323,14409,14523,14643,14795,15115,15460,15793,15655,15374,15147,15264,15488,15707,15732,15688,15652,15770,15951,16123,16089,15953,15855,15899,16019,16093,15978,15756,15605,15712,15904,16095,16401,16664,16959,17273,17628,17984,17926,17915,17821,17917,18050,18203,18419,18621,18805,18806,18788,18755,18920,19085,19278,19373,19428,19494,19755,20020,20317,20654,20973,21311,21523,21737,21959,22054,22128,22198,22147,22095,22020,21990,21938,21922,22174,22488,22759,22937,23020,23135,23452,23856,24250,24388,24491,24562,24507,24256,23919,24512,25372,25403,26878,26918,26362,26545,27010,27145,27839,27366,27708,27462,27732,28833,28953,28833,29308,29665,30145,30667,30341,30522,30826,30878,30977,31406,31734,31617,31982,32938,32953,32475,33099,33304,34041,34241,34306,34067,34014,34073,34740,34345,34439,34329,35739,36240,36747,37073,37503,37125,37529,37756,38248,37573,37994,39095,39683,39468,39492,39440,39966,40452,40881,41466,41626,42730,43244,43513,43639,43720,43753,44407,44731,45955,45786,46681,47580,48456,48637,49389,50158,51896,53471,53596,53932,54784,55310,55667,55341,55330,56243,56382,56916
"46","35","E1TRN1 C Transportation","E1TRN10",37606,39633,40309,40941,41107,41091,41317,42090,43164,41054,41104,39223,39671,42150,44494,45344,42797,41560,42196,43476,45094,43749,43096,40487,39684,39749,40453,40394,40566,40980,41289,41725,42195,42531,43597,44296,44345,44909,45236,45646,46407,46505,45912,45839,46585,46171,48700,50223,49827,49044,48593,49344,49920,50756,51057,50044,50110,49798,51216,52970,53579,52744,51645,52324,53265,53986,55123,55170,54264,54732,52425,50678,54132,58859,62262,61001,58559,56070,57007,59418,63081,61422,60616,60067,60871,62869,65011,63543,60283,58386,59542,62071,65146,63758,62841,62577,63003,60589,61648,64788,64637,65853,65831,64678,65987,64896,64960,67533,70207,69953,72769,71154,73343,72867,75232,75581,76848,76927,75525,76861,78934,79264,78415,79588,79771,80190,78552,81403,83235,82777,82310,80852,79641,81601,80246,81137,82635,84014,83225,83666,84342,80758,77096,79181,90210,89390,91499,92436,91534,94672,93206,94345,99377,99389,99430,98373,101015,99750,102055,102106,103400,103395,104322,106208,105951,108746,111079,112569,114964,117233,119673,117954,118734,112735,115159,113518,117406,114416,115681,112421,110721,111247,115204,116852,120512,121086,123628,129745,124974,122991,118047,121699,122668,126453,121984,122488,126882,128997,135297,135610,138237,138396,142679,148677
"47","36","E1USE1 C   User-operated transportation","E1USE10",34488,36501,37163,37781,37937,37887,38080,38814,39879,37762,37803,35907,36336,38797,41147,42006,39468,38234,38868,40143,41762,40421,39771,37168,36371,36444,37132,37052,37207,37619,37936,38373,38814,39113,40139,40819,40860,41407,41708,42079,42806,42924,42358,42311,43059,42639,45163,46681,46288,45505,45054,45799,46373,47207,47504,46490,46540,46216,47617,49342,49904,49036,47925,48594,49526,50223,51327,51339,50416,50867,48547,46799,50257,54983,58343,57030,54537,52015,52932,55318,58950,57252,56408,55869,56695,58707,60785,59221,55878,54009,55221,57788,60748,59205,58124,57813,58237,55821,56887,60018,59853,61016,60944,59737,61007,59881,59911,62444,65005,64709,67477,65787,67907,67362,69649,69959,71193,71212,69726,71017,72973,73225,72292,73345,73432,73734,72054,74860,76608,76051,75569,74072,72687,74710,73376,74498,75747,77045,76232,76589,77184,73792,70022,71912,83007,82172,84380,84969,84058,86950,85340,86434,91418,91346,91327,90240,92654,91368,93652,93712,95048,94977,95814,97640,97182,99920,102007,103542,105916,108128,110592,108831,109563,103480,105883,104113,107929,104858,106003,102710,100749,100906,104743,106301,109910,110217,112912,118945,114249,112185,107547,110674,111763,115524,110884,111835,115863,117786,124071,124219,126675,126606,130847,136587
"48","37","E1PLT1 C   Purchased local transportation","E1PLT10",1915,1927,1939,1952,1962,1978,1992,2009,2017,2028,2037,2049,2060,2072,2063,2051,2040,2029,2021,2014,2004,1992,1981,1985,1991,1997,1994,1989,1982,1981,1979,1979,1988,1998,2010,2016,2017,2024,2022,2025,2026,2030,2036,2041,2043,2042,2043,2038,2030,2025,2029,2034,2040,2043,2046,2048,2047,2044,2045,2049,2055,2062,2057,2051,2044,2040,2034,2030,2032,2033,2033,2033,2029,2026,2035,2047,2056,2062,2063,2067,2077,2091,2106,2076,2041,2009,2028,2060,2092,2118,2141,2161,2178,2196,2214,2214,2208,2205,2214,2222,2233,2238,2241,2243,2248,2251,2257,2275,2337,2343,2340,2367,2403,2427,2457,2472,2475,2511,2565,2571,2628,2643,2646,2679,2691,2721,2727,2730,2751,2772,2739,2769,2946,2928,2865,2973,2943,2952,3000,3009,3027,3042,3066,3105,3075,3090,3141,3123,3165,3360,3345,3351,3354,3357,3396,3363,3435,3471,3426,3435,3372,3432,3417,3438,3456,3450,3459,3489,3486,3453,3540,3441,3438,3435,3456,3468,3495,3486,3405,3573,3663,3690,3705,3645,3621,3741,3714,3693,3690,3720,3786,3852,3858,3867,3891,3909,3909,3930,3966,3969,4275,4269,4275,4362
"49","38","E1PIT1 C   Purchased intercity transportation","E1PIT10",1203,1205,1207,1208,1208,1226,1245,1267,1268,1264,1264,1267,1275,1281,1284,1287,1289,1297,1307,1319,1328,1336,1344,1334,1322,1308,1327,1353,1377,1380,1374,1373,1393,1420,1448,1461,1468,1478,1506,1542,1575,1551,1518,1487,1483,1490,1494,1504,1509,1514,1510,1511,1507,1506,1507,1506,1523,1538,1554,1579,1620,1646,1663,1679,1695,1723,1762,1801,1816,1832,1845,1846,1846,1850,1884,1924,1966,1993,2012,2033,2054,2079,2102,2122,2135,2153,2198,2262,2313,2259,2180,2122,2220,2357,2503,2550,2558,2563,2547,2548,2551,2599,2646,2698,2732,2764,2792,2814,2865,2901,2952,3000,3033,3078,3126,3150,3180,3204,3234,3273,3333,3396,3477,3564,3648,3735,3771,3813,3876,3954,4002,4011,4008,3963,4005,3666,3945,4017,3993,4068,4131,3924,4008,4164,4128,4128,3978,4344,4311,4362,4521,4560,4605,4686,4707,4770,4926,4911,4977,4959,4980,4986,5091,5130,5313,5376,5613,5538,5562,5652,5541,5682,5733,5820,5820,5937,5982,6072,6273,6138,6309,6651,6756,6906,6981,7128,7002,7107,7035,7086,6714,7173,7047,7062,7209,6744,7110,7281,7260,7422,7287,7521,7557,7728
"50","39","E1RCR1 C Recreation","E1RCR10",17261,17343,17461,17217,17481,17679,17534,17847,18060,17970,18083,18117,18278,18152,18119,18749,18472,18547,18521,18427,18462,18840,18750,18632,18536,18663,18955,18841,19088,19190,19367,19383,19536,19640,19930,19959,20104,19970,20355,20565,20798,20686,20812,20786,21284,21209,21394,21444,21366,21854,22067,22167,22070,22533,22958,23044,22860,22929,22548,23031,23139,23948,24285,24222,24677,24554,24789,24965,24842,24828,25119,25574,25517,25921,25985,26475,26385,26357,26523,26655,27405,28082,28485,28561,28996,29407,29657,30212,29986,30933,31181,31674,32006,31856,32100,32492,32763,32952,33044,32937,32454,32599,32835,34039,33988,33133,33260,33627,34556,35154,36162,35686,35833,36752,37237,37443,37620,37590,38448,38254,38536,39117,39265,39963,40254,40342,39983,39977,40270,40397,40331,41217,42144,42896,42142,42210,42654,42517,43049,43443,43687,44260,43999,44320,44162,44475,44513,45217,45512,46155,45858,46649,46979,47620,47254,47977,48565,48713,50072,50339,50825,50714,52055,52157,52571,53807,53707,54277,55463,56203,56398,56484,56564,57661,57435,57970,59243,58968,59352,59372,60532,60670,62105,62279,63339,63271,63815,65007,64950,64643,64947,65263,66958,67629,67993,67926,70319,70729,70735,71822,72234,72340,73816,73968
"51","40","E1TED1 C Education and research","E1TED10",3931,3950,3962,3980,4000,4014,4039,4057,4074,4097,4119,4148,4173,4217,4263,4290,4321,4346,4392,4428,4467,4519,4559,4528,4490,4444,4552,4689,4824,4810,4747,4702,4720,4757,4797,4844,4870,4896,4944,5002,5056,5100,5152,5200,5251,5302,5354,5392,5425,5459,5477,5506,5538,5558,5600,5633,5671,5710,5754,5798,5839,5876,5936,5993,6060,6130,6194,6266,6341,6407,6480,6554,6618,6683,6753,6821,6889,6971,7033,7094,7178,7256,7330,7411,7483,7555,7646,7734,7827,7920,8019,8112,8210,8298,8387,8458,8528,8588,8643,8697,8756,8836,8883,8946,9021,9093,9175,9298,9556,9627,9711,9801,9916,10012,10115,10239,10360,10488,10595,10685,10752,10812,10918,11005,11098,11222,11325,11459,11601,11713,11841,11997,12107,12189,12257,12359,12481,12634,12825,12970,13078,13097,13102,13205,13350,13486,13598,13667,13755,13861,13968,14106,14210,14292,14386,14579,14721,14610,14682,14744,15003,15057,15613,15622,15835,15891,15814,15828,15923,16009,16000,16282,16409,16732,17612,17404,17597,17373,17584,17670,17764,17870,18248,18382,18556,18775,18725,18508,18757,18738,18764,18961,18931,19200,19457,19581,20133,20261,21640,21274,21472,21638,21710,21937
"52","41","E1RAW1 C Religious and welfare activities","E1RAW10",4809,4842,4889,4926,4968,5017,5067,5115,5168,5215,5263,5292,5296,5316,5296,5272,5251,5203,5185,5158,5127,5104,5067,5057,5057,5049,5103,5168,5227,5305,5368,5436,5509,5569,5631,5656,5663,5668,5623,5569,5517,5474,5421,5369,5331,5291,5242,5258,5279,5308,5396,5479,5568,5690,5781,5885,5987,6084,6172,6251,6487,6570,6582,6582,6589,6550,6573,6577,6561,6558,6534,6535,6536,6545,6635,6757,6881,7025,7153,7282,7420,7543,7678,7754,7802,7854,7826,7793,7763,7719,7678,7636,7597,7562,7524,7573,7653,7725,7900,8064,8230,8439,8627,8814,8989,9156,9320,9423,9331,9287,9260,9231,9214,9188,9189,9202,9235,9283,9329,9363,9435,9500,9596,9699,9778,9890,9990,10110,10239,10317,10440,10571,10624,10645,10658,10717,10773,10923,11057,11181,11251,11243,11244,11357,11529,11688,11842,11982,12139,12303,12499,12706,12908,13083,13290,13597,13299,13489,13735,13780,13575,13911,13491,13633,13765,14788,15110,15573,14282,14391,14914,15184,14894,15395,14698,14691,15216,15113,15360,15544,15645,15978,16149,16474,16660,17052,16509,16786,16946,16973,17152,17492,17227,17609,17618,17353,17838,18258,18566,18598,18580,18733,19215,19836
"53","42","E1FTO1 C Foreign travel and other, net","E1FTO10",1971,2025,2085,2094,2081,1912,1997,2005,2058,2043,1992,1965,2036,2118,2218,2266,2249,2046,2136,2117,2119,2094,2037,2016,2046,2102,2134,2103,2033,1900,1982,2022,2071,2069,2048,2054,2123,2200,2286,2311,2291,2172,2355,2421,2496,2515,2505,2429,2355,2293,2378,2495,2623,2481,2625,2629,2621,2593,2577,2534,2496,2491,2528,2572,2596,2422,2581,2569,2617,2623,2624,2697,2831,2982,2965,2866,2755,2569,2777,2865,2944,2920,2891,2931,3048,3180,3183,3135,3094,2876,3010,3021,3161,3252,3288,3336,3399,3515,3766,4002,4201,3965,3938,3777,3709,3724,3735,3725,3705,3768,3750,3675,3649,3569,3802,3841,3781,3643,3535,3490,3672,3825,3939,3918,3891,3795,4044,4236,4380,4329,4278,4221,4230,4290,4446,4578,4728,4656,4737,4620,4488,4434,4455,4506,4512,4542,4563,4716,4812,4845,4668,4581,4659,4896,5160,5382,5475,5492,5408,5279,5176,5134,5114,5109,5152,5167,5201,5137,5034,4896,4826,4948,5031,4976,4724,4503,4343,4410,4460,4501,4435,4386,4443,4687,4911,4953,4729,4554,4521,4837,5043,4997,4693,4383,4173,4231,4298,4360,4381,4364,4346,4590,4739,4782
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","  the Survey of Current Business monthly (NIPA table 2.8.5 and table B.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","  of Current Business monthly (NIPA table 2.3.5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","  Business annually (NIPA table 2.5.5 and table B.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
