"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231"
"26","18","  Services \1\","B656RC1",1.9,1.9,1.8,2.2,2.3,2.4,2.7,2.6,2.4,2.5,2.3,2.2,2.3,2.4,2.6,2.8,3.1,3.1,3.5,3.9,4.3,4,4.5,5.1,4.8,4.9,5.2,5.3,4.8,5.1,5.1,5.3,5.1,5.9,6.1,5.6,5.9,6.3,6.6,5.7,6.9,6.9,6.7,6.1,6.9,7.4,7,7,6.9,7,7.1,7.1,7.6,7.6,7.8,7.5,7.6,7.6,7.6,7.7,7.9,8,8,8.5,8.3,8.3,8.6,8.5,8.6,8.6,8.7,8.9,8.9,9.2,9.2,9.8,10.1,10.6,11,11.1,11.7,12.2,12.5,12.1,12.3,12.3,12.8,13.1,13,13.6,13.8,14.3,14.2,15.1,15.3,15.1,15.3,15.9,15.8,16.2,17.1,17.3,16.8,17.9,18.9,19.4,19,19.9,21.5,23,23,24.3,24,23,23.3,24.7,25.4,25.8,26.9,27.9,28.8,29.9,29.7,30.8,32.9,33.7,35.7,37.1,37.6,39,40.5,42.4,44.7,44.1,45.1,47.2,49.5,50.2,49.4,50.6,51.9,53.3,52.1,53.4,52.7,55.2,57.5,58.4,65.5,68.6,69.7,71.3,71.9,74.1,73.6,76,82.1,79.3,85.1,86.6,88.5,93.7,94.9,100.2,101.7,100.9,102.2,104.6,104.7,105.2,107.5,109.6,117,119.6,124.4,128.1,124.1,123.6,122,124.5,122.9,121.8,124.8,124.9,124.3,127,128,133.1,135.6,136.6,139.2,139.3,142.5,145.1,147.1,149.8,153.1,155.2,160.2,161,167.2,168.9,174.1,176,178.9,184.5,189.7,194.6,197.5,203.8,210.4,213.4,224.5,229.1,238.3,237.3,236.6,241.9,230.9,225.1,235.6,238.7,244.1,252.5,254.3,253.3,263.5,271.5
"27","19","Income payments","A655RC1",0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,1,0.9,0.9,0.9,1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.3,1.4,1.5,1.5,1.6,1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.9,1.8,1.8,1.9,1.9,1.9,2,2.1,2.2,2.2,2.3,2.3,2.4,2.5,2.6,2.6,2.7,2.8,2.9,3.1,3.2,3.2,3.2,3.2,3.4,3.7,4,4.1,4.2,4.8,5.4,6.1,6.4,6.6,6.5,6.4,6.2,5.9,6.1,6.7,7,7,7.6,7.8,8.5,9.6,10.8,11.4,11.9,12.6,13.9,15.2,15.5,15.5,14.9,15.1,14.6,15.6,15.6,15.4,15.4,15,16.2,17.2,19.2,20.4,23.8,25.3,29.1,31.9,34.7,37.3,41.6,45.6,43.8,40.5,49.8,54.3,59.7,63.2,59.1,62.3,66.3,66.4,62.9,59.8,62.1,67.4,70,77.8,85.7,89.9,88.9,86,85.6,85.6,86.4,92.8,95.6,90.6,95.3,98,102.6,107.5,113.2,119.8,122.9,132.1,139.1,147.5,156.4,152.9,149.1,153.5,153.3,158.1,152.4,148.9,141.1,138.1,125.9,124.2,126.9,121.9,119.1,115.3,124.1,120.7,137.1,136.9,151.4,168.7,183.8,188.7,195.1,206.6,202.2,199.8,207.9,220,227.2,243.9,248.7,260.6,261.7,262,267.2,269.2,264.7,264,274.6,300,309.6,330.4,349.2,348.1,347.2,328.5,304.5,293.3,208.9,262.4,291.4,289.9,266.9,269,266.2,274.3,NA
"28","20","  Wage and salary payments","B4189C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.7,2.6,2.7,2.6,2.5,2.2,2.1,1.9,1.9,1.7,1.9,2.1,2.2,2.3,2.6,3.3,3.4,3.5,3.8,3.6,3.9,4.1,4.5,4.7,4.8,4.7,4.9,4.8,5.1,5.1,5.5,5.8,6,6,6.1,6.2,6.3,6.3,6.4,6,6.2,6.3,6.6,6.4,6.6,6.7,6.9,6.8,6.8,7.1,7.3,7.8,7.9,8,8.1,7.5,7.5,7.4,7.7,8.1,8,8.1,8.2,8.4,8.5,8.2,8.5,8.7,8.5,8.6,NA
"29","21","  Income payments on assets","W161RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,92.9,88,92.7,95.4,100,105.3,111.1,117.9,121,130.4,137.2,145.4,154.1,150.6,146.4,150.2,149.9,154.6,148.7,145.3,137.2,134,121.4,119.5,122.2,117.2,114.2,110.5,119,115.6,131.6,131.1,145.5,162.7,177.7,182.5,188.9,200.3,195.8,193.7,201.6,213.8,220.6,237.5,242.1,253.8,254.8,255.3,260.4,262.1,257.4,256.2,266.6,292,301.5,322.9,341.7,340.7,339.5,320.4,296.5,285.2,200.6,254,282.9,281.6,258.4,260.2,257.7,266.1,NA
"30","22","    Interest","B1869C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.5,81.6,80,83.4,83.7,89.5,92.4,102.6,102.6,105.6,116.2,123.7,135.1,142.4,141.5,144.2,143.1,143.5,146.8,150.6,147.1,136.8,132.4,125.5,119.5,114.4,110.2,108,107.1,104.4,105,112.1,110.9,122.6,133.1,144.2,149.9,156.4,160.9,162.6,159.6,164.6,174,181.9,187.6,195.7,202.6,210.6,213.5,213.7,218.6,213.3,209.3,212,227.2,246.5,256.5,276.5,289.1,295.7,284.2,269.2,255,226,221.4,228.1,219.8,211.4,193.6,185.4,187.7,NA
"31","23","    Dividends","B3376C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,9,10.2,11.4,10.2,11.1,10.3,13.3,10.9,17,13.2,11.8,23.3,13,14.5,14.4,18.8,17.4,16.8,21.7,17.7,17.8,14.7,18.3,16.1,16.8,15.4,18.2,22,20,16,17.5,24.3,19.5,18,24.1,23.2,23.6,30.9,25.4,26.7,26,29.6,32.4,27.7,31.6,30.8,41,35.5,36.8,42.9,48.7,66.2,54.6,41.4,41.7,49.1,62.6,62.3,53.3,45.9,34.3,53.3,50.3,46,51.7,33.8,37,34.5,44.7,31.1,NA
"32","24","    Reinvested earnings on foreign direct investment in the United States","B3476C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8,2.2,-2.2,-2.2,1.5,-0.5,2.6,-4.8,4.4,-1.6,0.9,1.7,-12.9,-1.2,-5.4,-12.1,-11.8,-10.9,-9,-23.7,-19.5,-17.4,-13.1,-22.3,-16.1,-9,-8.4,-12.1,-18.6,-5.5,-5.4,2,-4.1,3.3,11.6,9.4,9.3,8.9,8.5,7.8,7.4,11,10.2,6.2,22.2,14.8,20.4,3.1,6.3,9.9,0.7,-4.7,-19.3,0,23.4,13.2,17.3,2.6,-10.6,-9.5,-9.7,-7,-23.1,-75.7,-13.4,3.1,28,10,32.1,27.7,47.3,NA
"33","25","Current taxes and transfer payments to the rest of the world (net)","A123RC1",2.5,2.5,2.8,2.7,3.8,3.7,5.5,5.2,5.7,5.9,5.8,5.2,4.4,4.2,3.6,3.9,3.4,3.5,3.5,3.6,2.2,2.8,3,2.1,2.5,2.6,2.4,2.4,2.1,1.9,2.6,2.5,3,2.4,2.3,2.3,2.3,2.4,2.4,2.5,2.3,2.6,2.2,2.2,2.2,2.3,2.3,2.4,4.4,4.6,3.9,4.4,3.8,4.6,3.6,4.3,4,4.9,3.6,4.2,4.4,4.9,3.7,4.2,4.4,5.5,3.7,4,4,5.1,3.8,4.2,4.2,6,4.1,4.3,4.6,6.3,4.4,4.9,5.4,6,5.3,4.9,5.1,5.5,5.8,6.3,4.7,6.6,5.3,6.4,5.6,6.5,6.6,6.5,7.2,7.4,7.2,8.6,9.3,8.2,9.4,8.2,6.6,8.2,7.4,7.4,6.5,10.5,7.3,8.1,8.7,10.3,5,6.4,5.5,5.4,8.8,5.6,6,6.6,6.2,6.1,6.4,6.9,6.3,7.1,6.9,7.4,8,9.6,10.1,7.9,8.8,12.2,12.6,13.4,15.1,15.2,16,16,16.3,18.6,14.4,16,17.5,22,17.6,18.1,20.8,25.6,20.4,21.1,23.3,23.8,21,25,26,25.3,20.7,22.2,23,27.9,24.5,22.7,23.8,30.9,24.4,23.2,26.7,31.1,26.4,30.8,29.6,20.7,-59.8,-14.9,11.4,21.1,27.6,31.8,30,44,31.2,34,37,47,31,33.3,38,48.8,35.5,33.9,35.4,36.9,41.1,34.1,34.9,46.4,35.9,37.4,39.4,53.7,43.8,45,48.2,58.1,44,45.7,44.8,54.2,48.9,51,54.3,70.1,46.4,45.7,45.5,50.6,64.2,54.4,56.5,62.2,69.6,68.1,65.7,64.2
"34","26","  From persons (net)","B070RC1",0.7,0.6,0.7,0.6,0.8,0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.7,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.9,1.3,1,0.9,0.9,0.9,1.1,1,1,1.2,1.1,1.2,1.2,1.3,1.3,1.2,1.2,1.3,1.4,1.4,1.3,1.4,1.3,1.4,1.2,1.2,1.2,2.5,1.3,1.3,1.3,1.3,1.3,1.1,1.4,1.3,1.4,1.3,1.3,1.4,1.4,1.4,1.3,1.3,1.3,1.5,1.5,1.7,1.5,1.4,1.6,2,1.8,1.8,1.8,2,5.1,5.3,5.5,5.9,6.2,6.6,6.7,6.8,6.3,6.7,7.2,7.3,7.5,7.8,7.7,8.1,8.3,8,8.4,8,8.7,8.7,9,9.5,9.3,9.8,10.2,10.1,10.5,10.5,10.3,11,11,11.2,11.2,12,11.8,11.6,12.3,12.3,12.8,12.9,13,13.4,9.8,10.6,17,11.9,13.6,13.9,14.3,14.8,15.1,15.4,15.5,15.5,15.1,15,16.1,18.8,16.9,18,18.3,18.7,20.3,20.4,20.9,22.3,21.8,23.7,25.4,27.6,27.2,28.8,28.7,28.4,31.9,31.6,31.3,31.2,22.4,18.9,71.6,19.7,28.5,34.5,38.6,40.2,40.1,37.5,33.9,32.7
"35","27","  From government (net)","B088RC1",1.7,1.9,2.1,2.1,3,3,4.9,4.6,5.1,5.4,5.3,4.7,3.9,3.8,3.1,3.5,3,3.1,3.2,3.2,1.8,2.4,2.6,1.7,2.1,2.1,1.9,1.9,1.7,1.5,2,2.1,2.6,2,1.9,1.8,1.8,2,1.9,2,1.7,2.1,1.7,1.8,1.7,1.8,1.9,1.9,3.9,4.1,3.4,3.8,3.3,4.1,3,3.7,3.4,4.3,3,3.6,3.8,4.3,3,3.5,3.6,4.7,2.9,3.2,3.2,4.3,2.9,3.3,3.3,5,3.1,3.3,3.7,5.3,3.3,3.9,4.3,4.4,4.1,3.7,3.9,4.3,4.5,5.1,3.5,5.1,3.9,5,4,4.8,4.9,4.8,5.5,5.7,5.4,6.8,7.6,6.4,7.6,6.1,4.8,6.4,5.6,4,4.2,8.4,5.2,5.2,6.7,8.5,2.9,4.2,2.8,3.3,6.7,2.9,3.2,3.9,3.8,3,3.8,3.9,3.7,3.8,3.9,4.2,4.2,5,6,3.8,4.8,7.5,4.7,5,6.3,5.8,6.7,5.6,6.2,8.3,5,5.8,7.1,11,6.5,6.8,9.6,14,9.4,10.3,12,12.9,8.8,13.4,13.9,12.5,8.6,9.1,9.1,14.3,9.3,7.4,9.4,15.4,9,7.7,11,14,10.2,14.3,12,3.6,-77.5,-32.9,-6.5,2.6,12.5,15.7,13.6,26.7,12.2,14.9,17.4,26.7,10.3,11.9,15.7,25.3,10.7,9.5,9.9,10.3,17.4,9.2,9.5,20.1,7.7,8,8.3,19.7,8.3,7.4,9.5,19.6,8.6,10.1,8.8,19.1,8.7,9.1,11.4,24.6,7,8,8.7,14.1,22.7,9.8,9.7,15.1,21.1,20.2,19.1,16.9
"36","28","  From business (net)","W164RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.7,0.6,0.5,0.9,0.9,0.7,0.7,1.6,0.7,0.6,0.7,1,1.3,0.8,0.8,1.4,1.4,1.3,1.1,1.7,1.2,1.4,1.1,1.7,1.6,1.8,2.1,2.5,2.3,2.3,2.2,2.7,2.8,3.2,3.3,3.5,3,3.7,3.4,3.5,3.2,3.4,3.3,3.8,3.6,3.5,3.4,3.5,2.8,2.9,3,2.9,3.4,2.9,3.1,3.3,2.8,3.3,3.7,3.5,4.6,4.7,4.1,4.5,4.5,4.3,4.6,5.2,4.3,4.9,5.2,4.9,4.9,5.1,5,5.1,5.2,5.5,-0.5,5.4,5.3,5.2,5.4,5.5,5.7,6,6.8,8,9.6,9.4,9.4,7.9,6.8,6.9,7,7.6,7.8,9.1,10.2,11.7,13.6,13.9,13.3,10.9,8.2,6.8,7.3,6.7,8.3,10.3,11.6,14.4,16.9,18.9,-34.8,16.9,13,10.1,8.2,6.9,8.5,10.4,12.7,14.6
"37","29","    Balance on current account, NIPAs","A124RC1",9.4,9.9,10.1,7.8,4.9,3,0.9,0.8,2.2,1.7,0.6,-1,-1,-1.3,-2.7,-2.5,-1.7,0.3,2.2,2.7,3.6,1.2,-1,-1.2,-1.3,-1.8,-1.1,-0.9,-0.4,0.4,0,1,0.6,-0.2,0.9,0.5,1,2.3,3.1,4.6,5.6,4.9,5,3.7,1.6,0.9,1.2,0,-1.4,-2,-0.5,-0.8,1.8,2.5,3.8,4.8,5.4,4.1,3.8,3.8,3.1,4.9,4.2,3.3,4,5.4,4.7,6,8.3,6.8,7.6,7.4,5.8,7.1,6,6,4.8,4,2.8,4,4.4,3.6,3.2,2.9,1.8,2.4,1.7,1,1.8,0.8,1.6,2.9,4,5.5,3.8,2.7,4.6,0.3,-0.1,-2.5,-4.7,-4.3,-3.1,-2.3,2.6,5.9,13,15.8,17,3.2,1,5.3,19.2,23,20,23.3,14.9,10.8,4.2,5.6,-6.3,-7,-5.9,-16.9,-23,-10.7,-9.2,1.1,0.6,-0.1,5.1,0.1,-7.9,12.7,31,9.6,4.5,3.1,10,7.6,3.7,20.6,-10.9,-14.1,-4.9,-24.7,-44.9,-53.7,-75.5,-84.8,-87.3,-100.1,-86,-107.9,-117.7,-131.7,-124.8,-138.4,-146.8,-146.9,-147.6,-151.1,-150.7,-153.6,-123.5,-106.5,-102.9,-116,-98.8,-91.5,-80.3,-82.7,-79.4,-70.2,-81.1,-49.5,56.7,18,-10.2,-10.7,-10.7,-34.6,-41.9,-60.5,-43.9,-68.2,-70.7,-98.8,-79.5,-102.1,-113.2,-126.1,-100.7,-107.1,-86.9,-69.3,-83.3,-97.8,-122.4,-97.8,-110.1,-86,-104.8,-140,-144.6,-181.1,-209.2,-214.7,-220.8,-262,-300.1,-312.6,-362.8,-381.1,-423.5,-419.2,-400.4,-386.7,-398.8,-327.8,-407.8,-474.1,-473.9,-500.5,-529.3,-540.2,-518.4,NA
"38",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","30","  Net lending or net borrowing (-), NIPAs \2\","W162RC1",9.4,9.9,10.1,7.8,4.9,3,0.9,0.8,2.2,1.7,0.6,-1,-1,-1.3,-2.7,-2.5,-1.7,0.3,2.2,2.7,3.6,1.2,-1,-1.2,-1.3,-1.8,-1.1,-0.9,-0.4,0.4,0,1,0.6,-0.2,0.9,0.5,1,2.3,3.1,4.6,5.6,4.9,5,3.7,1.6,0.9,1.2,0,-1.4,-2,-0.5,-0.8,1.8,2.5,3.8,4.8,5.4,4.1,3.8,3.8,3.1,4.9,4.2,3.3,4,5.4,4.7,6,8.3,6.8,7.6,7.4,5.8,7.1,6,6,4.8,4,2.8,4,4.4,3.6,3.2,2.9,1.8,2.4,1.7,1,1.8,0.8,1.6,2.9,4,5.5,3.8,2.7,4.6,0.3,-0.1,-2.5,-4.7,-4.3,-3.1,-2.3,2.6,5.9,13,15.8,17,3.2,1,5.3,19.2,23,20,23.3,14.9,10.8,4.2,5.6,-6.3,-7,-5.9,-16.9,-23,-10.7,-9.2,1.1,0.6,-0.1,5.1,0.1,-7.9,12.7,31,9.6,4.5,3.1,10,7.6,4,20.8,-10.7,-14,-4.7,-24.5,-44.7,-53.5,-75.3,-84.6,-87,-99.9,-85.8,-107.6,-117.4,-131.3,-124.5,-138.1,-146.5,-146.6,-147.2,-150.7,-150.4,-153.3,-123.1,-106,-102.4,-115.4,-98.3,-91,-79.7,-82.9,-79.5,-69.5,-80.4,-77,52.9,18.3,-25.3,-10,-11.2,-35.3,-42.4,-60.9,-46.9,-68.8,-71.6,-99.5,-80.1,-106.1,-114.8,-126.7,-101.4,-107.3,-89.5,-69.6,-84,-98.4,-123.1,-98.4,-110.9,-87.1,-106.1,-141,-145.4,-181.8,-210,-215.4,-221.6,-262.7,-300.8,-329.9,-363.6,-381.9,-424.3,-419.9,-401.5,-387.7,-400,-328.8,-408.9,-475.3,-475.4,-501.9,-530.9,-541.5,-521.6,NA
"40","31","    Balance on current account, NIPAs","A124RC1",9.4,9.9,10.1,7.8,4.9,3,0.9,0.8,2.2,1.7,0.6,-1,-1,-1.3,-2.7,-2.5,-1.7,0.3,2.2,2.7,3.6,1.2,-1,-1.2,-1.3,-1.8,-1.1,-0.9,-0.4,0.4,0,1,0.6,-0.2,0.9,0.5,1,2.3,3.1,4.6,5.6,4.9,5,3.7,1.6,0.9,1.2,0,-1.4,-2,-0.5,-0.8,1.8,2.5,3.8,4.8,5.4,4.1,3.8,3.8,3.1,4.9,4.2,3.3,4,5.4,4.7,6,8.3,6.8,7.6,7.4,5.8,7.1,6,6,4.8,4,2.8,4,4.4,3.6,3.2,2.9,1.8,2.4,1.7,1,1.8,0.8,1.6,2.9,4,5.5,3.8,2.7,4.6,0.3,-0.1,-2.5,-4.7,-4.3,-3.1,-2.3,2.6,5.9,13,15.8,17,3.2,1,5.3,19.2,23,20,23.3,14.9,10.8,4.2,5.6,-6.3,-7,-5.9,-16.9,-23,-10.7,-9.2,1.1,0.6,-0.1,5.1,0.1,-7.9,12.7,31,9.6,4.5,3.1,10,7.6,3.7,20.6,-10.9,-14.1,-4.9,-24.7,-44.9,-53.7,-75.5,-84.8,-87.3,-100.1,-86,-107.9,-117.7,-131.7,-124.8,-138.4,-146.8,-146.9,-147.6,-151.1,-150.7,-153.6,-123.5,-106.5,-102.9,-116,-98.8,-91.5,-80.3,-82.7,-79.4,-70.2,-81.1,-49.5,56.7,18,-10.2,-10.7,-10.7,-34.6,-41.9,-60.5,-43.9,-68.2,-70.7,-98.8,-79.5,-102.1,-113.2,-126.1,-100.7,-107.1,-86.9,-69.3,-83.3,-97.8,-122.4,-97.8,-110.1,-86,-104.8,-140,-144.6,-181.1,-209.2,-214.7,-220.8,-262,-300.1,-312.6,-362.8,-381.1,-423.5,-419.2,-400.4,-386.7,-398.8,-327.8,-407.8,-474.1,-473.9,-500.5,-529.3,-540.2,-518.4,NA
