"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150"
"29","21","D     Apparel manufacturing","S3150",8549,8527,8550,8562,8686,8790,8831,8935,8898,8961,8877,8953,8950,8936,8998,8961,8882,8805,8745,8722,8720,8751,8736,8727,8509,8516,8610,8588,8645,8690,8720,8819,8960,8972,8909,9033,9066,9014,8889,8843,8758,8673,8792,8732,8712,8730,8840,8841,8902,8833,8711,8499,8353,8238,8070,7790,7577,7358,7202,6936,6820,6696,6621,6517,6455,6525,6556,6603,6687,6737,6749,6835,6892,6956,6976,7105,7107,6946,7025,6982,6888,6796,6779,6767,6711,6586,6514,6491,6497,6558,6582,6608,6629,6679,6680,6699,7224,7361,7406,7449,7391,7320,7365,7329,7354,7329,7211,7106,7213,7273,7275,7284,7309,7307,7452,7499,7344,7189,7291,7322,7375,7373,7385,7424,7503,7603,7713,7632,7615,7637,7612,7679,7643,7730,7722,7798,7800,7819,7886,7916,7862,7785,7692,7602,7653,7583,7582
"30","22","D     Leather and allied product manufacturing","S3160",1590,1583,1569,1609,1641,1614,1614,1597,1613,1639,1636,1652,1632,1626,1630,1660,1684,1680,1686,1694,1681,1680,1662,1608,1604,1582,1579,1559,1558,1585,1567,1594,1608,1637,1636,1646,1648,1678,1657,1646,1633,1639,1635,1644,1666,1689,1686,1656,1683,1697,1723,1725,1680,1620,1585,1562,1551,1523,1519,1455,1391,1371,1339,1287,1300,1311,1356,1362,1340,1397,1392,1387,1398,1327,1311,1270,1275,1266,1262,1247,1283,1314,1336,1380,1376,1358,1354,1350,1342,1327,1328,1316,1319,1355,1368,1428,1443,1463,1478,1486,1475,1493,1513,1500,1530,1534,1532,1537,1533,1477,1465,1494,1520,1544,1553,1582,1602,1608,1678,1710,1707,1708,1710,1717,1712,1700,1706,1698,1679,1694,1727,1707,1727,1732,1739,1668,1676,1686,1691,1697,1695,1694,1690,1694,1715,1696,1688
"31","23","D     Paper manufacturing","S3220",15120,15164,15536,15587,15864,15722,15750,15881,16079,16159,16312,16569,16737,16739,16675,16631,16596,16684,16747,16844,16717,16653,16588,16150,16099,15775,15692,15483,15436,15387,15227,15395,15685,15715,15760,15868,16182,16427,16424,16705,17002,17087,17317,17390,17294,17441,17353,17225,17279,17210,17123,17081,16961,16797,16596,16255,16100,15816,15734,15646,15475,15473,15467,15392,15299,15514,15538,15625,16030,16258,16426,16428,16454,16534,16238,16407,16439,16503,16362,16520,16586,16487,16441,16344,16337,16396,16372,16507,16787,16821,17061,17179,17237,17487,17699,17711,18297,18422,18482,18620,18709,18858,19023,19128,19214,19160,18976,19063,19186,19432,19587,19714,19814,19839,19961,19982,20042,20066,20249,20063,20174,20079,19894,19631,19340,19196,19191,19162,19099,19123,19204,19555,19699,19867,20173,20408,20683,20943,21076,21291,21284,21589,21512,20583,20235,19946,19404
"32","24","D     Printing and related support activities","S3230",6259,6158,6216,6458,6662,6611,6341,6633,6605,6660,6727,6910,6686,6701,6689,6647,6715,6632,6850,6740,6842,6635,6489,6474,6469,6368,6294,6387,6294,6254,6123,6122,6237,6230,6429,6553,6637,6779,6822,6653,6683,6781,6734,6870,6944,7077,7049,6876,6888,6890,6966,6916,6851,6722,6693,6687,6411,6300,6151,6085,6168,5939,5778,5909,5852,6018,6120,6094,6048,6238,6289,6229,6318,6294,6277,6273,6258,6163,6206,6217,6199,6133,6182,6169,6091,6193,6147,6153,6296,6275,6279,6400,6415,6538,6570,6588,6361,6474,6594,6605,6664,6741,6838,6772,6909,6823,6856,6865,6933,6957,7000,7067,7059,7171,7227,7183,7244,7275,7218,7177,7112,7152,7081,6972,6854,6868,6816,6804,6928,7074,7094,7355,6909,7086,7291,7282,7410,7357,7249,7191,7234,7193,7339,7503,6999,6906,6763
"33","25","D     Petroleum and coal product manufacturing","S3240",13767,12944,12288,11507,11508,11481,11174,11489,11456,11533,11577,11144,9841,9279,9060,8936,8811,8556,8472,8258,8234,8375,8517,7795,7694,7427,8398,9016,9291,9589,10206,10996,11524,12152,13151,14066,14907,15283,15161,14768,14956,15888,15802,15410,15839,16429,16393,15576,15404,15047,14425,14337,14484,14346,13928,13845,13422,12178,11439,11672,10991,11523,12903,13929,14023,14106,14583,14764,15345,15490,15200,16424,17732,18832,18290,16820,15630,16469,16130,16397,16100,16592,17232,17946,19277,19737,19580,19890,20957,21248,21876,22349,23528,25944,26539,23752,25467,26625,27833,27612,26082,27932,30497,32001,33399,34732,33288,33887,35600,35010,35040,37913,40324,41346,41274,40459,37095,34164,34724,35108,33390,33937,34780,35943,37110,38545,38806,38622,42790,46886,51315,53309,57512,59410,63091,63914,69397,77190,74818,69580,58808,44726,32633,20601,19638,19414,21569
"34","26","D     Chemical manufacturing","S3250",44907,44879,44800,44800,44873,45204,45297,45345,45934,46532,46904,46942,47001,47152,47234,47172,47137,47265,47503,47502,46974,46909,47136,46478,46838,46895,46807,47231,48297,48365,48901,49012,49270,49793,50609,51215,51461,52134,52259,52385,52790,53754,54888,54842,55113,55414,55682,56029,57086,56213,56082,55859,55375,54733,54039,53363,53682,53525,52619,52076,52054,52353,52657,52967,52996,52988,54173,55003,55276,55642,56254,55623,56330,58394,58807,58281,58104,58108,57851,58223,58125,58004,58511,57964,58245,59447,59981,60982,61669,62284,62993,64028,64055,64569,65552,66742,66455,67266,68315,68245,67929,68290,68270,68778,70812,72468,72401,74500,76028,75580,76407,76218,76825,78258,78831,79553,80248,79855,79553,79359,79532,79976,80969,81242,82405,83284,83598,83429,83928,85409,87217,87168,88935,89953,90682,92156,93855,95266,98418,98981,96348,92912,88670,84313,82995,82348,82398
"35","27","D     Plastics and rubber product manufacturing","S3260",16088,16109,16207,16259,16373,16482,16383,16357,16299,16340,16333,16351,16396,16357,16319,16226,16258,16283,16207,16152,15988,15868,16011,16001,16102,15995,16095,16284,16489,16553,16772,17024,17344,17505,17583,17691,17721,17964,17882,18441,18661,18703,18786,18643,18451,18415,18272,18393,18602,18506,18574,18488,18062,17771,17437,17176,17036,16933,16864,16661,16363,16128,17603,17562,17561,17559,17546,17575,18025,18007,17808,17604,17748,18334,18572,18942,18936,18786,18520,18329,18193,18157,18025,17957,18065,18198,18372,18548,18721,19037,19377,19718,20138,20615,20876,21085,21930,22058,22286,22155,22101,21896,21704,21819,21834,22481,22979,23023,23475,23558,23615,23722,23773,23953,24251,24508,24765,24883,24675,23862,23839,23780,23964,24096,24426,24738,24963,25122,25246,25251,25665,25942,25973,26133,26356,26707,26910,27330,27955,28836,28253,27356,26591,24676,24075,23681,23197
"36","28","A Merchant wholesale industries","S42W0",244522,245012,246612,246823,247483,251742,250981,252192,254455,255665,257713,259649,259509,262197,263718,262919,264358,263662,263533,265358,266894,268027,269567,270278,270494,272578,273571,273966,274770,275237,278176,279681,281935,284938,288697,289889,292892,295139,297192,299144,300682,302445,302411,303173,304141,306127,307928,307431,307046,306503,306226,306911,308159,305774,303143,302835,301293,298221,294701,292491,291933,289510,290111,289051,289889,292007,295326,297346,298880,297682,297550,300262,300687,302722,303544,303442,301832,301186,301030,300960,303589,306832,308530,310766,311669,316201,318524,318926,322025,324160,329113,332260,332662,337354,341008,342406,347031,349413,351198,353874,353080,354642,356157,358144,360459,362748,364067,369152,369983,373113,374295,380584,384891,388234,391432,394470,395977,398615,404263,402450,403172,406581,408974,410304,411876,414519,415595,417712,422676,425263,431215,439075,447591,454758,456889,463697,468693,475506,481964,482794,476117,461554,450730,443502,442269,436935,429395
"37","29","A   Durable goods merchant wholesale industries","S42WD0",153546,153895,155321,155869,156893,160543,159113,159482,161402,161164,161875,163822,164417,166119,167501,167394,168023,166947,166853,168714,169634,170666,170590,171865,172113,173130,173685,172769,174238,175166,176551,176451,178045,179966,182841,183615,184533,185692,186593,188319,189593,191532,191473,191735,191301,191702,192215,191209,191467,190370,189547,188837,188383,184985,183194,181694,180115,179393,175625,173359,172215,170210,169907,169494,169566,170212,171500,172553,173093,172734,173241,174167,173696,175447,175969,176418,175358,174855,173939,173329,174001,174962,175746,178580,179730,182808,185130,185724,188655,191096,194389,198507,199750,202125,204388,205805,208318,209675,209950,210697,210335,211489,212464,212845,213043,216153,217808,220505,220850,222741,223679,228423,230832,232374,234693,236369,239360,240386,240995,239854,240547,241129,241743,240446,241331,241294,239984,241089,242336,241868,243243,245163,248552,251847,254397,258848,262285,264500,269599,273151,272817,267629,263490,259638,257894,251489,244638
"38","30","D     Motor vehicles, parts, and supplies wholesalers","S42110",21735,21294,21684,21285,21750,22634,22511,22714,22904,22449,22179,22213,22471,22831,23399,22399,21941,21572,21345,21807,21984,22498,22114,22805,22670,22805,23156,23202,23692,23784,24175,24370,24781,24807,25269,25237,25408,25484,25943,26241,26449,26680,26279,26142,25722,25664,25804,26120,25844,25781,25628,25591,25212,24929,25115,25173,25145,25291,24620,24031,23936,23553,23476,23113,23889,24263,24607,24418,25412,25946,26678,26382,26339,26753,27092,27319,26730,26982,26352,26103,25876,26834,26611,27684,27737,28273,28987,28761,29063,29163,29780,30851,30646,29909,30281,29851,30592,30531,29643,30439,30610,31750,31904,31859,31472,31858,31850,32254,31590,32870,33335,35258,34355,33564,33995,33423,33879,34524,34641,33464,33660,32743,33064,31644,31966,32574,32154,32973,33288,32407,33544,34730,34758,35241,34752,35855,35771,35995,37016,37574,37675,37560,37943,38834,37523,34181,32235
"39","31","D     Furniture and home furnishings wholesalers","S42120",4844,4738,4655,4880,4949,4851,4797,4913,4967,4927,5014,5036,5097,5074,5012,5134,5169,5165,5190,5204,5209,5299,5207,5192,5161,5216,5220,5147,5178,5282,5316,5277,5301,5486,5361,5497,5526,5582,5663,5754,5835,5946,6025,6110,5901,6000,6070,6011,6094,6019,6039,5951,5896,5747,5702,5610,5679,5640,5631,5523,5491,5513,5382,5445,5442,5493,5605,5652,5718,5713,5729,5830,5802,5890,5979,6063,6108,6138,6039,6075,6051,6106,6161,6241,6419,6338,6405,6391,6368,6472,6572,6577,6583,6577,6635,6622,6627,6676,6710,6784,6771,6651,6715,6829,6850,7054,7048,7089,7078,7033,6909,6836,7043,7107,7142,7191,7237,7286,7306,7426,7474,7455,7593,7511,7461,7533,7607,7579,7549,7466,7534,7527,7715,7858,7754,7839,7701,7696,7783,7756,7663,7738,7683,7619,7353,7172,6962
"40","32","D     Lumber and other construction materials wholesalers","S42130",5165,5311,5353,5490,5549,5619,5622,5688,5633,5519,5613,5553,5580,5562,5500,5583,5463,5421,5495,5669,5363,5366,5392,5370,5444,5452,5557,5642,5763,5810,5964,5879,5879,5932,5901,6010,6144,6203,6252,6248,6240,6281,6223,6097,6088,6106,6153,6254,6137,6144,6144,6069,6145,6066,6121,6247,6293,6444,6308,6298,6299,6255,6287,6330,6313,6291,6359,6457,6559,6632,6679,6787,6916,7129,7054,7103,7043,7157,7191,7376,7511,7723,8129,8415,8758,9073,9271,9664,10337,10117,10367,10573,10721,10715,10410,10939,11321,11704,11923,11364,11403,11224,11245,11118,10680,11167,11202,12048,12206,12224,12314,12558,12573,12763,12763,12793,12892,12498,12396,12431,12278,12315,12159,11896,11712,11668,11629,11718,11612,11692,11600,11782,11792,11669,11480,11583,11928,12160,12471,12494,12313,12027,11593,11343,11197,11147,10972
"41","33","D     Professional and commercial equipment wholesalers","S42140",23654,23848,23752,24307,24510,25336,25451,24861,25814,26076,26016,26127,26500,26475,26892,26823,26798,25823,25602,25397,24979,24453,24504,23941,23651,24334,24102,23083,23699,23947,23804,23721,23944,24474,25077,25227,25670,25270,24794,24682,24816,24669,24641,24531,25128,25285,25172,24521,24070,23955,23458,23701,23263,22878,22647,22321,21493,21172,20379,20540,20338,19905,20417,21050,20837,21124,21121,21650,21291,20724,20816,21070,21216,21325,21518,21093,21371,21239,21530,21571,21628,21546,21583,21415,21296,21632,21667,21364,21665,22156,22103,22575,22586,23064,23533,23364,23488,23307,23247,23638,23383,23692,23637,23588,23560,23927,23844,23934,24207,24703,24218,24291,24750,24507,24878,25075,25627,25816,25957,26197,26254,26325,26580,26758,26961,26912,26853,27002,26986,26575,26761,26808,27140,27552,28071,28186,28759,28641,28520,29007,29160,28935,28776,28021,27499,27183,26395
"42","34","D       Computers and software wholesalers","S42430",14377,14542,14492,14691,14945,15728,15754,15299,16100,16193,15756,15915,15895,15717,16404,16113,16052,15496,14882,14844,14311,13965,13946,13927,13589,14242,13474,12588,13373,13465,13316,13278,13152,13570,13832,13964,13849,13793,12731,12517,12225,12178,12132,11990,12504,13031,12484,11866,11593,11372,11063,11092,10779,10227,10172,9766,9306,9200,8804,8640,8476,8518,8850,9288,9101,9205,9040,9286,9044,8540,8344,8407,8627,8784,8846,8720,9017,8904,9034,8916,8824,8896,8890,9082,8951,8897,9048,9006,8997,9487,9321,9639,9460,9723,10143,9922,9805,9786,9814,9735,9547,9659,9410,9560,9812,9850,9755,9787,9852,9868,9731,9550,9716,9455,9560,9527,9998,10255,10106,10156,10177,10067,10058,10081,10254,10247,10287,10455,10478,10363,10233,10056,10290,10239,10737,10788,11204,10990,11113,11327,11247,11366,11048,10296,9981,9888,9591
"43","35","D       Other professional and commercial equipment wholesalers","S424X0",9277,9306,9260,9616,9565,9608,9697,9562,9714,9883,10260,10212,10605,10758,10488,10710,10746,10327,10720,10553,10668,10488,10558,10014,10062,10092,10628,10495,10326,10482,10488,10443,10792,10904,11245,11263,11821,11477,12063,12165,12591,12491,12509,12541,12624,12254,12688,12655,12477,12583,12395,12609,12484,12651,12475,12555,12187,11972,11575,11900,11862,11387,11567,11762,11736,11919,12081,12364,12247,12184,12472,12663,12589,12541,12672,12373,12354,12335,12496,12655,12804,12650,12693,12333,12345,12735,12619,12358,12668,12669,12782,12936,13126,13341,13390,13442,13683,13521,13433,13903,13836,14033,14227,14028,13748,14077,14089,14147,14355,14835,14487,14741,15034,15052,15318,15548,15629,15561,15851,16041,16077,16258,16522,16677,16707,16665,16566,16547,16508,16212,16528,16752,16850,17313,17334,17398,17555,17651,17407,17680,17913,17569,17728,17725,17518,17295,16804
"44","36","D     Metal and mineral (except petroleum) wholesalers","S42150",13362,13748,13844,13969,13962,14133,14104,14135,14105,14058,14060,14121,14166,14188,14259,14269,14333,14182,14025,14308,14259,14241,14344,14235,14341,13992,13658,13738,13890,13931,13816,13733,13934,14239,14621,14924,15241,15523,15856,16280,16037,16119,16152,16085,15945,15680,15441,15060,14993,14806,14584,14399,14387,14306,14246,14285,14013,13969,13691,13582,13372,13375,13369,13437,13594,13759,14013,14150,14512,14376,14443,14434,14091,14171,14141,14166,13982,14040,13936,13861,14070,14177,14589,15234,16076,17004,18076,18304,18958,19311,20246,21345,21627,22900,23607,23792,24235,24142,24337,24257,23815,23252,22969,22990,23096,23586,23922,24260,24569,24767,24804,25997,27228,28335,29003,29924,30666,30811,30708,30670,30378,30482,30736,30620,30923,30861,30252,29672,29282,29069,28859,29534,30625,31744,32978,35207,36960,38617,39511,40033,38296,35424,32661,29931,29569,28909,26794
"45","37","D     Electrical goods wholesalers","S42160",21271,21278,21694,21421,21400,21762,21641,21718,21606,21376,21128,21330,21187,21440,21899,22227,22415,22461,22340,22510,22716,22633,22702,22941,22937,23217,23027,22789,23108,23251,23922,23995,24277,24670,25255,25868,25769,25943,26081,26109,26461,27016,27533,27734,27992,28665,28948,28997,29255,28980,28976,29162,28504,27871,26830,26257,25861,25593,24736,23961,23512,23150,22808,22483,22542,22228,22506,23063,22813,22879,22675,22741,22622,22402,22418,22576,22227,22154,21901,21819,22010,21786,21405,22032,21841,22570,22966,23309,23728,23817,23762,23856,23892,23992,24155,24373,24643,24900,24887,24662,24557,24873,25394,25251,25090,24896,25083,25330,25207,25658,25856,26289,26589,26513,27353,27487,27962,28443,28428,28403,28488,28193,28319,28018,28450,28391,28243,28368,28492,28925,29027,29255,29533,29719,29980,30173,30339,30688,30833,31551,32151,32395,31758,30823,30234,29534,28565
"46","38","D     Hardware and plumbing and heating equipment wholesalers","S42170",9269,9288,9101,9345,9360,9347,9250,9300,9428,9403,9457,9446,9614,9905,9841,9997,10029,10145,10124,10202,10169,10206,10242,10292,10383,10308,10354,10333,10383,10419,10541,10344,10437,10504,10680,10628,10632,10877,10883,11148,11226,11418,11482,11543,11460,11562,11586,11660,11600,11533,11473,11335,11247,11311,11263,11443,11422,11365,11289,11209,11221,11053,11041,10949,11075,11053,11123,11126,11196,11095,11082,11218,11196,11583,11698,11696,11545,11472,11520,11338,11323,11341,11389,11371,11334,11337,11408,11437,11679,11793,11976,12149,12350,12534,12628,12710,12829,12864,12846,12821,12847,12870,12749,12854,12918,13184,13282,13564,14021,13944,14095,14182,14273,14515,14679,14849,14871,14819,15027,14952,14868,14805,15116,15564,15388,15368,15572,15537,15674,15641,15664,15612,15550,15483,15414,15433,15553,15650,15980,16155,16063,15910,15744,15332,15430,15073,15069
"47","39","D     Machinery, equipment, and supplies wholesalers","S42180",39099,39169,39615,40099,40751,41578,40334,40427,41126,41830,42515,43533,43483,44112,44362,44562,45301,45607,46231,46664,47502,48261,48512,49516,49871,50156,50549,51022,50596,50755,51094,51011,51049,51065,51394,50927,50701,50967,51263,51773,52101,52461,52032,52679,52742,52306,52612,52105,52697,52719,52810,52334,53163,52643,52112,51431,51313,51120,50136,49604,49596,48976,48700,48126,47457,47292,47762,47528,47263,46817,46780,47263,47019,47402,47365,47503,47466,46839,46661,46463,46398,46129,46300,45844,46194,46725,46227,46355,46849,47738,48264,48852,49164,50089,50692,51752,51846,52651,53476,53917,53990,54594,54995,55930,56054,56442,57236,57446,57591,57505,58158,58799,59452,60512,60792,61223,61808,62578,62311,61717,63088,63780,62819,62922,63322,63061,63228,63368,64231,64861,65118,65532,66439,67025,67674,68281,68535,68169,70365,71336,72927,72881,73161,73981,74987,74158,73936
"48","40","D     Miscellaneous durable goods wholesalers","S42190",15147,15221,15623,15073,14662,15283,15403,15726,15819,15526,15893,16463,16319,16532,16337,16400,16574,16571,16501,16953,17453,17709,17573,17573,17655,17650,18062,17813,17929,17987,17919,18121,18443,18789,19283,19297,19442,19843,19858,20084,20428,20942,21106,20814,20323,20434,20429,20481,20777,20433,20435,20295,20566,19234,19158,18927,18896,18799,18835,18611,18450,18430,18427,18561,18417,18709,18404,18509,18329,18552,18359,18442,18495,18792,18704,18899,18886,18834,18809,18723,19134,19320,19579,20344,20075,19856,20123,20139,20008,20529,21319,21729,22181,22345,22447,22402,22737,22900,22881,22815,22959,22583,22856,22426,23323,24039,24341,24580,24381,24037,23990,24213,24569,24558,24088,24404,24418,23611,24221,24594,24059,25031,25357,25513,25148,24926,24446,24872,25222,25232,25136,24383,25000,25556,26294,26291,26739,26884,27120,27245,26569,24759,24171,23754,24102,24132,23710
"49","41","A   Nondurable goods merchant wholesale industries","S42WN0",90976,91117,91291,90954,90590,91199,91868,92710,93053,94501,95838,95827,95092,96078,96217,95525,96335,96715,96680,96644,97260,97361,98977,98413,98381,99448,99886,101197,100532,100071,101625,103230,103890,104972,105856,106274,108359,109447,110599,110825,111089,110913,110938,111438,112840,114425,115713,116222,115579,116133,116679,118074,119776,120789,119949,121141,121178,118828,119076,119132,119718,119300,120204,119557,120323,121795,123826,124793,125787,124948,124309,126095,126991,127275,127575,127024,126474,126331,127091,127631,129588,131870,132784,132186,131939,133393,133394,133202,133370,133064,134724,133753,132912,135229,136620,136601,138713,139738,141248,143177,142745,143153,143693,145299,147416,146595,146259,148647,149133,150372,150616,152161,154059,155860,156739,158101,156617,158229,163268,162596,162625,165452,167231,169858,170545,173225,175611,176623,180340,183395,187972,193912,199039,202911,202492,204849,206408,211006,212365,209643,203300,193925,187240,183864,184375,185446,184757
"50","42","D     Paper and paper products wholesalers","S42210",6801,6814,6779,6815,6941,6840,7161,7420,7397,7408,7506,7624,7376,7700,7735,7710,7686,7655,7597,7541,7446,7262,7374,7386,7346,7437,7541,7622,7665,7751,7865,7967,8052,8068,8153,7987,8259,8336,8607,8736,8837,8845,8886,8955,8959,9089,9086,9082,8953,9073,8936,8879,8831,8681,8529,8425,8392,8348,8258,8170,8135,7983,7909,7863,7903,7995,7896,7911,7970,7918,7990,7970,7948,8079,8048,8104,8041,7998,7980,7904,7856,7917,7929,8053,8030,8006,8178,8230,8238,8611,8888,8993,9088,9163,9145,9228,9209,9237,9120,9277,9363,9355,9201,9368,9307,9320,9556,9650,9460,9570,9561,9726,9849,9834,9965,10020,10160,10146,10112,10263,10235,10200,10064,10196,10185,10342,10580,10478,10504,10648,10668,10663,10755,10810,10885,10819,10702,10953,11284,11363,11488,11549,11438,11286,11201,10761,10455
"51","43","D     Drugs and druggists' sundries wholesalers","S42220",12641,12421,12660,12404,12665,12941,13102,13626,13726,13490,13985,14118,14379,14998,15452,15596,15861,15467,15515,15606,15550,15727,16041,16121,16432,16704,16925,17657,18105,18467,18877,19130,19098,19690,19634,19614,20164,20340,20710,20864,20851,21461,22066,22239,22774,23073,23341,24101,23859,23677,24654,25360,26497,27184,26999,28083,29427,29170,30101,30787,30835,30490,30655,30239,30011,30360,29842,29745,30338,31174,31023,32212,32288,32901,33435,34079,34129,33606,34395,34548,33931,33780,33948,33102,32979,34042,34168,33446,33813,33877,34497,34377,33966,34093,34240,33610,34273,33546,33373,33439,33437,33180,32602,32299,33184,32971,32880,33965,32998,34124,34579,34747,34639,35632,35381,36990,35854,34508,35423,35542,35308,35404,35038,35866,36370,36032,36146,36732,36367,36449,36909,37194,37178,38026,38067,38204,38710,37660,39816,39679,38859,39484,39430,39143,39193,40081,39546
"52","44","D     Apparel, piece goods, and notions wholesalers","S42230",11720,11880,12028,12093,12210,12443,12492,12481,12448,13042,13024,12977,13015,12740,12775,12824,12770,12872,12796,12987,12870,12950,12991,12938,12426,13064,12578,12288,12111,11860,11871,11838,11661,11748,11930,12098,12339,12301,12290,12447,12531,12204,12306,12192,12279,12150,12145,12030,12089,12482,12649,12870,13105,13146,12852,12815,12764,12718,12265,11858,12116,11909,11692,11325,11414,11712,11953,12254,12667,12299,12208,12344,12297,12077,12294,12362,12185,12346,12311,12049,11807,11438,11651,11691,11453,11544,11574,11435,11518,11160,11258,11490,11794,12021,12568,11989,12216,12206,12294,12602,12614,12735,12656,12669,12594,12670,12629,12298,12054,12327,12359,12370,12377,12516,12792,12907,13178,13223,13372,13736,13974,13965,13889,13583,13705,14002,14165,14263,14190,14139,13951,13826,14117,14186,14482,14143,14017,14133,14055,13764,14206,14237,14257,14417,14455,14457,14045
"53","45","D     Grocery and related products wholesalers","S42240",16720,16642,16666,16416,16627,16717,16694,16659,16690,17311,17426,17492,17700,17955,17458,17860,18078,17929,18020,18012,17883,17677,17758,17605,17734,18070,18284,18809,18692,18215,18846,19013,19157,19276,19695,19667,19569,19692,19660,19747,19628,19354,19524,19605,20077,20286,20796,20307,20136,20135,20086,20128,19907,19968,19499,19778,19626,19119,19414,19585,19717,19700,19975,19914,20387,20951,21095,21288,20910,21131,20918,21078,21655,21656,21405,21085,20787,20750,20925,21056,21719,21155,21177,21559,21084,21228,21660,22014,22296,22223,22322,22161,22152,22934,23084,22402,22688,22800,22855,23093,23041,22724,22538,22925,23431,23625,24031,24442,24248,24082,23910,24052,23840,24551,24950,25623,25894,25753,26305,26430,26844,27570,28302,28467,28705,28861,28827,28693,28869,29020,29108,29569,29730,29291,29452,29761,30046,30351,30635,31238,31411,31561,31129,31074,30548,30256,29714
"54","46","D     Farm product raw material wholesalers","S42250",12961,13531,13711,13866,13373,13270,13583,13179,12994,13958,14559,13585,13201,13072,12805,11934,11786,12406,12294,12138,12672,13239,13594,13269,13018,12911,12966,13254,13058,12685,12509,13323,13389,13376,13041,12940,13657,13981,14477,14493,14447,13770,13017,12906,13356,14090,14583,14843,14704,14651,14341,14323,14667,14806,15372,15465,14953,13809,14019,14281,14453,14572,14653,14419,14566,15141,16994,17432,17276,15964,15830,15663,15457,15193,14793,14779,15165,15164,14885,15302,16479,19843,19867,19370,19897,20237,20387,20150,19121,17996,16362,15372,14583,14060,13679,14422,14898,15739,16894,17166,16936,17291,17571,17061,16296,15931,15495,16238,16469,16851,16755,17259,18130,18478,18868,18550,18198,22470,25415,24750,24153,24451,24488,23968,24452,26223,27339,28915,32068,33366,35460,38868,42105,43849,42712,42775,42320,44646,41625,38881,34538,30137,27766,27252,28490,28532,29306
"55","47","D     Chemical and allied products wholesalers","S42260",4534,4538,4578,4508,4375,4725,4770,4775,4756,4770,4833,4738,4770,4627,4620,4787,4928,4717,4895,4855,4969,4942,5042,5023,5111,5110,5005,5021,5002,4985,5079,5010,5068,5129,5159,5320,5291,5336,5422,5402,5343,5421,5391,5392,5243,5201,5155,5163,5121,5042,5201,5369,5259,5258,5190,5162,5252,5269,5157,5114,5102,5168,5245,5282,5350,5351,5256,5524,5599,5618,5710,5729,5924,5904,5804,5665,5648,5679,5682,5569,5588,5524,5463,5794,5350,5474,5413,5465,5544,5604,5836,5956,6096,6283,6364,6432,6558,6818,6906,7115,6991,7043,7059,7217,7338,7446,7377,7292,7510,7487,7614,7727,7800,7924,7763,7779,7628,7396,7425,7495,7838,7893,7929,7970,7928,8095,8293,7975,8087,7946,8280,8626,8629,8730,8880,9266,9245,9214,10103,10219,9763,9047,8365,8163,7633,7711,7192
"56","48","D     Petroleum and petroleum products wholesalers","S42270",5331,5214,4962,4791,4754,4567,4551,4532,4623,4634,4587,4596,4423,4176,4157,4215,4325,4190,4090,3984,4191,4022,3824,3704,3813,3909,4082,4300,4283,4435,4661,4714,4880,4847,5030,5038,5244,5472,5534,5309,5249,5597,5470,5640,5598,5656,5945,5828,5525,5522,5436,5463,5548,5425,5366,5324,5168,5096,4931,4873,5138,5348,5691,5919,5787,5641,5799,5811,6108,5944,5916,6348,6720,6783,6459,5895,5765,6087,6053,6359,6437,6512,6713,6851,6936,6998,6756,6764,6841,7035,8240,8477,8461,9405,9666,10183,10551,10879,11926,11794,11622,11657,13167,14415,15482,14821,14273,14168,15975,15595,15151,15318,16181,16066,16283,15182,14573,13721,14190,13101,12855,13410,14342,15667,15607,15959,15837,15338,15444,16507,17791,19227,19393,20064,19523,20991,21419,23486,23872,23333,21628,16837,14200,12620,13350,13644,14408
