"","Table 4#2#5U# Exports and Imports of Goods and Services by Type ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"60","52","  Industrial supplies and materials","LA0000040",189753,210566,233390,253923,289810,290585,305820,318939,319956,284371,262775,240036,237489,269967,277082,298101,323283,307904,318206,321622,368088,400308,428602,475354,480704,499039,538937,605841,594301,618334,650264,577916,586000,631511,647825,713044,778330,854732,901688,644678,431826,414702,476576,534296,590975,606269,598598,616526,723574,778116,761698,756062,754102,734506,699141,704906,694019,672331,679409,669993,694591,674203,661589,637422,523985,494427,481438,436067
"61","53","    Durable goods","A820RC0",76070,78056,80430,85700,90961,90886,90078,88658,87562,82661,80724,76982,80455,82092,84100,86136,83837,82135,85837,92523,101174,118690,129832,136107,137795,137537,130524,142531,157819,163481,171928,164179,159510,164927,161817,153518,159896,169852,174258,141950,101251,83834,91174,105749,115917,128285,126432,130122,145554,153236,153813,145773,154898,151583,146658,148437,154571,149394,148934,150605,159121,168836,170931,177054,170792,158303,155431,150952
"62","54","    Nondurable goods","LA0000070",113683,132510,152960,168223,198849,199699,215742,230281,232394,201710,182051,163054,157034,187875,192982,211965,239446,225769,232369,229099,266914,281618,298770,339247,342909,361502,408413,463310,436482,454853,478336,413737,426490,466584,486008,559526,618434,684880,727430,502728,330575,330868,385402,428547,475058,477984,472166,486404,578020,624880,607885,610289,599203,582923,552483,556468,539448,522937,530475,519387,535470,505366,490659,460368,353193,336124,326007,285115
"63","55","      Petroleum and products","B648RC0",49463,65491,80866,92650,122589,118350,126638,136986,131366,114226,103141,88962,86377,110071,112968,127736,149689,134035,138057,139846,168934,175516,188361,226874,224784,240691,278171,309053,304188,327685,348185,286608,296823,326497,344958,418477,469000,520194,554203,361117,222638,239760,289043,319400,353834,355089,346369,359295,441702,480804,459846,466242,466561,446618,407944,416246,398727,381254,391585,379476,384263,358652,344191,316602,215153,202747,195369,158952
"64","56","      Nondurable goods, excluding petroleum and products","B696RC0",64220,67019,72094,75573,76260,81349,89104,93295,101028,87484,78910,74092,70657,77804,80014,84229,89757,91734,94312,89253,97980,106102,110409,112373,118125,120811,130242,154257,132294,127168,130151,127129,129667,140087,141050,141049,149434,164686,173227,141611,107937,91108,96359,109147,121224,122895,125797,127109,136318,144076,148039,144047,132642,136304,144539,140223,140722,141683,138890,139912,151207,146714,146467,143766,138040,133377,130638,126163
"65","57","  Capital goods, except automotive","A650RC0",279228,291953,301235,311968,320960,346869,362913,360088,340383,301093,280992,274130,278924,287132,287078,286557,287233,293865,295972,313504,326314,342722,352657,362776,366189,384782,385022,395337,410140,418795,428768,432742,442002,446337,453548,454577,464951,476596,466524,426719,372205,352031,371119,400866,410365,442004,466258,482998,492310,508096,520794,532520,552832,556859,550018,547399,551892,550218,560642,568822,572807,594718,605218,610183,609874,609729,598418,594990
"66","58","    Civilian aircraft, engines, and parts","B932RC0",22417,23057,25600,24062,23290,24941,26785,30594,31068,31103,30838,32514,28514,24688,22444,26289,23349,23908,22988,26220,21046,24484,24071,27760,25738,28191,24116,25227,28299,27615,27293,30651,32976,34493,35106,35382,37053,38293,34411,32247,30149,31692,29780,31110,29931,30509,31874,32864,33872,34337,34611,39320,36553,38823,41138,44032,44614,45347,48364,49514,50923,52918,56676,52176,54370,56645,54924,52952
"67","59","    Computers, peripherals, and parts","B852RC0",78376,81836,81747,83958,83279,89529,95955,90489,83329,75073,69539,68312,75384,76154,75560,73805,74540,75281,75980,80643,84161,87889,90663,92386,91516,92728,94218,95529,99369,100502,103262,103299,109119,104311,103637,104818,106339,108839,103147,86562,81424,84781,97939,112562,113418,119598,119684,116333,113130,120407,124582,120758,126481,124557,117689,120290,121521,117962,121856,123498,116776,119613,122190,128066,118679,119156,125273,119915
"68","60","    Other","B853RC0",178435,187060,193888,203948,214391,232399,240173,239005,225986,194917,180615,173304,175026,186290,189074,186463,189344,194676,197004,206641,221107,230349,237923,242630,248935,263863,266688,274581,282472,290678,298213,298792,299907,307533,314805,314377,321559,329464,328966,307910,260632,235558,243400,257194,267016,291897,314700,333801,345308,353352,361601,372442,389798,393479,391191,383078,385757,386909,390421,395810,405109,422187,426352,429941,436825,433928,418221,422123
"69","61","  Automotive vehicles, engines, and parts","B651RC0",169680,174442,182787,186055,196656,194548,196190,192421,188294,189403,190488,186796,192467,202503,208008,208130,204406,210819,203977,217486,220221,228788,229392,230926,231141,233778,239248,250692,256001,255727,250958,261162,254874,257691,265838,255587,257901,252500,229188,193226,129809,129163,174394,203386,203121,225466,234180,239798,251764,232457,262608,274076,296403,296855,300012,300722,296180,307264,316474,318371,312663,331832,333778,335725,335614,352469,354335,353111
"70","62","  Consumer goods, except food and automotive","A652RC0",231309,235965,248292,259032,269135,283073,289532,296797,294122,289019,285127,279948,290212,309475,321244,324395,330275,332118,338507,352633,360155,381177,377424,393686,410260,414821,410099,415759,432160,439288,451166,467976,484700,476359,473961,484009,490348,499005,497502,455861,424567,419386,426068,449387,455881,479515,503117,501969,509953,519352,515647,518515,513399,517870,521401,522615,529266,533613,534811,538139,546226,561037,556557,573750,590859,595108,606090,596600
"71","63","    Durable goods","B697RC0",118648,125182,131319,136153,145456,150647,153217,158288,154280,148417,147269,145720,153215,165433,168663,167313,166918,169344,177093,186894,189452,202792,202389,214062,221259,222298,226907,227958,237717,237496,245276,258210,264457,258505,263356,270783,268485,275231,276358,245172,220775,221634,223077,234667,241455,256747,270523,267922,271795,272534,270121,273155,272577,274256,276809,282911,284387,289273,290268,292952,293235,301530,296989,313336,315294,306591,322032,319225
"72","64","    Nondurable goods","B698RC0",112661,110783,116973,122879,123679,132426,136315,138509,139842,140602,137858,134228,136997,144042,152581,157082,163357,162774,161414,165739,170703,178385,175035,179624,189001,192523,183192,187801,194443,201792,205890,209766,220243,217854,210605,213226,221863,223774,221144,210689,203792,197752,202991,214720,214426,222768,232594,234047,238158,246818,245526,245360,240823,243614,244591,239705,244879,244340,244543,245187,252991,259507,259567,260414,275565,288517,284058,277375
"73","65","  Other","A653RC0",65694,67216,68556,67472,72146,70908,82462,80090,76072,79384,77972,77538,76622,78926,80618,81136,75244,78240,74380,79008,74526,77090,82424,81626,87608,81310,86048,84588,88478,93812,84078,82234,93178,88340,90072,83726,85874,90836,86024,83268,82904,81380,78562,77108,90114,83820,87754,110554,91880,104914,94792,96770,102457,106693,103696,96902,108002,117144,99506,97398,110357,112820,107381,114467,121699,117085,116581,127431
"74","66","Imports of services \1\","B656RC0",191593,193636,200182,204198,212578,219934,229566,222545,223171,224323,219338,207969,225016,225761,227898,239866,237998,235092,254410,263465,277937,286861,290869,300785,302983,307010,313157,319696,338473,344791,344166,362987,366497,376179,384527,390378,406148,414967,423477,417925,389023,385734,393001,403776,403360,408605,420707,428040,423331,443527,451665,448013,452914,458036,459880,461250,461388,468248,470480,478989,473270,483272,482475,494642,497210,499461,504731,507019
"75","67","  Transport","Y804RC0",46826,47631,51215,52809,54786,56843,59997,58800,57855,56891,52840,47774,48437,50992,51846,54689,55357,56269,59876,59949,66365,68532,69868,71865,75982,74859,74406,77325,76697,78350,78107,78692,76753,80412,81194,78945,81424,84084,86953,83489,68022,61413,62086,65009,68907,74319,78435,76851,79544,80988,82552,82424,83748,85436,85700,85056,90148,90188,90120,92080,92368,93664,93508,97336,99396,96964,97484,97336
"76","68","    Sea Transport","Y997RC0",15512,16296,18779,19035,19752,20748,23328,23320,22844,21732,19180,19540,18536,19836,20480,21548,23415,25669,26668,26511,30349,30537,31796,34159,36357,35215,34264,36912,35819,36149,36580,35438,34589,36142,35164,33143,32766,34181,35962,34944,26513,22344,21154,22866,26635,29475,32255,29618,30452,31588,31792,31644,32120,33336,33740,33452,35528,36344,36912,36272,35884,35912,35948,37272,38180,37608,38004,NA
"77","69","      Freight","Y998RC0",13976,14668,17076,17320,18044,18968,21732,21656,21596,20340,17724,18040,17260,18460,18876,20008,22068,24240,25240,25224,28989,29175,30561,32767,35031,33767,32971,35475,34201,34459,34734,33701,32910,34129,33191,31321,30870,32035,33907,33172,25016,20708,19584,21316,25112,27876,30564,27936,28852,29928,30092,29940,30424,31568,31912,31524,33564,34308,34796,34160,33724,33688,33680,34960,35864,35252,35688,NA
"78","70","      Port","Y999RC0",1536,1628,1703,1715,1708,1780,1596,1664,1248,1392,1456,1500,1276,1376,1604,1540,1347,1429,1428,1287,1360,1362,1235,1392,1326,1448,1293,1438,1618,1690,1847,1737,1679,2013,1973,1822,1896,2146,2055,1772,1497,1636,1570,1550,1523,1599,1691,1682,1600,1660,1700,1704,1696,1768,1828,1928,1964,2036,2116,2112,2160,2224,2268,2312,2316,2356,2316,NA
"79","71","    Air Transport","Y810RC0",28591,28505,29471,30833,31914,32854,33465,32479,32093,32234,30978,25239,27177,28111,28405,30232,29046,27242,30204,30303,32719,34516,34702,34243,35889,35962,36223,36340,36953,38272,37679,38814,38440,40046,41889,41703,44713,45760,46643,44856,38296,35936,36732,38676,38664,41128,42416,43301,45000,45344,46512,46480,47344,47856,47344,47288,50148,49632,49084,51552,52388,53552,53352,55496,57220,55048,55588,NA
"80","72","      Passenger","Y811RC0",18008,17516,18084,18896,19768,20440,21152,20228,19816,20772,20284,14852,16024,16188,16372,17172,16384,15812,18800,17980,19364,20480,20404,20604,20876,21008,21656,22184,22196,22600,22392,23380,21920,22840,24524,24928,26292,26824,27604,28448,22536,20220,21220,22152,21672,22788,23836,25408,25824,25952,27244,27968,29480,30096,29740,28944,31956,31836,31140,33184,34212,34864,34532,35952,35640,35312,35812,NA
"81","73","      Freight","Y812RC0",3768,4040,4280,4464,4732,4764,4808,4648,4424,3932,3600,3880,4168,4788,4948,5616,5000,5016,4928,5128,5552,5924,6056,6380,6284,6056,6076,6036,6264,6228,6356,6216,6260,6492,6268,6484,6614,6684,6354,5064,4320,4320,4596,5516,5740,6704,6888,6409,6852,7052,6548,6000,6268,6056,6036,6348,6160,6132,6412,6596,6636,7256,7164,7732,9092,7528,7288,NA
"82","74","      Port","Y813RC0",6815,6949,7107,7473,7414,7650,7505,7603,7853,7530,7094,6507,6985,7135,7085,7444,7662,6414,6476,7195,7803,8112,8242,7259,8729,8898,8491,8120,8493,9444,8931,9218,10260,10714,11097,10291,11807,12252,12686,11344,11440,11396,10916,11008,11252,11636,11692,11484,12324,12340,12720,12512,11596,11704,11568,11996,12032,11664,11532,11772,11540,11432,11656,11812,12488,12208,12488,NA
"83","75","    Other modes of transport","Y814RC0",2723,2831,2965,2941,3119,3241,3204,3001,2917,2925,2682,2995,2724,3045,2961,2909,2896,3358,3005,3135,3297,3478,3370,3464,3736,3683,3919,4073,3925,3929,3848,4441,3724,4224,4141,4098,3944,4144,4348,3688,3214,3134,4200,3467,3608,3716,3764,3932,4092,4056,4248,4300,4284,4244,4616,4316,4472,4212,4124,4256,4096,4200,4208,4568,3996,4308,3892,NA
"84","76","  Travel","Y805RC0",59551,57545,59488,61782,63818,67440,68212,63677,64365,64500,61944,52106,60746,59987,56361,62668,59683,55265,65710,66874,71449,74105,74970,75570,79213,79218,80370,81152,81567,84251,83544,87461,87871,88026,88802,92240,96695,94880,91668,86936,81017,78016,83534,83118,85060,85782,87329,88321,85160,91133,90359,92146,99058,99960,100752,101581,101713,103949,104151,106614,105229,111598,111067,115255,114772,117216,121810,123183
"85","77","    Business","Y815RC0",21018,20768,21544,21532,22374,23085,24088,21013,21728,21511,20663,16220,18825,18970,18000,18930,18079,15812,20073,19940,21871,21579,21792,22001,23010,22672,22759,22813,22230,23265,22975,23719,23630,23798,23853,24716,24940,24086,22778,21011,19113,18603,19902,19476,20807,20690,21271,22329,20754,20786,20602,20558,20660,20357,20341,19223,20951,21627,21257,20631,18171,18530,17929,18426,17023,17931,18683,NA
"86","78","      Expenditure of seasonal, border, and other short-term workers","Y816RC0",334,340,344,348,358,365,368,373,380,387,391,396,321,322,324,326,491,500,505,512,583,575,584,593,622,624,631,633,798,813,827,839,886,902,917,932,964,982,994,983,977,1007,1034,1036,1055,1066,1071,1069,1106,1122,1130,1106,1152,1185,1205,1211,1203,1203,1209,1223,1243,1258,1269,1274,1275,1275,1275,NA
"87","79","      Other business travel","Y817RC0",20684,20428,21200,21184,22016,22720,23720,20640,21348,21124,20272,15824,18504,18648,17676,18604,17588,15312,19568,19428,21288,21004,21208,21408,22388,22048,22128,22180,21432,22452,22148,22880,22744,22896,22936,23784,23976,23104,21784,20028,18136,17596,18868,18440,19752,19624,20200,21260,19648,19664,19472,19452,19508,19172,19136,18012,19748,20424,20048,19408,16928,17272,16660,17152,15748,16656,17408,NA
"88","80","    Personal","Y818RC0",38532,36776,37944,40250,41444,44356,44124,42664,42637,42989,41281,35886,41921,41017,38361,43738,41605,39453,45637,46934,49578,52526,53178,53570,56203,56547,57611,58339,59337,60985,60569,63742,64241,64228,64949,67524,71755,70793,68890,65925,61903,59413,63632,63642,64253,65093,66058,65992,64406,70348,69756,71588,78398,79603,80411,82359,80762,82322,82894,85984,87058,93068,93138,96829,97749,99285,103127,NA
"89","81","      Education related","Y819RC0",1720,1792,1848,1868,1936,2012,2064,2116,2184,2236,2280,2496,2508,2616,2724,2956,3116,3120,3124,3228,3392,3500,3608,3668,3816,3900,3932,4320,4394,4509,4614,4351,4524,4724,4853,4798,4960,5132,5238,5242,5165,5138,5150,5121,5273,5419,5511,5668,5740,5754,5809,5826,5964,6064,6075,6215,6318,6465,6570,6604,6658,6768,6918,6952,7038,7137,7317,NA
"90","82","      Health-related","Y820RC0",140,140,140,138,156,156,156,152,157,157,157,154,153,153,153,150,169,169,169,166,422,422,422,418,511,511,511,507,576,580,587,595,609,668,676,686,727,742,764,795,842,867,886,921,976,1006,1027,1068,1089,1122,1156,1190,1226,1263,1301,1340,1380,1421,1464,1508,1553,1599,1647,1697,1748,1800,1854,NA
"91","83","      Other personal travel","Y821RC0",36672,34844,35956,38244,39352,42188,41904,40396,40296,40596,38844,33236,39260,38248,35484,40632,38320,36164,42344,43540,45764,48604,49148,49484,51876,52136,53168,53512,54368,55896,55368,58796,59108,58836,59420,62040,66068,64920,62888,59888,55896,53408,57596,57600,58004,58668,59520,59256,57576,63472,62792,64572,71208,72276,73036,74804,73064,74436,74860,77872,78848,84700,84572,88180,88964,90348,93956,NA
"92","84","  Charges for the use of intellectual property n.e.c.","B908RC0",12588,13123,13392,14109,15174,15502,18660,17091,16583,16384,16455,17215,19704,19122,20230,18911,18167,18669,19932,20263,21318,22607,25567,25275,23975,25635,27075,25619,24923,23444,22933,28853,26153,26231,26124,27408,28863,28349,32268,29013,30283,30743,30634,33527,34021,30128,32082,33971,34866,33911,37114,38458,36978,38558,39301,39805,39048,38475,37387,41085,41984,41348,42284,42882,43449,44033,44139,44119
"93","85","  Other business services","Y806RC0",54405,56632,56958,56674,59687,60581,62555,63575,64753,66861,67774,68249,72594,71987,74336,77497,77808,77234,79085,84256,86831,89197,88458,95175,90012,93426,97402,102303,120743,125204,125968,134507,141164,146121,153253,156563,163817,172356,177378,182518,173167,178138,178983,183675,177471,180867,184520,191343,186162,199977,204279,198796,197955,200052,200496,202171,198876,204008,207247,208376,203510,206257,205201,209567,210358,212335,212698,214245
"94","86","    Maintenance and repair services","Y822RC0",926,1109,1336,1741,2229,2581,2814,2651,2119,2010,1928,1940,2089,2165,2281,2333,2304,2187,2243,2250,2235,2388,2323,2634,2537,3051,3076,3395,4293,4426,4450,5165,4953,5827,4956,5101,4924,5722,5978,6345,5221,6444,6002,6086,6234,7236,6345,7820,7654,7999,8735,8555,8502,8036,7782,7740,7654,7512,7865,6913,7049,7511,7416,7897,8109,8263,8600,8989
"95","87","    Insurance services","Y823RC0",8933,9232,9534,9857,10066,10697,11602,12771,14712,16044,17374,18695,20173,21383,22537,23613,23859,24631,25644,26799,28235,28835,28510,30776,26546,26963,30473,30858,37141,38620,40315,41453,45434,45800,50512,48320,52685,56935,60848,65183,64315,64214,63288,63386,60648,62136,62831,60299,54839,56657,57169,53951,54381,55974,56433,55266,52913,53849,54673,52245,49522,50510,49983,50368,49792,49636,48798,47986
"96","88","    Financial services","Y824RC0",7470,8155,8747,8748,10504,11045,11423,10772,10947,10719,9686,9276,9591,9068,8427,8766,8668,8474,8882,9768,10533,10897,11091,12103,11797,12018,12131,12559,12986,14615,14935,16395,18140,19836,19531,19283,19273,17550,16895,15152,12949,14623,14469,15618,14407,15106,15381,17113,17665,18028,16998,16781,16488,16315,16239,17773,17419,18451,18201,20006,18580,19654,20013,19766,20377,21452,21252,21897
"97","89","    Telecommunications, computer, and information services","Y825RC0",13672,13704,13228,12723,12629,12254,12287,12417,12373,12629,12594,12087,11980,11212,11553,12136,12675,12694,13015,13870,14022,13779,13904,15137,15164,15738,16154,16845,18355,19600,19610,21540,20135,22327,22637,24436,23120,25213,25112,25176,23565,25017,26179,28376,27752,27275,29599,31434,30641,32193,34254,33938,33035,32500,32822,32759,33241,34641,33941,33425,33365,33246,33438,33207,32908,33029,32826,32927
"98","90","    Other other business services","Y826RC0",23404,24432,24112,23606,24259,24004,24428,24964,24603,25460,26193,26251,28762,28158,29538,30648,30302,29249,29300,31570,31806,33299,32629,34525,33968,35657,35568,38646,47967,47943,46657,49954,52501,52331,55616,59423,63814,66935,68543,70661,67117,67841,69045,70208,68430,69114,70364,74677,75363,85099,87123,85571,85549,87227,87220,88634,87649,89555,92566,95787,94993,95336,94351,98328,99172,99955,101222,102446
"99","91","  Government goods and services n.e.c.","Y807RC0",13868,14268,14580,14132,14248,14564,15032,14220,14396,14444,15072,17376,18304,18440,19868,20800,21616,22200,24240,26420,26112,26428,25912,26732,27588,27620,27620,26988,28215,27162,27148,26887,27815,28554,28287,28384,28600,28654,28686,29579,30294,31307,31743,32496,31994,31636,32492,31720,31770,31673,31480,30251,29210,28036,27610,26588,25527,25541,25493,24775,24159,24413,24443,23639,23290,22986,22692,22227
"100","92","  Other","B910RC0",4355,4437,4549,4692,4865,5004,5110,5182,5219,5243,5253,5249,5231,5233,5257,5301,5367,5455,5567,5703,5862,5992,6094,6168,6213,6252,6284,6309,6328,6380,6466,6587,6741,6835,6867,6838,6749,6644,6524,6390,6240,6117,6021,5951,5907,5873,5849,5834,5829,5845,5881,5938,5966,5993,6021,6048,6076,6087,6081,6059,6021,5992,5972,5963,5945,5927,5909,5909
"101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","government, are included in services. Beginning with 1986, repairs and alterations of equipment are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
