"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"29","21","  Royalties and license fees","B684RA3",10.864,11.378,10.897,11.246,11.73,12.178,12.411,12.373,12.348,12.394,12.3,13.217,12.745,12.929,13.28,13.528,14.298,13.493,15.166,14.514,15.542,15.689,16.063,16.428,16.499,16.558,16.268,16.297,15.852,15.664,15.616,15.261,15.62,16.059,16.933,16.805,18.054,17.492,17.94,18.93,17.188,17.31,17.422,17.731,17.651,18.343,17.923,18.11,17.348,17.002,16.823,16.675,12.933,12.386,12.528,10.479,11.945,12.192,11.935,11.68,12.054,12.161,12.198,12.519,12.01,12.225,12.112,14.682,14.045,14.978,15.255,15.97,17.322,17.581,18.75,19.254,20.102,20.648,20.701,22.336,22.706,22.42,22.783,23.414,24.484,25.903,27.136,27.523,26.717,26.679,26.917,28.12,30.789,30.858,31.227,30.43,30.575,31.83,30.981,31.85,37.273,37.715,37.509,38.33,40.113,41.034,43.004,42.773,42.987,42.74,44.102,45.26,43.798,44.346,44.38,43.525,45.212,46.353,45.791,49.855,61.089,60.828,62.676,62.474,65.175,65.892,65.847,64.637,61.225,61.481,59.77,62.311,62.327,66.398,68.21,65.469,65.693,66.861,68.713,69.351,75.153,75.069,77.156,82.739,84.262,82.429,82.492,82.699,85.218,90.479,87.379,97.137,94.169,100.003,105.297,110.023,103.403,103.606,104.705,102.566,91.628,97.79,97.265,113.317,106.843,105.841,107.48,110.221,115.125,118.112,121.381,116.746,120.632,118.233,118.179,119.657,120.298,121.692,122.682,124.026
"30","22","  Other private services","B720RA3",1.432,1.501,1.586,1.626,1.627,1.609,1.66,1.69,1.783,1.863,1.952,2.035,2.096,2.124,2.125,2.167,2.2,2.264,2.351,2.476,3.74,3.741,3.777,3.901,4.102,4.367,4.478,4.646,4.807,4.981,5.242,5.322,5.277,5.231,5.167,5.297,5.749,5.824,6.549,6.714,6.825,6.931,6.869,7.05,6.858,7.339,7.556,7.826,10.288,10.631,10.485,10.887,12.506,12.618,12.7,13.174,12.379,12.667,12.506,12.847,13.08,12.703,12.805,12.512,12.634,12.47,12.704,13.195,18.073,18.1,17.95,18.115,17.892,17.998,18.102,18.411,18.674,18.697,18.987,19.437,20.878,21.653,22.315,22.747,22.27,22.549,23.047,24.211,25.068,26.179,26.561,26.986,26.403,26.42,27.078,26.737,27.151,27.346,27.838,28.829,30.2,30.957,31.125,32.398,31.697,32.176,33.054,33.649,34.65,35.631,36.1,37.929,38.773,40.498,41.64,42.25,42.867,44.655,45.092,46.006,46.776,47.339,48.389,49.491,48.497,49.241,49.864,51.672,52.275,53.074,52.711,54.649,56.657,56.965,57.049,58.493,59.012,59.796,60.405,63.387,66.339,67.155,66.198,70.644,70.08,68.204,70.571,74.787,76.506,77.622,77.115,83.254,86.978,90.585,92.923,93.46,95.031,98.649,96.244,97.793,99.821,100.206,98.617,101.356,99.741,101.521,108.315,112.573,110.675,111.206,114.079,112.406,116.059,115.95,113.5,118.904,118.411,119.222,118.803,119.702
"31","23","  Other","B980RA3",24.578,24.647,25.169,25.18,25.873,25.819,26.802,26.645,26.604,26.898,26.539,27.035,27.36,28.031,29.355,30.363,31.454,32.662,35.95,34.434,35.141,35.787,36.918,37.428,38.039,39.717,39.204,39.421,40.087,40.054,40.767,41.409,42.827,42.465,43.537,43.918,44.139,45.747,46.535,47.454,48.301,50.05,50.597,47.831,46.579,46.034,47.321,48.801,51.2,52.022,50.238,47.877,40.318,37.759,39.616,39.217,46.836,52.235,50.706,51.95,49.196,51.142,51.042,53.773,63.258,68.048,68.948,66.293,63.838,61.319,60.565,61.085,61.137,62.96,63.631,63.293,62.996,63.631,66.548,65.307,66.914,66.168,63.36,63.652,62.801,64.703,64.957,66.813,69.929,69.439,75.772,73.045,75.031,81.831,83.391,79.626,83.877,88.541,88.759,87.027,92.475,92.323,94.119,97.583,97.303,95.082,97.434,94.334,96.543,89.892,91.143,89.094,91.294,91.023,89.998,90.601,89.179,89.776,87.927,87.506,86.375,85.435,85.882,88.064,86.841,86.247,84.65,82.774,80.641,79.546,79.573,77.757,77.246,78.94,79.4,80.987,80.597,80.335,79.144,78.06,78.272,79.483,81.557,82.907,82.123,81.386,82.038,81.004,82.503,81.846,80.673,79.527,80.063,78.138,81.901,79.589,79.786,82.742,83.946,89.227,95.915,101.125,100.734,102.227,103.977,100.137,99.222,103.427,108.339,107.865,111.657,111.439,109.13,107.74,106.392,104.9,103.378,103.734,104.605,109.351
"32","24","    Imports of goods and services","B021RA3",10.848,12.989,12.82,12.679,12.638,12.888,12.858,13.057,12.904,13.877,14.184,13.222,15.155,14.616,14.921,15.593,16.313,15.843,15.405,15.52,14.994,15.788,15.512,15.358,13.817,12.712,13.768,14.503,15.412,16.079,16.735,17.289,18.108,18.275,18.02,18.276,19.502,19.563,19.819,20.091,20.036,20.144,19.837,20.27,20.285,18.813,17.46,18.397,19.183,19.212,18.993,19.537,18.981,18.671,19.537,18.77,19.2,20.676,22.286,23.379,25.259,26.317,26.998,27.789,27.176,28.511,28.236,29.343,29.316,30.564,31.411,31.653,31.464,32.249,32.876,33.631,33.474,33.089,33.871,34.903,35.064,35.231,35.183,35.819,36.955,36.894,36.745,35.759,35.352,35.98,36.993,37.81,38.085,38.711,39.322,40.263,41.135,41.985,42.538,44.247,45.278,46.965,48.286,49.644,50.733,51.215,51.391,52.048,53.74,54.943,56.725,57.844,60.315,62.339,64.636,66.03,68.504,70.075,71.022,73.326,75.171,77.529,80.27,82.091,85.471,87.848,90.867,91.09,89.497,86.939,84.802,83.835,85.93,88.781,90.209,91.956,90.762,91.968,92.976,96.519,99.175,102.937,104.243,106.834,107.813,108.888,109.171,112.492,114.913,116.188,117.184,117.02,119.019,119.48,119.555,117.827,118.92,117.83,115.649,110.904,100.296,96.033,99.649,104.021,106.98,112.023,115.88,116.152,116.966,117.166,118.563,120.263,120.475,121.207,121.358,120.398,120.584,122.615,123.347,123.638
"33","25","Imports of goods \1\","B255RA3",9.236,11.696,11.457,11.167,11.187,11.276,11.242,11.557,11.5,12.609,13.054,11.895,13.98,13.321,13.889,14.54,15.295,14.907,14.677,14.785,14.085,14.899,14.642,14.38,12.704,11.618,12.826,13.547,14.517,15.243,15.916,16.484,17.38,17.509,17.299,17.546,18.767,18.845,19.066,19.311,19.274,19.395,19.068,19.554,19.58,18.011,16.514,17.448,18.189,18.199,18.027,18.613,17.916,17.415,18.418,17.443,17.966,19.461,21.128,22.309,23.946,24.925,25.448,26.108,25.291,26.78,26.685,27.953,27.737,29.493,30.11,30.308,29.825,30.422,31.152,31.702,31.604,31.289,32.066,33.129,33.229,33.367,33.16,33.847,34.853,34.724,34.474,33.443,33.237,33.788,35.125,35.967,36.481,37.382,38.143,39.13,40.189,41.101,41.623,43.348,44.416,46.381,47.987,49.679,50.637,51.335,51.445,52.024,53.875,55.23,57.102,58.491,61.01,63.331,65.634,67.105,69.578,71.211,72.037,74.712,76.969,79.637,82.737,84.74,88.096,90.613,93.729,94.064,92.358,88.788,87.103,86.386,88.016,91.747,93.393,94.723,93.638,96.097,96.331,99.812,102.596,106.787,108.34,111.017,112.419,113.559,113.818,117.494,119.517,121.025,122.346,121.503,123.589,123.926,123.796,121.966,122.652,121.563,118.479,112.344,100.26,95.239,99.602,104.899,108.543,114.556,118.528,119.019,120.314,120.111,121.153,123.124,123.394,124.154,124.282,123.17,123.098,125.341,126.087,126.35
"34","26","  Foods, feeds, and beverages","B647RA3",22.854,31.153,31.079,30.643,30.85,30.307,31.107,31.345,29.562,32.358,40.101,25.581,35.436,31.316,34.807,34.28,35.005,34.397,34.078,35.821,36.702,32.854,30.004,29.32,24.543,24.376,32.171,32.904,31.197,31.274,33.808,33.46,33.023,32.959,30.384,32.078,36.261,35.586,34.586,37.778,37.359,38.898,34.702,37.063,33.623,31.968,30.261,32.983,34.467,32.634,32.122,34.827,30.183,34.456,36.67,35.338,35.62,36.915,37.866,37.907,41.416,40.23,42.396,43.954,44.439,43.97,44.046,42.817,44.224,45.444,44.511,45.234,46.613,46.915,45.96,44.406,46.022,42.28,44.509,43.787,43.648,43.037,46.858,47.031,49.283,46.821,46.157,45.224,44.044,45.559,44.799,44.594,43.887,49.032,48.591,47.459,47.49,47.502,47.967,48.242,48.873,49.353,49.4,47.951,50.263,49.38,50.175,50.679,53.133,54.024,56.382,56.99,57.848,59.774,62.775,62.46,64.575,64.791,65.429,65.848,69.351,72.11,72.69,73.791,74.5,75.959,77.897,78.383,77.2,78.564,83.133,81.62,82.405,84.043,85.33,85.837,88.377,89.918,91.302,94.007,95.818,97.386,95.363,97.078,97.291,99.1,100.695,101.982,106.444,105.344,105.129,106.818,110.007,107.732,106.867,104.36,107.82,106.483,104.664,105.131,101.73,100.178,99.421,98.672,101.928,103.059,103.786,100.357,102.089,102.88,103.377,108.923,107.49,106.597,108.751,109.752,112.879,113.877,111.628,111.646
"35","27","  Industrial supplies and materials, except petroleum and products","B649RA3",26.578,34.584,32.069,31.198,30.61,30.997,30.931,33.189,32.828,36.726,36.058,31.428,36.666,36.547,37.124,40.038,40.508,38.116,36.228,36.487,34.492,36.012,38.108,38.834,34.439,28.858,28.655,32.235,35.167,37.568,38.705,39.805,37.369,40.941,42.159,42.264,43.67,45.134,44.805,44.591,42.295,43.964,42.491,42.444,41.789,37.982,33.834,35.79,38.575,41.078,41.131,41.4,37.455,36.093,36.99,36.484,39.529,41.889,44.796,48.399,52.879,54.438,53.731,55.494,53.35,55.564,53.826,55.03,56.797,57.182,56.012,59.348,57.191,55.251,55.584,59.053,59.09,56.304,56.428,57.734,56.94,55.871,55.216,56.326,57.033,55.935,57.608,57.302,53.489,54.976,56.272,58.918,60.082,60.928,61.654,63.179,64.049,64.963,67.402,70.334,72.359,75.158,77.848,81.055,81.208,81.963,78.732,78.946,81.355,83.211,86.066,88.472,88.477,91.058,92.632,94.918,99.087,102.439,102.81,103.334,103.133,106.127,108.98,113.462,114.856,114.436,115.741,114.819,115.218,109.606,109.446,109.067,110.58,113.218,114.925,118.105,113.339,115.044,117.274,117.832,123.814,133.16,138.25,139.898,142.243,141.569,138.726,147.235,149.919,149.794,150.402,144.393,143.195,147.113,145.091,135.959,137.056,135.03,134.528,122.518,105.567,92.921,97.414,104.098,109.818,115.383,117.144,115.925,119.85,123.256,123.283,122.038,124.978,125.091,127.637,123.904,126.895,126.687,129.354,128.241
"36","28","    Durable goods","B820RA3",36.005,48.123,43.341,42.263,40.835,42.217,42.375,45.408,44.433,50.385,49.124,43.079,49.106,50.073,51.413,56.422,56.748,52.933,50.916,50.99,47.334,49.939,52.886,55.04,47.824,38.278,36.71,40.361,43.721,47.405,49.862,49.758,47.438,53.985,55.451,56.94,58.246,58.144,59.894,59.937,56.606,56.743,55.378,54.827,53.892,45.479,40.158,44.18,45.314,50.33,49.695,48.827,42.852,39.276,38.746,37.71,42.899,46.915,52.667,55.156,61.149,63.457,61.918,62.737,60.215,62.52,60.921,60.779,64.599,66.161,62.273,67.054,61.98,60.073,59.203,63.33,63.513,58.388,57.888,60.617,58.568,57.384,56.879,57.574,57.988,55.965,58.637,57.968,53.585,53.768,55.48,57.031,60.033,59.827,59.743,61.853,62.841,62.587,67.176,72.621,73.621,78.073,81.088,85.154,85.807,84.485,79.109,80.086,83.977,86.819,89.732,92.339,91.648,93.942,95.057,99.321,104.98,109.758,110.965,112.876,111.902,113.439,114.311,121.665,124.405,122.919,122.475,122.227,120.269,114.433,114.632,113.679,119.375,120.121,122.644,125.466,122.277,120.48,121.806,127.479,132.683,144.562,154.195,159.09,157.893,158.74,152.377,162.311,176.07,173.963,176.147,165.03,161.467,162.2,156.32,145.167,149.826,145.509,144.914,131.959,109.31,93.169,95.016,102.505,109.005,116.952,117.901,115.763,122.974,127.201,126.08,124.004,134.71,133.952,130.646,130.344,136.805,136.429,135.547,134.182
"37","29","    Nondurable goods","B696RA3",18.414,22.947,22.299,21.614,21.708,21.295,21.053,22.638,22.774,24.94,24.762,21.374,25.858,24.873,24.826,25.99,26.563,25.37,23.619,24.023,23.417,24.027,25.394,24.947,22.933,20.682,21.596,25.057,27.587,28.902,28.948,31.003,28.517,29.61,30.605,29.582,31.045,33.759,31.738,31.316,29.904,32.803,31.264,31.628,31.213,31.259,28.134,28.361,32.465,32.86,33.482,34.685,32.471,32.954,35.013,34.95,36.183,37.148,37.675,42.141,45.309,46.23,46.22,48.737,46.934,49.046,47.213,49.537,49.524,48.873,50.125,52.147,52.618,50.656,52.083,54.936,54.84,54.29,55.026,54.912,55.378,54.422,53.621,55.138,56.129,55.907,56.629,56.679,53.404,56.091,57.005,60.661,60.114,61.943,63.433,64.409,65.17,67.199,67.593,68.125,71.125,72.322,74.702,77.093,76.784,79.517,78.311,77.799,78.812,79.732,82.523,84.737,85.404,88.268,90.309,90.649,93.361,95.306,94.843,93.99,94.537,98.991,103.852,105.474,105.524,106.169,109.125,107.658,110.005,104.656,104.217,104.423,101.947,106.424,107.399,110.913,104.874,109.403,112.388,108.582,115.277,122.326,123.211,121.921,127.695,125.606,125.693,132.722,126.092,127.436,126.362,125.174,126.309,133.339,135.073,127.812,125.544,125.528,125.105,113.98,102.086,92.627,99.685,105.602,110.585,113.816,116.421,116.147,116.725,119.317,120.505,120.108,115.355,116.354,124.589,117.55,117.22,117.169,123.133,122.266
"38","30","  Petroleum and products","B648RA3",22.157,24.197,23.689,25.506,26.488,25.521,24.337,26.868,23.759,28.504,31.569,34.207,33.985,33.639,37.233,39.295,44.925,51.377,52.253,56.229,41.837,51.452,50.858,52.997,48.001,44.506,49.587,51.796,52.592,56.803,60.192,64.201,76.373,70.272,68.766,65.859,67.582,63.052,67.988,67.299,70.521,66.566,65.754,66.142,64.861,55.236,47.371,49.762,52.329,47.623,45.356,45.032,43.11,35.773,43.838,40.99,32.601,40.454,47.095,41.865,42.647,43.37,41.869,43.249,34.053,41.818,39.711,45.118,40.02,48.941,57.199,52.521,46.832,48.045,57.764,54.874,54.899,56.576,57.388,60.671,64.961,59.701,61.186,62.357,73.857,64.553,60.542,51.894,58.835,61.048,65.523,64.535,63.57,61.826,65.084,70.751,70.658,70.108,69.177,76.217,75.378,74.286,80.025,75.847,75.262,71.963,76.132,76.631,78.995,80.586,81.93,83.781,84.048,82.956,84.121,87.632,89.195,89.534,91.189,92.187,100.799,97.371,97.768,93.237,99.823,98.843,100.863,103.842,109.155,103.743,99.02,103.34,98.282,100.549,100.329,106.351,101.997,110.829,112.019,107.747,115.699,112.658,113.619,119.264,117.033,116.332,116.303,120.855,114.017,115.41,121.319,110.925,112.576,114.145,111.8,112.199,110.1,106.739,105.077,113.326,109.852,98.574,96.875,94.7,97.933,102.671,103.771,97.507,101.907,98.227,96.836,97.23,92.616,91.469,90.185,87.664,85.214,84.428,83.757,82.032
"39","31","  Capital goods, except automotive","B650RA3",0.692,0.898,0.906,0.895,0.929,0.924,0.826,0.852,0.813,0.901,0.905,0.879,1.142,1.077,1.088,1.164,1.279,1.3,1.427,1.509,1.416,1.452,1.538,1.472,1.509,1.281,1.333,1.463,1.589,1.625,1.693,1.857,1.708,1.8,1.75,1.962,2.256,2.249,2.283,2.531,2.628,2.807,2.902,3.069,3.349,3.369,3.245,3.473,3.573,3.828,4.041,4.391,4.381,4.492,4.33,4.029,4.567,4.723,5.381,6.172,6.789,7.601,8.265,8.493,8.516,8.713,8.652,9.225,9.308,10.048,10.195,10.3,10.25,11.075,11.891,12.286,12.29,12.865,13.454,13.835,13.828,14.793,14.991,15.712,15.613,16.002,16.077,16.394,16.494,17.026,17.609,17.772,18.428,19.72,20.535,21.143,21.716,23.093,23.455,24.864,26.349,27.744,29.106,31.013,32.146,34.209,36.226,38.002,39.048,39.933,41.784,44.439,47.514,50.809,53.686,55.315,57.915,59.199,59.754,61.568,63.061,67.196,70.364,73.058,75.381,81.702,85.837,85.869,81.611,73.011,68.888,67.923,69.821,72.099,72.286,72.736,73.084,74.84,75.421,80.399,83.819,88.501,91.383,94.159,94.921,99.557,100.388,103.67,107.698,110.087,112.499,113.416,116.151,117.788,119.53,120.109,122.925,124.527,121.67,112.208,99.018,94.258,99.316,107.408,110.413,119.187,125.774,129.929,132.111,136.111,139.492,144.326,147.285,149.365,147.191,148.067,147.807,148.869,151.735,155.341
"40","32","    Civilian aircraft, engines, and parts","B932RA3",4.292,3.878,3.923,4.126,3.734,4.54,3.622,4.676,4.879,5.406,5.225,3.298,7.409,9.735,9.494,12.318,11.821,10.94,12.792,12.875,11.143,12.83,12.13,8.681,9.705,11.068,7.183,8.282,6.912,5.715,5.609,5.685,5.7,7.785,7.047,11.211,10.385,11.52,9.988,10.405,14.563,14.004,12.877,20.359,28.229,32.673,27.772,36.265,36.332,34.149,30.464,39.852,32.694,30.818,24.836,28.981,26.807,22.396,21.101,31.535,27.167,24.628,32.403,29.807,35.707,42.686,36.834,44.176,38.253,55.021,42.407,44.222,40.05,50.428,51.754,57.432,47.311,62.464,61.287,60.382,57.285,70.224,62.896,74.215,62.152,69.458,65.029,83.039,68.184,72.137,73.492,68.222,70.112,77.508,71.695,75.777,61.232,66.091,59.312,70.672,63.568,66.887,54.151,65.329,58.173,59.924,55.971,57.148,57.677,65.444,67.449,71.497,70.085,76.718,94.275,89.755,88.719,110.799,110.182,117.815,108.182,111.205,123.307,115.24,110.602,116.69,123.753,139.901,140.901,139.365,137.071,143.905,125.829,108.687,97.787,114.158,101.089,102.868,97.709,110.708,88.843,102.179,99.039,112.838,103.735,112.97,95.697,99.314,110.119,106.479,104.433,115.75,123.124,128.222,126.615,125.52,131.436,132.318,117.407,107.886,99.881,103.904,96.492,99.722,95.6,97.503,100.896,103.416,105.246,104.574,101.404,123.58,107.053,114.294,114.377,130.098,126.453,128.034,130.434,137.853
"41","33","    Computers, peripherals, and parts","B852RA3",0.001,0.001,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.007,0.007,0.008,0.009,0.009,0.008,0.009,0.01,0.012,0.013,0.015,0.018,0.016,0.018,0.02,0.023,0.028,0.034,0.034,0.039,0.043,0.051,0.049,0.055,0.061,0.065,0.081,0.088,0.091,0.104,0.109,0.121,0.13,0.149,0.173,0.185,0.289,0.36,0.415,0.504,0.588,0.699,0.776,0.802,0.76,0.751,0.805,0.931,1.076,1.207,1.332,1.43,1.624,1.872,2.185,2.412,2.471,2.603,2.747,2.778,2.973,3.182,3.425,3.798,3.77,3.709,3.686,3.879,4.34,4.66,5.06,5.243,5.671,6.443,7.171,7.481,7.97,8.697,9.293,9.723,10.469,11.388,12.202,13.445,13.651,14.871,16.436,18.244,18.841,19.69,20.48,21.461,23.85,26.067,27.8,28.512,31.051,32.394,32.891,36.001,38.806,42.494,43.963,45.406,45.194,49.581,53.42,51.509,48.322,45.212,43.565,44.479,49.433,50.083,50.382,50.352,51.814,53.136,54.463,58.979,62.081,66.065,69.876,72.678,73.396,75.369,78.83,81.871,86.742,89.459,93.11,93.815,101.614,98.87,98.235,100.207,104.463,107.77,104.382,89.185,85.627,89.99,103.892,120.491,122.183,128.973,129.622,126.999,125.973,135.395,142.279,141.777,144.435,143.107,134.971,144.053,140.283,135.568,140.568,149.652
"42","34","    Other","B853RA3",1.577,2.079,2.08,2.057,2.135,2.075,1.855,1.887,1.78,1.976,1.975,1.95,2.457,2.259,2.297,2.416,2.676,2.726,2.965,3.156,2.962,2.996,3.194,3.099,3.166,2.625,2.809,3.076,3.366,3.456,3.593,3.939,3.61,3.755,3.637,4.002,4.645,4.554,4.662,5.172,5.271,5.63,5.884,6.041,6.442,6.361,6.126,6.394,6.602,7.162,7.711,8.187,8.322,8.546,8.264,7.401,8.262,8.482,9.799,10.886,12.12,13.643,14.578,15.1,15.056,15.239,15.169,15.737,15.741,16.306,16.795,16.698,16.289,17.089,18.086,18.255,18.514,18.909,19.872,20.608,20.364,21.453,21.71,22.085,22.415,23.004,23.376,22.929,23.011,23.383,23.862,24.173,24.763,25.853,26.739,27.309,28.514,29.988,30.29,31.863,34.153,35.54,37.83,39.423,41.665,44.085,46.374,47.713,49.001,49.309,51.801,55.455,58.822,62.196,64.455,67.099,69.528,68.865,69.47,69.457,70.606,74.683,78.051,82.302,86.871,93.994,97.679,97.677,92.554,80.196,74.529,71.665,73.367,78.385,79.545,78.722,79.674,81.605,82.284,86.541,92.526,96.572,99.459,101.015,102.787,108.2,109.568,112.874,115.729,118.573,120.872,120.774,120.775,123.916,127.042,127.234,129.109,130.1,128.813,121.528,103.998,94.68,97.912,103.41,107.844,118.251,127.463,134.306,137.632,140.265,143.251,147.637,153.331,155.897,155.475,151.509,152.916,155.885,158.07,159.231
"43","35","  Automotive vehicles, engines, and parts","B651RA3",17.591,22.39,24.174,21.537,20.859,22.751,22.022,21.991,24.677,25.739,29.303,27.164,29.254,28.709,27.895,29.955,31.303,29.776,28.934,29.488,32.983,33.698,32.476,27.765,22.214,22.983,27.312,28.218,32.412,34.054,34.095,32.911,32.983,35.308,35.832,37.264,37.563,39.798,37.675,37.964,35.716,37.923,37.012,37.291,38.173,36.211,35.865,36.323,34.48,35.862,35.376,36.131,36.454,39.552,40.901,34.915,40.635,45.135,46.314,53.755,57.896,58.698,60.47,61.711,62.369,65.753,69.115,70.308,68.769,72.721,75.498,72.639,73.856,75.022,72.957,75.361,72.837,71.453,71.225,74.218,75.498,72.422,67.217,67.225,68.795,73.396,71.811,68.74,64.987,62.286,68.338,68.039,68.464,68.784,68.433,71.514,76.062,75.84,74.459,78.256,78.636,84.267,87.581,91.07,91.776,89.215,84.067,82.417,86.07,90.914,93.156,89.118,96.788,96.985,97.807,96.707,100.09,101.175,99.591,112.531,117.537,120.515,126.083,128.186,135.269,132.628,133.521,131.13,128.174,129.355,130.126,127.455,131.108,137.919,141.356,141.306,138.552,142.751,138.095,146.638,148.279,152.588,152.345,152.568,152.329,153.987,157.312,164.894,168.416,168.003,164.23,170.601,166.261,168.011,172.653,164.3,165.172,160.052,144.642,121.77,81.847,81.623,109.474,127.056,127.187,141.292,146.181,148.811,154.231,140.272,159.253,164.559,174.944,176.805,179.932,177.894,172.242,183.577,192.364,189.951
"44","36","  Consumer goods, except automotive","B652RA3",5.223,6.374,6.109,6.129,6.257,6.244,6.594,6.53,6.585,7.116,6.296,6.971,8.442,7.745,8.257,8.425,9.069,8.463,8.163,8.035,7.477,7.98,7.75,7.15,5.836,5.503,5.881,6.318,6.896,7.324,7.832,8.319,9.112,9.192,9.102,9.268,10.828,11.474,11.528,11.223,11.092,11.242,11.315,11.745,11.724,11.728,10.837,11.446,12.11,12.307,12.405,13.257,13.273,12.579,13.31,13.18,14.803,14.781,15.828,17.589,19.001,19.835,20.385,20.306,21.204,21.301,21.657,22.644,23.07,23.857,24.25,25.008,24.656,25.192,24.701,24.746,25.13,24.364,25.307,25.962,25.902,26.818,26.363,26.372,26.28,26.219,25.769,25.309,25.311,25.348,26.293,28.407,28.269,28.946,29.46,29.654,30.623,31.162,32.097,32.099,32.463,33.639,34.54,35.853,36.835,37.01,37.118,36.271,37.994,38.532,40.373,41.639,42.647,44.671,46.344,47.936,49.714,51.47,52.275,52.613,54.762,56.158,59.139,61.652,64.217,67.669,69.363,71.326,70.575,69.628,68.86,67.942,70.516,75.523,78.389,79.257,80.757,81.193,82.75,86.185,87.605,92.659,91.958,95.597,98.738,99.88,98.844,100.36,104.066,105.838,108.114,111.795,115.223,113.266,112.075,113.975,114.534,115.081,114.452,105.672,98.757,97.576,99.097,104.571,105.73,111.253,117.11,117.178,118.153,119.269,117.154,117.062,114.689,116.6,117.274,118.181,118.293,120.8,120.656,122.004
"45","37","    Durable goods","B697RA3",4.916,5.678,5.555,5.719,5.768,5.735,5.896,5.925,6.02,6.681,5.7,6.687,7.989,7.554,7.689,7.853,8.826,8.315,8.026,7.71,7.63,8.161,8.06,7.179,6.065,5.507,5.892,5.962,6.342,6.529,7.139,8.187,9.617,9.262,9.367,9.66,11.024,11.878,11.752,11.491,10.897,11.296,11.634,12.065,12.244,12.546,11.665,11.921,12.727,12.981,13.126,13.78,14.191,12.893,13.24,13.384,15.28,14.525,15.676,17.913,18.851,19.413,20.606,20.985,22.021,21.894,22.153,22.6,23.016,24.232,24.098,24.696,23.839,24.068,23.964,24.039,24.051,23.241,24.446,25.258,25.571,26.237,25.543,24.894,24.587,24.448,24.128,23.668,23.276,23.559,24.507,26.385,26.12,26.782,27.263,27.066,28.477,28.362,29.682,29.919,30.139,31.416,31.988,33.571,34.133,34.16,34.13,33.742,35.515,36.108,37.989,38.335,39.518,41.212,42.632,44.448,46.579,48.361,49.115,50.15,51.195,54.304,57.057,59.191,63.414,65.719,67.078,69.534,67.588,65.494,65.276,65.11,68.496,74.334,76.056,75.7,75.635,76.824,80.367,84.955,86.31,92.124,92.31,97.239,100.043,100.78,103.187,103.85,107.86,107.559,110.36,115.697,118.327,115.829,117.437,120.273,118.917,120.1,120.334,108.134,98.535,98.498,98.803,104.163,107.244,114.634,122.149,121.684,122.28,120.973,119.166,121.012,118.098,121.047,122.848,126.722,124.511,130.306,130.224,131.907
"46","38","    Nondurable goods","B698RA3",5.782,7.697,7.147,6.883,7.169,7.196,7.906,7.664,7.646,7.936,7.402,7.511,9.292,8.096,9.324,9.499,9.522,8.748,8.431,8.636,7.239,7.697,7.262,7.124,5.505,5.498,5.873,6.823,7.697,8.497,8.845,8.486,8.346,9.063,8.683,8.661,10.508,10.845,11.168,10.798,11.371,11.137,10.809,11.239,10.929,10.519,9.626,10.712,11.176,11.294,11.33,12.447,11.925,12.057,13.299,12.801,14.037,15.013,15.905,17.01,19.038,20.223,19.927,19.257,19.968,20.355,20.835,22.515,22.957,23.169,24.267,25.23,25.557,26.491,25.488,25.494,26.362,25.663,26.256,26.705,26.155,27.394,27.253,28.114,28.304,28.346,27.732,27.274,27.791,27.506,28.439,30.849,30.877,31.57,32.124,32.823,33.209,34.601,35.025,34.72,35.271,36.306,37.63,38.584,40.102,40.47,40.757,39.321,40.97,41.433,43.213,45.653,46.431,48.863,50.846,52.151,53.484,55.203,56.068,55.554,59.045,58.354,61.608,64.581,65.138,69.974,72.072,73.434,74.123,74.559,73.128,71.315,72.924,76.945,81.168,83.474,86.806,86.354,85.59,87.683,89.183,93.368,91.647,93.806,97.336,98.938,94.004,96.485,99.849,103.979,105.658,107.45,111.787,110.442,106.086,106.933,109.651,109.489,107.891,102.94,98.998,96.554,99.424,105.025,104.066,107.552,111.623,112.264,113.651,117.359,114.915,112.766,110.957,111.771,111.265,109.086,111.595,110.73,110.522,111.526
