"","Table 1#6#7# Percent Change From Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81"
"43","36","    Nonfarm","ZZZZZZ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","37","Government consumption expenditures and gross investment","A822RV1",-3.1,-5,-9,3.2,7.6,0.8,3,2.1,0.2,-1.6,-1.2,6.2,0.5,1.6,-1.3,1.2,23.8,8,3.9,2.8,0.1,6.6,2,1.1,2.1,4.2,5.6,4.4,3,0.4,1.3,2,2.5,2.2,2.8,2.7,4.2,4.2,5.4,6,8.1,7.8,7.7,7.3,10.1,10,6.6,6.9,6.4,8.4,10.9,9.8,6.6,4,5.1,3.1,1.8,2.8,2.6,3.1,4,3.4,2.4,2.5,2.6,2.7,2.4,1.8,1.4,2.8,4.1,2.5,2.9,4.1,4.5,5.9,4.7,4.5
"45","38","  Federal","A823RV1",-4.4,-0.8,-4.8,1.1,6.9,1.2,9.2,1.6,1.7,-1.9,-3.9,5.2,-1.9,0.9,-1.8,1,27.6,6.1,-0.9,4.2,-0.6,4.4,1,0.7,2.4,5.4,5.2,4.5,4.1,-0.7,0.9,1.7,2.1,2.1,3.4,2.6,3.6,3,5.4,5.4,8.1,8.5,9.8,6.9,8.9,10.4,7.1,7.6,6.2,7.7,10.5,9.7,6.8,3.5,5.9,2.3,0.5,1.2,2.1,2.7,3.3,4,3,2.6,2.7,2.8,2.8,1.7,1,2.5,3.2,1.9,3.7,4.2,4.7,4.8,4.1,3.4
"46","39","    National defense","A824RV1",-3.4,-1.4,-2.1,-2.3,5.4,3,2.4,3.3,0.4,-0.6,-4.9,6.8,-2.2,1,-1.6,0.7,28.2,7.3,-0.5,3.3,-0.1,4.1,0.4,0.4,2.7,5.6,5.7,4.5,3.8,-0.8,0.8,1.4,1.9,2.2,2.9,2.8,3.5,3,5.2,5.5,7.6,8.9,11.5,7.3,9.3,9.8,7.3,7.6,7,8,10.9,9.9,7,3.5,7.1,1.9,-0.1,1,1.9,2.6,3.3,3.6,3.5,2,2.5,2.5,3.1,1.4,1,2.4,3.2,2,3.7,4.7,4.7,5.2,4.5,3.5
"47","40","      Consumption expenditures","A997RV1",-3.2,-0.7,-1.4,-2.4,4.6,3,2.6,1.4,0.5,-0.5,-7.4,4.4,-3,1.1,2.2,4.9,31.8,6.7,-1.1,3.5,-0.5,3.1,0,1.4,3.3,6.4,4.9,4.3,4.5,-1.4,1,1.5,2.1,2.7,3.6,3.3,3.9,3.2,5.7,5.5,7.7,9.2,9.9,7.7,10,10.3,7.3,7.6,7,8.5,11.7,10.2,7.1,3.7,8.3,2.8,1,2.1,2.4,2.8,3.6,3.9,4,1.9,2.4,2.5,3.6,2,1.3,2.5,3.7,2.5,4.4,5.3,5.1,5.7,4.8,3.8
"48","41","      Gross investment","A788RV1",-7.9,-9.3,-9.7,-0.2,11.4,3,1.4,10.2,-0.1,-1,2.2,10.3,-1.3,0.7,-6.9,-7.5,11.7,16.2,6.1,2.4,2.4,9.1,1.6,-2.3,1.1,3,8.7,5.5,1.3,1.6,0,1.2,1.3,0.8,-0.1,0.3,1.4,1.7,2.6,5.4,7.2,6.4,33.2,3.7,3.8,6.1,7.6,7.2,7,5.1,6.1,8.1,6.8,2.7,1.8,-1.9,-4.5,-3.3,-0.3,1.7,2,2.1,0.9,2.6,2.9,2.6,0.5,-1.8,-0.9,1.5,-0.2,-1.2,-0.9,0.2,1.7,2,2,1.5
"49","42","    Nondefense","A825RV1",-5.5,-0.2,-7.4,3.8,7.6,0.5,11.7,1.1,2.1,-2.3,-3.6,3,2.9,-2.7,-6.3,11.6,22.1,2.7,-2.4,6.7,-2,5.3,5.2,2.6,0.1,4.3,2,4.2,6.2,0.3,1.2,3,3,1.7,5.1,2,4,3.1,6.3,5.1,9.6,7.5,5,5.6,8,12,6.7,7.5,4.3,7.1,9.7,9.4,6.2,3.4,2.5,3.4,2.5,1.8,2.9,3.1,3.3,5.1,1.7,4.1,3.2,3.4,2.1,2.2,1.2,2.8,3.2,1.7,3.5,3.4,4.9,4,3.4,3.1
"50","43","      Consumption expenditures","A542RV1",-5.9,2.5,-3.6,1.3,6.1,-0.7,15.7,0.7,2.8,-2.5,-4.9,1.2,1,-0.3,-10.5,19.8,28.1,2.1,-4.1,7.8,-2,4.6,5.2,3.1,0.6,5,1.5,3.8,7.7,-0.2,1.3,3.6,3.1,1.6,5.3,3.2,4.6,2.7,6.6,5.3,9.6,7.7,5.2,5.7,7.6,11.9,7.1,8,4.5,7.1,9.9,9.5,6.3,3.9,2.9,3.9,2.8,2,3,3.3,3.6,5.8,2.2,4.8,3.6,3.8,2.7,2.9,1.7,3.3,3.6,2,4.3,3.9,5.4,4.2,3.7,3.5
"51","44","      Gross investment","A798RV1",-4.1,-8,-15.2,8.4,10.6,2.1,4.2,2.4,-0.3,-1.1,2.2,7.5,6.1,-7.9,8.8,-8.1,0.7,2.5,6.1,1.8,-2.5,7.4,5.5,0.9,-2.7,-0.5,5.4,6.1,-0.3,2.7,1.1,0.5,2.4,2.2,4.4,-2.1,2.4,4.4,4.9,4.5,9.5,6.5,4.3,5.1,10.2,12.4,4.4,4.6,3.6,7.2,8.6,8.7,5.5,0.4,0.5,1,1,1.1,2.2,2.3,2.1,1.6,-0.7,1,1.1,1.7,-0.8,-1.3,-1.4,0.1,1,0.3,-0.9,-0.2,1.1,2.1,1.5,0.6
"52","45","  State and local","A829RV1",-2.8,-6,-10,3.8,7.9,0.7,-0.4,2.5,-0.8,-1.4,0.9,6.7,10.5,7.4,3.9,3.3,9.3,12.1,11.8,0.8,0.9,10.3,4.3,1.9,1.7,1.9,6.4,4.3,1.3,2.1,1.8,2.4,3.1,2.2,2,2.8,4.9,5.6,5.3,6.7,8.2,7.1,6,7.7,11,9.8,6.2,6.5,6.6,8.9,11.2,9.9,6.4,4.4,4.5,3.9,2.9,4.1,3.1,3.4,4.6,3,2,2.5,2.6,2.7,2.2,1.9,1.7,2.9,4.5,2.9,2.5,4.1,4.3,6.5,5.1,5.1
"53","46","      Consumption expenditures","A991RV1",-1,-3.6,-6.1,0.8,5.6,2.1,-3.9,2.7,-0.9,-0.8,1.5,5.2,8.8,7.5,4.5,3.7,9.3,11,11.9,1.7,2.6,8.4,5,3.1,3.7,2.6,4.9,4.6,2.8,3.2,3.2,3.3,3.7,2.6,2.4,2.9,5.3,6.6,5.6,6.7,8.2,7,6.1,7.6,9.1,9.4,7.2,7.1,6.7,8.7,11,9.7,6.4,5.1,5.3,4.4,2.9,4.3,3.2,3.7,5,3.4,2.4,2.5,2.6,2.6,2.3,1.9,1.8,3.2,4.8,3,2.7,4.7,4.2,6.2,4.8,4.7
"54","47","      Gross investment","A799RV1",-6,-10.4,-18.7,14.2,16.4,-3.8,8.2,2.1,-0.6,-2.4,-0.1,10.7,16.7,6.9,-2,-0.6,9.4,17,11.6,-1.6,-3.3,14.9,2.7,-0.6,-2.7,0.5,9.6,3.7,-1.7,-0.1,-1.3,0.2,1.8,1.4,1.1,2.5,4,3.1,4.6,6.7,8.4,7.6,5.4,7.8,18.3,11,2.4,3.9,6.1,9.4,12,11,6.3,1.2,0.5,1.6,2.9,3.4,2.6,2.3,2.8,1.4,0.4,2.1,2.5,3.1,1.8,1.7,1.3,2.1,3.3,2.2,1.8,1.6,4.6,7.7,6.3,6.9
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Final sales of computers to domestic purchasers \2\","W489RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.8,-21.9,-12,-10.7,-17.6,-18.5,-14.5,-14.8,-14.1,-7.3,-6.7,-10.2,-11.4,-16.3,-16.1,-12.2,-17.2,-25.3,-25,-27.9,-24.7,-15.2,-20.8,-16.9,-14.1,-9.1,-13.7,-13.9,-10.8
"57","49","  Gross domestic purchases excluding final sales of computers to domestic purchasers","BB05RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,10.7,9.3,5.8,3.7,3.7,3,2.4,3.2,3.5,3.9,4.2,3.4,2.5,2.4,2.2,2.3,2.2,1.8,1.1,2,2.8,2.3,1.8,2.5,3.2,3.9,3.6,2.9
"58","50","  Food","B981RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,3.2,1.6,2.6,3.3,2.6,4.8,4.7,3.3,1.1,1.5,1.6,2.1,2.7,2.1,1.6,1.9,2.3,2.9,1.9,1.9,3.1,2.2,2.3,3.8
"59","51","  Energy goods and services","B982RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.9,0.7,-13.5,1.4,0.4,6.1,9,-0.1,0.2,0.8,0.1,0.9,5,0.7,-8.9,4.4,19.3,2.3,-6.1,13.3,11.8,19.3,11.3,6.2
"60","52","  Gross domestic purchases excluding food and energy","B983RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.7,3.2,3.2,3.1,3.7,3.6,3.7,3.5,2.6,2.3,2.2,2.2,1.5,1.3,1,1.4,1.9,1.9,1.9,1.9,2.7,3.1,3.1,2.4
"61","53","  Gross domestic product","A191RV1",-3.9,-10,-11.5,-2.6,4.9,2,1.2,3.7,-1.9,-1.2,0.9,6.5,8.2,5.6,2.4,2.6,11.7,11.2,5.7,0,0.8,6.9,2.2,1.3,1.1,1.5,3.5,3.5,2.4,1.2,1.4,1.1,1.4,1.1,1.5,1.8,2.8,3.1,4.3,5,5.3,5,4.3,5.6,9,9.5,5.8,6.4,7,8.3,9.1,9.4,6.1,3.9,3.8,3,2.2,2.7,3.4,3.8,3.9,3.5,2.3,2.3,2.1,2,1.9,1.7,1.1,1.4,2.2,2.4,1.7,2.1,2.9,3.3,3.2,2.7
"62","54","      Gross domestic product excluding final sales of computers","BB00RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,9.3,9.5,6.2,4.2,4,3.3,2.4,2.9,3.5,3.9,4.1,3.6,2.5,2.5,2.3,2.3,2.3,2.1,1.5,1.8,2.4,2.7,2,2.3,3,3.4,3.4,2.8
"63","55","      Food","BB10RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,3.3,3.5,5,4.1,3.1,1.1,1.6,1.4,2.4,3.5,1.5,1.2,1.8,2.3,3.1,1.9,2.2,3.3,1.8,2.2,4.3
"64","56","      Energy goods and services","BB11RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.8,-1.6,4.6,3.5,6.2,3,0.6,3.1,1.6,-0.6,1.5,2.3,-2.3,-1.1,5.8,9.9,-8,8.6,5.8,9,6.9,3
"65","57","      Gross domestic product excluding food and energy","BB03RV1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,2.8,3.4,3.6,3.7,3.6,2.5,2.4,2.2,2.1,1.7,1.7,1.2,1.5,2,2.1,2.1,1.9,2.7,3.2,3.2,2.5
"66","58","  Final sales of domestic product","A190RV1",-3.8,-9.9,-11.3,-2.4,5.2,2.1,1.1,3.7,-1.4,-1.2,0.8,6.5,8.1,5.6,2.4,2.6,11.7,10.9,5.7,0.1,0.8,6.8,2.3,1.4,1.1,1.5,3.5,3.5,2.4,1.2,1.4,1.1,1.4,1.1,1.5,1.8,2.9,3.1,4.3,5,5.3,5,4.4,5.6,9,9.5,5.8,6.4,7.1,8.3,9.1,9.4,6.2,4,3.8,3.1,2.3,2.7,3.5,3.8,3.9,3.5,2.3,2.3,2.1,2.1,1.9,1.7,1.2,1.5,2.2,2.4,1.7,2.1,2.9,3.3,3.2,2.7
"67","59","  Final sales to domestic purchasers","A713RV1",-4.1,-9.8,-11.5,-2.5,5.1,2,1.3,3.9,-1.5,-1,0.7,6.3,7.9,5.6,2.3,2.7,12.4,10.8,5.9,0.3,1.2,7,2.1,1.2,1.2,1.5,3.4,3.4,2.2,1.2,1.4,1.1,1.3,1.2,1.6,1.8,2.8,3,4.3,5,5.4,5.1,4.5,5.8,10.2,9.3,5.8,6.8,7.1,8.8,10.5,9.2,5.7,3.5,3.5,2.9,2.3,3.1,3.5,3.8,4.1,3.3,2.4,2.2,2.1,2.1,1.8,1.4,0.7,1.6,2.5,2,1.6,2.3,3.1,3.7,3.4,2.8
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
