"","Table 2AUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123"
"29","21","  Paper & allied products","PS263",26.333,26.245,26.047,26.119,25.864,25.727,25.785,25.921,26.633,26.985,26.886,27.021,27.255,27.268,27.188,27.038,27.168,27.648,27.824,27.858,27.993,28.598,28.826,29.053,29.474,30.508,31.217,32.123,33.418,36.14,39.263,40.194,40.994,41.046,41.474,41.982,42.704,43.656,44.33,44.295,44.323,45.268,45.942,45.599,45.409,46.506,47.594,49.42,50.463,52.095,53.654,55.628,57.842,60.41,61.44,62.453,64.2,65.284,66.228,66.79,66.828,66.234,65.724,64.861,64.647,64.937,65.668,66.919,68.97,70.588,71.937,72.69,72.166,71.398,70.71,70.214,70.163,70.876,72.012,73.117,74.411,75.1,76.157,77.625,79.842,82.103,84.116,85.336,87.062,88.351,88.535,88.693,88.462,88.387,88.275,88.171,87.978,86.624,85.954,85.864,85.833,87.295,87.342,86.743,86.011,86.053,85.465,85.23,85.407,86.513,89.142,94.115,100.953,107.91,111.458,110.418,105.799,100.139,97.829,96.474
"30","22","  Printing & publishing","PS273",16.182,16.212,16.573,16.572,16.572,16.572,16.572,16.572,17.174,17.174,17.173,17.174,17.686,17.688,17.688,17.688,18.077,18.59,18.589,18.591,19.034,19.28,19.281,19.281,19.549,19.882,20.001,20.855,22.107,24.249,25.897,27.01,29.894,30.371,30.373,30.371,30.671,32.301,33.507,33.869,34.489,35.163,35.787,36.028,35.732,36.553,37.541,38.944,39.487,40.75,41.834,43.302,44.528,45.977,46.986,47.791,49.44,50.481,51.699,52.717,53.679,54.797,55.4,56.039,56.9,57.703,58.564,59.573,60.638,61.677,62.578,63.287,64.136,64.877,65.604,66.234,66.713,67.308,67.907,68.612,68.976,69.627,70.376,71.162,72.117,72.944,73.942,74.906,75.974,76.886,77.893,78.572,79.217,80.128,81.009,82.033,82.9,83.644,84.125,84.59,85.34,85.965,86.626,87.321,88.176,88.664,89.153,89.698,90.046,90.633,91.408,92.466,94.085,95.708,97.288,98.436,99.159,99.756,100.31,100.783
"31","23","  Chemical & allied prod","PS283",23.123,23.194,23.094,23.293,23.341,23.423,23.26,23.235,23.245,23.1,23.215,23.197,23.302,23.434,23.561,23.629,23.855,23.906,23.95,23.818,23.746,23.878,23.873,23.84,24.041,24.262,24.466,24.938,26.21,29.84,34.205,38.322,40.626,41.73,41.757,42.111,42.905,43.291,43.668,43.926,44.086,44.374,44.744,44.994,45.28,45.465,45.899,46.6,47.301,49.008,51.732,53.8,56.581,58.811,59.594,60.224,62.513,64.703,66.038,66.592,66.551,67.083,66.761,66.948,66.845,67.445,68.23,68.864,69.552,70.305,70.548,70.68,70.602,70.886,71.26,71.076,71.277,70.718,70.401,70.369,70.456,71.787,73.207,74.516,76.573,78.693,81.365,82.848,84.61,85.209,84.121,83.585,83.946,84.365,84.999,87.054,88.03,87.108,86.645,86.759,86.78,87.45,88.288,88.33,88.731,88.772,88.644,88.542,88.337,89.137,91.063,93.954,97.219,99.462,99.475,99.253,99.255,99.907,100.357,100.447
"32","24","  Petroleum products","PS293",18.175,18.349,18.526,18.022,17.909,18.181,18.259,17.851,18.044,18.463,18.405,18.322,18.278,18.336,18.399,18.94,19.608,19.666,19.934,19.787,19.735,20.056,20.5,20.707,21.68,23.13,24.022,26.09,33.981,40.859,44.099,43.844,44.017,45.112,48.422,49.751,49.278,48.813,51.056,51.849,53.334,56.262,56.385,57.01,57.645,58.464,58.965,60.494,64.098,72.474,85.36,96.023,110.359,122.851,122.63,123.316,135.509,147.294,141.455,139.642,137.979,127.189,135.223,133.948,124.119,118.746,123.252,121.875,118.971,119.163,116.515,116.506,110.752,114.766,112.445,114.506,95.98,76.217,66.828,66.679,75.136,80.211,84.563,83.367,76.425,79.576,78.67,75.986,80.094,92.873,86.434,87.606,93.897,91.16,104.012,129.492,101.214,92.398,93.043,93.684,84.711,93.484,96.417,93.584,89.837,93.194,88.041,84.742,79.934,84.124,91.763,86.845,85.606,93.719,88.976,85.444,90.975,103.216,100.42,105.7
"33","25","  Rubber & plastic product","PS303",32.95,32.931,33.601,34.136,34.224,34.32,34.805,34.951,34.785,34.965,35.606,36.172,36.358,36.216,37.147,37.196,36.45,36.444,37.028,36.895,36.67,36.477,36.767,36.837,36.885,37.219,37.673,38.609,40.378,44.065,47.276,48.956,49.579,49.402,50.265,50.689,51.302,52.224,53.852,55.452,55.245,55.57,56.632,56.829,56.89,57.372,58.096,59.202,60.594,62.843,65.411,67.434,69.29,70.901,72.693,73.518,74.388,75.984,76.606,77.759,78.128,78.654,78.768,78.911,78.78,79.225,79.655,79.999,80.697,81.537,81.977,81.929,81.851,81.838,81.351,81.62,82.214,82.047,82.075,82.053,81.557,81.642,82.469,83.704,85.346,87.029,88.576,89.304,90.073,90.595,90.282,89.894,90.108,90.439,90.474,91.938,92.764,92.25,91.91,91.898,91.956,92.024,92.413,92.728,92.691,93.09,93.736,93.956,93.862,94.158,95.073,96.992,98.974,100.383,100.791,100.355,99.85,99.821,100.229,100.085
"34","26","  Leather & leather product","PS313",25.912,25.404,25.233,25.432,25.844,26.211,26.488,27.055,27.324,27.899,28.181,28.259,28.319,28.335,28.165,28.369,28.874,29.438,29.513,29.778,30.946,33.333,34.569,36.618,37.173,36.805,36.852,36.91,36.913,37.635,37.87,37.174,36.672,38.14,38.696,39.656,41.428,43.424,44.384,44.079,45.765,46.426,46.55,46.847,48.405,49.576,51.786,54.564,57.616,63.493,62.789,61.748,62.343,61.383,62.596,64.13,65.69,67.378,67.585,67.659,67.958,67.623,67.569,68.373,68.939,69.383,70.047,70.898,71.868,72.989,73.55,73.456,73.646,73.464,73.427,74.269,74.518,74.661,75.019,75.821,77.205,78.499,80.034,82.049,83.971,85.565,86.471,87.021,87.62,87.892,89.342,90.223,91.581,92.276,92.663,92.461,92.474,92.876,92.555,91.958,92.645,92.961,93.584,93.958,94.635,94.851,95.089,95.298,95.487,96.314,97.97,99.593,100.978,101.94,101.362,100.425,99.825,99.428,99.83,100.672
"35","27","Trade total","PS53",30.771,30.845,31.109,31.233,31.591,31.844,32.086,32.372,32.773,33.135,33.372,33.693,34.156,34.371,34.625,34.915,35.336,35.674,35.91,35.951,36.289,36.531,36.969,37.275,38.424,39.745,40.84,41.497,43.556,44.801,46.77,48.076,48.349,48.911,49.962,50.494,50.766,51.238,51.75,52.155,53.156,53.681,53.738,54.556,55.449,56.95,57.864,59.107,60.722,62.719,65.045,66.905,69.453,70.881,73.232,74.822,76.913,78.059,78.489,78.798,79.364,79.283,79.707,79.656,79.452,80.344,81.503,82.16,82.74,83.052,82.961,82.71,82.907,83.092,82.836,83.467,82.531,81.045,80.8,81.371,82.655,83.883,84.708,85.385,85.622,86.452,87.785,88.338,89.601,90.749,90.415,90.856,92.317,92.073,93.338,95.221,94.328,94.019,93.913,94.299,94.394,94.819,95.029,95.22,95.579,95.879,95.525,96.127,96.251,96.432,97.292,97.781,98.447,99.129,99.09,99.171,99.665,100.308,100.158,99.867
"36","28","Merchant wholesale","PS5W3",31.22,31.249,31.448,31.396,31.794,32.043,32.222,32.394,32.925,33.31,33.502,33.773,34.297,34.391,34.674,34.772,35.343,35.729,36.033,36.008,36.608,36.932,37.523,37.862,39.726,41.627,43.253,43.611,46.537,47.804,50.748,52.278,52.221,52.825,53.98,54.396,54.563,55.189,55.553,55.653,57.088,57.349,56.885,57.923,59.06,61.059,61.847,63.325,65.325,67.642,70.875,73.39,76.536,77.873,81.289,83.038,85.62,86.863,86.719,86.512,86.904,86.287,86.233,85.813,85.668,86.683,88.449,89.312,89.827,90.018,89.373,88.293,87.968,87.827,87.071,87.737,85.82,83.919,83.013,83.84,85.047,86.759,87.581,88.392,88.57,89.513,91.449,91.95,93.688,94.577,93.765,94.161,95.688,94.651,96.141,98.501,96.449,95.436,94.798,95.205,95.017,95.29,95.176,95.067,95.266,95.498,94.712,95.272,95.505,95.583,96.502,97.169,98.177,99.308,99.186,99.299,99.72,100.64,100.387,99.274
"37","29","Wholesale less motor vehicle","PS5WX3",31.503,31.522,31.723,31.598,32.031,32.304,32.502,32.634,33.218,33.632,33.85,34.079,34.641,34.738,35.039,34.99,35.579,35.978,36.309,36.234,36.848,37.194,37.844,38.249,40.279,42.358,44.163,44.501,47.647,48.988,52.084,53.485,53.355,53.972,55.231,55.465,55.614,56.297,56.672,56.58,58.149,58.336,57.718,58.779,59.966,62.084,62.85,64.396,66.478,68.886,72.353,74.998,78.33,79.638,83.193,84.874,87.272,88.453,88.157,87.736,88.105,87.373,87.254,86.697,86.569,87.709,89.663,90.599,91.152,91.339,90.614,89.461,89.025,88.844,88.009,88.644,86.425,84.16,83.098,83.773,85.121,86.936,87.849,88.745,88.905,89.841,91.914,92.399,94.252,95.242,94.338,94.696,96.438,95.272,96.827,99.364,96.945,95.814,95.084,95.418,95.203,95.472,95.326,95.196,95.366,95.535,94.612,95.218,95.408,95.419,96.346,97.061,98.101,99.28,99.137,99.199,99.698,100.688,100.407,99.228
"38","30"," Durable goods","PS5WD3",33.755,33.813,33.945,34.235,34.709,34.867,34.994,35.508,36.231,36.28,36.256,36.739,37.276,37.52,37.723,38.19,38.74,39.175,39.629,39.714,40.294,40.672,40.998,41.122,42.039,43.259,43.52,44.626,46.577,49.388,52.279,53.652,54.298,54.842,54.731,55.641,57.037,57.928,58.459,59.142,60.208,60.901,61.889,62.708,63.589,65.049,66.477,67.714,69.323,71.039,72.713,74.63,77.786,78.309,80.407,81.894,83.523,84.82,85.789,86.995,87.336,87.281,87.465,87.828,88.533,89.391,90.46,91.12,91.748,92.472,92.633,92.769,92.762,92.976,93.053,93.559,93.765,94.324,95.413,96.491,96.662,97.345,98.188,99.179,99.897,100.8,101.28,101.755,102.452,102.514,102.314,102.111,101.703,101.745,102.32,102.713,102.425,101.771,101.027,101.068,101.08,100.915,100.49,100.172,100.74,100.731,100.584,100.702,101.264,101.506,102.271,102.581,103.204,103.513,102.682,101.71,100.849,100.08,99.774,99.333
"39","31","  Motor vehicles","PS5013",28.865,28.77,28.802,29.619,29.714,29.714,29.714,30.374,30.248,30.311,30.217,30.971,31.097,31.16,31.254,32.889,33.267,33.518,33.55,33.99,34.462,34.587,34.619,34.336,34.619,34.87,34.839,35.373,36.191,36.757,38.203,41.065,41.725,42.196,42.354,44.492,44.869,44.963,45.246,47.164,47.321,48.258,49.167,49.991,50.672,51.638,52.604,53.484,54.762,56.268,57.347,58.654,60.102,61.693,63.823,66.323,70.697,72.572,73.992,75.98,76.605,77.116,77.713,78.622,78.32,78.135,78.202,78.423,78.614,78.835,78.885,78.412,79.017,79.181,79.022,79.923,80.393,81.391,81.713,83.718,83.861,84.752,84.84,84.962,85.264,86.248,87.042,87.653,88.414,88.431,88.418,89.16,88.82,88.882,89.803,90.598,91.798,91.879,92.099,93.185,93.264,93.579,93.78,93.88,94.36,95.213,95.799,95.905,96.567,97.317,98.156,98.343,99.011,99.625,99.74,100.408,99.953,100.09,100.151,99.807
"40","32","  Furniture & furnishings","PS5023",32.524,32.675,32.796,33.069,33.432,33.644,33.766,33.917,34.19,34.25,34.432,34.735,35.128,35.219,35.461,35.704,36.037,36.128,36.34,36.279,36.43,36.582,36.794,36.945,37.218,37.793,38.126,38.581,39.58,41.033,42.881,44.97,45.606,45.606,45.939,46.606,47.332,47.726,48.241,48.786,49.576,50.069,50.614,51.314,51.754,52.455,53.206,54.114,55.073,56.396,57.744,59.481,61.789,62.8,64.356,65.678,66.43,67.467,68.634,69.412,70.553,70.994,71.201,71.175,71.453,71.851,72.8,73.059,73.717,74.722,75.235,75.46,75.738,76.065,76.268,76.688,77.34,77.678,77.968,78.695,79.443,80.182,80.69,81.292,82.543,83.629,84.527,85.037,85.879,86.939,87.963,88.551,88.952,89.004,89.051,89.589,90.279,90.309,90.518,90.427,90.95,91.331,91.886,92.197,92.665,93.427,94.073,94.397,94.852,95.989,96.661,97.043,97.533,98.211,98.573,99.237,99.523,99.671,100.134,100.673
"41","33","  Lumber & construction","PS5033",21.117,21.262,21.697,21.784,22.683,23.786,24.627,26.251,29.355,27.963,25.323,25.12,24.511,24.511,24.424,23.96,25.207,26.86,28.63,28.427,29.587,30.718,31.82,32.285,34.953,39.768,38.869,39.826,40.435,42.669,39.971,36.171,36.432,39.014,39.014,39.13,42.64,43.829,45.164,46.904,48.508,48.821,51.879,53.155,55.032,57.127,58.258,60.425,61.821,62.543,63.964,63.554,63.121,61.46,63.988,65.167,65.408,66.612,65.793,65.167,65.288,65.408,66.034,66.323,68.36,70.046,70.222,70.304,70.884,70.035,69.978,70.887,70.751,71.308,71.635,71.202,71.106,72.438,72.725,72.909,73.118,73.546,74.905,75.846,75.99,76.784,77.238,76.759,77.88,80.156,80.125,79.252,79.542,80.147,79.527,79.258,79.424,81.626,82.651,82.437,85.999,87.92,86.946,88.459,97.328,99.728,96.93,100.542,103.19,100.301,99.517,99.62,99.453,98.515,98.964,97.599,96.993,99.724,101.377,101.906
"42","34","  Professional & commercial","PS5043",78.033,78.139,78.828,78.987,79.04,79.305,79.093,79.358,79.199,79.199,79.623,80.153,80.789,81.902,81.266,81.743,82.061,83.016,83.281,83.175,83.44,84.023,84.076,84.076,84.076,85.189,85.56,85.825,86.355,87.681,89.907,93.035,93.565,94.625,94.837,94.307,95.155,95.314,94.784,95.102,95.643,96.423,97.02,97.57,98.305,99.177,100.691,102.297,103.858,105.51,107.07,109.044,111.522,113.633,115.377,117.947,120.701,123.225,125.887,127.769,129.283,130.384,131.119,131.578,139.057,148.711,157.029,165.3,171.12,176.84,181.919,187.032,190.38,193.693,196.384,198.218,197.604,199.729,204.859,207.565,200.386,195.755,192.399,193.652,193.666,193.209,193.48,194.394,195.213,192.729,191.192,188.512,190.022,188.079,187.811,185.441,181.93,176.474,169.694,166.59,162.974,156.281,149.945,146.366,143.46,138.488,134.67,131.102,129.529,128.066,126.044,122.441,119.349,116.797,113.07,109.193,105.29,100.663,98.329,95.718
"43","35","  Metals & minerals","PS5053",25.416,25.476,25.505,25.654,25.893,26.012,26.101,26.31,26.697,27.055,27.472,27.829,28.515,29.2,29.647,30.094,30.273,31.137,32.06,32.329,32.954,33.103,33.342,33.52,34.295,34.98,35.189,36.053,38.198,43.383,49.7,51.16,51.964,51.875,51.398,52.471,53.603,55.093,55.957,56.076,57.145,57.931,58.716,59.556,60.341,62.156,63.727,64.972,67.383,69.739,72.149,74.181,76.699,77.079,77.458,78.704,80.924,82.685,84.77,86.178,85.853,84.553,84.581,83.714,82.552,81.927,82.554,83.265,83.811,84.696,84.816,84.589,84.033,84.148,83.621,83.259,81.713,80.767,80.69,81.119,81.806,82.591,84.638,87.242,89.226,92.33,93.827,95.797,96.909,96.585,95.602,95.01,93.809,93.548,94.344,94.248,93.158,91.944,90.887,90.475,90.399,90.581,90.58,89.529,89.343,89.546,90.406,90.667,91.941,93.144,94.821,97.458,101.998,103.169,103.131,102.021,100.619,100.501,99.592,99.287
"44","36","  Electrical goods","PS5063",47.92,47.92,47.853,47.887,48.287,48.387,48.487,48.654,48.82,49.021,49.221,49.687,50.021,50.388,50.955,51.288,51.788,51.822,51.955,51.855,52.189,52.422,52.489,52.489,52.689,53.189,53.422,53.689,54.79,57.124,60.659,63.727,65.494,66.061,66.595,67.328,68.095,68.495,69.162,70.329,70.987,71.237,71.861,72.548,73.921,74.795,76.044,77.199,78.011,79.447,80.695,82.287,84.629,86.751,88.187,89.03,90.31,90.903,91.715,92.714,93.307,93.213,92.901,92.714,92.778,92.922,92.804,92.582,92.446,92.591,92.318,92.226,91.96,91.372,91.04,91.21,92.086,92.972,94.649,95.037,95.66,95.93,96.155,96.574,97.096,97.481,97.906,98.418,99.352,99.783,100.159,100.113,99.986,99.981,100.017,100.144,100.582,100.57,100.4,100.35,100.451,100.588,100.509,100.569,100.765,101.104,101.295,101.398,101.46,101.649,101.521,101.214,101.337,101.551,101.399,101.348,101.038,99.886,99.684,99.392
"45","37","  Hardware & plumbing","PS5073",25.301,25.391,25.451,25.481,25.872,26.053,26.053,26.233,26.504,26.654,27.075,27.497,27.617,27.978,28.369,28.82,28.971,29.362,29.783,29.813,29.964,30.174,30.355,30.505,30.746,31.377,31.799,32.4,33.333,35.439,38.086,39.711,40.673,40.884,40.884,41.546,42.268,43.231,44.193,44.855,45.446,46.067,46.961,47.433,48.353,49.049,49.968,51.235,52.378,53.72,55.136,56.528,58.341,59.932,61.05,61.994,63.112,63.858,65.05,66.019,66.491,66.963,67.286,67.684,68.338,69.276,69.737,69.886,70.188,70.85,71.377,71.834,71.736,72.079,72.115,72.448,72.676,72.682,73.34,73.903,74.255,74.703,75.62,76.583,77.544,79.183,80.552,82.084,83.356,84.152,84.939,85.79,86.52,87.24,88.151,89.033,89.888,89.999,90.31,90.77,91.14,91.598,92.121,92.308,92.555,93.068,93.617,93.911,94.061,94.547,95.124,95.836,96.994,97.825,98.373,98.845,99.571,99.743,100.169,100.517
"46","38","  Machinery equipment","PS5083",29.573,29.662,29.721,29.99,30.436,30.704,30.853,31.091,31.359,31.627,31.896,32.432,32.908,33.146,33.474,33.95,34.397,34.635,34.874,34.874,35.171,35.469,35.559,35.648,35.916,36.571,36.899,37.375,38.507,40.532,43.421,45.863,47.531,48.335,48.99,49.883,50.747,51.372,52.057,52.921,53.731,54.169,54.504,54.814,55.226,55.716,56.567,57.469,58.346,59.274,60.151,61.259,62.652,63.838,64.817,66.261,67.808,69.226,70.722,71.779,72.63,73.248,73.661,73.919,73.86,73.571,73.336,73.301,73.157,73.368,73.475,73.414,73.344,73.339,73.443,73.666,74.079,74.344,74.607,74.76,75.334,75.511,75.773,76.382,77.151,78.038,78.924,80.034,80.931,81.681,82.422,83.061,83.88,84.603,85.511,86.486,87.514,88.014,88.603,89.163,89.658,90.295,90.977,91.398,91.859,92.254,92.734,93.262,93.765,94.264,94.908,95.674,96.498,97.406,98.021,98.676,99.347,99.762,100.207,100.684
"47","39","  Other durable goods","PS5093",26.763,26.67,26.763,26.856,27.477,26.701,26.391,26.608,27.54,28.005,28.812,29.278,31.203,30.986,30.831,30.272,30.831,30.148,29.868,29.744,30.52,30.8,31.421,31.886,33.935,35.053,36.295,39.928,45.703,49.708,51.912,49.987,47.628,46.758,44.585,43.902,46.386,48.062,47.255,44.709,46.957,47.599,48.061,49.076,49.622,52.773,55.416,56.133,58.559,61.32,64.108,69.107,81.228,77.199,82.436,81.945,78.635,77.755,75.58,76.068,74.42,72.284,71.418,72.523,74.081,75.264,79.207,79.898,80.649,82.036,80.578,79.826,78.394,78.282,78.439,79.589,79.885,79.681,82.452,83.979,85.189,88.803,92.723,94.679,95.224,95.957,95.426,94.59,95.185,94.888,93.362,93.286,93.901,93.693,94.789,96.304,92.667,89.915,89.256,89.753,89.4,89.831,90.476,89.793,89.716,89.938,91.13,91.99,93.646,95.334,100.536,103.749,106.675,109.322,105.515,101.559,100.51,99.906,99.725,99.859
"48","40"," Nondurable goods","PS5WN3",28.529,28.535,28.773,28.487,28.821,29.126,29.338,29.256,29.63,30.254,30.6,30.708,31.208,31.191,31.524,31.359,31.926,32.265,32.452,32.349,32.951,33.226,33.994,34.477,37.005,39.385,42.048,41.816,45.411,45.468,48.382,49.995,49.465,50.102,52.09,52.162,51.484,51.912,52.152,51.85,53.5,53.451,51.966,53.137,54.435,56.792,57.073,58.704,60.969,63.703,68.085,71.008,74.049,75.993,80.34,82.262,85.541,86.738,85.739,84.469,84.891,83.9,83.684,82.722,81.963,83.068,85.307,86.313,86.76,86.538,85.269,83.24,82.647,82.222,80.815,81.614,78.068,74.29,71.898,72.521,74.463,76.922,77.711,78.365,78.136,79.09,82.135,82.646,85.196,86.741,85.433,86.313,89.461,87.502,89.745,93.72,90.228,88.936,88.393,89.097,88.743,89.384,89.54,89.618,89.491,89.941,88.57,89.546,89.459,89.377,90.442,91.465,92.866,94.838,95.446,96.699,98.491,101.259,101.058,99.208
"49","41","  Paper products","PS5113",23.903,24.104,24.419,24.505,24.62,24.82,24.792,24.906,25.451,25.68,25.823,26.053,27.027,27.084,27.285,27.514,27.772,28.116,28.317,28.346,28.432,28.661,28.89,29.005,29.32,30.008,30.151,30.81,32.071,35.224,39.151,41.358,43.077,42.934,42.819,43.049,43.966,45.026,45.972,46.373,47.196,47.558,47.687,47.816,47.945,48.849,49.753,51.173,53.109,54.374,55.923,58.273,59.822,61.629,62.455,62.765,64.417,65.734,67.464,68.239,68.626,68.962,69.4,69.349,68.986,68.967,69.314,69.866,71.128,72.934,73.905,74.112,73.89,73.495,73.428,73.107,73.411,73.909,74.635,76.106,77.043,77.266,77.807,79.205,81.205,83.192,84.958,86.402,87.771,88.862,89.009,88.588,88.324,88.336,88.504,88.79,88.566,86.821,85.93,85.987,85.599,85.464,85.645,85.305,84.868,85.185,85.083,84.986,84.9,85.302,87.163,91.545,98.385,104.872,108.95,109.635,106.179,100.271,97.478,96.072
"50","42","  Drugs & sundries","PS5123",22.625,22.716,22.716,22.716,22.716,22.837,22.897,22.897,22.958,23.14,23.2,23.443,23.594,23.806,23.958,23.897,24.26,24.442,24.533,24.533,24.533,24.684,24.684,24.806,24.836,25.23,25.351,25.987,26.744,28.713,31.772,33.559,34.467,34.225,34.255,34.588,35.225,35.527,35.255,35.437,36.214,36.697,37.11,37.546,38.005,38.786,39.314,39.911,40.738,41.289,41.932,42.966,44.114,45.905,46.617,48.293,49.694,49.74,51.577,52.817,54.218,54.976,55.94,55.94,57.158,58.304,59.331,59.897,60.643,61.929,62.819,63.331,63.7,65.125,65.889,65.44,66.882,68.114,68.044,68.867,69.156,69.771,70.201,70.915,72.159,73.478,75.07,76.445,77.988,78.931,79.935,80.675,81.884,82.619,83.445,84.845,85.899,86.811,88.048,89.127,90.366,91.584,92.555,93.523,94.219,95.106,95.77,96.049,95.909,96.175,96.617,97.32,97.732,98.537,98.829,99.906,99.883,99.543,100.036,100.539
"51","43","  Apparel & piece goods","PS5133",38.263,38.326,38.675,38.961,39.373,39.786,40.293,40.769,41.182,41.404,42.038,42.324,42.641,42.927,43.275,43.593,43.973,44.132,44.767,44.83,44.703,44.83,45.147,45.496,45.877,46.448,46.797,47.876,48.891,50.287,51.683,52.286,52.286,51.842,51.969,52.73,53.809,54.475,55.395,55.998,57.236,57.489,58.191,59.341,60.324,61.138,61.756,62.71,64.17,65.826,67.454,68.24,69.671,71.777,72.872,74.443,75.763,76.633,77.307,77.812,78.261,79.272,79.496,79.552,79.875,79.893,80.385,80.696,81.192,81.551,81.768,81.94,82.075,82.215,82.592,82.717,82.881,83.221,83.454,83.733,84.198,85.352,85.984,86.876,87.95,88.724,89.485,89.863,90.304,90.684,91.47,92.281,93.339,94.026,94.672,94.896,94.977,95.387,95.651,95.982,96.796,96.987,97.678,97.92,97.681,97.793,97.849,97.612,97.243,97.284,97.624,97.854,98.473,98.959,99.297,99.364,99.813,99.98,99.997,100.211
"52","44","  Groceries","PS5143",31.969,31.787,32.211,31.817,32.271,32.604,33.118,32.846,33.39,34.328,34.963,35.054,36.021,35.84,36.294,35.81,36.263,36.778,37.171,36.868,37.897,38.018,38.925,40.044,43.946,46.758,50.267,49.329,52.414,50.962,56.195,60.187,58.614,57.767,59.763,59.007,57.102,57.919,57.586,56.739,58.606,58.252,57.6,58.66,60.372,64.203,64.827,66.621,70.587,70.343,70.37,71.81,70.941,70.615,76.782,77.788,77.244,76.619,77.597,76.565,77.652,79.146,76.945,75.94,76.13,78.792,78.725,80.095,83.786,81.128,81.505,79.376,80.477,78.699,78.176,78.822,78.808,80.237,82.592,83.594,82.196,83.807,83.706,84.29,83.877,84.33,87.527,88.52,89.924,91.345,89.994,90.06,95.469,92.098,93.157,92.869,92.711,95.433,92.607,90.958,91.389,90.12,89.997,91.688,91.906,93.556,91.898,93.485,93.261,93.007,93.041,95.248,95.026,95.338,95.256,96.943,98.665,99.497,100.528,101.31
"53","45","  Farm products","PS5153",30.491,30.281,30.211,29.441,30.398,30.958,30.934,30.911,31.751,32.964,32.987,33.267,34.2,33.43,33.407,32.171,33.547,34.27,33.71,33.944,35.81,36.51,38.516,39.123,45.538,51.3,58.742,56.013,60.609,53.633,55.336,55.966,52.537,54.776,58.322,58.229,56.946,58.159,57.809,56.129,58.289,56.291,50.983,53.549,56.683,61.011,59.17,61.188,62.657,66.221,71.647,71.333,71.216,70.726,78.796,82.478,82.713,81.029,78.365,73.84,74.252,74.741,72.469,69.434,72.798,77.028,84.913,87.679,84.53,86.392,81.2,74.592,73.181,72.077,67.421,66.921,67.461,67.803,57.008,55.97,55.762,62.013,59.962,61.591,64.425,67.061,78.687,79.26,80.749,76.776,75.475,76.396,75.108,78.109,73.341,69.686,69.513,69.689,68.944,71.503,73.799,72.328,69.724,67.909,66.994,66.377,70.262,77.697,81.182,76.884,73.381,74.048,78.003,81.691,87.93,94.271,97.295,110.791,108.451,83.463
"54","46","  Chemical & allied product","PS5163",23.456,23.609,23.548,23.823,23.914,23.975,23.792,23.731,23.792,23.487,23.761,23.7,23.639,23.792,23.945,23.975,24.128,24.128,24.25,24.067,23.945,24.006,23.945,23.823,24.036,24.311,24.586,25.044,26.877,32.832,39.307,44.713,47.859,49.203,49.111,49.875,51.219,51.829,52.41,52.746,52.832,53.327,53.63,54.179,54.509,54.537,54.674,55.416,55.774,57.395,60.089,62.261,65.587,68.473,70.068,70.975,74.383,76.967,77.902,78.589,78.671,80.073,79.743,79.881,78.805,79.542,79.715,80.004,79.816,80.684,81.32,81.565,81.428,81.316,79.812,78.837,76.968,74.618,73.057,71.968,73.445,74.014,77.216,78.856,80.446,82.241,84.578,86.177,87.451,88.446,88.236,88.173,88.655,88.901,89.367,91.113,91.845,91.731,91.32,91.376,91.229,91.6,91.581,91.411,92.024,92.144,92.141,92.274,92.618,93.215,95.5,98.293,99.515,100.805,100.749,100.228,100.16,100.105,99.885,99.849
"55","47","  Petroleum products","PS5173",18.005,18.212,18.419,17.768,17.531,17.945,17.945,17.531,17.679,18.271,18.212,18.034,17.856,18.064,18.33,18.893,19.456,19.307,19.633,19.337,19.159,19.485,19.959,20.285,21.321,22.772,23.779,25.822,33.995,40.777,44.123,43.797,44.064,45.1,48.624,50.134,49.572,48.95,51.2,52.237,53.612,55.489,55.78,56.626,56.652,56.917,57.921,60.168,63.393,71.8,85.97,97.443,111.163,121.156,123.218,126.02,142.596,150.447,145.028,143.283,142.093,131.678,136.991,134.85,124.607,119.394,122.864,121.701,120.91,120.393,117.304,116.431,111.7,113.524,110.039,114.056,93.33,69.601,62.144,64.255,75.053,78.763,83.339,82.348,75.972,75.439,71.909,70.572,79.368,88.164,82.037,85.636,96.02,84.712,100.975,130.766,102.821,87.292,88.314,92.166,84.779,90.237,93.337,91.879,89.992,89.242,82.992,80.731,77.301,79.965,88.268,86.167,87.724,91.941,87.02,84.829,92.068,100.345,99.16,108.427
