"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",5853,6268,6476,6689,6997,6721,6792,6907,7678,7335,7234,7257,7311,7180,7239,7407,7233,7372,7306,7108,7412,7321,7431,7640,7643,7592,7715,7881,7725,8064,7857,8295,8348,8428,8737,8859,8981,9066,9391,9602,9848,10092,10597,10714,10929,11074,11457,11705,11666,11541,11053,10738,10835,10812,10944,11053,11337,11467,11311,11683,11721,11956,12413,12518,12641,12830,12946,12955,13256,13347,13527,13807
"58","50","    Miscellaneous nondurable goods wholesalers","KS42290",22348,22438,23635,23561,24208,24307,24365,24654,24349,23705,24525,24224,24048,23926,23823,23775,23417,24048,23303,22218,22162,22328,22476,22883,22740,21908,22781,22622,22211,23142,23544,24786,24439,25088,24801,24630,24482,24265,24366,24126,25195,24238,24491,25073,25785,26093,25558,25191,25119,24366,24162,23793,23822,23455,24087,24207,24271,25255,24697,25217,24644,24634,24945,25350,25549,24245,25032,24913,25341,24634,25260,25899
"59","51","Retail trade industries","KS440",356322,362590,367062,370399,378201,378870,381300,386621,397104,401008,403325,414082,416280,425879,431612,435858,429909,431733,434618,424564,430328,437713,443058,452278,459802,461908,466356,471420,479829,487601,490913,496592,500721,497964,496348,501752,504380,506428,509751,511518,509501,512821,517153,518079,508143,502707,497415,487931,473371,458582,442198,438217,441345,448099,456454,456639,458058,455026,454652,455538,463129,471309,476840,481145,486981,493137,500520,509517,510511,514210,517868,520914
"60","52","  Motor vehicle and parts dealers","KS4410",99289,100985,102330,104186,106652,105099,104060,106012,112183,112326,112954,118360,118862,124657,128551,130059,123615,125879,127999,120889,125747,130333,131035,138069,142307,145267,147191,150985,154686,158077,158546,158536,159306,154548,152637,155626,155829,155852,155992,154942,152698,153477,158109,157853,154581,152319,148423,145610,134947,125403,114401,112679,115296,119779,125731,124368,125041,123493,123928,125540,133136,138876,144248,146693,150106,154199,158342,164262,162653,165944,168131,168586
"61","53","  Furniture, furnishings, electronics, and appliance stores","KS44230",14394,14558,14724,14929,15386,15435,15769,16087,16341,16792,17112,17515,17940,18474,18364,19050,19237,18797,18628,18904,19504,19614,20420,20664,21013,21665,21975,22487,23491,24181,24830,25751,25855,26927,26676,27009,27638,27873,27838,28094,28634,28550,28911,29343,28043,27638,28083,25704,25062,24485,24290,23967,24399,25204,25800,26307,26209,26010,25616,25574,25871,26605,26410,27001,26937,26689,26879,27343,27600,28278,27985,28244
"62","54","  Building material and garden equipment and supplies dealers","KS4440",41149,41734,42344,42530,43215,43397,44360,44993,45754,46189,46464,47460,47607,48251,48914,48917,48969,49133,49125,48950,49744,49909,50390,51149,51555,51298,52286,52160,52702,53585,53486,54600,54754,54907,55625,56680,56248,56626,57273,56597,55693,57644,56871,57348,55766,55123,54195,52158,51620,50542,50045,49618,49274,49289,49060,49789,50250,49872,49821,49384,49735,50158,50683,50471,51135,51233,51828,51859,52169,51982,52744,52889
"63","55","  Food and beverage stores","KS4450",37036,37185,37642,37393,37721,38317,38272,38654,39261,39764,40440,40670,40645,40030,40154,39940,40213,40401,40405,40459,40621,40836,41550,41533,41257,40364,40791,40082,40170,40401,40469,40439,40497,40482,39940,40186,40623,40975,41101,41180,40972,41386,42025,42388,42236,42311,42112,41943,42571,42320,42223,41611,41941,41721,41893,41944,41422,41686,41811,41801,42237,41894,41950,41946,42006,42542,42658,43069,43140,43075,43344,43637
"64","56","  Clothing and clothing accessories stores","KS4480",29456,30320,30699,30910,31479,31855,32432,32367,32793,33349,32746,33933,34537,35272,36255,37246,36863,36574,36621,35965,35667,36811,37762,38228,38765,38299,38570,38927,39292,40334,41017,41720,43067,43241,43406,43115,44142,44920,45161,46595,46628,45878,45757,45408,44602,43991,44139,43153,42146,40816,39237,38237,38169,38611,38562,38592,38495,37920,37846,37220,37019,37456,37398,37408,37535,37689,37792,38447,38740,39032,39127,39973
"65","57","  General merchandise stores","KS4520",67126,68046,67701,67403,67351,67304,68014,67818,68682,69295,69863,70889,70997,71728,71489,72066,73519,73721,73680,72242,71890,71961,73205,74550,74789,75130,75741,75981,77670,78578,78863,80905,82612,82867,83525,83993,83342,82864,84228,85074,85219,85386,84551,84827,83008,82427,82249,80756,79970,79257,77932,77886,78094,78780,79887,80074,81215,80857,80739,81004,80187,80473,79789,80954,81992,82281,83256,83808,84493,84034,84326,84076
"66","58","    Department stores","KS45210",46368,46958,46625,46504,46076,45782,46000,45448,45814,45849,45691,46142,45828,45963,45233,45455,45927,45597,45273,43403,42468,41795,41682,41928,41415,41194,40879,40407,40802,40944,40629,41147,42371,41521,41552,41794,40780,40027,40348,40685,40356,40383,39828,39751,38772,37862,37534,36290,35554,35240,34586,34114,34464,34879,35206,35883,35752,35021,34782,34378,31514,29941,27259,26140,26349,26228,26431,26430,26384,25805,25691,25115
"67","59","    Other general merchandise stores","KS45290",19709,20030,20034,19852,20272,20548,21057,21457,21964,22569,23339,23921,24376,24991,25533,25892,26894,27460,27765,28283,28922,29720,31131,32261,33058,33647,34611,35355,36672,37452,38073,39619,40084,41231,41870,42096,42488,42788,43843,44353,44840,44981,44706,45062,44228,44562,44714,44463,44413,44015,43344,43769,43629,43901,44679,44199,45460,45826,45944,46609,48628,50459,52400,54634,55457,55859,56625,57170,57890,57992,58387,58691
"68","60","  Other retail stores","KS44X0",71708,73699,75662,76848,80157,81646,82778,85084,86013,87289,87726,88804,89067,90130,90313,90650,90280,89911,90710,90294,89661,90391,90816,89514,91218,90405,90269,90896,91612,92062,93275,94262,94288,94854,94555,95040,96450,97252,98165,99107,99746,100621,100919,100920,99903,98911,98243,98631,97053,95748,94087,94243,94204,94753,95511,95638,95538,95281,94945,95093,95123,96116,96637,97051,97670,98862,100170,101199,102160,102456,102794,104069
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2009) dollar inventory series are calculated to ensure that the chained (2009) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","in inventories for 2009 equals the current-dollar change in inventories for 2009 and that the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","average of the 2008 and 2009 end-of-year chain-weighted and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Chained (2009) dollar final sales series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","index and the 2009 current-dollar value of the corresponding series, divided by 100.  Because",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","the formula for the chain-type quantity indexes uses weights of more than one period, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","corresponding chained-dollar estimates are usually not additive.  The residual line is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","between the first line and the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
