"","Table 4#2#6U# Real Exports and Imports of Goods and Services by ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67"
"11","3","  Foods, feeds, and beverages","B638RX0",69346,73224,77403,75571,75629,76286,81885,76547,80144,80713,78090,79722,79941,79442,77435,75312,79338,77756,80349,80067,74784,68717,73696,80943,78533,79958,76090,79698,82809,85053,85947,85385,87068,87697,95431,98580,102091,100749,97911,92837,89026,93202,92564,100843,104107,97195,103268,109899,106163,103773,100948,102249,97990,104980,109208,97097,101015,94888,102722,119543,111566,106763,104309,115838
"12","4","  Industrial supplies and materials","A639RX0",205856,210667,212533,223349,227913,228272,236481,235171,229514,222646,219404,218654,218400,226974,224616,224556,229686,227246,228682,234137,242697,246143,243860,248716,250249,257869,250699,246894,264099,271182,267355,277509,277191,281109,285957,293630,309764,325538,324929,302319,274245,280884,305572,313460,325117,338888,341321,352119,356454,357636,360404,371574,363731,370831,367070,368553,367971,374688,386014,401368,375916,397798,408799,406902
"13","5","    Durable goods","B686RX0",71211,72909,74400,78873,83955,84839,85420,86110,83052,78546,75216,73712,69979,73941,73336,73048,73939,74960,73695,75190,80633,81062,79906,81150,82012,85180,88745,91073,93858,94191,93581,98621,97801,98803,101207,103737,106839,115350,114555,107109,91746,91426,97649,103058,106691,113875,111728,116910,115256,117547,116137,116169,118041,117740,115658,113040,116130,114327,117582,119262,118450,120225,123897,125330
"14","6","    Nondurable goods","B687RX0",134867,137980,138268,144569,143879,143338,151030,149037,146464,144127,144287,145110,148918,153410,151628,151867,156149,152644,155421,159409,162420,165475,164352,167961,168581,172979,162171,156045,170471,177283,174017,179044,179616,182564,184981,190115,203075,210504,210602,195467,182523,189464,207911,210385,218415,225082,229562,235273,241026,240146,244037,254761,245569,252648,250872,254642,251339,259381,267397,280629,257057,276377,283719,280590
"15","7","  Capital goods, except automotive","A640RX0",290975,291117,306709,317086,321487,346887,362526,356458,352376,321254,293966,281998,278730,288055,292188,282136,279782,280469,292143,315733,321964,325600,329185,331043,340027,356083,355566,375402,389751,399553,398238,409830,415253,422262,439709,449942,457595,471195,471776,430085,394556,379367,384237,407827,421739,440804,453168,464808,468778,486673,491484,501965,516083,513261,519881,513991,508312,524187,521121,523606,521846,530152,538023,537455
"16","8","    Civilian aircraft, engines, and parts","B688RX0",86965,76336,80107,79573,65650,75722,70044,68074,78708,75593,69456,65532,66758,67858,71552,63645,60249,56731,58762,66064,59464,55939,57759,57171,62537,71977,64014,69019,72744,73725,72218,77927,76568,76235,83557,84924,81062,82044,82450,65074,78525,75309,70907,74281,69662,69399,70824,70387,69935,74186,76897,80999,87106,80647,87845,89325,86801,95965,99102,94802,91607,99279,100113,100131
"17","9","    Computers, peripherals, and parts \2\","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","    Other","B689RX0",191021,195337,206221,215758,225603,239298,254972,251947,242104,218943,199402,192797,190944,198079,200058,194811,195237,199080,206279,222026,234245,240505,240988,241982,244926,250451,255644,270666,279895,287839,289025,293688,298959,308008,317817,326966,337040,345948,345828,327033,279081,268147,275358,293513,309209,328004,337174,346648,348769,361070,361232,367483,373911,379886,379411,372318,368871,374012,367645,374616,374763,375399,381540,382440
"19","11","  Automotive vehicles, engines, and parts","B641RX0",80168,81678,82926,83910,90672,86582,85311,84562,79169,82495,82156,80593,80422,86842,86240,84276,84807,87186,83127,87472,89166,92558,96950,97783,99315,99719,102782,108350,110435,108942,109386,112882,117310,124755,126067,125494,124344,127412,130678,106776,68248,68097,88394,102117,106088,110679,111983,117157,126277,126679,133130,134486,140791,141747,139883,139426,141295,146658,148018,147335,142152,151591,160914,153168
"20","12","  Consumer goods, except food and automotive","A642RX0",85184,85929,87637,91056,94298,95458,98425,96539,100102,99101,91969,90525,89724,91770,92806,92138,94038,94973,98342,101015,104896,110090,111217,115540,118139,120786,122800,126104,130574,133005,134669,141142,145799,147562,150949,152860,158877,164724,167255,155170,145250,145160,149258,157478,161645,158418,162287,170201,166083,171368,171130,173612,171281,174611,174621,175698,176035,188952,182818,184758,189933,197231,197197,197678
"21","13","    Durable goods","B690RX0",42124,43882,45091,47948,49730,48883,50702,49345,52319,51658,47520,45651,46258,47045,47728,46205,46203,47502,49623,52229,52986,56385,58314,60374,62434,63779,66265,67465,70366,73122,73667,77781,80821,83437,85587,89537,92892,96053,94521,81418,72604,71338,76437,80730,82992,87142,90024,93635,94339,97330,97338,98413,97896,97032,95787,96740,98469,108579,101176,107043,108374,112871,111609,110617
"22","14","    Nondurable goods","B691RX0",43195,42153,42646,43187,44646,46691,47832,47310,47867,47531,44547,45016,43563,44840,45188,46090,48032,47636,48873,48895,52066,53847,53013,55286,55809,57114,56608,58730,60291,59941,61064,63414,65023,64167,65405,63408,66074,68756,72760,73764,72668,73835,72812,76721,78610,71474,72494,76771,72094,74405,74168,75562,73773,77857,79060,79194,77872,80855,81896,78219,82015,84840,86038,87473
"23","15","  Other","A643RX0",65167,67442,61868,64263,61243,60095,62326,64308,59292,62668,59065,57581,61265,62849,66441,63149,57985,56965,58528,56426,57774,60590,57193,56609,60992,61535,65839,64832,67819,62710,67004,68050,67262,63813,63066,66441,63157,62889,52617,58044,56560,53996,50613,59510,55211,57729,58146,51302,50457,45671,46390,44548,47163,47182,49153,55848,51889,47209,51401,56157,51298,56215,56964,61909
"24","16","    Other durable goods n.e.c.","Y973RX0",32497,33530,30698,31902,30468,29941,31094,32109,29617,31291,29442,28616,30333,31057,32832,31201,28709,28190,28903,27685,28115,29394,27634,27355,29666,30073,32267,31733,33140,30570,32741,33246,32893,31150,30737,32453,30786,30792,25625,28420,27850,26443,24920,29534,27477,28870,28909,25175,24928,22601,23039,22073,23358,23376,24282,27675,25681,23309,25442,27824,25360,27798,28135,30598
"25","17","    Other nondurable goods","Y974RX0",32784,33915,31118,32296,30748,30152,31245,32215,29681,31378,29620,28961,30932,31793,33609,31949,29277,28775,29626,28741,29659,31195,29559,29255,31326,31462,33572,33100,34679,32140,34263,34804,34369,32663,32329,33987,32371,32097,26992,29624,28710,27553,25693,29977,27734,28859,29237,26127,25529,23070,23351,22475,23805,23806,24871,28173,26208,23901,25959,28333,25938,28416,28829,31312
"26","18","      Net exports of goods under merchanting","Y975RX0",406,392,371,332,258,212,168,125,74,91,178,345,601,739,782,753,573,589,726,1057,1543,1801,1924,1897,1658,1390,1306,1369,1540,1570,1523,1556,1473,1509,1592,1542,1603,1323,1363,1172,787,1052,775,575,556,257,301,441,393,463,412,515,496,434,567,471,515,591,523,519,588,629,704,725
"27","19","      Other other nondurable goods n.e.c.","Y976RX0",32496,33529,30696,31900,30466,29940,31092,32108,29616,31290,29441,28615,30331,31055,32831,31199,28707,28189,28901,27684,28114,29393,27633,27355,29666,30072,32266,31730,33138,30568,32739,33247,32895,31153,30736,32444,30767,30772,25628,28451,27923,26501,24919,29402,27178,28602,28937,25686,25136,22607,22939,21959,23309,23372,24304,27702,25693,23310,25436,27814,25349,27788,28125,30587
"28","20","Exports of services \1\","A646RX0",331698,331665,344172,346820,348254,357551,354926,356662,350445,345337,334395,316097,341119,344023,347039,350573,341056,339586,353384,369314,390089,393089,391883,406607,409318,404813,407872,419209,427753,440385,435806,470115,481207,491998,508892,534446,525025,539825,523360,524909,507641,518654,522539,541662,534183,543579,567245,587022,587967,601158,610331,602969,604249,609740,613161,631769,630448,633618,639274,642898,638365,644708,641649,649710
"29","21","  Transport","Y800RX0",60558,59935,60388,60870,60255,61331,59594,59938,59592,58017,54124,48733,55117,54856,54259,56063,50884,49914,50915,53382,54337,55050,55279,52972,54874,56045,56356,59175,59704,59716,60503,61442,64004,63572,67015,68442,70724,69988,68998,65232,60911,61912,62868,63067,64115,65966,66177,67212,66622,67154,69003,68035,68150,68956,68324,69746,71300,72680,71648,73581,73981,75255,75692,76122
"30","22","    Sea Transport","Y977RX0",14132,14218,13942,14800,14275,13818,13803,14009,13408,13229,13288,13879,13783,13736,14121,14209,12745,12727,12593,13356,13049,12960,12805,13426,12889,13062,12720,13988,14459,15052,15891,15796,15708,16734,17135,17066,17949,17922,17370,15038,12577,13157,13863,14815,14913,15157,15163,15218,15163,15086,15089,15334,15501,15635,15286,15107,15235,15376,15367,15600,15511,15617,15659,NA
"31","23","      Freight","Y978RX0",3840,4060,4387,5178,4855,4544,4237,4866,4007,3991,3950,4095,3772,3618,3901,4170,3769,3836,3933,4189,3794,3650,3367,3931,3305,3352,3039,3380,3085,2946,3321,3422,3427,3874,4153,4554,4560,4387,4216,3377,2839,3039,3399,3718,3703,3689,3757,3947,3534,3385,3517,3788,3665,3757,3558,3632,3523,3531,3462,3674,3495,3314,3338,NA
"32","24","      Port","Y979RX0",10283,10060,9323,9263,9112,9014,9375,8864,9236,9068,9178,9620,9935,10079,10126,9871,8815,8709,8443,8936,9105,9188,9366,9339,9525,9649,9666,10582,11419,12198,12631,12414,12315,12874,12977,12467,13362,13524,13138,11695,9748,10117,10460,11091,11207,11472,11402,11245,11642,11729,11583,11548,11845,11886,11743,11485,11725,11859,11920,11939,12032,12327,12346,NA
"33","25","    Air Transport","Y980RX0",43252,42461,42995,42711,42811,44511,42445,42759,42917,41100,37630,31380,38097,37784,36235,37950,34923,32987,34858,36559,37024,37685,38689,35815,37916,39032,39616,41318,41477,40463,40621,41472,44455,42586,46087,47164,48654,48255,47515,46091,44811,44851,44752,43882,45211,46544,47411,47806,47693,48129,49665,48598,48532,48885,48840,50193,51887,52937,52320,54041,54528,55796,56081,NA
"34","26","      Passenger","Y981RX0",29034,29039,30180,28566,28692,30365,29589,29610,28251,27399,25204,18918,23616,23416,22331,22506,19439,17485,19317,19862,20070,20728,21367,19838,20164,21584,22570,23090,22932,22714,23155,22555,23240,22602,24827,26737,27092,27605,27138,26590,26134,26700,26648,24930,25419,26122,27677,27610,27889,28357,29119,28853,29101,29578,29170,29990,30750,32169,31635,32860,33948,35178,35451,NA
"35","27","      Freight","Y982RX0",5760,5739,6090,6631,6886,7076,7342,6946,6797,6687,6742,6655,6974,6979,7184,7761,8392,8932,8880,8957,9389,9502,9617,9378,10147,10258,10466,10832,10546,10603,10664,10934,10992,11363,11953,11995,12110,12258,12198,11169,10626,10584,10866,11688,12167,12448,11529,11860,11557,11437,11692,11388,11240,11207,11717,11863,12083,11806,11671,11845,11436,11145,11129,NA
"36","28","      Port","Y983RX0",9363,8497,7437,8095,7770,7669,6080,6796,8343,7498,6088,5917,7781,7646,6919,7874,7199,6664,6737,7857,7678,7560,7796,6714,7773,7320,6690,7517,8114,7269,6929,8153,10477,8833,9514,8511,9619,8399,8156,8362,8049,7550,7238,7282,7697,8083,8175,8352,8210,8274,8841,8257,8041,7896,7782,8183,8979,8760,8845,9147,8860,9184,9205,NA
"37","29","    Other modes of transport","Y984RX0",3412,3513,3734,3623,3462,3389,3606,3434,3579,3901,3346,3309,3351,3432,3873,3921,3291,4137,3509,3517,4294,4443,3862,3765,4120,4009,4079,3940,3842,4257,4053,4237,3918,4335,3865,4272,4184,3879,4188,4124,3500,3906,4256,4390,4008,4293,3588,4201,3748,3911,4187,4094,4125,4468,4178,4385,4054,4232,3825,3773,3756,3623,3733,NA
"38","30","  Travel","Y801RX0",131838,130707,137034,134992,137334,141198,138991,136799,133836,125554,118545,96793,112172,112636,111012,111500,104044,100599,109340,112877,117285,118148,117036,118814,115192,115137,110456,109709,109089,110019,112036,114695,116852,118619,121622,129021,132742,134461,128271,125850,117440,118425,121153,122591,127618,130582,135249,138067,135970,141830,139467,139623,140073,145405,146565,146531,151882,152651,154848,156411,157622,161148,161456,161547
"39","31","    Business","Y985RX0",53284,53686,55869,55075,56494,57654,56927,56072,54473,50455,47661,36901,43916,44159,42727,43131,39650,36532,40170,42624,42634,42801,42642,43545,41728,42848,40865,39861,40572,40229,40803,41506,41502,42838,42810,44486,46505,46282,41739,41675,38132,35505,36088,36348,36987,38052,39383,39008,37895,38108,36973,35859,35689,35673,35735,33979,35591,34528,35050,35197,36637,36986,40105,NA
"40","32","      Expenditure of seasonal, border, and other short-term workers","Y986RX0",8256,8316,8182,8229,7916,8013,7894,7957,8244,8181,8481,8626,8918,9061,8724,9006,8874,8699,8851,8939,9194,9494,9263,9242,9072,9208,9196,9023,9014,9029,8895,9108,8021,8114,7934,7919,8913,8130,7844,8292,7624,7169,6539,6040,5915,6313,6325,6054,5845,5773,6061,5818,5723,6020,6066,5991,6055,6370,6395,6161,6077,6194,6252,NA
"41","33","      Other business travel","Y987RX0",45028,45370,47686,46845,48578,49641,49033,48115,46230,42275,39180,28273,34998,35097,34002,34125,30774,27831,31318,33685,33440,33305,33379,34303,32656,33640,31668,30836,31557,31199,31906,32396,33481,34723,34875,36568,37591,38153,33895,33382,30508,28335,29549,30309,31073,31739,33059,32954,32051,32336,30913,30041,29967,29653,29669,27987,29536,28158,28654,29036,30560,30792,33853,NA
"42","34","    Personal","Y988RX0",78222,76639,80789,79544,80430,83151,81667,80337,79009,74804,70604,59755,68048,68264,68101,68175,64231,63956,69040,70097,74514,75211,74257,75128,73340,72124,69442,69729,68362,69660,71106,73068,75249,75659,78719,84460,86137,88100,86518,84153,79301,82920,85068,86247,90632,92530,95864,99056,98072,103718,102489,103759,104377,109722,110820,112539,116278,118106,119782,121196,120971,124147,121347,NA
"43","35","      Education related","Y989RX0",16492,16530,16747,16811,16785,17009,17315,17916,17831,18059,18314,19114,19010,19149,19335,19127,19313,19195,18889,18508,18352,18226,18027,17755,17649,17531,17525,17318,17239,17220,17207,17541,17479,17548,17849,18449,18742,18495,18482,19810,19368,19849,20016,19524,19850,20194,20532,20705,20864,20833,21112,21495,21662,21985,22484,23151,23369,24084,24673,24931,24975,25177,25934,NA
"44","36","      Health-related","Y990RX0",2531,2555,2567,2596,2652,2676,2691,2724,2501,2486,2478,2469,2310,2254,2234,2221,2242,2268,2264,2261,2293,2295,2293,2300,2360,2671,2670,2690,2695,2698,2692,2691,2695,2694,2691,2688,2694,2695,2690,2687,2691,2693,2691,2688,2687,2692,2687,2686,2682,2678,2690,2685,2683,2680,2688,2679,2682,2673,2686,2679,2679,2680,2679,NA
"45","37","      Other personal travel","Y991RX0",58560,57019,60744,59495,60302,62666,61024,59282,58291,54147,49944,38884,47045,47152,46826,47080,43061,42873,48137,49535,54013,54820,54062,55165,53442,52095,49506,49943,48694,49962,51375,52980,55149,55484,58193,63249,64621,66755,65222,61663,57256,60378,62355,64027,68095,69648,72656,75681,74539,80226,78704,79598,80051,85087,85678,86744,90271,91399,92476,93644,93373,96359,92787,NA
"46","38","  Charges for the use of intellectual property n.e.c.","B684RX0",60112,59857,61674,61478,64137,64838,64798,63604,60248,60502,58817,61317,61331,65339,67120,64426,64643,65793,67618,68244,73955,73873,75925,81420,82916,81112,81176,81377,85886,88887,85803,93923,94665,98223,102983,107119,103022,101896,102430,100336,91569,96005,95112,110938,105237,103796,104713,109763,117765,117831,120866,117453,117861,116306,117881,121964,120805,121615,121415,118276,119183,119848,120025,121457
"47","39","  Other business services","Y802RX0",70688,71765,75005,78793,76961,79162,79604,83929,85388,87813,87532,91853,96760,95990,97680,102263,103888,105102,105947,114283,122163,124212,121130,131705,130848,126652,133331,144428,145597,150637,148655,170210,174202,186267,189731,193507,191149,203643,196871,206433,209821,210748,207283,215749,208223,213942,231417,243813,235010,239421,246224,244368,244188,245817,247135,259338,252409,252828,257111,262907,256929,260073,256664,262655
"48","40","    Maintenance and repair services","Y992RX0",5247,5487,5472,5531,5853,6258,6947,7353,7493,7546,7996,8265,8107,8415,7866,8149,7540,8063,7344,7262,7120,7015,6495,6680,7818,8461,8194,9396,7207,8211,8634,9301,9588,9959,9113,9337,8523,9338,9817,10582,11412,11498,12590,12807,11228,13217,13270,13966,11692,12145,12372,12800,12480,12847,12344,14032,11687,11975,15383,16448,15605,16326,16512,17650
"49","41","    Insurance services","Y993RX0",4547,4594,4782,5116,5412,5550,5990,6659,5340,5545,5666,6086,6989,7580,8197,8798,9502,10080,10622,11160,11760,11626,13217,13169,11457,10979,13805,13045,12967,13964,12278,13329,11961,12932,13868,13830,12787,14700,14629,14264,14591,15032,14324,14397,13393,13564,14675,16003,14965,14552,15072,15450,15576,16833,17614,17749,17080,17126,17717,18072,18016,18059,18002,17977
"50","42","    Financial services","Y994RX0",14455,16737,17875,18802,19782,20784,20542,20826,22471,23611,22120,23877,27334,28727,27208,27767,30928,29588,30745,33494,38790,39277,36057,43711,39935,38625,40314,44588,46784,44928,43723,53304,53748,57351,59561,58978,60625,60450,56371,59150,64513,66014,62250,64972,64060,63550,70038,73690,70201,69804,71324,67604,68275,64120,65589,68560,68541,67922,66516,69119,65839,66917,63735,67045
"51","43","    Telecommunications, computer, and information services","Y995RX0",2257,2198,2621,3197,2867,3136,2911,3421,3475,3710,3773,3861,3887,3228,3847,4874,5175,5677,5567,6735,7274,7785,7462,8685,9097,9510,10452,11878,11392,13045,13318,15926,17941,20899,20541,24271,24593,25688,24130,23030,23236,23997,22784,25246,25751,27565,32226,35080,36200,38085,39039,39763,40830,42868,43571,45157,44671,46996,46775,46031,47399,49760,49301,49263
"52","44","    Other other business services","Y996RX0",53285,51646,51705,52045,49465,49193,50293,52154,52515,52930,53554,55829,57174,56815,57837,58254,55926,56373,56683,59574,61078,61827,61974,62556,64946,60851,62830,66998,68761,71916,71633,78732,80819,84951,86467,87179,84491,93724,92242,99579,96112,94236,95311,98278,93835,96236,101835,106004,103611,106932,110595,111361,109962,113026,112085,117793,114467,113638,115417,117183,115168,114671,115248,116002
"53","45","  Government goods and services n.e.c.","Y803RX0",10591,11392,12365,11253,10852,12858,13656,12949,10900,11511,12393,10028,10346,9669,11039,9482,9342,9316,12092,12826,14458,13646,14216,12567,16524,17117,17423,15035,18006,21923,19793,20869,22489,16491,18293,27876,18294,20505,17162,17008,16965,19965,24679,17724,18140,18496,19294,17650,21290,23139,22597,21194,22080,21457,21898,23529,23132,22645,23158,20241,18854,16321,15446,15933
"54","46","  Other","B980RX0",9904,9670,9828,10055,10068,10057,9759,9500,9287,9162,9101,9009,8916,9112,9172,9365,9323,9296,9155,9028,9043,9135,9371,9475,9336,9285,9309,9288,9421,9314,9111,9004,9087,8849,9277,8965,9042,9393,9495,10138,10984,11604,11412,11573,10700,10598,10489,10794,11667,12173,12660,12710,12324,11983,11705,11475,11143,11268,11342,11490,11565,11632,11745,11576
"55","47","    Imports of goods and services","A021RX0",1466883,1509024,1565243,1603779,1668146,1719607,1779038,1778071,1748467,1696812,1662797,1639787,1686901,1739799,1765579,1802902,1777883,1805929,1829111,1894600,1952748,2033040,2053575,2101999,2126795,2151177,2156887,2222003,2269940,2297607,2315226,2321390,2358684,2369376,2368712,2339274,2361633,2340397,2293036,2199514,1986668,1905707,1976984,2063350,2116938,2217774,2295953,2310735,2328482,2345931,2364918,2391348,2401737,2425543,2422148,2400973,2399453,2448788,2452329,2460468,2474130,2541149,2535316,2597001
"56","48","Imports of goods \1\","A255RX0",1222453,1264968,1314151,1346108,1399300,1439388,1488751,1494177,1467092,1410490,1383689,1372369,1398090,1457562,1483797,1504915,1487566,1526766,1530688,1586979,1631020,1698191,1722385,1764959,1787521,1805756,1810000,1868273,1900075,1924557,1944891,1931877,1965109,1970700,1968389,1939279,1950089,1932383,1883827,1785146,1594126,1515578,1585107,1666365,1719441,1814159,1880372,1893016,1917685,1921296,1931849,1957751,1967227,1986780,1981200,1957159,1959777,2000074,2000787,2005273,2017657,2077827,2071005,2126227
"57","49","  Foods, feeds, and beverages","B647RX0",57465,59750,60231,61143,61731,62940,64545,64948,63968,65098,68884,67630,68281,69638,70704,71125,73230,74506,75653,77894,79395,80694,79018,80439,80616,82115,83435,84502,88200,87288,87110,88509,91152,89267,88550,86473,89339,88232,86725,87111,84294,83007,82380,81759,84458,85395,85997,83156,84291,85054,85470,90591,88833,88265,90028,91139,93120,94298,92442,92354,94144,101037,99230,97204
"58","50","  Industrial supplies and materials, except petroleum and products","A649RX0",202801,208687,214299,223112,225852,225026,227592,225780,226564,215529,215214,214469,217444,222632,225989,232241,222869,226222,230607,231705,243468,261846,271855,275095,279706,278382,272791,289523,294800,294555,295751,283934,281578,289282,285307,267350,269506,265523,264535,240919,207585,182719,191554,204701,215953,226894,230352,227941,235489,241433,241785,239815,245499,244827,249147,242435,248220,246951,251814,250882,252953,267555,268082,272198
"59","51","    Durable goods","A820RX0",106869,108337,109170,116193,118809,117391,116966,116729,114859,109286,109476,108565,114006,114718,117128,119823,116777,115061,116327,121745,126715,138060,147259,151934,150791,151600,145523,155010,168150,166138,168224,157607,154204,154904,149289,138637,143087,138965,138395,126023,104392,88977,90742,97897,104108,111697,112597,110545,116731,120140,119870,117943,127239,125772,123948,123392,128630,127540,128535,128535,136281,144814,143848,150625
"60","52","    Nondurable goods","B696RX0",95612,100117,105034,106674,106724,107376,110366,108882,111257,105846,105403,105611,103107,107635,108621,112175,106067,110648,113667,109818,116588,123718,124613,123308,129148,127035,127123,134232,127527,128886,127800,126598,127746,134856,136610,129266,126973,126956,126528,115277,103247,93681,100819,106804,111846,115114,117746,117464,118614,121117,121783,121813,117822,118707,124991,118774,119257,119070,122927,121981,116510,122606,124074,121418
"61","53","  Petroleum and products","B648RX0",269847,260667,261730,249601,267233,264609,270018,277993,292215,277726,265082,276647,263106,269175,268653,284792,273111,296698,299920,288478,309735,301593,304167,319276,313304,311428,311352,323536,305231,308960,324780,296954,301373,305573,299296,300367,294744,285746,281299,303383,294080,263892,259348,253521,262125,274857,277961,261089,271377,265544,259233,259606,246581,248724,241114,233600,227332,230385,224065,218779,227387,211688,205334,215736
"62","54","  Capital goods, except automotive","A650RX0",235882,251349,263202,273276,281966,305611,321079,321199,305271,273102,257681,254068,261170,269691,270390,272073,273376,279944,282114,300737,313529,331042,341824,352208,355057,372397,375507,387785,402849,411786,420807,424238,434471,440592,447107,449274,459808,465799,455113,419718,370382,352576,371496,401767,413005,445826,470464,486006,494645,509967,523394,536751,551461,559647,552268,551071,554077,558952,569645,577864,581384,603682,612538,623549
