"","Table 5#4#5U# Private Fixed Investment in Structures by Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"21","13","    Other commercial \2\","W039RC0",536,585,603,583,600,594,593,635,664,654,670,688,675,717,833,737,717,754,742,719,720,783,811,833,887,933,971,1057,1001,939,987,953,992,965,941,992,1053,1104,1103,1128,1219,1260,1383,1399,1419,1377,1331,1338,1418,1543,1729,1784,2034,2125,2171,2200,2337,2489,2542,2531,2558,2698,2573,2589,2342,2001,2035,2041,2222,2166,2155,2167,2302,2462,2712,2778,2887,3387,3530,3729,3672,4335,4780,5145,5308,4945,4745,4840,5202,5209,5283,5161,4893,4720,4452,4462,4597,4582,5149,5428,6139,7062,7352,7743,8533,8804,8797,9426,9429,8712,8842,8919,8828,9397,9779,9947,9680,10186,10174,9943,10316,9754,10575,10898,10972,10667,10384,9406,8342,8040,7314,6611,6844,7150,7773,7745,7788,7883,7887,8712,9145,11261,12283,12460,12685,12094,11844,12114,12621,12605,12990,14201,15355,15746,15467,15117,15448,15928,16144,16222,15705,16457,16808,18490,18758,19455,20634,18980,17927,17621,16985,18521,19439,18632,18068,16880,15917,16995,17528,15721,16877,18835,19451,20191,17380,18032,17682,17470,16770,16440,15912,17799,19015,19812,21580,20661,20121,19743,17832,15581,15359,13442,10676,8847
"22","14","  Manufacturing","C307RC0",1884,1985,2212,2343,2682,2762,2918,3042,2985,2808,2676,2651,2684,3041,2669,2974,2591,2800,3011,3222,3142,3348,3731,4039,4491,5056,5031,5790,6170,6682,6877,6535,6434,5696,6026,5668,6000,5851,5762,6471,6741,6636,6931,6920,6696,7188,7158,6902,6850,6437,5809,5944,5800,5923,5947,5986,6975,7425,8440,8836,9380,9815,9711,11194,10530,10636,10591,10447,10883,10216,9691,9570,10131,10846,11239,12040,12707,14452,17988,19473,21114,21685,22258,23079,21847,21118,19394,19729,22854,24468,27427,26903,27219,27193,25367,24549,21298,19745,19829,16944,19529,20514,21736,21825,23859,24093,24202,24401,22440,20510,19894,21092,19177,20288,22780,22595,21784,23162,23199,24668,25890,28423,30441,30390,33650,34328,34292,32274,33365,32255,29674,30403,30335,28963,28260,28558,23649,22430,23900,24269,25060,28617,29825,32286,33464,36425,36365,35738,37803,37196,36831,40833,37252,36180,38982,38082,40603,40763,40243,40331,37982,35003,34441,33079,34868,38370,38174,38919,41838,39772,38646,31003,26104,23527,20806,20538,20043,21724,21837,22136,21983,21757,23317,27611,29269,28907,30109,31263,32265,35179,37235,35672,37966,41009,48881,53356,53776,57096,61516,70724,80329,84397,74330,64586
"23","15","  Power and communication","W003RC0",4340,4281,4303,4304,4399,4455,4286,4344,4125,4104,4107,4004,4115,4034,4027,4088,4118,4419,4358,4525,4628,4718,4786,4884,5092,5272,5438,5738,6031,6257,6485,6391,6617,6995,7199,7561,7888,8073,8493,8670,8483,8512,8640,9045,9373,10026,10724,10737,10886,11144,11013,10917,11868,11875,12116,12433,12850,13573,14279,14566,14900,15000,15359,15053,15250,15342,15732,16336,16209,17993,19109,19309,18618,19536,19466,19476,19910,21147,21944,22768,23421,24212,25138,25717,26825,27196,27375,27784,29096,29652,30185,30883,30795,30228,29572,27813,26665,25653,24573,26232,25555,26520,26982,26927,26624,26422,26371,26688,28757,29241,28286,26868,26020,25449,25091,25083,24581,24281,25468,25789,27525,27686,27097,27608,25473,25772,26482,27605,29824,31293,32205,32917,33003,33627,34031,34855,34463,33220,32507,32502,31283,30648,31094,31631,33352,33804,33418,31822,30418,29099,28179,29197,27517,28194,29319,30082,30174,34832,37251,34396,39557,36612,41426,44185,44788,44926,50706,52152,43639,52191,52244,56307,57605,51568,46890,47906,51878,49681,46029,44708,44658,39511,41861,45285,45258,44677,44385,46288,51648,50970,54041,56737,63383,70737,78215,86885,91876,96548,95873,93184,90885,97868,97123,95655
"24","16","    Power","W028RC0",3465,3347,3318,3298,3341,3336,3202,3261,3115,3153,3130,3034,3134,3030,3036,3092,3077,3319,3242,3290,3344,3405,3498,3537,3725,3812,3963,4212,4467,4662,4839,4792,4988,5349,5585,5934,6223,6527,6749,6853,6499,6429,6379,6621,6807,7111,7542,7628,7818,8013,8196,8053,8708,8711,8852,8957,9293,9753,10150,10372,10645,10660,11108,10955,11070,11636,12146,12724,12506,14193,15128,15169,14357,15084,14886,14793,14912,15568,16189,16716,17159,17623,17993,18181,18760,19271,19818,20431,21123,21699,22095,22263,21970,21676,20988,19958,18932,18146,17819,17926,18266,18621,18680,18537,18170,17971,18143,18785,19957,20080,19305,17934,17167,16448,15845,15408,15110,15171,15516,16098,17629,18032,18059,17740,15949,15926,16519,17727,20564,22131,23398,24298,24330,24742,25085,25387,24716,23940,23152,22408,21281,20926,20874,21091,22464,22467,22005,21087,18992,17775,16782,16102,15618,15805,16472,17553,17307,22241,24993,22219,24329,19267,21370,23193,26604,26921,31628,32223,24321,31346,32647,37683,38404,32717,29068,30244,38053,35155,31341,29922,30632,24568,25889,28355,26444,26012,25692,27076,30262,29569,31527,33294,37576,43483,50121,58092,62785,69108,72261,71346,70676,77215,77086,75956
"25","17","      Electric","C571RC0",2108,1971,1951,1958,2030,2055,1938,2001,1862,1898,1878,1794,1921,1853,1826,1848,1942,2008,2053,2081,2085,2130,2200,2233,2442,2483,2545,2670,2799,2922,3101,3122,3298,3628,3786,3964,4053,4202,4345,4480,4309,4429,4467,4731,4876,5169,5618,5669,5815,5995,6181,6013,6661,6595,6681,6731,7082,7513,7875,8090,8157,8141,8099,8075,8105,8207,8397,8679,9052,9507,10023,10570,11109,11589,11988,12306,12582,12845,13157,13509,13920,14249,14462,14553,14860,15136,15494,15902,16451,16946,17280,17431,17522,17386,16997,16359,15703,15233,15063,15172,15619,15712,15489,15108,14560,14257,14407,15100,16352,16573,15885,14566,13745,12945,12246,11704,11297,11226,11416,11825,13126,13364,13249,12809,10973,10807,11218,12198,14731,15995,16942,17504,17217,17234,17137,16955,16751,16448,16103,15737,15230,14945,14745,14616,14929,14635,14123,13410,12047,11361,10906,10709,11071,11207,11397,11625,9916,13528,15512,13016,16812,12653,15235,17255,20648,20950,25652,26246,18354,25278,26370,31078,31335,25236,21246,22174,29846,26962,23324,22236,23417,17639,19097,21571,19547,18984,18513,19725,22916,21820,22967,23513,26167,30510,35648,42183,45503,50797,53264,52005,52972,53507,53622,50643
"26","18","      Other power","W029RC0",1357,1376,1367,1340,1311,1281,1264,1260,1253,1255,1252,1240,1213,1177,1210,1244,1135,1311,1189,1209,1259,1275,1298,1304,1283,1329,1418,1542,1668,1740,1738,1670,1690,1721,1799,1970,2170,2325,2404,2373,2190,2000,1912,1890,1931,1942,1924,1959,2003,2018,2015,2040,2047,2116,2171,2226,2211,2240,2275,2282,2488,2519,3009,2880,2965,3429,3749,4045,3454,4686,5105,4599,3248,3495,2898,2487,2330,2723,3032,3207,3239,3374,3531,3628,3900,4135,4324,4529,4672,4753,4815,4832,4448,4290,3991,3599,3229,2913,2756,2754,2647,2909,3191,3429,3610,3714,3736,3685,3605,3507,3420,3368,3423,3503,3599,3704,3813,3945,4100,4273,4503,4668,4810,4931,4976,5118,5301,5529,5834,6136,6456,6794,7112,7508,7948,8431,7964,7492,7049,6671,6050,5981,6129,6475,7536,7832,7882,7678,6945,6414,5876,5392,4547,4598,5075,5928,7391,8712,9482,9202,7517,6614,6135,5938,5956,5972,5975,5976,5967,6068,6277,6604,7068,7481,7821,8069,8207,8193,8018,7687,7216,6929,6792,6783,6897,7028,7179,7351,7346,7749,8561,9780,11409,12973,14473,15910,17282,18311,18998,19341,17704,23708,23464,25313
"27","19","    Communication","C314RC0",875,934,985,1006,1058,1119,1084,1083,1010,951,977,970,981,1004,991,996,1041,1100,1116,1235,1284,1313,1288,1347,1367,1460,1475,1526,1564,1595,1646,1599,1629,1646,1614,1627,1665,1546,1744,1817,1984,2083,2261,2424,2566,2915,3182,3109,3068,3131,2817,2864,3160,3164,3264,3476,3557,3820,4129,4194,4255,4340,4251,4098,4180,3706,3586,3612,3703,3800,3981,4140,4261,4452,4580,4683,4998,5579,5755,6052,6262,6589,7145,7536,8065,7925,7557,7353,7973,7953,8090,8620,8825,8552,8584,7855,7733,7507,6754,8306,7289,7899,8302,8390,8454,8451,8228,7903,8800,9161,8981,8934,8853,9001,9247,9675,9471,9110,9952,9691,9896,9654,9038,9868,9524,9846,9964,9878,9260,9162,8807,8619,8674,8885,8945,9468,9747,9280,9354,10095,10002,9722,10220,10540,10888,11337,11413,10734,11426,11323,11396,13095,11899,12388,12848,12529,12867,12591,12257,12177,15228,17344,20056,20991,18184,18005,19078,19929,19318,20845,19597,18624,19201,18850,17822,17662,13825,14526,14688,14786,14026,14943,15973,16930,18814,18665,18693,19211,21387,21400,22513,23444,25807,27254,28094,28793,29091,27440,23611,21838,20209,20653,20037,19699
"28","20","  Mining exploration, shafts, and wells","E318RC0",2452,2537,2541,2554,2431,2350,2311,2264,2250,2274,2345,2427,2533,2567,2493,2347,2308,2284,2254,2158,2266,2432,2426,2536,2403,2610,2379,2348,2458,2396,2543,2415,2385,2479,2428,2428,2537,2465,2571,2667,2591,2761,2926,2902,2796,2827,2686,2835,2712,2507,2666,2759,2936,3037,3054,3249,3221,3322,3592,3797,4075,5109,5546,5922,6620,7059,7649,8120,8402,8152,8684,9222,10206,11173,11954,12515,11811,14714,16353,18798,18923,16748,19300,21165,22376,23425,29319,34388,31467,38529,41242,58594,54091,48088,40107,36718,34186,28207,28354,29245,30500,30626,32309,31701,32339,28084,25892,25377,23430,14554,12170,12574,11843,11139,13758,15484,15301,16449,15785,15348,13561,14912,15645,15518,17028,17818,17969,18865,21272,20758,16417,15729,13827,13320,14126,15515,15996,15748,16403,18211,16059,15694,16370,17450,15541,14214,14875,15563,15414,16432,17357,17905,21069,22437,22408,23633,22817,23594,22743,20034,17929,18683,17268,19306,20279,22653,24875,27159,31711,35379,38485,32785,27590,28337,32275,32795,33483,37889,40517,41901,45659,50385,53939,57731,67898,76347,78326,85685,97391,113966,119214,126313,134044,139176,149255,147462,150762,161987,171625,179171,110704,76488,76140,86782
"29","21","    Petroleum and natural gas","C319RC0",2341,2423,2423,2433,2309,2227,2185,2135,2119,2141,2209,2287,2392,2425,2348,2199,2157,2131,2099,2001,2109,2275,2268,2376,2242,2448,2215,2183,2292,2229,2374,2245,2218,2313,2256,2245,2341,2256,2349,2434,2348,2508,2663,2629,2511,2531,2378,2516,2382,2166,2316,2400,2568,2660,2667,2849,2810,2890,3121,3271,3483,4453,4834,5166,5828,6229,6774,7189,7404,7077,7527,7984,8892,9800,10542,11082,10419,13379,15060,17518,17624,15417,17928,19739,20862,21767,27456,32279,29114,36004,38655,56063,51715,45919,38154,34960,32577,26687,26858,27714,28894,28933,30540,29889,30528,26333,24258,23905,22143,13440,11196,11697,11020,10341,12968,14691,14488,15609,14914,14446,12632,13950,14647,14483,15965,16712,16817,17666,19999,19455,15103,14420,12560,12068,12880,14260,14756,14474,15047,16734,14299,13863,14551,15723,14144,12930,13648,14327,14002,14961,15846,16379,19571,20979,21012,22318,21620,22483,21703,19046,16990,17734,16272,18233,19042,21336,23508,25775,30373,34093,37249,31593,25931,26156,29674,30152,31579,36169,38770,39964,43338,47688,50925,54526,64691,73014,74734,81680,92829,108898,113746,120619,128350,133469,143519,141686,144935,156122,165736,173271,104948,71571,71540,82040
"30","22","    Mining","C320RC0",111,114,118,121,122,123,126,129,131,133,136,140,141,142,145,148,151,153,155,157,157,157,158,160,161,162,164,165,166,167,169,170,167,166,172,183,196,209,222,233,243,253,263,273,285,296,308,319,330,341,350,359,368,377,387,400,411,432,471,526,592,656,712,756,792,830,875,931,998,1075,1157,1238,1314,1373,1412,1433,1392,1335,1293,1280,1299,1331,1372,1426,1514,1658,1863,2109,2353,2525,2587,2531,2376,2169,1953,1758,1609,1520,1496,1531,1606,1693,1769,1812,1811,1751,1634,1472,1287,1114,974,877,823,798,790,793,813,841,871,903,929,963,998,1034,1063,1106,1152,1199,1273,1303,1315,1310,1267,1252,1246,1255,1240,1275,1356,1477,1760,1831,1819,1727,1398,1283,1227,1236,1411,1471,1512,1526,1498,1458,1396,1316,1197,1111,1040,988,939,949,995,1073,1236,1316,1367,1384,1338,1287,1235,1192,1659,2180,2601,2644,1904,1720,1747,1938,2321,2697,3014,3205,3207,3334,3592,4005,4562,5069,5468,5694,5694,5708,5736,5776,5827,5865,5889,5900,5755,4917,4599,4742
"31","23","  Other structures","W004RC0",4447,4603,4844,4742,5086,5182,5183,5233,5163,5060,4993,4920,5155,5289,5197,5155,5167,5469,5663,6065,6366,6283,6232,6099,6425,7241,7556,7734,7917,7851,7663,7697,7859,7665,7864,7996,7606,7377,7020,7165,7389,7619,8110,7926,7772,7718,7659,7895,7917,7861,7836,7902,8285,8392,8589,8986,9308,9926,10191,10359,10128,10259,10280,10645,10016,10274,10134,10016,10686,10810,11119,11405,11769,12199,12657,13283,13461,15095,15998,16390,16593,18051,19407,19975,20512,20134,19426,19961,21045,21024,21864,20937,21136,21067,21051,22121,21651,23111,22895,25445,26618,28030,29063,28777,30439,32401,31651,32688,31872,29749,29946,31301,32461,33804,33955,34573,32838,32847,31717,32652,34034,33211,34434,35415,37551,38122,38354,36224,35521,33399,32501,31202,30150,31363,31793,30611,31547,34785,36061,35461,34606,35472,34918,34527,37197,38868,42202,44009,46776,47406,49472,52034,53533,56142,57539,61480,57848,62324,63696,64993,64772,66019,63327,64516,67442,69397,71212,69375,65816,66225,79282,64291,60957,60802,57893,57739,56635,60041,59390,59356,59598,63111,64432,64454,63825,62097,63276,65713,68734,74500,76121,79053,80158,88872,94775,99733,101728,105256,104921,101322,91982,88484,79427,71044
"32","24","    Religious","C309RC0",921,940,974,953,1017,1018,1006,1011,979,990,1014,1029,1038,1044,1035,1015,1016,1012,1004,972,973,953,1001,1041,1042,1280,1211,1271,1131,1132,1130,1187,1108,1030,1066,1048,1118,1108,1029,1061,1014,1014,1000,944,957,962,933,904,852,836,785,823,887,840,842,879,846,807,834,845,919,961,981,915,892,932,823,929,962,924,1065,1001,1031,1104,1109,1108,1097,1372,1454,1540,1560,1770,1765,1898,1925,1951,1910,1886,2019,2098,2065,1916,1916,1727,1819,2319,2141,2044,2444,2453,2615,2815,2644,2804,2645,3018,3376,3344,3343,3299,3409,3833,3593,3626,3853,3787,3976,4260,3771,3788,4433,4264,4033,4378,4005,3979,4449,3900,3848,3807,3779,3671,3523,3358,3360,3328,3650,3801,3883,3798,3637,3835,3867,3724,3837,4393,4468,4145,4067,4413,4401,4771,5163,5596,5577,6156,6299,5897,6480,7160,7343,7304,7137,7213,7860,7843,8046,8018,8020,8309,8572,8486,8557,8423,8107,8253,8524,8613,8773,8326,7756,8207,8323,8326,8081,7690,7634,7454,7766,7824,7607,7763,7694,7568,7602,7224,7247,6961,6922,7254,7059,6453,6069,5700
"33","25","    Educational and vocational","W044RC0",576,531,490,503,559,569,561,575,569,595,633,639,649,657,693,721,584,680,696,752,722,759,764,759,724,734,869,821,998,1007,984,959,1022,1051,1100,1019,1259,1158,1050,1121,1111,1055,1126,1040,980,964,843,913,957,1001,1041,1033,1064,1043,1074,1071,994,1028,995,915,788,737,684,739,633,680,660,639,749,745,725,649,738,728,750,752,719,877,948,969,903,1039,1147,1264,1489,1497,1591,1764,1782,1781,1638,1628,1750,1936,2041,2016,2106,2135,2146,2120,2262,2191,2376,2200,2241,2597,2940,2932,3116,3172,3164,3468,4593,4823,4465,4920,4099,3657,3577,3770,4191,4026,4548,4347,4648,4613,4882,5057,5138,5063,4581,4956,5441,5463,5125,4507,4445,5197,6056,5576,5979,5461,5130,5429,5934,6335,6701,6015,6836,6933,8009,8795,8666,9570,10315,10749,11557,11413,10199,10354,9751,10645,10468,10737,11497,12489,13457,13206,12973,13278,14054,15072,14726,14573,13612,13889,13950,14473,14745,14034,13577,13193,13327,14010,13904,13916,13996,13361,14072,14215,13948,15511,15704,16602,18050,17278,17803,17938,18674,18363,17819,17596,17844,16828
"34","26","    Lodging","W045RC0",501,518,549,540,555,604,648,721,819,787,706,668,705,673,707,731,793,823,904,1072,1428,1420,1424,1336,1375,1471,1459,1415,1426,1381,1376,1293,1256,1211,1162,1247,1114,1173,1178,1303,1337,1321,1344,1318,1377,1379,1282,1246,1217,1308,1344,1571,1766,1792,2135,2127,2256,2452,2278,2206,2019,1768,1503,1390,1281,1137,992,1010,878,894,930,1022,1037,1032,938,921,1141,1319,1444,1493,1867,2272,2682,3185,3300,3399,3492,3665,4069,4209,4829,4663,4285,4478,4643,4727,5294,5237,5579,6761,7232,7498,7483,7287,7699,8015,8102,8497,7875,8281,8673,8536,8704,8312,8452,8372,8101,8246,7403,7900,8454,8420,9387,9515,10405,11561,11104,10018,9651,7875,6738,5564,4571,4378,4642,4685,5142,5915,5947,5599,5533,6108,5334,6041,7909,7400,8910,10996,11869,12924,14175,15063,15409,16287,16154,16014,15122,17717,20071,20461,20526,19963,19264,19248,20193,21161,20278,19096,18030,18466,18820,16575,13766,14060,12231,11815,11940,13751,11828,11692,12438,14577,16017,16348,15566,14858,15503,16844,17687,21549,23286,24819,26974,32632,36290,40294,40476,45953,45909,42992,36998,35030,28060,22734
"35","27","    Amusement and recreation","W046RC0",633,679,799,824,867,900,908,889,888,857,814,832,925,973,841,816,847,971,993,1140,1146,1035,899,843,982,1288,1468,1550,1556,1445,1330,1273,1437,1329,1373,1437,863,777,725,641,757,960,1055,1053,1049,996,1030,1154,1170,1054,1096,1047,1141,1144,1123,1224,1243,1378,1340,1305,1241,1336,1342,1348,1272,1264,1377,1289,1541,1494,1404,1556,1494,1512,1748,1927,1845,2133,2253,2071,2048,2298,2697,2982,3176,2963,2609,2734,3011,3027,3214,3240,3449,3627,3837,4026,4032,4165,4402,4359,4848,5303,5544,5973,6151,6933,6624,6917,7190,6004,5880,6313,6205,6941,7108,7430,7491,7411,7733,7519,7185,6702,6600,6904,7518,7407,7332,6988,6867,6779,7203,6847,6520,7175,7079,6866,6606,7598,8186,8169,7855,8295,8091,7599,7524,8111,8704,9794,9915,9083,8872,9305,10066,10290,10449,10175,8991,10278,10645,11316,11878,11805,11071,11087,11376,10927,10470,9315,9003,9570,9435,9568,9285,9170,8871,8570,8468,9442,9474,9966,9431,10272,10384,10387,9660,8599,8530,9251,9808,11175,11844,11940,11003,11859,12783,13287,12878,12882,12186,11572,11038,10311,8811,7298
"36","28","    Transportation","W047RC0",663,743,781,627,745,746,733,743,649,628,681,598,640,709,650,579,652,685,740,809,795,772,762,717,800,844,874,880,894,1015,959,977,904,839,877,984,997,1009,957,944,1063,964,1103,1131,975,951,1022,933,1005,1100,1091,1089,1084,1239,1132,1226,1236,1192,1351,1474,1409,1478,1611,1866,1465,1720,1561,1478,1737,1949,2218,2208,2258,2477,2351,2429,2445,2765,3043,3316,3020,3193,3447,3029,3197,3187,3153,3454,3659,3404,3511,3064,3557,3384,2993,3433,2546,3976,2776,4352,3979,4125,4541,3759,4952,5045,4574,4415,3726,3532,3532,3518,3340,3234,3115,3076,3142,3175,3283,3320,3382,3371,3389,3419,3463,3426,3353,3245,3090,3066,3153,3206,3414,3607,3685,3749,3689,3865,4011,4050,4127,4233,4220,4215,4150,4274,4438,4784,5164,5307,5506,5753,5868,5995,6177,6368,6960,7290,7439,7071,6664,6445,6320,6398,6464,6687,6973,7197,7204,7208,6908,6805,6528,6818,6862,6873,6786,6403,6476,6600,6621,6898,6863,6970,6855,6974,7130,7527,8177,8867,8884,8670,8714,8973,9076,9264,9550,9903,10013,10115,8840,9830,9479,8940
"37","29","      Air","W048RC0",65,71,83,85,89,93,93,91,91,88,85,86,96,101,86,82,86,100,101,118,119,106,91,85,100,132,152,159,156,147,138,131,149,136,140,147,81,73,68,59,73,90,96,98,99,92,94,101,104,96,101,96,104,104,106,117,119,132,125,121,116,124,124,122,115,115,123,117,141,136,130,144,135,140,159,170,167,194,208,190,186,206,243,271,293,271,240,256,282,279,291,292,316,337,358,376,370,380,408,412,460,497,506,536,548,623,597,614,640,552,549,592,571,626,643,676,712,704,746,721,676,618,604,619,672,672,657,623,615,605,640,598,558,609,586,580,548,665,751,741,721,772,729,697,684,722,756,906,994,926,923,988,1045,998,1014,972,1104,1158,1265,1119,1196,1295,1362,1528,1589,1797,2089,2353,2429,2394,2020,1817,1396,1533,1450,1402,1362,981,1015,1059,956,1124,1006,1066,944,941,858,886,889,1130,897,632,823,1094,1071,998,887,942,853,856,698,602,543,533
"38","30","      Land \3\","W049RC0",598,672,698,542,656,653,639,652,558,541,596,511,544,608,564,497,565,585,639,691,676,667,672,632,701,712,722,721,738,868,821,846,755,703,738,837,915,936,889,885,990,874,1007,1032,876,858,929,833,901,1005,991,993,980,1135,1027,1110,1117,1060,1226,1352,1293,1354,1487,1744,1350,1605,1438,1362,1597,1813,2088,2063,2123,2337,2192,2259,2278,2571,2835,3126,2835,2986,3205,2758,2904,2917,2913,3197,3377,3125,3220,2772,3241,3047,2635,3057,2176,3596,2368,3941,3519,3628,4035,3223,4405,4422,3977,3800,3086,2980,2983,2926,2769,2607,2472,2400,2430,2471,2536,2599,2706,2752,2786,2800,2791,2754,2695,2622,2475,2461,2513,2609,2856,2999,3099,3169,3141,3200,3260,3308,3406,3461,3491,3517,3466,3552,3682,3877,4170,4381,4583,4765,4822,4996,5163,5396,5856,6131,6175,5952,5468,5150,4957,4869,4875,4890,4884,4845,4775,4815,4888,4988,5133,5285,5412,5471,5424,5422,5461,5541,5664,5774,5857,5904,5911,6033,6272,6640,7288,7737,7987,8038,7891,7880,8004,8266,8663,8961,9160,9259,8141,9228,8936,8407
"39","31","    Farm","C316RC0",1030,1094,1148,1188,1211,1215,1202,1176,1151,1140,1150,1183,1228,1273,1306,1325,1328,1324,1318,1314,1314,1321,1335,1354,1373,1386,1393,1396,1408,1442,1503,1583,1664,1717,1728,1699,1644,1595,1572,1581,1618,1666,1714,1758,1801,1848,1901,1950,1980,1966,1905,1813,1728,1704,1773,1935,2168,2420,2655,2857,3026,3179,3325,3466,3598,3705,3784,3837,3878,3926,3993,4087,4207,4346,4500,4671,4861,5082,5326,5567,5765,5863,5835,5693,5478,5268,5106,5000,4927,4826,4665,4434,4154,3866,3606,3402,3274,3232,3266,3344,3411,3389,3244,2980,2645,2328,2089,1962,1953,2039,2191,2373,2539,2641,2655,2585,2392,2394,2394,2389,2493,2556,2561,2510,2818,2826,2778,2782,2832,2756,2752,2671,2269,2344,2495,2485,3060,3450,3417,3641,3279,3180,3469,2975,2934,2981,3167,2974,3561,3682,3735,3655,3625,3689,3970,3975,4141,4533,4222,4241,4526,5474,4892,5344,5613,5567,6308,6463,5377,5207,5143,4813,5390,5381,5715,5959,4990,5066,5196,5160,5796,5672,5494,4978,5205,5637,6038,6536,6268,5792,5481,5728,5854,6467,6226,6621,7352,6041,5916,6296,6083,5772,5973,6361
"40","32","    Other \4\","W050RC0",147,144,171,198,210,209,219,226,229,209,170,178,202,203,217,234,221,229,257,249,240,268,267,237,270,320,318,373,468,377,292,312,323,334,369,356,405,363,338,341,304,457,585,520,496,508,574,755,716,593,585,549,637,651,529,537,535,592,657,661,618,667,700,753,726,711,821,727,846,816,714,791,853,768,983,1199,1059,1196,1166,1103,1152,1352,1572,1649,1658,1617,1377,1314,1452,1582,1832,1864,1848,1831,1892,1988,2165,2284,2232,2019,2186,2560,3036,3510,3726,4055,3822,4229,4356,3179,2880,3034,3266,3993,4031,4124,3352,3318,3148,3202,3395,3488,3578,4076,4501,4165,4329,4206,4070,4072,4407,4465,4562,5153,5480,5004,4984,4945,4497,4523,4104,4113,4564,4276,4600,5018,5429,4872,4831,4418,4025,3745,3720,3742,3863,3878,3900,4315,3815,3515,3215,3597,3428,3744,3588,3785,4682,5059,4351,3372,2912,2385,2131,2077,2546,2716,2241,2403,2871,3369,3631,3773,3279,2475,3258,2970,2952,3323,3664,3985,4209,4118,3884,4440,4324,5085,5652,4699,4394,3850,3413,2780,2781,3052
"41","33","    Brokers' commissions on sale of structures","C321RC0",147,153,160,160,172,175,178,187,190,186,187,189,190,204,214,208,194,205,207,210,211,223,234,240,258,284,293,321,319,318,326,317,321,300,306,305,299,283,259,259,268,265,270,257,246,237,221,208,207,205,202,194,194,193,191,198,255,297,339,369,388,413,417,442,421,397,398,396,399,383,397,429,492,565,606,593,570,581,577,556,541,571,594,614,625,591,556,556,586,582,593,583,588,591,580,585,587,591,653,677,746,821,859,902,970,1019,1037,1082,1070,1036,1044,1087,1119,1144,1171,1150,1183,1287,1309,1333,1414,1388,1438,1455,1514,1534,1556,1472,1396,1362,1294,1268,1280,1278,1287,1315,1263,1284,1315,1346,1323,1463,1463,1506,1582,1637,1653,1668,1720,1781,1837,1970,1991,1959,2065,2053,2135,2210,2214,2288,2303,2243,2222,2232,2334,2413,2457,2461,2420,2449,2365,2285,2230,2099,1968,1964,1975,2006,1997,2012,2012,2035,2117,2157,2197,2203,2237,2331,2466,2566,2672,2727,2895,3121,3337,3517,3574,3655,3666,3628,3482,3461,3159,2879
"42","34","    Net purchases of used structures","E322RC0",-171,-199,-228,-250,-250,-255,-272,-295,-311,-332,-362,-395,-421,-447,-466,-474,-467,-460,-456,-453,-464,-469,-455,-428,-399,-367,-329,-293,-283,-267,-238,-204,-176,-146,-118,-100,-93,-89,-88,-86,-83,-83,-87,-95,-110,-127,-147,-168,-187,-203,-213,-217,-216,-214,-211,-211,-225,-240,-258,-273,-280,-280,-282,-274,-272,-272,-282,-290,-305,-321,-328,-338,-341,-333,-328,-318,-276,-230,-213,-225,-263,-306,-332,-339,-335,-340,-367,-410,-459,-486,-484,-455,-411,-373,-360,-376,-495,-554,-603,-640,-660,-672,-663,-637,-590,-608,-913,-689,-756,-792,-827,-861,-898,-910,-894,-870,-898,-901,-901,-568,-913,-1006,-1100,-1189,-1321,-1388,-1430,-1445,-1372,-1381,-1406,-1445,-1430,-1393,-1358,-1327,-1292,-1269,-1252,-1241,-1232,-1217,-1222,-1238,-1272,-1279,-1269,-1240,-1187,-1136,-1088,-1023,-975,-987,-1031,2112,-1256,-1329,-1388,-1413,-1434,-1458,-1474,-1487,-1483,-1475,-1459,-1440,-1562,-1636,11073,-1698,-1657,-1799,-2018,-2299,-2238,-2115,-1969,-1803,-1666,-1517,-1372,-1199,-901,-749,-744,-913,-1174,-1473,-1810,-2224,-2562,-2792,-2913,-2838,-2804,-2777,-2759,-2749,-2749,-2749,-2749,-2749
