"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"21","13","    Durable goods","B690RG3",26.479,25.656,26.116,25.801,26.667,30.441,25.708,24.543,30.554,28.672,29.625,30.718,30.035,30.597,31.26,33.092,35.434,35.769,37.891,37.093,36.27,35.648,38.758,40.271,41.254,41.881,41.736,41.561,45.305,46.517,43.376,44.047,46.377,45.652,44.504,45.324,49.761,49.774,53.25,56.12,60.572,62.644,64.724,66.323,68.304,70.406,72.183,74.424,74.393,74.433,75.071,76.249,76.584,76.408,77.342,78.095,78.942,79.279,79.641,78.311,78.914,78.218,77.685,77.78,76.825,76.892,77.415,77.476,79.965,80.18,80.786,81.549,81.983,81.93,82.297,83.402,84.205,85.241,85.686,86.899,87.395,88.478,89.225,90.14,91.162,92.044,91.727,91.911,93.49,94.756,93.921,94.181,95.841,94.632,94.329,95.452,95.698,95.219,95.11,95.196,95.713,95.83,95.523,95.87,96.083,96.332,96.823,96.864,97.28,97.702,97.79,97.854,98.297,98.65,98.654,98.8,98.732,98.397,98.151,98.024,97.574,97.64,97.804,97.837,98.25,98.605,98.561,98.227,98.459,98.217,98.508,98.854,98.49,97.993,98.218,98.279,98.308,98.599,98.665,99.018,98.745,98.805,99.018,99.391,99.814,99.928,100.101,100.157,100.074,100.755,101.516,101.373,101.544,102.033,102.006,102.332,103.089,103.454,104.393,105.029,104.693,104.189,105.16,104.92,103.031,103.206,103.346,104.325,104.584,104.356
"22","14","    Nondurable goods","B691RG3",36.458,35.755,37.954,41.545,38.294,37.708,38.62,37.017,36.614,37.446,37.055,38.12,37.734,40.18,37.98,41.951,38.626,38.79,40.327,45.585,43.073,45.497,46.476,46.754,51.443,52.95,48.453,51.207,54.592,54.532,57.739,55.839,58.025,59.547,58.412,56.223,60.606,61.082,61.387,63.384,67.494,69.438,69.046,69.538,64.563,62.877,69.748,69.608,68.495,66.962,68.276,70.212,71.116,67.437,67.947,66.887,66.271,68.191,69.443,69.533,70.597,70.775,71.388,71.277,71.192,71.321,71.582,71.265,72.074,73.365,73.459,74.906,75.398,76.272,76.891,77.089,79.029,79.207,79.499,80.849,82.041,82.279,82.764,82.737,83.998,84.76,85.64,86.895,87.953,89.326,88.804,89.484,90.707,91.943,92.218,92.623,93.528,93.933,93.888,94.103,94.102,94.055,93.954,94.256,95.036,96.142,96.112,96.256,97.004,97.253,97.389,97.561,97.66,97.412,97.991,98.121,98.292,98.14,97.99,97.968,98.012,97.946,97.869,98.375,98.376,98.04,98.135,97.99,97.396,97.105,97.287,97.374,96.255,96.363,96.731,96.81,97.058,97.019,97.269,97.673,98.283,98.442,99.373,99.101,100.036,100.082,99.779,100.103,100.827,101.455,102.179,102.316,103.742,104.883,105.699,106.577,107.22,108.779,108.254,106.48,107.017,106.433,107.555,108.246,110.251,110.723,111.026,112.727,111.966,113.073
"23","15","  Other","B643RG3",22.676,22.972,23.172,23.91,24.146,24.576,24.558,24.705,25.348,25.262,25.195,25.252,25.709,25.945,26.048,26.846,28.022,29.436,31.162,33.422,35.65,36.828,38.922,40.928,43.165,41.994,42.117,42.84,43.453,43.99,44.265,45.285,45.897,46.457,46.339,46.333,47.245,48.983,49.653,51.084,52.66,55.558,57.314,58.189,59.786,61.063,63.555,65.417,67.484,66.902,67.524,68.181,68.815,68.733,68.199,67.631,67.864,68.627,69.682,70.952,71.652,72.462,71.932,70.875,70.522,70.278,69.74,69.852,69.27,69.508,68.158,69.458,70.243,71.984,71.969,74.333,75.052,77.527,79.447,79.079,80.136,80.35,80.137,80.256,80.677,81.237,82.054,83.2,83.412,83.426,82.851,83.092,83.098,83.71,83.947,83.945,84.435,84.908,85.404,85.328,86.466,87.168,87.974,88.965,90.901,92.199,92.374,92.227,92.196,92.445,91.748,90.688,90.939,90.972,90.889,90.465,89.556,89.066,88.375,87.964,87.843,87.928,88.308,88.851,89.395,90.045,90.123,90.335,90.34,90.001,89.6,88.786,88.611,89.185,90.163,90.485,91.435,91.756,91.875,92.997,94.44,95.87,96.337,97.555,98.856,99.683,100.254,101.207,101.962,103.45,104.977,105.296,106.256,107.873,108.715,110.616,114.452,118.452,120.435,111.003,106.835,107.562,109.052,110.455,112.081,113.611,113.922,117.374,121.31,124.343
"24","16","Exports of services \1\","B646RG3",23.25,23.581,23.89,24.112,23.623,23.971,24.383,24.677,25.309,25.627,25.951,26.115,27.944,28.231,28.503,28.763,28.57,29.292,30.133,30.729,32.061,32.72,33.56,34.1,34.533,35.097,35.638,36.068,36.807,37.206,37.651,38.208,38.597,39.305,39.836,40.577,41.291,42.099,42.899,43.495,43.89,45.034,46.28,47.792,49.552,50.853,51.966,53.152,54.474,55.46,56.312,57.136,57.876,58.917,59.804,60.333,61.192,61.422,61.8,61.798,61.292,61.925,62.421,63.287,63.43,63.704,63.889,64.689,65.335,65.7,66.289,66.703,67.021,67.382,67.831,68.115,68.473,68.833,69.039,69.403,70.105,70.669,70.919,71.438,72.596,73.083,74.835,77.142,77.789,77.598,78.292,78.846,79.308,79.87,80.589,80.751,80.809,81.17,81.193,81.394,81.506,81.856,82.457,82.738,83.159,84.035,84.094,84.2,85.093,85.049,85.608,86.213,85.945,86.38,86.369,86.644,86.168,86.298,86.246,86.428,86.639,87.278,87.546,87.792,89.014,89.704,90.423,90.538,90.594,90.235,90.037,89.301,89.226,90.145,90.602,90.834,91.907,92.015,92.96,93.25,94.212,95.039,95.911,97.231,98.432,99.274,100.674,101.62,102.485,103.606,104.596,104.186,105.499,106.598,107.567,108.921,110.355,111.628,113.464,110.847,108.939,107.878,109.106,110.659,111.615,112.7,112.865,113.494,115.282,116.947
"25","17","  Transfers under U.S. military agency sales contracts","B267RG3",33.363,33.912,34.304,34.542,31.66,32.09,33.115,33.446,34.119,34.879,36.061,36.474,45.497,46.22,46.705,47.044,47.009,47.723,49.22,48.853,49.942,50.322,51.401,51.198,51.976,53.406,54.879,55.336,56.825,57.654,58.503,59.375,60.924,61.446,61.518,62.713,64.184,65.14,65.995,66.162,67.26,68.427,70.088,72.099,72.746,75.25,76.194,78.009,79.361,81.58,83.079,84.069,85.95,88.605,89.605,89.445,89.563,90.046,92.065,91.446,91.644,92.336,92.319,96.169,93.518,91.395,91.476,90.195,87.807,87.008,85.981,83.098,83.876,82.429,80.28,79.993,80.287,79.935,79.089,79.458,80.308,80.445,81.21,80.286,81.83,82.053,84.017,85.455,85.519,85.981,86.381,86.938,86.769,87.483,87.681,88.613,89.064,89.938,90.986,91.412,91.488,94.929,94.701,95.56,95.422,96.466,96.454,98.102,101.397,95.515,95.468,95.76,95.725,95.415,93.858,94.226,93.544,93.684,93.097,91.488,96.937,96.958,96.756,97.086,96.488,95.987,95.708,95.425,94.675,94.554,94.35,92.786,93.327,93.62,94.224,94.779,94.795,95.073,95.322,95.158,95.36,96.211,96.728,97.994,98.882,99.425,100.385,101.308,101.926,102.886,103.797,103.604,104.253,104.846,105.306,105.492,106.288,107.252,108.34,108.323,108.032,108.167,108.389,108.718,109.06,109.504,109.76,109.986,110.502,111.438
"26","18","  Travel","B493RG3",19.686,20.013,20.34,20.585,20.912,21.238,21.402,21.729,21.892,22.137,22.3,22.464,22.627,22.791,23.117,23.362,23.607,24.016,24.424,24.833,25.323,25.976,26.63,27.283,27.773,28.1,28.509,28.999,29.734,30.142,30.632,31.123,31.613,32.266,32.756,33.328,34.145,34.88,35.779,36.514,37.167,38.148,39.128,40.516,41.905,42.967,44.029,45.091,46.316,47.46,48.848,49.584,50.482,51.462,52.443,52.851,53.178,53.75,54.403,55.22,55.955,56.772,57.344,57.671,58.242,59.141,59.958,60.693,60.285,60.775,61.428,62.245,63.225,63.879,64.532,64.614,65.839,66.411,66.493,66.656,67.31,68.045,68.617,69.107,70.087,70.822,72.701,74.008,76.132,76.05,76.458,76.785,77.602,77.684,78.092,78.174,78.256,78.501,78.419,78.827,78.827,78.991,78.746,78.827,78.909,79.889,80.053,80.298,81.033,81.523,82.013,82.258,82.749,83.403,83.73,84.384,84.005,84.244,84.601,85.244,85.223,86.414,87.331,88.115,89.672,90.521,91.307,92.014,91.977,92.088,91.125,89.771,89.888,90.599,90.598,91.322,92.113,91.457,92.677,93.392,94.163,95.196,96.002,97.409,98.145,98.711,100.903,102.33,103.173,104.675,105.578,104.037,105.424,107.654,108.865,110.269,112.006,113.756,116.157,110.013,107.203,106.909,109.029,110.145,110.706,111.172,111.995,112.555,114.94,117.423
"27","19","  Passenger fares","B533RG3",22.566,22.705,22.845,22.891,22.83,22.877,22.877,22.877,24.136,24.879,25.065,25.993,26.123,26.262,26.402,26.587,26.55,26.503,26.55,26.921,27.826,29.217,31.304,33.159,33.686,33.871,33.918,33.454,35.232,35.48,35.777,36.77,34.914,36.704,37.162,37.667,37.597,36.622,36.483,36.112,35.777,35.73,35.73,36.194,37.955,39.857,41.295,42.223,43.303,43.953,44.649,45.345,45.938,46.402,46.402,46.866,46.399,46.399,46.399,46.399,45.964,45.5,44.989,44.525,43.62,43.388,43.388,43.852,44.676,44.768,45.23,46.153,46.575,47.68,48.57,49.528,50.358,51.18,50.912,52.117,52.392,52.475,52.268,52.306,53.117,54.211,56.65,59.703,61.493,61.469,61.473,62.143,62.469,63.25,64.853,63.143,63.228,64.696,65.412,65.049,65.448,65.316,66.451,67.56,68.919,71.416,69.857,69.336,69.49,68.64,70.062,71.299,65.096,67.424,68.05,65.697,65.19,64.989,64.257,67.333,69.382,69.766,70.571,72.39,71.938,72.766,72.568,72.429,73.738,72.562,72.841,72.902,72.407,74.256,78.054,76.299,79.458,83.026,85.665,88.057,91.287,90.697,92.236,96.886,100.619,100.737,101.693,97.088,97.498,100.191,101.708,102.416,104.106,110.067,109.07,113.641,115.78,119.107,125.321,119.675,111.645,100.838,100.555,107.382,115.554,124.098,125.135,123.071,125.827,133.849
"28","20","  Other transportation","B683RG3",25.45,25.76,26.034,26.29,26.083,26.635,27.169,27.674,29.16,28.971,28.786,28.563,27.149,27.647,28.079,28.472,26.969,28.594,30.216,31.841,35.283,35.686,36.063,36.402,36.295,36.916,37.548,38.21,39.204,39.633,40.06,40.452,40.086,40.984,41.852,42.728,43.224,44.274,45.276,46.262,45.533,47.626,49.707,51.786,55.435,56.52,57.608,58.697,60.868,61.211,61.543,61.859,61.166,62.254,63.239,64.158,68.476,67.173,65.853,64.367,59.144,59.946,60.721,61.485,61.027,62.346,63.531,64.646,68.089,67.626,67.228,66.803,65.6,66.529,67.255,67.147,66.173,66.166,66.373,66.747,68.525,69.539,69.734,70.881,72.914,70.704,73.544,81.251,77.7,74.566,75.968,76.289,74.665,75.868,77.269,78.116,77.4,78.158,77.532,77.358,76.448,76.492,78.302,77.796,78.315,79.461,78.708,78.119,79.768,80.519,80.881,82.082,81.858,80.955,80.34,80.956,78.423,78.562,78.393,77.591,75.807,78.344,80.187,81.005,83.531,85.696,88.623,89.968,87.275,86.118,86.408,84.31,82.856,84.67,85.606,86.469,88.524,86.645,87.901,88.027,89.093,89.726,91.298,94.054,94.92,98.091,101.395,105.594,104.492,106.076,106.593,104.387,105.103,105.425,106.337,108.602,111.291,114.604,118.615,116.057,110.627,107.923,108.317,109.579,111.135,112.576,113.971,115.104,117.928,121.771
"29","21","  Royalties and license fees","B684RG3",19.899,20.136,20.412,20.65,20.938,21.265,21.441,21.687,22.093,22.442,22.721,22.966,23.187,23.375,23.597,23.922,24.317,24.776,25.217,25.705,26.357,27.047,27.916,28.599,29.205,29.667,30.222,30.77,31.211,31.587,32.083,32.683,33.332,33.974,34.537,35.198,35.751,36.619,37.319,38.099,38.9,39.837,40.911,41.906,43.083,44.056,45.088,46.298,47.534,48.449,49.257,50.283,50.94,51.356,51.983,52.576,53.028,53.706,54.339,54.726,55.468,56.078,56.533,57.002,57.525,58.047,58.476,59.11,59.473,59.67,60.219,60.679,61.32,61.864,62.427,62.994,63.483,64.202,64.919,65.616,66.413,67.238,67.752,68.364,69.309,70.036,70.912,71.941,72.542,72.945,73.46,73.994,74.602,75.157,75.582,76.053,76.64,77.078,77.349,77.771,78.223,78.653,79.24,79.647,80.219,80.7,81.076,81.482,82.031,82.37,82.858,83.347,83.819,84.009,84.216,84.489,84.531,84.671,84.903,85.151,85.458,85.904,86.302,86.773,87.576,88.056,88.536,89.008,89.578,90.096,90.326,90.442,90.697,91.253,91.635,92.131,93.077,93.208,93.724,94.168,95.154,96.13,96.783,97.652,98.548,99.301,100.574,101.556,102.271,103.177,103.918,104.066,105.185,106.009,106.543,107.534,108.601,109.803,110.903,109.597,109.076,109.259,109.658,110.209,110.8,110.816,110.985,111.516,112.589,113.48
"30","22","  Other private services","B720RG3",27.048,27.406,27.796,28.122,28.534,28.963,29.19,29.535,30.075,30.56,30.951,31.302,31.602,31.788,32.03,32.349,32.712,33.167,33.588,34.039,34.651,35.371,36.295,37.025,37.683,38.129,38.703,39.285,39.763,40.293,40.803,41.416,42.072,42.782,43.28,44.001,44.494,45.383,46.079,46.168,46.549,47.39,48.38,50.171,51.39,52.571,53.828,54.946,55.872,56.781,57.214,58.403,59.354,60.217,61.413,62.288,62.983,63.824,64.589,65.186,65.997,66.663,67.123,67.884,68.688,69.455,70.069,70.793,70.857,71.453,72.442,73.255,74.193,74.935,75.383,75.578,75.62,75.833,76.17,76.592,76.795,77.304,77.727,78.461,79.473,80.278,81.325,82.459,83.291,83.881,84.554,85.192,85.717,86.221,86.746,87.421,88.053,88.212,88.298,88.674,88.947,89.281,89.776,90.13,90.595,91.088,91.917,91.994,92.701,93.063,93.361,93.836,94.207,94.4,94.304,94.605,94.536,94.478,94.233,93.822,93.375,93.24,92.338,91.585,92.759,93.018,93.627,92.814,93.201,92.501,92.581,92.22,92.174,92.779,92.737,92.633,93.433,93.896,94.683,94.586,95.398,96.328,97.015,97.698,99.051,99.557,100.349,101.042,102.634,103.324,104.572,104.483,106.152,106.432,107.618,108.67,109.876,110.133,111.327,109.651,108.777,108.085,109.644,111.012,111.163,111.837,111.588,112.581,114.13,115.055
"31","23","  Other","B980RG3",23.662,24.095,24.618,24.926,25.008,25.223,25.446,25.53,25.916,26.149,26.264,26.47,27.036,27.159,27.161,27.098,26.929,27.439,28.046,28.928,30.354,31.481,32.709,33.451,33.956,34.086,34.075,33.928,33.829,33.637,33.484,33.863,34.152,34.685,35.378,36.059,36.969,37.972,38.94,39.973,40.87,42.003,43.191,44.465,46.091,47.528,48.866,50.085,50.997,51.875,52.736,53.714,55.427,56.167,56.755,56.824,55.607,55.511,55.293,55.159,55.632,56.118,57.153,58.51,59.836,57.928,54.364,56.455,58.216,60.238,62.496,64.452,62.922,61.276,62.69,63.896,64.557,64.946,66.159,65.129,65.41,64.836,62.636,62.626,63.27,66.212,66.844,67.106,67.872,68.628,70.955,72.33,75.554,76.545,77.36,76.52,74.289,72.709,71.598,71.065,71.779,71.697,74.032,74.328,74.43,73.685,73.404,73.218,73.9,73.342,75.048,76.395,78.067,79.036,78.917,81.387,81.403,82.647,82.982,82.436,82.992,83.333,84.208,84.077,86.858,88.019,87.384,88.139,88.852,88.986,87.383,86.5,87.805,90.956,92.126,93.228,93.888,94.204,94.469,93.806,94.735,95.338,97.008,97.947,99.265,100.447,100.055,100.233,100.053,101.712,101.532,104.136,102.275,104.374,106.739,107.9,109.653,114.376,113.727,115.689,113.099,113.993,115.37,122.103,127.167,132.491,129.618,129.271,132.913,129.074
"32","24","    Imports of goods and services","B021RG3",21.975,22.07,22.23,22.803,23.044,23.308,23.878,24.118,24.725,24.811,25.115,25.49,25.922,26.593,27.021,27.62,28.432,30.671,32.132,34.548,40.027,44.616,46.905,48.406,49.168,49.296,48.198,48.272,49.061,49.812,50.706,51.225,53.022,54.49,55.211,55.775,56.709,58.083,59.05,60.085,62.431,65.677,70.576,75.248,81.523,84.478,86.846,88.357,90.621,91.165,88.786,88.973,88.708,87.151,86.112,85.451,83.654,83.655,83.814,83.279,83.528,83.992,82.501,81.493,79.544,79.888,79.818,81.376,81.527,79.002,79.549,80.538,82.616,84.783,85.649,86.984,88.216,89.783,88.789,89.509,90.94,91.94,90.367,90.836,92.241,90.614,93.244,98.421,95.408,92.781,91.389,91.815,92.25,92.613,93.791,93.035,92.471,92.792,91.971,91.605,91.56,92.425,93.978,94.336,95.117,96.484,95.88,95.018,94.814,94.321,93.367,93.327,92.615,90.686,90.089,89.376,87.17,86.109,84.998,84.959,84.73,85.743,86.777,87.994,89.605,89.586,90.218,90.698,90.289,88.573,87.189,85.245,85.073,86.905,87.429,87.976,90.473,89.181,89.602,90.145,92.152,93.436,94.4,96.667,97.475,98.832,100.861,102.832,103.235,104.307,105.104,103.88,104.558,106.234,108.008,112.339,116.791,122.49,125.623,112.045,102.793,104.443,108.027,111.019,113.252,112.61,111.994,114.271,119.37,123.005
"33","25","Imports of goods \1\","B255RG3",22.364,22.451,22.579,23.341,23.61,23.847,24.581,24.863,25.305,25.24,25.514,25.808,26.454,27.262,27.687,28.269,29.132,31.488,32.924,35.725,42.332,47.957,50.737,52.413,53.291,53.238,51.621,51.495,52.496,53.451,54.406,54.896,57.012,58.692,59.402,59.862,60.899,62.364,63.153,64.225,66.939,70.634,76.299,81.678,88.863,92.385,94.94,96.749,99.596,100.189,96.983,96.931,96.496,94.72,93.696,92.885,90.565,90.587,90.768,90.085,90.324,90.937,89.587,88.665,86.338,86.313,85.63,87.085,86.492,83.016,83.47,84.653,87.653,90.264,91.115,92.676,93.749,95.574,94.389,95.227,97.326,98.68,96.607,96.929,98.224,95.762,98.484,104.227,100.259,97.448,95.546,95.944,96.274,96.553,97.442,96.798,96.123,96.315,95.43,94.874,94.785,95.821,97.322,97.604,98.798,99.891,99.073,98.047,97.685,96.969,95.664,95.457,94.699,92.338,91.79,91.013,88.728,87.275,85.898,85.6,85.341,86.296,87.371,88.785,90.659,90.739,91.417,92.007,91.454,89.483,87.749,85.542,85.271,87.139,87.468,88.139,90.772,88.671,89.042,89.677,91.855,93.174,94.058,96.492,97.298,98.671,100.835,103.197,103.391,104.406,105.216,103.756,104.427,106.095,107.889,112.754,117.816,123.986,127.444,111.77,100.959,103.032,107.188,110.403,113.051,112.219,111.378,113.78,119.647,123.623
"34","26","  Foods, feeds, and beverages","B647RG3",25.833,25.996,26.076,27.258,28.118,28.899,29.288,29.283,29.122,28.883,28.881,29.038,29.352,30.622,31.585,32.633,33.93,36.866,39.212,42.148,42.427,45.466,49.364,53.337,53.483,51.924,46.067,45.128,48.039,50.818,53.365,54.633,60.399,67.211,63.609,61.786,64.347,64.051,63.18,63.486,67.016,67.951,71.496,76.631,80.693,82.677,85.536,86.02,85.864,83.18,78.899,73.822,75.475,74.283,73.003,74.515,72.614,73.518,74.362,74.528,75.182,76.953,76.741,73.842,72.75,71.62,69.747,75.635,80.27,76.867,80.005,78.655,75.897,77.72,78.663,81.296,82.154,82.033,81.499,82.425,83.202,81.937,78.271,77.024,82.028,80.723,81.754,82.819,84.71,85.629,84.898,84.946,87.802,84.08,83.492,84.121,82.603,83.622,85.593,86.878,86.869,89.435,94.819,96.775,97.464,96.033,96.499,94.774,92.869,95.98,93.598,94.177,94.641,96.126,95.065,94.168,92.781,92.719,91.039,91.404,89.713,89.444,88.084,88.585,88.671,88.184,87.569,86.768,86.823,85.115,84.219,84.495,84.215,85.482,86.592,88.432,89.569,89.536,89.933,90.454,92.3,94.311,94.522,97.148,98.621,100.242,99.653,101.485,102.318,102.409,104.285,106.042,108.04,110.147,112.782,115.748,119.414,124.804,127.386,121.721,119.088,119.325,118.895,121.335,125.294,128.863,130.624,137.904,146.162,152.641
"35","27","  Industrial supplies and materials, except petroleum and products","B649RG3",19.84,19.841,19.829,20.405,20.529,20.658,20.981,20.845,20.903,20.91,21.197,21.52,21.906,22.537,22.942,23.252,24.287,26.153,27.657,30.049,33.472,38.274,41.356,43.2,43.239,41.723,39.48,37.418,38.485,39.888,40.703,41.558,42.999,43.744,44.008,44.498,45.494,46.481,47.545,48.679,51.626,54.353,56.737,61.574,65.984,67.452,68.238,68.595,68.965,69.024,68.112,67.581,68.118,66.72,64.753,63.638,62.921,62.675,62.789,61.133,62.069,62.583,61.422,60.6,58.407,58.238,58.039,57.304,57.795,57.921,58.47,58.149,59.28,61.123,62.95,64.872,67.694,71.319,71.881,73.901,75.664,75.814,74.457,73.517,72.914,73.026,73.225,73.512,73.987,72.717,71.141,70.685,71.212,71.293,71.656,71.746,71.339,71.241,70.452,70.619,71.261,71.854,73.281,75.756,77.893,79.333,80.351,80.311,79.283,78.303,77.686,78.101,79.078,77.732,78.188,78.027,76.017,75.138,73.684,72.729,72.563,72.932,74.657,75.798,77.575,79.87,82.205,84.763,87.235,82.708,77.367,73.715,72.858,75.258,75.642,76.727,81.819,80.566,81.138,81.965,86.459,90.215,92.002,94.354,96.358,97.596,99,107.045,103.782,103.815,106.043,106.53,108.238,111.052,110.179,114.251,122.194,133.416,136.513,121.282,106.695,101.25,101.86,108.665,115.645,115.898,114.35,118.005,125.869,128.9
"36","28","    Durable goods","B820RG3",19.283,19.284,19.265,19.825,19.913,20.049,20.351,20.244,20.303,20.317,20.593,20.921,21.311,21.958,22.396,22.694,23.726,25.666,27.128,29.376,32.893,37.59,40.554,42.411,42.484,41.01,38.806,36.707,37.711,39.049,39.784,40.65,42.069,42.845,43.098,43.637,44.618,45.577,46.661,47.776,50.691,53.346,55.71,60.491,64.983,66.404,67.12,67.461,67.914,67.955,67.027,66.513,67.072,65.661,63.76,62.676,61.888,61.633,61.732,60.096,61.065,61.605,60.464,59.583,57.416,57.89,57.61,57.294,58.242,58.847,59.961,59.657,60.8,62.889,65.387,67.264,70.422,76.374,77.063,80.264,81.942,81.791,79.753,77.914,76.052,77.079,77.709,76.942,76.122,75.359,74.044,73.299,74.174,75.061,75.444,74.512,75.454,75.226,74.022,74.748,75.72,76.458,77.626,80.273,82.477,83.056,84.52,84,82.287,82.591,82.272,82.15,83.285,84.165,84.477,83.307,81.704,80.791,79.254,77.711,78.372,79.337,81.114,81.216,84.285,85.037,85.045,83.847,83.554,83.217,81.444,77.987,77.455,78.785,79.17,78.911,78.73,78.625,81.412,83.518,88.327,95.127,97.55,98.209,100.428,100.313,98.854,100.405,103.196,108.979,112.889,113.5,113.875,118.036,119.904,120.418,124.13,136.224,139.574,121.576,106.956,104.945,111.498,117.002,122.477,127.104,124.122,129.297,136.841,140.178
"37","29","    Nondurable goods","B696RG3",20.636,20.636,20.637,21.237,21.417,21.536,21.893,21.709,21.763,21.76,22.064,22.373,22.748,23.348,23.695,24.024,25.052,26.766,28.333,30.959,34.181,39.119,42.382,44.188,44.171,42.599,40.307,38.305,39.461,40.955,41.882,42.722,44.19,44.884,45.164,45.574,46.588,47.611,48.64,49.796,52.772,55.595,58,62.897,67.168,68.696,69.573,69.949,70.212,70.296,69.402,68.848,69.355,67.962,65.924,64.78,64.134,63.895,64.023,62.346,63.247,63.733,62.548,61.787,59.56,58.684,58.571,57.386,57.384,56.975,56.906,56.568,57.693,59.289,60.449,62.402,64.875,66.263,66.709,67.641,69.497,69.926,69.193,69.061,69.566,68.876,68.688,69.884,71.457,69.765,67.99,67.776,68.019,67.432,67.78,68.7,67.191,67.201,66.765,66.444,66.793,67.254,68.909,71.208,73.262,75.489,76.106,76.492,76.095,73.95,73.061,73.969,74.787,71.418,71.998,72.758,70.372,69.526,68.155,67.796,66.794,66.582,68.27,70.428,70.963,74.799,79.346,85.426,90.455,82,73.354,69.511,68.327,71.755,72.113,74.456,84.65,82.254,80.761,80.336,84.47,85.151,86.226,90.315,91.984,94.693,99.206,114.117,104.443,98.028,98.522,98.93,102.018,103.356,99.808,107.343,119.548,129.865,132.655,120.106,105.484,96.948,92.655,100.409,108.629,105.157,104.864,107.219,115.304,118.046
"38","30","  Petroleum and products","B648RG3",4.985,4.985,4.911,4.911,4.985,4.985,5.059,5.206,5.317,5.465,5.612,5.612,5.612,5.76,5.76,5.871,6.093,6.425,7.126,9.342,19.865,25.256,25.33,25.072,24.998,24.776,24.555,25.109,26.032,26.216,26.364,26.844,28.026,28.654,28.653,28.875,28.65,28.506,28.469,28.582,30.02,35.115,45.125,50.809,60.299,65.909,67.235,69.346,74.548,76.981,71.894,70.081,69.235,66.093,67.61,66.867,59.823,60.115,61.661,60.744,60.746,61.409,60.264,59.669,57.748,58.302,55.605,56.644,46.562,28.506,24.702,27.509,33.862,37.511,38.954,36.888,32.677,32.57,30.535,27.732,33.21,39.397,36.048,37.991,41.871,34.197,42.919,61.988,43.434,36.763,34.099,34.055,32.779,36.326,37.36,34.514,35.391,34.86,30.785,27.704,27.105,29.525,32.625,30.347,33.816,35.24,32.358,32.004,35.964,39.307,39.856,44.234,44.293,36.533,35.544,34.948,29.207,25.612,23.129,22.511,21.889,30.002,36.895,44.326,54.78,53.195,55.877,58.826,53.603,48.88,45.821,37.675,38.69,48.329,49.747,53.423,65.072,53.074,54.701,57.685,64.906,69.044,73.137,84.822,85.474,92.384,107.122,114.545,119.385,126.611,127.726,115.223,117.144,125.929,137.455,166.046,190.15,215.92,235.527,142.44,88.991,107.05,133.609,148.793,160.89,153.311,148.526,161.342,194.636,217.223
"39","31","  Capital goods, except automotive","B650RG3",105.492,105.272,105.038,104.992,106.729,109.911,126.147,127.019,135.758,128.123,129.333,123.549,129.582,133.49,143.018,146.043,149.483,161.196,156.025,158.19,160.181,171.448,180.191,185.038,175.2,197.583,193.674,192.565,188.319,191.652,192.509,184.868,193.801,195.543,214.135,204.385,201.942,221.514,224.053,215.756,223.575,226.674,220.642,228.925,237.118,245.723,246.833,250.521,252.142,245.703,238.94,241.373,238.733,236.305,230.05,225.45,224.732,220.988,215.82,213.593,211.033,205.644,199.139,192.496,183.355,181.129,181.35,182.258,184.781,187.361,190.54,190.733,193.521,195.762,192.526,198.47,203.284,205.989,200.76,202.726,201.812,199.721,196.01,191.896,189.844,188.539,188.921,189.991,190.055,184.957,179.447,178.599,178.368,175.294,176.048,174.634,172.204,171.546,171.699,170.418,169.363,169.301,168.88,168.066,167.13,167.702,164.605,159.594,154.163,146.909,140.787,134.777,130.762,128.541,126.771,124.035,120.878,118.544,116.62,115.928,115.341,113.16,111.494,111.218,110.905,110.565,110.126,109.253,108.719,107.521,106.324,105.191,104.072,103.729,103.404,102.559,102.32,102.225,102.124,101.488,101.436,100.778,100.399,100.234,100.407,100.582,99.776,99.235,99.156,99.066,99.25,99.339,99.094,98.7,98.831,98.543,98.46,99.616,99.791,98.934,97.816,97.224,97.219,97.108,96.876,96.686,96.632,96.712,96.905,97.267
