"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140"
"26","18","      Beverage and tobacco product manufacturing","PK3123",79.888,79.825,80.219,80.86,81.13,81.108,81.189,81.065,81.723,81.798,81.738,82.057,82.177,82.634,82.746,83.731,84.493,84.617,84.672,85.431,85.728,85.923,86.142,93.874,93.706,94.115,94.06,94.124,94.293,94.331,94.787,94.843,98.076,98.201,98.233,98.488,96.992,99.432,99.372,98.807,99.706,99.739,99.812,100.987,101.132,101.275,101.198,101.534,104.243,104.453,104.666,104.472,106.764,106.874,106.975,107.039,107.107,107.38,108.194,108.265,107.505,107.693,107.547,109.261,109.397,109.595,109.681,109.761,110.174,109.785,110.393,107.886,107.425,107.089,107.574,107.259,107.478,107.553,107.756,107.674,107.752,108.566,108.369,108.859,109.77,109.615,109.086,110.061,108.853,109.918,109.677,110.141,109.853,110.338,110.16,110.563,112.645,112.585,112.878,113.183,113.483,113.765,114.15,114.402,114.714,114.571,114.757,114.717,114.55,115.012,115.486,115.236,115.386,115.872,115.53,114.731,115.304,115.138,115.783,116.241,116.282,117.53,117.205,118.056,118.155,118.395,118.819,119.35,119.809,120.579,120.433,120.599,121.188,121.922,122.066,122.54,123.977
"27","19","      Textile mills","PK3133",103.958,104.07,103.98,103.979,104.098,104.126,104.068,104.013,104.131,104.202,104.023,104.308,104.154,104.276,104.116,104.143,104.06,103.84,103.521,103.477,103.117,102.485,102.316,102.234,101.693,101.356,101.342,100.977,100.714,100.313,100.155,100.253,100.067,100.177,99.898,99.737,100.117,100.061,99.956,100.138,100.016,99.673,99.982,100.087,99.985,99.753,100.126,100.114,100.224,100.332,100.325,100.308,99.893,99.954,99.273,99.084,98.969,98.613,98.417,98.408,98.1,97.904,97.938,97.792,97.759,97.816,97.757,97.512,97.63,97.484,97.432,97.705,97.074,96.942,96.813,97.024,97.484,97.062,97.21,97.495,97.253,97.479,97.622,97.523,97.977,98.061,97.886,98.572,99.147,99.544,99.612,99.262,99.373,99.644,99.682,99.517,100.403,100.412,100.547,100.899,101.349,101.368,101.581,101.595,102.139,102.643,102.723,102.969,103.525,103.937,103.897,103.902,104.452,104.46,104.648,104.702,104.526,104.835,104.978,104.483,104.708,105.1,105.261,104.733,104.718,104.937,106.122,106.359,106.37,106.514,106.788,107.083,107.641,107.829,107.808,108.475,109.236
"28","20","      Textile product mills","PK3143",98.79,98.633,99.093,98.173,98.367,98.483,98.899,98.839,98.952,99.096,99.536,99.557,99.485,99.504,99.548,99.499,99.535,99.638,99.428,99.431,99.305,99.226,99.449,99.292,98.847,98.652,98.974,98.81,98.793,99.342,99.016,99.014,99.185,99.285,99.303,99.169,98.875,99.25,99.733,99.737,99.846,100.479,100.166,100.446,100.054,100.44,100.278,100.865,101.235,101.514,100.888,101.491,101.288,101.197,101.773,101.256,100.749,101.533,101.261,101.05,101.515,101.144,100.94,101.24,100.888,101.321,101.601,101.608,101.16,101.069,101.418,100.845,101.03,100.981,101.232,101.465,101.659,102.505,102.471,102.462,102.245,102.578,103.58,102.266,102.206,102.268,101.386,102.465,103.436,104.124,104.444,104.987,104.919,105.341,106.422,106.317,106.047,106.306,107.303,107.595,107.595,107.733,107.851,107.844,108.12,108.303,109.612,109.393,110.286,110.66,110.338,110.177,109.763,109.938,110.09,111.177,111.812,111.656,111.624,111.469,111.863,111.912,111.59,111.59,112.196,112.23,112.708,112.675,112.831,112.983,113.046,113.092,113.07,113.491,113.794,113.834,113.932
"29","21","      Apparel manufacturing","PK3153",98.645,98.699,98.812,98.531,98.866,98.954,98.99,99.109,99.146,98.924,99.215,99.212,99.414,99.392,99.372,99.521,99.597,99.664,99.731,99.653,99.857,99.977,99.768,99.779,99.908,99.722,99.827,99.811,99.948,99.521,99.399,99.882,99.907,99.835,99.798,99.975,99.845,99.903,99.965,99.947,99.867,99.898,100.133,100.082,100.106,100.128,100.057,100.089,100.093,100.089,99.878,99.833,99.813,99.684,99.683,99.74,99.666,99.601,99.564,99.235,99.219,99.09,98.89,98.731,98.842,99.041,98.927,98.935,98.955,99.063,99.096,99.239,98.776,98.767,98.924,98.732,98.452,98.337,98.173,98.639,98.788,98.792,98.756,98.712,98.636,98.425,98.48,98.548,98.698,98.417,98.337,98.397,98.855,99.016,99.181,99.127,98.924,98.715,98.362,98.231,98.349,98.519,98.441,98.517,98.844,98.47,98.373,98.338,98.556,98.753,98.75,98.748,98.77,98.705,98.68,99.005,98.957,99.17,99.064,99.125,99.551,99.68,99.557,99.596,99.51,99.377,99.474,99.488,99.517,99.671,99.715,99.694,99.818,99.823,100.149,100.26,100.233
"30","22","      Leather and allied product manufacturing","PK3163",99.465,99.775,99.642,99.878,99.25,98.761,98.969,98.847,98.909,99.596,100.072,99.563,99.334,99.192,99.209,98.847,98.98,98.964,99.199,98.936,99.014,98.879,98.476,98.679,97.964,98.184,98.135,98.19,98.05,98.44,98.589,98.648,98.812,99.042,99.072,99.103,99.455,99.589,99.514,99.674,99.403,99.289,99.528,99.875,100.497,100.499,101.129,101.466,101.578,102.459,102.798,104.088,104.517,103.811,103.805,104.068,103.166,102.824,102.4,101.879,102.365,101.945,101.983,102.075,102.509,102.96,103.364,104.139,104.035,103.878,104.235,104.395,104.365,104.461,104.505,104.9,104.343,104.687,104.855,104.721,105.215,105.466,105.689,105.642,105.725,105.929,105.994,105.686,105.591,105.678,105.887,105.722,105.646,105.602,105.841,105.926,105.907,106.049,106.112,106.069,106.102,106.238,106.429,106.275,106.23,106.376,106.418,106.376,106.452,106.86,107.184,107.685,107.82,107.748,107.875,108.076,108.121,108.41,108.543,108.712,109.463,109.488,109.924,110.209,110.157,109.966,109.981,110.458,110.453,110.841,110.952,111.281,112.047,112.325,112.481,112.432,112.408
"31","23","      Paper manufacturing","PK3223",92.163,91.457,90.749,90.079,90.225,90.453,90.55,91.201,92.09,92.421,93.293,94.297,94.662,94.716,94.621,94.243,94.275,94.056,93.921,93.509,92.841,92.153,91.662,91.397,91.078,90.9,91.44,91.911,92.332,92.93,93.164,93.758,94.684,95.615,95.82,95.945,96.478,96.891,98.3,99.77,100.904,101.193,100.955,100.933,101.195,101.331,101.284,101.173,101.039,101.081,101.007,101.114,100.726,100.699,100.301,99.504,99.478,99.18,98.777,98.944,98.455,97.966,97.649,97.918,97.31,97.503,97.501,97.944,98.411,98.874,99.201,99.117,99.073,99.045,98.9,98.877,99.044,98.927,98.624,98.695,98.601,98.345,98.459,98.478,97.808,97.895,97.965,98.572,99.428,100.607,101.401,102.551,103.183,103.722,103.953,104.237,104.541,104.899,105.423,105.559,105.655,105.673,105.508,105.212,105.097,105.166,106.073,106.353,106.982,108.46,109.301,109.278,110.388,111.465,111.649,112.088,112.596,112.716,112.436,112.77,113.018,113.023,112.893,113.055,112.954,113.177,113.415,113.756,114.351,115.334,115.936,116.177,116.837,117.463,117.871,118.448,118.608
"32","24","      Printing and related support activities","PK3233",95.061,95.053,94.985,95.178,95.149,95.244,95.498,95.664,95.68,96.615,96.752,96.768,96.951,96.99,97.211,97.485,97.398,97.234,97.435,97.483,97.558,97.673,97.626,97.569,97.185,97.2,97.427,97.495,97.536,97.56,97.641,97.797,97.753,98.062,98.164,98.263,98.383,98.553,99.058,99.537,99.634,100.32,100.494,100.595,100.657,100.954,100.847,101.01,101.014,101.181,101.338,101.793,101.574,101.557,101.63,101.357,101.418,101.36,101.294,101.035,101.221,101.222,100.899,101.043,101.021,101.148,101.233,101.057,101.015,101.004,101.014,101.076,100.992,101.285,101.287,101.353,101.415,101.414,101.21,101.356,101.375,101.301,101.293,101.174,101.266,101.261,101.472,101.911,101.887,101.998,102.382,102.365,102.861,102.958,103.182,103.211,103.629,103.48,103.609,103.63,103.681,103.85,104.275,104.434,104.693,104.837,104.866,105.073,105.726,106.076,106.297,106.426,106.506,106.694,106.767,107.037,107.146,107.556,107.561,107.538,107.518,107.283,107.493,107.584,107.622,107.635,107.953,108.177,108.373,108.578,108.736,109.001,109.337,109.672,109.671,110.797,110.821
"33","25","      Petroleum and coal product manufacturing","PK3243",84.16,83.706,80.832,76.638,73.067,72.962,71.653,74.926,73.838,73.493,72.759,72.382,67.387,64.5,61.308,60.972,60.148,59.166,59.165,55.676,54.618,56.74,55.491,52.143,54.166,51.931,56.048,66.311,64.301,63.897,69.729,74.267,75.693,74.561,78.856,86.662,88.126,96.623,103.572,94.417,91.934,102.074,101.141,97.441,104.018,104.154,108.664,108.861,104.876,103.417,98.309,102.169,103.34,99.381,88.647,89.988,96.464,81.134,77.328,72.246,72.774,72.959,79.914,87.825,82.805,85.395,89.173,89.58,93.693,101.043,98.31,100.609,108.416,128.269,129.642,101.956,94.158,101.539,104.571,108.494,103.802,103.007,107.925,114.401,125.786,124.441,121.431,121.987,128.569,124.641,131.961,132.901,136.524,149.987,160.75,147.236,149.781,157.321,164.931,163.616,154.032,164.35,175.635,188.255,210.443,218.276,193.063,205.039,208.182,199.24,201.211,215.639,217.609,232.847,227.858,234.099,198.781,178.299,196.104,211.282,195.958,206.197,214.312,224.753,229.38,232.604,239.291,224.999,234.735,222.774,283.368,281.321,283.118,288.579,300.794,297.116,316.288
"34","26","      Chemical manufacturing","PK3253",94.232,94.171,94.11,94.024,94.055,94.068,94.166,94.29,94.316,94.321,94.36,94.464,94.32,94.097,95.186,95.283,95.148,95.099,95.067,94.887,94.603,94.423,94.386,94.355,94.087,93.857,93.786,93.818,94.221,94.764,95.336,95.508,96.237,97.416,97.667,97.769,98.175,98.69,99.007,99.096,99.592,99.806,100.432,100.499,100.995,101.177,101.023,101.456,102.349,102.976,102.789,102.618,101.818,101.708,100.441,99.682,99.973,99.388,99.34,98.75,98.41,98.334,98.809,99.015,99.38,99.837,100.863,100.988,101.059,101.621,101.885,101.616,102.358,103.235,104.955,105.852,105.544,105.18,104.956,104.795,105.036,105.206,105.143,105.463,106.271,106.758,107.373,108.267,108.67,109.924,111.032,112.143,113.722,114.748,115.539,116.758,117.766,118.139,119.114,119.834,119.737,119.313,119.884,119.898,120.806,123.268,125.144,125.294,126.335,126.71,126.769,125.77,126.458,126.579,126.943,127.549,127.746,127.904,127.73,128.155,128.623,128.85,129.604,129.481,130.022,130.962,131.669,132.244,132.106,133.59,135.195,135.886,138.154,139.491,140.081,142.588,145.025
"35","27","      Plastics and rubber product manufacturing","PK3263",98.494,98.508,98.367,98.589,98.62,98.557,98.585,98.563,98.379,98.312,98.365,98.325,98.287,98.327,98.274,98.162,97.995,97.849,97.678,97.524,97.43,97.326,97.282,97.393,97.296,97.295,97.281,97.575,97.534,97.854,97.998,98.33,98.414,98.698,99.031,99.146,99.27,99.33,99.362,99.577,99.378,99.864,100.379,100.112,100.276,100.282,101.097,101.213,101.094,100.911,101.294,101.271,101.383,101.316,101.212,100.786,100.561,100.55,100.607,100.393,100.218,99.896,100.046,100.269,100.501,100.972,100.733,101.003,101.35,101.371,100.941,101.015,101.344,102.28,103.016,103.736,103.787,103.581,103.489,103.653,103.325,103.33,103.363,103.461,103.576,103.977,104.123,104.326,104.637,105.091,105.481,105.709,106.797,107.469,108.214,108.924,109.941,110.569,111.371,111.638,111.792,112.181,112.438,112.223,113.474,114.874,116.719,117.565,118.353,118.343,118.179,118.15,117.96,118.166,118.648,118.974,119.223,119.43,119.222,119.067,118.584,118.342,118.325,118.272,118.481,118.851,119.387,119.931,120.025,120.385,120.674,121.397,122.547,122.907,123.789,123.79,125.42
"36","28","  Merchant wholesale industries","PK42W3",103.737,103.489,103.664,103.021,102.586,101.994,101.531,101.82,101.536,101.579,101.202,100.971,99.823,99.477,99.128,98.665,98.308,97.734,97.629,96.416,96.023,96.299,95.986,95.485,95.706,95.139,95.512,96.211,96.26,96.312,96.404,97.145,97.511,97.428,97.879,98.591,98.788,99.832,100.503,99.707,100.04,100.295,99.929,99.335,100.138,100.336,100.684,100.398,100.356,99.962,99.604,99.545,99.658,99.185,98.3,98.386,98.579,96.888,96.443,96.114,96.203,96.43,97.308,97.33,97.223,97.22,97.948,98.438,98.85,99.416,98.83,98.962,100.137,101.685,102.06,100.027,99.506,99.744,99.781,100.343,100.481,101.258,101.858,102.888,103.634,103.979,104.74,105.458,106.015,105.44,106.268,106.587,106.916,108.474,108.74,108.19,108.452,108.771,110.057,110.138,109.573,110.094,111.05,111.635,113.297,113.446,112.712,113.712,113.833,113.25,113.692,115.543,116.806,118.004,118.365,118.234,116.109,115.178,116.776,117.878,117.232,119.054,120.102,120.839,121.536,122.149,122.611,121.263,122.932,123.318,127.497,128.628,130.648,131.712,134.448,135.208,137.341
"37","29","    Durable goods merchant wholesale industries","PK42WD3",110.228,110.067,110.055,109.788,109.218,109.056,108.712,108.501,108.12,107.8,107.556,107.251,106.521,106.017,105.658,105.099,104.629,104.115,103.728,102.913,102.611,102.196,101.892,101.504,101.093,101.013,100.717,100.515,100.456,100.425,100.423,100.332,100.282,100.444,100.615,100.715,100.777,100.655,100.596,100.54,100.378,100.23,100.158,99.603,99.579,99.408,99.149,98.961,98.283,97.872,97.672,97.551,97.481,97.377,97.155,96.797,96.727,96.196,96.017,95.822,95.715,95.754,95.762,95.74,95.769,95.968,95.817,95.654,95.794,95.852,95.649,95.517,95.616,95.642,95.852,95.507,95.51,95.456,95.414,95.521,95.834,96.141,96.479,96.716,97.269,97.937,98.507,98.837,98.845,98.882,99.795,100.565,100.767,101.192,101.442,101.477,101.48,101.385,101.35,101.547,101.031,100.515,100.455,100.874,101.534,101.125,101.325,101.647,102.046,102.394,102.631,103.232,104.558,104.874,104.745,104.782,105.042,104.543,104.548,104.769,104.932,105.308,106.063,106.32,106.068,106.311,106.295,106.356,106.265,106.536,106.808,106.993,107.565,108.198,109.447,110.666,111.518
"38","30","      Motor vehicles, parts, and supplies wholesalers","PK42113",100.871,100.697,100.762,100.535,100.056,100.121,99.36,99.57,99.702,99.325,99.001,98.738,98.759,98.875,98.899,98.761,98.476,98.257,98.819,98.73,99.019,99.436,99.642,99.385,99.067,99.14,98.879,99.148,99.425,99.273,99.196,99.358,99.568,100.325,99.945,99.912,99.762,99.563,99.673,99.672,100.289,99.928,100.055,99.911,100.283,99.916,100.385,100.575,100.433,99.294,99.614,100.07,99.429,99.462,100.219,100.044,100.44,98.557,98.662,99.063,98.521,98.907,98.52,98.402,98.212,98.446,97.635,97.302,97.715,97.859,97.3,96.891,97.209,97.49,99.022,97.115,97.196,96.858,97.008,97.197,96.698,97.441,97.22,96.78,96.763,96.858,97.209,97.058,97.397,97.672,97.081,97.258,97.657,98.278,98.225,98.47,98.804,98.137,98.028,98.357,98.852,98.658,99.485,99.492,100.077,97.343,96.837,96.574,96.83,97.284,97.37,97.526,97.663,97.685,95.535,96.618,97.209,94.83,97.679,97.427,96.974,96.853,96.76,96.751,96.844,97.298,97.968,97.919,97.424,97.275,97.875,97.616,97.908,98.002,97.833,98.254,97.887
"39","31","      Furniture and home furnishings wholesalers","PK42123",97.626,97.679,97.771,97.423,97.675,97.671,98.027,97.977,98.042,98.131,98.254,98.283,98.282,98.411,98.503,98.407,98.631,98.473,98.305,98.353,98.297,98.437,98.548,98.567,98.373,98.258,98.511,98.426,98.527,98.837,98.727,98.82,98.846,99.046,99.082,99.045,99.129,99.397,99.621,99.707,99.707,100.045,99.986,100.404,100.231,100.527,100.462,100.758,100.642,100.901,100.591,101.002,100.819,100.664,100.951,100.617,100.485,100.917,100.779,100.729,101.068,100.934,100.828,100.93,100.719,101.074,101.429,101.458,101.611,101.642,101.877,101.488,101.634,101.656,101.783,102.035,102.167,102.615,102.628,102.634,102.353,102.582,103.175,102.442,102.373,102.599,102.221,102.847,103.453,103.914,104.248,104.874,104.846,105.217,106.276,106.478,106.489,106.777,107.435,107.745,108.005,108.189,108.555,108.517,108.751,108.987,109.863,109.923,110.745,110.97,110.986,110.95,110.827,111.068,111.443,112.002,112.5,112.57,112.56,112.477,113.28,113.648,113.52,113.661,114.073,114.111,114.272,114.289,114.513,114.706,115.037,115.044,115.195,115.713,116.088,116.906,117.069
"40","32","      Lumber and other construction materials wholesalers","PK42133",99.915,101.158,101.426,102.228,102.933,101.798,102.042,101.572,100.592,99.213,99.501,99.312,98.67,99.012,99.135,99.161,98.237,96.708,97.513,97.92,96.934,96.376,96.077,96.753,97.703,98.843,99.898,99.984,100.817,102.378,104.533,103.28,101.793,100.333,100.767,101.27,101.842,101.821,102.19,101.848,100.583,100.423,99.698,98.857,98.153,98.369,98.071,98.132,97.65,98.051,98.464,98.83,101.558,102.799,100.962,100.825,100.15,98.787,98.218,97.622,98.596,99.321,100.178,100.123,100.089,99.519,99.662,100.047,99.58,99.108,98.85,98.621,98.863,99.727,99.828,100.001,100.217,100.532,101.592,101.578,103.564,102.78,103.035,103.281,103.958,105.932,108.166,110.372,112.788,111.962,112.089,114.813,115.098,111.949,109.844,110.105,111.086,113.256,113.683,113.861,112.054,113.312,112.745,111.873,113.042,113.35,112.986,113.707,115.986,116.604,116.664,116.481,116.656,115.181,114.316,113.423,113.795,112.06,111.022,111.306,112.529,112.54,112.49,112.382,111.964,112.5,112.976,112.67,111.933,111.44,110.635,111.093,110.171,110.028,110.561,110.935,113.473
"41","33","      Professional and commercial equipment wholesalers","PK42143",156.351,154.622,153.34,152.246,148.616,147.345,145.784,143.665,142.292,140.656,139.002,138.018,135.011,132.143,130.542,127.769,125.961,124.898,123.347,119.936,118.95,117.135,115.969,114.355,112.827,111.516,110.422,109.158,108.301,107.356,106.324,105.492,104.926,104.026,103.774,103.288,102.929,102.203,101.644,101.108,100.68,100.098,100.23,99.028,98.841,98.349,97.726,97.178,94.268,93.146,91.932,91.878,91.284,91.13,90.417,89.091,88.603,87.875,87.122,86.603,86.189,85.609,85.377,84.786,84.728,84.361,83.779,83.246,83.034,82.545,82.199,81.961,81.62,80.614,80.394,80.456,80.15,79.971,79.603,79.287,79.539,79.381,79.24,78.89,78.912,78.854,78.762,78.616,78.47,78.083,77.98,77.649,78.069,77.72,77.282,77.261,76.444,76.539,76.08,75.768,75.163,75.071,74.68,74.886,74.286,74.016,73.658,73.437,73.233,72.794,72.546,72.147,72.073,71.75,71.485,71.221,70.967,70.736,70.752,70.652,70.07,69.96,69.819,69.972,69.686,69.428,69.188,68.966,68.794,68.34,68.164,68.033,67.775,67.67,67.511,67.632,67.663
"42","34","        Computers and software wholesalers","PK42433",217.557,213.658,209.987,206.756,198.439,195.486,191.952,187.157,183.916,180.196,176.589,174.183,168.283,162.092,158.707,153.432,149.971,147.892,144.814,138.082,136.112,132.55,130.13,127.13,124.354,122.017,119.808,117.301,115.689,113.999,112.018,110.351,109.4,107.807,107.2,106.324,105.63,104.354,103.22,102.224,101.402,100.249,100.304,98.098,97.409,96.405,95.622,94.471,89.245,87.528,85.199,84.945,83.746,83.397,82.01,79.45,78.318,76.903,75.6,74.5,73.809,72.585,72.25,71.402,71.234,70.455,69.369,68.295,67.823,66.903,66.117,65.648,64.555,63.164,62.539,62.443,61.998,61.525,60.832,60.236,60.529,59.809,59.427,58.817,58.447,58.332,58.104,57.752,57.419,56.702,56.461,55.861,56.348,56.035,55.163,54.98,53.566,53.273,52.414,52.017,50.915,50.642,49.886,50.042,49.113,48.715,48.21,47.62,47.313,46.589,46.116,45.383,45.117,44.585,44.003,43.545,43.191,42.874,42.738,42.553,42.086,41.785,41.338,41.093,40.661,40.193,39.81,39.395,39.132,38.522,38.214,37.973,37.485,37.185,36.835,36.757,36.677
"43","35","        Other professional and commercial equipment wholesalers","PK424X3",98.442,98.105,98.325,98.611,98.523,98.449,98.388,98.41,98.545,98.605,98.601,98.827,98.473,98.662,98.755,98.532,98.446,98.465,98.515,98.585,98.63,98.677,98.855,98.733,98.629,98.551,98.819,99.039,99.12,99.091,99.267,99.531,99.463,99.487,99.666,99.621,99.546,99.465,99.608,99.65,99.714,99.842,100.079,100.115,100.545,100.64,100.234,100.448,100.402,100.045,100.192,100.384,100.501,100.604,100.707,100.783,101.059,101.134,101.028,101.195,101.153,101.326,101.232,100.943,101.018,101.147,101.176,101.345,101.469,101.538,101.722,101.756,102.313,101.764,102.033,102.278,102.141,102.312,102.348,102.375,102.575,103.117,103.292,103.294,103.899,103.914,104.002,104.15,104.265,104.348,104.43,104.49,104.797,104.431,104.611,104.804,104.87,105.534,105.723,105.58,105.841,106.05,106.286,106.552,106.567,106.512,106.426,106.812,106.853,106.941,107.095,107.268,107.524,107.584,107.892,107.997,107.957,107.914,108.201,108.276,107.596,107.849,108.299,109.176,109.217,109.434,109.504,109.7,109.74,109.715,109.87,110.024,110.317,110.63,110.911,111.407,111.658
"44","36","      Metal and mineral (except petroleum) wholesalers","PK42153",105.388,105.716,106.331,106.177,106.041,106.318,106.209,106.211,106.222,106.335,106.488,106.231,105.005,104.762,104.19,104.069,103.7,102.863,101.987,100.674,99.412,98.365,97.556,96.729,95.268,95.377,94.832,94.774,95.007,95.146,95.187,95.758,95.855,97.146,98.353,99.21,100.333,100.428,101.283,101.349,100.705,100.467,100.518,100.144,99.579,99.045,98.13,97.995,97.65,97.557,97.014,96.294,96.039,95.031,95.039,94.603,94.212,93.974,94.07,93.524,93.723,93.891,94.636,95.691,96.509,97.786,98.416,98.768,99.826,100.706,101.458,101.466,101.515,102.419,102.36,102.175,101.463,101.163,100.983,101.944,102.478,104.576,106.616,109.122,113.263,118.225,122.411,126.483,127.937,128.273,135.023,139.865,140.959,144.451,147.371,147.606,148.454,146.958,146.21,145.811,143.15,138.792,137.081,137.558,141.318,142.345,145.931,146.892,148.63,149.675,150.925,154.308,162.26,167.198,169.896,168.332,170.547,170.82,167.358,168.745,168.615,170.662,176.293,178.582,178.769,179.374,178.706,177.609,175.319,177.184,178.646,180.883,186.803,191.242,195.779,206.883,220.289
"45","37","      Electrical goods wholesalers","PK42163",105.84,105.718,105.808,105.398,105.233,105.303,105.333,104.954,104.693,104.333,104.192,103.977,103.656,103.293,103.228,103.073,103.006,102.701,102.383,102.31,102.151,102.276,102.274,102.246,102.163,102.274,102.057,101.917,101.616,101.357,101.187,101.109,101.033,100.829,100.671,100.705,100.434,100.316,100.034,100.207,100.193,100.168,100.23,99.942,99.855,99.758,99.589,99.324,99.22,99.059,98.916,98.598,98.499,98.315,98.271,98.013,97.806,97.839,97.799,97.831,97.886,97.851,97.758,97.425,97.203,97.241,96.997,97.051,96.946,96.722,96.585,96.426,96.364,96.105,96.009,95.999,95.924,95.784,95.833,95.585,95.507,95.299,95.302,95.072,94.743,94.395,94.356,94.262,94.332,94.263,93.979,93.882,93.827,93.805,93.863,94.064,94.285,94.43,94.292,94.214,94.054,93.989,93.974,93.882,93.597,93.692,93.479,93.485,93.504,93.616,94.433,94.778,94.844,94.991,95.28,95.562,95.8,95.821,95.821,95.761,95.953,95.232,94.873,94.647,94.519,94.636,94.395,94.186,94.169,94.157,94.241,94.224,94.453,94.778,94.782,94.915,94.91
"46","38","      Hardware and plumbing and heating equipment wholesalers","PK42173",96.984,97.062,97.115,97.196,97.218,97.357,97.312,97.519,97.579,97.712,97.759,97.86,97.732,97.935,97.776,97.813,97.867,97.839,97.917,97.865,97.944,98.02,98.164,98.175,98.333,98.039,98.115,98.245,98.319,98.676,98.708,98.894,98.982,99.045,99.197,99.402,99.326,99.512,99.668,99.857,99.851,100.015,100.209,100.326,100.239,100.322,100.324,100.33,100.577,100.887,100.721,100.584,101.041,101.098,101.069,101.121,101.309,101.452,101.67,101.672,101.585,101.545,101.686,101.612,101.679,101.564,101.637,101.813,101.972,101.892,101.806,101.895,102.215,102.394,102.495,102.498,102.599,102.713,102.877,102.876,102.979,103.112,103.415,103.449,104.068,104.173,104.366,104.633,105.297,105.764,106.346,106.502,107.064,107.719,108.084,108.292,109.369,110.069,110.251,110.54,110.61,110.729,110.896,111.623,111.708,111.996,112.638,112.589,112.814,112.711,112.981,113.813,114.098,114.782,115.566,115.969,116.737,117.198,118.03,118.45,118.973,119.44,119.817,120.333,121.148,121.265,121.283,121.731,121.943,121.854,122.06,122.108,122.711,123.45,123.741,124.772,125.504
"47","39","      Machinery, equipment, and supplies wholesalers","PK42183",97.245,97.334,97.261,97.378,97.416,97.526,97.625,97.674,97.616,97.769,97.895,97.98,98.074,98.095,98.195,98.181,98.228,98.273,98.272,98.33,98.504,98.649,98.799,98.827,98.921,98.995,98.949,99.099,99.043,99.051,99.081,99.096,99.173,99.326,99.442,99.495,99.59,99.746,99.738,99.826,99.856,99.919,100.09,100.102,100.216,100.269,100.256,100.382,100.535,100.664,100.669,100.799,100.869,100.958,100.958,101.044,101.141,101.276,101.29,101.286,101.265,101.298,101.436,101.442,101.453,101.569,101.78,101.938,102.033,102.083,102.125,102.292,102.434,102.508,102.656,102.769,102.797,103.079,103.187,103.266,103.322,103.503,103.757,103.958,104.212,104.465,104.807,105.321,105.668,105.983,106.355,106.639,107.022,107.698,108.105,108.632,109.293,109.805,110.409,110.837,111.414,111.58,111.84,112.036,112.304,112.605,112.963,113.26,113.633,114.078,114.221,114.414,114.783,115.314,115.869,116.181,116.548,116.924,117.194,117.397,118.058,118.419,118.673,118.979,119.159,119.514,119.903,120.22,120.437,120.724,121.248,121.55,122.115,122.563,123.082,123.759,124.411
"48","40","      Miscellaneous durable goods wholesalers","PK42193",101.98,101.925,102.475,101.984,101.908,101.952,101.604,102.561,101.838,102.289,102.443,101.91,101.237,101.048,100.527,100.166,99.672,98.749,97.714,96.627,96.37,95.553,94.84,94.507,94.247,94.796,94.455,94.304,94.677,95.373,96.276,96.806,97.527,99.206,100.529,101.235,101.757,101.835,101.668,101.663,101.147,101.216,100.147,98.389,98.706,98.63,97.885,97.16,96.592,96.101,96.529,95.529,95.622,95.186,94.388,94.446,94.81,94.385,94.227,93.559,93.434,93.851,93.924,94.766,95.213,96.497,96.833,96.195,96.711,97.865,97.368,97.397,97.974,98.992,98.944,98.278,99.012,98.999,98.419,99.415,101.071,102.29,103.968,106.127,108.301,110.513,111.353,110.567,107.441,107.782,112.566,115.178,114.179,116.255,117.856,116.576,115.28,113.672,113.757,115.088,112.863,110.246,110.078,113.176,116.806,116.087,116.926,119.31,119.97,121.704,122.085,125.379,132.539,132.969,133.002,132.446,131.856,131.333,128.629,130.145,131.58,134.92,139.762,140.353,138.146,139.057,138.417,139.966,141.293,144.149,144.841,145.567,147.401,149.766,158.812,162.242,162.377
