"","Table 2AU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123"
"36","28","  Merchant wholesale","KHP5W0",62445,61981,62033,64081,64468,64168,65638,66644,65824,68347,68824,70376,69379,69110,70341,71206,71551,73676,74811,76033,77347,78162,80341,85006,88011,88232,89098,97045,99103,99709,97417,92858,90456,85664,86608,87273,89766,90312,92461,93147,95005,97665,98889,100556,102849,108709,110283,111617,110776,114308,115347,115570,115308,112140,116263,121832,120603,117215,116381,114181,111827,112454,109069,107935,109740,111021,114813,118374,122167,125849,126551,126866,127750,129384,129967,130410,132864,135101,138937,139576,139816,140684,142230,142563,144934,147718,149337,152248,151895,152442,152850,155288,155456,157515,156310,151893,151622,155252,157376,157105,158926,159340,163446,164418,167573,168807,170967,170343,173699,176720,181103,185299,187717,188426,190554,194295,194303,195396,199069,203296
"37","29","      Addendum: Wholesale less motor vehicle","KHP5WX0",58116,57641,57537,59386,59633,59225,60332,61371,60476,62596,63108,64545,63435,63171,64103,65042,65156,66787,67564,68406,69843,70715,72570,76922,79560,79505,80515,87902,89725,90327,88337,84605,82384,77685,78286,78964,81304,81636,83412,84422,85838,87913,89038,90304,91956,97545,99051,100107,99586,102955,104128,104215,104021,101241,105027,110643,109526,106600,106082,104037,101790,102373,98894,97789,99471,100262,103150,106232,109431,112441,113346,113220,113687,114911,115310,115799,118302,119962,122916,123871,124651,125589,126900,127042,129652,131381,133610,135907,135580,136710,137292,140030,138751,141465,140202,136312,136664,140488,142096,141972,144085,144285,148217,148882,152310,153398,155412,155216,157713,160873,164735,169014,172115,172359,174794,178486,178028,179506,183219,187143
"38","30","    Durable goods","KHP5WD0",25605,25165,25705,26513,27001,27014,27863,28460,28456,29539,29554,30024,29625,29257,29994,29567,29756,31149,31661,32593,33020,33452,34714,36921,38876,39361,40040,42025,43703,43737,42243,39536,36712,35034,35581,36026,36903,37208,38197,38285,39471,40924,41778,43208,44359,47370,48171,48864,48743,50549,51323,51234,51651,49216,50069,52135,52557,52443,51503,49099,47264,45471,45001,45297,46150,46990,49167,51766,54167,56513,56837,56604,57686,58122,58397,59114,59024,59872,59907,60429,60904,61873,63048,62818,63097,65492,66650,68874,68991,68959,69325,70631,73019,72975,71756,69814,68893,69819,71667,71786,72686,73838,75894,77651,79868,81031,83251,83641,85395,87416,90635,93655,95072,95786,97323,100651,101187,102880,103719,106127
"39","31","      Motor vehicles","KHP5010",4112,4166,4361,4570,4696,4810,5186,5138,5235,5655,5610,5720,5854,5850,6172,6085,6333,6849,7227,7626,7484,7416,7750,8047,8427,8752,8555,9061,9306,9295,8972,8021,7863,7878,8295,8261,8386,8636,9048,8635,9134,9790,9887,10331,11052,11266,11317,11624,11252,11373,11182,11350,11269,10859,11176,10959,10856,10370,10010,9874,9791,9837,9992,9975,10088,10619,11589,12084,12708,13425,13179,13679,14136,14578,14779,14726,14656,15254,16149,15826,15270,15191,15425,15620,15365,16457,15811,16446,16424,15797,15609,15274,16825,16101,16174,15641,14977,14758,15288,15137,14833,15050,15219,15529,15249,15396,15541,15116,15969,15835,16353,16276,15602,16064,15760,15812,16277,15891,15851,16153
"40","32","      Furniture and furnishings","KHP5020",1096,1070,1104,1141,1121,1160,1211,1286,1303,1327,1315,1352,1317,1284,1317,1290,1386,1479,1553,1487,1482,1493,1542,1636,1726,1669,1656,1737,1759,1741,1658,1513,1429,1463,1520,1573,1637,1681,1697,1739,1758,1809,1840,1953,1943,1994,2067,2101,2027,2120,2167,2140,2150,2107,2076,2170,2234,2227,2226,2116,2175,2047,2019,2064,2139,2251,2299,2490,2558,2729,2562,2479,2391,2558,2617,2635,2473,2673,2708,2613,2743,2633,2887,2870,3028,2899,2868,3153,3082,2998,3096,3008,2931,3209,3374,3144,3107,2975,2934,2909,3015,3011,2913,3115,3113,3172,3124,3029,3059,3018,3256,3412,3513,3497,3442,3433,3407,3617,3638,3710
"41","33","      Lumber and construction","KHP5030",3379,3449,3652,3733,3701,3686,3839,3865,3825,3838,3918,3962,3867,3878,3958,4101,4015,4169,4241,4407,4488,4345,4467,4826,5070,4460,4325,4278,4260,4096,4015,3908,3558,3517,3829,4015,4058,3984,4055,4165,4324,4506,4613,4660,4544,5062,5068,5038,4895,5176,5167,5002,4928,4601,4657,4926,4799,4518,4372,4032,4086,4143,4095,4480,4628,4846,4927,5163,5255,5303,5499,5319,5337,5575,5553,5678,5955,5972,5852,6111,6212,6477,6768,6625,6387,6671,6666,6884,6730,6433,6615,6660,7003,6847,6708,6066,5833,6005,5956,6003,6051,5958,6093,6203,6266,5799,6047,6310,6116,6477,6722,7010,6821,6675,6524,6794,6968,7043,7154,7210
"42","34","      Professional and commercial","KHP5040",585,621,653,656,674,680,715,751,764,796,770,800,826,809,861,844,856,896,927,947,969,1000,1027,1102,1104,1123,1198,1248,1316,1310,1282,1274,1293,1286,1312,1357,1357,1434,1467,1506,1618,1686,1655,1737,1778,1840,1917,1938,1991,2039,2171,2131,2190,2274,2374,2470,2508,2516,2614,2525,2457,2592,2716,2972,3019,2797,2735,2812,2844,2928,2890,2877,2918,2864,2871,2939,3139,3098,2927,3061,3298,3614,3789,3715,3644,3952,4136,4391,4430,4668,4871,5098,5074,5138,4994,5073,5255,5632,6385,6620,6781,7437,7767,8266,9196,9520,10094,10505,10637,10666,11327,12378,13532,14265,15162,16264,17175,18543,19161,19727
"43","35","      Metals and minerals","KHP5050",4127,3926,3786,4126,4307,4362,4400,4409,4277,4355,4579,4736,4714,4404,4501,4415,4228,4298,4098,3963,4090,4277,4429,4716,5560,5841,6219,6897,7632,7858,7634,7147,6039,5140,5006,4906,5117,4989,5026,5055,4970,5197,5472,5382,5496,5882,5792,6063,6179,6325,6954,7108,7248,6442,6449,7120,7147,7271,7140,6535,5942,5569,4717,4423,4797,5021,5537,6029,6395,6530,6436,6205,6040,6054,6133,6001,6042,5938,6009,6258,6572,6578,6851,6800,7101,6867,7177,7116,6989,7117,6732,6928,6714,7183,6800,6884,6776,6856,6915,7141,7086,6924,7174,7114,7312,7411,7257,7135,7455,7839,8095,8056,7862,7647,7594,7768,7611,7821,7764,8043
"44","36","      Electrical goods","KHP5060",1964,1927,1982,2057,2067,2053,2109,2186,2220,2244,2304,2252,2227,2302,2246,2285,2301,2363,2391,2554,2633,2633,2790,2963,3113,3201,3312,3370,3469,3468,3316,2985,2714,2670,2674,2819,3037,3142,3095,3075,3202,3277,3456,3643,3678,3957,3966,3973,4035,4197,4413,4397,4585,4267,4453,4691,4789,4825,4709,4663,4710,4893,4896,4875,5141,5597,6154,6522,6949,7440,7798,8084,7856,7614,7771,8192,8011,7864,7802,7800,8044,8127,8316,8048,8136,8620,8677,9227,9183,9455,9520,9769,9982,9815,9599,9423,9375,9445,9386,9351,9543,9335,9525,9752,10269,10951,11796,12194,12382,13263,13560,14506,15259,15637,16044,16514,16455,16161,16114,16106
"45","37","      Hardware and plumbing","KHP5070",2772,2799,2909,2997,3028,2954,3118,3210,3301,3336,3244,3230,3154,3069,3090,3085,3150,3282,3323,3411,3562,3555,3692,3867,3803,3783,3779,3952,4052,4014,3692,3389,3116,2988,3135,3128,3257,3243,3256,3286,3444,3567,3587,3684,3687,4009,3983,4024,4036,4125,4145,4124,4261,3801,3957,4032,4073,4191,3965,3791,3678,3580,3600,3680,3614,3587,3891,3950,4048,4137,4261,4143,4428,4351,4145,4445,4364,4554,4389,4468,4504,4501,4632,4664,4554,4670,4822,4744,4792,4854,4739,4883,5132,5070,4969,4827,4593,4599,4595,4635,4710,4833,4824,4830,4787,4859,5009,5086,5357,5494,5620,5807,5708,5671,5735,5753,5666,5745,5893,6018
"46","38","      Machinery, equipment, and supplies","KHP5080",7346,7015,6977,7039,7063,6969,7058,7192,7288,7577,7328,7377,7276,7080,7315,7107,7137,7523,7685,7950,8071,8376,8579,9131,9554,9885,10050,10752,10938,11028,11081,10437,10306,9671,9483,9511,9728,9707,9947,9879,10433,10491,10791,11132,11305,12649,12716,13352,13355,14312,14462,14521,14712,14317,14878,14942,14989,15062,15204,14638,13676,12044,11136,10940,10771,10655,11006,11368,12387,13089,13166,13166,13295,13219,12979,13141,12469,12702,12739,13279,13040,12846,13076,13029,14032,14218,14949,15149,15148,15062,15077,15337,15593,15821,15359,14721,14137,14087,13724,13320,13530,13540,13648,14018,14408,14695,14864,14769,14925,15054,15802,16031,16128,15937,16491,17024,16924,16960,16812,17714
"47","39","      Other durable goods","KHP5090",3983,3851,4007,4079,4306,4293,4276,4497,4237,4577,4701,4903,4558,4639,4699,4475,4436,4565,4510,4627,4663,4806,5041,5519,5711,5895,6169,6283,6693,6638,6107,5909,5082,4933,5032,5171,5100,5134,5559,5896,5623,5872,5827,6229,6631,6828,7574,7066,7165,7307,6965,6783,6627,6510,6171,6966,7287,7514,7121,6473,6085,5630,6623,6604,6634,6496,6208,6815,6869,7059,7256,6784,7618,7850,8061,7888,8125,8296,8051,7711,7628,8016,7468,7660,7273,7402,7603,7662,7857,7660,7892,8212,8201,8099,8070,7846,8177,8489,8844,8815,9200,9466,10434,10361,10431,10286,10395,10184,10265,10597,10685,10782,10998,10646,10730,11377,10756,11124,11359,11472
"48","40","    Nondurable goods","KHP5WN0",38040,38056,37475,38762,38600,38255,38856,39249,38347,39828,40335,41479,40860,41005,41477,42948,43103,43767,44402,44619,45552,45932,46816,49314,50317,50023,50211,56362,56734,57324,56535,54670,55197,51972,52366,52582,54251,54492,55674,56309,56956,58159,58493,58622,59769,62620,63399,64040,63269,65006,65262,65600,64922,64198,67525,71079,69397,66100,66179,66375,65853,68350,65357,63875,64851,65286,66904,67838,69205,70522,70897,71483,71229,72481,72787,72428,75166,76594,80916,80958,80627,80374,80634,81301,83619,83716,84086,84590,84070,84715,84733,85850,83265,85530,85640,83128,83870,86704,86870,86445,87371,86505,88559,87620,88479,88484,88280,87175,88774,89712,90749,91817,92796,92760,93320,93652,93118,92519,95347,97172
"49","41","      Paper products","KHP5110",2228,2218,2174,2235,2267,2260,2327,2385,2348,2405,2451,2446,2330,2278,2239,2248,2280,2269,2275,2246,2332,2349,2346,2496,2539,2609,2617,2762,2906,2872,2736,2433,2103,2035,2254,2307,2403,2396,2385,2406,2565,2606,2641,2738,2800,2940,2905,3002,2938,3002,2991,2978,3088,2952,3007,3135,3162,3136,3146,3128,3073,3165,3148,3122,3274,3204,3339,3562,3619,3789,3784,3674,3705,3827,3826,3908,4036,4031,3988,3977,4106,4239,4424,4677,4657,4594,4678,4623,4684,4772,4773,4834,4815,4822,4962,4820,4794,4896,5153,5171,5209,5313,5326,5457,5566,5697,5696,6007,6105,6348,6439,6468,6523,6369,6299,6063,6132,6573,6872,6991
"50","42","      Drugs and sundries","KHP5120",1771,1757,1766,1700,1787,1848,1909,1942,1953,1963,1923,1969,1988,1959,1959,1972,1981,1969,2015,2050,2118,2147,2238,2315,2165,2181,2332,2453,2501,2367,2207,2048,2088,2149,2114,2137,2188,2200,2242,2270,2322,2279,2273,2269,2245,2317,2383,2385,2325,2475,2454,2428,2417,2327,2466,2562,2599,2617,2582,2574,2686,2871,2812,2868,2757,2778,2895,2943,3000,3027,2961,3160,3293,3283,3343,3398,3405,3415,3635,3875,3946,4054,4066,4111,4277,4453,4654,4626,4594,4634,4759,5039,5140,5150,5239,5134,5302,5621,5836,5902,5957,5961,6041,6228,6168,5935,5895,6124,6247,6651,6757,6773,6827,7019,7132,7314,7404,7686,7944,8198
"51","43","      Apparel and piece goods","KHP5130",1910,1929,1918,1921,1966,2003,1986,1945,1925,1953,1908,1963,1933,1923,1978,2070,2165,2198,2260,2321,2411,2440,2546,2526,2499,2433,2469,2544,2630,2468,2354,2136,2059,2330,2435,2537,2585,2534,2409,2344,2424,2517,2571,2767,2750,3109,3173,3345,3183,3160,3217,3314,3419,3185,3281,3244,3224,3215,3126,3193,3135,3073,3274,3093,3279,3463,3543,3753,3829,4063,3778,3828,4236,4210,4078,3979,4012,4204,4361,4368,4530,4363,4533,4679,4640,4868,5085,5191,5373,5553,5719,5845,5801,5823,5692,5621,5565,5864,5520,5586,5844,5454,5854,5976,5708,5949,6123,6127,6428,6246,6039,6007,5871,5880,5916,5990,5623,6218,6487,6579
"52","44","      Groceries","KHP5140",10797,11010,11046,11619,11489,11635,11719,11994,11959,12236,12281,12742,12515,12553,12485,12815,12894,13131,13420,13724,13635,13697,13821,13995,13634,13203,13025,14112,13805,14454,13430,12752,13351,13810,13619,13553,14062,14232,14796,15112,15266,15785,16453,16632,16626,16346,16516,16811,16269,16355,16372,16587,17138,17726,17289,17579,17901,17875,17749,18019,18168,18122,19190,19811,19787,19693,20244,20158,19908,21064,20817,21340,21288,21833,22206,22501,23028,22801,23201,22070,22511,22141,21948,22396,22546,22453,22610,23593,23496,23620,24014,24636,23445,24613,24756,24445,24224,24614,25089,25493,25600,25430,25851,25311,26388,25913,25979,25273,25579,25816,26416,26613,26709,27110,27450,27690,26950,26215,26794,26433
"53","45","      Farm products","KHP5150",6861,6832,6368,6565,6229,5771,5853,5991,5245,5818,6184,6025,5785,6011,6234,6865,6815,6795,6981,6672,6736,7104,7567,8682,9488,9617,9698,12041,11961,13476,13264,13260,14479,11410,11922,12006,12182,11632,12163,11918,11827,12965,12387,11708,12089,13577,13480,13305,12541,12824,13808,13879,13565,13645,13718,14100,14098,12724,12989,13669,13883,13981,12516,12109,12708,12683,13502,13473,13474,12960,13804,14116,13148,12504,11523,11981,12037,11400,13371,14140,13966,13536,15120,14501,14859,15106,13767,13816,13199,13252,12611,12453,12142,11828,12168,12296,12643,12892,12590,11816,11840,11670,13396,12949,12372,12480,11333,10483,9666,10689,11302,11745,12339,11958,11585,10980,11567,10264,11102,13240
"54","46","      Chemical and allied products","KHP5160",910,932,919,968,994,1001,1052,1064,1070,1107,1148,1187,1207,1184,1136,1169,1264,1303,1362,1405,1554,1593,1595,1647,1743,1813,1841,1973,2045,1807,1631,1381,1191,1144,1252,1304,1347,1373,1383,1420,1506,1577,1597,1529,1596,1747,1832,1901,1830,1806,1778,1961,1803,1729,1796,1880,1891,1823,1817,1795,1876,2038,2081,2142,2215,2175,2300,2303,2386,2345,2318,2292,2358,2325,2450,2531,2581,2595,2629,2843,2766,2892,2896,3071,3357,3654,3473,3208,3215,3169,3068,3163,3194,3167,3479,3462,3296,3263,3485,3453,3510,3537,3630,3559,3693,3600,3536,3570,3647,3734,3837,3930,4095,4132,4094,4303,4283,4450,4450,4430
"55","47","      Petroleum products","KHP5170",5473,5365,5203,5543,5594,5749,6097,5893,6054,5949,6282,6896,6996,6778,6815,7231,7138,7452,7462,7681,7757,7637,7480,7848,8428,8368,8305,9328,9294,7984,8741,8888,8210,8418,8224,7951,8534,9098,8955,9333,9446,8725,8678,9010,9500,9831,10436,10432,11110,11874,11243,11403,10778,10195,12284,13914,12331,11450,11378,10902,10503,11662,9785,8970,9240,9281,9297,9606,10323,10298,10664,10334,10412,11040,11046,11205,11898,13325,14863,14304,13795,13094,12698,12616,13654,13573,14346,13704,13635,13909,13644,13091,11986,13380,12536,10806,11712,13175,12982,12708,13304,13401,13093,12913,12857,12936,12978,12779,14216,13050,12677,12596,12433,12303,12526,12602,12754,12239,12397,12239
"56","48","      Alcoholic beverages","KHP5180",2258,2207,2232,2351,2332,2305,2425,2412,2466,2546,2525,2581,2648,2636,2644,2719,2717,2783,2874,2865,3027,2933,2961,3081,3000,2991,2959,3090,3139,3140,3125,3032,3081,3053,3053,3081,3118,3182,3240,3227,3238,3428,3442,3495,3676,3684,3732,3753,3810,3825,3775,3761,3805,3810,3965,3860,3884,3922,3943,3980,4009,3969,3959,4043,3910,4023,3812,3749,3807,3801,3875,3936,3853,3933,4291,3745,3914,3938,3961,4063,4161,4195,4106,4137,4250,4199,4236,4316,4261,4261,4358,4454,4512,4520,4615,4771,4527,4645,4651,4609,4540,4480,4260,4307,4312,4482,4501,4468,4507,4659,4627,4652,4572,4521,4550,4614,4733,4730,4666,4529
"57","49","      Other nondurable goods","KHP5190",5726,5662,5667,5692,5833,5648,5568,5620,5432,5826,5734,5955,5820,5915,6195,6113,6045,6131,5947,5910,6292,6293,6370,6854,7113,7175,7401,8082,8749,8149,8686,8367,7895,6974,6822,7090,7188,7282,7451,7675,7797,7551,7698,7667,7683,8336,8161,8290,8442,8889,8889,8458,8475,8500,8496,8821,9287,8700,8857,8964,8718,9112,9274,8843,8668,8978,9081,9355,9700,10198,9690,9851,9957,10321,10741,9811,10677,11120,11524,12223,11620,12687,11990,12078,12363,11788,12130,12249,12319,12242,12389,12887,12832,12666,12713,12747,12612,12467,12225,12193,12049,11775,11958,11683,12023,12131,12578,12550,12620,12708,12894,13310,13752,13699,13950,14239,13809,14292,14750,14784
"58","50","  Retail trade","KHP5R0",81662,82692,83759,85573,86799,88475,90058,91610,91731,91392,91731,93192,93016,93990,95117,94454,97633,99270,101070,104187,104907,107906,109834,113588,116930,114842,114258,112988,110135,110538,111226,105804,107200,109577,111436,112228,115430,117361,117681,119182,121038,122736,123455,125533,124943,129754,129531,132192,131779,130744,131241,131251,129297,123657,125687,127234,128749,126743,127580,124868,124477,125028,125142,128481,130223,134171,136178,140018,142842,145344,144202,146736,148372,150751,153264,152285,154138,157736,162708,163654,160107,164146,166601,165760,169226,170617,170951,174531,173799,174731,177497,176479,179029,177433,177852,174969,172390,174959,174979,173551,177836,178006,179922,183689,183784,187088,190137,193833,196996,199569,201706,205655,204706,206731,209526,211963,214699,217918,219407,222008
"59","51","      Addendum: Retail less motor vehicle","KHP5RX0",66416,67021,68240,69763,70035,71554,72918,73152,73588,73781,74203,74900,75982,76818,78304,79625,79573,80601,81475,82731,83968,85963,87482,88879,90671,89865,89391,88864,87801,87685,87835,85737,86424,87984,88646,89036,91162,92157,93058,94205,94830,95701,96550,97887,97994,100336,101251,102559,102210,102475,103377,103937,102915,100879,101384,102666,104710,104377,104056,103040,102173,102471,102839,103991,105854,107794,109874,111395,112887,114641,115030,115890,116580,117954,119206,120652,122158,124539,125861,127230,127382,128793,129458,130234,131760,133427,134648,136666,136579,136996,138213,139536,140574,140023,140197,138331,137782,139352,139190,137920,140855,140825,142263,144797,144993,146854,149087,150710,152657,154875,157083,159272,159998,161110,162596,164678,165635,169105,169973,172107
"60","52","    Durable goods","KHP5RD0",22661,23177,23423,23997,24844,25405,25978,27279,27162,26751,26589,27432,26328,26760,26821,25139,27891,28749,29933,32234,32295,33578,34290,36973,39188,37852,37560,36700,35201,35756,35960,31914,32470,33438,34977,35897,37266,38421,37904,38331,39749,40983,40888,41800,40715,44425,43775,45606,45036,44412,44570,43687,42416,37746,39505,40351,41972,39648,40694,38276,38557,39120,38850,41280,41735,44414,45186,47979,49967,51229,49984,51997,53064,54631,56224,54469,55034,56930,61292,61254,57722,60382,62672,61420,64050,64492,63549,65734,64785,65606,67413,65308,67773,65848,65907,64513,62003,63409,63353,63032,65325,65552,66733,68622,68384,70386,72218,74883,76543,78299,79384,82039,80466,81570,83608,85043,86989,88681,89359,90397
"61","53","      Automotives","KHP550",15194,15615,15472,15759,16706,16861,17085,18400,18091,17552,17463,18239,16948,17080,16720,14754,17961,18577,19499,21381,20836,21849,22260,24686,26308,24981,24875,24083,22112,22704,23297,19694,20452,21306,22596,23023,24124,25111,24466,24825,26115,26980,26831,27596,26843,29431,28204,29610,29554,28168,27707,27090,26090,22142,23833,24078,25610,23625,25022,23098,23606,23990,23703,26064,25948,28159,28149,30686,32098,32820,31205,32951,34042,35220,36519,34018,34240,35488,39251,38816,34980,37724,39702,38091,40223,39938,38947,40464,39734,40288,42000,39585,41250,40055,40266,39168,36864,38026,38143,37912,39349,39573,40087,41431,41300,42842,43713,45861,47241,47559,47500,49344,47647,48553,49905,50326,52136,51908,52536,53031
"62","54","        Motor vehicle dealers","KHP55X0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23602,21688,23014,21152,21711,21993,21700,24091,23905,26065,25920,28416,29817,30583,28930,30704,31705,32752,34095,31466,31823,33084,36900,36439,32543,35284,37154,35449,37468,37153,36192,37811,37132,37667,39305,36757,38364,37238,37510,36443,34211,35274,35482,35344,36741,36964,37444,38722,38616,40132,40955,43113,44355,44694,44593,46388,44692,45608,46923,47282,49062,48812,49439,49901
"63","55","        Auto and home supply stores","KHP5530",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1929,1837,1916,1833,1808,1889,1887,1910,1959,2035,2136,2208,2236,2212,2221,2220,2306,2426,2407,2480,2374,2379,2380,2396,2401,2433,2544,2606,2723,2744,2710,2639,2588,2611,2691,2778,2843,2773,2725,2688,2604,2700,2623,2541,2588,2590,2624,2692,2670,2704,2752,2751,2885,2866,2906,2956,2953,2944,2983,3044,3074,3096,3097,3131
"64","56","      Lumber and building stores","KHP520",4298,4323,4482,4593,4702,4840,4865,4921,4958,5063,5108,5131,4960,5173,5365,5441,5351,5671,5798,6135,6347,6362,6540,6675,7107,6964,6715,6523,6640,6549,6312,6011,5722,5838,5997,6288,6435,6687,6682,6830,6973,7316,7412,7375,7376,8078,8218,8273,7995,8408,8652,8476,8099,7277,7352,7732,7862,7393,7087,6791,6687,6801,6718,6900,7171,7640,7859,8025,8485,8693,8804,8798,8650,8975,9133,9217,9509,9791,9852,9815,9977,9948,10089,10214,10302,10571,10396,10845,10259,10245,10226,10236,10469,10175,10248,9979,9609,9760,9697,9646,10143,9948,10096,10199,9918,9899,10279,10716,10620,11177,11542,11698,11719,11359,11545,12055,11999,12654,12765,12741
"65","57","      Furniture and furnishings","KHP570",1889,1915,1953,2062,2057,2074,2232,2179,2186,2209,2188,2225,2253,2268,2283,2312,2305,2334,2386,2527,2672,2694,2769,2892,3073,3086,3100,3114,3172,3173,3164,2921,2909,2973,3013,3157,3220,3248,3258,3316,3420,3490,3508,3543,3435,3655,3654,3759,3809,3951,4154,4021,3972,3807,3894,3970,4044,3950,3910,3793,3621,3686,3698,3806,4003,4171,4419,4531,4648,4754,4848,5012,5150,5264,5394,5658,5708,5909,6123,6230,6118,6063,6196,6127,6382,6610,6686,6901,7053,7111,7102,7132,7239,7170,7069,6997,6971,7236,7309,7218,7490,7553,7771,7984,8202,8402,8678,8878,9073,9502,9861,10402,10404,10530,10978,11422,11510,12012,12130,12351
"66","58","      Other durable goods","KHP59X0",1971,2035,2201,2233,2149,2407,2472,2621,2729,2681,2607,2660,2787,2893,3082,3085,2996,2995,3141,3218,3331,3615,3673,3836,3920,3876,3872,3862,3896,3998,3912,3775,3901,3894,4054,4096,4227,4224,4277,4161,4120,4150,4081,4265,4046,4408,4733,5048,4711,4761,4807,4848,4897,4814,4837,4987,4982,5032,5124,4933,5087,5097,5146,5076,5099,5070,5274,5389,5474,5710,5750,5884,5858,5865,5912,6072,6103,6285,6708,6960,7077,7229,7329,7582,7757,7914,7965,8019,8093,8313,8516,8641,9145,8739,8665,8651,8694,8537,8352,8405,8518,8634,8902,9141,9056,9364,9649,9585,9786,10171,10533,10642,10712,11151,11196,11243,11350,12106,11925,12270
"67","59","    Nondurable goods","KHP5RN0",59721,60203,61045,62287,62587,63700,64702,64818,65086,65207,65750,66317,67394,67922,69041,70296,70448,71178,71699,72325,73000,74682,75896,76800,77834,77152,76874,76489,75135,74981,75465,74122,74971,76379,76674,76525,78340,79090,79959,81040,81433,81858,82694,83849,84388,85379,85835,86624,86806,86410,86757,87660,86979,85959,86255,86962,86880,87155,86961,86655,85988,85979,86366,87275,88564,89817,91053,92085,92913,94150,94262,94771,95334,96144,97067,97849,99150,100849,101397,102391,102422,103778,103916,104345,105160,106112,107403,108788,109006,109116,110083,111154,111266,111562,111923,110418,110262,111454,111528,110433,112454,112404,113158,115054,115384,116706,117933,118977,120481,121297,122348,123636,124272,125186,125930,126925,127711,129238,130048,131611
"68","60","      Food stores","KHP540",23766,24040,24425,24592,24605,25208,25584,25611,25937,25625,25896,26086,26654,26973,27646,28173,28101,27899,27752,27788,27622,28647,28772,28686,28447,27763,27464,27161,26886,26897,27626,27163,27609,27986,27798,27591,28501,28982,29223,29857,29659,29721,29831,30142,30536,30161,30217,30575,30749,30912,31058,31608,31941,31792,31506,31189,31219,31476,31318,31551,31419,31393,31479,31844,31836,32098,32457,32502,32492,33036,33102,33172,33320,33681,33914,34279,34441,34285,34077,34553,34293,34580,34661,34617,34818,35163,35322,35334,35555,35405,35521,35724,35820,36037,35957,35765,35288,35396,35221,34942,34974,34871,34855,35035,34983,34910,35038,35216,35535,35589,35600,35677,35717,35521,35395,35503,35643,35571,35544,35582
"69","61","      Apparel stores","KHP560",3131,3141,3144,3169,3209,3276,3323,3308,3350,3345,3388,3398,3314,3309,3345,3423,3448,3558,3560,3638,3641,3730,3807,3989,4062,4023,4014,4049,3988,3989,3951,3760,3956,4061,4144,4153,4210,4198,4249,4269,4285,4295,4368,4564,4611,4842,4956,5110,5048,5025,5170,5152,5125,5160,5268,5351,5547,5478,5577,5522,5640,5442,5583,5618,5694,5933,5955,6174,6179,6379,6237,6314,6478,6611,6731,6831,7025,7292,7224,7252,7282,7263,7315,7268,7433,7410,7683,7850,7916,8054,8188,8276,8245,8196,8196,8016,8106,8282,8211,8011,8338,8572,8817,8936,8806,8989,9045,9103,9221,9224,9420,9732,9642,9709,9808,9912,9994,10268,10352,10385
"70","62","      Department stores","KHP5310",5800,5929,5964,6055,6175,6263,6406,6447,6449,6465,6546,6548,6523,6508,6524,6701,6898,7084,7229,7392,7460,7540,7853,8006,8294,8270,8285,8328,8367,8278,8126,7778,7854,8175,8330,8338,8506,8563,8726,8932,9038,9145,9525,9745,9718,9975,9934,9903,9861,9921,10125,10157,9911,9650,9854,10040,10269,10519,10552,10459,10363,10442,10518,10682,10773,11027,11228,11540,11885,12255,12255,12462,12425,12503,12609,12740,12993,13352,13533,13358,13559,13829,13980,14132,13964,14052,14233,14575,14451,14714,14966,15068,15022,14790,14856,14846,14972,15224,15333,15426,15951,16049,16315,16785,16880,17318,17767,18072,18612,18726,19188,19730,20069,20460,20935,21049,21206,21835,22221,22660
