"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"62","54","  Building material and garden equipment and supplies dealers","KP4440",16343,16518,16891,17272,17559,18032,18356,19241,19537,19420,19527,20561,21232,20579,20831,20907,21463,21957,21655,22337,22686,23135,22935,23051,23307,24110,25084,25358,25741,26459,26699,27239,27634,28253,28379,29094,30821,29314,28629,28557,28667,28075,27975,27617,27079,27181,26915,25192,24298,23904,23405,22891,22973,24157,23668,24386,23543,24400,24804,25234,25787,24828,25209,25665,25801,26514
"63","55","  Food and beverage stores","KP4450",48338,48136,48353,48229,47908,48155,48448,48598,48655,48982,49000,49405,48183,48962,48738,49264,49291,49349,49247,49548,49078,48613,48599,48771,48971,48768,48929,48344,48740,48590,48673,48912,49411,49490,49666,49912,50023,50464,50480,51251,51001,50588,50467,50661,50283,49919,49199,48546,48464,48601,48749,49067,49274,48955,48941,49430,49632,49745,49463,49267,49367,49671,49792,50064,50345,50359
"64","56","  Clothing and clothing accessories stores","KP4480",10884,10686,11167,11393,11691,11970,11931,12264,12710,12960,13053,13173,13328,13767,13995,14110,13877,14023,13965,14292,14677,14703,14645,15162,15182,15638,16064,16293,16767,16553,16710,17143,17456,17906,17803,18535,18783,18802,19114,19423,19563,19639,19896,19835,19593,19840,19351,18298,18113,17845,18081,18102,18502,18748,18797,19432,19567,19923,19687,19794,20184,20081,20365,20407,20537,21009
"65","57","  General merchandise stores","KP4520",30031,29912,30749,31020,31611,32222,32343,33122,34338,34531,35138,35813,36039,36649,37318,38019,38257,38851,39530,40532,40897,41262,41165,41960,42477,43197,44382,44457,45165,45192,45721,46599,47340,48264,48710,49573,49974,50155,50258,51159,51758,51671,52277,52465,52281,53204,52493,52000,51997,51605,51817,52601,53463,53627,53873,54694,54684,55267,55298,55625,56717,56886,57441,57561,57721,58140
"66","58","    Department stores","KP45210",18164,18018,18483,18586,18627,18751,18611,18920,19484,19308,19447,19424,19476,19584,19567,19863,19555,19447,19557,19640,19486,19331,18902,18939,18659,18800,19107,18817,18939,18733,18945,19085,19104,19209,18969,19193,19160,18925,18723,18739,18850,18559,18644,18380,17916,18053,17566,17178,16728,16566,16577,16743,16897,16859,16747,17032,16881,17034,16642,16635,16702,16505,16592,16371,16247,16048
"67","59","    Other general merchandise stores","KP45290",10933,10978,11333,11505,12100,12616,12914,13391,14037,14452,14941,15691,15871,16397,17127,17531,18136,18887,19478,20435,20991,21547,21926,22713,23562,24155,25045,25441,26039,26291,26607,27359,28100,28938,29651,30294,30739,31172,31489,32390,32882,33096,33620,34079,34365,35153,34927,34821,35269,35039,35241,35857,36564,36766,37121,37658,37796,38226,38638,38968,39985,40345,40810,41144,41423,42032
"68","60","  Other retail stores","KP44X0",68408,69408,70224,70781,72376,74206,75453,76951,78830,78554,78813,80929,80617,80990,82027,83686,82985,82581,82623,84545,86084,86184,86531,87141,86054,88320,88838,90117,90375,91159,91445,92113,93634,94488,93576,95597,97624,97533,96674,99810,100340,99978,100135,100897,100143,100182,97990,97670,98653,97377,96318,96997,97912,99847,100038,100856,101338,101172,101757,103150,103495,104792,105120,106496,108340,110140
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2009) dollar final sales series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","and the 2009 current-dollar value of the corresponding series, divided by 100.  Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","estimates are usually not additive.  The residual line is the difference between the first line and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
