"","Table 5#2#5U# Gross and Net Domestic Investment by Major Type   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64"
"53","45","        Nondefense","Y089RC1",1.9,1.7,2,1.4,0.7,0.9,0.6,1.5,2.5,2.8,3.3,3.2,2.8,3.5,3.4,3,3.2,4.1,3.5,4.7,4.4,4.2,5.3,6.7,8.7,6.1,6.4,4.5,4.5,4.7,4.5,4.6,5.1,5.8,5.7,5.7,5.2,4.9,5,4.7,5.8,6,5.9,5.7,5,4.3,4,4.1,4.4,4.2,4,3.2,2.1,1.5,1.1,0.9,0.7,0.6,0.3,0.1,-0.2
"54","46","      State and local","Y090RC1",10.1,10.2,10,9.7,9.3,8.6,7.8,7.5,7.9,7.1,6.6,5.9,5.9,5.6,5.6,5.6,5,4.4,3.5,3.5,3.4,3.3,3,2.7,3,3.7,5,6.8,6,8,8.7,10.2,9.2,9,8.9,6,5.8,5.4,5.1,5.9,4.2,2.4,1.1,1.3,-0.3,-0.2,-0.2,-1.5,-1.6,-1.2,-1.5,-1,-1.3,-0.5,0.1,1.1,0,0.4,0.7,1.7,0.6
"55","47","  Intellectual property products","Y055RC1",110.3,112.4,113.9,116,118.1,119.3,120.2,121.1,122.9,124.7,127.3,129.2,132.2,135.2,138,140.7,142.2,144.1,146.9,148.9,150.8,153.2,155.1,156.4,157.7,159.4,161.4,163.9,166.2,168,169.9,171.7,175.1,176.9,178.3,178.4,178.3,179.1,180.1,181.9,184.3,185.9,188.8,190.8,190.9,191.2,191.8,192.7,192.9,193.4,192.9,192.1,191.6,189.1,187.6,185.2,182.4,181.1,181.6,182.3,184.7
"56","48","  Less: Consumption of fixed capital","Y091RC1",104.3,105.4,106.6,107.5,107.8,108.2,108.4,109,109.7,110.1,111,111.6,112.5,114,115.5,116.8,118.3,119.8,121.2,122.9,124.7,126.7,128.3,130.3,132.1,133.6,135.1,136.9,139.2,141.5,143.7,145.6,148.4,150.7,152.8,154,154.7,155.5,156,157.5,159.7,162.5,164.3,166.7,168.7,170.2,171.4,172.3,174,175,176.1,176.4,177.3,178.6,179.9,181.4,182.5,184,185.1,185.9,186.7
"57","49","  Equals: Net intellectual property products","Y092RC1",6,7,7.3,8.5,10.3,11.1,11.8,12.1,13.2,14.7,16.4,17.6,19.7,21.2,22.5,23.9,23.9,24.3,25.7,26,26,26.6,26.8,26.1,25.6,25.8,26.3,26.9,27,26.6,26.2,26.1,26.7,26.2,25.4,24.4,23.6,23.6,24.1,24.4,24.5,23.5,24.5,24.1,22.2,21,20.4,20.4,18.9,18.4,16.8,15.6,14.3,10.6,7.7,3.8,-0.1,-2.9,-3.5,-3.6,-1.9
"58","50","      Federal","Y093RC1",3.3,4.1,4.5,5.4,7.1,8.1,8.9,9.7,10.7,12,13.5,15.1,17.1,18.7,19.5,20.7,20.9,21.5,22.7,22.9,23.2,23.6,23.7,22.9,22.2,22.1,22.3,22.7,22.5,22.3,22,21.7,21.9,21.2,20.5,19.7,19.1,19,19.4,19.4,19.8,19,20,19.6,18.1,17.1,16.6,16.6,15.3,14.7,13.2,12,10.3,7.1,4.2,0.3,-3.3,-6.3,-7.1,-7.4,-5.9
"59","51","        National defense","Y094RC1",-5.1,-4.7,-4.4,-3.8,-3.1,-2.3,-1.3,-0.1,0.8,2.1,3.4,4.9,6.2,7.4,8.3,9.2,9.9,10.7,11.6,11.9,12.1,12.2,12.2,11.7,11.2,11.3,11.6,11.9,12.2,12.1,11.9,11.7,11.3,10.5,9.4,8.4,7.4,6.6,6.2,5.4,5.4,4.6,4.7,3.8,3.2,2.9,2.9,3.3,2.8,2.5,1.4,0.5,-1.3,-3.5,-5.3,-7.2,-8.7,-9.8,-10,-9.8,-9
"60","52","        Nondefense","Y095RC1",8.4,8.9,8.9,9.2,10.2,10.4,10.2,9.8,9.9,9.9,10.1,10.3,10.9,11.3,11.3,11.5,11,10.8,11.1,11,11.1,11.4,11.5,11.2,11,10.9,10.8,10.8,10.4,10.2,10,10,10.6,10.7,11,11.3,11.7,12.4,13.3,14.1,14.5,14.5,15.4,15.8,14.9,14.2,13.7,13.3,12.5,12.2,11.8,11.5,11.7,10.6,9.4,7.5,5.3,3.5,2.9,2.5,3.1
"61","53","      State and local","Y096RC1",2.7,2.9,2.8,3.1,3.2,3,2.9,2.5,2.5,2.7,2.8,2.5,2.6,2.6,3,3.2,3,2.9,3,3,2.9,3,3.1,3.2,3.4,3.7,4,4.3,4.5,4.3,4.3,4.4,4.8,4.9,4.9,4.7,4.5,4.6,4.7,5,4.7,4.4,4.5,4.4,4.1,3.9,3.8,3.8,3.6,3.7,3.6,3.7,3.9,3.5,3.5,3.4,3.3,3.4,3.6,3.7,4
"62",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","54","  Gross domestic fixed investment","W172RC1",2317.5,2367.3,2390.2,2403,2399.8,2400.3,2374.2,2348,2344.6,2345.9,2350.5,2359.2,2384.5,2432,2512.4,2566.8,2581.6,2670.8,2743.4,2809.3,2873.8,2948.5,3028.7,3073.7,3159.5,3173.4,3163.1,3168.1,3189.6,3215.6,3206.8,3194,3158.5,3149.9,3100.4,2956.9,2760.5,2665.7,2643.7,2620.9,2612.9,2697.9,2703.5,2750.1,2734.9,2788.7,2880.6,2939.8,2987.6,3024.8,3044.8,3077.6,3091.5,3141.2,3196.9,3251.4,3248.9,3334.4,3403.6,3449.7,3426.6
"64","55","  Less: Consumption of fixed capital","A262RC1",1481.2,1508.9,1528.1,1538.7,1570.8,1598.7,1616,1630.4,1640.2,1652.5,1669.3,1686.3,1702,1716.5,1735,1755.4,1783.3,1813.2,1846.1,1884.3,1922,1959.3,2000.9,2045.5,2082.2,2119.1,2152.8,2190,2227.4,2253.7,2276.5,2299.8,2327.7,2353,2379.7,2393,2385.6,2367,2355.2,2365.8,2369.8,2374.9,2382.5,2399.1,2419.4,2442.9,2462.6,2477.7,2499.7,2521.7,2540.9,2558.4,2585.4,2612.7,2640.2,2670.5,2698.7,2722.3,2750.4,2773.4,2793.6
"65","56","  Equals: Net domestic fixed investment","W173RC1",836.3,858.4,862,864.2,829,801.5,758.2,717.5,704.5,693.4,681.3,672.9,682.6,715.5,777.4,811.4,798.3,857.7,897.3,925,951.8,989.2,1027.7,1028.1,1077.3,1054.3,1010.3,978.1,962.2,961.9,930.4,894.2,830.8,796.9,720.7,563.8,374.9,298.8,288.6,255.1,243.1,323,321.1,351,315.5,345.8,418,462.1,487.9,503.1,503.9,519.3,506.1,528.5,556.6,580.9,550.2,612.2,653.2,676.3,633
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Gross government investment consists of general government and government enterprise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","expenditures for fixed assets; change in inventories is included in government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
