"","Table 3#5U# Taxes on Production and Imports                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228"
"30","22","      Tobacco","L305160",679,727,867,927,947,948,973,980,1016,1054,1048,1034,1051,1091,1125,1133,1135,1164,1225,1212,1237,1160,1251,1256,1294,1433,1477,1496,1538,1611,1584,1603,1569,1586,1702,1859,1935,2005,2080,2100,2048,2058,2130,2208,2323,2372,2476,2533,2593,2502,2612,2697,2867,2973,2990,3030,2992,3099,3245,3308,3366,3242,3170,3226,3146,3269,3428,3553,3483,3552,3450,3451,3579,3490,3590,3597,3593,3679,3647,3697,3684,3700,3616,3668,3706,3814,3841,3935,3894,3890,3908,3992,3889,4054,4166,4127,3994,3998,4019,4137,4145,4157,4229,4285,4327,4354,4400,4519,4558,4572,4592,4558,4503,4560,4790,4851,4770,4755,4806,4925,5152,5319,5469,5596,5674,5774,5868,5960,6075,6122,6138,6129,6036,6038,6074,6148,6294,6423,6563,6708,6872,6999,7105,7188,7224,7279,7329,7376,7450,7477,7488,7489,7413,7454,7541,7672,7923,8095,8188,8202,8137,8132,8186,8301,8476,8570,8583,8515,8365,8408,8643,9072,9660,10188,10656,11060,11400,11700,11964,12184,12368,12572,12800,13052,13324,13588,13840,14088,14324,14580,14868,15180,15520,15812,16060,16264,16424,16516,16552,16524,16440,16428,16504,16664,17000,17224,17340,17344,17296,17252,17208,17172,17140,17112,17092,17076,17068,17060,17052,17044,16926,16931,16837,16736,16635
"31","23","      Public utilities","L305170",352,357,363,368,376,381,385,390,400,407,413,420,420,425,431,436,438,461,471,474,460,471,484,493,523,527,541,553,555,554,556,567,595,596,609,640,664,640,696,712,788,824,824,888,928,962,992,894,1064,1164,1124,1252,1244,1384,1352,1284,1344,1388,1396,1420,1404,1524,1560,1696,1700,1840,1984,1924,2040,2076,2024,2304,2326,2354,2418,2482,2562,2656,2748,2806,2860,2912,2958,2998,3212,3570,3868,4174,4464,4604,4640,4776,4912,5320,5512,5656,6024,5820,5931,5697,5779,5759,5958,6244,6283,6452,6050,5955,6047,6128,5830,6107,6107,5992,6089,6096,5981,6122,6381,6000,6002,6273,6227,6470,6264,6687,6654,7055,6175,6601,7611,7521,8184,7180,9152,7204,8125,7612,7494,8677,8421,9211,8186,8282,7813,7803,7892,8220,9233,9157,8678,8420,8646,8731,9065,9118,8657,8986,7957,9760,8815,9181,9710,9738,9182,8636,8841,8553,9261,9541,9849,10681,9712,10092,10712,10852,10780,10724,10256,10428,10104,10640,11104,10696,11284,11340,11820,12228,13688,13876,14168,14684,14752,13844,15072,15184,14684,14772,15052,14800,15068,14804,14140,15124,14720,14188,15304,14644,14576,14896,15096,14172,14396,14588,14392,14692,14624,14336,13992,14548,14275,13966,13884,13945,13794
"32","24","      Insurance receipts","L305180",529,537,545,553,549,555,560,568,575,585,594,602,604,611,619,626,606,637,650,655,682,698,718,730,761,768,787,804,813,812,816,831,818,820,838,880,845,878,944,1041,1170,1243,1259,1220,1125,1083,1095,1161,1278,1367,1412,1427,1408,1409,1432,1475,1538,1590,1629,1655,1668,1680,1689,1695,1699,1717,1749,1795,1856,1933,2026,2137,2237,2333,2424,2510,2588,2660,2720,2772,2812,2868,2940,3028,3124,3212,3284,3344,3388,3420,3444,3448,3444,3484,3568,3692,3868,3996,4080,4124,4028,4058,4361,4353,4410,4791,4648,5227,5654,5761,6171,6198,6774,6737,6428,6665,7177,7021,7395,7499,7353,7425,7258,7220,7176,7669,7665,7630,7147,8398,8102,7885,7725,7804,7964,8059,7593,8171,8096,8732,9144,8328,9027,7341,9394,8264,9030,9152,9025,9072,8465,8874,9035,9846,8792,9047,9755,9388,9626,9647,9348,9267,10391,9778,9316,9804,10062,10158,10059,10333,10363,10725,11800,11216,11780,11576,12904,13100,13328,13120,13828,14820,14484,14920,14752,14992,15356,15296,15032,14856,16600,14136,15604,15328,15456,15500,15800,16352,15296,15392,14040,15340,15968,16828,15284,15108,15900,16184,16212,16632,16144,16756,16968,16944,16648,17136,17940,16212,18452,17656,17623,18062,18822,19627,20120
"33","25","      Other","L305190",371,377,383,389,402,406,413,415,418,423,430,437,454,459,465,470,499,523,535,539,554,567,582,593,601,608,623,636,658,656,661,673,666,670,685,719,748,792,828,816,856,904,948,1040,996,1026,1036,1062,1088,1084,1216,1248,1120,1260,1296,1360,1476,1508,1416,1440,1460,1452,1584,1552,1548,1580,1576,1752,1876,1968,1920,1932,2032,2060,2144,2204,2200,2164,2240,2316,2316,2336,2288,2272,2328,2332,2348,2400,2524,2632,2844,2904,2908,3064,3032,3088,2945,3401,3631,3843,3985,4113,4182,4172,4243,4238,4312,4335,4376,4436,4453,4495,4414,4457,4565,4720,4917,5088,5204,5195,5206,5173,5186,5399,5475,5539,5744,6010,5882,6310,6764,7452,8347,9044,9574,9971,10713,10787,11055,11133,10987,10995,10881,11033,11408,11665,12058,12357,12451,12529,12505,12443,12347,12745,13060,13320,14035,14599,14554,15968,15474,15599,16438,16425,16511,16080,15751,15810,15427,15710,16073,15782,16276,16616,17188,18256,18844,19388,19568,19584,19136,18952,19372,20644,22276,23376,24356,24948,25260,26208,26184,26980,28408,29428,29416,29256,29160,28232,27872,27424,26400,26788,27720,29628,31396,32688,34256,35384,36128,36804,37192,37552,38360,39076,39864,40644,41988,43316,44904,45488,46528,47179,48353,49160,50149
"34","26","    Local","A1667C0",1098,1134,1178,1190,1254,1329,1367,1406,1415,1417,1438,1458,1460,1455,1450,1459,1476,1518,1587,1667,1773,1898,2017,2040,2110,2066,2012,2012,1993,1974,2008,2017,1987,1958,1928,1903,2131,2220,2336,2461,2647,2792,2932,3105,3240,3371,3534,3663,3757,3875,4058,4194,4332,4495,4648,4833,5043,5129,5304,5484,5688,5967,6443,6494,6645,6831,7076,7264,7558,7745,7945,8320,8651,8875,9086,9360,9546,10076,10327,10719,11049,11365,11735,12035,12394,12548,13044,13306,13710,14028,14610,14836,15259,15651,16025,16537,16645,17414,17993,18708,19415,20009,20232,20820,21317,21908,22480,22779,23301,23707,24480,24840,24930,25620,26120,26182,26452,26936,27466,28118,29093,29822,30421,30920,31234,31574,31947,32305,32662,32991,33324,33663,33956,34352,34828,35368,36014,36658,37327,38017,38733,39413,40085,40737,41396,41976,42536,43052,43449,43999,44633,45327,46215,46970,47734,48497,49210,50056,51036,52142,53382,54778,56307,58017,59878,61206,61988,62240,61947,61807,61760,61918,62196,62700,63396,64304,65432,66432,67328,68084,68980,69852,70972,72324,73916,75704,77724,79936,82344,84456,86244,87708,88856,89764,90412,90792,90928,90812,90380,89656,88732,88228,88144,88208,89668,90876,91856,92588,94240,95592,96704,97596,98256,98932,99640,100408,101192,101996,102752,103480,104002,104904,106593,107104,107257
"35","27","      General","L305210",695,731,775,787,790,865,903,942,904,906,927,947,962,957,952,961,979,1021,1090,1170,1061,1186,1305,1328,1371,1327,1273,1273,1271,1252,1286,1295,1245,1216,1186,1161,1283,1372,1488,1613,1587,1732,1872,2045,1971,2102,2265,2394,2262,2380,2563,2699,2710,2873,3026,3211,3307,3357,3500,3624,3760,3955,4323,4258,4349,4467,4640,4768,4946,5069,5221,5432,5659,5835,5966,6160,6246,6668,6819,7103,7325,7553,7863,8127,8466,8576,9000,9162,9442,9628,10070,10148,10419,10671,10921,11333,11458,12016,12411,12963,13523,13979,14072,14534,14907,15370,15811,15976,16356,16617,17243,17452,17387,17919,18265,18173,18295,18545,18932,19448,20292,20852,21322,21690,21842,22076,22292,22498,22721,22912,23102,23297,23465,23721,24030,24392,24841,25284,25750,26233,26722,27219,27716,28203,28740,29159,29523,29842,30009,30349,30757,31241,31906,32483,33077,33690,34276,34975,35789,36716,37758,38872,40058,41316,42648,43562,44058,44136,43798,43572,43457,43453,43544,43816,44272,44912,45732,46464,47112,47668,48136,48764,49548,50492,51592,52932,54508,56320,58368,60128,61604,62792,63692,64324,64696,64808,64652,64364,63936,63372,62668,62244,62092,62212,63404,64388,65160,65716,67008,68104,69004,69712,70220,70768,71344,71956,72596,73224,73832,74420,74792,75540,77051,77359,77282
"36","28","      Public utilities","L305220",233,233,233,233,268,268,268,268,298,298,298,298,312,312,312,312,332,332,332,332,362,362,362,362,372,372,372,372,392,392,392,392,381,381,381,381,467,467,467,467,612,612,612,612,731,731,731,731,876,876,876,876,996,996,996,996,1076,1108,1124,1160,1200,1256,1344,1436,1476,1524,1572,1604,1696,1736,1756,1896,1976,2004,2060,2112,2192,2268,2336,2400,2460,2508,2540,2560,2568,2584,2608,2640,2676,2740,2824,2932,3064,3176,3268,3336,3362,3442,3520,3596,3668,3737,3801,3858,3909,3955,3996,4032,4061,4093,4127,4163,4202,4246,4291,4341,4392,4453,4521,4598,4692,4775,4858,4939,5008,5096,5193,5299,5423,5534,5645,5754,5853,5963,6074,6186,6307,6415,6518,6616,6700,6793,6888,6983,7090,7179,7261,7338,7395,7474,7559,7652,7766,7861,7952,8037,8125,8198,8257,8300,8329,8403,8522,8686,8895,9095,9286,9468,9639,9802,9955,10100,10236,10352,10432,10484,10504,10564,10668,10812,10992,11180,11368,11556,11748,11928,12104,12276,12444,12592,12724,12840,12940,13064,13212,13384,13580,13704,13764,13756,13684,13668,13708,13808,13868,13924,13984,14036,13996,13972,13964,13972,13992,14024,14060,14100,14144,14188,14224,14256,14284,14316,14356,14400,14452
"37","29","      Other","L305230",170,170,170,170,196,196,196,196,213,213,213,213,186,186,186,186,165,165,165,165,350,350,350,350,367,367,367,367,330,330,330,330,361,361,361,361,381,381,381,381,448,448,448,448,538,538,538,538,619,619,619,619,626,626,626,626,660,664,680,700,728,756,776,800,820,840,864,892,916,940,968,992,1016,1036,1060,1088,1108,1140,1172,1216,1264,1304,1332,1348,1360,1388,1436,1504,1592,1660,1716,1756,1776,1804,1836,1868,1825,1956,2062,2149,2224,2293,2359,2428,2501,2583,2673,2771,2884,2997,3110,3225,3341,3455,3564,3668,3765,3938,4013,4072,4109,4195,4241,4291,4384,4402,4462,4508,4518,4545,4577,4612,4638,4668,4724,4790,4866,4959,5059,5168,5311,5401,5481,5551,5566,5638,5752,5872,6045,6176,6317,6434,6543,6626,6705,6770,6809,6883,6990,7126,7295,7503,7727,8015,8335,8549,8644,8636,8510,8433,8348,8365,8416,8532,8692,8908,9196,9404,9548,9604,9852,9908,10056,10276,10576,10844,11112,11340,11532,11736,11916,12076,12224,12376,12504,12600,12696,12744,12680,12528,12380,12316,12344,12188,12396,12564,12712,12836,13236,13516,13736,13912,14044,14140,14236,14352,14452,14584,14696,14804,14926,15048,15186,15345,15523
"38","30","  Property taxes","B249RC0",14415,14466,14935,15432,15606,16026,16454,16866,17188,17453,17705,17974,18331,18748,19174,19579,19885,20125,20356,20614,20989,21446,21924,22389,22757,23054,23329,23608,23922,24288,24714,25216,25842,26566,27333,28115,28851,29566,30253,30914,31551,32291,33132,34078,35129,36166,37193,38208,39207,40102,40893,41578,42158,42818,43557,44375,45273,46065,46751,47331,47805,48465,49310,50340,51554,52772,53993,55217,56442,57655,58853,60038,61543,62817,63841,64599,65275,66057,61336,62324,63164,63992,64816,65640,66516,67796,69464,71528,73892,76248,78020,80160,82440,84492,86328,87940,89325,90901,92665,94617,96757,98793,100717,102533,104469,106454,108480,110561,112643,114908,117291,119790,122548,125141,127719,130280,132398,134891,137744,140951,145019,148377,151545,154515,156622,159703,163080,166727,171212,174726,177846,180500,182865,184417,185424,186006,184818,185890,187799,190525,196002,198767,200758,201949,200773,201623,202984,204936,208120,210867,213747,216674,219976,222560,224818,226766,227908,229604,231856,234664,238032,241284,244429,247463,250389,253271,256109,258907,261658,265304,269841,275269,281388,286992,292068,296624,300652,304804,309056,313416,317884,322992,328732,335116,342132,348612,354560,359968,364852,370868,378028,386332,395784,402780,407328,409420,409068,410808,414640,420572,428596,434412,438008,439400,436692,434948,434172,434356,436576,438504,440140,441492,442544,443448,444192,444772,445192,445828,446676,447736,448509,449461,451022,452551,454087
"39","31","  Motor vehicle licenses","S230200",705,715,726,738,749,760,771,780,782,782,782,786,798,815,829,838,839,848,855,862,874,890,907,925,940,954,968,982,980,983,996,1005,1020,1029,1035,1036,1038,1035,1040,1047,1049,1060,1071,1092,1114,1128,1146,1156,1163,1177,1190,1206,1230,1250,1269,1295,1320,1343,1371,1402,1434,1456,1459,1451,1424,1420,1444,1488,1558,1606,1636,1640,1627,1625,1635,1657,1692,1728,1760,1784,1804,1828,1852,1876,1908,1936,1964,1996,2028,2060,2092,2116,2144,2156,2148,2132,2067,2082,2117,2166,2223,2285,2348,2412,2473,2528,2580,2627,2659,2706,2756,2811,2878,2933,2981,3024,3071,3182,3250,3261,3334,3444,3384,3454,3486,3610,3550,3610,3623,3575,3766,3704,3917,3890,3885,4220,4461,4288,4495,4676,4912,5175,5061,4600,5381,5400,5492,5595,5465,5400,5545,5286,5659,5858,5702,5885,5950,6100,6049,6161,6239,6184,6272,6421,6694,6682,6873,6507,6405,6632,6668,6711,6604,7060,7008,6936,6840,6996,7380,7456,7552,7504,7668,7956,7864,7808,7968,8140,8264,8348,8312,8328,8456,8396,8500,8560,8328,8460,8468,8436,8516,8524,8636,8988,8948,9116,9256,9152,9400,9460,9604,9700,9892,9952,9896,9940,9888,10040,10208,10224,9765,9926,9765,9641,9498
"40","32","  Severance taxes","S230430",391,401,412,424,426,434,440,444,446,450,452,456,457,458,461,464,467,473,483,489,485,493,501,509,500,505,515,520,545,561,572,582,580,600,592,608,612,652,608,628,624,644,668,672,700,692,692,720,744,740,752,748,732,800,804,876,836,828,888,996,1396,1596,1676,1716,1740,1772,1944,1784,1920,1980,2224,2280,2216,2272,2404,2448,2512,2580,2468,2736,3112,3188,3456,4100,4288,4760,5160,5592,6416,7528,8128,8080,8048,7676,7600,7712,7444,6864,6892,7096,7384,7376,7284,7112,7236,6832,7048,6904,6408,5404,4012,4012,4152,4316,4620,4152,4260,4424,4111,3797,4043,4529,5302,3762,5572,4679,4461,6184,5596,4823,4829,5108,4417,4663,4857,5167,4311,4500,4744,4013,4322,4581,4498,4159,4533,3863,3817,3951,4262,4858,4225,4723,4876,5039,4270,4699,4485,3572,3173,3078,3022,3251,3740,4107,4171,4974,6051,5944,7489,6277,4970,4288,3848,3840,4764,4672,5436,6020,5908,6112,6504,6720,7384,7712,8552,8668,8152,11244,12188,10860,9932,9696,10960,14004,11384,15244,16648,24952,26724,16776,8628,6452,9064,10556,12628,11220,10272,13176,14824,17044,17200,17256,18064,17184,14524,16464,16780,15156,18608,17036,14615,16623,18216,16083,11281
"41","33","  Special assessments","S230550",334,334,334,334,369,369,369,369,392,392,392,392,381,381,381,381,449,449,449,449,532,532,532,532,519,519,519,519,493,493,493,493,419,419,419,419,485,485,485,485,533,533,533,533,586,586,586,586,662,662,662,662,751,751,751,751,800,800,800,800,825,825,825,825,852,852,852,852,875,875,875,875,933,933,933,933,1066,1066,1066,1066,1212,1212,1212,1212,1321,1321,1321,1321,1476,1476,1476,1476,1612,1612,1612,1612,1729,1781,1841,1901,1979,2026,2071,2108,2126,2141,2146,2151,2252,2308,2362,2422,2495,2528,2528,2505,2421,2385,2361,2349,2374,2378,2374,2370,2360,2360,2368,2384,2404,2440,2492,2556,2632,2716,2812,2912,2878,2868,2881,2921,3012,3061,3094,3113,3092,3111,3146,3199,3271,3346,3430,3517,3635,3696,3730,3739,3692,3668,3668,3684,3716,3752,3776,3796,3804,3848,3928,4036,4172,4364,4596,4872,5196,5480,5724,5932,6096,6220,6284,6296,6272,6284,6331,6413,6530,6703,6934,7221,7566,7803,7934,7958,7875,7795,7717,7642,7570,7514,7474,7450,7443,7446,7460,7485,7419,7410,7413,7430,7465,7517,7583,7665,7762,7859,7956,8052,8148,8237,8317,8390,8455,8534,8627,8735,8857
"42","34","  Other taxes \2\","S230400",1386,1419,1453,1482,1507,1511,1513,1513,1558,1574,1591,1601,1600,1612,1624,1640,1677,1699,1716,1716,1745,1754,1787,1818,1870,1896,1948,1966,2044,2158,2285,2413,2424,2385,2408,2363,2378,2405,2479,2466,2457,2450,2460,2497,2494,2523,2608,2735,2919,3051,3170,3260,3422,3538,3657,3799,3880,3965,3934,3981,3854,3805,3831,3818,3917,4025,4058,4088,4160,4211,4471,4842,4717,4737,4844,4978,5124,5492,5632,5716,5900,6084,6316,6568,6704,6684,6784,6872,6816,6804,6852,6728,6736,6848,6992,7272,7543,8156,8676,9129,9542,9929,10311,10702,11107,11533,11982,12450,12966,13431,13874,14285,14701,14999,15227,15389,15563,16115,16206,16240,16838,16558,16646,16982,17314,17201,16951,16926,16937,16856,17338,18329,18135,20756,19702,19707,20171,20918,22260,22079,22464,23005,23143,23688,24174,24401,24566,24423,24585,26354,26218,26963,26689,26611,27594,28710,30075,30948,31249,30036,32349,32094,31827,32586,33289,33549,34209,34729,35004,35024,36219,36653,38288,37392,39320,39632,40324,41224,43872,45488,47764,49672,50872,53244,54968,56520,58428,59700,59308,59864,58440,58744,60872,56420,58256,56772,53592,53500,51480,50216,49392,51040,50364,53108,51684,51800,50880,49628,54504,53384,54500,55460,56236,56544,56960,57548,58400,58768,58856,59448,59325,59503,60018,58216,58074
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1. Consists largely of taxes on telephone services, tires, coal, nuclear fuel,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","trucks, indoor tanning services, and of refunds other than those for alcoholic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","beverages and tobacco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2. Consists largely of business licenses and of documentary and stamp taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
