"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"41","30","Household consumption expenditures \7\","DPHCRX0",5862512,5852073,5882593,5869489,5912156,5959405,5942880,5972855,5985633,5961667,6011460,6049043,6019420,6063364,6094548,6120089,6128535,6133958,6146476,6168101,6177357,6197725,6216108,6242781,6274869,6290621,6305762,6304713,6308322,6339143,6402468,6439824,6439173,6472859,6496825,6531321,6525191,6566651,6594063,6627573,6674141,6716645,6719873,6751141,6802758,6828232,6846559,6901041,6891701,6926987,6961448,7004215,7037406,7069515,7085136,7123930,7157905,7170432,7203297,7295669,7268480,7339339,7381728,7371716,7405974,7421313,7423262,7460038,7518446,7512918,7517802,7558108,7556680,7565427,7555997,7561422,7595230,7597399,7613308,7656540,7577036,7763259,7725701,7712744,7738560,7769776,7764278,7801410,7769530,7808369,7849366,7855592,7812531,7834504,7851098,7901267,7915827,7883323,7914644,7950218,7968920,8012625,8052140,8123895,8100463,8102867,8152149,8161569,8201985,8208970,8242079,8241032,8297190,8257361,8307119,8321592,8388001,8406583,8421309,8480466,8478295,8510352,8527978,8589469,8550303,8628066,8682801,8655041,8620614,8638551,8670265,8707341,8741266,8764998,8785272,8799486,8801382,8808045,8848531,8826910,8867627,8915979,8922834,8975616,8984503,8994297,9004299,9024786,9039590,9034459,9045717,9068760,9076350,9071431,9087735,9099264,9081458,9048659,9060269,9069816,9065133,9058062,9002679,8988653,8934536,8910504,8904956,8857717,8909519,8902595,8869999,8865078,8869590,8869075,8880260,8957131,8884443,8913119,8918546,8939259,8929818,8968282,8997924,8995613,9019248,9025623,9049417,9076803,9082849
"42","31","  Food and beverages purchased for off-premises consumption","DFXARX0",554628,546804,548279,544334,548759,548551,546976,547206,547657,546491,548112,554390,552492,551310,552672,554983,554291,554987,554630,553401,553097,554694,555081,556653,558263,558194,561711,558354,555237,555806,560323,558978,560009,559928,561542,557860,557591,559371,560809,561839,563223,566302,567069,566351,569384,568226,570274,576132,575736,578808,580289,583535,585206,583381,585748,588499,592967,588567,591697,614174,584861,591908,599753,600374,597926,604505,601231,600695,603231,607472,606621,608680,609332,604609,602314,609447,611423,607362,606071,606412,609377,607169,606359,611432,605104,605318,606970,602487,608344,609504,611428,609006,607042,611179,615893,616022,621988,622692,623198,620183,613710,617623,625020,627597,626848,623297,625283,621440,634993,631601,636951,634842,636690,635428,635488,637367,644499,646443,647732,648708,653438,657947,658482,657620,656598,661678,662337,670290,677182,681093,672625,670887,672757,680419,676816,682589,686370,683523,685516,688902,685405,696681,693887,702069,700712,696832,694289,692953,693722,693722,697944,694090,697105,699539,701191,707498,702083,696918,701784,698773,698689,701804,696689,692838,684169,679707,679025,666705,676001,673872,675678,678581,682348,682559,683642,686140,693611,694797,698632,695590,698059,707045,703107,698596,696468,697645,696526,707197,708159
"43","32","  Clothing, footwear, and related services","DCAFRX0",214861,210994,214110,213261,215351,217934,219986,215697,221945,215695,220790,221768,217538,222927,221698,225255,225113,227407,227005,231007,230886,232141,230061,231385,230302,232162,232435,228509,228664,232719,235376,239118,237685,239209,241003,240880,242408,246527,246871,251045,248360,248242,250022,245604,247111,251739,252858,254692,258801,261770,264903,262442,264427,265288,264405,266477,266532,265921,266216,267480,266073,270513,275515,274972,277874,275843,275691,278765,282544,280245,281863,281101,281401,277511,270828,279215,278744,276275,278660,282517,271656,279904,281861,284278,285450,284805,284588,285857,282271,286701,285004,283277,281084,292198,289052,292465,291748,287335,294553,294475,299728,301493,304105,305980,306221,302577,305280,308263,310130,312287,316144,308377,311624,307746,311090,312836,315658,318301,317034,322395,321719,328390,320841,330144,328144,334310,330982,333048,329899,341844,340549,341797,346221,347274,344236,345946,342024,342920,346648,344665,353424,353967,350448,358036,358230,354522,362021,356538,360825,360970,362465,362183,361974,361663,362680,359737,358002,358041,361755,365822,366674,370055,365147,358129,348211,345957,348998,344082,345951,346748,337242,339011,341901,336988,337293,340321,340514,343268,344967,342853,344425,353228,360251,360149,357158,356251,353122,357266,360266
"44","33","  Housing, utilities, and fuels","DHUFRX0",1239365,1250528,1240500,1255276,1261403,1262152,1271165,1278015,1265499,1262890,1278765,1279411,1281099,1290213,1288235,1286250,1288962,1286470,1280076,1289285,1285366,1292839,1297282,1295736,1302889,1298594,1293867,1312996,1311693,1307147,1317564,1316068,1322696,1340965,1327711,1340165,1324027,1340026,1348089,1343173,1355196,1365447,1361778,1364668,1368885,1362469,1361540,1370288,1379630,1374381,1389338,1391274,1393908,1402043,1408874,1408942,1410356,1411129,1402136,1410746,1415216,1414475,1407407,1421971,1432171,1440653,1436394,1445523,1448754,1448685,1462500,1488064,1468701,1473661,1482415,1470505,1474751,1474464,1479022,1478947,1479831,1486301,1470168,1477705,1475975,1476634,1482567,1482920,1489827,1484047,1488826,1487346,1488557,1500532,1497555,1495140,1503808,1504555,1491270,1509096,1505795,1493757,1502700,1504243,1505376,1509687,1513032,1520588,1524269,1529841,1509475,1526424,1529211,1530902,1533406,1532536,1544992,1551606,1559939,1569620,1572667,1571912,1594431,1588379,1600623,1608998,1612031,1615493,1616106,1614740,1618519,1632509,1592427,1624539,1633733,1629176,1643451,1640410,1656935,1645106,1641016,1654038,1641662,1631397,1648550,1657638,1633058,1657118,1635475,1639882,1639122,1655329,1646481,1636934,1647907,1646755,1650157,1657679,1651673,1653280,1650986,1651998,1647050,1638110,1649312,1659452,1670638,1673531,1676686,1663928,1670828,1671496,1669564,1674564,1671977,1678497,1684619,1690321,1671749,1696574,1690937,1688118,1672679,1672561,1690989,1697628,1703987,1700204,1697833
"45","34","  Furnishings, household equipment, and routine household maintenance","DFHHRX0",248708,244767,245483,246008,248972,250354,251552,250068,252020,250508,254766,255055,248265,253204,255664,257840,260083,260374,260544,259948,262171,264323,265454,266599,264974,268082,269062,268006,268150,270541,272800,274570,275333,276202,278729,279347,282890,283574,283758,284650,286699,289430,289722,291000,293259,295550,298813,300612,300409,305292,307894,304863,309135,311247,310419,315295,318792,319563,321327,327015,325537,329193,332039,330710,333116,332508,332231,334099,335085,336518,334683,332908,340553,336294,335945,338366,339923,339298,341132,343104,336050,341929,345668,349570,350952,353682,354491,354720,355168,354665,353955,356069,355194,358145,361542,363275,363165,357627,366460,365073,373020,376786,379793,384583,386852,387392,391481,391437,391597,392549,401475,398970,400377,401032,407784,406744,407943,408140,409292,416154,412577,415716,413876,419777,416403,424183,422169,426797,429781,435689,435553,433787,444760,443334,444169,442356,438978,440521,440325,442024,446419,444602,444582,450114,453102,449475,453490,449663,453175,449273,452847,454381,454794,454952,456645,455927,452215,446598,446692,451640,452179,451305,450077,443279,433370,429884,425790,419794,419343,418502,410604,410038,409351,408722,409657,413316,414214,416530,419682,421490,422750,429742,436542,438810,436270,435686,438181,442203,444467
"46","35","  Health","DHLTRX0",1074739,1078814,1084622,1082460,1087794,1087859,1088937,1094946,1095559,1098565,1098157,1103139,1102741,1095983,1108271,1113436,1113695,1119141,1118335,1121412,1126077,1132374,1135369,1145130,1143482,1145498,1146926,1149679,1152419,1159073,1165451,1169911,1173361,1178607,1184246,1189652,1198593,1199941,1203801,1207207,1208707,1217675,1218156,1222335,1222929,1223433,1229670,1228209,1233430,1236416,1236803,1239951,1242978,1243903,1241490,1252928,1258291,1265542,1278048,1284988,1267746,1269614,1284834,1297098,1303470,1306981,1306309,1313461,1319608,1323732,1328997,1342535,1338947,1345057,1349053,1349668,1363122,1365428,1377358,1388486,1388092,1403472,1407432,1417361,1430425,1435050,1439905,1445203,1446648,1461732,1461830,1460627,1468154,1470993,1474855,1474239,1481072,1484609,1489021,1488370,1482256,1497710,1497859,1505719,1507312,1507675,1519257,1519908,1518779,1513559,1526424,1533143,1539764,1544501,1552153,1558103,1565461,1568926,1570944,1575742,1583607,1594129,1589290,1595746,1596916,1597760,1603172,1607613,1610445,1608030,1609942,1620824,1624069,1627370,1631114,1633868,1633784,1635270,1631800,1632043,1632795,1640302,1650189,1660837,1663688,1667728,1676248,1675860,1676919,1679251,1680086,1683558,1681038,1684577,1689994,1695226,1705998,1710833,1713160,1720114,1724368,1722377,1723200,1723936,1724385,1727628,1731443,1736616,1740237,1746606,1747980,1755630,1757738,1759534,1759159,1755807,1761227,1764730,1764171,1764842,1760808,1759988,1763004,1769400,1773133,1781417,1786413,1787943,1789533
"47","36","  Transportation","DTRNRX0",674576,670707,681821,665223,673219,695476,676126,693563,696616,684375,698045,713477,697696,712023,719483,725657,724055,713562,719582,727577,724821,731362,733662,730741,754246,751210,761885,747297,743408,755408,769686,786617,768877,770778,790413,798237,778179,779842,783699,800405,824786,814933,804611,823017,843267,859371,855152,878665,842135,852087,851080,873090,882977,896260,891607,890072,887328,877452,876205,892425,904012,927288,912212,886543,896751,884959,884940,897468,916182,904639,896347,900298,897903,925105,913185,891346,899518,913336,906677,920933,887194,1021044,967496,906653,920863,938137,930306,950945,910518,932188,964558,986352,930809,915426,920137,960340,944246,926503,934892,955033,952205,957122,960514,996961,966946,962838,977173,968336,967227,969420,978316,968983,998211,952667,970457,968629,992726,982176,980702,991364,985653,971567,983181,1006495,970150,1006900,1056090,987766,946846,929540,947250,960693,965444,948945,950633,960394,947949,957948,979016,952015,962961,966708,962717,972400,967581,973777,963717,972888,979364,965970,962744,963199,981807,971718,956751,956851,943530,927320,934689,921514,910272,899976,868316,892310,863476,849943,841060,835238,848487,845294,840074,826458,843685,842111,854962,911453,819480,836602,841903,842441,832771,832535,859061,852157,857444,848781,853609,851325,847548
"48","37","  Communication","DCMCRX0",86995,87248,87672,88364,88883,89606,90458,91292,92178,92633,93470,94384,94595,95229,96050,96936,97870,98458,98789,99074,99708,100582,101447,102210,103181,104115,105035,105308,106068,107137,108818,109960,111119,112318,113296,114167,114609,115171,115740,116043,116749,117591,119369,120705,121543,121779,122804,123943,124764,126307,128254,130490,132560,134473,136609,138280,139256,140243,141773,143906,145243,147071,149487,152306,154612,156555,157917,159437,160094,161248,161941,162134,162759,162825,163803,164944,166560,167946,168190,168539,168324,168152,168514,169187,169431,169896,170077,171875,173357,172120,172019,172289,172212,172378,172565,173233,173816,174071,174505,175227,176076,176716,177245,177568,177721,178271,178976,179747,180401,181341,182632,184093,185466,186506,187422,188114,188584,188713,188667,188918,189275,189813,190429,191273,192120,192763,193188,193691,194262,194860,195395,196033,199048,200978,203031,204711,206160,207301,208058,209681,211955,214569,217009,219005,219544,220707,222737,225471,227317,228287,228485,229039,229854,231201,232784,234100,235253,235382,235254,234706,234319,233902,233894,233561,232896,231821,232125,232696,235613,236865,236538,235913,235049,234296,233217,232590,232146,231786,232156,232506,233175,234045,234346,233236,232889,233155,233475,233930,234709
"49","38","  Recreation","DRRLRX0",376372,373686,380064,379543,386090,392457,391288,396006,399990,399730,402551,405831,403799,405303,409236,413453,415970,421545,425340,425377,425858,430012,432344,437765,433900,440900,443917,445209,446781,449725,453934,456635,459055,461399,465835,467847,473321,476330,477432,482273,487068,489727,498742,502329,507092,512391,514085,520518,520765,529899,533800,538087,541963,546116,550426,557905,568055,571025,574168,583728,584072,590122,597608,597767,594668,596016,600953,602367,610327,609136,611857,612073,617266,613770,616385,618886,620752,620411,626420,628645,614044,626593,638534,641588,646782,649374,647184,654470,654021,653499,655617,658724,664047,665575,669772,674020,672501,669816,675085,679706,687795,696938,703084,714035,716399,720408,724425,729082,732927,738572,746191,743877,750112,751120,757997,763402,766800,769334,771881,780477,780311,794059,797829,802153,800359,804007,805621,813718,810323,824588,828784,827005,855414,848009,851564,856616,854414,854510,858298,864393,877846,882972,893214,902698,902600,898660,914313,909872,921148,921050,933626,935198,938569,942972,945246,949903,940400,937294,938100,943061,954125,955281,954107,943285,928613,920604,918992,909724,929429,927098,916320,920216,917458,919255,921236,929969,935403,936845,948910,948910,952010,960656,965520,970243,968861,977419,983517,992260,1002582
"50","39","  Education","DEDURX0",164243,163580,163444,164017,164263,164372,164909,164755,165133,164969,165577,165771,166262,166167,166815,167595,168112,168234,168651,170172,169743,170294,170508,171380,171846,171446,171668,171704,172026,172476,172910,172945,173915,174462,175216,175350,175776,176726,176949,177195,177215,177689,177610,178312,178739,179110,179848,180714,180575,181312,181512,181775,181743,182026,182684,181433,182294,183485,184679,185500,184412,185967,186434,187269,187913,188426,189035,188752,189707,190131,190258,190081,189639,191848,192227,191814,192120,191546,191080,191260,190481,190329,189921,189747,189488,187469,187244,186982,186473,186162,186753,186763,186986,185815,185507,185100,185896,185053,184780,185521,185773,186574,185912,185914,185241,184450,184507,183917,184047,183495,182968,182247,181693,181240,180800,180591,180176,180192,180265,180770,180739,180949,180934,180366,180325,180243,180661,180698,180473,180803,180749,180949,180931,181036,181134,181306,181380,181419,180518,179999,180868,181399,181961,182128,182298,182059,182345,182478,183099,183265,183701,183458,183795,184363,184637,184571,184210,184273,184417,184779,185102,185088,185561,186531,185771,185632,185312,184995,185477,185563,185617,185544,185015,185050,184681,185835,185101,184877,184786,185252,185625,185806,186127,186017,186278,186156,186180,186443,186266
"51","40","  Food services and accommodations","DFSARX0",418851,412472,414964,416956,416491,414920,415712,417367,417005,415650,415521,416498,413608,415113,419178,417745,418730,417674,418653,417998,419312,420874,423792,422664,426880,426879,426096,426659,425680,427128,430149,432111,430805,428034,425765,430319,431924,432723,433795,436545,437537,440399,438247,438908,442311,444552,444728,448640,442531,446306,444585,447039,447185,447272,447069,447389,452452,458347,460297,459916,462903,465647,472483,470688,470750,471927,472017,470027,476314,474657,473329,465810,478667,473822,471854,468847,470828,470837,470078,474400,458426,463038,464204,473664,473477,475768,472195,478769,475823,477903,477928,478555,478734,476426,479444,481722,482981,480251,484654,483533,492324,493893,497077,503229,497257,503582,504634,499334,505072,505083,508061,505449,506350,506690,509777,506154,511035,513062,511733,516543,514581,520162,514793,525833,522210,525367,525125,526398,530083,529940,535768,533438,548566,541439,543979,540511,539480,536091,534316,539200,542463,542167,542839,548158,542626,540451,549339,545499,550129,551772,551869,552847,554641,558116,555508,561662,555345,549065,548438,553584,553107,552062,550559,548017,545579,541891,537778,535201,534186,534217,528310,528598,527121,526004,526891,524960,524216,523388,526406,528488,526435,538031,540430,539093,537790,538061,540056,543547,545135
"52","41","  Financial services and insurance","DIFSRX0",480468,481802,483877,485600,488303,489033,491582,490568,494904,492278,495004,499644,500151,502878,508616,506019,510147,509728,505187,504625,509839,509315,512494,514119,516987,517583,516886,514728,520827,519266,527622,533428,532919,537660,530336,534469,534892,541434,544662,549367,548898,560829,557371,563150,573088,572157,577423,580339,584118,580653,583816,595402,598175,600262,605139,611300,614871,617551,633973,642213,650608,663904,672672,667869,659066,665628,664419,666794,668291,669053,664155,672112,664760,655337,657301,659424,658710,658446,653191,655768,660696,665595,669138,670417,663884,663308,659778,657056,656780,659846,667799,657414,652892,655964,655727,649560,648471,646773,648373,646708,653418,659439,659044,657951,665549,664922,668787,674104,681558,682850,685006,688502,686515,685106,687966,690048,693902,700758,706583,712516,702789,703145,703656,709540,709345,713368,714635,718730,718219,716858,718958,722190,723958,726209,727936,728877,732734,732323,731343,735905,739638,743891,748304,754116,751517,756376,759667,761652,766044,769265,769970,774174,765283,769635,778448,774621,777701,774019,772991,771723,772891,771786,772866,768222,777288,772636,761723,757359,752295,755127,754323,749059,746283,743312,739663,739339,739197,736674,732536,728360,726638,728100,727449,731067,733212,724116,722533,725963,723875
"53","42","  Other goods and services","DOISRX0",428738,426794,428932,430015,431966,431257,432736,432190,434785,433933,437075,437448,437187,441426,444808,444250,447277,447634,446792,447826,450283,451685,452210,455967,452866,455054,454746,455943,456342,458998,461672,461345,464870,465471,467744,468293,471836,473068,474105,476027,476796,481625,482618,482939,481607,483703,485557,489252,492639,494161,496791,494908,496546,497347,499010,500154,501681,505101,506545,512703,509925,512690,511183,513469,518515,519403,520774,520990,524991,523983,523152,524203,525329,525618,523959,525866,526533,523750,525706,529342,525849,528919,531366,531263,532025,535285,536091,536359,536598,536027,535540,538531,537192,540288,542220,545585,546403,546604,548266,548906,552236,556184,558164,559096,559762,561572,564521,568577,567131,567457,568675,567970,569597,570343,572729,574571,576415,578021,577231,577707,579718,581594,579989,585016,581088,581890,578209,579396,576195,581390,582285,584333,587240,590739,591326,588470,591055,590073,590200,590169,592085,594670,598024,598969,596284,595134,598272,597635,598651,596709,598646,598853,599135,598813,599547,597360,596786,591212,597674,596671,597898,599231,598862,596127,590602,589257,586613,579255,581616,583676,580349,578192,573680,573549,572820,574763,573584,572463,573229,570860,577991,576389,578288,576076,576448,575944,577720,575620,575650
"54","43","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRX0",-27383,-18770,-17881,-26949,-27405,-15677,-30077,-29151,-33433,-29754,-31866,-33985,-28504,-23016,-31193,-27606,-35093,-33589,-20863,-23020,-23665,-38494,-38791,-34061,-28147,-26166,-27402,-25775,-25548,-25118,-23005,-22714,-22240,-22624,-17964,-17089,-16229,-13673,-10408,-14779,-12518,-8313,-4818,-6209,-4814,-7212,-8560,-13852,-9220,-9371,-7817,-7336,-9860,-11177,-10105,-9303,-11915,-10067,-10540,-7986,-10795,-8844,-1857,-10666,-1553,-1653,476,191,647,1062,-293,-2134,-2395,-1375,-3435,11150,10110,6158,5741,4065,4548,1369,1131,1764,7202,8243,5539,6182,4039,5890,1979,-6010,210,-1920,-5224,-404,8394,5852,6399,5539,19,3532,6272,6726,2734,-479,-1555,-253,6738,3458,1493,70,4587,5114,1155,3185,1232,1750,24,76,1575,497,304,-2627,-4649,-3819,-1881,191,854,667,4607,3213,1837,5922,6623,5709,4708,6432,5389,4467,3026,2267,763,-337,1496,3943,-129,1020,-878,493,-8795,-10838,-11398,-15449,-15323,-16491,-12526,-11978,-18234,-15812,-23109,-23047,-26504,-24472,-18932,-15207,-6993,-11429,-7531,-6941,-8998,-9768,-14455,-12658,-10323,-9185,-12584,-12328,-11421,-10356,-12562,-13615,-15443,-16952,-14496,-12704,-11804,-11138,-14754
"55","44","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",142503,139457,138881,141386,141321,142079,141878,141506,143303,144065,144967,146176,147649,151185,151023,150428,151085,153810,153518,153158,152131,151446,149488,146225,143331,139462,139811,139614,139664,140304,137634,140235,141332,139673,141705,143921,144575,146218,148344,149169,150906,153009,154830,156334,158282,160119,162132,163178,162853,162703,163303,163380,164249,164831,165089,165579,165598,165822,167820,168684,171824,172893,173659,172880,173699,174100,178326,179971,181482,184159,185399,185719,185148,185785,187296,189156,189880,190398,191356,192744,194586,195945,196607,197976,199311,199975,201785,203178,205291,206513,210180,213236,214940,215831,218649,219693,219157,217084,216611,218859,221300,221336,221635,219980,218455,220284,219530,217912,219923,219895,220317,219090,217980,217163,216694,217204,217039,218425,218937,217099,214027,213780,212490,212709,213534,214743,213391,212782,212141,214289,216972,218049,220185,222492,225676,227733,232561,236009,241154,243647,244603,243230,243938,243544,242679,240671,239234,236980,236789,238731,243371,246354,249791,255189,257583,256528,258938,261805,262539,262590,262321,262352,265123,268651,273656,277836,278753,273416,267348,258972,255804,249409,248199,249254,251037,255796,256898,258493,260344,260778,260153,260514,261279,262259,261857,264461,263701,265739,267722
"56","45","  Gross output of nonprofit institutions \2\","DNPERX0",632756,631350,633760,632742,635656,635955,634815,637808,638211,640471,640229,643500,643924,641149,647621,649572,649461,655506,653576,655387,657650,660899,661373,664884,660808,656295,656363,657530,659650,661716,662576,666369,667571,668080,671935,676676,681343,685367,688107,689271,691699,694865,698515,701390,704321,706614,708729,710473,711383,713292,715328,715859,717015,718681,720853,722952,724581,727523,731153,732978,734609,736610,739620,741210,744108,747141,749705,752761,755356,759039,762861,764872,768208,770312,774215,776740,779099,781594,786303,790256,792844,797030,800756,806273,811451,815300,819115,824006,827729,832200,835114,839391,840654,842053,843150,843156,842852,841088,841660,842650,843389,843965,844825,844393,844082,844957,846086,848230,850240,851835,852430,854042,856080,858923,861292,863965,867070,869631,870627,871109,870635,872380,871832,871399,872168,872970,874496,874407,874467,874436,880269,886129,888581,891429,894411,896010,899274,901774,903123,903821,904279,905992,910063,913413,917162,918583,921556,919936,919162,918476,919251,921660,923656,928331,930439,932492,937224,941162,942651,944195,943749,943329,943125,946126,949876,955834,957955,956439,954661,951884,951870,950950,951081,951019,949847,949758,951217,953217,954995,954129,952175,951362,952471,956209,959509,963854,965898,968759,971158
"57","46","  Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",493158,494946,498026,494341,497377,496885,495936,499374,497891,499387,498198,500251,499142,492675,499385,501980,501180,504474,502820,505029,508389,512394,514915,521882,520774,520263,519969,521366,523473,524911,528617,529731,529808,532118,533877,536348,540437,542784,543281,543580,544164,545096,546835,548126,548975,549294,549232,549861,551145,553266,554689,555147,555367,556430,558377,559992,561654,564451,565941,566852,564996,565861,568108,570649,572719,575412,573229,574526,575493,576251,578793,580512,584643,586090,588395,588865,590474,592465,596248,598746,599309,602090,605189,609334,613163,616384,618267,621743,623193,626436,625307,626305,625724,626189,624242,623147,623457,623920,625033,623639,621826,622388,622969,624276,625570,624567,626486,630311,630276,631903,632083,634933,638093,641766,644611,646777,650049,651232,651722,654025,656607,658598,659335,658685,658633,658240,661102,661627,662344,660143,663291,668075,668387,668929,668742,668298,666786,665890,662196,660465,659997,663038,666397,670108,674668,678030,682374,682945,682359,679808,676110,675627,674302,673784,673611,676626,679004,680177,680954,682431,682251,681814,679011,678668,677696,679690,680959,684419,688240,693106,695935,700722,701923,700943,698249,694001,694457,695005,695117,693911,692566,691474,691886,694640,698155,700105,702720,703725,704336
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
