"","Table 2BU# Real Manufacturing and Trade Sales, Seasonally Adjust","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167"
"52","44","    Apparel, piece goods, and notions wholesalers","KP42230",6828,6980,6787,7001,6923,6785,7201,7031,7030,6859,6997,7072,7314,7334,7336,7137,7023,7004,7084,7146,6757,7370,7057,7105,7243,7145,7703,7479,7549,7455,7453,7457,7529,7474,7607,7584,7605,7780,7921,7994,8020,8214,7993,7954,7992,8092,8028,8311,8170,8120,7792,8001,8423,8152,8017,8158,8214,8434,8627,8385,8296,8696,8858,8919,9015,8944,9194,9270,8938,8738,9223,8499,8947,8606,8653,8539,8568,8561,8680,8724,8923,8767,8952,9087,8762,9217,9312,8973,9116,8934,8735,9021,9092,8888,8877,9466,9135,9219,9310,9592,9688,9490,9584,9092,9001,9650,9387,9843,9943,9485,9557,9626,9401,9845,9751,9666,9738,10180,10007,9866,9834,10192,9829,9854,9932,10467,10045,10247,10074,9779,10310,9888,10045,9535,9550,9833,10331,9603,10059,9917,9873,9343,9084,8776,8969,9293,9397,9194,9101,8968,9109,9190,9079,9414,9343,9547,9419,9437,9453,9825,9777,9647,9633,9641
"53","45","    Grocery and related products wholesalers","KP42240",31243,31384,31947,31308,31620,31929,31644,31426,31104,30637,31394,31195,31761,32359,32049,32169,32457,32723,32761,32743,32789,32775,32701,32643,32070,32668,33017,32923,33737,33094,33376,33861,34263,34423,34894,34750,34885,34860,34791,35062,34965,35572,35501,35555,35070,34906,35142,36536,34986,34798,34683,35143,34451,34460,34758,34365,34079,34129,34503,34450,34438,34680,33682,35135,35061,35459,35649,36016,36222,36159,36345,36377,36067,36748,36740,36581,36632,36973,37271,36521,36062,35646,35400,34622,35364,35419,36063,34941,34256,34618,34981,35511,35085,34577,34828,35418,35212,35279,34716,35110,35633,35936,36394,36408,36091,36183,36430,35749,36045,36567,36563,36166,36364,36624,36683,37125,36680,36743,36790,37278,37567,37698,37753,37798,38158,38536,38266,38422,38399,38177,38260,38187,38041,38029,37135,38054,37973,37417,37486,37591,36937,36844,36676,36614,36597,36831,36495,35532,36226,35647,35959,35675,35933,35353,35295,34955,35667,36144,35878,36600,37221,38622,39075,39549
"54","46","    Farm product raw material wholesalers","KP42250",9253,9614,8728,8785,8972,8874,8521,8734,9349,10213,9341,9221,9485,8553,8541,8618,8617,8374,8253,9098,9471,9133,9119,9780,8756,9171,9291,8860,9697,9760,10054,9027,9672,9766,9660,9293,9219,8849,8952,9434,9227,9779,10295,10450,9823,9397,9030,9445,9148,9931,10022,9604,9687,8932,9117,9227,9033,8806,8855,8601,9041,8900,8867,9471,9166,9297,8858,8321,7951,8094,9100,9451,9421,8701,8569,8439,8349,9117,8725,8989,8704,9151,9154,9130,8901,8826,8821,8904,8366,8516,8527,9385,9358,9692,9878,10060,9801,10100,9106,10062,9821,9880,9795,9557,10383,10172,10277,9854,10025,10459,11138,10783,10772,10809,10472,10309,10380,9017,7923,8479,9111,8874,9161,9690,10073,9692,9931,10545,10537,9435,9557,9092,9927,9508,9888,9404,9808,9470,9502,9843,9207,10718,10389,10511,10199,10553,10383,11216,10378,10024,10844,10124,10352,10485,13133,11861,12593,13296,13343,12644,11716,12188,11540,11510
"55","47","    Chemical and allied products wholesalers","KP42260",5915,6040,6151,6237,6152,6387,6450,6319,6381,6279,6234,6219,6347,6373,6179,6215,6329,6222,6239,6354,6372,6505,6522,6435,6497,6146,6467,6398,6517,6802,6584,6641,6506,6575,6647,6625,6599,6307,6605,6708,6606,6729,6607,6744,6762,6871,6741,6967,6662,6801,6750,6678,6785,6698,7030,6872,6832,6909,7046,7100,7259,7374,7028,7315,7551,7344,7236,7338,7424,7229,7089,6975,7135,6852,7001,7026,7048,6972,7060,6889,7005,7065,7072,7051,6980,6991,7149,7031,6975,7100,7109,7143,6974,6972,7147,7141,7392,7411,7186,7522,7494,7614,7456,7548,7310,7079,7192,7110,6764,6895,6934,6811,6761,6775,6792,6752,6763,6782,6834,7013,7054,7049,7275,7165,7039,6878,6922,6954,7264,7468,7197,7096,6710,7002,6859,6825,6744,6767,6620,6649,6310,6815,7017,6635,6131,6050,5863,6044,6114,6050,6033,6134,6202,6032,6181,6342,6393,6310,6316,6389,6472,6409,6518,6591
"56","48","    Petroleum and petroleum products wholesalers","KP42270",26076,25797,26718,25134,27233,28064,28050,28435,27715,26423,27226,27031,27340,28104,30514,30378,31379,32901,32711,32872,33999,33079,33809,35647,33344,33859,34413,30667,31650,32303,30757,30275,29038,29485,28881,26614,27385,26789,25880,27517,27824,28220,28636,28921,29742,29843,28857,30511,31076,29536,28739,29103,29564,28090,29755,29054,30193,29899,30583,31764,31501,29608,29648,31213,31995,30950,30953,31461,30782,30998,32098,32006,32432,30535,29441,29726,30636,29528,29594,29311,29177,30373,29741,30483,30132,31203,31911,30161,31031,31175,29353,29103,30178,28780,28809,29199,30124,29152,29445,29347,29057,28556,29187,30148,28718,28276,29136,29113,28868,29279,30666,30021,29858,29937,31081,30276,31058,31147,30981,31402,29651,32472,31900,33128,34590,33564,32462,31475,32162,31127,29682,31301,31580,32832,32386,32961,32777,34344,31375,31452,29471,31118,31891,36731,33985,33298,35895,35499,34933,32124,35308,31145,31097,29715,31212,30455,28353,31142,32091,32363,35352,36471,37233,34031
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","KP42280",5451,5526,5613,5398,5659,5568,5741,5743,5891,5801,5771,6086,5730,5781,5927,5975,5984,5790,6029,5950,6437,6216,6112,6216,6287,6255,6282,6389,6406,6450,6376,6526,6718,6764,6766,6607,6649,6565,6686,6715,6587,6723,6548,6697,6846,6825,6813,6734,7001,6938,6480,6795,6716,6800,6885,6754,6650,6674,6893,7064,6855,7084,7252,7116,7093,7118,7142,7111,7142,6934,7054,7327,7114,7260,7249,7178,7126,7119,7518,7425,7315,7443,7364,7274,7335,7133,7021,7195,7482,7324,7430,7261,7474,7507,7476,7637,7470,7464,7489,7541,7616,7636,7459,7650,7537,7568,7588,7383,7683,7811,7606,7780,7736,7913,7858,8169,8230,8141,8422,8171,8146,7920,8342,8115,8336,8389,8357,8315,8422,8511,8402,8459,8304,7969,8272,8219,8283,8336,8280,8250,8525,8261,8100,8116,8521,8203,8103,8257,8259,8103,8231,8263,8208,7838,8016,8031,8037,8271,8537,8445,8254,8318,8109,8129
"58","50","    Miscellaneous nondurable goods wholesalers","KP42290",15107,15851,16085,15355,15869,15278,14734,14748,15115,14833,14653,14961,15223,15096,15588,16193,16425,15475,15527,15330,16022,15683,16526,16351,15010,15279,15165,15320,15486,16249,15857,15957,15455,16120,16455,16413,17066,16213,16972,16783,16568,17084,16262,15940,16627,16317,16296,16678,16052,15992,15656,15132,15316,15344,15921,15970,16248,15788,15048,14990,14981,14861,14497,14364,14538,14539,15036,15121,14821,14734,15060,14817,15147,15230,14701,14623,13704,14250,14537,14687,14560,14966,14998,15494,15247,15489,15939,15881,15624,15994,16031,16854,16470,16157,16461,17054,17063,17411,17012,16602,16521,16010,16108,16009,16211,16852,16306,16210,16946,16744,16014,16887,16348,16374,16521,16432,16441,15978,16369,16471,15977,15544,16370,16292,16698,16651,15932,15762,16174,16675,16862,16076,15371,14975,14938,14711,14869,14486,14256,14154,13862,13590,13723,14122,14650,15093,15173,14994,15262,15655,15621,15271,15157,15194,15168,15287,15581,15796,16155,16730,15700,15473,15267,15181
"59","51","Retail trade industries","KP440",223661,225295,226244,224474,223199,226791,229651,230487,230354,230175,232220,232647,233720,234533,237059,239912,241280,242865,240808,239591,242753,246510,248618,250900,251792,254917,255964,254812,258047,257972,259074,261340,261535,261854,265015,269498,267421,270189,270693,267457,267746,268037,267573,269153,271884,271392,269659,269914,271703,271756,270074,273989,273549,271982,272739,275011,269357,290345,284113,281716,281621,283473,280942,283336,279859,282547,285666,287588,282801,283768,285953,288508,289318,283193,288002,289823,292975,296334,298539,301863,298869,298898,302910,301550,301713,302852,308002,304166,307875,302854,307000,307742,312370,312247,312498,316288,315375,316978,315977,319172,317297,324867,327292,319886,314907,316969,323277,323694,331600,329171,330254,330599,327938,328121,329558,328424,329258,333126,334998,337524,335961,335706,335193,333023,335683,331683,332753,334431,335965,336454,337346,333213,332934,328655,329104,328989,327656,324165,319336,317096,311225,306110,308867,303845,308961,307008,301716,302288,305118,304291,304380,309539,302714,305506,310148,309330,309870,310998,317361,318973,316565,318112,318441,318944
"60","52","  Motor vehicle and parts dealers","KP4410",57050,57528,57160,56695,55073,57016,58189,58883,58317,57642,58761,59086,58797,58222,59676,61057,61997,62884,59808,58594,60549,62836,63196,63690,64087,64778,64970,65485,67007,66520,67725,68832,68126,67773,69107,69076,71299,72381,71525,69162,68416,69035,68404,68249,70118,69162,67307,66067,68124,68558,68055,69286,68983,68919,67942,68478,66771,83101,74653,70599,69846,70874,69211,70793,67446,69872,72582,74819,70234,69570,70345,72309,72920,69705,71856,72834,73103,73898,74659,77094,75180,74475,76493,74826,73938,75386,76444,73855,76753,72421,75413,75644,78753,77958,76843,78828,76386,76830,76271,77474,75535,80435,84817,75960,72503,70416,74850,75402,78772,75545,76262,76430,74744,75245,77250,75583,75641,76916,77504,78401,77280,77719,77478,77296,77993,75616,75314,76799,78032,78492,76520,75592,75164,73481,72700,71032,69867,67651,64385,65823,62682,59436,58714,58144,60390,58397,56597,56350,57051,58007,59470,63656,54702,59382,59889,59800,59505,57904,61600,61895,61866,60661,61448,61094
"61","53","  Furniture, furnishings, electronics, and appliance stores","KP44230",8253,8443,8456,8646,8611,8678,8812,8940,8971,8982,9143,9207,9344,9405,9364,9335,9412,9622,9695,9847,9811,9890,10141,10218,10120,10323,10495,10473,10704,10867,10918,11143,11403,11411,11392,11597,11816,11969,11974,12171,12049,11947,12015,12157,12202,12175,12065,11751,12296,12168,12208,12161,12266,12448,12587,12679,12421,12722,13134,13441,13358,13588,13620,13588,13701,13650,13550,13649,13767,13819,14012,14190,13975,13659,14095,14263,14785,14978,15183,15469,15661,15796,16040,16237,16120,16255,16609,16671,16682,16988,17410,17333,17412,17605,17681,18015,17978,18426,18326,18449,18402,18846,18864,19187,19550,19772,19735,19644,20686,20358,20491,20497,20534,20911,20872,20988,21469,21176,21528,21944,22103,21755,21872,21962,22021,21793,22162,22432,22426,22699,23029,22791,22555,22132,22430,22808,23134,22751,22815,22406,21796,21723,21692,21167,21803,21837,20878,20846,20776,20964,21094,21441,21773,21912,22324,22215,22589,23462,23598,23445,23606,23762,24013,24109
"62","54","  Building material and garden equipment and supplies dealers","KP4440",16617,16902,17099,16963,16983,17183,17274,17347,17591,17738,17672,17805,17977,18070,18176,18451,18670,18719,18846,18769,19188,19610,19779,20148,20085,20326,20063,20090,20128,20024,19961,20184,20206,20848,21193,21270,21578,21303,22314,21026,21236,21187,21307,21525,21498,21573,21421,22231,22100,22598,22361,23144,22873,22557,22658,22491,22141,22840,22916,22845,23407,23600,23144,23976,23736,23750,23683,23719,23882,23840,24209,23578,24587,23135,24479,24287,24518,25383,25685,25853,25542,25914,25867,25791,25497,25261,27512,26760,26398,26835,26746,26631,26982,27084,27574,28234,28293,27813,28078,28820,28674,28652,28519,28683,29037,29462,29980,29593,31539,31452,31504,30861,29696,29478,29441,29708,29191,29734,29509,29931,29792,29438,30007,28785,29598,28804,28834,28951,28787,28552,28969,28186,28013,27898,27425,27704,27586,27654,27605,27047,26795,26838,25680,25244,25413,25392,25382,25131,25164,25178,24812,24844,24778,24563,24758,24748,24360,24319,25993,27856,25212,25315,25446,25763
"63","55","  Food and beverage stores","KP4450",42258,42022,42257,42060,42027,42041,42199,42281,42277,42269,42255,42149,41956,41966,42185,42030,42119,42298,42275,42251,42382,42257,42400,42648,42325,42669,42628,42812,42899,42663,42752,42809,43018,42663,42779,44283,42069,42409,42729,43141,42668,43066,42735,42705,42654,42943,42843,43161,42877,42949,42888,43039,43128,43015,42964,43098,43138,43170,43191,43556,42959,42915,42901,41963,42433,42394,42486,42298,42201,42419,42705,42563,43002,42777,42707,42838,42361,42736,43044,42975,42883,42791,42607,42418,43265,42792,43210,43071,42934,42986,42905,43090,43507,43286,43404,43556,43906,43957,43998,43795,43861,43988,43889,44166,44319,44359,44280,44344,44148,44619,44358,44575,44903,44805,44795,45033,44574,45610,45359,45645,45455,45367,44956,44903,44906,44798,45031,44666,44882,45174,45237,45400,45139,44854,45051,44847,44563,44662,44406,44444,44025,43862,43791,42911,43593,43168,43342,43592,43797,43769,43743,43838,44247,44098,44616,44205,44354,44911,44645,44391,44224,44225,44033,44786
"64","56","  Clothing and clothing accessories stores","KP4480",10704,10716,10789,10427,10552,10755,10888,11119,11107,11148,11223,11388,11484,11595,11650,11873,11732,11909,11981,11765,11642,12012,12115,12225,12458,12520,12736,12705,12906,12918,12865,12967,12915,13002,13049,13116,12921,13221,13509,13484,13756,13624,13537,13873,14162,13946,13979,13815,13740,13800,13475,13880,13811,13616,13772,14030,13257,13877,13950,14175,14302,14459,14473,14476,14351,14549,14467,14533,14225,14956,14815,15137,15052,14640,15112,15113,15397,15594,15780,15764,15893,15773,16062,16345,16358,16521,16836,16361,16481,16279,16413,16522,16714,16971,16914,17121,17134,17680,17240,17799,17567,17944,17635,17837,17530,18384,18281,18436,18565,18692,18591,18674,18472,18562,18778,18554,19269,19186,18878,19409,19224,19373,19960,20008,20020,20731,21034,21005,21104,21033,21620,21516,21162,21210,22370,21858,21881,21451,21263,21278,20504,20643,20329,19425,20318,21388,20048,20933,22203,21734,21641,21788,22342,22077,22148,21726,22856,22331,22777,22063,22607,22940,23164,23011
"65","57","  General merchandise stores","KP4520",28343,28389,28484,28165,28354,28426,29055,29242,29045,29378,29375,29259,29750,30065,30122,30462,30413,30644,30444,30461,31035,31127,31477,31537,32102,32529,33034,32449,32684,33078,33049,33273,33537,33488,33705,34543,33787,34106,34487,34315,34873,34864,34983,35241,35560,35646,35738,36093,36938,35732,35339,36488,36529,36320,36884,37096,37023,37417,37897,38432,38146,38270,38420,38652,38423,38846,38608,38668,38631,39503,39441,39574,39672,40065,40520,40403,40856,41128,41670,42300,42291,41912,42200,42456,42861,42834,43373,42872,43497,42909,43456,43618,43878,44283,44385,44974,44867,45486,45301,45900,45646,46522,46333,46569,46731,47728,47582,47380,48223,48451,48089,48848,48297,48355,48463,48648,49406,49450,49474,50426,50241,49290,49988,49313,49727,49422,49773,50135,50068,50311,50578,50684,50649,50033,49405,50025,50487,50833,50600,49704,49296,48830,49255,48635,49182,49726,49078,49269,49667,49345,49389,50277,50692,51276,51523,51196,52490,53605,53801,53928,53251,53917,53992,54514
"66","58","    Department stores","KP45210",17836,17889,17990,17695,17809,17885,18169,18371,18186,18366,18402,18242,18300,18517,18427,18520,18514,18494,18344,18274,18547,18589,18681,18807,18985,19296,19481,19041,19041,19195,19165,19146,19282,19188,19153,19229,19221,19174,19200,19216,19500,19251,19143,19255,19405,19341,19522,19720,19871,19057,18538,19068,19095,18928,19171,19182,18925,19047,19252,19193,19086,18974,19061,19062,18712,18826,18596,18531,18390,18933,18470,18436,18421,18339,18500,18425,18733,18750,18966,19049,19059,18739,18643,18714,18710,18732,19007,18589,18715,18484,18759,18838,18878,18941,18886,19189,18967,19164,18891,19156,18826,19309,18980,18967,18677,19253,19298,19067,19344,19327,19092,19230,18960,18999,18819,18813,19102,19025,19027,19187,19422,19035,19258,18802,19057,18877,19108,19155,19038,18969,19004,18865,18491,18576,18462,18477,18667,18942,18648,18326,18073,17873,18258,17897,17899,17757,17654,17731,17747,17514,17500,17730,17708,17842,17931,18055,17987,18307,18353,17992,17830,17999,17841,18018
"67","59","    Other general merchandise stores","KP45290",10095,10083,10071,10064,10138,10128,10479,10451,10450,10601,10559,10614,11073,11164,11327,11584,11539,11806,11763,11858,12162,12212,12481,12404,12803,12909,13236,13106,13354,13598,13600,13856,13984,14036,14302,15096,14313,14697,15068,14870,15142,15403,15644,15790,15959,16117,16017,16173,16886,16513,16663,17281,17296,17257,17580,17786,17984,18259,18535,19146,18966,19211,19273,19510,19642,19954,19953,20082,20191,20513,20932,21102,21218,21701,21996,21954,22095,22353,22679,23231,23212,23156,23546,23731,24143,24093,24356,24277,24778,24421,24693,24774,24996,25338,25496,25781,25898,26320,26410,26744,26821,27214,27354,27603,28053,28476,28285,28314,28879,29123,28995,29615,29333,29352,29639,29829,30298,30416,30439,31229,30812,30248,30722,30499,30660,30534,30656,30968,31016,31323,31554,31792,32121,31429,30919,31516,31788,31866,31918,31346,31186,30919,30970,30705,31240,31910,31372,31486,31862,31767,31824,32477,32904,33350,33508,33071,34402,35190,35340,35804,35295,35786,36010,36353
"68","60","  Other retail stores","KP44X0",62764,63563,64383,63811,63935,65028,65439,64600,65055,64997,65738,65599,66204,67079,67841,68643,68875,68482,69760,69963,70131,70591,71250,72274,72365,73562,73666,72266,73092,73188,73013,73198,73360,73731,74956,77000,74844,75651,74938,74985,75605,75197,75477,76271,76452,76818,77282,78030,76426,76909,76744,76883,76824,75875,76737,77963,75310,77333,78849,79260,80427,80470,79842,80558,80580,80099,80902,80319,80501,80175,80978,81586,80539,79649,79567,80400,82289,82953,82759,82512,81463,82364,83789,83593,83803,83911,84054,84707,85252,84536,84712,84970,85173,85080,85724,85560,86850,86783,86766,86916,87631,88468,87207,87467,85279,86848,88557,88883,89699,90070,90962,90735,91274,90788,90025,89974,89817,91109,92791,91863,91961,92796,91055,90872,91541,90630,90763,90691,90916,90515,91680,89457,90503,89279,89918,90831,90369,89351,88403,86726,86123,84694,88982,87946,88058,87015,86107,85858,86139,85055,84087,83765,84145,82422,85033,85532,84085,84964,85566,85980,86337,87827,87031,86395
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2005) dollar final sales series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","and the 2005 current-dollar value of the corresponding series, divided by 100.  Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","estimates are usually not additive.  The residual line is the difference between the first line and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","the sum of the most detailed lines for inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
