"","Table 5#3#3# Real Private Fixed Investment by Type, Quantity Ind","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253"
"24","16","    Other equipment \5\","B862RA3",18.08,18.121,16.519,19.558,22.392,20.88,21.731,23.214,20.238,19.397,17.412,17.211,18.021,20.056,21.115,19.317,19.681,19.281,19.176,20.749,20.553,20.912,18.064,20.174,20.9,18.962,19.715,18.244,16.976,17.89,18.941,19.456,19.502,21.297,21.951,23.282,22.91,21.868,22.584,21.421,21.868,20.607,20.787,20.599,20.046,20.984,21.961,22.056,22.321,22.732,23.033,23.256,22.033,21.848,20.086,19.905,20.546,21.112,20.794,20.566,20.782,22.041,22.578,23.175,24.25,25.157,26.275,27.289,27.506,28.204,28.181,30.159,30.76,30.208,32.222,33.522,35.014,35.619,35.726,36.126,33.267,34.026,33.075,34.227,33.117,33.094,34.092,35.968,36.858,36.109,36.005,36.507,36.966,37.558,39.025,38.207,37.214,38.008,38.276,37.787,39.865,41.455,43.61,46.522,50.11,50.783,50.594,48.861,48.921,49.547,49.131,50.184,44.739,45.721,45.418,47.253,45.926,45.638,47.104,45.958,50.199,51.381,52.117,54.021,53.822,57.216,57.71,60.069,59.508,59.393,59.448,54.96,58.426,50.625,49.258,51.402,52.728,54.551,55.442,52.647,48.117,46.849,47.069,44.306,40.892,44,45.41,49.258,49.81,50.462,51.393,51.673,51.844,51.962,50.2,51.275,51.094,51.026,49.174,50.249,49.542,50.876,53.256,53.54,54.063,53.761,54.555,54.834,58.587,60.051,62.528,61.291,59.675,58.349,58.244,57.002,51.134,50.227,49.116,48.856,48.576,48.381,50.334,50.981,53.175,53.788,54.231,55.871,57.147,58.143,58.929,60.339,62.116,61.668,61.388,62.015,62.564,63.367,65.047,65.627,67.196,68.295,72.535,73.382,76.44,78.605,78.194,76.939,79.602,78.427,79.317,81.008,83.308,85.247,83.874,83.817,85.037,82.688,84.171,81.782,80.753,83.608,83.454,83.368,84.491,84.683,88.172,89.216,88.38,90.365,93.442,95.36,96.808,100.762,100.865,101.565,104.66,104.477,102.508,102.991,99.637,102.651,104.148,105.051,101.849,101.098,103.582,96.467,87.888,80.399
"25","17","Residential","B011RA3",14.61,13.883,16.011,19.105,18.877,19.979,19.342,17.91,16.564,16.277,17.672,19.843,22.094,24.236,25.569,24.364,23.07,19.963,18.689,18.862,19.355,19.712,19.514,20.562,20.882,20.941,20.147,19.974,20.183,21.497,22.809,24.246,26.046,26.431,25.867,24.769,24.115,23.972,23.501,23.133,22.802,22.252,21.952,21.92,21.053,21.105,22.644,25.057,27.908,28.899,28.353,27.526,28.316,25.987,25.199,25.165,25.263,25.354,26.723,27.62,28.118,28.997,28.973,28.935,29.98,32.137,32.732,33.728,35.795,33.993,33.437,32.827,32.942,33.199,33.329,32.608,33.348,30.673,29.676,26.563,25.764,28.693,30.131,31.886,32.081,32.892,33.482,33.9,35.12,34.743,34.459,31.939,32.003,29.87,31.462,34.779,36.635,40.332,42.319,43.959,46.891,47.811,47.922,49.634,51.303,48.693,46.627,44.399,41.143,39.349,38.052,33.045,31.004,31.67,33.876,35.358,38.973,40.094,39.44,44.467,45.808,51.049,50.887,50.215,50.468,52.892,53.626,53.438,52.189,51.214,50.606,48.694,44.968,36.649,37.275,40.917,40.186,38.824,35.829,32.159,30.305,29.349,29.256,31.398,36.749,41.103,45.174,47.083,48.391,49.287,48.814,48.864,48.713,49.102,49.725,50.908,53.084,56.03,56.893,56.791,56.641,56.89,56.718,56.996,55.763,56.205,56.24,56.734,56.362,54.693,54.097,52.96,53.5,51.442,48.519,45.832,43.105,44.124,45.952,46.96,49.356,51.244,51.361,53.106,53.348,53.976,55.839,58.651,59.895,61.879,61.204,60.401,59.06,57.161,58.929,60.265,61.85,64.462,64.284,63.62,63.835,64.643,64.939,65.606,66.775,68.782,70.847,72.544,72.975,73.76,74.373,75.283,75.872,75.355,74.032,74.096,74.435,75.482,75.89,75.245,77.254,79.149,79.61,80.826,81.607,83.465,87.722,90.101,90.904,94.324,95.284,96.032,97.773,100.049,101.073,101.105,100.031,95.502,89.988,85.194,81.521,78.764,73.932,67.745,62.355,59.738,57.208,53.549,47.478,44.497
"26","18","  Structures","B012RA3",14.945,14.205,16.396,19.68,19.415,20.596,19.918,18.377,17.004,16.7,18.195,20.467,22.798,24.97,26.365,25.042,23.765,20.538,19.18,19.377,19.909,20.247,20.096,21.106,21.443,21.51,20.712,20.546,20.773,22.119,23.453,24.935,26.834,27.2,26.621,25.454,24.725,24.577,24.073,23.758,23.345,22.782,22.48,22.462,21.669,21.597,23.114,25.546,28.545,29.584,29.098,28.264,29.052,26.633,25.789,25.776,25.887,25.963,27.377,28.321,28.857,29.747,29.694,29.64,30.72,32.955,33.565,34.603,36.741,34.848,34.257,33.626,33.698,33.958,34.083,33.287,34.063,31.305,30.239,27.035,26.202,29.244,30.713,32.472,32.651,33.487,34.045,34.475,35.716,35.28,34.974,32.329,32.387,30.16,31.789,35.197,37.109,40.914,42.962,44.607,47.578,48.506,48.564,50.296,51.971,49.257,47.116,44.792,41.388,39.516,38.214,33.141,31.04,31.716,33.975,35.49,39.224,40.369,39.672,44.853,46.298,51.599,51.353,50.605,50.909,53.372,54.136,53.915,52.615,51.557,50.877,48.911,45.09,36.582,37.212,40.94,40.177,38.807,35.718,31.955,30.088,29.097,29.005,31.201,36.644,41.083,45.217,47.155,48.463,49.346,48.845,48.881,48.705,49.068,49.682,50.848,53.048,56.069,56.928,56.811,56.655,56.904,56.682,56.944,55.699,56.127,56.159,56.647,56.267,54.557,53.981,52.801,53.348,51.272,48.307,45.583,42.807,43.819,45.726,46.773,49.174,51.1,51.217,52.971,53.225,53.86,55.749,58.645,59.926,61.928,61.239,60.382,59.022,57.104,58.893,60.26,61.897,64.534,64.375,63.684,63.931,64.747,65.042,65.714,66.884,68.887,70.968,72.669,73.073,73.83,74.416,75.333,75.894,75.358,74.007,74.055,74.4,75.46,75.866,75.18,77.206,79.119,79.599,80.823,81.615,83.451,87.711,90.091,90.881,94.321,95.264,95.995,97.766,100.057,101.092,101.084,99.97,95.399,89.818,84.973,81.239,78.469,73.571,67.299,61.859,59.199,56.684,53.032,46.904,43.915
"27","19","    Permanent site","B943RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.551,25.29,26.934,29.782,34.163,35.282,34.45,33.105,33.816,30.16,28.783,28.277,28.4,28.803,30.745,32.426,33.1,34.418,34.925,34.836,36.048,38.55,39.833,41.296,44.545,41.399,40.607,39.665,39.36,39.682,40.515,39.375,40.714,36.804,33.332,28.601,28.689,31.194,35.266,37.782,37.736,39.053,39.582,39.834,41.777,41.238,39.757,37.943,35.974,33.423,36.439,39.547,43.324,48.068,51.175,53.342,57.565,59.327,59.267,60.839,63.191,62.029,58.363,52.321,47.202,45.074,41.922,36.487,32.234,30.47,32.756,35.207,38.97,41.712,44.023,47.042,50.565,57.12,57.037,56.884,55.959,57.576,59.47,58.778,56.472,54.834,54.184,51.402,44.683,35.154,33.951,38.582,40.002,38.124,33.608,28.8,26.697,25.996,26.81,30.034,37.006,42.703,48.234,51.045,52.375,53.103,52.641,52.189,51.952,51.641,51.514,52.489,54.973,57.737,59.584,59.438,58.549,58.513,58.622,59.156,56.496,56.379,56.176,57.351,57.574,55.765,54.397,53.074,54.512,52.044,48.269,44.627,40.363,40.904,44.489,45.937,47.785,50.783,50.253,51.398,51.856,51.898,53.481,56.486,58.653,61.189,60.401,59.057,57.24,54.001,55.12,57.162,59.179,62.424,61.889,61.01,60.872,61.658,61.101,62.195,63.672,65.804,68.78,70.911,71.641,71.534,72.125,73.868,74.712,73.799,71.451,71.546,72.523,73.817,74.147,72.732,73.898,76.245,77.005,77.879,79.524,80.595,84.908,89.841,90.392,93.354,94.902,94.979,97.684,99.323,100.651,102.342,101.968,95.035,87.652,80.412,75.288,71.947,66.412,58.502,51.306,47.381,43.634,38.557,30.483,26.359
"28","20","      Single family","B944RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.871,23.626,25.157,27.808,31.905,32.896,32.093,30.842,31.833,28.277,26.793,26.03,25.782,25.726,27.174,28.33,28.252,28.848,28.75,28.292,28.633,30.158,30.946,32.139,35.698,33.131,32.634,32.262,31.887,32.361,33.55,32.869,33.965,30.738,27.77,23.894,24.49,27.045,30.463,32.046,31.064,31.68,31.314,31.318,32.121,30.589,29.085,27.246,25.414,23.573,25.967,28.468,31.689,35.639,37.399,38.842,41.736,42.536,42.743,43.637,45.546,44.451,40.731,36.205,33.118,33.375,32.245,29.376,26.766,27.094,30.286,32.828,36.96,39.929,41.854,44.144,47.446,53.912,53.83,54.078,53.045,53.732,55.058,54.319,51.519,48.711,47.412,43.908,37.011,28.431,27.997,32.5,33.006,31.285,27.325,22.967,20.923,20.698,21.48,24.801,31.296,36.471,41.383,43.412,44.585,45.247,43.815,43.382,43.479,43.522,43.546,44.954,47.137,49.355,52.137,52.278,53.067,54.01,54.742,55.208,53.072,53.609,53.305,54.436,54.591,52.404,50.947,50.316,52.16,49.609,45.591,41.916,37.651,39.15,43.729,45.338,47.696,50.341,50.86,52.551,53.494,53.627,55.03,58.458,60.611,62.793,61.274,59.457,57.144,53.606,54.382,56.492,58.416,61.423,61.722,60.557,59.866,60.447,60.154,60.874,62.747,65.497,68.596,70.859,71.409,71.131,71.387,73.5,74.712,73.544,71.322,71.055,71.991,73.388,73.723,71.951,73.041,75.467,76.364,77.457,79.109,80.311,84.807,90.334,90.861,93.772,95.039,95.037,97.772,99.242,100.543,102.443,102.06,94.442,86.405,77.977,72.425,69.576,64.105,55.84,48.129,43.627,39.619,34.472,26.035,22.153
"29","21","      Multifamily","B292RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.797,36.429,38.835,43.027,49.291,51.386,50.415,48.424,46.58,42.547,42.3,44.121,47.483,51.858,57.879,63.941,71.122,78.608,84.355,87.521,96.23,106.967,112.415,116.05,116.125,108.339,105.062,99.25,99.588,98.533,96.142,91.141,94.422,85.049,77.621,66.036,61.651,63.381,72.643,83.003,91.151,98.442,106.756,109.144,120.82,129.046,127.951,126.612,123.719,115.294,123.358,131.359,139.484,150.538,165.048,173.284,188.589,198.555,196.147,203.454,209.38,207.784,205.096,186.576,164.315,141.562,121.074,93.845,75.709,55.774,49.754,51.057,51.05,51.408,56.771,65.772,70.735,77.109,77.044,73.425,73.608,83.15,89.755,89.538,91.955,101.139,106.504,110.862,107.033,90.546,82.487,87.417,97.057,94.081,85.229,77.055,74.655,69.771,70.75,72.907,83.595,93.492,104.053,113.318,115.921,117.165,124.809,124.186,121.159,117.918,116.553,113.992,118.957,126.16,120.468,117.967,103.547,95.598,90.634,91.713,84.765,79.332,79.951,81.487,82.269,83.618,83.023,75.803,73.688,72,70.445,67.155,62.973,55.163,50.071,50.107,47.568,53.522,44.011,40.426,36.647,35.854,38.952,38.12,40.344,46.041,51.931,54.938,57.725,57.277,61.577,62.962,65.807,71.227,63.029,64.785,69.728,72.369,69.41,73.827,71.757,68.519,70.427,71.438,73.719,75.092,78.585,77.119,74.79,76.078,72.65,75.876,77.217,77.607,77.897,79.64,81.458,83.108,82.657,81.626,83.213,83.123,85.804,85.381,86.132,89.538,93.639,94.414,96.817,100.026,101.644,101.513,101.349,100.511,98.842,101.918,100.445,92.782,86.72,81.813,78.768,79.322,77.422,72.545,66.645,60.374
"30","22","    Other structures \6\","B863RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.676,15.901,17.223,19.014,19.907,20.818,20.855,20.794,21.695,21.151,21.114,21.839,21.929,21.514,22.127,21.962,22.286,22.526,21.632,21.632,22.503,24.322,23.919,24.314,24.78,24.766,24.48,24.326,24.974,25.14,24.189,23.907,23.798,22.808,25.477,24.636,22.374,26.245,23.694,24.276,24.801,24.888,25.493,26.202,26.353,26.079,27.563,23.69,26.777,25.056,24.601,28.402,27.56,29.936,30.387,31.235,32.301,31.958,32.196,34.183,34.814,29.681,29.878,33.346,32.569,31.068,32.589,28.074,29.249,33.663,35.894,35.978,39.675,38.388,33.083,41.558,39.857,43.255,42.75,41.08,43.278,47.074,46.071,46.588,46.855,46.7,45.969,45.272,45.98,39.025,42.529,44.863,40.66,40.094,39.234,37.083,35.568,34.117,32.608,33.206,36.287,38.792,40.782,41.381,42.662,43.79,43.226,44.017,43.934,45.336,47.092,48.559,50.334,53.765,53.102,53.027,54.006,54.697,53.959,53.803,54.737,56.009,56.401,55.835,54.521,52.956,53.6,52.633,51.823,50.335,48.588,47.248,46.707,48.429,47.816,48.267,51.512,51.844,52.931,55.61,55.559,57.089,59.453,62.198,62.128,63.321,62.778,62.674,62.015,62.148,64.983,65.303,66.357,68.061,68.486,68.081,68.93,69.797,71.425,71.44,72.131,73.938,74.609,75.624,75.502,77.643,78.222,77.81,77.916,77.988,78.241,78.214,77.541,78.225,78.75,79.245,82.672,83.88,83.908,85.706,85.1,88.199,92.371,90.548,91.718,95.945,95.869,97.704,97.915,101.306,101.841,98.938,96.535,96.007,93.511,92.794,91.467,89.678,85.867,82.401,79.963,79.45,79.002,77.724,74.862,73.764
"31","23","  Equipment","B013RA3",5.27,4.958,5.544,5.15,5.477,5.172,5.294,5.765,5.232,5.288,4.873,4.961,5.397,6.446,6.489,7.308,6.182,5.713,6.02,5.803,5.588,6.114,5.304,6.581,6.574,6.483,5.991,5.762,5.656,6.106,6.719,7.071,6.865,7.422,7.256,7.548,8.271,8.234,8.427,7.26,8.409,8.182,7.978,7.709,5.802,7.945,9.508,11.034,10.738,10.666,9.263,8.759,9.379,9.113,9.438,9.065,8.91,9.245,9.539,9.413,9.148,9.655,10.131,10.384,10.616,10.934,11.13,11.173,11.529,11.726,11.933,11.813,12.717,12.856,13.058,13.889,13.808,13.209,13.746,12.963,12.966,13.17,13.768,15.187,15.69,15.851,17.031,17.121,17.732,18.714,18.96,19.517,19.716,19.944,20.512,21.401,21.768,22.562,22.919,24.263,25.967,26.594,28.005,29.062,30.495,30.75,30.808,31.311,32.344,32.822,31.714,28.788,28.535,28.896,29.511,30.024,30.11,30.494,31.045,31.423,29.623,32.86,35.261,36.943,35.635,36.81,36.612,37.467,37.879,39.686,41.502,41.465,41.055,39.339,39.838,40.444,40.823,39.771,40.121,39.755,38.365,38.626,38.514,38.742,40.897,42.223,44.093,44.952,46.267,47.655,48.172,48.738,49.491,50.848,51.841,53.693,55,55.067,56.084,56.602,56.639,56.871,58.72,59.63,58.891,59.944,60.077,60.798,60.79,60.808,59.355,60.032,60.261,58.921,57.846,56.712,56.138,57.429,55.873,55.159,57.31,57.531,57.7,59.001,58.715,59.033,59.735,58.683,58.177,59.274,59.279,60.98,60.576,59.642,60.364,60.201,59.233,60.666,59.531,60.201,58.828,59.201,59.622,59.957,61.159,63.371,64.524,66.037,67.854,70.193,72.234,72.776,74.948,75.496,75.804,76.76,76.766,77.049,77.631,79.458,80.438,81.22,80.484,81.193,81.265,84.558,88.531,90.909,92.601,94.591,96.816,98.875,98.29,99.462,99.563,102.686,104.793,103.649,103.582,102.98,104.314,102.637,103.266,104.049,102.736,103.664,99.921,95.593,93.839,91.402
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","  Private fixed investment in structures","A349RA3",19.457,18.868,20.555,22.864,22.832,23.931,23.691,22.687,21.5,21.065,21.789,23.237,25.348,27.385,28.935,28.196,27.286,25.246,24.188,23.941,24.345,24.665,24.638,25.759,26.315,26.568,26.045,26.117,26.396,27.455,28.406,29.444,31.181,31.736,31.704,31.159,31.029,31.392,31.116,30.858,30.446,30.041,29.831,29.738,28.915,28.414,29.188,31.105,33.183,34.322,34.377,33.682,34.81,33.265,32.692,33.227,33.237,33.044,34.06,34.655,35.307,36.479,36.845,36.425,36.654,38.943,39.481,40.536,42.459,41.69,41.836,41.532,42.497,43.988,44.288,44.662,45.712,43.351,43.072,40.07,39.698,41.242,42.497,43.774,44.31,44.723,44.982,45.712,46.92,46.781,47.593,45.569,45.439,43.648,44.878,46.978,48.253,50.837,52.176,53.255,55.891,56.658,56.749,58.317,60.247,59.127,58.209,56.367,53.873,52.485,50.495,46.756,44.084,43.671,45.323,46.364,49.496,50.206,49.965,53.569,54.477,58.951,59.144,58.808,58.977,63.009,65.258,66.266,65.202,64.891,65.789,65.374,63.219,56.597,57.185,60.687,60.117,60.395,59.158,59.226,56.788,54.938,52.92,53.629,55.974,57.534,61.061,63.237,65.893,68.136,68.865,69.254,70.627,70.856,70.517,71.773,72.396,71.182,70.652,70.764,69.947,70.482,71.582,72.364,70.272,71.215,70.811,71.077,71.309,69.745,70.434,69.403,70.497,68.875,66.671,63.284,60.667,60.538,59.94,60.113,61.462,62.822,63.137,64.707,64.192,64.598,66.062,68.605,68.404,71.307,70.789,70.465,70.202,69.417,70.893,71.609,73.282,75.79,76.053,77.128,77.588,77.873,79.305,80.009,80.458,83.679,85.141,86.268,86.403,86.502,86.886,87.945,89.02,90.133,90.597,90.793,89.96,90.837,91.336,87.214,86.731,86.266,85.204,85.614,85.876,88.026,90.929,92.447,92.822,95.562,96.521,97.063,98.847,100.305,100.341,100.507,101.136,99.768,96.888,93.778,92.678,92.918,92.247,89.364,86.617,86.518,84.913,81.715,71.4,67.85
"34","25","  Private fixed investment in equipment and software","A327RA3",4.479,4.381,4.245,4.481,4.857,4.535,4.481,4.629,4.335,4.129,3.909,3.868,3.939,4.39,4.852,4.789,4.574,4.575,4.678,4.629,4.651,4.721,4.024,4.537,4.851,4.846,5,4.848,4.583,4.489,4.706,4.701,4.741,5.16,5.475,5.636,5.371,5.383,5.435,5.409,5.517,5.493,5.681,5.46,4.862,4.642,4.615,4.87,5.127,5.278,5.433,5.42,5.62,5.716,5.484,5.296,5.125,5.368,5.443,5.763,5.909,6.063,6.094,6.124,6.246,6.387,6.67,6.935,7.105,7.25,7.499,7.71,8.302,8.456,8.915,9.277,9.786,10.133,10.202,10.355,9.958,10.069,9.937,10.26,10.65,10.417,10.681,11.048,11.463,11.613,11.797,11.739,11.688,11.659,11.731,11.138,11.317,11.605,11.705,12.13,12.598,12.888,13.198,14.161,14.935,15.617,15.826,16.103,16.133,16.118,16.214,15.605,14.578,14.299,14.461,14.663,14.856,15.157,15.58,16.022,16.959,17.399,17.827,18.656,18.932,20.397,20.819,21.409,22.177,21.928,22.436,22.147,22.327,20.832,21.024,21.362,21.929,22.121,22.64,22.437,22.032,21.205,20.823,20.45,20.4,21.442,22.685,24.61,25.093,26.325,27.204,28.067,27.913,28.559,28.225,28.792,28.596,29.001,28.897,29.252,28.405,29.245,30.055,29.678,30.581,31.384,31.83,32.361,32.913,33.767,34.611,33.976,34.284,33.487,33.851,33.627,32.698,32.667,33.175,33.205,33.186,35.018,35.874,37.196,37.877,39.268,39.795,41.77,42.925,43.268,44.371,46.853,48.992,49.106,49.429,50.904,52.268,53.89,56.041,57.091,58.855,61.003,64.366,64.908,68.191,70.283,71.708,74.943,77.378,80.594,83.684,83.723,87.331,90.412,90.627,90.974,90.681,87.369,85.218,84.651,83.631,83.398,84.065,82.393,82.18,84.325,86.971,88.617,87.877,90.691,93.7,96.434,97.007,99.045,101.676,102.272,106.525,107.067,107.641,108.36,108.246,109.935,110.543,111.753,111.597,110.193,107.501,99.767,89.188,87.245
"35","26","  Private fixed investment in new structures \7\","W040RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.865,31.201,31.94,33.971,36.072,37.24,37.285,36.543,37.734,36.16,35.593,36.222,36.259,36.065,37.135,37.737,38.453,39.697,40.052,39.549,39.732,42.122,42.65,43.752,45.882,45.132,45.349,45.026,45.993,47.586,47.939,48.346,49.512,47,46.854,43.715,43.285,44.855,46.073,47.387,48.051,48.493,48.684,49.423,50.844,50.7,51.653,49.409,49.381,47.339,48.547,50.843,52.128,54.924,56.402,57.489,60.331,61.159,61.084,62.69,64.663,63.586,62.713,60.692,57.729,56.173,54.049,50.052,46.927,46.095,47.787,48.743,52.11,52.883,52.468,56.303,57.079,61.874,62.038,61.64,61.708,65.996,68.611,69.562,68.508,68.11,69.184,69.09,67.067,60.413,60.314,64.223,64.132,64.459,63.33,63.747,61.144,59.182,56.876,57.314,59.544,61.124,64.885,67.22,69.974,72.492,73.491,73.943,75.15,75.39,74.712,76.158,76.908,75.285,74.835,74.709,73.805,74.445,75.998,76.97,74.299,74.874,74.362,74.72,75.344,73.916,74.33,73.313,74.578,72.981,70.526,67.113,63.971,63.321,62.943,63.22,64.156,65.848,66.406,67.825,67.619,67.972,69.251,71.713,71.606,74.619,74.299,74.085,73.847,72.958,73.954,74.884,76.658,79.13,79.38,80.706,81.032,81.197,82.382,82.736,83.516,86.645,88.217,89.356,89.663,89.206,89.555,91.018,92.112,93.204,93.607,93.72,92.975,93.824,92.82,89.969,88.742,88.144,87.287,87.317,87.697,89.408,91.701,93.93,93.985,95.725,96.786,97.139,99.268,99.951,99.833,100.948,102.161,100.678,98.12,94.759,93.756,94.365,94.471,91.992,89.418,89.138,87.308,84.434,73.497,69.562
"36","27","    Nonresidential structures","A771RA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.441,43.975,42.996,43.683,43.656,45.052,46.437,46.139,48.029,48.605,48.734,50.622,50.424,49.653,49.754,49.568,50.55,52.402,53.794,52.535,50.744,53.063,53.413,54.476,55.904,57.748,59.569,59.941,62.886,67.101,67.703,70.66,72.33,70.899,72.398,69.874,70.53,68.492,69.147,69.223,70.598,70.026,69.623,71.059,72.154,72.742,76.196,75.706,75.161,74.443,74.78,73.965,73.82,73.662,73.419,73.247,75.158,75.578,75.746,76.937,79.384,81.827,83.645,82.849,82.366,81.999,78.437,77.448,73.476,70.73,71.139,71.199,73.138,72.951,73.685,73.895,73.584,76.258,77.373,77.947,77.78,85.364,91.017,94.876,94.401,95.788,100.27,103.342,104.937,102.665,103.228,106.296,106.252,110.28,113.052,121.37,117.478,113.623,107.351,104.919,100.71,95.963,98.204,100.947,106.655,111.976,115.483,116.647,121.527,121.443,119.106,120.43,117.466,106.425,102.643,103.264,100.854,102.04,106.277,108.302,104.207,106.319,104.875,104.412,106.25,105.116,108.834,108.213,110.64,110.123,109.724,104.827,102.573,99.803,93.376,91.515,90.35,90.338,91.096,92.178,89.832,89.673,90.075,91.724,87.988,92.943,92.834,93.765,96.104,98.009,98.712,97.86,99.56,101.695,102.901,108.062,108.981,108.037,112.098,111.51,111.724,117.766,117.83,117.611,117.117,115.726,115.649,117.034,119.251,124.172,128.833,129.396,125.87,126.325,122.329,115.029,108.777,102.978,98.526,97.174,96.173,98.991,98.727,98.197,97.568,98.635,99.546,99.56,101.241,100.806,98.668,99.285,103.73,109.168,111.936,112.427,116.617,122.742,130.169,133.588,135.781,140.408,140.355,137.753,119.377,114.596
