"","Table 5#3#3# Real Private Fixed Investment by Type, Quantity Ind","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"29","21","  Structures","B012RA3",75.737,74.921,74.291,69.014,69.037,64.683,68.466,75.471,79.455,87.192,91.258,94.732,100.903,102.804,103.15,106.79,110.318,104.458,99.874,95.205,88.789,85.074,82.225,71.432,67.301,69.231,73.887,77.107,84.619,86.732,85.301,95.864,98.905,109.756,109.261,107.831,108.947,114.195,115.553,115.277,112.394,110.26,108.778,104.334,96.144,77.978,80.414,88.09,85.859,83.11,76.464,68.263,64.274,62.111,62.055,67.131,78.93,88.318,97.069,101.224,104.257,106.045,104.745,104.82,105.034,105.872,107.842,110.155,114.676,121.425,123.072,123.386,123.167,123.588,122.449,122.61,120.411,121.885,121.953,122.725,121.51,117.608,117.12,114.538,115.566,110.96,104.896,98.74,93.425,96.32,99.74,101.797,107.666,111.43,111.47,115.768,115.862,117.429,121.891,128.322,130.297,134.546,132.526,130.374,127.371,123.406,128.038,130.582,134.085,139.978,139.727,138.083,138.858,140.819,142.19,143.702,146.685,151.768,156.237,159.907,160.465,162.918,164.089,165.29,166.05,165.17,162.555,162.696,163.411,165.978,167.015,165.876,171.373,175.673,176.228,179.429,182.756,185.575,196.247,202.09,204.412,210.95,212.412,215.325,220.466,224.578,227.082,226.492,224.293,212.928,200.936,191.492,182.618,175.241,163.925,150.13,138.17,131.973,125.459,113.281,102.255,96.062,100.822,100.86,97.509,102.782,93.593,95.384,95.782,96.41,97.851,100.747,106.218,107.753,111.404,116.631,120.136,124.214,127.298,124.649,123.045
"30","22","    Permanent site","B943RA3",154.405,152.413,146.938,140.233,132.958,123.529,134.676,146.161,160.121,177.653,189.137,197.148,212.756,219.269,219.045,224.855,233.549,229.253,215.704,193.375,174.452,166.588,154.938,134.854,119.135,112.613,121.064,130.124,144.031,154.165,162.705,173.864,186.882,211.111,210.805,210.238,206.819,212.796,219.795,217.238,208.715,202.661,200.259,189.979,165.146,129.927,125.482,142.594,147.844,140.904,124.213,106.441,98.669,96.08,99.087,111.004,136.772,157.825,178.267,188.658,193.574,196.263,194.558,192.886,192.012,190.861,190.393,193.993,203.177,213.392,220.217,219.677,216.393,216.259,216.662,218.635,208.803,208.372,207.623,211.964,212.79,206.101,201.047,196.158,201.47,192.351,178.399,164.936,149.178,151.178,164.427,169.779,176.611,187.69,185.731,189.964,191.656,191.812,197.661,208.767,216.775,226.149,223.237,218.27,211.554,199.582,203.721,211.267,218.72,230.715,228.735,225.488,224.979,227.881,225.826,229.868,235.327,243.205,254.204,262.08,264.781,264.384,266.567,273.01,276.13,272.755,264.078,264.428,268.038,272.821,274.042,268.812,273.122,281.794,284.603,287.835,293.917,297.871,313.813,332.042,334.062,345.014,350.751,351.067,361.077,367.144,372.006,378.144,376.755,351.2,323.996,297.306,277.805,265.31,245.002,216.174,191.024,178.866,159.453,137.379,109.824,92.975,98.645,98.556,98.058,101.208,94.128,90.509,90.825,90.472,93.289,95.654,103.38,110.051,117.839,128.724,137.672,142.939,144.844,147.174,152.329
"31","23","      Single family","B944RA3",132.049,125.75,119.57,112.007,104.479,96.908,106.748,117.03,130.274,146.514,153.748,159.678,171.575,174.864,175.718,179.393,187.238,182.737,167.446,148.839,136.148,137.203,132.561,120.764,110.035,111.385,124.508,134.954,151.941,164.149,172.063,181.475,195.05,221.63,221.297,222.316,218.067,220.894,226.345,223.306,211.795,200.252,194.91,180.505,152.153,116.881,115.094,133.609,135.689,128.612,112.332,94.418,86.013,85.09,88.306,101.956,128.657,149.931,170.126,178.467,183.289,186.012,180.122,178.343,178.744,178.921,179.018,184.807,193.78,202.899,214.336,214.915,218.158,222.037,225.044,226.96,218.18,220.385,219.138,223.785,224.425,215.434,209.441,206.85,214.43,203.944,187.424,172.317,154.783,160.946,179.771,186.385,196.077,206.954,209.087,216.038,219.915,220.462,226.229,240.32,249.174,258.144,251.896,244.429,234.918,220.375,223.564,232.24,240.15,252.51,253.738,248.952,246.11,248.498,247.294,250.253,257.954,269.257,281.999,291.301,293.563,292.419,293.473,302.161,307.14,302.338,293.203,292.108,295.954,301.7,303.076,295.789,300.273,310.243,313.934,318.424,325.222,330.16,348.642,371.36,373.504,385.475,390.705,390.739,401.996,408.051,413.344,421.018,419.438,388.208,355.261,320.682,297.843,286.164,263.632,229.591,198.838,183.195,159.69,135.014,103.939,88.361,101.354,106.347,109.839,115.513,106.923,102.223,102.76,101.799,103.934,106.088,114.648,120.193,127.808,139,147.909,152.344,153.781,153.741,159.096
"32","24","      Multifamily","B292RA3",242.333,258.833,256.637,253.951,248.149,231.251,247.424,263.472,279.769,301.94,331.044,347.563,378.261,398.25,393.421,408.077,419.963,416.762,411.371,374.223,329.574,283.938,242.843,188.229,151.852,111.868,99.793,102.406,102.393,103.112,113.868,131.922,141.877,154.661,154.529,147.271,147.639,166.777,180.025,179.591,184.437,202.86,213.62,222.36,214.681,181.611,165.447,175.336,194.671,188.703,170.947,154.553,149.738,139.944,141.907,146.232,167.67,187.521,208.703,227.287,232.508,235.002,250.334,249.084,243.013,236.513,233.776,228.639,238.597,253.045,241.628,236.612,207.688,191.745,181.789,183.952,170.016,159.12,160.361,163.442,165.011,167.716,166.524,152.042,147.798,144.414,141.295,134.695,126.307,110.642,100.429,100.502,95.41,107.351,88.274,81.084,73.504,71.914,78.129,76.458,80.92,92.346,104.16,110.192,115.781,114.882,123.509,126.286,131.992,142.864,126.42,129.941,139.856,145.153,139.219,148.078,143.927,137.432,141.258,143.285,147.862,150.616,157.621,154.682,150.01,152.594,145.717,152.187,154.878,155.659,156.24,159.737,163.384,166.693,165.789,163.721,166.903,166.721,172.103,171.254,172.761,179.594,187.817,189.364,194.177,200.612,203.871,203.635,203.309,201.613,198.245,204.386,198.357,182.193,170.99,163.468,161.02,162.603,158.822,146.317,131.659,109.9,88.503,69.937,55.246,49.552,47.937,48.186,47.656,49.462,54.753,57.9,62.63,73.429,81.903,91.742,100.932,109.44,113.174,124.83,129.32
"33","25","    Other structures \8\","B863RA3",35.108,34.897,36.63,32.25,35.741,33.987,34.11,38.663,37.786,40.547,40.917,42.082,43.49,43.098,43.71,46.194,47.103,40.613,40.523,44.682,44.553,42.944,44.443,38.498,40.105,46.086,48.771,49.058,53.24,51.409,45.173,55.104,53.252,57.301,56.72,54.904,58.197,62.966,61.507,62.364,62.329,62.177,61.182,59.721,59.94,50.599,56.373,59.218,53.318,52.724,51.204,47.909,45.868,43.962,42.395,43.978,48.619,52.049,54.857,55.864,57.897,59.2,58.135,59.057,59.792,61.565,64.65,66.27,68.404,73.264,72.362,73.075,74.339,75.011,73.169,72.461,73.987,76.326,76.779,75.821,73.674,71.237,72.949,71.556,70.518,68.22,66.117,63.647,63.455,66.643,65.32,65.752,70.925,71.121,72.092,76.237,75.58,77.743,81.374,85.352,84.39,86.053,84.528,83.795,82.671,82.693,87.409,87.458,88.946,91.715,92.3,91.479,92.849,94.293,97.286,97.524,99.218,102.797,103.939,105.438,104.912,108.724,109.363,107.921,107.486,107.875,108.344,108.377,107.633,109.036,109.953,110.888,116.875,118.888,118.302,121.426,123.305,125.503,133.316,132.771,135.2,139.376,138.594,142.844,145.421,148.484,149.726,145.582,142.924,139.112,135.228,135.015,131.843,127.204,120.702,114.959,110.05,107.024,107.326,100.389,98.213,97.725,101.981,102.081,97.217,103.62,93.317,97.972,98.409,99.549,100.266,103.441,107.726,106.562,108.036,110.293,110.946,114.402,118.098,112.859,107.732
"34","26","  Equipment","B013RA3",21.725,22.929,23.23,23.912,24.156,24.435,25.131,26.221,26.67,27.643,28.08,29.727,31.815,32.582,34.311,35.606,37.362,37.674,37.746,38.363,39.628,40.213,38.856,35.271,34.961,35.403,36.156,36.785,36.891,37.361,38.036,38.499,36.294,40.26,43.201,45.262,43.659,45.099,44.856,45.905,46.409,48.622,50.848,50.802,50.3,48.198,48.809,49.552,50.017,48.727,49.156,48.707,47.005,47.324,47.187,47.466,50.107,51.732,54.022,55.075,56.686,58.386,59.02,59.714,60.636,62.298,63.515,65.785,67.386,67.468,68.713,69.348,69.394,69.677,71.944,73.058,72.153,73.442,73.606,74.489,74.479,74.502,72.721,73.551,73.831,72.19,70.872,69.484,68.779,70.362,68.456,67.581,70.216,70.486,70.694,72.288,71.937,72.327,73.187,71.898,71.278,72.623,72.629,74.713,74.218,73.073,73.957,73.758,72.572,74.327,72.937,73.758,72.076,72.533,73.049,73.458,74.851,77.444,78.748,80.516,82.659,85.432,87.826,88.366,90.853,91.366,91.572,92.579,92.429,92.583,93.049,94.955,95.902,96.598,95.524,96.189,96.028,100.079,104.656,107.265,110.282,112.644,114.609,117.168,117.234,118.392,118.018,120.958,123.93,121.779,120.466,117.868,119.113,117.587,117.173,116.154,114.288,115.943,110.814,103.99,100.797,97.906,99.836,101.461,103.554,106.952,105.848,107.613,108.587,109.863,111.303,113.161,112.879,112.364,114.532,116.261,118.88,121.819,125.069,125.433,124.009
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","27","  Private fixed investment in structures","A349RA3",71.041,70.875,72.076,69.135,68.894,66.334,68.392,71.534,73.468,77.288,79.218,80.877,84.842,85.983,86.233,88.612,91.533,89.709,88.237,85.541,82.107,80.101,77.054,71.288,67.404,67.065,69.544,71.155,75.754,76.698,76.335,81.684,83.079,89.739,90.029,89.576,90.077,96.171,99.406,100.988,99.291,98.839,100.121,99.284,95.884,85.643,87.098,92.329,91.141,91.574,89.566,89.406,85.7,82.885,79.956,81.302,85.131,87.618,93.015,96.345,100.468,103.788,104.726,105.301,107.622,108.011,107.873,109.705,110.655,109.179,108.349,108.798,107.644,108.391,109.658,110.622,107.702,109.407,108.813,109.095,109.206,106.668,108.032,106.409,107.982,105.378,102.092,96.763,93.057,93.3,92.19,92.405,94.902,96.845,97.231,99.974,99.486,99.631,102.033,106.544,106.3,110.12,108.797,108.244,107.833,106.799,109.329,110.269,112.87,116.863,117.277,118.844,119.524,120.087,122.804,123.852,124.912,130.17,132.311,134.024,134.167,134.875,135.449,136.603,138.095,139.87,140.476,140.754,139.498,141.111,142.09,136.073,136.126,135.614,133.691,134.696,136.084,138.662,143.909,146.938,147.193,150.767,152.176,153.642,156.819,158.656,159.656,159.752,160.353,156.169,151.136,146.422,143.976,143.38,140.657,135.545,130.128,128.249,124.701,117.412,107.419,99.98,98.47,94.13,89.311,93.013,88.036,89.702,86.061,89.472,93.028,96,99.375,100.94,103.371,107.934,105.705,109.664,112.757,111.278,109.513
"37","28","  Private fixed investment in new structures","W040RA3",78.25,78.029,79.495,76.042,75.999,72.856,74.715,78.249,80.228,84.531,86.806,88.479,92.853,94.126,94.01,96.482,99.519,97.862,96.518,93.409,88.85,86.456,83.191,77.041,72.236,70.958,73.566,75.04,80.224,81.416,80.777,86.68,87.874,95.255,95.508,94.896,95.001,101.602,105.629,107.093,105.468,104.855,106.51,106.366,103.251,93.007,92.856,98.874,98.733,99.236,97.499,98.141,94.134,91.114,87.563,88.238,91.671,94.104,99.893,103.488,107.727,111.604,113.142,113.837,115.695,116.063,115.02,117.246,118.402,115.904,115.211,115.016,113.624,114.608,117,118.497,114.387,115.272,114.485,115.036,115.996,113.797,114.434,112.866,114.813,112.355,108.576,103.324,98.491,97.489,96.901,97.316,98.742,101.349,102.233,104.465,104.717,104.56,106.424,110.752,111.019,114.995,114.23,114.068,113.828,112.658,113.989,115.418,118.187,121.995,122.371,124.537,124.873,125.11,127.172,127.636,128.934,133.723,135.969,137.644,138.207,137.609,138.164,140.329,142.125,143.834,144.293,144.424,143.238,144.659,143.256,138.802,136.972,135.991,134.503,134.586,135.363,137.905,141.398,145.169,144.482,146.849,148.758,149.275,152.311,153.308,154.013,155.927,157.307,153.721,149.291,143.774,141.963,142.987,141.629,137.532,132.281,130.587,126.451,119.985,109.284,100.94,97.782,91.993,87.997,91.137,88.398,88.902,84.37,88.355,91.687,94.897,97.803,99.189,101.327,105.841,103.155,106.974,109.887,109.601,109.128
"38","29","    Nonresidential structures \9\","A771RA3",69.797,70.366,73.707,73.233,72.705,72.011,72.337,71.55,71.412,71.26,71.024,70.858,72.705,73.11,73.271,74.424,76.791,79.156,80.916,80.147,79.682,79.331,75.889,74.938,71.103,68.452,68.853,68.914,70.793,70.614,71.325,71.528,71.225,73.813,74.892,75.448,75.286,82.628,88.1,91.835,91.374,92.716,97.055,100.029,101.573,99.375,99.92,102.89,102.847,106.746,109.429,117.481,113.715,109.984,103.913,101.559,97.484,92.889,95.058,97.713,103.238,108.388,111.782,112.908,117.629,117.547,115.285,116.567,113.7,103.014,99.353,99.953,97.62,98.767,102.869,104.831,100.87,102.916,101.518,101.07,102.848,101.748,105.345,104.742,107.089,106.589,106.207,101.472,99.3,96.615,90.379,88.554,87.395,87.392,88.176,89.317,88.132,86.641,86.824,89.437,86.632,90.17,89.546,90.77,93.284,95.518,95.812,94.974,96.691,98.758,99.911,105.155,105.735,104.782,109.17,108.445,108.831,114.631,114.363,113.998,113.683,112.534,112.488,113.663,116.023,120.85,125.077,125.542,122.048,122.7,119.088,111.883,105.924,100.181,95.545,94.3,93.617,96.083,95.671,95.742,93.656,94.096,95.437,95.31,96.438,95.891,95.345,96.171,99.711,102.737,104.615,104.571,108.418,114.324,119.669,122.55,123.019,124.977,124.021,120.959,111.891,103.406,96.437,88.267,82.233,84.541,83.298,84.834,77.697,83.481,88.819,91.823,93.373,94.943,96.31,100.266,93.135,96.975,100.062,99.606,97.717
"39","30","    Residential structures \10\","A756RA3",93.212,92.05,91.397,84.179,84.68,78.388,82.181,91.227,95.907,105.941,111.442,115.492,123.272,125.708,125.239,129.489,133.525,126.796,121.542,115.344,105.434,100.325,97.081,83.899,77.573,78.013,83.628,87.008,96.745,99.759,97.349,110.852,114.018,127.928,127.131,124.999,125.418,131.511,134.008,132.768,129.614,126.532,124.949,120.91,111.828,91.105,90.121,100.285,100.103,96.418,88.924,79.962,75.287,72.952,72.45,77.137,90.491,101.977,112.68,117.66,120.56,123.101,122.442,122.652,121.121,122.077,122.47,126.009,132.156,139.435,142.267,141.084,140.685,141.526,142.057,143.108,138.531,138.104,137.99,139.773,139.826,136.159,133.298,130.462,132.06,127.074,118.935,112.693,104.288,105.265,111.487,114.625,119.25,125.172,126.234,129.928,131.911,133.328,137.321,143.996,147.926,152.706,151.714,149.889,146.358,141.058,143.713,147.954,152.176,158.331,157.801,156.434,156.498,158.178,157.571,159.503,161.999,165.851,171.338,175.624,177.297,177.329,178.646,182.154,183.382,181.434,177.359,177.08,178.609,181.054,182.254,180.861,183.983,188.839,191.175,192.905,195.513,198.305,206.814,215.37,216.348,221.222,223.948,225.275,230.841,233.841,236.201,239.649,238.317,225.924,212.964,199.918,190.301,184.533,173.704,159.607,146.017,138.96,130.119,118.521,105.355,97.26,99.827,97.558,96.545,100.92,95.973,94.957,94.283,95.602,95.942,99.451,104.386,105.481,108.773,114.12,118.093,121.879,124.529,124.496,126.117
"40","31","  Private fixed investment in information processing equipment and software","B679RA3",0.928,1.01,1.082,1.134,1.173,1.191,1.153,1.168,1.15,1.242,1.274,1.332,1.401,1.405,1.441,1.487,1.575,1.651,1.707,1.82,1.859,1.861,1.987,2.043,1.986,1.921,1.905,1.91,1.973,2.116,2.253,2.434,2.468,2.597,2.698,2.878,3.054,3.358,3.563,3.766,3.937,4.013,4.223,4.453,4.647,4.721,4.978,5.07,5.313,5.481,5.707,5.966,6.005,5.744,5.766,5.651,6.074,6.523,6.876,7.501,7.771,8.347,8.783,9.317,9.266,9.553,9.451,9.821,10.015,10.322,10.229,10.636,10.499,10.754,11.251,11.253,11.565,12.107,12.39,12.611,13.058,13.738,14.204,14.433,14.64,14.581,14.402,14.774,14.63,15.054,15.567,16.109,16.468,17.384,18.322,18.638,19.139,19.53,20.546,20.925,21.587,22.124,22.769,23.773,24.879,26.115,26.68,28.232,29.729,31.026,32.506,33.621,35.744,37.781,40.669,42.242,45.06,46.983,48.526,51.465,54.295,58.341,61.027,61.552,65.673,69.047,70.312,72.573,72.493,69.472,67.597,66.835,66.414,67.007,68.35,66.971,69.031,70.12,74.1,77.627,77.839,79.234,80.715,82.397,83.648,85.364,87.332,88.227,91.999,92.713,94.895,95.606,99.903,100.469,102.31,106.414,107.438,107.513,105.087,99.105,97.174,97.792,101.231,103.802,103.726,103.083,104.463,106.481,106.33,108.341,109.351,110.96,113.03,112.325,112.206,116.08,116.769,117.169,118.665,118.974,117.589
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Includes petroleum and mineral exploration.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","3. Annual chain-type quantity indexes for computers and peripheral equipment:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1959, .0000041; 1960, .000051; 1961, .000093; 1962, .00017; 1963, .00056. Quarterly chain-type quantity indexes for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","computers and peripheral equipment: 1959:1, .0000006; 1959:2, .0000003; 1959:3, .0000033; 1959:4, .0000123;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
