"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"28","20","  Compensation of employees","A460RC1",343.3,352.2,360.8,368,371.1,373.1,377.1,376.6,386.5,393.4,398.7,406.1,425.6,434.9,442.7,456.5,477.4,489.3,500.4,513.3,525.1,538,551.7,557,552.2,558.2,574.1,591.5,617.7,631.6,647.2,663.5,688.1,714,734.8,756.4,785.1,818.7,842.7,871.4,906.1,928.2,955.2,980.1,1003.7,1014.3,1032.9,1071.9,1108.1,1129.3,1154.3,1167.7,1168.7,1178.9,1190.1,1195.2,1206.5,1232.3,1261.2,1300.5,1343.4,1375.9,1404.3,1429.1,1451.1,1475.1,1500.5,1533.7,1547.9,1562.7,1586.1,1616,1638.6,1665.8,1696.6,1740.8,1768.3,1810.8,1843.4,1878.7,1902.2,1920.3,1941.8,1975,2002.3,2034.9,2056.8,2056,2036.2,2058.1,2081.8,2108.3,2143.9,2177.8,2199.1,2233.9,2221.2,2261.2,2281.6,2320,2338.2,2390.5,2414.5,2451.5,2483.2,2507.3,2538.9,2568.8,2599.7,2648.6,2690.6,2731.9,2785.7,2830,2882.3,2952.2,3011.3,3067.2,3121.8,3175,3242.7,3273.4,3319.4,3404.4,3541.2,3560.5,3634.7,3653,3615.5,3595.2,3568.1,3559.5,3520.1,3546.8,3548.4,3552.6,3530.3,3572.3,3613.4,3666.7,3677.5,3739.1,3806.6,3827.7,3863.6,3899.1,3957.7,4000.8,4088.1,4107.1,4127.8,4194.3,4283.8,4294.5,4302.2,4340.9,4373,4361.5,4360.9,4336.5,4081.3,4091,4079.1,4102.3,4086.7,4157.3,4198.2,4229.8,4339.7,4361.5,4407.7,4388.3,4549.1,4570.5,4589.1,4694.5,4654.7,4715.6,4754.5
"29","21","    Wages and salaries","B461RC1",307.4,315.4,323.1,329.5,332.2,333.6,337.3,336.7,345,351.2,355.8,362,377.1,385.1,392.2,405.1,420.6,431.9,442.4,454.3,463.6,474.9,486.3,489.2,481.9,485.3,498.8,514.3,535.7,547.8,560.9,573.9,591.8,613.5,631.1,649.8,669.8,699.8,720.7,745.6,772.1,790.6,813.3,834.1,852.6,860.2,875.5,910.4,936.9,955.3,977,987.8,984.8,992.2,1000.3,1002.6,1007.3,1029,1053.9,1088.8,1121.3,1149.8,1174.2,1195,1212.1,1231.2,1251.1,1277.6,1285.1,1294.6,1312.4,1337.1,1356.6,1379.7,1406.3,1445.5,1467.3,1503.8,1530.2,1558.1,1576.9,1588.5,1604,1631,1652,1681.3,1700.3,1698,1676.5,1693.1,1709.7,1727.6,1750.9,1775.5,1789.6,1819.5,1803.4,1837.8,1853.9,1886.7,1897.4,1944.8,1966.8,2002.2,2037.7,2061.2,2090.8,2117.8,2145.1,2189.2,2227.5,2265.8,2317.3,2356.8,2401.8,2461,2512.7,2558.9,2605.7,2653.1,2714.7,2740.6,2778.6,2850.5,2964.9,2975.6,3039.5,3053.5,3019.5,3002.6,2980.1,2972.9,2921,2943,2944.2,2947.7,2908.8,2943.1,2976.8,3020.3,3030.4,3080.6,3135.6,3152.8,3183.7,3212.6,3260.4,3295.5,3387,3402.6,3419.6,3474.2,3554.3,3563.2,3569.5,3601.2,3631.9,3622.4,3621.9,3601.9,3371.7,3379.7,3369.9,3388.8,3379.7,3437.4,3470.8,3496.6,3596.4,3614.2,3652.1,3636.2,3782.3,3799.9,3815.2,3901.7,3869.1,3924.6,3958.9
"30","22","    Supplements to wages and salaries","B462RC1",35.9,36.8,37.7,38.5,39,39.5,39.8,39.9,41.6,42.2,42.9,44.2,48.5,49.8,50.5,51.4,56.9,57.3,57.9,59,61.4,63.1,65.3,67.8,70.4,72.9,75.3,77.3,82,83.7,86.3,89.6,96.3,100.4,103.7,106.6,115.3,118.9,122,125.8,134,137.7,141.9,146,151.1,154.2,157.3,161.5,171.2,174,177.3,179.9,183.9,186.8,189.9,192.6,199.2,203.3,207.3,211.7,222.1,226.1,230.2,234.1,239,243.9,249.4,256,262.8,268.1,273.6,278.9,282.1,286.1,290.3,295.3,301,306.9,313.2,320.7,325.2,331.8,337.8,344.1,350.4,353.7,356.5,358,359.8,365.1,372.1,380.7,393.1,402.3,409.5,414.3,417.7,423.5,427.8,433.3,440.8,445.6,447.6,449.3,445.5,446.1,448.1,451,454.7,459.4,463.1,466.1,468.5,473.2,480.5,491.1,498.6,508.3,516.1,521.9,528,532.8,540.8,553.9,576.2,584.9,595.2,599.5,596.1,592.6,588,586.5,599.2,603.8,604.1,604.9,621.5,629.2,636.7,646.4,647.2,658.5,671,674.9,680,686.5,697.4,705.3,701.1,704.5,708.2,720.1,729.4,731.3,732.7,739.7,741.1,739.1,739,734.6,709.6,711.4,709.2,713.4,707,720,727.4,733.2,743.4,747.3,755.7,752.1,766.8,770.6,773.9,792.8,785.6,791.1,795.5
"31","23","  Taxes on production and imports less subsidies","W325RC1",48.8,49.8,50.7,51.5,52.6,53.6,54.8,56,57.5,58.9,60.4,61.4,61.9,62.7,64.1,65.9,67.7,69.4,71.1,72.1,72.7,73.7,74.8,76.4,77.9,79.3,81,82.6,84,85.8,87.5,89.4,91,92.9,95.7,98.9,102.2,105.9,99.6,103.2,105.1,107.2,110,112.8,114.8,118.1,123.3,129.9,138,145.8,150.2,152.7,152.3,151.8,152.5,155,159.7,165.3,171,176.1,180,183.6,186.8,189.7,192.5,195.8,198.2,199.8,201,203.2,205.4,208.6,211.6,215.1,218.2,222.5,227.9,233.2,235,239.3,242.9,246.8,249.9,253,255.8,260.6,266.1,271.6,278.3,283.2,288.2,293.3,296.8,300.3,304.4,308.4,310.9,315.9,320.7,329.9,342.1,350,354,356.9,356.2,355.9,359.5,363.1,364.5,369.5,372.8,379.9,378.9,387.6,392,397.1,396.2,400.5,405.2,409.6,414.9,420.5,427.9,435.3,443.6,449.1,451.6,455.2,447.2,440.8,431.3,460.5,461,469.6,478,483.1,486.2,483.7,503.4,509.7,518.3,525.9,533.8,545.6,557.5,569.8,579.1,586.4,599.4,607.7,613.4,619.9,624.7,630.8,635.2,639.4,630.5,636.5,637.1,626.6,601.6,604.5,600.8,616.6,624.6,631.1,636.3,640.1,656.9,665.7,663.5,670.5,685.8,684.8,683.2,687.6,697.3,696.2,698.7
"32","24","  Net operating surplus","W326RC1",98.6,96.5,94.4,89.9,83.2,87.6,86.8,81.8,94.7,96,97.8,101.9,106.6,108.2,113.3,120.6,126.6,123.5,124.1,127.7,122.4,123.5,120.4,119,120.3,133.5,153.6,158.2,172.4,168.8,169.8,168.3,176.3,196.4,210.1,205.2,195.7,226,228.6,236.6,230.2,228.9,224.8,223.4,223.7,203.6,218.8,246.4,260.9,266.1,288.3,275.9,260.9,271.6,269.4,254.8,268.3,294.4,315,333.3,369.5,373.5,371.5,379,378.5,379.8,399.1,378.1,376.2,362.3,357.5,362.9,375.6,400.4,422.7,423.2,441.2,448.4,456.6,484.5,463.6,459.7,461,446.6,458.7,474.1,451.8,444.4,458.9,455.4,449.1,438.6,443.9,447.3,438.6,463.1,451.3,481.2,485.7,529.7,544.2,571.1,591.9,622.1,608.7,616.1,653.3,659.7,682.1,693.6,701.4,720.3,735.7,745.2,782.6,770.7,724,732.5,757.2,741.2,762.4,766.1,741.6,737.6,739.6,744.1,725.7,686.4,621.5,681.9,692.6,629.3,698,706.3,711.2,761.7,771.2,802.5,833.3,853.1,916,957.8,995.5,987,1058.2,1123.1,1085,1208.6,1238.7,1241.7,1332.8,1263.8,1247.6,1282.2,1182.1,1191.2,1139.4,1151.7,1270,1133.1,1055.7,1017.3,1047.5,1180.1,1277.1,1313.7,1417.3,1382.1,1352.4,1480.3,1501.2,1514.6,1546.1,1567.6,1535.3,1577,1593,1613.1,1632.4
"33","25","    Net interest and miscellaneous payments","B471RC1",11.9,12.9,14,15.2,16.6,17.6,18.3,18.6,18.7,18.8,18.9,19,19.3,19.6,20.1,20.8,21.8,22.9,24.3,26,28.1,29.7,31,31.9,32.7,32.8,32.5,31.7,30.4,29.8,29.8,30.4,31.6,32.7,33.7,34.6,35.3,36.2,37.2,38.4,40.3,42.2,44.7,47.8,52.5,56.1,59.6,63.1,66.9,70.4,74,77.6,81.3,83.3,83.8,82.9,81.1,80.8,82.1,85.1,89.7,93.1,95.2,96.1,95.6,96.2,97.8,100.2,103.8,106.7,109,110.8,112.2,114.4,117.6,121.6,127.4,132.9,139,145.4,152.4,158.2,163.1,166.9,169.6,170.9,171.7,168.7,165.2,160.6,154.9,148.3,141.2,133.9,128.5,124.2,121,118.5,116.6,115.4,114.9,115.4,117.2,120.2,124.7,127.1,127.8,125.7,122.1,119.4,118.7,118.8,121.1,124.1,128.7,134,140.9,145.7,149.5,151.1,151,154.7,161.8,172,185.7,195.8,203.9,208.2,168.7,218.9,244.6,244.1,221.4,203.1,189.7,180.2,175.3,172.2,167.7,164,159.4,158.1,158.7,163.3,173.5,173.8,174,173,173.2,177.9,185.2,199.3,219.1,238.1,259.1,279.5,299.2,312.2,313.6,305.2,292.6,284.1,278.7,279.4,282.7,286.1,287.6,288.3,287.6,287.3,287.5,286.5,290.9,294.7,297.2,299.3,322.5,302.2,311.7
"34","26","    Business current transfer payments (net)","W327RC1",3,3,3,3.1,3.1,3.2,3.2,3.3,3.5,3.6,3.6,3.7,3.8,3.8,3.9,4.1,4.6,4.8,4.4,4.2,4,3.7,3.6,3.6,4,4.6,4.9,5.3,5.9,6.5,7,7.5,8.2,8.6,9,9.1,9.3,9.3,9.2,9.1,9.1,9,9,9,9.2,9.3,9.4,10.7,11.1,11,10.7,9.9,9,8,7.6,7.9,9.1,9.8,10.3,10.6,10.7,10.8,11,11.3,12.2,16.2,15.2,17.9,28.5,24.7,26.2,28.2,29.4,30.4,29.6,29.3,28.1,27.4,26.7,25.9,24.7,23.2,23.1,23,24.1,24.7,25.1,25.6,25.7,25.4,26,27.3,29.3,30.3,30.8,32.3,29.8,28.7,29,30.7,33.8,35.4,35.4,33.9,30.8,29.3,29.4,31.1,34.3,36.8,38.6,39.6,40,39.5,38.3,36.1,32.6,29.9,31.3,42.7,42.5,46,47.1,46.9,44.9,44.1,44.9,47.9,52.4,55.6,57,56.2,52.4,50.7,51.5,54.7,59,62.1,63.5,62.9,61,60.5,61.8,64.7,70.6,74.5,75.9,75.9,72.7,70.8,69.5,68.5,66.5,64.1,60.8,57.4,51.6,48.4,47.9,59,68.7,77.8,71.2,75.8,80.5,81.2,85,86,88.3,88.1,90.5,90.3,99.5,96.3,89.7,84.3,80.1,82.7,79.6
"35","27","    Corporate profits with IVA and CCAdj","A463RC1",83.6,80.6,77.4,71.6,63.4,66.8,65.3,59.9,72.5,73.7,75.2,79.2,83.6,84.8,89.2,95.7,100.3,95.8,95.4,97.5,90.3,90.1,85.8,83.4,83.6,96.1,116.2,121.2,136.1,132.5,133.1,130.5,136.5,155.1,167.4,161.6,151.1,180.5,182.2,189.1,180.7,177.6,171.1,166.6,162,138.2,149.8,172.6,183,184.7,203.6,188.3,170.7,180.3,178,164.1,178,203.8,222.7,237.7,269.1,269.7,265.3,271.6,270.7,267.3,286.2,260,243.9,230.8,222.3,223.8,234,255.6,275.5,272.3,285.8,288,290.9,313.1,286.6,278.3,274.9,256.8,265,278.5,255,250.1,268,269.5,268.2,263,273.3,283,279.2,306.6,300.6,334.1,340.2,383.5,395.5,420.2,439.2,468.1,453.1,459.6,496.1,503,525.7,537.5,544.2,561.8,574.5,581.6,615.6,600.5,550.5,557,576.4,547.5,568.9,565.4,532.7,518.7,509,504.1,476.9,430.3,400.5,407.4,390.9,328.9,424.2,452.4,470.1,526.8,537,568.3,602.2,626.3,695.6,739.2,774.9,759,814.1,874.8,835.1,959.6,992.9,993,1078.2,996,962,980,862.2,854.3,788.6,791.1,908.5,769,694.5,655.3,697.6,824.9,913.9,946.5,1044.6,1007.8,976.5,1104.9,1123.2,1137.8,1155.6,1176.7,1148.4,1193.4,1190.3,1228.1,1241.1
"36","28","      Taxes on corporate income","B465RC1",35,33.9,32.6,31.9,27.5,27.5,28,26.1,29.8,30.6,29.5,30.1,31.9,32,33.5,37.7,40.7,40.6,38.9,41.5,40.3,42.4,47,41.8,33.8,37.3,47.7,48.7,55.4,53.7,52.9,52,55.9,60.7,62.6,63.1,56.7,69.7,69.5,74.2,71.3,71.6,71.1,68.6,76.7,57.9,65.5,72.6,71.9,64.6,68,59.5,49.8,51.2,50.3,43.8,45.5,60,69.5,72,82.2,81.1,70.5,69.9,71.4,67.9,73.8,71.2,73.2,71.9,74.5,85.4,85.6,96.4,99.5,95.4,98,102.7,104.6,110.6,112.7,101.9,94.4,95.8,94.5,99.3,102,97.9,95.4,87.4,85.4,86.1,88.7,95,94.5,99.6,97.4,111,100.9,122.9,117.1,124.7,138,149.7,141.1,136.4,142.8,141.1,145.9,154.2,154,157.7,153.9,157.8,170.2,163.5,161.3,158.6,161.8,152.9,170.1,169.6,169.9,175.9,181.3,180.8,158.8,159.8,123.1,118.8,112.8,90.2,86.3,93.8,99,109.4,127.6,118.8,132.4,152.7,164.6,185.5,199,198.8,264.1,265.2,257.6,300.4,294.2,308.9,329.4,298.4,311.2,302.5,278.9,282.6,248,252.8,255.4,153.5,167.7,161.8,170,212,208.8,220.2,229.3,223.9,216.1,226,229.8,217.3,252.5,257.8,249.1,268.4,266.6,264.1,263.8
"37","29","      Profits after tax with IVA and CCAdj","W328RC1",48.6,46.7,44.8,39.7,35.9,39.3,37.3,33.8,42.7,43.1,45.7,49.1,51.6,52.7,55.7,58,59.6,55.2,56.5,56.1,50,47.7,38.9,41.7,49.7,58.8,68.5,72.4,80.7,78.8,80.1,78.5,80.7,94.4,104.8,98.4,94.4,110.8,112.7,114.9,109.5,106.1,100.1,98.1,85.3,80.3,84.3,100,111.1,120.1,135.6,128.9,120.9,129.1,127.7,120.3,132.5,143.8,153.2,165.7,186.9,188.6,194.8,201.7,199.4,199.4,212.4,188.8,170.7,159,147.8,138.4,148.4,159.2,176.1,176.9,187.8,185.4,186.3,202.6,173.9,176.4,180.4,161,170.4,179.2,153,152.2,172.6,182,182.7,176.9,184.7,188.1,184.8,207,203.2,223.1,239.2,260.7,278.4,295.6,301.2,318.3,312,323.2,353.3,361.9,379.9,383.3,390.2,404.1,420.6,423.8,445.4,437,389.2,398.4,414.6,394.6,398.8,395.7,362.9,342.7,327.7,323.3,318.1,270.4,277.4,288.6,278.1,238.7,337.9,358.7,371.1,417.4,409.4,449.5,469.7,473.5,531,553.7,575.9,560.1,550,609.6,577.5,659.2,698.7,684.2,748.8,697.6,650.7,677.6,583.3,571.7,540.5,538.3,653.1,615.5,526.8,493.5,527.7,613,705,726.2,815.3,783.9,760.4,878.9,893.5,920.5,903.1,918.9,899.4,925,923.7,964,977.4
"38","30","        Net dividends","B467RC1",19,19.2,18.8,19.1,18.3,18.5,18,18.4,18.9,17.6,19,17.1,19.9,19.8,19.7,19.3,19.7,20.6,21.4,21.3,20.3,23,22.1,20.7,24.8,24.2,24.1,25.1,24.1,27.9,29,30.1,29.2,29.9,31.2,33.3,33.9,33.1,37.5,39.2,38.2,38.2,35.9,38.2,38.3,51.6,43,45.7,49.5,51.8,54,54.7,58.4,47.4,52.4,58,63,60.8,63.4,65.8,66.8,67.2,68,66.9,68.2,76,70.7,73.1,70.7,76,70.9,73.8,74.9,73.7,74.8,81.7,71.9,78.3,93.9,84.5,105.2,105.3,109,101.9,119.7,115.9,117.6,120,120.3,126.3,125.9,129.5,127.8,132.1,133.8,143.4,144.9,145.6,148.8,157.4,151.9,159.7,156.3,164,167.2,169.7,185.1,190,187,191.4,202.1,209.8,208,210.2,217,228.7,237.7,243.4,239.3,243.7,224.9,226.5,213.1,234.2,243.3,256.6,263.6,241.8,241.5,226.2,257.5,256.5,252.1,260.2,240.8,266.1,239.3,327.7,294.3,312.2,333.5,323,328.1,473.3,314.1,252.2,106.5,10.4,399.4,412.9,487.9,584.1,478.1,481,502,477.2,468.9,484.5,478.1,465.2,449.1,374.7,276.1,307.1,356.8,346.3,394.3,404.4,411,439.5,466.5,444.2,456,457.5,461.2,540.4,483.3,463.3,570.4
"39","31","        Undistributed profits with IVA and CCAdj","W332RC1",29.6,27.5,26,20.6,17.7,20.8,19.2,15.4,23.8,25.5,26.7,32,31.7,32.9,36,38.7,39.9,34.6,35.1,34.8,29.7,24.7,16.7,21,24.9,34.6,44.4,47.3,56.6,50.9,51.2,48.4,51.4,64.5,73.5,65.1,60.5,77.7,75.2,75.7,71.3,67.9,64.1,59.8,47,28.7,41.2,54.3,61.6,68.3,81.6,74.2,62.5,81.7,75.3,62.3,69.6,83,89.8,99.9,120.1,121.4,126.8,134.8,131.2,123.4,141.7,115.7,100,83,76.9,64.6,73.5,85.5,101.3,95.2,115.9,107.1,92.4,118,68.7,71.1,71.4,59.1,50.7,63.3,35.4,32.2,52.3,55.7,56.8,47.4,56.9,55.9,51,63.6,58.2,77.5,90.5,103.2,126.6,135.8,145,154.3,144.8,153.5,168.2,171.9,192.9,191.9,188.2,194.3,212.7,213.6,228.4,208.3,151.5,154.9,175.3,150.9,173.9,169.2,149.8,108.6,84.4,66.7,54.5,28.6,35.9,62.4,20.6,-17.8,85.9,98.4,130.4,151.3,170.1,121.8,175.5,161.3,197.5,230.7,247.8,86.8,235.9,357.4,470.9,648.8,299.3,271.2,260.9,113.5,172.7,196.5,81.2,94.5,71.7,53.8,175,150.3,77.7,118.9,251.6,305.9,348.2,379.9,421,379.4,349.4,439.4,427,476.3,447.2,461.4,438.1,384.6,440.5,500.8,407
"40",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","32","    Profits before tax (without IVA and CCAdj)","A446RC1",94.4,91.4,88,86.5,79.2,79,81,77.5,87.1,89.8,93.3,95.5,101.1,102.2,105.8,116.3,129.1,131,128.7,136.1,138,144,155.5,138.6,119.2,127.5,153.5,160.4,177.5,179.3,181.4,180.4,193.6,208,216.2,219.7,215.7,251.1,255.4,268,266.7,270.2,267.8,261.4,268.4,222.8,239.5,258.5,261.2,243.2,251,232.4,202.5,204.5,202.8,189.2,193.5,226.3,245.5,250,273.9,271.7,249.2,251.9,249.7,244.7,258.9,252.9,222.8,222.9,222.2,239,248.1,282,302.3,298.8,309.5,327.5,336.6,351.9,348.3,327.6,310.3,302.9,312.2,328.9,342.4,328.4,339.3,350.8,361.7,359.6,380.5,397.5,379.8,400.1,387.9,424.4,422.2,481.5,485.8,505.2,540.7,563.3,573.6,585.5,609.8,600.4,626,642.4,637.7,641,661.6,674.8,712,709,628.1,625.2,637.1,610.9,634.9,644.5,645.9,651.2,639.7,623,591.6,549.3,558.6,565.2,523.1,434.1,526.5,603.3,656.7,734.2,771.3,758.9,816.3,864.8,966.3,1040.7,1084,1107.4,1356.8,1368.9,1402.3,1529,1567.2,1612.2,1655.4,1546.2,1458.4,1487,1340.4,1294.4,1140.7,1155,1061.9,545.4,904.6,1034,1181.5,1341.3,1394.2,1388.4,1494.9,1481.1,1364.4,1423.1,1382.3,1473.4,1746.2,1730.7,1796,1811.5,1794.6,1836.6,1865.3
"43","33","    Profits after tax (without IVA and CCAdj)","A448RC1",53,50.9,48.8,47.6,44.7,44.3,45.3,43.3,49.2,51.2,55.4,57.1,60.7,61.5,63.9,69.9,79.3,80.8,80.1,84.7,88.3,91.9,98.2,86.7,75.4,80.7,96.3,101.7,110.9,114.2,116.5,115.9,124.8,133.6,139.5,141.9,143.2,164.5,168,175.1,176.5,179.3,177.3,173,171.4,145.6,156.4,167.1,170.1,160.5,164.9,155,136.7,136,134.2,126,129.3,147.1,157.2,159,170,168.8,158.1,159.6,151,147.8,156.6,153.2,116.2,116.6,114.9,120.5,129.4,149.2,164.4,166.4,180.2,190.8,190,198,189.9,182.6,169.9,162.4,172.9,184,192.6,180.7,197.7,214,224.3,221.1,232.3,247.8,235.7,247.3,229.7,254.3,260.1,287.7,311.3,321.5,339.5,350,356,370.7,388.1,383.1,404.4,409,403.9,403.9,423.4,431.8,456.9,463.5,379.6,379.7,384.9,363.6,378.7,390.5,386.7,385.6,365.4,349.9,336.9,291.1,334.1,348.5,328,257,347.3,417.4,462.9,523.8,539.7,531.9,569.1,595.5,688.7,742.5,763.6,779.2,951.7,973.2,999.2,1083.3,1106.5,1137,1158.7,1085.4,984.2,1018.9,909.3,885.6,785.4,810.9,749.3,321,689.6,793.6,896.5,1003.9,1049.4,1036.7,1107.4,1082.8,971.4,1038.8,1031.3,1104.8,1309,1301,1356.9,1378.3,1386.3,1418.3,1451.9
"44","34","    Undistributed profits after tax (without IVA and CCAdj)","A450RC1",32.7,30.5,28.6,26.9,24.7,23.8,25,22.6,28,31.5,34.1,38,38.5,39.5,41.9,48.4,57.4,57.8,56.3,61.1,66,66.7,74.2,64.4,48.6,54.7,70.4,74.6,84.9,84.1,85.1,83.2,93,101.1,105.4,105.4,105.9,128,126.6,131.7,134.2,137,137.7,131.3,130.4,91.2,111,118.5,116.5,103.4,104.3,93,70.5,82.3,74.8,60.1,58.3,78.5,85.8,84.8,92,90.3,78.7,81.5,69.9,57.3,72.5,66.1,30.5,24.5,28.9,31.1,35.5,56.8,70.6,64,94.4,97.4,77.9,97.1,63.8,56.2,39.1,40.2,27.1,42.8,49.4,34.6,48,56.7,67.6,59.9,78.6,88.9,74.9,74.8,50.3,74,75.9,92.7,121.1,121.5,143.9,144.6,143.5,155.1,152.9,141.6,155.4,154.1,134.8,124.4,142,147.4,163.2,154.1,69.1,61.7,72.4,45.3,71.9,81.6,96.2,66.3,21.3,-13,-35.8,-51,5.3,37,-12.3,-81.8,3.5,60.8,125,153,197.5,105.4,166.7,159.1,218.1,276.3,297.9,174.6,494.6,566.9,749.4,917.8,523.2,544.1,502.3,325.7,321.8,352.2,213.6,196.5,144.2,165,120.5,-275.4,118.6,303.2,517.7,616.7,630.5,625.8,644.6,605.2,460.5,495.7,457.6,551.9,740,728.4,779.6,643,769.8,543.6,691.9
"45","35","    Inventory valuation adjustment","B058RC1",-4.9,-5.2,-4.9,-8.4,-8.8,-4.6,-6.2,-6.6,-3.6,-4.7,-5.6,-4.5,-5.8,-5.8,-5.8,-9,-15.8,-21.1,-18.7,-22.7,-31.8,-36.7,-50,-34.4,-12.4,-7,-11.7,-11.1,-10.7,-14.9,-15.2,-15.6,-21.4,-15.3,-9.5,-16.6,-20.8,-23.2,-23.3,-27.5,-35.1,-40,-44.1,-41.4,-53.5,-34,-42.3,-38.8,-37.4,-24.3,-18.2,-18.6,-12.9,-4.7,-6.4,-6,2.2,-7.1,-15.2,-9.8,-6.6,-9.8,0.3,0.2,0.6,0.3,7.2,-8,19.7,13.9,5.4,-10.9,-13.9,-19.2,-15.7,-16.2,-18.3,-25.5,-26.1,-18.8,-33.7,-18.9,-0.4,-12.3,-3.6,2,-30.2,-19.8,11.4,8.6,1.4,-1.7,2.2,-10.6,-3.4,0.4,-6.1,-6.3,0.4,-4.1,-8.3,-10.2,-15.7,-15.6,-32.5,-28.2,-9.8,-2.6,2.1,-1.7,4.7,7.1,18.5,15.7,15.1,7,14.4,15.4,19.1,14.1,24.2,3.8,-14.5,-29.3,-25.2,-21,-9.1,-11.9,-18.4,-1.1,16.8,34.8,46.1,13.5,-14.4,-20.7,-18.3,6.1,-5,-21,-23.4,-45.2,-38.5,-50.7,-38.7,-18.4,-32.4,-39,-32.3,-54,-38.5,-17.9,-38.6,-32.2,-16.7,-70.5,-123,-149.9,-64.9,190,93.5,21.6,-20.2,-68.2,-40.1,-20.6,-18.1,-85.3,-120.1,-68.2,-27.7,-8.2,-19.5,9.8,-22,-8.4,-13,8.9,1.7
