"","Table 2#3#4U# Chain-Type Price Indexes for Personal Consumption ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"28","19","P1TMDG B   Medical care","P1TMDG3",9.541,9.627,9.707,9.832,9.833,9.992,10.123,10.228,10.258,10.28,10.354,10.423,10.498,10.585,10.634,10.695,10.744,10.787,10.88,10.942,11.043,11.125,11.211,11.316,11.405,11.502,11.593,11.687,11.821,11.981,12.171,12.38,12.53,12.682,12.898,13.129,13.394,13.645,13.88,14.103,14.302,14.568,14.779,15.038,15.294,15.603,15.84,16.091,16.296,16.544,16.807,17.029,17.27,17.412,17.631,17.769,17.883,18.141,18.383,18.664,19.017,19.492,20.088,20.655,21.113,21.595,22.066,22.713,23.142,23.459,24.135,24.73,25.203,25.947,26.539,26.913,27.572,28.189,28.823,29.419,30.073,30.545,30.899,31.688,32.679,33.604,34.455,35.428,36.494,37.456,38.664,39.826,40.842,41.662,42.699,43.466,44.42,45.201,46.052,46.952,47.939,48.798,49.43,50.059,50.752,51.312,51.789,52.234,52.717,53.166,53.542,54.063,54.42,55.242,56.095,56.931,58.036,59.301,60.512,61.698,63.052,64.233,65.476,66.663,67.909,69.102,70.34,71.494,72.37,73.378,74.307,75.33,76.355,77.34,78.347,79.301,80.23,81.163,81.989,82.706,83.618,84.398,85.289,86.205,87.129,87.719,88.282,88.968,89.418,90.095,90.632,91.283,91.79,92.387,92.917,93.305,93.977,94.775,95.245,95.699,96.303,96.835,97.459,98.147,98.762,99.524,100.478,101.236,102.48,103.329,103.954,104.592,105.079,105.785,106.594,107.469,108.355,109.405,110.336,111.335,112.34,112.955,113.703
"29","20","P1RECG B   Recreation","P1RECG3",19.385,19.589,19.853,20.075,20.203,20.278,20.422,20.555,20.686,20.737,20.896,20.991,21.135,21.182,21.311,21.467,21.492,21.616,21.817,21.997,22.162,22.303,22.507,22.662,22.792,22.939,23.07,23.25,23.484,23.717,23.865,24.124,24.228,24.47,24.738,25.176,25.61,25.949,26.272,26.54,26.801,27.157,27.483,27.843,28.128,28.468,28.864,29.285,29.651,29.89,30.159,30.322,30.527,30.645,30.852,31.02,31.271,31.733,32.006,32.409,32.832,33.576,34.322,35.099,35.867,36.103,36.429,36.848,37.223,37.643,38.037,38.598,38.931,39.334,39.701,40.071,40.607,41.288,42.028,42.744,43.35,44.223,44.834,45.3,46.128,47.41,48.257,48.933,50.008,50.477,51.136,51.857,52.413,52.972,53.818,54.354,54.846,55.457,55.599,56.439,57.001,57.728,58.381,58.858,59.465,60.021,60.412,60.931,61.821,62.233,62.67,63.117,63.74,64.375,64.968,65.568,66.133,66.833,67.324,68.401,69.19,69.776,70.611,71.107,72.259,73.226,74.48,75.25,76.224,77.217,77.909,78.436,78.635,79.454,80.068,80.591,81.084,81.865,82.349,83.018,83.414,83.482,83.731,84.125,84.767,85.479,86.018,86.677,87.359,88.18,88.983,89.705,90.314,90.916,91.719,92.107,92.853,93.361,93.73,94.449,95.129,96.108,96.84,97.61,98.678,99.441,100.647,101.234,102.094,103.087,103.779,104.489,105.06,106.088,106.863,107.601,108.516,108.968,109.549,109.958,110.875,111.559,112.266
"30","21","P1OSRG B   Other","P1OSRG3",14.806,14.593,14.642,14.793,14.913,15.061,15.23,15.365,15.33,15.362,15.475,15.583,15.739,15.864,15.904,15.974,16.06,16.061,16.142,16.252,16.406,16.523,16.66,16.784,16.873,16.951,17.034,17.17,17.41,17.644,17.851,18.036,18.073,18.201,18.311,18.488,18.733,18.994,19.309,19.627,20.023,20.387,20.719,20.995,21.22,21.439,21.665,21.985,22.21,22.468,22.745,23.055,23.364,23.604,23.849,24.129,24.132,24.702,25.562,26.164,27.122,28.147,28.884,29.5,30.146,30.66,31.451,31.682,31.931,32.197,32.649,32.964,33.582,34.016,34.702,35.331,36.327,37.256,38.218,38.871,39.688,40.473,41.566,42.525,44.084,45.278,46.221,47.209,48.421,49.194,50.136,50.719,50.922,51.391,52.232,53.276,54.091,54.887,55.713,56.242,56.727,57.174,57.43,57.921,58.915,59.359,59.409,60.792,62.191,63.184,64.204,65.299,65.552,65.402,66.172,66.983,68.22,68.919,69.674,70.014,70.83,71.063,71.246,71.703,72.345,74.172,74.742,75.259,76.614,76.95,78.069,79.211,80.987,81.533,82.513,82.881,82.891,83.865,83.978,84.022,84.264,84.897,86.573,87.081,87.326,88.088,88.777,89.291,90.085,90.911,91.756,92.725,93.524,94.293,94.772,95.312,95.872,95.679,96.099,97.05,97.18,97.782,98.244,99.087,100.784,100.253,99.467,99.496,100.656,101.77,102.009,104.06,104.729,105.492,106.502,106.781,107.969,108.746,108.736,109.852,110.851,110.944,111.057
"31",NA,"         Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","22","P1NRGG B   Energy goods and services","P1NRGG3",17.259,17.418,17.519,17.846,17.758,17.802,18.069,18.096,18.079,17.791,18.029,17.97,17.938,18.011,17.98,18.203,18.111,17.951,18.057,18.063,17.991,17.927,17.912,18.034,18.228,18.316,18.339,18.481,18.492,18.533,18.664,18.822,18.922,19.012,19.097,19.158,19.249,19.249,19.381,19.424,19.591,19.892,19.923,19.98,19.982,20.279,20.307,20.74,20.884,20.778,21.166,21.405,21.347,21.33,21.69,22.073,22.433,23.029,23.374,25.036,28.555,30.766,31.456,31.536,32.213,32.835,34.316,35.17,35.243,35.3,35.919,37,38.106,38.663,38.978,39.75,40.03,40.481,41.085,42.552,44.158,48.302,53.913,57.465,63.493,66.539,67.387,68.466,73.823,75.281,75.677,76.782,76.774,75.005,77.348,78.02,76.094,77.672,78.421,78.244,78.561,78.904,78.356,78.688,78.755,80.03,79.504,79.705,77.192,69.492,67.237,65.61,69.092,69.866,71.691,71.527,70.666,70.705,71.531,71.506,72.489,77.475,75.84,75.073,78.381,77.584,81.243,88.81,83.917,81.194,80.868,81.87,81.115,81.769,82.811,83.831,83.792,83.208,82.315,83.323,82.765,82.064,84.341,84.774,84.579,84.48,84.041,83.515,85.912,88.666,87.675,89.667,91.413,87.643,88.173,88.58,83.626,81.695,81.124,79.986,78.769,83.479,87.245,89.923,95.798,98.621,101.955,103.626,106.248,108.821,103.107,93.33,91.136,97.144,98.47,100.67,110.142,107.474,110.32,107.898,114.463,121.386,122.566
"33","23","P1XEFG B   Personal consumption expenditures less food and energy","P1XEFG3",20.874,20.958,21.085,21.205,21.257,21.341,21.426,21.505,21.534,21.6,21.693,21.733,21.812,21.893,21.954,21.984,22.051,22.127,22.212,22.311,22.403,22.464,22.53,22.59,22.674,22.742,22.802,22.865,22.976,23.149,23.332,23.527,23.635,23.785,23.999,24.239,24.512,24.793,25.063,25.357,25.636,25.943,26.24,26.536,26.816,27.09,27.39,27.783,28.124,28.448,28.711,28.87,29.159,29.356,29.575,29.759,29.965,30.351,30.726,31.091,31.607,32.362,33.267,34.065,34.714,35.268,35.805,36.386,36.939,37.382,37.97,38.57,39.202,39.775,40.436,41.036,41.7,42.398,43.085,43.842,44.388,45.33,46.139,47.083,48.219,49.275,50.371,51.611,52.732,53.713,54.714,55.7,56.529,57.302,58.218,59.056,59.88,60.333,61.299,61.778,62.386,63.126,63.719,64.177,64.984,65.491,66.049,66.589,67.32,67.9,68.551,69.205,69.794,70.394,71.092,71.81,72.57,73.456,74.262,75.064,75.923,76.564,77.155,77.892,78.814,79.852,80.649,81.311,82.238,82.868,83.648,84.413,85.236,85.837,86.433,87.013,87.534,88.192,88.595,89.008,89.46,90.063,90.77,91.196,91.667,92.181,92.635,93.071,93.509,93.91,94.292,94.785,95.147,95.577,95.778,96.072,96.413,96.685,97.036,97.448,97.746,98.161,98.507,98.959,99.558,99.872,100.098,100.472,101.172,101.688,102.052,102.706,103.02,103.52,104.022,104.264,104.647,104.939,105.174,105.527,106.081,106.523,106.705
"34",NA,"Chain-Type Price Indexes for PCE by Major Type of Expenditure"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","24","P1PCEG B     Personal consumption expenditures","P1PCEG3",20.315,20.365,20.47,20.576,20.616,20.73,20.812,20.909,20.944,20.94,21.016,21.039,21.131,21.209,21.262,21.325,21.386,21.416,21.518,21.596,21.697,21.744,21.815,21.889,21.963,22.072,22.155,22.223,22.396,22.576,22.75,22.927,22.993,23.108,23.322,23.525,23.776,24.019,24.269,24.542,24.783,25.103,25.418,25.716,26.018,26.304,26.562,26.91,27.164,27.472,27.743,27.915,28.214,28.384,28.637,28.876,29.23,29.795,30.337,30.961,31.877,32.764,33.638,34.485,35.132,35.578,36.247,36.862,37.27,37.592,38.166,38.765,39.452,40.13,40.736,41.321,42.018,42.885,43.635,44.456,45.284,46.509,47.65,48.793,50.246,51.457,52.652,53.955,55.349,56.265,57.197,58.068,58.803,59.365,60.294,60.972,61.498,62.063,62.88,63.303,63.978,64.599,65.098,65.506,66.212,66.714,67.144,67.672,68.159,68.2,68.713,69.203,69.984,70.586,71.306,71.911,72.534,73.337,74.213,74.938,75.827,76.815,77.304,77.943,79.096,79.947,80.95,81.998,82.614,83.072,83.66,84.328,84.982,85.526,86.123,86.667,87.116,87.678,87.979,88.443,88.794,89.278,90.07,90.472,90.909,91.412,91.801,92.185,92.758,93.352,93.725,94.352,94.781,94.961,95.218,95.536,95.61,95.771,96.088,96.443,96.687,97.319,97.855,98.438,99.296,99.777,100.239,100.687,101.502,102.146,102.291,102.437,102.66,103.386,103.894,104.25,105.08,105.269,105.689,106.005,106.86,107.683,107.98
"36","25","P1FTBG D Food and tobacco","P1FTBG3",18.625,18.63,18.74,18.767,18.797,18.973,18.978,19.125,19.195,19.121,19.104,19.109,19.262,19.324,19.376,19.465,19.557,19.562,19.713,19.758,19.935,19.975,20.074,20.161,20.186,20.429,20.595,20.668,21.058,21.301,21.458,21.579,21.525,21.551,21.812,21.975,22.218,22.432,22.644,22.911,23.062,23.41,23.884,24.289,24.745,25.06,25.278,25.451,25.479,25.863,26.12,26.308,26.77,26.931,27.226,27.562,28.33,29.41,30.496,31.491,32.669,33.453,34.268,35.507,36.117,36.136,36.876,37.469,37.53,37.555,38.016,38.413,39.096,40.106,40.589,41.06,41.96,43.472,44.5,45.229,46.711,47.752,48.4,49.316,50.263,51.31,52.879,54.384,55.344,55.814,56.615,56.986,57.609,58.224,58.707,59.038,59.45,60.074,60.414,60.811,61.851,62.055,62.565,62.765,63.296,63.489,63.748,64.325,64.858,65.233,66.127,66.594,67.309,67.831,68.305,68.655,69.283,69.938,71.175,71.78,72.909,74.054,74.926,75.588,77.032,77.596,78.731,79.293,80.489,81.293,81.392,81.569,81.974,82.284,82.784,83.062,83.533,84.013,83.939,84.119,84.344,84.682,85.325,85.573,86.037,86.703,87.078,87.514,88.103,88.881,89.675,90.481,90.818,91.196,91.65,92.177,92.719,93.253,93.897,94.903,96.324,96.659,97.338,98.079,98.814,99.667,100.542,100.977,101.878,102.846,103.985,104.525,105.041,105.646,106.23,106.497,106.93,107.371,108.122,109.085,109.783,110.774,111.55
"37","26","P1FXAG C   Food excluding alcoholic beverages","P1FXAG3",19.309,19.233,19.288,19.286,19.287,19.523,19.518,19.713,19.786,19.671,19.637,19.625,19.809,19.881,19.94,20.039,20.145,20.086,20.248,20.281,20.491,20.536,20.668,20.777,20.758,21.041,21.216,21.258,21.732,21.998,22.158,22.297,22.172,22.159,22.418,22.539,22.785,23.007,23.242,23.55,23.698,24.085,24.581,24.985,25.502,25.8,25.998,26.158,26.126,26.578,26.823,27.024,27.541,27.697,28.044,28.454,29.407,30.734,32.101,33.33,34.783,35.68,36.47,37.876,38.504,38.461,39.381,40.095,40.064,40.012,40.554,40.989,41.805,43.086,43.621,44.076,45.134,46.963,48.072,48.893,50.612,51.82,52.51,53.504,54.494,55.631,57.482,59.285,60.256,60.658,61.515,61.844,62.451,63.066,63.499,63.471,63.605,64.248,64.449,64.851,66.057,66.232,66.705,66.886,67.392,67.557,67.702,68.145,68.624,69.026,69.994,70.545,71.229,71.798,72.184,72.518,73.022,73.693,74.998,75.675,76.727,77.926,78.673,79.363,80.914,81.402,82.446,83.029,83.443,84.165,84.071,84.114,84.381,84.519,84.971,85.135,85.42,85.971,86.209,86.756,86.913,87.26,88.01,88.295,88.828,89.502,89.859,90.326,90.904,91.701,92.568,93.447,93.736,93.996,94.474,94.911,95.386,95.73,96.177,96.746,97.207,97.549,97.932,98.494,99.006,99.644,100.455,100.896,101.802,102.558,103.461,104.054,104.56,104.735,104.973,105.35,105.827,106.42,107.175,108.233,108.922,109.935,110.652
"38","27","P1ALCG D   Alcoholic beverages","P1ALCG3",24.486,24.854,25.16,25.313,25.501,25.453,25.582,25.499,25.543,25.681,25.789,25.908,25.916,26.007,26.081,26.15,26.2,26.411,26.444,26.567,26.588,26.645,26.635,26.626,26.798,26.685,26.811,26.997,26.949,27.088,27.288,27.368,27.743,28.037,28.329,28.665,28.887,29.038,29.267,29.428,29.618,29.863,30.201,30.61,30.823,31.329,31.694,32.019,32.453,32.629,32.952,33.061,33.222,33.383,33.552,33.628,33.828,34.023,34.246,34.614,35.165,35.776,37.005,37.982,38.716,39.006,39.227,39.492,39.848,40.171,40.552,40.832,40.964,41.1,41.545,42.032,42.674,43.59,44.387,45.207,46.227,47.059,47.734,48.789,49.674,50.814,51.79,52.539,53.825,54.637,55.476,55.796,56.594,57.124,57.791,58.232,58.899,59.652,60.014,60.479,60.853,61.285,61.79,62.224,62.616,63.016,63.549,65.13,65.651,65.973,66.331,66.534,67.121,67.467,68.032,68.499,69.16,69.972,70.577,70.907,71.45,72.405,73.309,73.974,74.771,75.669,76.59,77.037,82.559,83.788,84.499,84.825,85.565,86.371,86.688,87.015,87.229,87.346,87.468,87.723,87.955,88.078,88.168,88.286,88.441,89.065,89.376,89.713,90.513,91.351,91.959,92.556,93.066,93.418,93.815,94.006,94.297,94.431,94.935,95.556,96.107,96.673,97.45,98.058,98.934,99.495,100.485,101.087,101.624,102.268,103.239,103.852,104.373,105.032,105.555,106.204,106.683,107.111,107.63,108.511,109.165,110.402,110.95
"39","28","P1TOBG C   Tobacco products","P1TOBG3",7.15,7.311,7.52,7.596,7.658,7.64,7.623,7.64,7.684,7.702,7.702,7.72,7.763,7.754,7.754,7.781,7.807,7.973,8.087,8.131,8.193,8.192,8.175,8.193,8.324,8.499,8.595,8.736,8.859,8.981,9.06,9.086,9.147,9.2,9.383,9.602,9.778,9.927,9.962,10.015,10.12,10.243,10.567,10.873,11.049,11.26,11.435,11.54,11.61,11.688,11.898,12.031,12.302,12.451,12.495,12.547,12.583,12.793,12.854,12.933,12.976,13.168,13.616,13.94,14.221,14.344,14.405,14.511,14.791,14.966,14.992,15.184,15.456,15.553,15.694,16.122,16.232,16.286,16.858,16.903,17.237,17.378,17.651,17.862,18.432,18.713,19.01,19.308,19.744,20.164,20.477,21.009,21.427,21.975,22.461,24.531,26.157,26.451,27.498,27.731,28.24,28.375,29.013,29.088,29.804,29.947,30.592,30.96,31.76,31.962,32.788,32.912,33.836,34.165,35.042,35.351,36.708,37.039,38.335,38.653,40.857,41.705,43.383,43.781,45.045,45.788,47.842,48.354,50.597,51.57,52.583,53.71,54.85,55.976,57.059,58.227,60.547,60.855,57.912,54.853,55.632,56.127,56.473,56.535,56.746,57.382,57.96,58.229,58.663,59.185,59.547,59.936,60.479,61.884,62.177,63.857,65.266,67.945,70.537,76.059,87.695,87.672,91.152,93.882,96.685,100.148,101.53,101.657,103.022,106.684,110.561,110.439,111.037,116.291,120.805,119.305,119.215,117.917,118.979,118.92,119.787,120.094,121.972
"40","29","P1CAJG D Clothing, accessories, and jewelry","P1CAJG3",43.284,43.437,43.752,43.887,44.002,44.209,44.357,44.447,44.504,44.444,44.63,44.623,44.514,44.66,44.86,44.932,45.015,45.119,45.244,45.469,45.677,45.748,45.722,45.734,45.924,46.059,46.277,46.303,46.605,46.966,47.423,47.936,48.416,48.89,49.406,49.85,50.502,51.315,52.158,52.906,53.64,54.306,55.004,55.625,56.127,56.526,57.014,57.654,58.079,58.543,58.809,59.033,59.469,59.719,59.854,60.537,61.024,61.917,62.367,63.025,64.221,65.861,67.609,68.647,68.986,69.22,69.869,70.294,70.936,71.546,72.599,73.234,74.139,74.341,75.496,75.91,75.972,77.117,77.453,78.074,78.525,79.421,79.994,81.254,83.2,84.63,85.448,86.582,87.187,87.832,88.467,88.656,88.912,89.207,89.366,89.148,89.658,90.267,91.16,90.815,91.034,90.705,91.306,91.702,92.362,92.798,93.06,93.329,92.669,91.947,92.925,93.34,94.862,95.88,96.473,97.698,97.935,99.596,99.915,101.429,101.446,102.05,101.321,102.177,104.059,105.76,106.057,106.333,106.863,107.263,108.385,109.282,108.855,108.672,109.078,109.304,109.095,108.582,108.717,108.687,107.773,108.207,107.867,106.942,106.086,105.694,105.519,105.378,105.166,104.591,103.47,103.812,104.07,104.801,104.026,103.521,102.703,102.136,102.503,101.769,100.64,101.27,100.866,101.046,100.376,99.893,99.686,100.045,100.368,99.266,98.551,97.974,97.613,97.44,96.739,96.286,95.349,94.858,95.08,95.028,94.911,95.797,95.254
"41","30","P1PCRG D Personal care","P1PCRG3",21.316,21.49,21.643,21.802,21.74,21.824,21.881,21.957,21.992,22.006,22.075,22.079,22.192,22.216,22.275,22.424,22.498,22.502,22.624,22.674,22.705,22.698,22.74,22.826,22.938,23.032,23.015,22.895,22.957,23.129,23.326,23.487,23.656,23.93,24.075,24.197,24.557,24.877,25.107,25.459,25.732,26.052,26.269,26.411,26.672,26.851,27.111,27.367,27.599,27.866,28.038,28.13,28.231,28.505,28.687,28.927,29.306,29.797,30.166,30.766,31.502,32.557,33.906,35.3,36.332,37.078,37.57,38.128,39.12,39.836,40.72,41.539,42.179,42.978,43.698,44.853,45.565,45.996,46.872,47.574,48.508,49.328,50.08,50.983,52.154,53.283,54.499,55.389,56.628,58.173,59.128,59.969,61.087,62.334,63.319,64.123,65.085,65.675,66.3,66.817,67.359,67.832,68.521,69.188,69.576,70.155,70.834,71.324,72.131,72.529,72.65,72.931,73.545,74.016,74.587,74.91,75.793,76.284,76.661,78.073,78.94,79.584,80.137,80.968,81.814,83.268,83.343,84.014,84.969,85.705,85.991,86.123,86.947,87.433,87.739,87.88,88.259,88.815,89.566,89.851,89.888,90.708,90.918,91.203,91.215,91.464,91.849,92.752,92.832,92.929,93.121,93.118,93.65,94.261,94,94.788,95.417,95.704,95.829,95.963,96.668,97.49,98.008,98.517,99.135,99.558,100.396,100.912,101.562,101.721,102.218,102.55,102.653,102.988,102.923,102.913,102.862,103.428,103.712,103.745,104.189,104.47,104.531
"42","31","P1HOSG B Housing","P1HOSG3",18.408,18.53,18.601,18.712,18.76,18.808,18.895,18.972,19.012,19.11,19.175,19.181,19.281,19.311,19.393,19.422,19.505,19.563,19.596,19.678,19.711,19.756,19.819,19.855,19.902,19.963,20.008,20.069,20.162,20.244,20.301,20.45,20.563,20.638,20.729,20.847,20.987,21.15,21.286,21.454,21.618,21.806,22.054,22.287,22.533,22.77,23.008,23.295,23.577,23.862,24.119,24.296,24.518,24.692,24.92,25.141,25.477,25.735,25.998,26.285,26.473,26.65,26.956,27.405,27.982,28.383,28.793,29.317,29.787,30.182,30.708,31.334,32.087,32.771,33.407,34.01,34.532,35.067,35.645,36.383,36.973,37.645,38.572,39.688,40.372,41.181,42.199,43.413,44.412,45.438,46.615,47.78,48.657,49.354,50.335,51.241,51.916,52.62,53.192,53.781,54.45,55.332,56.136,56.808,57.608,58.571,59.531,60.41,61.265,62.214,62.842,63.604,64.271,65.075,65.631,66.506,67.391,67.982,68.663,69.345,70.018,70.75,71.564,72.468,73.17,74.083,75.23,75.676,76.261,76.729,77.087,77.761,78.354,78.856,79.278,79.803,80.398,81.089,81.484,82.006,82.653,83.327,83.783,84.354,84.999,85.802,86.48,87.216,87.832,88.488,89.143,89.697,90.287,91.009,91.681,92.394,93.086,93.894,94.658,95.5,95.967,96.633,97.223,97.856,98.803,99.562,100.376,101.259,102.212,103.344,104.429,105.483,106.555,107.464,108.235,108.935,109.605,110.096,110.704,111.344,111.912,112.941,113.608
"43","32","P1HHOG D Household operation","P1HHOG3",25.551,25.653,25.845,25.954,26.075,26.177,26.248,26.298,26.347,26.396,26.37,26.368,26.395,26.422,26.462,26.501,26.557,26.618,26.624,26.702,26.7,26.746,26.758,26.793,26.82,26.826,26.882,26.975,26.926,27.103,27.309,27.488,27.622,27.705,27.876,28.046,28.362,28.655,28.848,29.085,29.277,29.531,29.76,30.001,30.224,30.491,30.782,31.211,31.596,31.966,32.4,32.529,32.791,32.985,33.229,33.472,33.803,34.209,34.568,35.347,36.823,38.254,39.819,41.142,42.19,42.881,43.534,44.463,45.316,45.941,46.513,47.401,48.354,48.925,49.578,50.223,50.726,51.669,52.363,53.27,54.179,55.36,57.009,58.478,60.222,61.88,63.626,64.794,66.801,68.62,70.431,71.924,73.39,74.67,75.554,76.949,77.819,78.334,78.709,79.408,80.406,81.058,81.761,82.141,82.489,83.189,83.252,83.845,83.929,83.687,83.834,83.454,83.797,84.124,84.605,84.512,84.633,85.504,85.845,86.44,86.712,87.131,87.714,88.09,88.977,88.954,89.245,90.205,91.11,91.158,91.535,92.069,92.455,92.785,93.136,93.469,93.531,94.333,94.7,95.184,95.557,95.742,95.959,95.722,96.33,96.323,96.876,97.001,97.645,98.015,98.33,98.73,99.396,99.258,99.103,99.011,98.587,98.957,98.703,98.428,98.307,98.242,98.386,98.572,99.147,99.497,100.292,101.063,102.932,102.59,102.285,101.312,100.734,100.817,101.178,101.189,102.158,102.447,102.168,101.517,102.257,102.507,103.049
"44","33","P1MEDG D Medical care","P1MEDG3",10.938,11.032,11.117,11.235,11.233,11.376,11.49,11.574,11.589,11.599,11.653,11.71,11.764,11.826,11.847,11.892,11.932,11.967,12.046,12.101,12.19,12.264,12.34,12.432,12.512,12.603,12.685,12.772,12.897,13.045,13.221,13.414,13.547,13.679,13.879,14.095,14.336,14.56,14.773,14.986,15.178,15.43,15.627,15.873,16.115,16.417,16.648,16.873,17.069,17.306,17.553,17.762,17.975,18.104,18.298,18.425,18.53,18.769,18.992,19.254,19.59,20.047,20.635,21.199,21.674,22.154,22.617,23.236,23.66,23.989,24.635,25.206,25.674,26.394,26.978,27.367,28.013,28.619,29.234,29.824,30.463,30.94,31.319,32.094,33.066,33.991,34.843,35.794,36.857,37.837,39.029,40.157,41.159,42.021,43.044,43.832,44.771,45.572,46.404,47.284,48.25,49.112,49.754,50.404,51.113,51.71,52.219,52.684,53.211,53.705,54.119,54.646,55.067,55.894,56.753,57.582,58.645,59.873,61.045,62.202,63.491,64.679,65.892,67.072,68.294,69.512,70.737,71.901,72.813,73.864,74.837,75.835,76.894,77.894,78.843,79.752,80.655,81.52,82.344,83.001,83.857,84.617,85.461,86.328,87.138,87.627,88.202,88.868,89.343,89.975,90.504,91.109,91.606,92.189,92.644,93.004,93.658,94.496,94.996,95.477,96.071,96.718,97.424,98.156,98.772,99.521,100.468,101.239,102.508,103.424,104.142,104.833,105.411,106.157,106.976,107.837,108.677,109.62,110.547,111.465,112.432,113.137,113.86
"45","34","P1PBUG C Personal business","P1PBUG3",13.898,13.891,13.973,14.137,14.312,14.498,14.671,14.819,14.794,14.824,15.013,15.214,15.455,15.562,15.611,15.636,15.696,15.649,15.71,15.854,16.112,16.34,16.54,16.698,16.673,16.706,16.762,16.886,17.203,17.507,17.765,17.938,17.958,17.999,18.092,18.328,18.529,18.86,19.263,19.663,20.225,20.732,21.151,21.486,21.752,21.965,22.178,22.538,22.662,22.83,23.135,23.459,23.875,24.265,24.442,24.61,24.67,25.03,25.572,26.229,27.056,27.842,28.662,29.395,30.102,30.572,30.932,31.256,31.352,31.538,31.779,32.031,32.377,32.913,33.59,34.363,35.768,36.982,38.053,38.678,39.217,39.926,40.813,41.476,43.089,44.252,45.289,45.871,47.053,47.816,48.931,49.029,48.952,49.97,51.233,52.631,53.86,54.949,55.921,56.457,56.82,57.359,58.006,58.96,60.703,60.893,60.449,62.216,64.061,65.544,67.004,68.495,69.016,68.331,69.146,69.893,71.262,71.84,72.526,72.178,73.2,73.031,72.999,73.284,73.878,76.485,76.845,76.858,78.82,79.147,80.599,81.951,84.512,84.876,85.951,86.433,85.941,87.127,86.952,86.418,86.262,86.979,88.976,89.165,89.43,89.83,90.744,91.337,92.148,93.086,93.946,94.678,95.763,96.547,97.158,97.94,98.639,97.618,97.945,98.868,98.522,99.106,99.327,100.031,102.291,100.869,98.782,98.058,99.245,100.573,99.964,102.951,103.442,103.714,104.255,104.288,105.439,105.813,104.907,106.06,106.802,106.41,105.613
