"","Table 1#1#9# Implicit Price Deflators for Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178"
"21","13","  Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","14","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","15","  Exports","A020RD3",32.326,32.375,32.818,33.572,33.553,34.214,34.148,34.277,35.274,35.362,35.199,35.417,36.465,36.744,36.872,37.686,38.725,40.447,42.792,44.987,48.17,49.857,52.686,55.377,56.916,56.738,56.559,56.899,57.721,58.352,58.698,59.754,60.449,61.345,61.03,61.3,62.466,64,65.035,67.166,69.154,71.981,73.685,75.059,77.293,78.373,80.601,83.327,85.402,85.773,85.899,86.17,86.678,86.607,85.981,85.48,85.842,86.157,86.643,87.498,87.615,88.182,87.289,86.352,85.399,85.069,84.179,84.048,83.614,83.302,82.986,83.716,84.066,85.259,85.557,87.002,88.016,89.859,90.983,90.809,91.704,91.845,91.265,90.982,91.079,91.327,92.211,93.595,93.901,93.416,92.839,93.022,92.905,92.987,92.968,92.757,92.802,93.001,92.893,92.819,93.236,93.588,94.074,94.682,95.723,96.484,96.256,95.818,95.642,95.327,94.641,93.681,93.434,93.382,93.141,92.757,91.833,91.369,90.649,90.328,90.164,90.306,90.498,90.913,91.484,92.032,92.303,92.432,92.418,92.007,91.547,90.705,90.516,91.066,91.751,91.933,92.824,93.036,93.246,93.971,95.14,96.307,96.789,97.856,98.918,99.609,100.329,101.094,101.82,103.111,104.37,104.391,105.279,106.43,107.118,108.627,110.67,113.516,115.195,108.26,104.889,104.857,106.15,107.636,108.93,110.262,110.526,113.087,116.104,118.475,118.988,117.838,118.651,118.801,118.858
"24","16","    Goods","A253RD3",37.034,36.921,37.436,38.481,38.719,39.55,39.213,39.247,40.431,40.377,39.943,40.197,40.75,41.038,41.101,42.221,43.878,46.1,49.186,52.156,56.228,58.409,62.2,65.945,68.044,67.477,66.937,67.238,68.105,68.85,69.147,70.451,71.295,72.28,71.532,71.554,72.955,74.856,76.005,78.892,81.661,85.313,87.24,88.572,91.06,92.07,94.84,98.317,100.77,100.84,100.593,100.578,100.959,100.303,98.887,97.837,97.923,98.288,98.837,100.15,100.618,101.146,99.5,97.611,96.073,95.412,93.956,93.334,92.311,91.614,90.779,91.67,92.023,93.676,93.882,95.948,97.314,99.931,101.535,101.081,102.062,101.978,100.975,100.278,99.828,99.95,100.365,101.235,101.356,100.724,99.486,99.477,99.062,98.898,98.501,98.104,98.137,98.248,98.072,97.86,98.43,98.783,99.211,99.976,101.31,102.013,101.652,100.955,100.277,99.837,98.579,96.901,96.671,96.409,96.071,95.404,94.284,93.558,92.545,92.009,91.683,91.605,91.766,92.253,92.547,93.036,93.126,93.261,93.22,92.789,92.217,91.33,91.091,91.48,92.264,92.426,93.239,93.497,93.386,94.302,95.563,96.881,97.188,98.139,99.137,99.761,100.183,100.87,101.538,102.903,104.278,104.486,105.2,106.378,106.947,108.518,110.813,114.309,115.909,107.107,103.061,103.604,104.919,106.304,107.723,109.175,109.461,112.757,116.357,119.027,119.393,117.924,118.622,118.515,118.559
"25","17","    Services","A646RD3",23.239,23.569,23.876,24.098,23.612,23.96,24.375,24.671,25.307,25.627,25.953,26.118,27.948,28.233,28.502,28.755,28.555,29.27,30.106,30.701,32.032,32.696,33.544,34.097,34.548,35.121,35.664,36.084,36.802,37.189,37.627,38.186,38.586,39.3,39.832,40.568,41.273,42.076,42.878,43.483,43.893,45.044,46.288,47.788,49.524,50.81,51.918,53.11,54.451,55.452,56.317,57.15,57.894,58.938,59.824,60.349,61.2,61.425,61.799,61.795,61.292,61.925,62.423,63.289,63.432,63.704,63.887,64.683,65.325,65.687,66.274,66.689,67.01,67.375,67.826,68.111,68.468,68.827,69.033,69.398,70.101,70.663,70.908,71.419,72.565,73.046,74.795,77.105,77.76,77.577,78.278,78.838,79.307,79.873,80.594,80.756,80.811,81.17,81.19,81.39,81.5,81.849,82.449,82.729,83.15,84.026,84.083,84.188,85.078,85.033,85.592,86.202,85.938,86.378,86.368,86.645,86.168,86.297,86.245,86.425,86.634,87.272,87.54,87.791,89.015,89.707,90.423,90.533,90.581,90.218,90.018,89.285,89.216,90.138,90.595,90.824,91.891,91.996,92.938,93.228,94.192,95.019,95.893,97.216,98.419,99.263,100.666,101.615,102.485,103.603,104.582,104.154,105.45,106.542,107.514,108.878,110.335,111.623,113.467,110.849,108.887,107.635,108.867,110.572,111.601,112.668,112.89,113.741,115.388,117.051,117.904,117.514,118.604,119.379,119.469
"26","18","  Imports","A021RD3",21.966,22.061,22.22,22.794,23.037,23.302,23.875,24.118,24.727,24.813,25.115,25.484,25.908,26.578,27.014,27.628,28.465,30.721,32.183,34.585,40.024,44.581,46.856,48.368,49.17,49.32,48.226,48.286,49.042,49.773,50.661,51.187,53.005,54.488,55.217,55.781,56.706,58.073,59.032,60.062,62.402,65.651,70.564,75.271,81.61,84.608,86.991,88.474,90.671,91.168,88.763,88.948,88.7,87.153,86.12,85.459,83.657,83.657,83.82,83.295,83.56,84.028,82.532,81.508,79.533,79.865,79.795,81.365,81.541,79.024,79.568,80.54,82.591,84.74,85.602,86.945,88.199,89.781,88.795,89.515,90.938,91.936,90.366,90.844,92.264,90.648,93.287,98.471,95.456,92.822,91.421,91.833,92.249,92.601,93.779,93.03,92.483,92.81,91.984,91.603,91.533,92.384,93.934,94.3,95.101,96.483,95.888,95.03,94.825,94.335,93.386,93.354,92.65,90.726,90.131,89.418,87.209,86.139,85.015,84.955,84.7,85.697,86.728,87.954,89.588,89.58,90.214,90.684,90.253,88.526,87.136,85.195,85.032,86.872,87.407,87.965,90.475,89.187,89.604,90.134,92.12,93.391,94.348,96.616,97.432,98.796,100.832,102.81,103.219,104.298,105.103,103.887,104.575,106.252,108.017,112.329,116.748,122.42,125.536,111.961,102.854,104.471,107.789,111.011,113.181,112.595,111.735,114.445,119.419,123.053,122.458,122.452,124.145,122.931,120.852
"27","19","    Goods","A255RD3",22.355,22.44,22.568,23.33,23.601,23.841,24.577,24.863,25.308,25.244,25.515,25.804,26.441,27.246,27.676,28.27,29.154,31.525,32.962,35.749,42.317,47.911,50.682,52.379,53.31,53.284,51.669,51.522,52.478,53.405,54.348,54.846,56.99,58.69,59.41,59.872,60.9,62.356,63.136,64.199,66.901,70.597,76.28,81.705,88.977,92.559,95.135,96.91,99.668,100.198,96.956,96.898,96.479,94.716,93.699,92.891,90.57,90.593,90.779,90.102,90.351,90.964,89.607,88.672,86.325,86.294,85.618,87.093,86.53,83.06,83.509,84.67,87.633,90.219,91.062,92.632,93.729,95.571,94.395,95.233,97.323,98.675,96.606,96.939,98.252,95.803,98.537,104.291,100.325,97.508,95.594,95.973,96.277,96.542,97.428,96.794,96.14,96.34,95.448,94.872,94.751,95.77,97.267,97.56,98.778,99.89,99.085,98.065,97.705,96.993,95.695,95.495,94.744,92.384,91.839,91.063,88.777,87.316,85.923,85.6,85.308,86.244,87.313,88.738,90.637,90.732,91.411,91.989,91.411,89.425,87.686,85.484,85.222,87.102,87.445,88.131,90.781,88.686,89.052,89.672,91.824,93.125,94,96.433,97.248,98.63,100.801,103.17,103.371,104.394,105.215,103.768,104.454,106.123,107.903,112.737,117.747,123.875,127.308,111.645,100.956,103.008,106.845,110.339,112.908,112.144,111.064,113.982,119.697,123.766,123.133,123.316,125.249,123.73,121.278
"28","20","    Services","A656RD3",19.583,19.693,19.92,20.004,20.168,20.475,20.634,20.756,21.71,22.163,22.526,23.08,22.912,23.177,23.608,24.248,24.896,26.686,28.158,29.212,30.838,32.017,32.694,33.615,34.052,34.694,35.14,35.816,35.934,36.023,36.694,37.297,37.97,38.678,39.414,40.313,40.861,41.882,43.438,44.322,45.342,46.962,49.113,51.244,54.22,55.169,56.847,57.348,57.656,58.01,58.346,59.267,59.533,58.719,57.709,57.541,57.395,57.351,57.443,57.422,57.698,57.684,55.866,54.682,53.991,55.392,57.176,58.957,61.43,62.13,62.956,63.242,62.241,62.906,63.774,64.337,65.99,66.684,66.351,66.671,65.935,65.774,65.836,66.726,68.376,69.382,71.572,74.742,74.777,72.882,73.151,73.655,74.416,75.049,77.192,76.061,75.911,76.693,76.138,76.499,76.634,76.828,78.555,79.22,78.241,80.741,81.053,80.901,81.376,81.866,82.469,83.193,82.707,82.788,81.958,81.533,79.681,80.439,80.576,81.761,81.701,83.01,83.861,84.103,84.406,83.892,84.303,84.235,84.562,84.109,84.416,83.776,84.107,85.761,87.271,87.17,88.957,91.83,92.495,92.55,93.678,94.786,96.161,97.564,98.392,99.669,101.001,100.902,102.443,103.813,104.498,104.443,105.175,106.92,108.647,110.224,111.604,114.963,116.501,112.967,110.936,110.672,111.745,113.71,113.993,114.234,114.459,116.15,117.44,118.912,118.531,117.613,118.117,118.399,118.131
"29","21","Government consumption expenditures and gross investment","A822RD3",17.024,17.32,17.727,17.997,18.489,18.795,19.109,19.38,19.924,20.294,20.576,20.881,21.579,21.796,22.065,22.51,22.964,23.383,23.779,24.246,24.788,25.492,26.363,27.236,27.804,28.308,28.787,29.407,29.821,30.235,30.608,31.206,31.826,32.319,32.692,33.467,33.89,34.363,34.859,35.509,36.215,36.94,37.99,39.103,40.042,41.086,42.014,43.536,44.62,45.421,45.96,47.032,47.771,48.456,49.044,49.767,50.091,50.524,50.958,51.252,52.631,53.141,53.567,53.871,54.561,54.799,54.98,55.497,55.577,55.727,56.032,56.519,56.995,57.34,57.794,57.99,58.491,58.972,59.23,59.556,60.312,60.739,61.115,61.473,62.37,62.965,63.609,64.624,65.12,65.323,65.793,66.152,66.61,67.138,67.551,67.761,68.301,68.762,69.164,69.524,70.055,70.609,70.999,71.555,72.143,72.517,72.809,73.505,74.328,74.133,74.49,74.95,75.537,75.664,75.86,76.352,76.434,76.63,77.01,77.423,78.177,78.982,79.711,80.438,81.57,81.983,82.863,83.624,84.266,84.653,84.976,85.144,86.057,86.64,87.145,88.141,90.118,90.358,90.842,91.271,92.766,93.889,95.04,96.423,98.164,99.244,100.681,101.895,103.231,104.644,105.435,106.051,108.215,109.444,110.235,111.519,113.666,115.501,116.694,115.1,114.339,114.182,114.617,115.218,116.555,116.917,117.409,118.465,119.968,121.172,121.902,121.908,122.983,123.161,123.578
"30","22","  Federal","A823RD3",17.704,17.966,18.493,18.719,19.32,19.545,19.853,20.054,20.787,21.208,21.524,21.995,23.09,23.275,23.451,24.04,24.43,24.805,25.286,25.792,26.167,26.724,27.602,28.685,29.325,29.74,30.309,31.162,31.526,31.895,32.393,33.321,34.041,34.47,34.615,35.755,36.099,36.468,36.962,37.906,38.455,39.041,39.831,41.477,42.233,43.21,43.91,46.13,46.914,47.631,48.152,49.8,50.485,51.111,51.543,52.423,52.722,53.056,53.425,53.531,55.681,56.2,56.615,56.773,57.515,57.496,57.412,57.976,57.832,57.821,57.917,58.041,58.438,58.538,58.72,58.73,59.425,59.883,59.962,60.126,61.147,61.342,61.714,61.661,62.581,63.16,63.601,64.704,65.568,65.688,66.223,66.675,67.486,67.967,68.427,68.359,69.01,69.486,70.157,70.525,70.937,71.771,71.756,72.271,73.126,73.225,73.494,74.907,75.93,75.292,75.586,76.075,76.841,76.923,77.013,77.409,77.684,77.822,78.039,78.172,79.17,79.625,80.079,80.635,82.079,81.836,82.905,83.286,83.659,83.89,84.37,84.862,86.9,87.085,87.121,88.133,90.624,90.863,91.139,91.449,93.992,95.175,95.75,96.402,99.168,99.674,100.416,100.727,103.103,104.19,104.505,104.636,106.844,107.764,107.871,108.498,110.482,111.603,112.08,110.727,110.955,110.479,110.892,111.499,113.012,113.336,113.665,114.307,115.696,116.716,117.368,117.114,118.042,118.406,118.657
"31","23","    National defense","A824RD3",17.238,17.524,18.038,18.252,18.763,18.944,19.277,19.508,20.229,20.627,20.953,21.49,22.831,23.016,23.19,23.837,24.189,24.632,25.218,25.678,26.133,26.605,27.582,28.596,29.147,29.478,30.022,30.846,31.275,31.676,32.191,33.095,33.8,34.215,34.335,35.612,36.085,36.496,37.053,37.973,38.538,39.157,40.02,41.666,42.464,43.562,44.196,46.456,47.174,48.012,48.584,50.309,51.002,51.693,52.136,52.907,53.194,53.605,54.02,54.251,56.97,57.509,57.902,58.011,58.706,58.547,58.489,59.036,58.745,58.56,58.593,58.674,59.126,59.193,59.344,59.277,59.91,60.316,60.396,60.682,61.662,61.783,62.154,61.92,63.024,63.475,64.059,65.113,65.682,65.75,66.424,67.092,68.039,68.549,69.016,68.475,68.958,69.458,70.052,70.397,70.699,71.489,71.566,72,72.664,72.861,73.176,73.982,75.394,75.103,75.399,75.84,76.462,76.445,76.443,76.716,77.098,77.215,77.362,77.625,78.636,79.032,79.387,79.808,81.418,81.361,82.142,82.362,83.036,83.172,83.671,84.036,85.833,86.226,86.453,87.915,90.188,90.463,90.788,91.158,93.446,94.644,95.311,96.154,99.131,99.667,100.395,100.799,103.336,104.498,104.88,104.959,107.103,108.179,108.42,109.244,111.231,112.691,113.249,111.561,111.503,110.875,111.192,111.817,113.418,113.693,113.944,114.739,116.437,117.372,118.043,117.776,119.004,119.264,119.504
"32","24","    Nondefense","A825RD3",18.799,18.952,19.505,19.763,20.695,21.079,21.281,21.368,22.123,22.613,22.892,23.158,23.52,23.703,23.877,24.307,24.791,24.982,25.185,25.806,25.973,26.747,27.365,28.602,29.447,30.062,30.686,31.599,31.805,32.092,32.548,33.52,34.272,34.728,34.926,35.755,35.816,36.087,36.441,37.424,37.934,38.447,39.07,40.706,41.364,42.078,42.906,45.019,45.942,46.386,46.789,48.249,48.912,49.365,49.761,50.908,51.221,51.357,51.628,51.429,51.961,52.477,52.978,53.279,54.141,54.503,54.337,54.945,55.231,55.729,56.016,56.263,56.504,56.707,56.984,57.233,58.13,58.754,58.834,58.604,59.762,60.184,60.565,61.041,61.431,62.361,62.41,63.636,65.31,65.57,65.729,65.628,66.12,66.535,66.976,68.024,69.051,69.467,70.307,70.725,71.381,72.309,72.094,72.786,74.046,73.946,74.121,76.805,77.005,75.642,75.935,76.53,77.59,77.871,78.144,78.782,78.846,79.018,79.379,79.249,80.228,80.798,81.441,82.257,83.385,82.795,84.397,85.08,84.892,85.301,85.747,86.472,88.955,88.757,88.44,88.615,91.511,91.68,91.857,92.049,95.107,96.262,96.648,96.91,99.247,99.694,100.46,100.576,102.628,103.562,103.739,103.981,106.323,106.924,106.75,106.963,108.935,109.355,109.656,109.018,109.843,109.679,110.293,110.86,112.197,112.618,113.103,113.437,114.216,115.399,116.013,115.785,116.117,116.685,116.958
"33","25","  State and local","A829RD3",16.538,16.87,17.165,17.482,17.878,18.26,18.581,18.912,19.302,19.631,19.886,20.061,20.461,20.701,21.039,21.38,21.879,22.327,22.664,23.101,23.754,24.555,25.419,26.148,26.664,27.223,27.641,28.106,28.551,28.99,29.282,29.662,30.214,30.746,31.268,31.798,32.27,32.809,33.303,33.758,34.563,35.375,36.592,37.349,38.404,39.491,40.575,41.607,42.901,43.762,44.314,44.956,45.737,46.467,47.174,47.775,48.12,48.633,49.12,49.564,50.33,50.832,51.268,51.689,52.34,52.788,53.188,53.67,53.931,54.212,54.689,55.475,56.017,56.561,57.241,57.591,57.934,58.434,58.83,59.283,59.839,60.445,60.825,61.499,62.379,62.987,63.785,64.739,64.962,65.227,65.65,65.942,66.15,66.71,67.09,67.496,67.958,68.409,68.633,68.988,69.598,69.978,70.622,71.205,71.63,72.169,72.474,72.749,73.453,73.515,73.909,74.353,74.841,74.992,75.246,75.791,75.769,75.995,76.463,77.022,77.651,78.634,79.503,80.318,81.292,82.034,82.818,83.769,84.545,85.01,85.253,85.256,85.599,86.382,87.13,88.117,89.82,90.06,90.661,91.157,92.056,93.144,94.627,96.434,97.577,98.99,100.837,102.583,103.302,104.91,105.984,106.886,109.028,110.441,111.641,113.323,115.57,117.848,119.496,117.751,116.347,116.401,116.849,117.445,118.659,119.046,119.648,120.994,122.572,123.9,124.682,124.87,126.046,126.093,126.626
"34",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","26","  Gross national product","A001RD3",22.642,22.934,23.262,23.562,23.897,24.229,24.42,24.733,25.108,25.437,25.694,25.9,26.301,26.457,26.713,27.067,27.388,27.813,28.354,28.917,29.47,30.172,31.064,31.991,32.734,33.222,33.843,34.442,34.818,35.19,35.67,36.315,36.925,37.454,37.913,38.742,39.309,40.035,40.701,41.56,42.303,43.344,44.283,45.174,46.125,47.157,48.235,49.571,50.831,51.791,52.711,53.674,54.402,55.059,55.842,56.449,56.909,57.328,57.913,58.34,59.079,59.585,60.063,60.446,61.114,61.467,61.729,62.131,62.444,62.769,63.124,63.545,64.142,64.513,65.019,65.516,66.053,66.674,67.426,67.94,68.71,69.39,69.849,70.314,71.164,71.987,72.651,73.239,74.025,74.551,75.127,75.562,75.942,76.411,76.765,77.204,77.673,78.106,78.468,78.901,79.314,79.692,80.164,80.578,81.042,81.403,81.787,82.202,82.678,82.996,83.257,83.716,84.256,84.45,84.744,85.054,85.197,85.399,85.726,85.986,86.368,86.673,86.996,87.303,87.997,88.442,88.977,89.444,90.051,90.662,90.95,91.23,91.551,91.96,92.356,92.887,93.538,93.81,94.332,94.814,95.639,96.448,97.146,97.872,98.774,99.436,100.461,101.306,102.06,102.952,103.729,104.186,105.382,106.098,106.453,106.963,107.6,108.312,109.176,109.295,109.534,109.327,109.46,109.791,110.21,110.69,111.217,111.775,112.362,113.106,113.94,113.985,114.6,115.035,NA
