"","Table 5#3#3# Real Private Fixed Investment by Type, Quantity Ind","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"29","21","      Multifamily","B292RA3",120.82,129.046,127.951,126.612,123.719,115.294,123.358,131.359,139.484,150.538,165.048,173.284,188.589,198.555,196.147,203.454,209.38,207.784,205.096,186.576,164.315,141.562,121.074,93.845,75.709,55.774,49.754,51.057,51.05,51.408,56.771,65.772,70.735,77.109,77.044,73.425,73.608,83.15,89.755,89.538,91.955,101.139,106.504,110.862,107.033,90.546,82.487,87.417,97.057,94.081,85.229,77.055,74.655,69.771,70.75,72.907,83.595,93.492,104.053,113.318,115.921,117.165,124.809,124.186,121.159,117.918,116.553,113.992,118.957,126.16,120.468,117.967,103.547,95.598,90.634,91.713,84.765,79.332,79.951,81.487,82.269,83.618,83.023,75.803,73.688,72,70.445,67.155,62.973,55.163,50.071,50.107,47.568,53.522,44.011,40.426,36.647,35.854,38.952,38.12,40.344,46.041,51.931,54.938,57.725,57.277,61.577,62.962,65.807,71.227,63.029,64.785,69.728,72.369,69.41,73.827,71.757,68.519,70.427,71.438,73.719,75.092,78.585,77.119,74.79,76.078,72.65,75.876,77.217,77.607,77.897,79.64,81.458,83.108,82.657,81.626,83.213,83.123,85.804,85.381,86.132,89.538,93.639,94.414,96.817,100.026,101.644,101.513,101.349,100.511,98.842,101.918,98.91,90.84,85.245,81.486,80.258,81.052,79.187,72.983,65.658,54.807,44.136,34.877,29.047,25.185,23.115,22.839,24.356,25.494,26.253,26.632,30.034,35.164,37.929,41.868
"30","22","    Other structures \6\","B863RA3",26.353,26.079,27.563,23.69,26.777,25.056,24.601,28.402,27.56,29.936,30.387,31.235,32.301,31.958,32.196,34.183,34.814,29.681,29.878,33.346,32.569,31.068,32.589,28.074,29.249,33.663,35.894,35.978,39.675,38.388,33.083,41.558,39.857,43.255,42.75,41.08,43.278,47.074,46.071,46.588,46.855,46.7,45.969,45.272,45.98,39.025,42.529,44.863,40.66,40.094,39.234,37.083,35.568,34.117,32.608,33.206,36.287,38.792,40.782,41.381,42.662,43.79,43.226,44.017,43.934,45.336,47.092,48.559,50.334,53.765,53.102,53.027,54.006,54.697,53.959,53.803,54.737,56.009,56.401,55.835,54.521,52.956,53.6,52.633,51.823,50.335,48.588,47.248,46.707,48.429,47.816,48.267,51.512,51.844,52.931,55.61,55.559,57.089,59.453,62.198,62.128,63.321,62.778,62.674,62.015,62.148,64.983,65.303,66.357,68.061,68.486,68.081,68.93,69.797,71.425,71.44,72.131,73.938,74.609,75.624,75.502,77.643,78.222,77.81,77.916,77.988,78.241,78.214,77.541,78.225,78.75,79.245,82.672,83.88,83.908,85.706,85.1,88.199,92.371,90.548,91.718,95.945,95.869,97.704,97.915,101.306,101.841,98.938,96.535,96.007,93.511,92.794,91.574,90.339,85.295,81.913,78.72,77.751,77.9,73.375,71.831,72.043,74.125,72.634,68.894,73.781,67.348,69.419,68.36,69.689,69.25,71.649,74.299,74.191,74.933,75.906
"31","23","  Equipment","B013RA3",17.629,18.606,18.851,19.404,19.602,19.829,20.393,21.278,21.642,22.432,22.786,24.123,25.817,26.44,27.842,28.894,30.319,30.572,30.63,31.13,32.157,32.632,31.531,28.621,28.37,28.729,29.34,29.85,29.936,30.318,30.865,31.241,29.451,32.67,35.057,36.729,35.428,36.597,36.4,37.251,37.66,39.456,41.262,41.225,40.817,39.112,39.608,40.21,40.587,39.541,39.889,39.525,38.143,38.402,38.291,38.517,40.661,41.979,43.838,44.692,45.999,47.379,47.894,48.456,49.205,50.553,51.541,53.383,54.682,54.749,55.759,56.274,56.311,56.542,58.38,59.285,58.551,59.597,59.729,60.446,60.438,60.457,59.011,59.684,59.912,58.58,57.511,56.384,55.813,57.097,55.55,54.84,56.979,57.198,57.366,58.66,58.375,58.692,59.389,58.344,57.841,58.932,58.936,60.628,60.226,59.297,60.014,59.853,58.89,60.315,59.187,59.852,58.488,58.859,59.277,59.61,60.806,63.005,64.15,65.655,67.462,69.787,71.816,72.355,74.515,75.059,75.366,76.316,76.321,76.603,77.182,78.998,79.973,80.751,80.019,80.723,80.737,83.747,87.537,89.729,92.096,94.144,96.01,98.668,98.505,99.459,99.712,102.324,104.463,102.63,102.385,101.557,102.457,101.302,102.099,102.235,100.828,102.005,97.692,92.284,89.839,87.954,90.188,92.145,94.045,96.948,96.073,97.953,99.164,100.148,101.39,103.14,102.727,102.083,103.909,104.956
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","24","  Private fixed investment in structures","A349RA3",46.92,46.781,47.593,45.569,45.439,43.648,44.878,46.978,48.253,50.837,52.176,53.255,55.891,56.658,56.749,58.317,60.247,59.127,58.209,56.367,53.873,52.485,50.495,46.756,44.084,43.671,45.323,46.364,49.496,50.206,49.965,53.569,54.477,58.951,59.144,58.808,58.977,63.009,65.258,66.266,65.202,64.891,65.789,65.374,63.219,56.597,57.185,60.687,60.117,60.395,59.158,59.226,56.788,54.938,52.92,53.629,55.974,57.534,61.061,63.237,65.893,68.136,68.865,69.254,70.627,70.856,70.517,71.773,72.396,71.182,70.652,70.764,69.947,70.482,71.582,72.364,70.272,71.215,70.811,71.077,71.309,69.745,70.434,69.403,70.497,68.875,66.671,63.284,60.667,60.538,59.94,60.113,61.462,62.822,63.137,64.707,64.192,64.598,66.062,68.605,68.404,71.307,70.789,70.465,70.202,69.417,70.893,71.609,73.282,75.79,76.053,77.128,77.588,77.873,79.305,80.009,80.458,83.679,85.141,86.268,86.403,86.502,86.886,87.945,89.02,90.133,90.597,90.793,89.96,90.837,91.336,87.214,86.731,86.266,85.204,85.614,85.876,88.026,90.929,92.447,92.822,95.562,96.521,97.063,98.847,100.305,100.341,100.507,101.136,99.768,96.888,93.778,92.229,92.975,91.781,88.542,85.103,84.587,82.091,77.443,70.156,64.642,62.927,59.745,56.864,59.257,56.735,57.502,54.902,57.44,59.04,60.71,63.067,63.702,64.618,66.339
"34","25","  Private fixed investment in equipment and software","A327RA3",11.38,11.529,11.711,11.654,11.603,11.574,11.646,11.057,11.234,11.52,11.62,12.042,12.506,12.794,13.102,14.058,14.826,15.503,15.71,15.986,16.016,16.001,16.096,15.492,14.471,14.195,14.355,14.556,14.748,15.046,15.466,15.905,16.835,17.273,17.698,18.52,18.794,20.249,20.667,21.253,22.015,21.769,22.273,21.985,22.164,20.68,20.871,21.207,21.77,21.96,22.475,22.274,21.872,21.05,20.671,20.302,20.252,21.286,22.52,24.431,24.91,26.134,27.006,27.863,27.71,28.351,28.02,28.583,28.388,28.79,28.686,29.039,28.199,29.033,29.836,29.462,30.358,31.155,31.598,32.126,32.673,33.521,34.359,33.729,34.035,33.243,33.605,33.382,32.461,32.43,32.933,32.964,32.944,34.763,35.613,36.925,37.602,38.982,39.506,41.466,42.613,42.953,44.048,46.512,48.635,48.749,49.069,50.534,51.888,53.497,55.633,56.676,58.427,60.559,63.897,64.436,67.694,69.772,71.186,74.398,76.816,80.008,83.075,83.112,86.69,89.75,89.968,90.321,90.043,86.751,84.596,83.998,82.937,82.721,83.461,81.942,81.931,84.14,86.825,88.614,87.879,90.7,93.685,96.408,96.967,99.02,101.68,102.334,106.699,107.268,107.801,108.403,109.656,110.687,111.382,112.587,112.108,109.866,106.065,97.28,89.688,87.705,88.489,89.798,92.923,95.593,98.287,100.461,103.124,105.073,109.562,111.891,113.362,114.674,113.957,117.038
"35","26","  Private fixed investment in new structures \7\","W040RA3",50.844,50.7,51.653,49.409,49.381,47.339,48.547,50.843,52.128,54.924,56.402,57.489,60.331,61.159,61.084,62.69,64.663,63.586,62.713,60.692,57.729,56.173,54.049,50.052,46.927,46.095,47.787,48.743,52.11,52.883,52.468,56.303,57.079,61.874,62.038,61.64,61.708,65.996,68.611,69.562,68.508,68.11,69.184,69.09,67.067,60.413,60.314,64.223,64.132,64.459,63.33,63.747,61.144,59.182,56.876,57.314,59.544,61.124,64.885,67.22,69.974,72.492,73.491,73.943,75.15,75.39,74.712,76.158,76.908,75.285,74.835,74.709,73.805,74.445,75.998,76.97,74.299,74.874,74.362,74.72,75.344,73.916,74.33,73.313,74.578,72.981,70.526,67.113,63.971,63.321,62.943,63.22,64.156,65.848,66.406,67.825,67.619,67.972,69.251,71.713,71.606,74.619,74.299,74.085,73.847,72.958,73.954,74.884,76.658,79.13,79.38,80.706,81.032,81.197,82.382,82.736,83.516,86.645,88.217,89.356,89.663,89.206,89.555,91.018,92.112,93.204,93.607,93.72,92.975,93.824,92.82,89.969,88.742,88.144,87.287,87.317,87.697,89.408,91.701,93.93,93.985,95.725,96.786,97.139,99.268,99.951,99.833,100.948,102.161,100.678,98.12,94.759,93.25,94.404,94.05,91.169,87.718,87.021,84.245,79.956,72.283,66.131,63.715,60.064,57.672,59.642,58.072,58.502,55.648,58.208,59.793,61.637,63.982,64.197,64.988,66.848
"36","27","    Nonresidential structures","A771RA3",72.154,72.742,76.196,75.706,75.161,74.443,74.78,73.965,73.82,73.662,73.419,73.247,75.158,75.578,75.746,76.937,79.384,81.827,83.645,82.849,82.366,81.999,78.437,77.448,73.476,70.73,71.139,71.199,73.138,72.951,73.685,73.895,73.584,76.258,77.373,77.947,77.78,85.364,91.017,94.876,94.401,95.788,100.27,103.342,104.937,102.665,103.228,106.296,106.252,110.28,113.052,121.37,117.478,113.623,107.351,104.919,100.71,95.963,98.204,100.947,106.655,111.976,115.483,116.647,121.527,121.443,119.106,120.43,117.466,106.425,102.643,103.264,100.854,102.04,106.277,108.302,104.207,106.319,104.875,104.412,106.25,105.116,108.834,108.213,110.64,110.123,109.724,104.827,102.573,99.803,93.376,91.515,90.35,90.338,91.096,92.178,89.832,89.673,90.075,91.724,87.988,92.943,92.834,93.765,96.104,98.009,98.712,97.86,99.56,101.695,102.901,108.062,108.981,108.037,112.098,111.51,111.724,117.766,117.83,117.611,117.117,115.726,115.649,117.034,119.251,124.172,128.833,129.396,125.87,126.325,122.329,115.029,108.777,102.978,98.526,97.174,96.173,98.991,98.727,98.197,97.568,98.635,99.546,99.56,101.241,100.806,98.668,99.285,103.73,109.168,111.936,112.427,115.383,122.736,129.585,131.871,132.122,135.111,133.806,130.261,118.898,108.2,100.144,92.053,86.289,88.993,88.528,90.491,83.357,89.827,94.104,96.669,99.605,99.742,99.746,101.149
"37","28","    Residential structures","A756RA3",39.765,39.27,38.991,35.912,36.125,33.441,35.059,38.918,40.915,45.195,47.542,49.27,52.589,53.628,53.428,55.241,56.963,54.093,51.851,49.207,44.979,42.8,41.416,35.792,33.094,33.281,35.677,37.119,41.272,42.558,41.53,47.291,48.641,54.575,54.236,53.326,53.505,56.104,57.169,56.64,55.295,53.98,53.304,51.581,47.707,38.866,38.447,42.783,42.705,41.133,37.936,34.113,32.118,31.122,30.908,32.908,38.604,43.505,48.07,50.195,51.432,52.516,52.235,52.324,51.672,52.079,52.247,53.757,56.379,59.484,60.693,60.188,60.018,60.377,60.603,61.051,59.099,58.916,58.868,59.629,59.651,58.087,56.866,55.656,56.338,54.211,50.739,48.076,44.491,44.907,47.562,48.9,50.873,53.4,53.853,55.429,56.275,56.879,58.583,61.43,63.107,65.146,64.723,63.944,62.438,60.177,61.31,63.119,64.92,67.546,67.32,66.737,66.764,67.481,67.222,68.046,69.111,70.754,73.094,74.923,75.637,75.65,76.212,77.709,78.233,77.402,75.663,75.544,76.197,77.24,77.752,77.157,78.489,80.561,81.557,82.295,83.372,84.517,88.107,91.737,92.144,94.22,95.352,95.866,98.208,99.478,100.448,101.866,101.353,96.065,90.526,84.968,80.869,78.402,73.779,67.766,61.995,59.01,55.252,50.36,44.813,41.382,42.451,41.476,41.108,42.664,40.382,39.872,39.627,39.789,39.709,41.151,43.198,43.473,44.808,47.037
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2. Annual chain-type quantity indexes for computers and peripheral equipment:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1959, .0000051; 1960, .000062; 1961, .000115; 1962, .00022; 1963, .00070.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Quarterly chain-type quantity indexes for computers and peripheral equipment:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1959:1, .0000008; 1959:2, .0000004; 1959:3, .0000040; 1959:4, .0000152;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1960:1, .000043;  1960:2, .000049;  1960:3, .000067;  1960:4, .000090;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1961:1, .000090;  1961:2, .000095;  1961:3, .000136;  1961:4, .000137;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","1962:1, .00016;   1962:2, .00015;   1962:3, .00022;   1962:4, .00033;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1963:1, .00049;   1963:2, .00065;   1963:3, .00078;   1963:4, .00085.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3. Excludes software ""embedded,'' or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
