"","Table 3#10#4# Price Indexes for Government Consumption Expenditu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"29","21","      Less: Own-account investment \4\","W117RG3",21.563,21.78,22.157,22.603,23.21,23.77,24.343,24.921,25.57,26.071,26.42,26.63,26.641,26.809,27.066,27.421,27.889,28.292,28.662,28.991,29.255,29.649,30.157,30.793,31.523,32.108,32.626,33.02,33.254,33.572,33.979,34.47,35.054,35.594,36.092,36.628,37.092,37.539,37.984,38.444,38.82,39.275,39.859,40.588,41.328,42.134,42.996,44.041,45.027,45.974,46.914,47.869,48.779,49.531,50.12,50.613,50.86,51.233,51.686,52.27,52.931,53.501,54.038,54.438,54.794,55.169,55.502,55.89,56.222,56.47,56.603,56.605,56.46,56.477,56.778,57.217,57.838,58.548,59.183,59.712,60.29,60.827,61.339,61.604,61.801,62.352,63.013,63.87,64.866,65.595,66.147,66.409,66.623,66.945,67.538,68.219,69.156,69.947,70.725,71.234,71.731,72.315,72.755,73.334,74.103,74.52,74.947,75.495,75.809,75.853,76.178,76.658,77.257,77.658,77.976,78.202,78.308,78.47,78.755,79.039,79.497,79.987,80.511,80.949,81.597,81.958,82.532,82.872,83.124,83.526,84.067,84.673,85.658,86.138,86.585,87.013,87.831,88.304,88.766,89.104,90.004,90.514,90.993,91.406,92.242,92.672,93.148,93.471,94.045,94.428,94.786,95.086,95.8,96.286,96.757,97.246,98.071,98.589,99.041,99.273,99.719,99.873,100.143,100.265,101.081,102.094,102.92,103.767,104.633,105.246,105.667,105.838,105.992,106.12,106.225,106.312,106.851,107.181,107.435,109.127,108.223
"30","22","      Less: Sales to other sectors","W118RG3",18.191,18.015,17.019,17.244,16.892,16.849,17.054,17.464,18.059,18.74,19.632,19.881,18.868,19.094,19.472,19.813,20.629,21.493,22.132,22.598,22.784,23.903,24.28,24.714,24.957,25.103,25.446,26.164,27.292,28.094,28.329,29.202,30.053,30.194,31.559,32.618,33.673,34.246,34.859,35.905,36.69,37.545,39.675,40.092,43.557,44.027,45.574,47.185,47.933,48.498,48.231,48.468,48.408,48.004,48.441,48.831,48.827,49.005,48.893,49.187,49.421,48.979,49.306,49.178,49.218,48.447,48.791,48.989,47.509,43.806,43.789,45.913,47.189,47.727,48.859,48.95,49.497,50.026,49.884,49.95,51.399,53.167,53.396,53.988,54.522,53.786,55.061,58.261,55.065,55.547,56.858,58.176,58.561,59.163,59.343,60.41,63.176,63.995,62.888,63.63,63.828,64.126,64.539,64.773,65.244,65.423,65.702,65.892,66.906,68.062,68.629,70.866,71.872,70.789,70.513,70.012,69.704,69.393,66.179,69.456,70.885,71.921,72.959,73.648,75.053,75.562,76.557,76.635,77.357,77.498,77.779,77.7,79.005,79.454,80.015,80.31,81.746,82.223,82.703,83.27,84.823,85.563,86.439,87.087,89.056,89.76,91.841,91.027,92.657,93.104,93.727,94.059,95.586,96.102,96.699,97.978,99.292,100.66,100.128,98.325,99.313,99.67,100.198,100.818,101.429,101.602,102.175,103.348,105.248,106.335,108.174,108.162,108.488,108.542,108.985,109.195,109.961,109.874,110.275,110.805,111.252
"31","23","    Defense consumption expenditures \1\","A997RG3",15.884,16.099,16.592,16.777,17.255,17.425,17.741,17.955,18.611,18.954,19.262,19.779,20.636,20.843,20.899,21.396,21.822,22.222,22.677,23.152,23.453,23.859,24.578,25.479,25.84,26.12,26.485,27.139,27.465,27.748,28.103,28.921,29.265,29.526,29.687,30.761,31.151,31.491,31.956,32.848,33.31,33.722,34.396,36.022,36.781,37.523,38.168,40.482,40.892,41.516,42.119,44.101,44.468,44.857,45.323,46.341,46.504,46.523,46.922,47.251,48.352,48.783,49.085,49.22,49.856,49.774,49.925,50.775,50.613,50.493,50.666,50.977,51.106,51.433,51.808,52.029,52.809,53.324,53.601,53.656,54.473,54.695,54.942,55.15,56.038,56.536,57.023,58.014,58.529,58.471,59.095,59.63,60.304,60.797,61.288,61.067,61.04,61.389,61.834,62.158,62.428,62.995,63.176,63.741,64.644,64.726,64.927,65.385,66.078,66.02,66.161,66.47,67.221,67.271,67.35,67.684,68.104,68.153,68.362,68.641,69.583,69.996,70.349,70.698,72.321,72.344,73.168,73.527,74.299,74.327,74.794,75.247,77.158,77.376,77.717,79.845,82.24,82.459,82.87,83.118,85.08,85.691,86.243,86.712,89.609,90.122,91.026,91.356,93.767,94.254,94.319,94.57,96.627,97.309,97.622,98.507,100.257,101.423,101.976,100.565,100.411,99.538,99.746,100.306,101.986,102.617,102.869,103.348,104.726,105.976,106.254,105.815,106.464,106.754,106.857,107.221,108.061,108.243,108.568,109.563,109.593
"32","24","      Gross output of general government","W085RG3",16.058,16.273,16.766,16.956,17.436,17.615,17.937,18.16,18.819,19.167,19.475,19.984,20.799,21.005,21.063,21.555,21.982,22.381,22.84,23.306,23.607,24.036,24.753,25.659,26.03,26.312,26.679,27.328,27.657,27.942,28.297,29.108,29.455,29.724,29.896,30.957,31.353,31.698,32.164,33.046,33.506,33.921,34.592,36.197,36.958,37.703,38.355,40.632,41.064,41.698,42.309,44.262,44.65,45.05,45.521,46.522,46.692,46.721,47.12,47.456,48.548,48.983,49.294,49.437,50.066,49.997,50.155,50.992,50.847,50.74,50.911,51.211,51.335,51.651,52.022,52.249,53.022,53.538,53.822,53.889,54.7,54.939,55.196,55.41,56.278,56.777,57.258,58.234,58.783,58.751,59.375,59.91,60.579,61.071,61.563,61.37,61.385,61.745,62.188,62.511,62.789,63.347,63.539,64.098,64.992,65.086,65.297,65.745,66.435,66.386,66.533,66.846,67.592,67.654,67.741,68.07,68.481,68.533,68.745,69.021,69.948,70.36,70.717,71.063,72.653,72.689,73.505,73.864,74.628,74.67,75.141,75.597,77.468,77.694,78.038,80.093,82.431,82.659,83.07,83.32,85.244,85.852,86.4,86.866,89.695,90.205,91.093,91.422,93.769,94.253,94.331,94.583,96.592,97.267,97.586,98.456,100.17,101.316,101.865,100.515,100.389,99.549,99.759,100.303,101.956,102.597,102.862,103.353,104.719,105.947,106.231,105.814,106.452,106.738,106.844,107.199,108.031,108.218,108.539,109.527,109.548
"33","25","        Value added","W086RG3",14.99,15.052,15.676,15.787,16.555,16.846,17.084,17.362,18.131,18.471,18.707,19.234,20.343,20.534,20.568,21.142,21.476,21.78,22.068,22.618,22.774,23.046,23.433,24.223,24.56,24.86,25.113,25.851,26.058,26.287,26.58,27.315,27.575,27.792,27.906,28.929,29.278,29.577,29.901,30.77,31.068,31.391,31.725,33.096,33.491,33.85,34.35,36.892,37.153,37.524,37.983,40.291,40.573,40.97,41.418,42.486,42.635,42.637,43.054,43.395,44.667,44.968,45.236,45.572,46.449,46.263,46.369,47.25,47.251,47.475,47.633,47.883,47.949,48.129,48.331,48.598,49.674,50.212,50.552,50.516,51.562,51.767,52.008,52.045,52.89,53.36,53.505,53.986,55.014,55.303,55.905,56.357,57.505,58.1,58.248,57.998,58.079,58.337,58.76,59.127,59.538,60.057,60.147,60.744,61.883,61.753,61.922,62.395,63.187,62.98,63.034,63.249,64.238,64.409,64.491,64.757,65.464,65.493,65.678,65.943,67.312,67.696,67.871,68.017,69.851,69.767,70.551,70.686,71.651,71.675,72.206,72.966,75.675,75.548,75.675,78.437,81.237,81.769,82.093,82.111,84.651,85.123,85.361,85.354,89.361,89.788,90.382,90.494,93.775,93.892,93.446,93.874,96.731,97.476,97.503,97.76,99.505,100.208,100.118,99.583,100.834,99.79,99.597,99.778,102.239,102.707,102.922,103.25,104.111,104.687,105.079,104.812,105.312,105.633,105.809,106.037,106.992,107.372,107.647,109.103,108.969
"34","26","          Compensation of general government employees","B237RG3",10.965,10.973,11.614,11.678,12.451,12.691,12.867,13.081,13.846,14.148,14.354,14.906,16.029,16.201,16.155,16.756,16.998,17.198,17.381,17.894,17.866,17.967,18.136,18.842,19.069,19.262,19.414,20.099,20.185,20.277,20.378,21.033,21.178,21.244,21.282,22.273,22.408,22.53,22.705,23.609,23.789,23.943,24.046,25.425,25.631,25.716,25.943,28.637,28.616,28.661,28.905,31.376,31.381,31.519,31.83,32.955,32.96,32.859,33.124,33.395,34.648,34.874,35.125,35.494,36.546,36.342,36.439,37.567,37.596,37.848,38.068,38.312,38.425,38.691,38.878,39.077,40.319,40.866,41.166,40.914,42.175,42.254,42.382,42.262,43.247,43.734,43.727,44.251,45.382,45.496,46.069,46.681,48.374,49.052,49.092,48.297,48.22,48.369,48.756,48.895,49.382,49.829,49.547,49.926,51.123,50.815,50.846,51.552,52.561,52.157,52.184,52.535,53.936,53.944,53.964,54.401,55.573,55.373,55.507,55.619,57.674,57.955,58.073,57.791,60.282,59.896,60.905,60.996,62.582,62.61,63.525,64.739,68.932,68.692,68.789,73.037,77.266,77.843,78.048,77.916,81.624,82.046,82.166,81.784,87.705,88.028,88.649,88.378,93.263,93.173,92.222,92.603,96.759,97.625,97.268,97.468,99.763,100.427,99.846,98.953,101.269,99.735,99.513,99.484,103.272,103.652,103.937,104.026,104.86,105.263,105.674,105.405,105.863,106.136,106.328,106.653,107.933,108.351,108.737,110.793,110.319
"35","27","          Consumption of general government fixed capital \2\","B432RG3",24.038,24.298,24.513,24.773,25.139,25.5,25.876,26.276,26.722,27.057,27.305,27.53,28.152,28.345,28.652,28.91,29.451,30.014,30.564,31.05,31.793,32.567,33.578,34.379,34.98,35.548,36.063,36.725,37.279,37.906,38.759,39.516,40.079,40.741,41.077,41.858,42.823,43.626,44.354,44.802,45.405,46.196,47.2,48.094,48.996,50.158,51.408,52.615,53.738,55.084,56.118,57.121,58.239,59.381,60.143,60.693,61.27,61.604,62.389,62.854,63.841,64.289,64.54,64.695,64.855,64.763,64.875,64.891,64.825,64.938,64.91,65.139,65.075,65.018,65.231,65.632,66.198,66.664,67.063,67.518,67.997,68.459,68.929,69.306,69.784,70.183,70.639,70.999,71.738,72.383,73.008,73.109,73.117,73.52,73.872,74.686,75.068,75.526,76.005,76.791,77.056,77.697,78.469,79.451,80.466,80.655,81.067,81.125,81.538,81.672,81.773,81.75,82.03,82.483,82.671,82.647,82.569,82.985,83.258,83.781,84.007,84.565,84.836,85.704,86.444,86.872,87.278,87.489,87.404,87.423,87.296,87.275,87.403,87.473,87.647,87.768,88.01,88.455,88.989,89.275,89.719,90.282,90.734,91.393,92.039,92.649,93.199,93.961,94.569,95.025,95.399,95.904,96.691,97.246,97.869,98.212,99.111,99.871,100.54,100.559,100.149,99.871,99.728,100.252,100.598,101.21,101.319,102.026,102.927,103.772,104.134,103.87,104.435,104.828,104.98,105.061,105.528,105.854,105.965,106.554,106.912
"36","28","        Intermediate goods and services purchased \3\","W087RG3",17.51,18.138,18.196,18.589,18.156,17.953,18.508,18.512,18.726,19.049,19.571,19.945,19.688,19.91,20.038,20.162,20.871,21.544,22.56,22.647,23.454,24.398,26.243,27.482,27.949,28.128,28.892,29.072,29.854,30.321,30.872,31.868,32.528,32.965,33.335,34.389,34.919,35.396,36.353,37.157,38.194,38.9,40.757,43.031,45.02,47.027,48.133,49.239,50.224,51.676,52.742,53.375,54.074,54.456,54.969,55.724,55.943,56.048,56.372,56.672,57.187,57.986,58.41,57.983,57.857,58.145,58.442,59.124,58.565,57.566,57.763,58.178,58.46,59.132,59.94,60.053,59.993,60.43,60.556,60.895,61.04,61.363,61.659,62.341,63.243,63.793,65.179,67.468,66.675,65.784,66.44,67.196,66.513,66.715,68.137,68.107,67.932,68.566,69.044,69.234,69.123,69.769,70.231,70.666,70.816,71.549,71.867,72.233,72.597,73.001,73.392,73.954,74.017,73.787,73.889,74.377,73.98,74.106,74.391,74.701,74.509,74.989,75.768,76.544,77.554,77.863,78.729,79.591,79.876,79.95,80.286,80.115,80.3,81.22,81.983,82.757,84.259,83.969,84.522,85.147,86.099,86.921,87.949,89.157,90.124,90.781,92.132,92.81,93.683,94.733,95.636,95.621,96.317,96.889,97.652,99.437,101.097,102.896,104.364,101.872,99.754,99.215,99.99,101.042,101.555,102.447,102.781,103.494,105.597,107.798,107.919,107.273,108.126,108.358,108.354,108.913,109.527,109.361,109.766,109.876,110.202
"37","29","          Durable goods","A998RG3",30.086,30.515,30.77,31.242,31.484,31.958,32.314,32.839,33.482,33.903,33.94,33.722,33.009,32.867,32.767,32.838,33.689,34.539,35.001,35.053,35.76,36.428,38.049,39.347,40.409,40.533,41.587,42.687,42.961,45.101,45.172,46.43,47.282,47.474,47.168,49.972,50.007,50.869,51.846,53.401,54.57,55.51,57.198,58.42,59.395,60.488,61.335,62.61,64.212,65.57,67.769,68.781,71.373,72.645,73.87,75.697,77.478,78.456,79.592,80.657,82.479,84.636,85.164,84.384,84.182,84.385,84.634,85.334,85.239,85.904,86.53,87.36,86.288,86.338,86.28,85.502,83.521,83.187,82.726,82.712,82.478,82.568,82.674,83.275,83.909,84.401,84.786,85.32,86.631,86.594,87.122,87.54,87.998,88.304,88.859,89.144,89.867,90.298,90.922,91.566,91.915,91.785,91.612,91.849,91.788,91.952,91.939,92.391,92.703,92.371,91.702,91.975,92.135,92.194,92.087,91.695,91.697,91.714,91.41,91.628,91.63,91.441,91.303,91.64,92.162,91.983,92.007,92.006,91.971,92.214,92.034,91.982,92.155,92.093,92.056,92.302,92.801,93.004,92.955,93.076,93.488,93.978,94.333,94.773,95.483,95.794,95.875,95.865,96.61,97.804,98.616,99.097,98.799,98.278,98.012,98.09,98.508,98.965,99.674,100.202,100.148,99.975,99.873,100.004,100.129,100.27,100.202,100.042,100.394,100.764,100.876,101.065,101.553,101.665,101.773,101.765,102.167,102.726,102.766,102.898,102.971
"38","30","          Nondurable goods","A725RG3",11.789,11.825,11.88,11.905,11.94,11.968,11.999,11.986,12.054,12.13,12.176,12.228,12.33,12.594,12.672,12.904,13.79,14.33,16.335,17.195,18.779,19.675,22.768,25.845,25.293,24.613,26.518,26.266,27.352,27.452,27.922,28.254,29.19,29.828,30.205,31.022,31.308,31.618,32.046,32.73,34.341,36.415,41.045,47.465,52.707,59.999,59.952,60.065,62.154,66.612,66.674,65.335,64.383,63.63,63.136,63.163,61.02,59.398,59.548,59.601,58.534,58.518,58.496,57.742,56.907,57.025,56.869,57.467,53.964,45.172,42.669,42.521,44.276,46.877,48.583,49.604,48.902,50.407,52.002,50.547,52.539,53.67,52.921,54.523,56.834,55.816,59.935,71.269,62.365,55.172,56.47,57.402,53.445,54.598,56.836,55.932,53.975,55.231,53.531,53.561,51.113,52.707,53.807,54.768,53.057,54.148,54.139,55.525,57.441,58.277,59.026,62.702,61.405,57.855,56.708,57.79,53.71,52.248,51.285,51.295,49.471,52.562,55.795,59.827,63.717,63.404,67.026,71.168,66.074,64.732,63.968,59.195,57.978,61.58,63.43,65.86,72.43,65.534,65.054,65.495,68.241,72.524,76.51,83.648,85.558,88.169,94.491,97.491,99.111,101.624,101.611,96.715,99.72,101.41,103.071,117.036,128.978,139.456,143.044,110.425,95.054,95.059,101.32,108.567,110.374,113.376,113.319,117.978,129.614,142.18,140.666,135.802,139.81,137.077,136.442,140.332,141.641,135.032,137.653,137.769,137.849
"39","31","          Services","A489RG3",16.493,17.77,17.743,18.398,17.368,16.751,17.735,17.584,17.787,18.241,19.173,19.881,19.531,19.833,20.068,20.102,20.568,21.234,21.805,21.448,21.842,22.869,24.066,24.333,25.145,25.797,25.969,26.033,26.858,26.961,27.671,28.831,29.332,29.811,30.435,30.962,31.805,32.192,33.393,33.947,34.76,34.94,35.953,37.256,38.63,39.227,40.941,42.417,42.798,43.299,44.253,45.448,45.877,46.242,46.778,47.317,47.506,47.733,47.736,47.764,48.101,48.494,49.03,48.841,48.962,49.342,49.767,50.459,50.313,50.708,51.451,51.826,52.368,52.864,53.916,54.225,55.332,55.884,55.928,56.912,56.777,57.035,57.718,58.272,59.048,59.947,61.254,62.408,62.503,62.483,63.064,63.947,63.463,63.457,65.073,65.093,64.912,65.527,66.39,66.474,66.598,67.323,67.868,68.275,68.773,69.613,70.065,70.278,70.438,70.974,71.601,71.802,72.033,72.208,72.531,73.148,73.208,73.616,74.253,74.647,74.664,74.922,75.539,75.89,76.525,77.084,77.731,78.332,79.511,79.778,80.42,80.93,81.322,82.027,82.8,83.45,84.373,84.991,85.813,86.579,87.39,87.761,88.473,88.981,89.87,90.322,91.195,91.681,92.484,93.317,94.368,94.94,95.504,96.147,97.014,97.569,98.179,99.142,100.534,101.14,100.239,99.56,99.846,100.355,100.815,101.628,102.099,102.573,103.918,105.245,105.563,105.27,105.794,106.441,106.487,106.775,107.35,107.829,108.067,108.171,108.591
"40","32","      Less: Own-account investment \4\","W088RG3",23.106,23.339,23.721,24.187,24.773,25.374,25.987,26.62,27.311,27.831,28.192,28.394,28.46,28.61,28.857,29.236,29.697,30.115,30.5,30.85,31.145,31.586,32.138,32.824,33.597,34.219,34.706,35.126,35.38,35.716,36.148,36.692,37.29,37.86,38.407,38.956,39.457,39.936,40.402,40.864,41.276,41.766,42.376,43.149,43.964,44.822,45.738,46.815,47.869,48.897,49.869,50.925,51.906,52.681,53.29,53.81,54.072,54.445,54.913,55.503,56.251,56.83,57.362,57.77,58.166,58.513,58.846,59.242,59.605,59.861,59.998,59.988,59.864,59.907,60.155,60.546,61.134,61.768,62.354,62.84,63.461,63.959,64.433,64.743,64.983,65.458,66.09,66.852,67.853,68.504,69.035,69.231,69.408,69.745,70.342,70.889,71.7,72.52,73.292,73.755,74.175,74.767,75.25,75.809,76.575,77.035,77.502,77.67,77.97,78.096,78.369,78.859,79.404,79.809,80.132,80.276,80.3,80.368,80.633,80.802,81.137,81.566,82.04,82.287,82.861,83.249,83.794,84.115,84.382,84.796,85.299,85.772,86.601,86.988,87.379,87.73,88.466,88.877,89.298,89.609,90.374,90.876,91.336,91.725,92.505,92.903,93.371,93.714,94.286,94.68,95.025,95.256,95.802,96.271,96.76,97.263,98.095,98.676,99.139,99.328,99.781,99.853,100.136,100.23,100.964,101.991,102.673,103.576,104.636,105.349,105.831,105.999,106.197,106.379,106.52,106.634,107.233,107.542,107.735,108.661,108.357
"41","33","      Less: Sales to other sectors","W089RG3",16.237,16.32,16.586,16.958,16.882,17.073,17.366,17.412,18.434,18.546,18.727,18.789,14.644,14.97,15.042,15.127,15.478,15.629,16.302,16.402,16.705,18.128,18.824,20.112,20.41,20.377,20.651,21.063,21.953,22.088,22.025,22.593,22.448,22.71,23.043,23.79,24.705,25.09,25.624,26.292,26.53,27.09,27.452,28.487,29.188,29.834,30.353,31.41,32.453,32.928,33.331,34.12,35.1,35.503,36.106,36.478,37.056,37.522,37.376,37.778,38.667,39.126,39.861,40.057,40.843,40.753,41.17,42.164,42.31,42.471,42.66,42.546,43.234,43.105,43.263,43.732,44.406,44.236,44.049,44.168,44.762,46.763,47.871,48.346,49.052,49.785,49.157,49.229,51.779,53.016,53.994,55.886,57.933,58.645,58.666,59.123,61.605,61.551,60.788,60.548,61.225,61.18,61.476,61.599,62,62.174,62.582,62.745,64.392,64.92,65.253,65.46,66.208,66.54,66.71,67.121,67.822,68.191,68.558,68.955,70.091,70.156,70.446,70.807,71.718,72.005,72.659,73.373,75.276,75.495,76.569,77.306,78.5,78.957,79.416,79.533,81.418,81.881,82.088,82.476,84.204,84.886,85.504,85.758,88.067,88.631,89.073,89.282,90.946,91.38,91.994,92.378,94.817,95.52,95.813,96.166,97.128,98.289,98.641,98.758,100.067,99.862,99.954,100.117,102.09,102.357,102.815,103.057,103.893,104.213,104.499,104.696,105.643,105.885,106.193,106.447,107.176,107.395,107.848,108.053,108.459
"42","34","    Nondefense consumption expenditures \1\","A542RG3",17.119,17.249,17.841,18.097,18.968,19.36,19.68,19.905,20.624,21.123,21.391,21.607,21.904,22.099,22.292,22.78,23.263,23.495,23.71,24.316,24.275,24.926,25.333,26.368,26.924,27.442,27.909,28.659,29.012,29.187,29.415,30.237,30.499,30.787,30.895,31.777,32.094,32.363,32.72,33.677,34.035,34.355,34.727,36.117,36.421,36.903,37.667,39.625,40.317,40.506,41.001,42.103,42.62,42.982,43.539,44.507,44.586,44.508,44.977,44.804,45.571,46.103,46.606,46.955,47.936,48.046,47.962,48.473,48.475,48.905,49.106,49.318,48.627,48.912,49.251,49.525,50.493,51.137,51.254,50.845,52.013,52.306,52.621,52.827,52.984,53.848,53.809,54.952,56.817,57.069,57.223,57.134,57.543,57.971,58.378,59.486,60.125,60.497,61.351,61.85,62.46,63.206,63.083,63.838,64.916,64.844,64.962,67.555,67.77,66.527,66.772,67.269,68.22,68.517,68.763,69.415,69.57,69.802,70.162,70.2,71.099,71.693,72.322,73.248,74.334,73.875,75.341,75.974,75.861,76.256,76.754,77.516,79.754,80.126,79.972,79.544,82.829,83.07,83.396,83.229,86.124,86.647,87.074,87.175,89.487,89.947,90.784,91.085,92.852,93.314,93.41,93.637,95.884,96.508,96.594,96.82,98.698,99.099,99.516,99.053,99.744,99.634,100.018,100.605,102.147,103.146,103.84,104.434,105.191,106.197,106.731,106.74,106.716,106.777,106.734,106.795,107.257,107.511,107.848,110.665,108.824
"43","35","      Gross output of general government","W128RG3",17.313,17.435,17.933,18.202,18.999,19.384,19.717,19.974,20.672,21.174,21.471,21.69,21.958,22.154,22.368,22.842,23.345,23.635,23.867,24.457,24.439,25.057,25.447,26.389,26.937,27.454,27.923,28.648,29.018,29.232,29.474,30.273,30.585,30.876,31.085,31.953,32.307,32.601,32.977,33.913,34.304,34.662,35.152,36.4,36.955,37.443,38.256,40.139,40.841,41.088,41.566,42.607,43.101,43.441,43.99,44.909,44.982,44.936,45.385,45.277,46,46.485,46.979,47.307,48.207,48.294,48.246,48.728,48.675,48.899,49.085,49.383,48.806,49.091,49.477,49.752,50.679,51.337,51.482,51.164,52.314,52.688,53,53.217,53.375,54.148,54.245,55.54,56.995,57.299,57.541,57.533,57.893,58.307,58.716,59.814,60.548,60.98,61.767,62.294,62.879,63.607,63.536,64.267,65.307,65.271,65.409,67.82,68.062,66.972,67.233,67.807,68.727,68.978,69.214,69.821,69.972,70.194,70.269,70.577,71.456,72.055,72.692,73.601,74.685,74.297,75.709,76.301,76.213,76.598,77.088,77.828,79.992,80.38,80.273,79.905,83.035,83.293,83.632,83.504,86.281,86.808,87.249,87.383,89.612,90.079,90.95,91.208,92.913,93.372,93.491,93.727,95.884,96.499,96.614,96.879,98.707,99.129,99.513,99.034,99.72,99.644,100.031,100.605,102.089,103.071,103.775,104.398,105.181,106.177,106.775,106.778,106.754,106.811,106.779,106.84,107.306,107.556,107.893,110.681,108.875
"44","36","        Value added","W129RG3",15.149,15.271,15.799,16.057,16.945,17.243,17.618,17.932,18.677,19.183,19.501,19.721,20.103,20.291,20.485,20.997,21.45,21.732,22.104,22.726,22.589,22.958,23.258,24.227,24.721,25.149,25.417,26.106,26.36,26.416,26.582,27.39,27.804,28.09,28.3,29.223,29.557,29.79,30.099,31.057,31.351,31.58,31.858,33.003,33.351,33.674,34.305,36.044,36.528,36.924,37.61,38.421,38.962,39.364,39.865,40.387,40.292,40.463,40.786,41.058,42.104,42.406,42.84,43.142,44.123,44.146,44.03,44.288,44.349,44.751,45.181,45.5,44.809,45.027,45.266,45.708,46.823,47.77,48.403,48.579,49.608,49.769,49.919,50.041,50.256,51.134,51.155,52.713,54.439,54.741,55.033,54.926,55.383,55.782,56.145,57.195,57.976,58.404,59.32,59.89,60.537,61.348,61.149,61.985,63.167,63.021,63.113,66.104,66.485,64.971,65.146,65.732,66.751,67.017,67.238,67.868,68.269,68.482,68.51,68.888,69.962,70.615,71.27,72.256,73.368,72.763,74.367,74.929,74.632,74.95,75.501,76.496,79.309,79.545,79.23,78.572,82.541,83.025,83.256,83.031,86.458,86.795,87.072,86.933,89.687,90.045,90.877,90.776,92.811,93.094,92.953,93.11,95.88,96.41,96.396,96.473,98.635,98.551,98.565,98.17,99.829,99.68,99.993,100.499,102.222,103.296,104.232,104.702,105.021,105.791,106.469,106.531,105.985,105.895,105.838,105.837,106.207,106.565,106.94,110.981,108.201
"45","37","          Compensation of general government employees","W130RG3",11.271,11.332,11.831,12.025,12.898,13.139,13.461,13.711,14.442,14.912,15.191,15.357,15.713,15.864,16.016,16.505,16.909,17.115,17.405,17.838,17.57,17.769,17.879,18.747,19.113,19.416,19.596,20.276,20.383,20.432,20.514,21.302,21.654,21.856,21.961,22.886,23.147,23.275,23.46,24.383,24.513,24.543,24.609,25.692,25.769,25.839,26.277,28.025,28.274,28.381,28.915,29.526,29.884,30.077,30.559,31.012,30.75,30.842,31.071,31.237,32.336,32.559,32.94,33.226,34.329,34.255,34.002,34.281,34.302,34.75,35.238,35.575,34.636,34.83,35.004,35.355,36.53,37.522,38.153,38.168,39.297,39.303,39.328,39.331,39.465,40.444,40.274,42.14,44.128,44.325,44.564,44.39,45.019,45.43,45.801,47,47.915,48.33,49.494,50.034,50.883,51.844,51.394,52.281,53.466,53.002,52.909,57.151,57.67,55.538,55.76,56.585,57.808,57.962,58.157,59.103,59.778,59.974,59.959,60.34,61.805,62.544,63.381,64.466,65.816,64.666,66.766,67.44,67.011,67.434,68.28,69.745,73.938,74.311,73.757,72.736,78.521,79.079,79.223,78.721,83.723,83.994,84.189,83.645,87.601,87.876,88.917,88.506,91.443,91.667,91.243,91.23,95.257,95.791,95.469,95.288,98.286,97.82,97.537,96.87,99.625,99.541,100.135,100.699,102.993,104.128,105.095,105.491,105.781,106.83,107.829,107.931,107.067,106.916,106.872,106.944,107.238,107.761,108.286,114.622,110.065
