"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67"
"51","43","    Drugs and druggists' sundries wholesalers","PK42223",80.601,80.199,80.542,81.24,83.056,85.929,86.656,87.265,87.256,87.416,88.382,89.016,89.189,89.228,89.823,89.982,90.272,90.27,90.221,90.633,90.838,91.144,91.741,92.306,92.589,93.177,93.754,94.427,95.265,95.954,96.131,97.055,98.191,99.479,100.872,101.428,102.175,102.689,103.376,104.019,104.981,105.525,106.55,107.62,108.841,110.224,111.632,112.833,113.853,114.724,115.92,117.095,118.583,119.484,120.628,121.49,122.124,121.88,122.669,124.05,125.297,126.219,127.523,128.532
"52","44","    Apparel, piece goods, and notions wholesalers","PK42233",100.738,100.975,101.186,101.309,101.641,101.459,101.288,101.173,100.889,100.744,100.668,100.595,100.712,100.551,100.516,100.413,100.585,100.694,100.448,99.988,99.393,98.879,98.738,99.014,99.205,99.339,99.34,99.472,99.541,99.58,99.576,99.636,99.807,99.847,100.168,100.176,100.395,100.585,100.712,100.832,101.151,101.279,101.471,101.767,102.099,102.427,103.054,103.527,103.81,103.59,103.451,103.42,103.38,103.756,104.404,104.962,107.563,110.186,112.315,112.966,113.4,113.471,113.211,113.318
"53","45","    Grocery and related products wholesalers","PK42243",88.02,87.676,87.062,87.815,87.46,87.457,87.578,87.893,88.364,88.205,88.328,88.468,88.243,88.885,88.228,89.111,90.344,90.979,90.972,91.261,92.778,90.083,90.131,90.229,91.466,92.333,93.303,95.711,94.713,97.084,96.67,99.869,99.496,100.101,99.228,101.166,100.769,100.866,103.464,104.388,107.396,108.602,108.383,111.437,113.629,114.905,116.46,117.335,115.182,114.72,114.227,117.156,120.047,119.959,118.59,120.267,125.438,124.742,127.973,129.374,128.947,128.625,129.163,131.131
"54","46","    Farm product raw material wholesalers","PK42253",121.189,124.164,120.721,117.467,111.036,105.122,98.479,96.436,92.495,90.446,87.143,85.672,90.958,92.782,85.462,92.973,93.426,88.791,92.891,88.73,88.202,87.204,105.882,106.262,103.556,104.658,104.123,117.254,121.723,123.055,108.141,98.264,99.772,99.05,100.61,100.553,99.13,101.676,106.606,132.483,136.854,136.791,146.809,173.595,206.749,215.163,212.952,155.166,147.429,158.945,147.352,152.842,145.706,145.3,165.525,204.894,225.029,243.55,252.856,234.152,235.648,228.958,276.241,268.316
"55","47","    Chemical and allied products wholesalers","PK42263",75.298,74.636,74.939,74.868,74.512,74.263,73.818,73.531,72.833,72.804,73.647,75.127,76.266,77.366,78.56,78.588,79.891,79.29,77.295,76.007,75.572,77.245,78.377,79.407,83.067,82.756,82.436,83.017,85.597,87.443,91.19,94.865,96.673,97.451,99.725,106.407,107.694,109.504,111.555,109.619,110.163,112.955,114.623,119.633,125.154,133.904,143.752,126.62,117.421,118.354,122.064,125.016,131.101,132.726,130.325,135.709,145.572,154.836,155.59,150.402,150.783,153.556,149.642,150.889
"56","48","    Petroleum and petroleum products wholesalers","PK42273",48.783,42.065,40.557,41.174,35.327,32.021,29.381,28.553,28.34,35.634,41.616,46.538,55.674,55.422,58.093,61.432,58.636,57.611,53.107,45.72,45.006,50.632,52.924,57.86,69.889,57.426,60.291,62.563,69.979,71.683,76.108,86.484,88.287,90.762,105.345,115.856,113.242,121.997,119.318,111.695,114.101,124.714,128.722,156.072,171.142,188.182,193.714,115.39,86.567,96.425,111.831,134.205,152.95,134.637,128.257,159.879,191.287,193.623,181.712,195.756,207.418,185.706,184.186,192.65
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","PK42283",85.462,85.672,85.307,84.665,85.208,85.145,85.059,85.944,86.217,85.902,86.424,86.426,86.995,88.315,89.482,89.982,91.153,91.644,91.729,92.383,92.442,92.591,92.675,93.333,93.328,94.043,93.752,94.628,97.595,96.046,95.739,96.249,99.658,99.827,100.058,100.457,101.38,101.93,100.373,100.436,100.504,100.649,101.215,102.035,103.751,104.559,104.791,105.884,107.995,108.469,108.008,109.734,109.629,109.628,109.797,112.783,113.183,113.414,113.458,116.318,116.527,116.801,118.209,119.785
"58","50","    Miscellaneous nondurable goods wholesalers","PK42293",80.012,80.32,79.942,79.805,78.857,78.748,79.028,80.217,82.13,82.323,83.056,84.417,85.087,85.434,85.931,87.25,90.265,90.142,89.742,89.501,89.394,90.764,91.982,91.655,91.779,92.774,92.046,93.544,95.268,96.158,95.822,95.985,97.909,99.659,100.676,101.858,103.04,103.169,103.054,104.547,107.984,111.051,112.778,115.641,122.78,132.013,142.305,136.016,124.719,123.956,120.484,121.857,124.081,126.038,126.959,131.409,137.456,140.939,143.082,143.508,143.205,144.227,147.243,146.985
"59","51","Retail trade industries","PK443",94.438,94.066,93.905,93.816,93.13,92.732,92.853,92.705,92.649,93.559,94.391,94.714,95.638,96.098,96.288,96.589,96.698,96.998,96.471,95.303,94.898,95.718,95.792,95.857,96.514,95.171,95.739,95.751,96.802,97.635,97.722,98.734,98.837,99.164,100.749,101.226,101.249,101.764,102.124,100.805,101.633,102.764,102.998,104.358,105.403,106.469,108.13,102.701,100.627,101.643,103.264,104.192,104.692,104.141,104.319,105.367,107.092,108.63,109.366,109.207,109.82,109.284,109.595,109.802
"60","52","  Motor vehicle and parts dealers","PK4413",98.184,97.862,97.779,97.834,97.491,97.056,97.531,97.879,97.932,98.014,98.767,98.909,98.914,99.449,99.215,99.759,100.268,100.252,100.138,100.413,100.093,100.111,100.368,100.308,99.236,98.798,98.185,97.161,97.789,98.508,98.128,98.989,99.672,100.109,99.724,100.515,100.85,100.942,101.145,100.901,100.784,100.852,101.071,101.508,101.098,100.547,100.419,99.367,99.141,100.126,101.125,103.634,105.053,105.918,106.73,106.932,107.69,109.601,110.58,110.474,110.602,111.543,111.441,111.533
"61","53","  Furniture, furnishings, electronics, and appliance stores","PK44233",145.633,144.478,142.978,141.786,140.546,139.789,138.101,135.967,134.524,133.116,131.387,129.382,128.695,128.013,127.1,125.831,124.031,122.099,120.261,118.633,116.956,115.986,114.46,112.785,111.078,109.224,107.461,106.325,105.612,104.716,103.273,102.274,101.352,100.793,99.45,98.533,97.74,96.373,95.156,93.891,92.635,91.405,89.831,88.369,87.603,86.157,85.931,85.228,84.199,83.271,81.27,79.956,78.668,77.407,76.087,75.024,74.105,73.586,72.667,71.687,70.805,69.592,68.492,67.449
"62","54","  Building material and garden equipment and supplies dealers","PK4443",97.386,98.06,97.581,96.336,96.038,94.866,94.137,92.713,93.364,94.377,95.666,94.134,94.856,94.279,93.216,93.119,93.107,94.008,93.743,92.002,92.292,92.75,92.65,91.968,92.2,92.295,93.685,95.108,97.099,99.912,99.906,98.476,99.689,100.072,100.02,100.206,101.068,100.975,99.758,99.29,100.877,101.288,101.22,100.803,100.781,101.332,101.935,101.468,100.293,100.504,100.188,99.617,100.312,101.459,100.095,99.848,101.027,101.512,101.971,102.215,103.09,103.859,103.762,104.044
"63","55","  Food and beverage stores","PK4453",82.954,83.066,83.273,83.583,83.923,84.287,84.751,85.333,86.061,86.382,86.912,87.479,87.996,88.783,89.646,90.064,90.871,91.626,92.352,92.575,93.076,93.412,93.451,93.573,94.183,94.491,95.386,96.344,96.896,97.863,98.327,99.17,98.983,99.863,100.307,100.838,101.267,101.45,102.18,102.523,103.783,105.07,106.007,107.214,108.77,111.012,113.565,113.87,113.472,113.348,113.352,113.62,114.122,114.383,114.737,115.56,117.273,118.879,120.306,121.325,121.811,122.002,122.381,122.868
"64","56","  Clothing and clothing accessories stores","PK4483",113.561,114.508,113.318,112.683,111.608,111.062,111.398,110.802,109.334,109.963,109.65,109.539,108.957,108.198,107.651,107.891,108.386,106.931,106.049,105.178,104.647,104.407,103.73,103.063,101.834,100.936,101.405,100.963,100.728,101.295,100.792,100.704,100.575,100.062,99.791,99.599,99.298,100.376,100.386,100.398,101.13,100.259,99.621,100.534,100.768,100.569,101.463,100.708,101.208,101.8,102.112,102.086,101.891,101.475,101.421,101.139,101.873,102.843,105.045,105.594,106.274,106.672,106.926,107.223
"65","57","  General merchandise stores","PK4523",102.352,102.756,102.241,102.054,101.906,101.934,102.074,101.978,101.812,102.016,102.104,102.149,102.079,102.222,102.352,102.361,102.688,102.372,102.307,102.055,101.825,101.695,101.26,100.78,100.277,99.893,100.04,99.947,99.986,100.238,99.914,100.06,99.882,100.052,99.986,100.076,100.078,100.18,100.142,99.955,100.042,99.894,99.52,99.855,100.11,100.465,101.312,100.315,99.684,99.549,99.002,98.11,97.587,96.842,96.249,95.83,96.079,96.302,96.538,96.179,96.144,95.278,94.718,94.139
"66","58","    Department stores","PK45213",108.774,109.299,108.533,108.194,107.857,107.756,107.845,107.525,106.943,107.208,107.178,107.133,106.843,106.721,106.603,106.497,106.734,105.969,105.579,105.147,104.691,104.404,103.795,103.169,102.242,101.623,101.661,101.244,101.062,101.159,100.568,100.532,100.383,100.289,99.745,99.584,99.473,99.687,99.439,99.108,99.029,98.521,97.892,98.112,97.88,97.464,97.769,97.227,97.242,97.187,96.479,95.425,94.839,93.999,93.281,92.415,92.355,92.509,93.025,92.706,92.825,92.287,91.725,91.174
"67","59","    Other general merchandise stores","PK45293",95.329,95.533,95.435,95.502,95.661,95.896,96.117,96.355,96.803,96.923,97.179,97.349,97.571,98.062,98.505,98.655,99.092,99.277,99.562,99.493,99.485,99.506,99.232,98.885,98.754,98.568,98.808,98.977,99.19,99.562,99.44,99.724,99.523,99.882,100.148,100.408,100.484,100.512,100.608,100.511,100.701,100.769,100.547,100.949,101.476,102.25,103.387,102.149,101.188,101.012,100.541,99.724,99.231,98.529,97.992,97.779,98.169,98.423,98.534,98.155,98.052,97.04,96.478,95.885
"68","60","  Other retail stores","PK44X3",81.081,79.625,79.752,79.878,78.06,77.327,77.363,77.037,76.721,79.361,81.215,82.611,85.603,86.621,87.486,88.002,87.532,88.646,87.049,83.564,82.584,85.425,86.084,87.156,90.822,86.919,88.78,89.163,91.634,92.566,93.524,96.573,96.367,96.737,102.979,103.88,103.402,105.129,106.57,102.431,104.506,108.296,109.219,113.224,116.499,119.626,123.515,106.418,100.562,103.458,108.999,111.323,112.331,110.321,111.228,114.887,119.097,121.985,122.719,122.08,123.746,121.745,123.267,124.161
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
