"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225"
"216","208","        Amusement parks, campgrounds, and related recreational services","DORSRA3",14.224,14.794,15.396,16.028,16.34,16.435,16.501,16.63,16.969,17.63,18.307,18.845,19.289,19.779,19.573,19.574,20.027,20.628,21.158,22.378,22.438,22.73,22.229,22.729,22.594,22.239,22.443,22.531,23.37,23.607,24.441,24.844,25.323,24.709,25.812,24.984,25.817,27.079,28.116,28.771,29.126,30.464,30.403,31.353,32.245,32.617,33.127,32.983,34.088,34.378,34.426,36.1,36.526,37.66,38.848,40.503,41.409,42.199,43.409,44.018,43.771,44.305,45.238,45.318,46.406,45.723,46.166,46.429,46.314,46.573,48.029,48.183,48.866,48.973,49.565,50.451,49.896,50.395,50.762,51.227,52.547,52.983,54.437,55.36,56.297,56.966,58.431,61.381,61.826,65.026,66.339,66.561,66.049,65.896,65.855,66.386,67.644,69.299,70.703,70.388,69.91,68.71,69.062,70.027,71.851,73.31,73.423,72.654,70.842,69.435,67.476,67.652,67.689,68.452,69.436,70.358,73.492,75.928,78.785,81.352,84.274,86.061,87.221,87.828,89.815,91.341,92.303,92.641,91.317,91.36,91.773,92.728,99.203,102.936,105.861,107.241,106.308,106.452,106.734,106.992,107.266,108.158,109.52,111.341,113.311,117.188,117.67,118.248,119.403,120.446,118.702,111.852,109.706,110.348,110.973,111.531,111.817,111.87,111.589,110.921,109.918,109.116,108.664,108.502,108.52,108.477,108.347,108.095,107.627,106.694,104.346,101.161,100.079,98.378,97.399,97.113,97.68,98.036,98.222,98.133,97.553,97.449,97.709,98.339,99.225,99.884,100.309,100.422,100.355,100.473,100.769,101.109,101.589,102.135,103.18,104.152,104.925,104.869,104.405,102.941,100.449,99.16,99.478,100.912,103.021,102.379,103.966,106.726,107.295,109.964,111.425,113.469,113.938,116.185,117.22,117.972,119.227,119.789,120.747,120.394,121.864,122.379
"217","209","        Admissions to specified spectator amusements","DADMRA3",30.183,30.166,30.017,30.156,29.989,30.053,29.613,29.612,29.511,29.081,28.429,29.475,29.053,29.543,28.024,29.911,29.993,28.948,31.79,25.571,30.295,27.611,28.568,28.492,29.568,29.908,30.227,30.146,28.438,31.429,30.955,32.19,31.286,29.893,31.767,27.454,31.82,31.927,31.24,32.666,33.346,32.481,31.617,31.423,32.174,31.951,32.098,33.033,30.937,32.149,33.195,33.955,33.084,32.178,31.421,30.67,32.011,31.938,28.6,28.579,30.332,31.648,32.428,35.381,33.478,32.664,32.36,32.271,32.052,32.971,31.977,31.544,33.105,34.658,35.522,36.505,38.426,37.47,40.241,38.708,38.706,39.47,38.626,39.327,39.427,37.44,37.894,38.526,39.188,39.39,40.459,38.24,42.169,41.632,41.669,41.703,42.542,43.417,42.525,42.948,43.739,45.738,45.811,44.942,42.706,42.375,42.418,43.497,44.335,42.5,44.463,46.043,44.341,43.106,43.392,43.886,44.373,46.371,46.935,47.496,47.82,48.855,49.912,48.93,49.672,52.039,51.97,52.522,52.268,50.266,50.61,52.806,52.913,53.349,50.656,54.303,55.842,57.322,61.942,57.495,58.738,60.196,61.524,58.785,59.065,62.136,62.63,65.341,64.372,65.957,69.407,65.548,67.575,67.592,67.307,69.621,72.438,71.775,75.051,74.202,72.432,74.168,76.332,75.955,74.623,77.368,77.09,77.278,78.563,77.264,74.66,77.993,79.688,80.187,79.683,83,81.823,83.455,84.712,86.258,85.958,87.539,87.688,87.738,88.56,87.313,89.898,92.386,92.883,94.746,96.606,98.633,100.182,100.956,103.673,101.609,102.118,100.906,98.618,99.973,100.413,100.299,98.427,100.861,100.092,96.671,102.129,106.594,101.862,106.686,108.118,106.213,109.699,106.227,103.546,106.102,106.131,108.167,108.548,108.697,107.165,106.689
"218","210","          Motion picture theaters","DMOVRA3",108.839,106.328,104.17,103.08,100.715,100.729,98.002,97.865,96.911,94.532,90.615,95.505,91.655,92.256,82.613,91.462,90.945,85.467,100.367,67.159,91.495,75.043,78.41,75.97,81.353,83.257,84.889,83.775,73.732,85.613,80.568,84.503,79.43,74.023,85.072,65.24,82.279,79.67,74.108,80.008,83.779,79.905,76.252,74.606,77.47,75.965,76.158,80.098,70.055,75.598,80.709,84.851,81.593,77.427,74.649,71.339,77.526,77.056,61.253,61.244,69.637,75.711,79.27,93.253,84.263,80.319,78.255,76.332,74.136,77.281,70.934,67.084,72.514,79.007,81.518,84.155,89.233,82.553,92.541,83.909,82.827,86.462,80.809,82.698,79.113,70.699,69.361,69.933,73.149,75.208,76.816,67.751,84.203,80.556,78.739,76.455,78.249,79.878,73.884,74.176,74.335,82.095,74.442,78.93,70.525,70.354,69.705,69.321,75.353,61.157,66.88,74.109,67.468,65.027,68.047,72.656,71.246,73.011,74.947,75.764,77.805,86.008,85.547,75.122,77.146,85.929,87.42,92.843,95.25,78.732,75.659,82.346,81.158,84.039,66.082,78.509,73.588,77.335,92.889,69.954,77.042,71.62,86.907,82.822,71.23,87.232,80.245,86.497,84.673,90.386,75.278,86.532,94.428,89.323,86.284,85.113,97.225,89.711,98.813,94.459,89.295,96.945,109.868,97.628,94.971,103.046,101.225,101.851,104.029,95.829,101.588,102.581,108.436,105.924,97.421,106.196,96.906,101.922,104.205,107.011,100.743,102.678,97.586,98.201,97.075,86.865,96.292,98.312,96.06,97.528,98.149,97.616,96.887,95.357,105.604,95.42,101.367,98.762,89.675,97.296,100.29,101.365,93.201,105.144,108.135,98.065,99.26,97.721,89.824,100.467,105.911,92.274,110.542,97.522,95.701,106.818,97.336,106.814,106.928,110.981,104.375,101.498
"219","211","          Live entertainment, excluding sports","DLIGRA3",12.804,12.832,12.77,12.775,12.888,13.053,12.982,12.852,12.487,11.894,11.45,11.188,11.329,11.786,12.33,12.679,12.585,12.121,11.458,10.891,10.964,11.467,12.05,12.471,12.15,11.319,10.702,10.294,10.363,11.111,11.956,12.652,12.704,12.191,11.529,10.835,10.819,10.838,10.857,10.75,10.574,10.425,10.124,10.081,10.057,9.935,9.793,9.665,9.457,9.199,9.239,9.305,9.396,9.665,9.886,10.048,10.075,10.118,10.255,10.381,10.518,10.722,10.827,10.881,10.828,10.836,11.047,11.569,11.995,12.422,12.986,13.453,13.675,13.714,14.056,14.666,15.342,15.992,16.605,17.008,17.159,17.11,17.499,17.946,19.114,18.241,19.603,20.735,20.822,20.553,22.387,21.962,21.323,21.08,21.167,21.569,22.036,22.599,23.201,23.829,24.252,24.686,25.062,25.455,25.836,26.253,26.87,28.789,29.689,31.583,32.819,32.826,32.685,31.455,31.476,30.236,31.462,33.54,33.044,32.626,30.472,28.269,30.635,33.565,34.26,35.369,34.242,32.3,30.559,33.395,34.883,35.722,36.297,35.629,37.428,38.452,41.993,42.364,44.153,44.233,43.166,44.69,45.717,45.231,46.139,46.978,45.711,47.437,47.138,47.313,47.867,46.567,46.294,47.623,47.206,51.329,50.453,51.507,53.855,54.068,53.095,53.535,52.066,56.299,53.902,55.444,55.406,55.578,57.658,58.737,55.297,55.977,56.479,57.819,59.693,61.901,63.576,64.641,65.963,67.552,69.377,71.495,73.852,76.38,78.833,80.668,81.844,82.361,84.084,87.057,90.227,93.656,95.878,97.326,98.207,98.422,98.01,97.886,98.027,98.353,98.568,99.189,100.327,101.917,99.326,101.13,103.411,107.34,106.239,107.944,110.025,113.54,112.568,110.173,105.588,103.032,105.874,108.415,109.504,106.998,106.571,106.749
"220","212","          Spectator sports","DSPERA3",11.335,12.253,12.842,13.584,14.083,14.07,14.268,14.437,14.938,15.505,16.082,16.649,17.201,17.649,17.774,17.997,18.492,18.862,19.648,20.237,20.501,21.046,21.231,21.757,22.202,23.02,23.706,24.518,25.12,26.019,26.442,26.846,27.05,26.79,26.643,26.614,29.209,30.995,32.236,33.007,32.969,32.963,33.042,33.543,34.044,34.502,35.031,35.52,35.937,36.407,36.222,35.758,35.078,34.63,33.797,33.411,33.452,33.471,33.349,33.11,32.813,32.587,32.499,32.324,32.446,32.521,32.637,32.882,33.048,33.186,33.508,34.054,34.969,35.417,35.937,36.348,37.967,38.498,39.581,39.972,40.469,40.497,41.07,41.341,42.34,43.036,43.354,43.288,43.074,42.724,42.302,42.051,44.266,45.386,46.591,47.638,48.371,49.192,49.531,49.736,51.487,51.906,56.71,50.408,48.478,46.946,46.61,47.427,44.687,45.671,46.169,46.259,45.588,45.166,44.007,44.284,44.953,46.973,48.168,49.992,52.798,53.778,53.923,53.531,53.478,53.374,53.812,54.759,54.907,55.545,56.493,57.652,57.935,58.348,59.31,60.892,63.808,65.384,66.796,68.124,68.831,74.79,67.199,62.079,69.388,67.046,75.131,76.892,75.518,76.391,96.497,78.792,80.244,81.768,83.523,85.498,87.483,88.894,89.604,89.55,88.89,88.565,88.827,89.635,90.804,91.668,92.08,92,91.518,91.353,84.494,93.131,93.816,95.07,96.38,97.716,97.781,97.985,98.449,99.058,99.635,100.186,100.603,96.714,96.481,96.691,96.861,102.393,102.933,103.483,104.289,105.98,108.043,109.344,109.83,109.742,108.109,106.281,104.895,103.791,102.962,101.134,99.075,96.829,96.207,89.89,102.152,111.004,103.354,108.81,106.907,104.932,105.382,106.275,105.596,109.743,111.768,108.672,108.276,109.557,109.597,109.693
"221","213","        Museums and libraries","DMUSRA3",11.252,11.196,11.559,11.858,12.046,12.421,12.572,12.555,12.731,13.293,13.725,14.222,14.346,14.466,14.434,14.337,14.526,15.032,15.436,15.604,16.147,15.534,15.65,15.251,14.818,14.744,15.014,15.451,15.727,15.746,15.662,15.64,15.636,15.872,15.809,15.834,15.984,16.358,16.807,17.24,17.572,18.149,18.471,18.923,19.302,19.411,19.764,19.889,20.079,20.573,20.998,21.505,21.584,22.22,22.712,23.857,23.515,24.895,24.979,26.31,28.096,28.255,28.673,29.647,28.953,29.47,29.211,29.975,30.641,31.261,32.325,33.939,33.446,34.36,35.416,37.943,37.575,37.564,37.801,38.929,39.602,39.805,39.152,39.993,40.54,42.755,43.481,44.85,45.606,47.327,47.957,48.472,47.361,47.2,46.539,47.794,47.443,47.206,46.831,49.225,48.998,48.146,46.732,48.92,49.847,50.27,51.187,51.556,52.107,52.521,51.513,51.309,47.509,54.748,55.304,53.1,55.506,55.065,56.052,56.159,59.551,58.882,57.035,57.33,58.708,59.123,58.325,58.414,57.109,57.243,57.266,57.221,60.029,61.607,62.929,61.514,65.464,66.874,67.874,67.902,66.919,67.239,67.8,67.991,67.904,69.286,69.195,68.098,67.426,66.001,66.293,66.895,65.821,66.568,67.262,69.296,71.015,72.123,74.31,76.022,77.167,76.734,77.287,79.341,82.567,84.816,84.385,83.644,83.453,84.788,87.608,88.915,94.408,98.298,100.447,101.535,102.308,101.909,101.344,102.344,102.227,103.761,108.297,109.886,113.941,117.01,117.139,119.948,118.867,116.783,114.395,110.788,107.762,105.391,104.936,103.052,103.389,105.244,104.496,103.261,101.433,101.592,98.724,98.251,99.674,98.58,98.502,101.107,102.055,103.354,102.324,102.923,100.089,98.375,97.845,98.756,100.944,104.511,105.486,108.258,108.121,107.793
"222","214","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRA3",7.132,7.495,7.374,7.36,7.784,7.899,8.006,8.155,8.245,8.313,8.474,8.6,8.557,9.011,8.796,8.833,9.031,9.207,9.796,9.253,9.314,9.499,9.924,10.595,10.291,10.354,10.292,10.986,11.076,11.271,11.599,12.263,12.625,12.678,12.618,12.226,12.93,13.351,13.83,14.311,14.658,14.955,15.278,15.643,15.913,16.113,16.402,16.725,16.929,17.158,17.364,17.499,17.456,17.549,18.007,18.495,19.342,20.013,20.807,21.479,21.791,22.176,22.763,23.262,23.513,23.783,24.433,25.328,26.154,27.003,27.923,28.611,28.314,28.521,29.016,29.58,29.308,29.418,29.661,30.255,30.856,31.432,31.796,31.884,32.34,32.328,32.691,33.381,34.344,35.288,36.024,36.474,36.463,36.72,37.617,38.896,40.538,42.022,43.705,45.243,45.815,46.56,47.445,48.317,50.187,51.447,52.631,53.639,54.413,55.251,56.313,57.427,58.253,58.714,59.847,61.458,62.944,64.884,66.561,67.586,68.892,69.413,69.659,69.692,70.592,71.622,71.911,71.552,70.127,69.428,69.323,69.766,71.357,72.189,72.722,72.979,74.443,74.455,74.658,74.996,74.625,74.831,75.365,76.088,78.236,79.27,79.882,80.567,80.637,80.797,80.528,80.842,80.552,80.833,80.873,81.804,82.595,83.812,85.284,86.748,88.42,89.714,91.195,92.073,93.052,93.862,94.316,95.069,96.088,94.282,94.86,94.687,92.783,92.109,91.809,92.023,91.913,92.066,93.142,94.723,96.223,97.234,96.823,97.194,96.355,94.989,94.755,94.731,94.31,95.83,94.954,97.31,98.524,99.742,99.713,100.371,100.923,101.185,101.622,100.138,99.966,99.343,99.913,100.777,100.866,101.605,101.701,102.53,102.581,102.828,103.948,102.268,103.178,103.812,103.223,104.693,107.31,106.442,107.053,107.234,107.89,108.798
"223","215","        Cable and satellite television and radio services","DCTVRA3",0.853,0.861,0.86,1.053,1.133,1.126,1.075,1.208,1.182,1.207,1.352,1.39,1.473,1.517,1.648,1.67,1.746,1.804,1.904,1.987,2.039,2,1.974,2.073,2.021,2.066,2.092,2.15,2.206,2.292,2.425,2.524,2.615,2.717,2.744,2.826,3.029,3.152,3.316,3.492,3.649,3.805,3.946,4.13,4.234,4.356,4.469,4.57,4.597,4.666,4.81,5.04,5.157,5.372,5.637,5.838,6.09,6.283,6.621,6.933,7.119,7.304,7.625,7.913,8.061,8.278,8.61,8.948,9.2,9.445,9.814,10.203,10.827,11.256,11.928,12.671,12.883,13.319,13.835,14.472,15.013,15.49,15.904,16.242,17.644,18.023,19.137,20.784,22.621,24.494,26.614,28.539,29.747,30.2,31.261,32.542,34.989,36.809,38.859,40.577,41.414,42.183,42.538,42.603,43.96,44.575,45.042,45.499,46.643,47.526,48.383,49.192,49.902,50.04,50.382,51.237,52.046,53.655,54.915,55.665,57.101,57.64,58.212,59.109,59.17,60.156,60.195,59.799,58.327,57.697,57.253,57.269,59.769,60.453,60.905,60.615,61.972,61.274,60.872,60.68,59.237,58.966,59.401,60.311,62.41,63.663,64.555,65.877,67.031,67.674,67.652,68.584,68.722,69.317,69.084,69.833,70.035,70.876,72.154,73.505,75.264,76.543,78.188,79.066,80.266,81.348,82.051,83.377,85.252,83.077,83.158,84.563,82.456,81.643,81.075,81.05,80.687,80.623,81.673,83.311,84.819,86.099,85.976,87.463,87.727,87.023,87.513,87.941,87.482,89.481,88.147,91.081,92.306,93.748,93.801,95.096,96.537,97.68,99.146,98.164,98.88,98.837,100.273,102.01,102.127,103.019,103.271,104.653,105.577,106.841,108.879,107.096,108.558,109.628,109.177,111.111,114.709,113.535,114.28,114.597,115.49,116.688
"224","216","        Photo processing","DFDVRA3",23.282,23.729,24.463,25.294,26.044,26.363,26.667,26.89,27.274,27.481,28.232,28.918,29.174,29.797,29.876,30.531,31.33,32.591,33.868,35.194,35.976,36.599,36.998,37.781,39.25,40.91,42.651,45.238,47.553,49.661,52.04,54.052,55.777,56.863,57.262,56.016,55.569,55.585,56.495,57.693,59.545,60.982,62.34,63.745,64.336,64.575,64.927,65.23,64.671,64.719,65.741,67.386,69.43,70.947,74.044,77.414,87.49,94.771,102.595,109.685,113.582,117.701,121.262,123.626,122.939,122.109,126.308,134.324,142.564,152.241,162.572,171.131,165.063,162.269,161.614,162.939,164.52,165.75,169.295,174.74,180.648,187.035,192.56,196.456,198.149,199.682,200.64,201.151,202.269,203.163,201.039,197.175,187.706,183.41,185.055,191.522,200.161,207.682,214.995,220.856,223.235,226.205,227.946,228.393,233.119,236.457,239.826,242.173,241.614,242.588,245,248.241,250.105,252.398,258.388,266.761,275.819,280.543,285.818,290.426,298.825,303.651,300.42,291.083,287.162,283.966,280.485,277.848,276.12,274.806,275.267,277.689,270.834,268.006,268.38,272.087,273.315,274.889,276.519,277.707,280.945,280.152,277.399,273.023,273.895,275.797,277.459,278.907,281.729,282.156,281.892,281.195,280.22,280.626,281.115,281.556,281.819,282.295,283.141,284.241,285.246,285.239,284.125,281.742,278.15,274.391,270.694,267,263.281,260.188,257.906,256.347,255.235,254.078,252.737,251.293,247.915,243.742,239.811,235.813,231.294,224.878,216.25,205.337,192.33,178.914,165.453,151.874,138.76,129.117,123.652,122.403,124.501,125.67,125.082,122.675,118.676,114.58,110.751,107.152,103.799,100.907,98.556,96.738,96.172,97.032,99.155,102.556,103.972,104.585,105.924,107.978,110.519,112.622,114.122,114.986,115.25,115.423,115.632,115.852,116.284,116.847
"225","217","        Photo studios","DPICRA3",17.714,17.847,18.082,18.304,18.571,18.742,19.009,19.13,18.984,19.016,19.035,18.952,17.301,22.236,18.831,18.457,19.085,19.682,25.125,16.818,19.009,18.209,23.137,27.596,24.967,23.258,21.613,27.412,26.11,25.983,25.843,30.518,32.614,31.242,29.736,24.694,30.365,33.414,36.272,38.431,39.403,40.114,41.061,42.369,43.284,44.478,46.084,47.85,49.362,50.759,50.702,49.089,45.729,42.363,41.2,41.81,43.646,45.748,47.793,48.93,48.923,49.139,49.876,49.914,50.175,50.149,50.568,53.363,56.634,59.549,61.499,61.632,58.336,56.805,56.539,57.498,59.511,60.584,61.67,62.579,63.411,64.217,64.331,64.122,63.226,62.356,62.153,62.172,62.725,63.493,63.823,64.135,65.938,66.713,67.939,69.285,70.689,72.01,72.664,72.804,71.502,71.254,71.597,72.366,72.918,73.541,74.925,76.462,77.853,79.098,80.603,82.166,83.248,84.369,86.317,88.792,92.016,93.301,94.228,94.435,94.092,93.932,93.501,92.999,96.517,97.933,98.487,98.346,97.173,96.603,97.495,99.472,101.51,102.788,104.393,106.229,107.359,108.4,109.392,110.126,110.359,111.038,111.732,112.408,116.878,117.614,117.755,117.265,115.457,114.23,112.782,111.142,106.757,103.285,102.148,103.183,105.891,108.092,109.248,109.248,108.272,107.483,107.155,107.235,107.585,107.881,108.077,108.142,107.97,107.311,106.136,104.397,102.34,100.864,100.208,100.365,100.133,99.77,99.815,100.144,100.676,101.313,102.029,102.804,103.524,103.996,104.19,104.063,103.701,103.678,104.154,105.104,106.383,107.426,108.166,108.56,108.526,107.897,106.675,104.817,102.463,100.451,98.997,98.089,98.323,98.747,98.89,98.741,98.082,97.299,96.596,95.952,95.36,94.976,94.863,95,95.302,95.601,95.88,96.115,96.048,95.863
"226","218","        Repair of audio-visual, photographic, and information processing equipment","DAPIRA3",32.544,34.919,33.716,32.781,35.286,35.944,36.604,37.226,37.908,38.259,38.84,39.507,39.884,39.986,40.089,40.333,40.982,41.392,41.832,42.23,41.014,42.765,42.849,44.578,43.628,44.533,44.496,45.072,45.691,46.336,47.775,48.84,49.406,50.07,50.392,50.854,52.084,52.948,53.954,55.291,56.21,57.052,58.015,58.898,59.855,60.1,60.746,61.621,62.311,62.899,63.729,64.546,65.452,67.351,69.857,71.412,72.312,72.828,73.662,74.536,74.96,75.764,77.523,79.686,81.275,83.039,85.358,86.297,86.487,86.696,87.603,88.67,88.486,90.798,92.647,92.952,87.301,84.95,82.566,82.179,82.211,82.173,81.497,79.667,77.769,76.211,74.188,72.53,71.633,70.732,68.928,66.675,64.678,64.339,63.923,63.826,62.844,63.409,63.498,63.569,62.568,62.02,62.041,62.112,64.765,66.333,66.904,66.995,65.117,64.928,65.81,67.354,69.863,71.099,72.995,74.159,73.555,75.831,77.102,76.605,75.083,74.692,74.18,72.313,72.004,72.121,72.13,70.35,67.825,67.033,66.581,65.362,64.14,66.639,65.138,63.492,64.989,65.187,64.952,64.675,63.399,63.114,63.213,63.834,64.819,65.598,65.771,65.51,63.566,63.078,62.485,61.795,61.609,62.178,63.363,65.234,67.716,70.099,72.19,73.91,75.428,77.395,79.969,83.115,86.62,89.496,91.294,91.958,91.702,91.673,92.17,93.351,95.061,96.249,96.917,96.643,94.979,94.306,94.886,96.682,99.418,101.023,101.041,99.479,96.768,95.301,95.058,96.16,98.634,100.895,102.516,103.176,104.385,105.409,106.079,106.141,105.844,105.382,104.265,102.339,101.184,100.537,99.726,98.554,99.886,101.931,103.223,104.311,102.579,99.75,98.994,97.035,95.457,93.999,91.609,93.099,93.333,94.733,96.035,95.325,95.076,95.192
"227","219","        Video media rental","DVIDRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.998,4.617,6.415,8.154,8.469,8.933,10.732,13.355,15.288,17.387,21.089,25.616,29.588,33.215,37.157,40.574,42.628,44.352,46.255,47.889,47.829,48.154,50.348,53.678,57.127,60.889,65.041,68.633,71.766,72.603,73.714,74.736,80.186,83.664,86.356,87.699,86.605,85.377,86.335,88.942,91.446,92.696,95.06,97.913,100.971,103.458,106.514,110.029,114.854,118.256,120.955,122.79,126.041,126.599,126.405,125.454,121.96,121.078,120.499,120.202,120.715,122.002,123.454,125.027,126.761,129.168,132.392,136.424,140.91,144.408,146.468,146.941,145.902,144.548,143.312,141.972,140.502,138.608,146.507,133.077,128.045,127.148,128.735,132.543,138.352,144.031,149.259,153.857,157.394,158.36,156.405,151.475,144.258,138.586,135.294,134.39,135.529,136.898,138.153,139.252,139.93,139.144,136.728,132.613,126.997,121.321,115.944,110.823,105.981,101.623,97.824,94.572,93.063,91.072,87.518,82.388,75.61,69.663,65.33,62.685,61.485,60.332,58.943,57.306,55.505,54.089,53.183,52.782,52.658,52.544
"228","220","      Gambling (91)","DGAMRA3",3.9,4.027,4.159,4.266,4.351,4.368,4.404,4.413,4.478,4.579,4.691,4.839,4.993,5.232,5.345,5.454,5.516,5.548,5.593,5.849,5.921,6.174,6.274,6.59,6.634,6.487,6.414,6.369,6.541,6.546,6.819,6.944,7.051,6.88,7.232,7.006,7.062,7.353,7.467,7.497,7.54,7.784,7.639,7.716,7.945,7.941,8.017,7.92,8.319,8.422,8.495,8.989,9.15,9.483,9.771,10.196,10.572,10.933,11.305,11.459,11.286,11.308,11.567,11.499,11.729,11.641,11.948,12.165,12.047,12.062,13.042,13.995,12.515,13.154,13.873,14.381,14.569,14.843,14.926,14.958,15.239,15.221,15.521,15.381,15.438,15.422,15.718,16.667,16.969,18.032,18.668,19.091,19.328,19.663,19.835,20.115,20.597,21.481,22.106,22.412,23.153,23.134,23.782,24.499,25.15,25.704,26.035,26.888,26.878,27.63,27.631,28.795,28.943,29.249,29.026,29.993,31.362,32.416,33.498,34.095,34.138,33.818,33.974,34.119,35.632,35.959,35.927,36.667,35.292,36.018,36.566,37.114,38.937,38.933,40.833,42.151,42.952,45.113,47.695,50.058,52.007,53.399,54.949,56.157,58.134,59.64,61.399,63.184,63.378,64.192,66.245,67.485,68.691,69.761,69.547,69.329,69.889,69.188,69.825,71.224,72.48,75.011,77.978,80.258,79.824,80.176,80.936,79.668,81.116,80.605,80.477,80.87,82.139,83.239,84.794,86.264,86.13,89.524,91.96,93.221,96.65,96.957,98.189,97.999,99.981,102.337,100.563,100.911,105.434,104.161,105.317,109.383,108.189,107.726,108.815,108.688,106.565,105.98,103.599,102.088,101.598,100.403,99.461,98.538,99.352,98.159,99.576,98.481,99.313,100.291,98.831,100.723,100.591,101.007,102.41,100.427,102.904,102.048,103.546,104.413,102.939,104.801
"229","221","        Casino gambling","DCASRA3",1.117,1.141,1.177,1.211,1.26,1.293,1.342,1.374,1.412,1.445,1.48,1.527,1.57,1.709,1.696,1.692,1.726,1.763,1.84,2.143,2.079,2.162,2.04,2.257,2.258,2.158,2.167,2.194,2.402,2.298,2.524,2.556,2.638,2.446,2.967,2.69,2.55,2.835,2.881,2.819,2.866,3.149,2.915,2.969,3.248,3.266,3.27,3.013,3.41,3.373,3.256,3.678,3.719,3.952,4.09,4.335,4.443,4.524,4.767,4.974,4.892,5.081,5.386,5.362,5.687,5.522,5.651,5.835,5.587,5.494,6.659,7.771,5.731,6.482,7.399,8.054,8.148,8.389,8.427,8.505,8.965,8.862,9.266,9.18,9.364,9.277,9.725,10.909,11.272,12.549,13.173,13.493,13.593,13.857,13.738,13.716,14.009,14.743,15.265,15.311,15.556,15.119,15.448,15.847,16.027,16.345,16.273,16.398,16.5,17.028,16.514,17.434,17.941,18.185,17.574,18.383,18.91,19.484,20.085,20.294,20.3,19.858,20.096,20.334,22.342,22.727,22.768,23.867,22.436,23.536,24.251,24.798,26.771,26.546,28.758,30.233,30.844,33.433,36.509,39.202,41.226,42.556,44.029,45.014,47.169,48.863,50.889,52.97,53.126,54.001,56.451,57.843,59.536,61.154,60.924,60.55,61.1,60.034,60.774,62.583,64.285,67.723,71.78,74.999,74.709,75.389,76.51,74.884,76.746,75.929,75.498,75.637,76.848,77.906,79.654,81.391,81.329,85.844,89.021,90.617,95.047,95.368,96.898,96.562,99.1,102.114,99.679,100.006,105.702,103.788,105.12,110.326,108.747,108.256,109.928,110.133,107.83,107.468,104.592,102.713,102.106,100.554,99.296,98.044,99.009,97.483,99.264,97.711,98.843,99.83,97.484,99.723,99.227,99.597,101.333,98.539,101.536,100.26,102.229,103.288,101.162,103.458
