"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"43","35","  Automotive vehicles, engines, and parts","B651RA3",10.213,10.16,12.084,12.647,14.984,16.37,18.825,19.977,17.591,22.39
"44","36","  Consumer goods, except automotive","B652RA3",3.897,3.849,3.962,4.29,4.726,4.845,5.216,5.405,5.223,6.374
"45","37","    Durable goods","B697RA3",3.686,3.632,3.793,3.869,4.456,4.486,4.985,5.023,4.916,5.678
"46","38","    Nondurable goods","B698RA3",4.277,4.243,4.262,5.084,5.221,5.51,5.629,6.11,5.782,7.697
"47","39","  Other","B653RA3",12.045,12.883,13.148,14.318,12.257,13.463,15.246,13.357,13.049,15.427
"48","40","Imports of services \1\","B656RA3",17.696,18.43,18.874,18.232,18.366,18.202,18.858,19.121,19.087,19.745
"49","41","  Direct defense expenditures","B752RA3",175.587,173.985,178.89,180.009,178.541,179.256,184.792,188.227,192.17,190.443
"50","42","  Travel","B768RA3",19.005,22.66,24.569,19.972,20.054,19.214,19.983,18.867,20.643,20.969
"51","43","  Passenger fares","B769RA3",16.969,16.67,16.38,17.145,16.384,17.049,18.107,18.219,19.92,20.613
"52","44","  Other transportation","B770RA3",33.69,32.875,30.419,32.842,35.765,34.957,36.64,35.748,31.947,37.931
"53","45","  Royalties and license fees","B908RA3",3.152,3.13,3.102,3.292,3.612,3.285,3.243,3.344,3.873,3.688
"54","46","  Other private services","B909RA3",0.716,0.768,0.846,0.829,0.807,0.895,0.914,0.959,0.984,1.006
"55","47","  Other","B910RA3",51.859,53.215,54.726,56.383,53.953,53.527,54.301,69.238,54.916,55.405
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","48","  Exports of durable goods","B332RA3",6.664,6.717,6.538,6.607,6.872,7.141,7.557,7.456,6.872,8.094
"58","49","  Exports of nondurable goods","B339RA3",15.661,15.426,15.439,15.841,16.24,15.92,17.283,16.569,12.905,18.431
"59","50","  Exports of agricultural goods \2\","B181RA3",26.383,26.018,25.163,26.41,27.56,24.696,26.158,25.218,16.593,28.715
"60","51","  Exports of nonagricultural goods","B182RA3",9.971,9.992,9.89,9.979,10.332,10.84,11.692,11.353,10.135,12.268
"61","52","  Imports of durable goods","B333RA3",4.663,4.586,4.729,5.151,5.845,5.946,6.256,6.315,5.518,7.009
"62","53","  Imports of nondurable goods","B340RA3",18.604,17.816,17.519,19.219,19.573,20.231,22.055,21.006,18.239,23.004
"63","54","  Imports of nonpetroleum goods","B187RA3",6.592,6.375,6.534,7.101,7.675,7.88,8.397,8.263,7.12,9.126
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
