"","Table 3#9#4# Price Indexes for Government Consumption Expenditur","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"29","21","      Equipment","Y050RG3",34.234,35.186,35.176,35.715,36.609,37.281,37.823,38.386,38.896,39.696,39.852,39.69,59.028,57.788,57.96,58.616,57.055,57.792,58.405,56.814,57.739,57.438,58.649,58.398,59.208,60.591,61.538,62.841,64.73,65.879,67.022,67.644,69.976,70.893,70.526,72.458,75.113,75.958,76.932,77.206,77.184,78.259,79.189,79.823,80.661,83.32,83.443,85.302,87.479,89.382,91.425,92.84,94.539,96.719,97.894,97.896,98.828,99.179,100.265,100.282,100.172,100.709,100.881,101.679,100.069,97.992,98.123,96.512,94.248,93.984,92.916,90.764,90.607,88.961,87.746,87.299,87.953,87.749,87.415,87.892,88.474,88.856,89.609,88.301,89.605,90.134,91.204,91.941,92.29,92.404,92.609,93.061,93.079,93.703,93.755,94.643,95.357,95.723,96.509,97.113,97.426,100.053,99.785,100.555,100.5,101.537,101.593,103.316,107.058,101.176,100.596,100.451,100.131,99.943,99.122,98.878,98.396,98.58,97.958,98.54,99.849,99.645,99.243,99.451,99.388,98.445,98.284,98.111,97.008,96.996,96.532,94.764,94.646,94.698,94.868,95.266,95.118,95.196,95.501,95.642,95.744,96.083,95.853,96.343,97.012,96.829,96.598,96.909,97.008,97.231,97.657,97.641,97.823,97.572,97.874,98.081,98.609,99.024,99.554,100.313,100.045,99.968,99.89,100.096,100.258,100.531,100.634,101.318,102.536,102.355,102.82,102.176,102.856,102.984,102.882,102.328,102.391,102.94,102.688
"30","22","      Intellectual property products","Y052RG3",24.568,24.821,25.113,25.433,25.792,26.151,26.517,26.893,27.278,27.608,27.88,28.091,28.248,28.458,28.721,29.037,29.413,29.896,30.488,31.186,31.989,32.788,33.573,34.345,35.092,35.707,36.207,36.596,36.859,37.402,37.888,38.442,38.857,39.36,39.917,40.505,41.026,41.572,42.228,42.967,43.728,44.56,45.489,46.398,47.623,48.716,49.77,50.887,51.917,53.14,54.098,55.344,56.233,57.056,57.743,58.544,59.079,59.49,60.224,60.826,61.679,62.032,62.559,62.702,63.106,63.404,63.723,63.885,64.094,64.337,64.478,64.608,64.814,65.125,65.512,66.295,67.247,67.978,68.414,68.842,69.363,69.835,70.187,70.557,70.891,71.29,71.723,71.906,72.823,73.49,74.085,74.057,73.922,74.389,74.817,75.583,75.517,75.923,75.962,76.94,76.854,77.128,77.604,78.374,79.988,80.43,81.187,80.873,81.328,81.427,81.496,81.404,82.196,83.097,83.583,83.305,83.05,83.522,83.761,84.59,84.601,85.231,85.301,86.487,87.169,87.82,88.487,88.877,88.707,88.554,88.27,88.289,88.527,88.459,88.714,88.574,88.785,89.505,90.261,90.8,91.132,91.366,91.53,92.222,92.63,93.345,93.78,94.594,95.173,95.151,95.27,95.702,96.6,97.415,98.173,98.55,99.601,100.295,100.848,100.586,99.937,99.67,99.625,100.769,101.195,102.061,102.048,103.236,104.118,105.081,105.287,104.942,105.346,106.056,106.219,106.083,106.79,106.981,107.637
"31","23","        Software","Y053RG3",58.322,58.379,59.288,59.864,61.287,61.759,62.121,62.329,62.456,62.651,62.827,62.701,62.792,63.005,63.263,63.634,64.46,65.183,65.854,66.462,67.18,68.791,70.526,72.229,73.381,73.77,74.218,74.812,74.944,75.269,75.91,76.639,77.815,78.4,78.723,78.775,78.325,78.521,78.892,79.568,81.046,82.037,83.237,84.595,85.574,86.747,87.573,88.77,90.392,91.537,92.79,93.994,95.035,95.748,96.333,96.816,96.665,96.738,96.673,96.486,97.099,97.727,97.832,97.667,98.088,97.743,97.517,97.229,96.645,96.344,96.368,96.585,96.863,96.987,97.266,97.48,98.048,98.598,98.677,98.4,97.824,97.458,97.017,96.41,96.242,96.29,96.487,97.383,98.922,98.66,98.228,97.166,95.057,94.543,94.201,94.207,95.075,95.608,95.919,95.98,94.819,95.013,94.576,94.721,95.271,96.327,96.449,97.1,96.375,95.423,94.967,94.667,94.096,94.57,94.079,93.457,92.171,92.796,92.824,92.719,93.235,93.93,94.505,94.857,95.615,96.201,97.779,98.05,97.472,97.894,97.069,97.347,97.894,97.042,96.967,96.742,97.003,97.129,96.52,95.438,96.041,96.443,96.473,95.829,96.604,96.876,97.034,96.958,97.396,97.855,98.077,98.245,98.664,98.873,98.947,99.128,99.756,100.295,100.471,100.22,100.074,100.175,99.586,100.165,99.545,99.532,99.397,99.488,99.797,99.876,99.894,99.841,99.814,99.692,99.354,99.158,99.61,99.885,99.815
"32","24","        Research and development","Y076RG3",22.736,22.974,23.242,23.54,23.867,24.202,24.547,24.902,25.267,25.579,25.836,26.039,26.187,26.385,26.632,26.93,27.277,27.73,28.289,28.951,29.713,30.457,31.185,31.9,32.601,33.191,33.669,34.035,34.289,34.812,35.271,35.796,36.175,36.652,37.188,37.763,38.284,38.815,39.451,40.16,40.87,41.664,42.548,43.408,44.593,45.642,46.664,47.737,48.709,49.891,50.805,52.007,52.859,53.655,54.322,55.104,55.643,56.05,56.787,57.398,58.232,58.563,59.092,59.243,59.633,59.948,60.282,60.46,60.7,60.964,61.107,61.229,61.425,61.738,62.12,62.913,63.865,64.591,65.041,65.507,66.094,66.619,67.029,67.477,67.853,68.279,68.726,68.84,69.685,70.436,71.131,71.215,71.305,71.888,72.41,73.27,73.089,73.48,73.484,74.578,74.627,74.91,75.505,76.357,78.113,78.474,79.315,78.875,79.486,79.728,79.869,79.805,80.793,81.758,82.388,82.16,82.06,82.512,82.787,83.769,83.702,84.322,84.307,85.638,86.311,86.976,87.502,87.913,87.804,87.567,87.358,87.343,87.543,87.576,87.875,87.747,87.956,88.742,89.641,90.347,90.649,90.864,91.04,91.866,92.238,92.995,93.458,94.359,94.953,94.883,94.992,95.449,96.394,97.269,98.094,98.491,99.585,100.295,100.888,100.624,99.923,99.617,99.628,100.832,101.373,102.338,102.338,103.655,104.606,105.677,105.907,105.526,105.984,106.8,107.027,106.9,107.64,107.82,108.571
"33","25","  Nondefense","B825RG3",19.77,19.959,20.489,20.786,21.55,21.952,22.309,22.587,23.239,23.708,23.999,24.252,24.538,24.753,24.972,25.439,25.926,26.22,26.527,27.261,27.359,28.099,28.666,29.748,30.398,30.997,31.476,32.17,32.608,32.78,33.057,33.82,34.165,34.516,34.737,35.545,35.913,36.259,36.704,37.614,38.106,38.593,39.143,40.511,41.019,41.691,42.583,44.371,45.213,45.693,46.348,47.504,48.153,48.658,49.197,50.093,50.227,50.222,50.693,50.664,51.397,51.919,52.419,52.756,53.617,53.765,53.759,54.201,54.238,54.62,54.832,55.069,54.549,54.827,55.18,55.548,56.463,57.112,57.339,57.203,58.242,58.601,58.956,59.225,59.465,60.239,60.345,61.339,62.928,63.222,63.41,63.353,63.629,64.011,64.372,65.322,65.89,66.264,66.945,67.454,67.95,68.617,68.631,69.357,70.426,70.519,70.732,72.666,72.825,71.856,72.026,72.359,73.113,73.413,73.634,74.105,74.145,74.355,74.652,74.733,75.433,75.952,76.456,77.3,78.237,78.036,79.25,79.793,79.683,80.001,80.347,80.919,82.573,82.827,82.741,82.439,84.945,85.213,85.544,85.485,87.738,88.234,88.652,88.885,90.75,91.207,91.918,92.24,93.649,94.068,94.215,94.472,96.256,96.833,97.009,97.3,98.862,99.291,99.729,99.401,99.85,99.72,99.942,100.488,101.811,102.792,103.53,104.123,104.779,105.608,106.049,106.061,106.051,106.112,106.065,106.081,106.549,106.76,107.108
"34","26","    Consumption expenditures","B542RG3",17.119,17.249,17.841,18.097,18.968,19.36,19.68,19.905,20.624,21.123,21.391,21.607,21.904,22.099,22.292,22.78,23.263,23.495,23.71,24.316,24.275,24.926,25.333,26.368,26.924,27.442,27.909,28.659,29.012,29.187,29.415,30.237,30.499,30.787,30.895,31.777,32.094,32.363,32.72,33.677,34.035,34.355,34.727,36.117,36.421,36.903,37.667,39.625,40.317,40.506,41.001,42.103,42.62,42.982,43.539,44.507,44.586,44.508,44.977,44.804,45.571,46.103,46.606,46.955,47.936,48.046,47.962,48.473,48.475,48.905,49.106,49.318,48.627,48.912,49.251,49.525,50.493,51.137,51.254,50.845,52.013,52.306,52.621,52.827,52.984,53.848,53.809,54.952,56.817,57.069,57.223,57.134,57.543,57.971,58.378,59.486,60.125,60.497,61.351,61.85,62.46,63.206,63.083,63.838,64.916,64.844,64.962,67.555,67.77,66.527,66.772,67.269,68.22,68.517,68.763,69.415,69.57,69.802,70.162,70.2,71.099,71.693,72.322,73.248,74.334,73.875,75.341,75.974,75.861,76.256,76.754,77.516,79.754,80.126,79.972,79.544,82.829,83.07,83.396,83.229,86.124,86.647,87.074,87.175,89.487,89.947,90.784,91.085,92.852,93.314,93.41,93.637,95.884,96.508,96.594,96.82,98.698,99.099,99.516,99.053,99.744,99.634,100.018,100.605,102.147,103.146,103.84,104.434,105.191,106.197,106.731,106.74,106.716,106.777,106.734,106.795,107.257,107.511,107.883
"35","27","    Gross investment","B798RG3",27.245,27.586,27.98,28.39,28.901,29.339,29.8,30.226,30.695,31.076,31.431,31.794,32.04,32.307,32.603,32.995,33.481,33.958,34.538,35.651,36.189,37.201,38.253,39.43,40.366,41.205,41.699,42.175,42.872,43.029,43.451,44.01,44.599,45.141,45.699,46.268,46.788,47.356,48.055,48.83,49.705,50.671,51.73,53.025,54.132,55.37,56.624,57.872,59.137,60.507,61.644,62.933,63.992,64.941,65.401,65.986,66.303,66.563,66.977,67.42,68.014,68.475,68.925,69.197,69.606,69.872,70.14,70.32,70.473,70.671,70.902,71.204,71.287,71.529,71.908,72.55,73.289,73.949,74.496,75.171,75.795,76.358,76.832,77.283,77.759,78.245,78.798,79.316,80.06,80.49,80.783,80.815,80.705,80.947,81.172,81.655,82.026,82.406,82.611,83.149,83.308,83.727,84.145,84.772,85.798,86.362,86.855,86.915,86.934,86.718,86.689,86.574,86.768,87.077,87.23,87.176,86.899,87.059,87.206,87.402,87.573,87.905,88.093,88.737,89.291,89.778,90.304,90.608,90.514,90.623,90.539,90.576,90.596,90.517,90.619,90.68,90.976,91.329,91.679,91.928,92.339,92.761,93.163,93.776,94.344,94.796,95.151,95.534,95.92,96.214,96.504,96.841,97.329,97.769,98.199,98.672,99.333,99.847,100.351,100.414,100.16,99.974,99.719,100.146,100.839,101.764,102.629,103.211,103.58,103.912,104.094,104.112,104.143,104.203,104.141,104.023,104.507,104.589,104.867
"36","28","      Structures","B830RG3",13.626,13.892,14.186,14.451,14.794,15.035,15.306,15.566,15.938,16.288,16.557,16.865,17.119,17.381,17.633,17.938,18.169,18.497,18.84,19.215,19.692,20.43,21.348,22.475,23.411,24.052,24.482,24.829,25.153,25.415,25.627,25.856,26.38,26.743,27.115,27.467,27.859,28.311,28.816,29.368,29.988,30.735,31.581,32.47,33.387,34.324,35.375,36.33,37.297,38.188,38.999,39.85,40.625,41.233,41.719,41.986,42.137,42.147,42.153,42.277,42.441,42.638,42.86,43.046,43.299,43.499,43.754,43.998,44.233,44.527,44.754,45.008,45.24,45.435,45.813,46.165,46.482,46.796,47.146,47.553,47.909,48.419,48.913,49.436,49.915,50.258,50.644,50.963,51.307,51.645,51.871,51.855,51.889,52.051,52.204,52.466,52.763,53.12,53.357,53.772,54.199,54.731,55.178,55.736,56.305,56.845,57.427,57.96,58.494,58.646,58.882,59.016,59.125,59.359,59.81,60.605,60.836,61.214,61.813,62.419,62.961,63.542,64.022,64.626,65.405,66.045,66.601,67.211,67.925,68.463,69.078,69.554,69.712,70.046,70.342,70.868,71.651,71.851,72.15,72.703,73.498,74.833,76.702,78.781,80.644,82.476,84.187,85.856,87.628,89.179,90.731,92.622,93.889,94.843,95.937,97.33,98.137,98.889,100.297,102.076,102.287,100.604,98.753,98.356,98.474,98.911,99.607,100.255,100.69,101.52,102.566,103.642,104.283,105.02,105.629,106.142,106.898,107.702,108.317
"37","29","      Equipment","Y066RG3",90.046,91.1,92.874,94.798,99.309,101.716,104.59,105.73,107.01,105.754,106.712,109.257,109.02,108.204,107.262,107.899,111.467,110.17,109.106,127.074,114.803,118.101,121.106,126.271,127.365,132.534,131.335,132.831,144.442,133.923,133.75,136.289,137.827,138.564,138.799,139.097,138.544,137.689,138.013,138.371,139.802,141.368,142.592,150.591,146.344,148.392,150.357,151.947,153.964,158.03,160.046,163.03,165.233,168.06,163.542,163.075,161.609,160.219,159.224,158.47,157.543,157.455,157.085,156.705,156.776,156.602,156.352,156.192,156.11,155.947,156.874,158.59,156.166,155.408,154.561,155.657,156.365,156.735,157.027,159.317,160.694,161.259,161.66,162.139,163.132,163.898,164.87,165.711,165.541,164.658,163.348,163.365,162.722,161.981,160.797,160.357,161.272,160.423,159.739,158.833,159.182,158.909,158.191,157.056,156.636,156.007,154.745,153.159,150.456,147.59,145.921,143.879,142.41,140.59,138.841,136.972,134.769,132.641,131.347,128.646,127.919,126.393,125.106,124.598,123.756,123.143,122.475,121.612,119.697,118.938,117.883,116.681,115.344,114.454,113.387,112.67,112.104,111.591,111.2,110.675,110.656,110.445,109.852,110.247,110.37,109.639,109.174,108.609,108.336,108.295,107.953,106.932,106.084,105.157,103.971,103.151,102.299,101.664,101.412,100.487,99.773,99.997,99.839,100.392,100.436,100.19,100.08,99.733,99.81,100.607,100.946,100.6,100.686,100.99,100.886,100.413,100.499,100.49,100.227
"38","30","      Intellectual property products","Y067RG3",24.937,25.212,25.525,25.865,26.246,26.618,26.993,27.371,27.749,28.082,28.369,28.605,28.796,29.032,29.311,29.634,30.01,30.5,31.101,31.812,32.638,33.452,34.234,34.978,35.664,36.226,36.699,37.088,37.369,37.845,38.302,38.815,39.255,39.754,40.295,40.864,41.393,41.962,42.614,43.337,44.102,44.929,45.852,46.795,47.952,49.042,50.101,51.215,52.311,53.477,54.477,55.615,56.529,57.341,58.031,58.72,59.185,59.636,60.269,60.872,61.685,62.243,62.793,63.116,63.562,63.854,64.129,64.282,64.391,64.541,64.685,64.85,65.048,65.348,65.763,66.401,67.22,67.959,68.539,69.086,69.662,70.194,70.629,71.012,71.392,71.857,72.375,72.882,73.784,74.351,74.815,74.866,74.771,75.137,75.537,76.178,76.475,76.985,77.262,77.944,77.962,78.36,78.827,79.568,80.794,81.435,82.029,82.1,82.259,82.249,82.323,82.377,82.8,83.392,83.691,83.631,83.464,83.864,84.069,84.527,84.737,85.281,85.609,86.426,87.118,87.706,88.379,88.782,88.782,88.919,88.829,88.945,89.136,89.096,89.342,89.429,89.753,90.267,90.74,91.043,91.438,91.784,92.078,92.479,92.931,93.402,93.719,94.121,94.468,94.659,94.91,95.306,95.954,96.607,97.273,97.869,98.839,99.579,100.124,100.149,99.931,99.871,99.831,100.367,101.314,102.614,103.743,104.526,104.943,105.063,105.036,104.939,104.85,104.736,104.575,104.44,104.978,104.984,105.345
"39","31","        Software","Y068RG3",48.149,48.224,48.918,49.389,50.404,50.723,51.005,51.174,51.171,51.251,51.375,51.291,51.333,51.478,51.668,51.915,52.536,53.116,53.635,54.14,54.865,56.206,57.645,59.007,59.906,60.192,60.538,61.029,61.188,61.452,61.97,62.549,63.412,63.894,64.201,64.316,64.105,64.379,64.791,65.456,66.75,67.661,68.74,69.945,70.89,72.01,72.824,73.881,75.373,76.442,77.596,78.688,79.637,80.308,80.909,81.397,81.391,81.532,81.572,81.562,82.147,82.811,82.981,82.968,83.406,83.236,83.209,83.095,82.794,82.665,82.803,83.092,83.353,83.545,83.898,84.226,84.932,85.653,85.982,86.008,85.877,85.868,85.769,85.474,85.563,85.86,86.236,87.326,88.768,88.683,88.557,87.898,86.696,86.755,86.816,87.129,87.765,88.432,88.92,89.223,88.329,88.923,88.627,89.004,89.611,90.96,91.242,92.319,91.631,90.682,90.414,90.355,89.924,90.713,90.562,90.243,89.104,89.999,90.074,90.061,90.665,91.522,92.202,92.753,93.663,94.213,95.631,96.052,95.601,96.169,95.658,95.909,96.223,95.436,95.48,95.364,95.68,95.793,95.392,94.406,94.79,95.103,95.232,94.753,95.495,95.804,95.991,96.042,96.537,97.099,97.421,97.657,98.124,98.422,98.573,98.826,99.474,100.136,100.508,100.291,100.113,100.091,99.651,100.145,99.711,99.75,99.709,99.871,100.297,100.482,100.563,100.531,100.552,100.48,100.198,100.05,100.617,100.88,100.895
"40","32","        Research and development","Y069RG3",22.66,22.916,23.199,23.511,23.852,24.197,24.548,24.903,25.264,25.58,25.852,26.08,26.262,26.485,26.749,27.053,27.397,27.853,28.421,29.098,29.883,30.63,31.341,32.016,32.656,33.202,33.657,34.021,34.294,34.757,35.188,35.672,36.069,36.543,37.069,37.633,38.174,38.731,39.366,40.058,40.758,41.543,42.415,43.301,44.424,45.468,46.504,47.582,48.608,49.743,50.698,51.807,52.69,53.494,54.174,54.867,55.372,55.85,56.545,57.217,58.048,58.584,59.178,59.543,59.984,60.34,60.656,60.846,61.015,61.205,61.348,61.492,61.679,61.992,62.413,63.096,63.927,64.664,65.281,65.912,66.604,67.227,67.754,68.258,68.686,69.178,69.718,70.124,70.932,71.606,72.171,72.344,72.443,72.862,73.318,74.013,74.251,74.732,74.972,75.717,75.889,76.253,76.847,77.646,78.972,79.489,80.134,80.036,80.337,80.488,80.623,80.695,81.277,81.829,82.214,82.207,82.241,82.537,82.774,83.335,83.46,83.93,84.171,85.055,85.697,86.295,86.788,87.186,87.298,87.325,87.341,87.428,87.593,87.717,88.006,88.135,88.461,89.054,89.7,90.265,90.662,91.014,91.342,91.926,92.317,92.823,93.168,93.648,93.963,94.071,94.305,94.736,95.425,96.161,96.952,97.632,98.682,99.443,100.032,100.118,99.89,99.82,99.872,100.417,101.689,103.289,104.699,105.635,106.053,106.16,106.107,105.994,105.875,105.749,105.619,105.488,106.017,105.953,106.407
"41","33","State and local","B829RG3",13.79,14.066,14.306,14.559,14.877,15.193,15.467,15.755,16.125,16.42,16.651,16.824,17.209,17.417,17.687,17.926,18.268,18.588,18.829,19.178,19.738,20.419,21.149,21.763,22.206,22.661,22.957,23.248,23.502,23.781,23.953,24.237,24.709,25.156,25.592,26.029,26.401,26.828,27.231,27.606,28.299,28.917,29.9,30.479,31.28,32.128,33.029,33.89,34.958,35.653,36.081,36.598,37.183,37.745,38.311,38.8,39.107,39.544,39.924,40.215,40.817,41.205,41.593,42.003,42.503,42.915,43.284,43.679,43.859,44.051,44.433,45.014,45.66,46.207,46.74,47.02,47.277,47.736,48.121,48.688,49.37,50.046,50.525,51.161,51.871,52.369,53.049,53.836,54.047,54.338,54.809,55.289,55.751,56.448,56.897,57.298,57.634,57.975,58.146,58.43,58.944,59.283,59.813,60.322,60.671,61.139,61.391,61.634,62.247,62.343,62.73,63.178,63.574,63.778,64.067,64.575,64.681,64.979,65.469,66.018,66.586,67.492,68.315,69.115,70.036,70.764,71.495,72.354,73.106,73.563,73.87,73.974,74.282,74.878,75.397,76.015,77.213,77.328,77.907,78.597,79.768,80.977,82.346,83.784,84.527,85.552,86.929,88.323,88.976,90.322,91.289,92.121,93.9,94.847,95.851,97.106,98.708,100.201,101.562,100.647,99.61,99.722,100.098,100.57,101.629,102.399,102.991,103.836,104.633,105.74,106.248,106.22,107.214,107.183,107.288,107.798,107.775,107.676,108.152
"42","34","  Consumption expenditures","B991RG3",13.244,13.499,13.758,13.981,14.302,14.586,14.842,15.09,15.475,15.766,16.003,16.14,16.557,16.777,17.041,17.249,17.576,17.866,18.064,18.363,18.816,19.32,19.869,20.382,20.793,21.303,21.633,21.94,22.209,22.491,22.68,22.977,23.459,23.93,24.367,24.817,25.181,25.569,25.924,26.254,26.941,27.495,28.465,28.95,29.707,30.502,31.322,32.114,33.154,33.78,34.119,34.582,35.152,35.672,36.233,36.777,37.123,37.638,38.071,38.412,39.103,39.524,39.953,40.419,40.958,41.416,41.816,42.227,42.383,42.51,42.874,43.458,44.165,44.735,45.284,45.565,45.786,46.275,46.666,47.291,48.06,48.782,49.277,49.982,50.761,51.262,51.973,52.901,53.135,53.428,53.968,54.581,55.174,55.963,56.478,56.903,57.216,57.552,57.737,58.013,58.535,58.885,59.411,59.921,60.215,60.688,60.919,61.135,61.821,61.926,62.335,62.844,63.289,63.441,63.759,64.285,64.408,64.761,65.269,65.86,66.5,67.504,68.454,69.307,70.32,71.034,71.83,72.799,73.63,74.156,74.484,74.518,74.825,75.471,76.064,76.807,78.155,78.279,78.981,79.796,81.143,82.309,83.504,84.832,85.591,86.495,87.765,89.215,89.899,91.119,92.022,92.544,94.204,95.145,96.17,97.457,99.228,100.898,102.273,100.681,99.24,99.596,100.282,100.881,102.116,102.96,103.611,104.538,105.384,106.518,106.896,106.611,107.656,107.446,107.477,108.029,107.907,107.693,108.168
"43","35","  Gross investment","B799RG3",16.608,16.979,17.166,17.541,17.862,18.319,18.673,19.14,19.468,19.788,20.002,20.338,20.593,20.755,21.054,21.443,21.862,22.329,22.771,23.364,24.439,25.965,27.579,28.715,29.338,29.516,29.635,29.841,30.013,30.276,30.347,30.55,30.954,31.26,31.687,32.035,32.44,33.083,33.729,34.334,35.043,35.991,37.039,38.084,39.111,40.222,41.53,42.744,43.933,44.971,45.893,46.701,47.353,48.14,48.712,48.849,48.903,48.848,48.894,48.892,48.963,49.153,49.32,49.422,49.703,49.864,50.073,50.378,50.684,51.199,51.667,52.225,52.559,52.985,53.436,53.707,54.136,54.439,54.795,55.077,55.334,55.782,56.179,56.479,56.87,57.353,57.885,58.023,58.131,58.414,58.566,58.428,58.295,58.568,58.704,58.981,59.43,59.794,59.898,60.221,60.688,60.981,61.525,62.029,62.632,63.077,63.427,63.797,64.065,64.121,64.409,64.588,64.77,65.196,65.358,65.789,65.827,65.876,66.287,66.657,66.911,67.402,67.684,68.262,68.811,69.6,70.06,70.474,70.908,71.091,71.31,71.698,72.008,72.402,72.628,72.752,73.355,73.437,73.533,73.733,74.208,75.579,77.627,79.504,80.185,81.705,83.525,84.689,85.213,87.071,88.293,90.386,92.648,93.621,94.538,95.658,96.572,97.348,98.658,100.49,101.132,100.239,99.342,99.287,99.603,100.061,100.407,100.898,101.481,102.462,103.535,104.638,105.412,106.189,106.631,106.945,107.388,107.834,108.314
"44","36","    Structures","B842RG3",12.589,12.894,13.04,13.331,13.589,13.972,14.266,14.626,14.892,15.161,15.337,15.62,15.827,15.957,16.213,16.55,16.905,17.288,17.64,18.146,19.047,20.345,21.677,22.547,23.011,23.099,23.148,23.272,23.383,23.568,23.575,23.704,24.028,24.246,24.573,24.817,25.113,25.624,26.136,26.633,27.148,27.924,28.836,29.721,30.556,31.461,32.556,33.587,34.568,35.39,36.18,36.813,37.369,38.038,38.5,38.578,38.603,38.523,38.524,38.496,38.502,38.682,38.82,38.944,39.149,39.282,39.489,39.768,40.113,40.575,41.004,41.425,41.791,42.214,42.671,42.925,43.304,43.541,43.816,44.038,44.197,44.627,44.983,45.241,45.663,46.112,46.562,46.618,46.593,46.911,47.078,46.866,46.765,47.058,47.236,47.519,47.945,48.314,48.416,48.82,49.263,49.553,50.139,50.791,51.412,51.886,52.323,52.774,53.184,53.398,53.827,54.143,54.473,55.079,55.458,56.125,56.399,56.631,57.252,57.824,58.262,58.954,59.381,60.071,60.732,61.65,62.161,62.707,63.415,63.67,64.008,64.658,65.083,65.63,65.992,66.195,66.984,67.166,67.326,67.596,68.173,69.766,72.212,74.429,75.252,77.121,79.357,80.939,81.591,83.876,85.494,88.032,90.789,92.03,93.267,94.665,95.769,96.646,98.199,100.385,101.268,100.275,99.256,99.202,99.584,100.144,100.593,101.22,101.958,103.148,104.466,105.822,106.704,107.635,108.192,108.642,109.254,109.86,110.469
"45","37","    Equipment","Y070RG3",56.439,56.748,57.152,58.245,58.809,59.144,59.465,61.052,61.606,61.818,62.032,62.305,62.76,63.054,63.222,63.411,63.811,64.641,65.612,66.09,67.589,69.515,72.752,76.741,79.221,80.943,82.23,83.722,84.755,86.028,87.286,88.45,89.394,90.716,92.1,93.741,95.358,97.061,98.818,99.908,102.896,104.903,105.64,107.094,109.281,111.691,114.032,115.885,118.17,120.991,122.252,124.493,125.304,126.6,127.902,128.43,128.496,128.506,128.82,128.819,129.345,129.074,129.214,128.615,129.541,129.834,129.752,130.187,129.752,130.656,131.29,133.31,132.75,132.721,132.548,132.591,133.109,133.788,134.776,135.4,136.61,136.911,137.545,138.18,137.932,138.593,139.84,140.629,141.79,141.434,141.292,142.275,142.299,142.435,142.041,142.152,142.475,142.524,142.496,141.722,142.67,143.074,143.145,141.831,141.822,141.685,141.017,140.703,139.684,138.321,137.373,136.286,135.025,133.621,131.81,130.346,128.445,126.835,125.4,124.069,122.681,121.489,120.48,120.183,119.655,119.244,118.894,118.234,116.425,115.869,115.411,113.571,113.061,112.534,111.525,110.974,110.397,109.536,109.207,109.1,108.816,108.806,108.203,108.268,107.882,107.216,106.616,104.905,104.531,103.822,102.472,102.439,102.329,101.764,100.784,100.403,100.115,100.236,100.47,101.168,100.842,100.179,99.662,99.317,99.304,99.144,98.968,98.602,98.327,98.417,98.586,98.859,99.211,99.387,99.462,99.247,98.776,98.643,98.744
"46","38","    Intellectual property products","Y071RG3",32.237,32.634,33.085,33.494,33.942,34.348,34.761,35.151,35.534,35.896,36.247,36.536,36.876,37.202,37.582,37.93,38.375,39.007,39.789,40.758,42.002,43.164,44.222,45.126,45.845,46.436,46.953,47.437,47.862,48.371,48.877,49.437,49.993,50.614,51.281,51.954,52.627,53.399,54.141,54.914,56.015,57.065,58.346,59.453,60.8,62.199,63.531,64.863,66.388,67.711,68.833,70.032,71.094,72.069,72.929,73.823,74.583,75.298,76.041,76.753,77.66,78.439,79.055,79.533,80.122,80.424,80.735,80.848,80.802,80.901,81.122,81.46,81.917,82.376,82.934,83.526,84.257,84.986,85.566,86.18,86.605,87.105,87.49,87.77,88.157,88.525,88.994,89.545,90.517,90.747,90.861,90.725,89.924,89.691,89.678,89.826,90.477,90.854,91.074,91.255,91.097,91.128,91.367,91.882,92.873,93.513,93.828,93.726,93.488,93.154,92.889,92.67,92.551,92.543,92.205,91.802,91.326,91.316,91.431,91.468,91.713,92.057,92.426,92.792,93.387,94.152,95.173,95.403,95.493,95.726,95.223,95.335,95.185,94.709,94.875,94.887,94.499,94.631,94.442,94.076,94.226,94.35,94.587,94.427,94.78,94.984,95.05,95.204,95.507,95.907,96.235,96.472,96.87,97.28,97.775,98.363,99.218,99.969,100.494,100.467,100.182,99.975,99.74,100.103,100.27,100.646,100.727,101.109,101.482,101.891,102.154,102.278,102.742,103.074,103.099,103.061,103.426,103.42,103.415
