"","Table 5#6#5BM1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"23","13","      Durable goods industries","C42ND0",8505,1438,-6925,6204,2969,-3032,1265,-2,727,7271,1233,4693,2881,3483,3770,-2169,1066,863,-588,2301,5452,3668,5477,-2913,-2717,2621,4022,3069,714,4290,-2814,6153,-78,3416,42,1230,4311,1825,1790,6580,-4164,6977,6535,4992,-262,8786,1719,-1912,3631,-4466,-7423,543,-5385,-1688,-6853,-3053,-6552,-4956,-4442,433,-5185,-1951,2796,4592,2220,-2120,6718,-1660,822,2573,407,-2006,-2383,2501,-3941,254,-2306,-984,381,3926,-8667,3740,-600,6999,6245,-4025,-634,-4523,360,6687,-6323,5780,12260,-5648,2269,-548,160,7213,9253,1064,-429,-2124,2345,7359,-8584,8373,12616,-8471,8400,-2196,-14460,-5052,-4044,672,-2436,8820,7884,456,6168,-18012,6766,4852,-599,-5717,-3740,2097,-7956,-5914,9238,-13705,2293,9181,-1827,5839,10975,-668,1926,2669,-2082,7167,1466,6764,-9585,2357,-7680,-11479,-8680,-4348,-9757,-13846,-2819,-2431,-5567,740,962,1441,3882,6659,8795,2090,6594,2012,9341,7433,-1034,2145,6091,-9789,5100,8724,7560,-432,6324,2292,9144,12876,216,1092,3768,-1128
"24","14","      Nondurable goods industries","C42NN0",322,-846,1152,513,365,1906,-437,1777,524,434,2394,-340,-1867,1261,1267,1416,376,-655,-245,-673,-1218,1770,1345,-2333,1032,-1446,2298,-230,2178,281,2598,3376,11,1487,1199,-1511,1560,1702,-1060,2078,1580,2623,1637,-946,2375,1178,-1344,391,2297,-2796,610,13,-2209,-2373,-3803,-1353,-1432,1005,-2202,956,-559,-8065,1261,-524,-1484,3885,-144,-3771,-16,1726,-6586,-415,-8666,6112,-739,1058,-1739,1138,3333,1942,-2122,-1392,-2252,-225,-2770,2844,1162,-1448,9735,-1800,1560,2690,-3544,-2549,7946,-2666,11738,-1950,-325,2336,-7237,6620,1510,-5784,1577,4295,-1209,5253,6384,3216,4344,-4320,1524,312,-4152,-1872,-2832,2016,-4896,-3828,-10337,-322,-4790,8810,3928,-3554,6047,-9421,13412,-6439,4857,-16005,16056,11169,14977,-963,-15456,52739,-10087,5965,-20393,26796,18812,-30606,-18733,-15774,-2117,-15045,-7343,1887,-15398,-4120,-15462,10525,-14818,-25738,9819,-999,-6392,7774,-8336,-1586,8116,-872,7940,11477,1570,-2615,18900,2604,6036,21348,-1380,-5928,8244,-8076,6588,4260,8544,-9840
"25","15","Retail trade industries","C440",1805,37364,-20451,49200,19759,292,31055,-11128,29074,17071,15927,3456,11356,27950,45324,41162,-26119,-7936,9441,-5808,22562,11643,35880,10184,48397,24939,40272,14292,8084,19850,9285,2393,13626,32045,35800,50229,-9241,10816,22359,26314,46774,32624,22650,34325,6114,30811,15655,288,-12634,-38928,-14180,12389,12915,-4996,8109,21833,1844,-108946,-53006,51801,40601,13668,2883,7275,37245,28904,14305,-8782,45331,23097,54014,17987,20151,21424,31701,20238,-8771,12797,20903,-29779,59644,14572,38119,1797,15763,27829,48895,58037,12776,15899,6701,27875,1892,27534,23179,11882,18574,29836,-4400,-14221,-3235,-15949,-88975,27938,44575,28898,14526,17848,6348,-26633,55543,-37868,43870,18732,-6742,30644,18190,-32893,8598,51978,-25802,20978,-21930,20444,200,8079,25901,37651,-21893,28291,-23360,374,-16804,-38064,-51913,-34211,-14919,-13235,56330,-81400,-30428,-17194,-54875,-53264,-94079,-44161,-36199,-27570,-96252,-69141,-75115,-116086,32094,-22680,-42242,-2037,24641,9584,23737,38795,28841,37744,15841,49678,28635,-29879,-37199,20944,3912,-30336,24240,-5808,-39144,-25752,-9600,-6132,-28188,-38748,-3528,-18288
"26","16","  Motor vehicle dealers","C4410",-2340,13102,-8553,27409,786,-7332,18209,243,-2170,16818,13193,-7649,1835,11419,16364,29339,-6741,-41343,-7112,-16698,11294,10530,16731,-3634,29710,19075,25361,-1146,554,2313,7294,-5814,6120,25485,16923,23403,3300,-8199,10982,25062,18022,27509,25627,11143,10666,11264,4964,2219,-16962,-41759,-20492,12482,13154,2119,16689,844,8366,-115893,-29151,58656,31529,17069,10498,5174,23113,27107,-6039,-10156,24927,33701,48282,2336,20654,10447,19769,16109,7377,12004,6468,-19814,36124,6957,31018,6536,15394,10025,17875,36738,-509,3650,1989,6668,-2935,17096,-4207,-12918,-1098,23498,-12807,-14516,-13192,-29217,-74688,10413,41833,37108,-389,-401,-4863,-13735,22299,-29897,26037,4563,-9859,666,12463,-42523,-4759,35192,-20818,1226,-7280,25742,-23346,6558,33593,33140,-11309,15786,4320,-23269,-14408,-16168,-9031,-35904,4513,3935,46933,-61970,-32078,-18453,-6574,-9085,-75210,-31739,-25506,-3066,-68810,-58049,-61242,-97002,59289,-15605,-18109,5402,35701,16779,-9348,21440,15575,31613,13839,37796,11268,-8657,-40026,-7069,-4116,-20628,-4008,420,-44988,-29544,5736,-18660,-23100,-26808,-4284,-21516
"27","17","  Food and beverage stores","C4450",-553,361,1136,-630,1886,76,-662,3492,1252,-1692,1676,-2213,2057,-1329,2199,2835,-379,2883,1735,-922,-1224,4,3582,-144,3563,523,1424,-1052,3722,1902,1605,2230,2326,316,330,1459,-635,289,121,-331,1340,-6679,-1105,278,1986,-284,-3295,1588,1149,1302,116,654,-21,1145,-345,8,379,1885,214,-1584,-1287,803,49,-138,160,39,-1307,1729,4341,-7873,1329,4027,-3108,-167,756,-3198,-2864,-2712,1884,-460,2673,-5346,-1741,-21,937,-922,1187,540,2085,164,1228,-407,268,-550,1604,-1358,2772,-460,-1333,321,-459,729,-1509,1129,-5364,3132,775,-981,2301,1860,1080,1291,1827,493,616,141,1299,40,-239,368,-1270,-2145,1527,-4801,5439,3858,1891,4590,374,2726,-719,1560,-1717,550,-609,1906,-556,172,-1910,-442,204,1894,-2242,-2229,5636,985,928,-352,928,-3042,1235,-2075,620,242,-190,-8693,3345,-1597,1474,-3708,-670,742,-577,-17,680,-1899,-1015,1132,1776,-2580,-288,5592,1224,1188,2280,1392,1452,-1776,-108,948
"28","18","  General merchandise stores","C4520",-4162,6139,-3139,7249,36,2234,-901,-5429,2763,-4775,-1747,3435,602,-876,-281,314,-11015,10203,3792,-202,3841,225,-1104,-1191,47,2169,6851,5459,1025,-53,1826,3036,1130,-3825,11066,3596,3165,3073,-5100,637,3516,3600,-4234,1149,555,5520,-970,1569,3593,753,11150,-4211,5544,845,-6936,10936,-4436,-23,-8422,-6874,-1913,3015,-6471,-2095,6282,-5217,10422,1824,-870,-329,10107,2226,-852,-2738,5266,11073,-7813,-377,3373,-6210,8329,7511,-7849,2058,3228,5498,9392,694,1840,6864,-2345,5360,1124,2986,11494,7575,627,1691,14920,-1285,1798,-669,-4539,10397,934,-4148,1180,5613,-5857,-6338,5405,-14590,9113,1472,10571,7781,1037,8498,3271,-396,1922,3324,-2275,1263,2533,-2170,-7415,-409,-2539,2501,-11997,12813,5325,-4914,-19941,5832,-4051,-6985,1429,-5863,7189,1361,-6006,-13552,-4476,-9131,8270,-7840,-4133,2849,-5350,-5341,-2518,189,-4366,-2085,-6307,-3694,20069,6245,4029,4092,4754,5476,4764,-5232,174,9826,-468,1836,11268,-4476,3312,-1968,-3948,1596,1704,1548,588,11832
"29","19","  Other retail stores","C44Y0",8860,17762,-9896,15172,17050,5314,14410,-9434,27229,6720,2805,9884,6863,18736,27041,8673,-7985,20321,11025,12015,8651,884,16671,15153,15078,3171,6635,11031,2782,15688,-1440,2941,4050,10069,7481,21771,-15071,15653,16356,945,23896,8194,2362,21756,-7092,14311,14955,-5087,-413,776,-4954,3464,-5763,-9106,-1299,10045,-2465,5085,-15646,1602,12272,-7219,-1192,4334,7691,6976,11230,-2179,16933,-2402,-5704,9397,3458,13883,5910,-3745,-5471,3882,9178,-3296,12518,5451,16692,-6776,-3796,13228,20440,20064,9359,5221,5829,16253,3436,8002,14288,18582,16272,5108,-5179,1259,8618,13208,-8238,5998,7171,-7195,12961,13617,14767,-8419,26760,5328,6894,12205,-8070,22057,3392,1092,10325,16814,-5635,18572,-13901,-1760,15574,-167,-2168,329,-8419,7277,-14965,9270,-6003,-17532,-22331,-6044,-14825,-10357,9879,-13124,-5744,-1997,-40053,-28398,-20028,-4277,-19891,-16312,-24237,-10899,-9759,-11667,-25296,-7507,-19576,3340,-8098,-1903,11543,14818,9907,1297,-2175,6422,11923,-14090,3669,17055,6720,-8964,17268,-7344,1308,4572,-13668,9540,-8244,-11712,276,-9552
"30","20","Other industries","COTH0",8005,8141,8399,4377,4566,4732,3370,3365,3301,5367,5143,4841,3332,3441,3218,5610,5466,5433,5333,5171,5241,8521,8120,7951,7519,7285,7146,8600,8661,8775,6789,6777,7019,5298,5490,5662,10211,10917,11431,12761,13495,14130,17982,18509,19073,6750,7026,7070,1595,1747,1900,-849,-797,-807,-715,-763,-812,-1498,-1582,-1692,-2902,-3179,-3271,1365,1242,1160,-1304,-1117,-1103,-1799,-1447,-1325,-599,-549,-489,3625,3602,3745,1114,1127,1127,1778,1801,1847,5989,6044,6089,5592,5616,5601,6796,6683,6431,6102,6050,5984,2898,2406,2350,2811,2629,2338,-90,81,306,3635,3933,4242,2733,3150,3307,6675,7002,7479,4289,4704,5202,3625,4130,4614,5763,5801,5749,5831,5837,5885,2925,2930,3000,2942,3169,3269,806,922,985,-1148,-1038,-972,581,662,610,5372,5229,5165,-5216,-5142,-5085,-7392,-7644,-7821,-4702,-4734,-4750,-3721,-3766,-3763,954,933,908,-295,-311,-358,1232,1152,1083,1410,1404,1401,4324,4324,4324,1712,1712,1712,-424,-424,-424,3472,3472,3472
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
