"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184"
"28","20","  Other transportation","B683RG3",23.71,23.999,24.254,24.493,24.3,24.814,25.311,25.782,27.167,26.99,26.818,26.61,25.293,25.757,26.16,26.525,25.125,26.639,28.15,29.664,32.871,33.246,33.598,33.914,33.813,34.392,34.981,35.597,36.524,36.924,37.321,37.687,37.345,38.182,38.991,39.807,40.269,41.247,42.181,43.1,42.42,44.37,46.309,48.246,51.645,52.656,53.669,54.684,56.706,57.026,57.336,57.63,56.984,57.998,58.915,59.772,63.794,62.581,61.351,59.967,55.101,55.848,56.569,57.281,56.855,58.084,59.188,60.227,63.434,63.003,62.631,62.236,61.116,61.981,62.657,62.557,61.649,61.642,61.835,62.184,63.84,64.785,64.967,66.035,67.929,65.87,68.516,75.696,72.388,69.469,70.775,71.073,69.56,70.681,71.987,72.776,72.109,72.815,72.232,72.069,71.222,71.263,72.949,72.478,72.961,74.029,73.327,72.777,74.312,75.012,75.352,76.475,76.271,75.428,74.846,75.405,73.023,73.159,73.037,72.354,70.781,72.856,74.348,74.754,76.778,78.931,81.335,82.207,80.086,78.996,79.429,77.843,76.45,78.014,78.814,79.484,81.156,79.66,80.768,80.729,85.439,86.178,86.941,88.794,89.747,90.741,92.026,92.972,93.764,94.653,95.418,95.916,96.457,96.686,97.479,99.562,102.062,105.116,108.788,106.448,101.42,98.904,99.289,100.387,101.933,103.288,104.664,105.513,108.33,111.691,111.75,111.281,112.642,113.899,113.162,114.484,114.685,114.191,114.048,114.449,115.802
"29","21","  Royalties and license fees","B684RG3",18.146,18.362,18.614,18.831,19.094,19.392,19.552,19.776,20.147,20.466,20.72,20.943,21.145,21.316,21.518,21.815,22.175,22.594,22.996,23.441,24.035,24.665,25.457,26.08,26.632,27.053,27.56,28.059,28.462,28.805,29.257,29.804,30.396,30.981,31.495,32.097,32.602,33.393,34.032,34.743,35.474,36.328,37.307,38.215,39.288,40.175,41.117,42.22,43.347,44.182,44.918,45.853,46.453,46.832,47.404,47.945,48.357,48.975,49.552,49.906,50.582,51.138,51.553,51.981,52.458,52.934,53.325,53.904,54.235,54.414,54.915,55.334,55.919,56.415,56.928,57.445,57.891,58.547,59.201,59.836,60.563,61.315,61.784,62.343,63.204,63.867,64.666,65.604,66.152,66.52,66.99,67.476,68.031,68.537,68.925,69.354,69.89,70.288,70.536,70.92,71.333,71.724,72.261,72.632,73.153,73.592,73.935,74.305,74.806,75.114,75.56,76.006,76.436,76.61,76.798,77.047,77.085,77.213,77.425,77.651,77.93,78.338,78.7,79.13,79.862,80.3,80.737,81.167,81.687,82.16,82.37,82.475,82.708,83.239,83.602,84.122,84.937,84.991,85.475,85.914,86.772,87.545,88.244,89.074,89.876,90.577,91.685,92.617,93.256,94.069,94.736,94.965,96.007,96.763,97.245,98.14,99.156,100.244,101.269,100.128,99.544,99.606,100.06,100.657,101.1,101.261,101.601,102.205,103.063,103.964,104.556,104.786,105.444,105.634,106.031,106.45,106.775,106.838,107.334,107.766,108.137
"30","22","  Other private services","B720RG3",24.845,25.174,25.532,25.831,26.21,26.604,26.812,27.129,27.625,28.071,28.43,28.752,29.028,29.199,29.421,29.714,30.048,30.465,30.852,31.266,31.829,32.49,33.339,34.009,34.613,35.023,35.55,36.085,36.524,37.011,37.479,38.042,38.645,39.297,39.755,40.417,40.869,41.687,42.325,42.407,42.757,43.53,44.439,46.084,47.203,48.289,49.444,50.47,51.321,52.155,52.553,53.645,54.519,55.312,56.41,57.214,57.852,58.625,59.328,59.876,60.621,61.233,61.655,62.354,63.093,63.798,64.362,65.026,65.085,65.632,66.541,67.288,68.149,68.831,69.243,69.421,69.46,69.656,69.965,70.353,70.539,71.007,71.396,72.07,72.999,73.739,74.7,75.742,76.506,77.048,77.667,78.252,78.734,79.198,79.679,80.3,80.88,81.026,81.105,81.451,81.701,82.008,82.463,82.788,83.215,83.668,84.429,84.501,85.15,85.482,85.756,86.193,86.533,86.71,86.622,86.899,86.835,86.782,86.556,86.179,85.749,85.592,84.679,83.899,85,85.22,85.786,84.955,85.298,84.586,84.647,84.288,84.228,84.801,84.746,84.665,85.354,85.753,86.497,86.398,87.102,87.879,88.571,89.21,90.461,90.924,91.593,92.231,93.705,94.315,95.477,95.463,97.021,97.245,98.352,99.395,100.513,100.736,101.835,100.324,99.45,98.765,100.248,101.537,101.633,102.213,102.005,102.929,104.335,105.389,105.707,105.015,106.093,106.776,106.869,107.784,108.359,109.12,109.827,110.82,111.581
"31","23","  Other","B980RG3",44.992,45.815,46.81,47.395,47.551,47.96,48.383,48.544,49.278,49.721,49.939,50.33,51.407,51.641,51.644,51.525,51.203,52.172,53.327,55.004,57.716,59.858,62.193,63.604,64.565,64.812,64.791,64.512,64.323,63.958,63.667,64.389,64.938,65.951,67.269,68.563,70.293,72.201,74.042,76.005,77.71,79.865,82.125,84.546,87.638,90.371,92.915,95.233,96.967,98.636,100.274,102.134,105.39,106.799,107.916,108.047,105.732,105.55,105.135,104.882,105.785,106.708,108.672,111.246,113.781,109.956,112.173,112.882,116.106,113.251,108.836,107.531,102.175,100.915,100.552,101.001,102.045,102.613,102.703,102.338,101.656,101.173,100.396,99.593,99.198,97.632,95.35,92.401,88.861,87.077,86.478,87.372,89.471,91.378,93.153,94.707,95.906,97.104,98.341,99.83,100.922,101.737,102.075,101.545,100.284,99.4,98.562,98.235,98.698,99.152,99.716,100.695,101.511,101.652,101.576,101.572,100.453,99.552,98.256,96.634,94.644,94.688,95.196,96.238,98.777,100.607,101.962,102.135,100.817,100.032,99.881,99.257,99.138,100.041,100.787,101.513,102.614,102.657,103.749,104.32,106.519,107.409,108.305,109.636,111.552,112.533,113.935,115.425,117.056,118.485,119.612,119.968,120.552,121.201,122.299,124.044,126.141,125.886,123.381,116.704,102.897,99.215,98.212,99.676,103.38,106.207,107.353,107.482,106.37,104.535,106.614,107.305,108.578,109.68,111.101,112.334,111.957,110.199,110.624,111.829,111.09
"32","24","    Imports of goods and services","B021RG3",20.443,20.532,20.681,21.214,21.438,21.683,22.214,22.437,23.002,23.082,23.365,23.713,24.115,24.739,25.138,25.695,26.45,28.533,29.892,32.14,37.237,41.506,43.636,45.032,45.741,45.86,44.839,44.908,45.642,46.34,47.172,47.655,49.326,50.692,51.363,51.887,52.756,54.035,54.934,55.897,58.08,61.099,65.657,70.003,75.841,78.59,80.793,82.199,84.305,84.811,82.598,82.771,82.525,81.076,80.11,79.495,77.824,77.824,77.972,77.475,77.706,78.138,76.751,75.813,73.999,74.32,74.255,75.704,75.844,73.495,74.005,74.924,76.858,78.873,79.68,80.921,82.067,83.525,82.6,83.27,84.602,85.532,84.068,84.505,85.812,84.298,86.745,91.561,88.759,86.314,85.02,85.416,85.82,86.158,87.254,86.55,86.026,86.324,85.56,85.22,85.178,85.983,87.428,87.761,88.488,89.759,89.197,88.395,88.206,87.748,86.86,86.822,86.158,84.365,83.81,83.148,81.098,80.11,79.074,79.031,78.809,79.808,80.812,81.985,83.543,83.675,84.24,84.571,84.293,82.669,81.467,79.567,79.425,81.152,81.706,82.109,84.52,83.366,83.816,84.236,85.997,87.395,88.474,90.468,91.153,92.382,94.505,96.201,96.486,97.523,98.546,97.408,97.872,99.557,101.323,105.448,109.026,114.682,117.819,105.253,96.389,97.913,101.281,104.417,106.052,105.567,104.985,107.426,111.811,115.233,115.132,114.915,116.117,115.038,113.57,114.725,114.873,113.411,113.48,113.528,114.332
"33","25","Imports of goods \1\","B255RG3",20.999,21.081,21.201,21.917,22.169,22.392,23.081,23.346,23.761,23.7,23.957,24.233,24.84,25.599,25.998,26.544,27.355,29.567,30.915,33.545,39.749,45.031,47.641,49.215,50.039,49.989,48.471,48.352,49.292,50.19,51.086,51.546,53.534,55.111,55.778,56.21,57.183,58.558,59.299,60.306,62.855,66.324,71.643,76.694,83.441,86.747,89.147,90.846,93.518,94.076,91.065,91.017,90.608,88.941,87.979,87.218,85.039,85.059,85.23,84.588,84.813,85.389,84.121,83.255,81.07,81.046,80.405,81.771,81.214,77.95,78.377,79.488,82.305,84.756,85.555,87.021,88.029,89.742,88.629,89.416,91.387,92.659,90.712,91.015,92.231,89.919,92.474,97.867,94.141,91.501,89.716,90.089,90.4,90.662,91.496,90.892,90.258,90.438,89.607,89.085,89.001,89.974,91.384,91.648,92.769,93.796,93.028,92.064,91.726,91.053,89.827,89.631,88.917,86.7,86.19,85.467,83.331,81.963,80.655,80.348,80.061,81.031,82.099,83.494,85.35,85.612,86.246,86.685,86.262,84.376,82.852,80.638,80.394,82.192,82.589,83.102,85.693,83.716,84.122,84.619,86.465,87.979,89.053,91.248,91.893,93.184,95.554,97.657,97.692,98.744,99.829,98.382,98.815,100.533,102.354,107.047,111.1,117.319,120.834,106.192,95.714,97.662,101.593,105.031,106.955,106.315,105.523,108.173,113.301,117.215,117.137,117.059,118.429,117.084,115.316,116.592,116.779,115.028,115.14,114.978,115.865
"34","26","  Foods, feeds, and beverages","B647RG3",21.461,21.596,21.662,22.644,23.359,24.008,24.331,24.327,24.193,23.995,23.993,24.123,24.384,25.439,26.24,27.11,28.188,30.627,32.576,35.015,35.247,37.771,41.01,44.31,44.431,43.137,38.271,37.49,39.909,42.217,44.333,45.387,50.177,55.836,52.843,51.329,53.457,53.211,52.487,52.741,55.674,56.451,59.396,63.662,67.036,68.684,71.059,71.462,71.332,69.102,65.546,61.328,62.702,61.711,60.648,61.904,60.325,61.076,61.777,61.915,62.458,63.929,63.753,61.345,60.438,59.499,57.942,62.835,66.685,63.858,66.464,65.343,63.052,64.567,65.35,67.537,68.25,68.15,67.706,68.475,69.12,68.07,65.024,63.988,68.145,67.061,67.917,68.802,70.373,71.137,70.529,70.57,72.942,69.85,69.361,69.884,68.623,69.47,71.107,72.175,72.167,74.299,78.772,80.397,80.969,79.78,80.167,78.734,77.152,79.735,77.757,78.239,78.625,79.858,78.975,78.228,77.073,77.022,75.632,75.944,74.526,74.304,73.182,73.593,73.669,73.703,73.125,72.152,72.466,71.141,70.362,70.496,70.1,71.4,72.594,73.693,74.636,74.71,75.333,75.487,76.441,78.554,79.227,81.222,82.006,83.413,83.64,85.158,84.889,85.06,87.621,89.133,89.585,91.383,94.641,97.895,98.251,103.383,106.992,103.155,98.478,98.856,99.866,102.801,104.302,107.207,109.561,115.468,121.757,127.749,126.468,125.004,125.391,124.922,123.139,122.533,122.715,123.975,125.39,126.246,127.963
"35","27","  Industrial supplies and materials, except petroleum and products","B649RG3",18.926,18.927,18.916,19.465,19.583,19.706,20.015,19.885,19.94,19.947,20.221,20.529,20.896,21.499,21.885,22.181,23.168,24.948,26.383,28.665,31.93,36.511,39.451,41.21,41.247,39.801,37.661,35.694,36.712,38.051,38.828,39.644,41.019,41.729,41.981,42.448,43.398,44.339,45.355,46.437,49.248,51.849,54.124,58.737,62.944,64.344,65.094,65.435,65.788,65.845,64.974,64.467,64.98,63.646,61.77,60.707,60.022,59.788,59.896,58.317,59.209,59.7,58.593,57.808,55.717,55.555,55.365,54.664,55.133,55.253,55.776,55.47,56.549,58.307,60.05,61.883,64.576,68.033,68.57,70.496,72.179,72.321,71.027,70.13,69.555,69.662,69.852,70.125,70.579,69.367,67.864,67.429,67.931,68.009,68.355,68.441,68.052,67.959,67.207,67.365,67.979,68.544,69.905,72.266,74.305,75.678,76.649,76.611,75.631,74.696,74.107,74.503,75.434,74.15,74.586,74.434,72.518,71.679,70.289,69.373,69.21,69.568,71.225,72.32,74.045,76.53,78.724,80.611,83.315,79.043,74.276,70.529,69.558,71.864,72.643,73.36,77.875,76.843,78.125,78.497,81.909,86.004,88.542,90.481,91.603,92.875,95.639,102.539,98.424,98.668,102.11,102.547,102.635,105.371,106.097,110.145,114.778,126.043,131.462,117.841,100.932,95.907,98.055,105.107,109.873,110.716,109.482,112.826,119.731,123.228,124.412,120.699,117.837,118.062,116.182,118.28,119.47,118.191,113.113,114.326,119.058
"36","28","    Durable goods","B820RG3",17.517,17.518,17.501,18.009,18.089,18.212,18.487,18.39,18.444,18.456,18.707,19.005,19.359,19.947,20.345,20.615,21.553,23.315,24.643,26.685,29.88,34.147,36.84,38.527,38.592,37.253,35.252,33.345,34.257,35.473,36.14,36.927,38.216,38.921,39.151,39.64,40.531,41.403,42.387,43.401,46.048,48.46,50.608,54.951,59.031,60.322,60.972,61.282,61.694,61.731,60.888,60.421,60.929,59.647,57.92,56.935,56.219,55.988,56.078,54.592,55.472,55.963,54.926,54.126,52.157,52.588,52.333,52.046,52.908,53.457,54.469,54.193,55.231,57.129,59.398,61.103,63.972,69.378,70.005,72.913,74.437,74.3,72.448,70.778,69.086,70.02,70.591,69.894,69.15,68.457,67.262,66.585,67.38,68.186,68.534,67.688,68.543,68.336,67.242,67.902,68.785,69.455,70.516,72.921,74.923,75.449,76.779,76.306,74.75,75.027,74.737,74.626,75.657,76.456,76.74,75.678,74.222,73.392,71.995,70.591,71.192,72.079,73.71,73.785,76.568,77.418,77.007,75.955,76.257,75.672,73.774,70.94,70.592,71.572,71.805,71.881,71.78,71.387,73.832,76.106,80.052,86.247,88.449,89.813,91.499,90.754,89.668,91.897,93.806,98.344,102.13,104.077,103.324,106.348,108.288,110.674,111.76,122.298,126.021,112.743,97.07,94.293,100.548,108.089,111.398,114.894,112.314,117.719,124.386,126.829,127.487,123.029,121.614,119.9,117.807,119.607,119.948,116.198,114.629,116.028,115.891
"37","29","    Nondurable goods","B696RG3",20.77,20.77,20.772,21.375,21.557,21.676,22.035,21.85,21.904,21.902,22.207,22.519,22.896,23.5,23.849,24.18,25.215,26.94,28.517,31.16,34.403,39.374,42.658,44.475,44.458,42.876,40.569,38.554,39.718,41.222,42.154,42.999,44.477,45.175,45.458,45.87,46.891,47.92,48.956,50.12,53.115,55.957,58.377,63.306,67.604,69.143,70.025,70.404,70.668,70.753,69.853,69.295,69.806,68.403,66.353,65.201,64.551,64.311,64.439,62.751,63.658,64.147,62.954,62.189,59.947,59.066,58.951,57.759,57.757,57.345,57.275,56.935,58.067,59.674,60.842,62.808,65.297,66.694,67.142,68.08,69.948,70.381,69.643,69.51,70.018,69.324,69.134,70.338,71.921,70.218,68.432,68.216,68.461,67.87,68.22,69.146,67.627,67.638,67.198,66.876,67.227,67.691,69.357,71.671,73.738,75.98,76.601,76.989,76.59,74.43,73.536,74.45,75.272,71.882,72.466,73.233,70.833,69.981,68.597,68.23,67.211,66.999,68.702,70.903,71.494,75.796,80.783,85.769,90.957,82.818,75.02,70.29,68.635,72.372,73.724,75.12,84.625,82.888,82.948,81.258,84.044,85.792,88.662,91.228,91.598,95.261,102.626,115.074,103.797,98.669,101.805,100.373,101.469,103.857,103.243,109.123,117.717,129.786,137.02,122.973,104.67,97.373,95.682,102.275,108.415,106.752,106.813,108.187,115.297,119.829,121.514,118.507,114.129,116.465,114.795,117.198,119.304,120.739,111.913,112.933,123.068
"38","30","  Petroleum and products","B648RG3",4.174,4.174,4.113,4.112,4.174,4.174,4.236,4.36,4.453,4.576,4.7,4.7,4.7,4.824,4.824,4.917,5.102,5.38,5.968,7.823,16.636,21.15,21.212,20.996,20.934,20.748,20.562,21.027,21.799,21.954,22.078,22.48,23.469,23.995,23.995,24.18,23.992,23.872,23.84,23.935,25.139,29.406,37.788,42.548,50.495,55.193,56.304,58.071,62.428,64.465,60.205,58.687,57.978,55.347,56.617,55.996,50.096,50.341,51.636,50.868,50.87,51.425,50.466,49.968,48.359,48.823,46.565,47.434,38.992,23.871,20.686,23.037,28.356,31.413,32.621,30.89,27.364,27.274,25.57,23.223,27.81,32.992,30.187,31.814,35.063,28.637,35.941,51.91,36.372,30.786,28.555,28.519,27.45,30.42,31.286,28.902,29.637,29.193,25.78,23.2,22.698,24.725,27.32,25.413,28.318,29.511,27.097,26.8,30.117,32.916,33.376,37.042,37.091,30.593,29.765,29.266,24.458,21.448,19.368,18.851,18.33,25.124,30.897,37.119,45.874,44.726,46.9,49.277,44.955,41.129,38.909,32.157,32.83,40.892,42.05,44.852,54.809,45.176,46.031,48.477,54.542,58.196,61.927,71.059,71.746,77.286,89.343,95.523,99.658,106.061,107.207,96.516,98.49,106.848,115.257,139.322,159.121,182.048,197.016,119.03,75.707,90.855,111.45,125.986,134.963,129.191,124.682,137.644,162.823,181.173,177.514,179.721,190.739,179.824,169.024,176.471,176.975,165.671,174.849,171.311,171.198
"39","31","  Capital goods, except automotive","B650RG3",108.211,107.985,107.745,107.698,109.479,112.743,129.398,130.293,139.256,131.424,132.666,126.732,132.922,136.93,146.703,149.806,153.334,165.35,160.046,162.266,164.308,175.866,184.834,189.806,179.715,202.674,198.665,197.528,193.172,196.591,197.47,189.632,198.795,200.582,219.653,209.652,207.145,227.222,229.827,221.316,229.336,232.515,226.328,234.824,243.228,252.055,253.194,256.976,258.639,252.035,245.097,247.593,244.885,242.394,235.978,231.259,230.523,226.682,221.381,219.097,216.471,210.943,204.271,197.457,188.08,185.797,186.024,186.954,189.543,192.189,195.45,195.648,198.508,200.807,197.487,203.584,208.522,211.298,205.933,207.95,207.012,204.868,201.061,196.841,194.736,193.398,193.789,194.887,194.952,189.723,184.071,183.201,182.965,179.811,180.585,179.134,176.642,175.966,176.123,174.81,173.728,173.664,173.232,172.396,171.437,172.023,168.846,163.706,158.136,150.694,144.415,138.25,134.132,131.853,130.038,127.231,123.992,121.598,119.625,118.916,118.317,116.08,114.37,114.083,113.756,113.451,113.014,112.136,111.583,110.357,109.153,107.977,106.828,106.463,106.148,105.295,105.051,104.962,104.904,104.237,104.065,103.511,103.15,102.98,103.116,103.31,102.522,101.941,101.809,101.705,101.895,102.006,101.732,101.301,101.438,101.18,101.121,102.323,102.514,101.673,100.491,99.841,99.894,99.774,99.361,99.143,99.105,99.378,99.538,99.622,99.502,99.204,99.899,99.712,99.626,99.438,99.237,98.706,98.465,98.496,98.396
"40","32","    Civilian aircraft, engines, and parts","B932RG3",13.971,14.116,14.287,14.537,14.675,14.949,15.135,15.343,15.49,15.66,15.703,15.806,15.847,15.824,15.957,16.224,16.349,16.465,16.724,17.007,17.644,18.357,18.874,19.181,19.311,19.404,19.746,20.252,21.046,21.818,22.486,23.158,23.639,24.073,24.554,24.986,25.365,25.742,26.38,27.094,27.881,28.696,29.573,30.491,31.345,32.31,33.2,34.019,34.61,35.309,36.081,37.037,38.15,38.839,39.397,40.091,40.628,41.011,41.328,41.662,41.909,42.102,42.296,42.586,42.921,43.142,43.34,43.601,43.509,43.869,44.04,44.44,42.424,42.898,43.128,43.312,43.571,44.371,44.68,45.11,45.738,46.381,46.785,47.043,47.564,48.744,49.271,49.711,52.357,54.451,55.075,55.122,55.031,55.323,55.856,56.107,56.601,57.192,57.385,57.701,58.542,58.861,59.037,59.287,59.86,60.278,60.469,60.922,61.969,62.836,63.543,63.776,64.904,65.136,65.647,65.934,66.281,66.429,66.347,67.02,67.525,67.565,67.667,68.08,68.7,69.753,70.636,71.349,71.901,72.744,73.31,73.613,73.828,74.005,74.781,75.036,75.267,75.75,76.702,77.241,77.292,78.195,79.304,80.24,80.869,81.3,82.086,82.748,83.746,84.538,85.205,86.344,87.332,87.703,90.362,91.815,91.754,94.155,95.355,97.279,98.311,99.392,100.6,101.697,102.047,101.987,102.978,103.617,104.555,106.09,106.845,109.252,111.271,111.877,112.94,113.216,113.662,113.827,114.834,115.063,115.254
"41","33","    Computers, peripherals, and parts","B852RG3",12219.675,11514.312,11076.786,11282.615,10701.984,10002.2,10003.174,9558.14,9153.881,8808.872,8284.542,7982.396,7578.083,7639.194,7223.199,7171.037,7145.125,6911.769,6503.968,6159.945,5711.384,5362.973,5055.039,4895.662,4909.744,4865.201,4800.538,4644.928,4461.202,4228.511,4065.949,3938.418,3829.552,3680.375,3537.731,3387.284,3237.684,3104.606,3006.089,2854.671,2798.774,2718.744,2606.129,2452.226,2305.233,2159.249,2039.444,1956.58,1964.484,1954.899,1950.535,1922.491,1889.265,1809.326,1765.664,1731.797,1617.489,1530.55,1452.774,1393.083,1319.794,1246.597,1196.524,1160.786,1150.163,1128.638,1082.951,1018.152,955.439,932.017,916.895,898.304,841.839,791.172,743.169,741.122,750.731,746.52,729.014,718.008,700.227,688.923,675.802,661.343,653.638,650.618,648.861,636.444,609.728,585.83,555.695,536.311,524.613,509.328,494.832,483.625,476.252,458.801,446.085,430.927,425.306,419.414,408.099,399.018,391.793,382.914,376.098,362.828,347.557,327.818,316.055,308.001,297.331,286.778,276.375,262.483,248.126,234.925,228.482,219.409,214.131,204.184,197.158,196.078,195.36,191.512,190.619,186.572,183.31,176.596,169.772,163.296,162.024,161.464,159.189,155.546,152.652,150.316,147.994,145.021,143.756,141.055,137.567,134.783,132.226,130.489,126.785,123.796,121.563,119.232,117.715,116.879,113.991,112.011,112.041,111.136,108.218,107.384,105.052,103.125,100.941,99.951,99.995,99.113,98.54,98.472,98.055,97.26,95.156,93.783,92.483,91.485,91.957,91.496,91.763,91.32,91.14,91.29,91.154,90.88,90.302
"42","34","    Other","B853RG3",64.194,64.141,64.038,63.874,65.144,67.46,78.538,79.308,85.615,80.389,81.491,77.556,81.988,84.741,91.855,93.951,96.452,105.179,101.557,103.286,104.81,113.121,119.654,123.237,115.928,132.515,129.519,128.702,125.585,128.134,128.852,123.376,129.951,131.391,145.306,138.231,136.629,151.626,153.638,147.615,153.473,155.832,151.331,157.902,164.498,171.455,172.405,175.4,176.33,170.636,164.762,166.392,163.836,162.041,157.042,153.199,153.556,151.422,148.143,147.128,146.18,142.885,138.181,133.012,125.134,123.488,124.496,126.609,130.486,133.419,136.816,137.454,142.722,146.777,145.556,151.7,156.124,158.893,154.258,156.744,156.555,154.759,151.423,147.769,145.821,144.183,144.519,146.298,147.163,142.498,138.398,138.984,139.709,137.395,139.495,138.861,136.593,137.533,139.104,139.256,138.454,139.021,139.874,140.001,139.693,141.425,138.575,134.267,129.657,123.455,117.463,111.148,107.561,106.369,105.697,104.407,102.704,101.939,100.569,101.212,101.379,100.468,99.638,99.399,99.003,99.198,98.664,98.204,98.012,97.574,97.289,97.071,95.74,95.364,95.372,95.039,95.363,95.734,96.084,95.828,95.904,95.724,96,96.39,97.19,97.866,97.68,97.628,97.958,98.386,99.015,99.284,99.648,99.589,99.434,99.147,99.938,101.616,102.479,101.675,100.574,99.845,99.765,99.816,99.367,99.066,99.085,99.743,100.662,101.155,101.405,101.106,101.74,101.565,101.247,101.095,100.819,99.987,99.584,99.698,99.726
"43","35","  Automotive vehicles, engines, and parts","B651RG3",14.428,14.503,14.431,15.953,15.951,15.805,16.602,16.819,17.545,17.69,17.547,18.274,18.929,19.219,19.58,20.302,20.659,22.676,23.09,23.639,22.23,23.659,25.546,26.96,29.572,29.915,30.301,30.802,30.761,31.1,32.035,32.479,33.305,33.393,34.994,35.928,38.153,40.307,42.18,43.843,46.313,45.013,44.071,45.514,46.667,45.796,49.199,52.108,53.858,54.428,54.019,57.285,57.2,56.988,56.117,56.729,57.841,58.081,57.865,59.017,58.897,59.719,59.447,59.859,59.995,60.361,60.639,62.842,65.403,67.133,68.392,69.967,70.942,72.024,72.026,73.062,74.725,76.032,76.237,78.103,78.036,77.468,76.974,78.631,78.249,77.5,78.044,79.744,80.944,81.3,81.118,82.428,82.613,82.377,83.069,83.577,82.955,83.883,84.342,85.556,85.958,86.441,86.966,88.256,88.353,89.491,89.851,90.187,90.048,89.939,90.1,90.096,90.083,89.933,90.291,90.61,90.604,90.409,90.022,90.354,90.694,90.936,91.078,91.182,91.326,92.144,92.298,92.176,92.281,91.979,91.959,92.068,92.22,92.239,92.443,92.53,92.68,92.776,92.793,93.175,93.304,94.197,94.596,95.089,95.325,95.372,95.539,95.504,95.485,95.618,95.993,96.17,96.311,96.358,96.717,97.69,98.018,99.025,99.475,99.661,99.68,99.497,100.175,100.647,100.37,100.259,100.636,101.226,101.879,103.981,104.412,104.614,105.096,105.632,105.782,106.355,106.499,105.427,104.616,104.79,105.203
"44","36","  Consumer goods, except automotive","B652RG3",24.417,24.743,25.813,25.968,26.214,26.546,26.595,27.791,28.216,28.326,29.129,29.689,30.607,31.857,31.182,31.645,32.211,34.898,36.66,37.983,40.243,42.305,45.652,47.487,51.926,52.009,51.4,52.824,52.503,52.043,52.725,52.34,52.312,54.807,55.371,57.936,58.984,59.775,60.013,63.019,62.503,64.134,64.137,64.638,66.932,67.99,71.756,71.208,71.024,70.869,70.364,71.933,71.063,71.058,70.011,68.968,69.254,69.801,69.745,69.514,70.233,71.68,71.26,71.743,70.022,70.332,70.858,72.207,74.273,75.809,77.835,78.064,80.506,82.453,83.296,85.516,87.578,89.07,88.33,89.934,90.756,90.967,90.92,91.835,92.916,93.95,93.988,94.982,95.296,94.266,94.108,95.278,96.727,96.814,98.068,98.699,97.687,98.402,98.666,98.846,98.71,98.902,99.274,99.553,99.838,100.71,100.913,100.874,101.194,101.019,100.824,100.58,100.086,99.788,99.538,99.273,98.873,98.344,97.913,98.076,98.069,97.5,97.403,97.477,97.172,96.974,96.761,96.47,96.632,96.249,96.007,95.55,95.416,94.995,95.031,94.908,94.883,94.848,94.85,94.9,95.362,95.4,95.171,95.501,96.36,96.312,96.198,96.087,96.354,96.273,96.774,97.071,97.556,97.52,98.076,98.499,99.358,100.644,100.928,100.45,100.169,99.954,99.861,100.015,100.135,100.301,99.854,99.557,100.324,101.269,102.22,103.098,103.287,103.312,102.978,103.322,103.28,103.185,102.763,102.73,103.234
