"","Table 4#2#4U# Price Indexes for Exports and Imports of Goods and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"48","40","  Charges for the use of intellectual property n.e.c.","B684RG3",77.932,78.34,78.702,79.132,79.864,80.302,80.739,81.169,81.689,82.162,82.372,82.477,82.71,83.241,83.604,84.124,84.939,84.993,85.477,85.916,86.774,87.547,88.246,89.076,89.878,90.58,91.688,92.619,93.258,94.072,94.738,94.967,96.01,96.766,97.247,98.143,99.159,100.247,101.272,100.13,99.546,99.608,100.062,100.66,101.102,101.264,101.604,102.208,103.066,103.966,104.558,104.789,105.405,105.687,106.013,106.468,106.792,106.997,107.444,107.842,108.219,108.749,109.137,109.082,108.631,109.04,109.38,109.483,109.561
"49","41","  Other business services","Y802RG3",110.264,109.885,106.449,103.093,104.473,103.836,105.469,102.393,102.213,99.739,99.128,97.682,96.988,98.779,96.988,94.838,95.041,95.244,96.126,94.209,94.168,94.723,95.511,95.095,96.155,95.964,95.914,96.014,97.654,97.61,99.109,97.896,98.484,97.882,99.404,99.767,101.014,101.11,102.598,100.857,99.457,98.499,100.503,101.54,101.035,101.359,100.51,101.237,102.735,103.876,103.942,102.956,103.879,104.709,104.659,105.687,106.382,107.127,107.817,108.848,109.416,109.31,110.229,110.257,110.092,110.988,110.729,109.93,112.358
"50","42","    Maintenance and repair services","Y992RG3",70.146,70.146,70.146,70.146,70.542,71.008,71.129,71.129,71.181,71.733,71.44,70.646,70.542,70.991,71.181,70.974,71.492,71.888,72.561,73.183,74.943,78.032,79.585,80.689,82.104,83.916,86.297,88.126,89.3,92.751,93.821,91.802,92.596,95.719,96.237,97.099,99.136,105.365,110.904,103.018,98.221,98.86,100.637,101.983,105.21,107.729,106.78,108.954,113.234,118.238,118.359,116.202,117.03,117.772,116.72,116.288,117.772,117.824,117.651,116.771,118.204,119.567,119.893,117.077,113.198,114.879,113.987,110.993,108.954
"51","43","    Insurance services","Y993RG3",68.253,66.843,63.471,58.641,66.488,66.37,61.223,53.665,61.959,59.524,60.356,60.24,56.273,55.788,55.973,55.838,57.5,57.712,57.918,57.907,58.278,60.232,58.054,58.676,61.18,61.314,61.485,61.58,71.976,70.412,74.117,71.379,83.894,81.992,81.264,82.833,96.001,93.66,94.71,96.129,99.143,99.167,100.666,101.075,103.644,101.13,98.787,96.803,99.137,100.891,101.757,100.969,101.294,101.695,102.027,102.216,102.413,102.415,102.94,103.381,103.623,103.881,104.076,104.343,104.536,104.928,105.191,105.575,105.987
"52","44","    Financial services","Y994RG3",122.086,116.564,112.128,109.2,109.181,108.636,108.859,105.298,101.16,95.009,93.966,90.656,90.26,87.634,87.634,87.49,87.49,89.685,90.26,89.613,90.779,91.344,92.651,93.929,96.96,97.317,97.733,98.238,99.248,100.912,102.16,103.349,104.71,105.602,107.563,109.524,108.87,106.79,106.909,103.611,99.362,97.193,99.808,103.67,103.705,106.528,106.439,109.529,112.233,113.719,113.214,109.708,112.382,115.116,114.967,117.374,119.098,122.723,124.209,127.18,129.112,129.379,131.964,133.212,134.698,137.471,138.482,135.038,144.56
"53","45","    Telecommunications, computer, and information services","Y995RG3",536.878,548.709,469.107,396.432,404.466,382.68,425.489,376.427,374.695,349.73,338.305,325.185,315.453,377.02,321.588,266.791,257.673,247.552,254.466,218.113,201.078,194.734,197.443,176.487,167.933,157.598,146.407,138.851,139.136,127.233,132.08,117.396,104.402,92.643,99.057,92.002,91.717,92.572,97.632,98.059,99.841,96.848,103.974,99.556,90.809,86.176,80.474,77.195,76.767,76.411,75.698,76.055,75.007,74.409,73.693,74.808,74.768,73.056,73.494,74.091,72.976,70.269,70.587,70.269,70.07,69.512,66.328,67.283,69.033
"54","46","    Other other business services","Y996RG3",77.951,78.358,78.721,79.151,79.883,80.321,80.759,81.189,81.709,82.182,82.392,82.497,82.73,83.261,83.624,84.144,84.959,85.013,85.498,85.936,86.795,87.568,88.267,89.097,89.9,90.601,91.71,92.641,93.281,94.094,94.761,94.99,96.034,96.79,97.272,98.168,99.184,100.272,101.297,100.155,99.571,99.634,100.088,100.685,101.098,101.259,101.599,102.204,103.061,103.962,104.554,104.785,105.4,105.683,106.008,106.464,106.787,106.992,107.439,107.838,108.214,108.745,109.132,109.077,108.627,109.036,109.376,109.478,109.557
"55","47","  Government goods and services n.e.c.","Y803RG3",68.58,68.081,68.668,68.786,68.022,67.485,67.574,67.857,69.206,68.478,69.375,69.479,69.39,70.647,72.771,73.106,75.757,78.036,78.315,79.49,81.152,81.376,82.943,85.043,87.029,87.105,88.663,89.245,90.461,92.273,93.28,93.561,94.49,95.511,96.466,97.268,98.279,99.587,100.018,97.588,98.434,99.543,100.595,101.427,100.901,100.117,100.251,101.511,102.414,103.721,103.95,103.363,103.789,103.826,104.347,104.172,104.854,105.317,105.414,106.261,106.847,107.325,106.934,106.031,104.25,104.031,104.263,104.455,104.67
"56","48","  Other","B980RG3",96.776,96.778,97.283,98.358,101.017,102.913,104.319,104.462,102.937,102.043,101.81,101.089,100.902,101.83,102.588,103.345,104.471,104.46,105.583,106.17,108.445,109.37,110.297,111.708,113.687,114.708,116.203,117.803,119.525,121.038,122.197,122.546,122.996,123.657,124.811,126.702,128.923,128.606,125.787,118.403,103.23,99.185,98.023,99.561,103.657,106.904,108.106,108.201,107.211,106.382,108.669,109.501,113.057,114.286,115.12,117.121,118.152,119.848,121.758,124.594,124.034,126.154,128.206,130.255,130.552,132.104,134.26,136.385,138.22
"57","49","    Imports of goods and services","B021RG3",79.789,80.771,81.734,82.827,84.351,84.462,85.089,85.372,85.157,83.373,82.15,80.185,79.983,81.848,82.329,82.686,85.104,83.813,84.326,84.804,86.468,87.611,88.867,90.936,91.49,92.503,94.712,96.503,96.688,97.719,98.727,97.517,97.874,99.503,101.294,105.424,108.915,114.564,117.702,105.17,96.382,97.906,101.327,104.385,105.925,105.391,104.739,107.144,111.485,114.902,114.826,114.553,115.76,115.045,113.367,114.512,114.699,113.58,113.361,113.554,114.474,114.092,113.847,111.852,106.685,105.535,104.596,102.567,100.581
"58","50","Imports of goods \1\","B255RG3",80.078,81.047,82.115,83.509,85.365,85.626,86.261,86.7,86.277,84.391,82.867,80.654,80.41,82.208,82.604,83.117,85.708,83.732,84.137,84.634,86.479,87.993,89.067,91.259,91.904,93.195,95.561,97.663,97.697,98.747,99.831,98.387,98.819,100.536,102.355,107.042,111.09,117.306,120.821,106.193,95.724,97.664,101.589,105.024,106.953,106.313,105.51,108.171,113.286,117.207,117.183,117.037,118.351,117.417,115.312,116.591,116.779,115.408,115.118,115.086,116.131,115.637,115.343,112.988,106.95,105.559,104.531,102.119,99.723
"59","51","  Foods, feeds, and beverages","B647RG3",74.526,74.304,73.182,73.593,73.669,73.703,73.125,72.152,72.466,71.141,70.362,70.496,70.1,71.4,72.594,73.693,74.636,74.71,75.333,75.487,76.441,78.554,79.227,81.222,82.006,83.413,83.64,85.158,84.889,85.06,87.621,89.133,89.585,91.383,94.641,97.895,98.251,103.383,106.992,103.155,98.478,98.856,99.866,102.801,104.302,107.207,109.561,115.467,122.177,127.934,126.429,124.926,125.408,125.101,123.076,122.129,122.688,124.247,125.322,125.722,127.961,128.733,129.816,131.088,128.658,126.66,126.21,123.414,122.537
"60","52","  Industrial supplies and materials","IA0000043",41.747,45.796,49.787,53.715,59.342,59.955,62.225,64.446,63.205,59.098,55.704,50.194,50.173,55.734,56.738,58.608,66.196,60.235,61.309,62.907,67.953,71.92,75.161,81.013,81.906,85.469,93.25,99.843,100.024,103.442,105.703,100.314,101.343,107.003,111.706,126.312,139.075,156.482,166.658,118.139,85.905,92.499,105.188,116.409,123.678,121.012,118.021,126.648,143.343,154.708,153.581,152.776,157,152.899,145.043,150.029,150.95,145.946,145.925,145.68,148.947,146.12,144.828,134.87,110.208,105.817,102.21,92.978,82.799
"61","53","    Durable goods","B820RG3",71.192,72.079,73.71,73.785,76.568,77.418,77.007,75.955,76.257,75.672,73.774,70.94,70.592,71.572,71.805,71.881,71.78,71.387,73.832,76.106,80.052,86.247,88.449,89.813,91.499,90.754,89.668,91.897,93.806,98.344,102.13,104.077,103.324,106.348,108.288,110.674,111.76,122.297,126.021,112.743,97.072,94.294,100.548,108.086,111.392,114.888,112.314,117.731,124.714,127.569,128.336,123.613,121.846,120.932,118.327,119.706,120.491,117.801,115.611,116.451,116.556,116.795,118.538,116.148,112.164,107.972,104.364,101.01,98.602
"62","54","    Nondurable goods","IA0000073",32.125,37.069,41.698,46.76,53.239,53.761,56.824,59.991,58.283,53.208,49.408,43.19,43.241,50.127,51.33,53.702,63.51,55.965,56.611,57.964,63.252,66.444,69.967,77.276,77.838,82.83,93.566,101.617,101.261,104.296,106.039,98.026,99.758,106.34,111.964,130.488,146.91,166.455,178.833,119.522,82.889,92.01,106.418,118.683,127.063,122.663,119.55,129.081,148.598,162.518,160.808,161.268,167.516,162.375,152.794,158.973,159.898,154.102,154.916,154.311,158.834,154.837,152.27,139.201,105.835,101.494,98.003,86.435,73.134
"63","55","      Petroleum and products","B648RG3",18.33,25.124,30.897,37.119,45.874,44.726,46.9,49.277,44.955,41.129,38.909,32.157,32.83,40.892,42.05,44.852,54.809,45.176,46.031,48.477,54.541,58.196,61.927,71.059,71.746,77.286,89.343,95.523,99.658,106.061,107.207,96.516,98.49,106.848,115.257,139.322,159.121,182.048,197.015,119.03,75.707,90.855,111.45,125.986,134.987,129.191,124.611,137.614,162.763,181.064,177.387,179.596,190.835,182.193,167.956,176.261,176.83,167.57,172.736,171.285,171.827,168.96,165.886,146.479,98.555,93.643,88.855,73.839,56.077
"64","56","      Nondurable goods, excluding petroleum and products","B696RG3",67.211,66.999,68.702,70.903,71.494,75.796,80.783,85.769,90.957,82.818,75.02,70.29,68.635,72.372,73.724,75.12,84.625,82.888,82.948,81.258,84.044,85.792,88.662,91.228,91.598,95.261,102.626,115.074,103.797,98.669,101.805,100.373,101.469,103.857,103.243,109.123,117.717,129.786,137.02,122.973,104.671,97.373,95.682,102.274,108.414,106.752,106.813,108.189,114.928,118.977,121.592,118.286,113.783,116.074,116.213,117.879,119.388,120.518,113.081,114.087,125.643,119.909,118.397,117.108,111.622,108.578,107.641,103.171,99.113
"65","57","  Capital goods, except automotive","B650RG3",118.317,116.08,114.37,114.083,113.756,113.451,113.014,112.136,111.583,110.357,109.153,107.977,106.828,106.463,106.148,105.295,105.051,104.962,104.904,104.237,104.065,103.511,103.15,102.98,103.116,103.31,102.522,101.941,101.809,101.705,101.895,102.006,101.732,101.301,101.438,101.18,101.121,102.323,102.514,101.673,100.491,99.841,99.894,99.774,99.361,99.143,99.105,99.378,99.524,99.629,99.5,99.21,99.968,99.786,99.71,99.553,99.314,98.786,98.55,98.585,98.498,98.6,98.723,98.472,98.067,97.393,96.811,96.116,95.756
"66","58","    Civilian aircraft, engines, and parts","B932RG3",67.525,67.565,67.667,68.08,68.7,69.753,70.636,71.349,71.901,72.744,73.31,73.613,73.828,74.005,74.781,75.036,75.267,75.75,76.702,77.241,77.292,78.195,79.304,80.24,80.869,81.3,82.086,82.748,83.746,84.538,85.205,86.343,87.332,87.703,90.362,91.816,91.754,94.156,95.355,97.278,98.31,99.391,100.6,101.699,102.053,101.992,102.978,103.606,104.349,106.223,106.767,109.24,112.798,113.608,114.815,115.21,115.287,115.484,116.738,117.138,116.892,116.907,118.828,118.957,118.745,118.774,119.893,119.877,119.603
"67","59","    Computers, peripherals, and parts","B852RG3",214.131,204.184,197.158,196.078,195.36,191.512,190.619,186.572,183.31,176.596,169.772,163.296,162.024,161.464,159.189,155.546,152.652,150.316,147.994,145.021,143.756,141.055,137.567,134.783,132.226,130.489,126.785,123.796,121.563,119.232,117.715,116.879,113.991,112.011,112.041,111.136,108.218,107.384,105.052,103.125,100.941,99.951,99.995,99.113,98.539,98.471,98.055,97.261,95.161,93.791,92.488,91.489,91.968,91.506,91.766,91.31,91.11,91.248,91.107,90.838,90.466,90.66,90.402,90.275,89.672,88.507,87.513,86.864,86.289
"68","60","    Other","B853RG3",101.379,100.468,99.638,99.399,99.003,99.198,98.664,98.204,98.012,97.574,97.289,97.071,95.74,95.364,95.372,95.039,95.363,95.734,96.084,95.828,95.904,95.724,96,96.39,97.19,97.866,97.68,97.628,97.958,98.386,99.015,99.284,99.648,99.589,99.434,99.147,99.938,101.616,102.48,101.675,100.574,99.845,99.765,99.816,99.367,99.065,99.085,99.743,100.66,101.15,101.406,101.113,101.697,101.513,101.197,101.088,100.806,99.98,99.558,99.66,99.683,99.766,99.813,99.481,99.115,98.51,97.873,97.088,96.783
"69","61","  Automotive vehicles, engines, and parts","B651RG3",90.694,90.936,91.078,91.182,91.326,92.144,92.298,92.176,92.281,91.979,91.959,92.068,92.22,92.239,92.443,92.53,92.68,92.776,92.793,93.175,93.304,94.197,94.596,95.089,95.325,95.372,95.539,95.504,95.485,95.618,95.993,96.17,96.311,96.358,96.717,97.69,98.018,99.025,99.475,99.661,99.681,99.498,100.175,100.646,100.366,100.257,100.636,101.232,101.826,104.169,104.646,104.681,104.952,105.817,105.972,106.346,106.302,105.597,104.765,104.755,104.998,105.187,104.474,104.26,103.081,102.618,102.535,102.26,101.587
"70","62","  Consumer goods, except food and automotive","B652RG3",98.104,97.536,97.438,97.512,97.206,97.009,96.796,96.505,96.667,96.283,96.041,95.584,95.449,95.028,95.064,94.94,94.915,94.879,94.881,94.93,95.391,95.429,95.199,95.529,96.387,96.339,96.226,96.114,96.379,96.294,96.793,97.089,97.573,97.536,98.09,98.51,99.364,100.648,100.934,100.459,100.185,99.955,99.859,100.001,100.122,100.285,99.833,99.523,100.275,101.213,102.165,103.03,103.203,103.241,102.937,103.249,103.211,103.146,102.769,102.725,103.235,103.471,103.502,103.103,102.639,102.467,102.306,102.235,102.525
"71","63","    Durable goods","B697RG3",102.675,102.008,101.807,101.761,101.355,101.262,100.899,100.574,100.873,100.144,99.687,98.918,98.821,98.304,98.012,97.674,97.624,97.397,97.358,97.256,97.057,97.289,96.88,97.287,97.745,97.475,97.143,97.032,97.48,97.604,98.201,98.605,98.76,98.594,99.094,99.505,99.879,101.398,101.682,100.932,99.902,99.924,100.019,100.156,99.667,99.504,98.156,97.547,98.418,99.668,100.368,100.512,100.679,100.386,99.945,100.06,99.548,99.262,98.675,98.43,98.266,98.385,98.09,97.29,96.525,96.075,95.767,95.472,95.079
"72","64","    Nondurable goods","B698RG3",93.161,92.693,92.702,92.896,92.697,92.39,92.335,92.084,92.11,92.074,92.046,91.902,91.728,91.406,91.787,91.883,91.883,92.034,92.078,92.289,93.454,93.283,93.25,93.491,94.803,95.005,95.147,95.034,95.083,94.758,95.145,95.316,96.189,96.3,96.917,97.347,98.782,99.782,100.07,99.925,100.501,99.992,99.682,99.825,100.615,101.147,101.756,101.801,102.407,102.981,104.224,105.928,106.115,106.553,106.414,106.968,107.523,107.735,107.63,107.845,109.229,109.616,110.066,110.202,110.143,110.322,110.346,110.569,111.756
"73","65","  Other","B653RG3",82.163,81.95,82.204,82.518,82.727,83.489,83.851,83.947,84.5,83.506,82.583,82.072,81.881,82.15,82.532,82.719,83.594,83.841,84.206,84.44,85.214,86.426,87.058,87.763,88.519,89.104,89.767,91.315,91.059,91.298,92.181,92.234,91.951,92.54,93.581,95.623,98.26,102.659,104.489,104.152,100.603,99.247,99.435,100.715,101.808,102.808,102.918,103.612,105.332,106.764,107.581,107.314,107.176,107.702,107.484,108.141,108.468,108.096,107.141,107.424,108.597,108.532,108.749,108.817,107.861,107.236,107.039,106.32,106.166
"74","66","Imports of services \1\","B656RG3",79.498,80.599,81.048,80.568,80.355,79.678,80.271,79.743,80.634,79.354,79.635,78.923,78.947,81.186,82.116,81.644,83.168,85.504,86.576,86.942,87.671,86.919,89.133,90.582,90.668,90.226,91.644,91.819,92.816,93.765,94.38,94.345,94.297,95.499,97.195,98.676,99.593,102.655,104.098,100.889,99.084,98.901,100.279,101.735,101.561,101.462,101.484,102.759,103.595,104.745,104.46,103.62,104.332,104.601,104.841,105.383,105.57,105.581,105.68,106.884,107.241,107.373,107.358,107.015,105.834,105.789,105.258,104.957,104.808
"75","67","  Transport","Y804RG3",69.303,73.585,77.198,78.17,78.656,79.245,79.918,81.9,82.529,82.279,81.869,79.706,79.408,80.065,81.907,81.953,83.124,88.2,91.285,90.821,92.821,93.856,94.412,95.825,96.41,97.425,98.953,99.74,99.929,98.618,96.812,96.723,97.47,97.821,98.815,98.701,100.715,106.784,113.169,112.06,104.061,97.574,96.708,101.657,104.31,108.619,110.979,113.241,113.861,116.303,116.592,114.915,115.641,117.387,117.786,117.78,118.123,118.079,117.779,120.709,122.222,122.958,123.351,123.741,123.126,122.428,120.871,119.936,117.1
"76","68","    Sea Transport","Y997RG3",72.483,82.832,93.018,93.57,91.616,91.934,92.513,92.63,93.402,92.609,90.403,86.489,84.218,83.244,84.644,85.42,85.798,98.432,105.001,105.917,107.657,109.359,109.657,110.864,110.778,112.991,115.647,116.441,115.094,110.447,105.273,104.057,103.738,103.416,103.16,103.276,104.271,109.796,119.186,119.803,107.631,98.567,96.098,97.703,101.218,106.509,111.847,112.937,114.133,117.176,113.784,109.105,108.971,111.941,112.96,112.156,111.889,110.974,111.112,112.197,115.701,117.703,117.508,116.966,117.846,118.928,117.62,114.518,NA
"77","69","      Freight","Y998RG3",73.319,84.327,95.231,95.386,92.738,92.751,93.039,92.991,94.15,93.418,91.136,87.062,84.809,83.579,85.124,85.987,86.385,100.182,106.957,107.931,109.16,110.826,111.032,112.247,112.197,114.598,117.438,118.288,116.894,111.943,106.364,104.881,104.363,103.934,103.639,103.748,104.89,110.778,120.701,121.196,108.062,98.256,95.593,97.281,101.076,106.723,112.325,113.5,114.81,118.057,114.328,109.3,109.079,112.142,113.145,112.191,111.924,110.977,111.101,112.205,115.915,118.054,117.815,117.187,118.179,119.38,117.923,114.519,NA
"78","70","      Port","Y999RG3",61.158,65.827,69.77,72.748,75.833,78.264,81.452,83.458,79.481,78.065,76.848,74.732,72.185,74.578,75.102,76.23,78.536,76.693,80.809,79.558,85.987,85.902,86.489,87.464,87.956,88.013,88.76,89.994,90.798,91.342,92.179,94.243,95.468,96.026,96.43,97.599,98.164,99.27,101.013,101.22,100.211,99.967,99.502,100.34,101.095,101.974,104.217,104.924,104.945,105.01,106.979,107.683,108.263,109.076,110.119,111.84,111.878,111.718,112.2,113.003,113.216,113.132,113.53,114.225,113.447,112.812,113.643,115.057,NA
"79","71","    Air Transport","Y810RG3",63.855,65.306,66.194,67.249,68.864,69.531,70.371,73.393,73.963,73.996,74.452,73.451,74.015,75.674,77.941,77.632,79.595,79.658,80.499,79.109,81.413,82.016,82.775,84.439,85.62,85.742,86.648,87.387,88.633,89.715,90.406,91.251,92.744,93.522,95.624,95.325,98.113,104.748,109.564,107.537,101.965,96.68,96.843,104.511,106.951,110.868,111.253,113.941,114.662,116.674,119.134,119.486,121.422,122.351,122.17,122.919,123.604,124.213,123.5,128.156,128.152,127.923,128.779,129.832,128.241,126.086,124.318,124.87,NA
"80","72","      Passenger","Y811RG3",64.285,65.294,65.795,66.187,67.362,68.623,68.564,72.221,74.703,75.219,76.221,76.474,77.471,78.917,81.762,79.652,80.613,81.854,82.356,79.537,78.388,79.089,80.047,81.306,82.459,82.435,83.063,84.142,85.855,86.867,87.889,89.884,92.033,93.07,96.172,94.526,98.183,106.975,114.382,113.438,105.209,95.734,94.816,104.458,107.473,113.679,114.3,117.936,118.327,119.901,123.595,125.042,129.249,129.885,129.829,130.689,131.772,133.126,131.871,138.695,138.592,138.167,139.324,142.23,139.612,135.099,133.395,134.139,NA
"81","73","      Freight","Y812RG3",72.725,71.694,71.934,73.445,72.965,72.173,72.078,71.526,71.19,69.775,69.031,68.863,69.319,71.022,72.461,75.555,78.506,79.921,82.775,83.135,83.735,84.454,85.749,89.611,92.106,92.442,93.017,92.945,92.633,95.032,95.68,94.528,94.456,94.96,96.063,99.613,102.923,111.942,115.612,104.578,97.383,94.456,96.351,110.935,113.021,116.763,116.739,121.033,122.664,130.507,133.217,128.588,123.335,127.893,125.518,126.885,126.262,123.959,123.935,127.005,127.125,126.477,126.19,122.184,121.776,123.311,116.116,118.658,NA
"82","74","      Port","Y813RG3",59.289,63.052,65.311,67.912,72.116,72.074,76.17,79.627,75.363,74.84,74.43,69.956,69.799,71.975,73.704,74.82,78.281,74.898,75.153,76.148,88.55,88.772,88.594,89.713,90.048,90.48,92.425,92.789,93.838,94.178,93.987,93.075,93.905,94.274,94.851,95.565,96.295,97.472,97.964,97.649,98.033,99.536,101.059,101.552,102.931,102.721,102.885,103.052,104.099,104.315,104.498,104.873,105.436,105.406,105.938,106.212,106.668,106.96,107.093,107.818,107.95,108.366,109.139,108.724,108.708,109.687,110.718,109.765,NA
"83","75","    Other modes of transport","Y814RG3",93.168,95.034,92.931,94.602,94.295,95.151,93.789,94.965,95.159,95.166,95.806,91.901,95.697,96.578,97.404,97.47,97.826,96.686,97.73,97.813,97.787,98.277,98.359,98.537,98.329,99.168,98.489,99.661,100.805,100.763,100.782,100.354,102.059,103.468,103.085,102.864,104.169,108.149,108.524,104.336,101.382,100.566,99.568,98.769,98.947,100.832,101.066,107.802,103.101,105.552,110.152,110.376,105.834,106.653,108.14,106.885,108.426,108.734,108.832,109.234,110.111,110.965,110.915,111.557,109.543,110.784,109.557,109.43,NA
"84","76","  Travel","Y805RG3",69.895,68.99,69.556,69.945,69.134,68.065,68.128,67.053,68.828,66.792,67.59,67.298,66.895,69.942,71.8,71.907,73.259,75.763,76.232,79.013,79.338,76.047,81.109,85.704,83.972,83.065,86.738,87.436,86.86,89.713,90.465,91.627,92.045,95.791,97.741,102.685,102.946,107.044,104.715,98.967,97.866,99.741,100.773,101.619,101.675,101.429,101.969,103.548,104.369,105.896,105.378,104.212,106.052,105.484,105.581,106.816,106.13,106.057,105.521,106.384,106.077,106.338,105.413,104.566,102.203,101.836,101.459,101.015,100.319
"85","77","    Business","Y815RG3",70.279,70.018,70.563,70.94,70.116,69.004,68.995,67.867,69.588,67.495,68.246,67.919,67.452,70.502,72.401,72.529,73.799,76.307,76.956,79.611,79.836,76.501,81.638,86.276,84.51,83.553,87.363,88.042,87.254,90.156,90.917,92.086,92.453,96.203,98.292,103.358,103.71,107.901,105.668,99.621,98.036,99.696,100.731,101.537,101.532,101.201,101.62,103.148,104.018,105.482,104.948,103.61,105.452,104.861,104.946,106.177,105.469,105.395,104.831,105.695,105.371,105.618,104.68,103.815,101.424,101.023,100.647,100.17,NA
"86","78","      Expenditure of seasonal, border, and other short-term workers","Y816RG3",70.263,70.005,70.552,70.931,70.108,68.993,68.976,67.837,69.541,67.451,68.22,67.928,67.512,70.59,72.483,72.572,73.769,76.239,76.891,79.59,79.905,76.62,81.787,86.419,84.596,83.594,87.37,88.024,87.221,90.123,90.901,92.105,92.524,96.302,98.388,103.419,103.696,107.838,105.587,99.554,98.004,99.685,100.729,101.531,101.51,101.168,101.584,103.116,103.997,105.47,104.942,103.606,105.451,104.861,104.946,106.174,105.462,105.384,104.818,105.682,105.36,105.607,104.67,103.805,101.414,101.014,100.637,100.161,NA
"87","79","      Other business travel","Y817RG3",70.273,70.015,70.562,70.941,70.118,69.003,68.986,67.847,69.551,67.461,68.229,67.938,67.522,70.6,72.494,72.582,73.78,76.25,76.902,79.601,79.917,76.631,81.799,86.432,84.609,83.606,87.383,88.037,87.234,90.136,90.915,92.118,92.538,96.316,98.402,103.434,103.711,107.854,105.602,99.569,98.018,99.699,100.744,101.545,101.524,101.183,101.599,103.131,104.012,105.485,104.957,103.621,105.467,104.876,104.961,106.189,105.477,105.399,104.834,105.697,105.375,105.623,104.685,103.82,101.429,101.028,100.652,100.176,NA
"88","80","    Personal","Y818RG3",69.822,68.562,69.143,69.539,68.734,67.687,67.789,66.738,68.543,66.532,67.354,67.078,66.703,69.752,71.593,71.69,73.079,75.583,75.977,78.813,79.179,75.905,80.938,85.518,83.799,82.911,86.532,87.239,86.743,89.579,90.328,91.487,91.923,95.67,97.569,102.471,102.701,106.769,104.409,98.758,97.812,99.755,100.787,101.645,101.72,101.501,102.081,103.676,104.481,106.028,105.515,104.4,106.238,105.675,105.775,107.011,106.33,106.258,105.729,106.593,106.289,106.553,105.63,104.785,102.426,102.064,101.687,101.249,NA
"89","81","      Education related","Y819RG3",71.102,52.177,53.264,53.917,53.2,52.882,54.613,54.484,57.641,56.443,58.308,58.57,59.246,62.447,63.623,63.21,65.908,68.393,65.881,70.959,72.998,69.921,74.166,78.467,76.856,76.575,78.36,79.462,82.278,84.651,85.228,86.228,87.253,91.243,91.067,94.756,93.764,97.171,92.975,90.439,95.625,100.528,101.401,102.773,103.463,104.207,106.487,108.696,108.626,110.936,110.28,111.127,113.107,112.474,112.564,113.882,113.118,113.035,112.428,113.354,113.008,113.274,112.269,111.341,108.777,108.347,107.943,107.433,NA
"90","82","      Health-related","Y820RG3",51.903,52.361,52.988,53.64,54.432,55.359,56.48,57.172,58.053,59.062,60.013,61.104,62.524,64.132,65.364,66.972,67.964,68.65,70.129,71.279,72.206,73.087,74.055,74.958,76.091,77.012,77.722,78.96,80.381,81.959,83.162,84.148,85.213,86.782,88.621,90.735,92.247,93.299,94.632,95.829,97.546,99.16,100.799,102.392,104.603,106.342,107.474,109.496,110.602,112.402,113.453,115.273,116.147,117.865,119.081,120.293,121.782,122.193,124.521,125.511,127.248,129.001,129.789,130.859,131.701,134.301,134.001,136.553,NA
"91","83","      Other personal travel","Y821RG3",70.27,70.012,70.559,70.938,70.115,69,68.983,67.844,69.548,67.458,68.226,67.935,67.519,70.597,72.49,72.579,73.776,76.246,76.899,79.598,79.913,76.628,81.796,86.428,84.605,83.602,87.379,88.033,87.23,90.132,90.911,92.114,92.534,96.312,98.398,103.429,103.707,107.849,105.597,99.564,98.013,99.695,100.739,101.541,101.52,101.178,101.595,103.127,104.008,105.48,104.952,103.616,105.462,104.872,104.956,106.184,105.473,105.395,104.829,105.693,105.37,105.618,104.68,103.815,101.424,101.024,100.648,100.171,NA
"92","84","  Charges for the use of intellectual property n.e.c.","B908RG3",77.944,78.352,78.714,79.145,79.877,80.314,80.752,81.182,81.702,82.175,82.385,82.49,82.723,83.254,83.617,84.137,84.953,85.006,85.491,85.929,86.788,87.561,88.26,89.09,89.893,90.594,91.702,92.634,93.273,94.087,94.753,94.982,96.025,96.781,97.263,98.158,99.175,100.263,101.288,100.146,99.562,99.624,100.078,100.676,101.095,101.256,101.596,102.2,103.058,103.958,104.551,104.781,105.397,105.68,106.005,106.461,106.784,106.989,107.436,107.834,108.211,108.741,109.129,109.074,108.623,109.032,109.372,109.474,109.553
"93","85","  Other business services","Y806RG3",109.993,110.853,106.745,102.494,102.943,101.538,103.463,100.255,99.928,98.217,98.099,97.715,98.742,102.117,100.265,97.957,98.789,98.497,99.221,96.638,95.406,95.641,96.877,94.491,93.993,93.422,92.909,92.618,95.541,95.707,97.399,96.379,94.829,94.494,96.374,96.343,96.711,98.13,100.05,98.536,98.623,99.032,100.993,101.352,100.662,99.883,98.809,99.164,99.922,99.965,99.566,99.337,99.684,100.011,100.038,100.688,101.046,101.009,101.535,102.143,102.297,102.021,102.514,102.48,102.258,102.667,102.176,102.159,103.298
