"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"1125","283","        Internet access (72)","DINTRA3",1.695,1.832,1.968,2.104,2.24,2.376,2.512,2.648,2.783,2.885,3.055,3.223,3.34,3.457,3.574,3.683,3.792,3.9,3.989,4.079,4.168,4.308,4.447,4.586,4.832,5.036,5.234,5.14,5.061,4.968,4.884,4.835,4.907,5.152,5.301,5.521,5.823,6.062,6.307,6.477,6.686,6.908,7.299,7.714,8.156,8.527,8.943,9.392,10.072,10.685,11.315,11.822,12.384,12.972,13.744,14.53,15.345,16.399,17.399,18.4,19.236,20.083,20.895,21.914,22.837,23.669,24.203,24.642,24.964,25.328,25.461,25.359,24.779,24.623,24.621,24.817,24.961,25.161,25.156,25.219,25.348,25.754,26.248,26.861,27.191,27.584,27.83,28.654,29.787,29.863,29.852,30.612,31.334,32.116,32.959,33.934,34.759,34.932,35.111,35.333,35.59,35.879,36.22,36.571,36.983,37.422,37.9,38.468,39.069,39.659,40.201,40.696,41.043,41.302,41.456,41.652,41.954,42.313,42.546,42.602,42.543,42.468,42.344,42.263,42.148,42.122,42.106,42.11,42.132,42.174,42.13,42.012,41.494,41.325,41.497,42.017,43.22,45.136,47.883,51.396,55.606,60.805,63.57,66.064,68.289,70.547,72.842,75.184,77.147,78.737,79.958,81.294,82.744,84.303,85.714,86.969,88.065,89.074,90,90.835,91.811,92.917,94.161,94.892,95.099,94.782,94.818,95.207,95.968,96.534,96.916,97.104,97.614,98.442,99.589,100.863,102.27,103.799,105.01,105.891,106.143,106.708,107.592,108.798,109.806,110.61,111.219,112.114,113.296,114.761,116.163,117.511,119.326,121.062,122.725,124.332,126.306,128.644,131.366,133.111,133.884,133.664,134.244,135.631,137.462,139.327,141.265,143.257,144.74,145.724,146.204,147.448,149.448,152.19,153.861,154.457
"1126","284","      Education services","DTEDRA3",86.764,86.727,86.848,87.059,87.141,87.254,87.214,87.384,87.617,87.844,87.963,88.116,88.411,88.609,88.852,89.186,89.403,89.566,89.808,90.67,90.709,90.645,90.915,91.285,91.386,91.46,91.548,91.675,91.859,92.091,92.316,92.561,92.9,93.168,93.42,93.631,93.975,94.252,94.505,94.638,94.75,94.922,95.016,95.112,95.266,95.644,96.062,96.348,96.412,96.549,96.648,96.831,96.901,97.019,97.145,97.329,97.523,97.825,98.186,98.607,98.961,99.23,99.501,99.798,100.134,100.51,100.819,101.258,101.595,101.862,101.994,102.18,102.434,102.635,102.804,102.948,103.117,102.989,102.714,102.472,102.364,102.278,101.921,101.478,101.02,100.707,100.461,100.194,99.973,100.153,100.424,100.55,100.18,99.774,99.531,99.479,99.586,99.644,99.648,99.76,99.878,99.914,99.797,99.51,99.323,99.163,99.119,99.021,98.803,98.509,98.208,97.893,97.575,97.288,97.062,96.91,96.657,96.775,96.907,97.249,97.342,97.331,97.296,97.178,97.258,97.329,97.397,97.408,97.458,97.561,97.717,97.85,97.917,98.031,98.119,98.289,98.358,98.276,98.136,98.142,98.461,98.835,99.137,99.246,99.328,99.316,99.448,99.605,99.772,99.882,99.89,99.952,100.014,100.207,100.231,100.192,100.1,100.093,100.117,100.141,100.197,100.326,100.479,100.72,100.669,100.473,100.103,99.876,99.863,99.864,99.801,99.539,99.429,99.5,99.653,99.902,100.065,100.408,100.73,101.245,101.499,101.692,101.889,102.007,102.169,102.28,102.424,102.6,102.523,102.683,102.842,103.183,103.055,102.929,102.805,102.773,102.572,102.458,102.197,102.087,102.035,102.015,102.065,102.024,102.268,101.938,101.679,100.823,100.579,100.333,99.978,99.888,99.853,99.672,99.421,99.127
"1127","285","        Higher education (97)","DHEDRA3",81.199,81.083,81.045,81.278,81.223,81.134,80.994,81.068,80.783,80.979,81.092,81.225,81.613,81.781,82.064,82.393,82.715,83.005,83.086,83.765,83.775,84.563,85.182,85.754,85.768,85.682,85.637,85.612,85.676,85.825,86.005,86.22,86.489,86.752,87.058,87.333,87.717,88.052,88.347,88.542,88.74,88.969,89.23,89.403,89.637,89.897,90.253,90.517,90.712,90.948,91.152,91.393,91.488,91.611,91.694,91.91,92.192,92.679,93.166,93.622,93.928,94.13,94.436,94.821,95.245,95.634,95.961,96.388,96.698,96.894,97.058,97.353,97.708,97.992,98.225,98.458,98.724,98.781,98.887,98.875,98.763,98.446,97.975,97.523,97.111,96.804,96.586,96.363,96.253,96.46,96.76,96.912,96.731,96.466,96.354,96.368,96.662,96.947,97.138,97.357,97.543,97.656,97.599,97.386,97.326,97.361,97.447,97.384,97.177,96.869,96.582,96.28,96.036,95.713,95.455,95.234,95.074,95.251,95.46,95.918,96.128,96.215,96.16,96.059,96.173,96.44,96.698,96.866,96.889,96.88,96.873,96.912,97.017,97.263,97.484,97.734,97.799,97.689,97.493,97.419,97.612,97.957,98.196,98.313,98.285,98.239,98.31,98.419,98.542,98.519,98.447,98.489,98.6,98.792,98.819,98.834,98.832,98.823,98.791,98.75,98.765,98.889,99.041,99.328,99.364,99.252,99.007,98.892,99.044,99.146,99.217,99.106,99.207,99.484,99.921,100.381,100.633,100.92,101.198,101.744,101.788,101.87,101.989,102.095,102.198,102.362,102.582,102.847,102.964,103.2,103.422,103.669,103.505,103.319,103.131,102.857,102.564,102.384,102.197,102.038,101.938,101.822,101.798,101.7,102.315,102.049,101.804,100.794,100.651,100.482,99.901,99.754,99.754,99.607,99.418,99.2
"1128","286","          Proprietary and public higher education","DGEDRA3",76.744,76.696,76.697,76.851,76.853,76.866,76.88,77.097,76.534,76.645,76.604,76.542,76.583,76.637,76.774,77.02,77.199,77.347,77.478,77.908,77.251,77.542,77.743,77.963,78.175,78.386,78.603,78.831,79.059,79.296,79.538,79.794,80.05,80.303,80.551,80.794,81.041,81.276,81.509,81.757,82.006,82.259,82.514,82.776,83.035,83.293,83.546,83.791,84.04,84.283,84.539,84.821,85.119,85.435,85.767,86.115,86.475,86.846,87.22,87.6,87.997,88.361,88.709,89.053,89.368,89.672,89.965,90.236,90.492,90.725,90.933,91.119,91.278,91.425,91.573,91.722,91.865,92.011,92.152,92.295,92.438,92.568,92.693,92.808,92.943,93.054,93.165,93.29,93.427,93.577,93.73,93.893,94.067,94.245,94.424,94.597,94.93,95.195,95.406,95.571,95.69,95.793,95.853,95.858,95.802,95.691,95.519,95.279,94.977,94.701,94.462,94.273,94.126,94.007,93.927,93.889,93.887,93.925,93.988,94.084,94.218,94.333,94.457,94.598,94.747,94.892,95.046,95.201,95.362,95.524,95.668,95.826,95.979,96.125,96.254,96.382,96.499,96.618,96.732,96.834,96.936,97.022,97.093,97.164,97.216,97.257,97.293,97.337,97.377,97.423,97.475,97.527,97.578,97.621,97.665,97.702,97.729,97.755,97.785,97.809,97.848,97.886,97.932,97.985,98.037,98.087,98.135,98.176,98.224,98.326,98.495,98.723,99.021,99.387,99.821,100.322,100.899,101.539,102.243,103,103.07,103.162,103.273,103.405,103.566,103.75,103.966,104.212,104.487,104.787,105.1,105.435,105.005,104.594,104.207,103.86,103.541,103.25,103,102.781,102.601,102.443,102.308,102.205,103.289,102.925,102.59,100.839,100.545,100.279,99.327,99.115,98.929,98.761,98.605,98.466
"1129","287","          Nonprofit private higher education services to households","DPEDRA3",88.527,88.3,88.198,88.561,88.411,88.153,87.763,87.602,87.772,88.107,88.475,88.928,89.887,90.243,90.765,91.23,91.788,92.31,92.308,93.4,94.505,96.11,97.416,98.568,98.257,97.681,97.205,96.765,96.56,96.563,96.642,96.789,97.079,97.357,97.759,98.089,98.696,99.197,99.594,99.701,99.816,100.006,100.277,100.303,100.495,100.757,101.285,101.58,101.685,101.91,102.03,102.203,101.964,101.768,101.443,101.441,101.596,102.273,102.946,103.527,103.684,103.618,103.856,104.309,104.912,105.44,105.824,106.505,106.905,107.042,107.133,107.608,108.284,108.794,109.167,109.539,110.006,109.915,109.964,109.698,109.165,108.114,106.661,105.278,103.966,102.971,102.211,101.417,100.9,101.201,101.744,101.878,101.112,100.119,99.529,99.282,99.508,99.829,99.988,100.294,100.59,100.72,100.47,99.901,99.831,100.108,100.619,100.846,100.796,100.435,100.069,99.58,99.179,98.518,97.969,97.445,97.027,97.431,97.88,98.935,99.27,99.311,98.959,98.462,98.518,98.985,99.415,99.605,99.4,99.109,98.856,98.699,98.724,99.135,99.508,99.959,99.935,99.45,98.743,98.381,98.722,99.497,100.012,100.202,100.043,99.854,99.982,100.199,100.456,100.321,100.046,100.072,100.281,100.716,100.717,100.696,100.647,100.579,100.444,100.298,100.274,100.538,100.866,101.538,101.548,101.168,100.441,100.07,100.393,100.493,100.404,99.735,99.514,99.643,100.085,100.477,100.196,99.902,99.48,99.679,99.68,99.747,99.878,99.94,99.947,100.077,100.306,100.603,100.459,100.589,100.662,100.765,101.038,101.222,101.361,101.208,100.955,100.961,100.876,100.816,100.846,100.8,100.959,100.87,100.711,100.608,100.511,100.719,100.826,100.815,100.843,100.804,101.11,100.998,100.753,100.408
"1130","288","        Nursery, elementary, and secondary schools (98)","DNEHRA3",121.186,120.748,120.7,120.811,120.642,120.727,120.347,120.229,120.431,120.853,120.684,120.605,120.477,120.613,120.62,120.58,120.602,120.297,120.231,120.933,120.758,120.393,120.307,120.153,119.789,119.453,119.177,118.905,118.664,118.411,118.08,117.758,117.455,117.134,116.676,116.25,115.892,115.6,115.269,115,114.832,114.861,114.959,115.028,115.116,115.232,115.384,115.493,115.486,115.609,115.671,115.66,115.526,115.372,115.05,114.803,114.597,114.686,114.766,114.875,114.908,114.774,114.674,114.607,114.557,114.294,113.849,113.66,113.978,114.593,115.117,115.314,115.446,115.501,115.566,115.563,115.596,115.338,114.798,114.317,114.293,114.423,114.294,113.929,113.527,113.251,112.922,112.702,112.54,112.866,113.386,113.667,113.055,112.368,111.939,111.911,111.568,111.199,110.929,110.623,110.372,110.003,109.557,109.048,108.675,108.371,108.127,107.92,107.678,107.577,107.649,107.528,107.338,106.944,106.847,106.843,106.231,105.863,105.356,105.507,105.357,105.156,104.915,104.689,104.461,104.317,104.067,103.817,103.568,103.551,103.616,103.682,103.585,103.523,103.546,103.494,103.36,102.885,102.603,102.591,103.255,103.883,104.334,104.291,104.108,103.904,103.722,103.661,103.655,103.891,104.114,104.315,104.265,104.123,103.75,103.48,103.224,103.134,103.073,103.025,102.958,102.767,102.592,102.611,102.59,102.554,102.287,101.997,101.669,101.416,101.15,100.837,100.577,100.356,99.882,99.376,98.879,98.731,98.612,98.516,98.413,98.108,97.82,97.444,97.327,97.258,97.249,97.309,97.316,97.508,97.644,97.856,97.962,98.036,98.27,98.64,98.845,98.888,98.743,98.766,98.857,99.035,99.069,99.079,98.734,98.611,98.431,98.198,97.849,97.347,97.15,97.021,97.171,97.156,96.994,96.77
"1131","289","          Elementary and secondary schools","DESCRA3",137.145,136.277,136.087,135.904,135.837,135.872,135.638,135.705,136.218,136.88,136.671,136.712,136.626,136.724,136.644,136.567,136.538,136.37,136.439,137.651,137.252,136.426,135.899,135.364,134.733,134.088,133.5,132.921,132.363,131.843,131.237,130.732,130.25,129.8,129.33,128.975,128.739,128.526,128.207,127.913,127.641,127.542,127.456,127.328,127.243,127.276,127.383,127.417,127.259,127.156,127.012,126.923,126.838,126.754,126.42,126.256,126.141,126.305,126.242,126.168,125.991,125.696,125.446,125.325,125.227,125.014,124.667,124.603,124.901,125.385,125.78,125.926,126.033,126.02,126.007,125.839,125.765,125.323,124.617,123.944,123.824,123.876,123.675,123.242,122.835,122.607,122.307,122.116,121.917,122.054,122.392,122.575,122.125,121.613,121.261,121.157,120.372,119.59,118.964,118.402,117.993,117.551,116.998,116.266,115.577,114.986,114.536,114.206,113.886,113.7,113.737,113.517,113.245,112.623,112.401,112.146,111.313,110.869,110.398,110.612,110.436,110.22,109.995,109.738,109.474,109.162,108.643,108.245,107.941,107.891,107.902,108.014,108.01,107.928,107.952,107.815,107.523,106.678,106.132,105.854,106.345,106.573,106.738,106.428,106.153,105.785,105.365,105.003,104.746,104.808,104.965,105.111,105.036,104.813,104.311,103.953,103.688,103.669,103.658,103.654,103.647,103.571,103.66,103.884,103.808,103.471,102.926,102.494,102.077,101.721,101.434,101.107,100.727,100.532,99.973,99.406,98.61,98.272,98.09,98.053,98.064,97.899,97.818,97.67,97.734,97.677,97.641,97.525,97.197,96.908,96.622,96.562,96.411,96.167,95.969,95.839,95.622,95.442,95.231,95.247,95.334,95.545,95.597,95.63,95.402,95.411,95.35,95.106,94.672,94.076,93.816,93.64,93.708,93.555,93.323,93.048
"1132","290","          Day care and nursery schools","DNSCRA3",85.428,85.853,86.089,86.78,86.418,86.605,85.95,85.467,85.043,84.971,84.888,84.569,84.36,84.567,84.745,84.781,84.906,84.335,84,83.657,83.937,84.507,85.311,85.932,86.119,86.42,86.783,87.142,87.552,87.851,88.093,88.154,88.228,88.181,87.76,87.2,86.596,86.15,85.8,85.591,85.644,85.939,86.419,86.898,87.343,87.63,87.877,88.14,88.448,89.043,89.536,89.691,89.457,89.159,88.87,88.451,88.058,87.988,88.368,88.861,89.34,89.551,89.77,89.818,89.873,89.507,88.861,88.404,88.758,89.648,90.439,90.74,90.923,91.121,91.351,91.705,91.966,92.11,91.937,91.881,92.068,92.366,92.4,92.189,91.804,91.427,91.041,90.757,90.679,91.418,92.334,92.825,91.862,90.794,90.196,90.335,90.974,91.525,92.051,92.316,92.419,92.215,92.015,92.011,92.351,92.701,92.928,93.002,92.94,93.036,93.191,93.295,93.298,93.428,93.622,94.198,94.102,93.918,93.328,93.329,93.241,93.075,92.799,92.644,92.503,92.755,93.141,93.239,93.12,93.18,93.369,93.325,93.009,92.995,93.014,93.162,93.399,93.8,94.147,94.767,95.842,97.422,98.546,99.138,99.173,99.363,99.746,100.406,100.998,101.652,102.033,102.366,102.38,102.43,102.368,102.315,102.082,101.822,101.641,101.486,101.278,100.806,99.989,99.513,99.626,100.32,100.727,100.78,100.672,100.667,100.451,100.172,100.205,99.921,99.657,99.298,99.539,99.863,99.897,99.658,99.272,98.62,97.824,96.88,96.317,96.217,96.276,96.774,97.609,98.992,100.176,101.066,101.812,102.676,103.988,105.606,106.862,107.467,107.486,107.527,107.629,107.724,107.711,107.667,107.029,106.576,106.092,105.888,105.755,105.493,105.456,105.447,105.804,106.139,106.156,106.059
"1133","291","        Commercial and vocational schools (99)","DVEDRA3",75.841,76.419,77.235,77.457,78.233,79.077,79.681,80.442,82.557,82.722,83.121,83.551,83.883,84.243,84.554,85.232,85.245,85.368,86.462,88.118,88.446,85.604,84.944,85.046,85.853,86.851,87.734,88.764,89.756,90.722,91.608,92.47,93.644,94.462,95.166,95.719,96.562,97.146,97.787,98.06,98.113,98.21,97.687,97.522,97.455,98.501,99.384,99.907,99.567,99.362,99.12,99.271,99.437,99.788,100.478,100.941,101.19,101.036,101.209,101.793,102.61,103.483,103.975,104.297,104.68,105.597,106.535,107.602,108.048,108.245,107.904,107.701,107.722,107.767,107.814,107.786,107.744,107.088,105.738,104.912,104.737,105.256,105.085,104.597,103.921,103.55,103.283,102.812,102.148,102.098,102.035,101.926,101.112,100.464,99.926,99.618,99.487,99.136,98.73,98.854,99.072,99.207,99.181,98.824,98.356,97.629,97.299,97.173,96.934,96.505,95.812,95.273,94.568,94.511,94.278,94.245,93.978,94.323,94.746,94.847,94.733,94.543,94.767,94.685,94.914,94.477,94.139,93.819,94.23,94.848,95.664,96.199,96.274,96.065,95.733,95.808,96.072,96.438,96.628,96.935,97.412,97.66,98.056,98.273,98.998,99.277,99.917,100.443,100.932,101.418,101.529,101.541,101.525,102.026,102.392,102.359,102.078,102.156,102.468,102.801,103.124,103.562,104.012,104.281,103.875,103.222,102.283,101.694,101.339,101.192,100.809,100.019,99.243,98.794,98.434,98.559,98.97,99.974,100.859,101.808,103.193,104.265,105.206,105.821,106.461,106.533,106.515,106.449,105.54,105.377,105.317,106.136,105.934,105.857,105.657,106.204,105.998,105.998,105.348,105.307,105.316,105.498,105.845,105.983,105.311,104.551,104.162,103.353,102.806,102.488,102.873,103.041,102.702,102.241,101.668,101.008
"1134","292","      Professional and other services (121)","DPRSRA3",92.207,91.463,91.981,92.169,91.136,91.652,91.751,92.133,91.778,91.868,91.945,92.02,92.699,92.972,93.249,92.985,93.336,93.485,93.43,93.287,93.975,93.751,93.895,94.228,93.505,93.423,93.318,94.197,95.055,95.067,95.462,95.021,95.471,96.138,96.282,96.321,97.036,98.069,98.022,97.256,97.227,98.178,97.904,98.316,97.778,98.211,97.704,98.396,99.541,100.08,100.723,100.469,100.326,99.831,100.202,100.262,99.786,100.676,100.378,99.401,100.793,100.955,99.444,100.219,100.457,100.306,100.937,100.991,101.482,100.913,100.892,101.407,101.752,101.9,102.446,102.821,102.547,102.499,102.719,103.732,103.895,103.562,103.063,102.5,102.153,102.57,102.771,102.357,102.413,102.295,102.544,102.861,103.224,103.416,104.157,104.621,105.163,105.927,106.384,106.344,106.912,107.798,107.453,106.962,106.455,106.632,106.517,107.853,107.558,106.913,105.946,105.765,105.441,105.814,106.297,106.706,106.813,106.942,106.882,106.908,107.289,108.027,107.637,107.282,106.699,106.231,105.746,105.629,105.334,105.257,105.588,105.564,105.222,105.468,106.05,106.361,107.143,107.151,107.209,107.433,107.652,107.848,107.83,108.426,108.841,109.39,108.948,109.032,108.644,108.385,108.362,107.933,107.677,107.503,107.517,107.205,107.098,106.997,107.924,107.533,107.34,107.205,106.658,106.434,105.972,105.633,105.257,104.174,103.172,102.257,101.454,100.974,100.232,100.022,99.772,99.409,98.841,98.444,97.673,97.75,97.955,97.989,98.228,97.984,98.176,98.035,98.152,98.011,98.027,97.792,97.607,97.475,97.709,97.66,97.695,97.785,97.984,97.969,97.948,97.801,97.67,97.707,97.692,97.725,97.802,98.247,97.826,97.36,97.23,97.219,97.114,97.102,96.999,96.705,96.266,95.445
"1135","293","        Legal services","DGALRA3",95.868,94.608,95.322,95.347,95.361,95.624,95.32,95.596,95.935,95.914,96.145,96.521,97.419,98.003,97.984,98.004,97.969,98.58,98.663,98.817,99.115,99.404,99.35,99.9,99.621,99.72,99.839,100.232,100.49,100.735,100.976,101.216,101.455,101.667,101.919,102.19,102.544,103.432,103.344,103.084,103.019,103.406,103.357,102.613,103.178,103.625,103.706,103.773,104.651,105.27,105.698,105.535,105.742,105.843,105.464,105.371,105.355,105.563,105.195,105.357,104.862,104.47,104.029,104.825,105.074,105.066,105.326,105.844,105.808,105.628,105.351,105.29,106.276,106.903,107.13,106.793,106.388,106.075,107.132,108.504,108.561,108.355,107.874,107.304,107.165,107.251,107.281,107.264,107.396,107.392,107.672,108.136,108.576,108.853,109.45,110.202,110.997,111.696,112.355,111.465,111.571,111.699,111.329,110.344,108.364,108.17,108.228,108.531,109.09,109.095,108.555,107.48,106.988,107.067,107.732,108.249,108.608,108.814,108.938,108.988,108.971,108.799,108.508,108.105,107.649,107.127,106.553,106.106,105.791,105.602,105.465,105.415,105.431,105.7,106.213,106.989,107.487,107.718,107.677,107.721,107.865,108.09,108.473,109.031,109.744,109.917,109.552,108.66,107.923,107.353,106.95,106.515,106.048,105.54,105.178,104.954,104.865,104.963,105.253,105.727,106,106.055,105.899,105.76,105.631,105.508,104.991,104.071,102.76,101.704,100.917,100.391,100.117,100.093,100.321,100.117,99.487,98.416,97.861,97.815,98.033,98.1,98.015,97.779,97.71,97.804,98.07,98.196,98.181,98.021,97.825,97.602,97.602,97.683,97.85,98.12,98.304,98.402,98.428,98.411,98.36,98.258,98.26,98.372,98.512,98.508,98.385,98.131,97.947,97.845,97.819,97.6,97.182,96.554,95.757,94.791
"1136","294","        Accounting and other business services","DPRORA3",69.788,68.746,68.106,68.205,67.989,67.943,68.16,68.032,67.603,67.411,67.616,67.872,68.426,68.78,69.203,69.341,69.879,70.121,70.532,70.692,70.94,71.179,71.294,71.677,71.553,71.526,71.593,71.78,72.022,72.341,72.731,73.177,73.677,74.23,74.868,75.59,76.414,77.204,77.937,78.623,79.248,79.89,80.48,81.048,81.578,82.111,82.601,83.082,83.534,83.988,84.344,84.774,85.205,85.623,86.098,86.546,86.972,87.383,87.809,88.24,88.64,89.013,89.39,89.801,90.154,90.53,90.885,91.202,91.563,91.871,92.179,92.441,92.7,92.93,93.16,93.38,93.611,93.823,94.059,94.332,94.608,94.845,95.039,95.244,95.455,95.711,95.965,96.231,96.478,96.72,96.925,97.171,97.354,97.579,97.732,97.873,98.433,98.993,99.587,100.083,100.62,101.241,101.92,102.598,103.335,104.125,104.984,105.846,106.682,107.454,108.091,108.672,109.104,109.465,109.734,109.852,109.866,109.794,109.562,109.247,108.726,108.285,107.794,107.479,107.334,107.059,107.007,106.963,106.864,106.936,107.081,107.125,107.274,107.586,107.891,108.209,108.539,108.954,109.465,109.993,110.536,111.154,111.845,112.615,113.405,114.034,114.709,115.322,115.886,116.322,116.752,117.048,117.36,117.554,117.689,117.756,117.813,117.67,117.404,116.961,116.345,115.532,114.625,113.647,112.547,111.265,109.836,108.262,106.552,104.914,103.395,102.012,100.776,99.673,98.721,97.908,97.225,96.678,96.236,95.909,95.918,95.934,95.951,95.966,95.996,96.03,96.09,96.118,96.108,96.109,96.096,96.108,96,95.908,95.837,95.715,95.556,95.459,95.334,95.201,95.059,94.912,94.794,94.673,95.94,95.497,95.124,93.142,92.919,92.772,91.84,91.91,92.014,92.205,92.365,92.625
"1137","295","          Tax preparation and other related services","DTAPRA3",72.064,70.071,68.918,69.002,68.533,68.265,68.302,67.834,66.964,66.329,66.382,66.624,67.312,67.591,67.873,67.672,68.08,68.079,68.307,68.185,68.133,68.158,67.869,68.063,67.561,67.178,66.906,66.737,66.685,66.74,66.915,67.203,67.608,68.116,68.728,69.454,70.285,71.089,71.863,72.619,73.355,74.058,74.731,75.381,75.997,76.578,77.122,77.624,78.088,78.536,78.978,79.423,79.86,80.296,80.724,81.148,81.562,81.952,82.334,82.7,83.06,83.426,83.813,84.239,84.679,85.148,85.646,86.164,86.713,87.279,87.865,88.475,89.099,89.701,90.296,90.878,91.439,91.996,92.54,93.069,93.588,94.084,94.562,95.02,95.474,95.888,96.271,96.639,96.99,97.327,97.633,97.922,98.194,98.437,98.651,98.829,98.948,99.115,99.348,99.654,100.034,100.522,101.089,101.726,102.427,103.199,104.037,104.934,105.898,106.689,107.319,107.803,108.128,108.28,108.268,108.093,107.744,107.228,106.525,105.642,104.582,103.585,102.685,101.888,101.186,100.568,100.046,99.613,99.276,99.029,98.853,98.784,98.801,98.879,99.008,99.207,99.464,99.793,100.189,100.643,101.169,101.75,102.389,103.103,103.87,104.62,105.358,106.098,106.828,107.557,108.287,109.011,109.728,110.43,111.126,111.809,112.473,112.958,113.265,113.381,113.328,113.088,112.67,112.077,111.299,110.329,109.167,107.805,106.259,104.798,103.434,102.161,100.988,99.914,98.939,98.061,97.288,96.609,96.024,95.525,95.368,95.221,95.081,94.951,94.837,94.734,94.649,94.581,94.53,94.492,94.454,94.426,94.334,94.222,94.095,93.967,93.828,93.674,93.52,93.356,93.187,92.999,92.794,92.576,94.119,93.488,92.945,90.325,90.012,89.81,88.654,88.672,88.799,89.028,89.347,89.765
"1138","296","          Employment agency services","DGENRA3",137.508,137.263,135.383,131.008,127.946,125.968,124.589,123.526,122.095,121.365,119.767,117.305,113.404,110.733,109.1,108.581,107.239,106.526,105.291,104.379,103.677,101.708,101.001,99.819,101.441,103.41,105.631,108.721,111.088,113.376,115.149,116.236,116.45,116.113,115.995,115.897,116.299,116.642,116.377,115.425,113.631,113.021,111.941,110.948,109.88,109.792,109.61,110.283,111.156,112.351,111.061,111.305,111.513,111.273,112.368,112.71,112.558,112.276,112.439,112.896,112.496,111.983,111.761,112.214,111.61,111.607,111.104,109.904,109.847,108.765,108.023,106.322,104.896,103.031,101.043,98.752,96.951,94.458,92.657,91.852,91.084,89.58,87.071,85.037,82.835,82.561,82.708,83.201,83.329,83.348,82.801,83.459,82.552,83.151,82.209,81.533,83.242,84.685,86.364,84.359,82.597,81.27,80.512,78.879,78.204,78.128,79.289,80.056,79.35,80.449,81.007,82.872,83.678,86.08,89.243,91.49,94.341,98.243,101.563,106.313,108.832,112.578,112.834,115.964,122.068,122.774,127.899,131.516,131.572,134.769,138.86,137.687,137.932,141.793,144.651,146.391,147.367,149.366,152.903,155.848,157.72,160.851,165.134,170.269,175,176.372,180.621,183.984,187.22,187.592,188.885,187.425,187.816,186.096,183.811,180.964,179.485,175.887,172.543,168.177,162.218,154.433,148.036,143.671,139.751,134.59,129.36,124.332,119.348,113.479,107.779,103.072,99.417,96.389,94.556,93.527,92.84,93.033,93.062,93.498,94.131,95.157,96.441,97.802,99.675,101.827,104.671,106.379,106.688,107.459,108.179,109.917,110.514,111.889,114.136,114.333,113.332,114.476,114.325,113.87,112.821,111.872,112.186,112.4,112.11,110.543,109.444,108.307,107.292,106.258,103.787,105.255,105.307,106.126,103.87,102.962
"1139","297","          Other personal business services","DTHERA3",52.071,53.77,54.945,55.995,57.126,58.151,59.256,60.355,61.476,62.768,63.812,64.653,65.681,66.872,68.159,69.502,70.829,72.029,73.346,74.601,75.975,77.312,78.843,80.125,80.834,81.541,82.271,83.037,83.81,84.603,85.426,86.268,87.138,88.017,88.902,89.795,90.709,91.569,92.38,93.162,93.899,94.59,95.237,95.844,96.4,96.904,97.353,97.74,98.081,98.429,98.807,99.23,99.685,100.176,100.698,101.253,101.836,102.446,103.074,103.723,104.408,104.971,105.43,105.796,106.041,106.185,106.228,106.154,105.974,105.675,105.256,104.718,104.062,103.43,102.842,102.295,101.782,101.314,100.881,100.495,100.148,99.828,99.544,99.293,99.103,98.917,98.758,98.641,98.565,98.528,98.522,98.555,98.627,98.73,98.861,99.015,100.881,102.63,104.277,105.831,107.292,108.693,110.005,111.215,112.318,113.318,114.21,114.983,115.647,116.314,116.994,117.707,118.441,119.178,119.933,120.708,121.496,122.301,123.104,123.914,124.737,125.515,126.288,127.063,127.83,128.573,129.308,130.026,130.732,131.419,132.062,132.704,133.318,133.907,134.455,134.984,135.482,135.964,136.422,136.847,137.254,137.62,137.948,138.259,138.525,138.606,138.508,138.249,137.811,137.207,136.435,135.488,134.361,133.045,131.55,129.865,127.985,126.104,124.23,122.351,120.492,118.634,116.787,114.949,113.113,111.275,109.438,107.595,105.761,104.098,102.62,101.319,100.206,99.28,98.54,97.987,97.629,97.452,97.461,97.646,98.158,98.615,99.015,99.359,99.654,99.893,100.085,100.227,100.32,100.358,100.329,100.241,99.976,99.743,99.545,99.399,99.294,99.227,99.214,99.244,99.324,99.439,99.589,99.782,100.24,100.626,100.968,101.25,101.475,101.651,101.773,101.846,101.867,101.825,101.719,101.549
