"","Table 3#9#3# Real Government Consumption Expenditures and Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236"
"24","16","  Nondefense","B825RA3",15.963,21.57,18.151,14.704,17.611,23.603,26.707,28.517,28.567,31.136,30.188,29.696,27.888,29.332,21.217,22.075,20.131,21.884,21.384,22.06,24.594,23.022,24.074,24.087,26.577,31.947,28.326,28.834,29.922,26.25,25.276,28.694,25.059,26.604,26.884,25.312,24.561,25.164,22.336,23.702,26.125,21.82,21.185,25.837,20.893,25.141,24.444,27.464,28.804,35.046,35.061,34.31,28.471,30.046,30.878,33.291,29.062,31.718,32.509,33.107,34.256,36.878,40.295,41.147,40.054,39.847,45.201,43.766,45.066,46.739,45.687,46.028,46.878,47.915,50.652,50.533,49.523,51.709,49.685,47.087,51.873,48.241,47.261,48.862,48.293,46.524,48.3,48.532,49.226,49.677,50.124,47.716,48.01,49.257,48.675,48.756,48.156,51.154,53.273,51.261,54.188,55.089,54.658,54.27,54.716,54.247,54.364,53.526,56.408,53.811,58.177,59.696,58.482,59.028,58.79,59.561,59.649,59.316,59.045,60.083,60.196,61.36,62.464,64.336,64.186,65.899,66.253,67.45,67.034,66.728,66.833,65.966,68.444,73.704,70.323,69.022,70.75,72.788,71.098,70.604,69.019,66.395,66.979,69.16,71.143,72.308,78.394,63.746,65.331,71.653,71.381,71.774,73.347,74.185,75.168,73.976,74.2,75.213,77.855,79.788,78.225,76.973,73.779,78.96,72.793,71.678,71.708,75.969,77.306,79.308,79.435,80.252,84.578,85.672,86.902,85.453,85.884,87.468,87.869,89.579,93.283,92.879,93.454,95.379,94.08,93.269,92.783,92.216,92.342,90.646,91.686,93.154,93.18,92.814,92.593,87.866,90.308,92.281,90.509,90.722,93.088,94.587,93.573,92.033,94.272,96.043,91.166,94.46,95.355,96.595,96.338,98.297,98.601,102.669,100.091,98.639,101.033,105.298,104.25,104.852,108.017,111.866,112.4,112.853,114.569,113.432,115.05,112.84,112.9,114.117,112.563,114.017,114.276
"25","17","    Consumption expenditures","B542RA3",15.429,22.845,21.306,16.481,17.846,26.87,30.763,31.43,32.678,36.079,31.703,29.825,29.432,30.167,18.717,22.806,19.988,21.779,22.32,20.354,25.007,23.635,25.321,25.16,29.406,36.112,31.563,32.176,34.444,28.313,28.304,33.23,28.707,31.293,32.307,29.755,28.519,28.558,24.071,26.019,29.301,23.411,22.353,28.73,21.116,27.051,25.832,29.69,31.592,39.53,39.932,38.899,30.942,32.151,33.036,35.383,29.269,33.16,33.797,33.942,35.405,38.263,42.315,42.558,41.342,40.444,46.436,44.401,45.495,47.983,45.795,45.42,46.436,46.914,50.269,49.65,47.969,51.22,48.747,46.285,53.662,50.075,48.758,50.795,50.776,48.961,51.729,52.055,53.159,53.839,54.847,52.122,52.77,54.011,53.328,53.25,52.649,56.115,58.384,56.19,59.594,60.557,60.272,59.92,59.764,59.488,59.7,58.596,62.716,57.825,64.525,65.684,63.87,65.163,64.828,65.24,65.233,64.213,63.991,65.379,65.733,66.722,67.221,69.953,69.034,70.331,69.613,71.783,71.919,71.507,70.942,71.217,72.8,79.332,74.746,73.568,75.409,78.269,76.098,75.587,74.316,70.896,72.004,74.76,75.547,77.124,84.096,66.054,67.342,74.87,74.753,74.846,76.134,77.733,77.985,76.676,76.696,78.382,81.708,83.21,81.08,78.428,74.661,80.885,74.76,73.365,73.072,78.602,79.855,81.596,81.691,82.401,86.263,87.697,89.668,88.424,88.219,89.017,89.229,89.926,94.085,93.98,94.627,95.757,93.449,93.093,93.251,93.614,94.575,93.007,93.985,94.677,93.963,93.849,93.993,88.74,90.014,91.156,89.955,91.313,93.327,93.979,93.833,93.555,93.386,93.836,89.599,93.779,94.426,93.571,94.661,95.374,98.273,102.05,100.24,99.437,101.537,105.194,105.312,105.839,108.555,111.644,113.285,114.251,116.185,112.996,116.214,113.585,113.492,113.304,112.561,113.748,114.256
"26","18","    Gross investment","B798RA3",16.077,16.133,7.905,8.536,15.496,12.678,13.359,17.749,14.645,14.726,23.386,26.826,21.147,24.175,26.307,18.784,19.033,20.4,17.095,24.541,21.262,19.385,18.766,19.315,16.715,17.938,17.114,17.272,15.038,18.555,14.911,13.802,12.996,11.332,9.421,10.843,11.586,13.816,15.955,15.55,15.326,15.817,16.428,15.945,19.082,18.012,18.972,19.295,18.79,19.588,18.476,18.612,19.414,21.958,22.576,25.039,26.798,25.496,26.715,28.664,28.785,30.537,31.821,34.505,33.847,35.763,38.854,39.334,41.172,40.27,42.765,45.337,45.639,48.43,49.003,50.534,51.801,50.326,49.901,47.004,42.97,39.42,39.611,39.708,37.35,35.823,34.198,34.086,33.382,33.046,31.594,30.383,29.463,30.668,30.454,31.065,30.501,31.768,33.272,31.977,33.139,33.783,32.874,32.376,34.867,33.755,33.545,33.663,32.196,37.475,33.776,36.412,37.252,35.294,35.384,37.329,37.733,39.744,39.321,39.099,38.371,40.105,43.299,42.04,44.625,47.757,51.914,49.592,47.229,47.32,49.805,44.896,50.499,51.011,52.06,50.362,51.639,50.621,50.731,50.324,47.658,48.004,46.652,46.632,52.995,52.568,55.174,53.762,56.469,58.04,57.175,58.735,61.398,59.19,63.083,62.379,63.449,61.727,61.56,65.214,65.948,70.43,69.626,70.51,64.194,64.237,65.598,64.619,66.27,69.334,69.59,70.862,77.145,76.804,74.882,72.541,75.65,80.642,81.848,88.02,89.741,88.012,88.285,93.883,97.287,94.358,90.838,85.843,81.953,79.625,80.966,86.193,89.856,88.25,86.235,84.059,92.399,98.571,93.882,88.231,92.451,98.412,92.769,84.437,99.683,108.64,100.196,98.597,100.821,113.803,105.935,115.034,100.47,106.251,99.256,94.023,98.12,105.93,98.011,99.054,104.948,113.473,107.132,104.382,104.684,116.572,107.956,108.421,109.472,119.922,113.035,116.248,114.855
"27","19","      Structures","B830RA3",9.549,30.595,40.637,52.587,58.129,63.438,68.021,65.782,70.838,83.552,123.987,124.227,107.05,125.447,114.785,108.025,101.243,99.277,95.191,98.71,104.173,91.332,86.481,85.958,89.772,87.455,84.421,85.76,78.728,79.314,77.731,66.335,57.84,52.462,48.643,48.721,53.577,66.449,81.578,79.602,79.816,82.048,86.413,83.371,102.754,103.405,103.961,107.162,108.492,114.672,109.006,106.796,111.775,124.394,124.813,133.78,141.954,128.672,136.167,143.92,141.101,152.314,153.325,166.795,157.569,165.227,168.115,171.611,175.407,179.208,175.605,183.895,181.873,188.378,187.613,195.464,201.959,193.001,179.96,174.299,150.552,133.898,140.793,139.891,135.692,131.569,120.351,119.943,112.717,110.34,106.954,101.056,100.084,107.911,111.266,114.975,115.073,118.675,125.807,120.433,126.659,126.384,122.215,120.332,137.475,127.976,133.659,133.729,123.255,138.095,122.7,134.962,137.403,132.012,131.767,138.14,139.847,148.855,144.137,142.762,137.871,145.384,159.973,151.415,155.523,169.469,188.501,174.101,158.696,159.798,167.253,156.437,164.427,163.657,162.854,159.266,167.895,161.291,156.375,155.929,140.585,132.229,128.242,124.011,125.116,125.788,135.893,124.665,128.022,136.299,128.941,133.891,130.24,130.157,143.382,135.368,147.523,143.087,140.573,143.416,154.563,164.911,161.74,152.372,119.697,116.744,121.723,108.661,106.827,110.105,114.895,121.232,131.051,129.416,128.169,118.905,120.775,140.558,140.393,166.7,159.147,156.844,148.201,168.017,175.077,164.348,169.707,166.866,152.18,142.137,143.94,170.589,161.994,150.712,152.852,139.894,154.58,163.377,155.249,135.398,138.594,134.272,140.034,110.57,140.232,136.602,141.995,134.704,138.441,132.318,130.409,133.29,111.615,103.118,96.985,88.282,93.587,93.026,97.212,101.128,110.799,110.078,111.588,115.39,111.889,117.601,115.991,106.211,105.017,107.145,107.716,104.57,96.697
"28","20","      Equipment and software","B880RA3",12.828,10.312,1.895,0.977,6.277,2.905,2.794,7.136,3.597,1.926,4.304,7.488,4.581,4.847,8.015,2.507,3.465,4.867,2.546,8.823,5.07,5.125,5.211,5.756,2.913,4.327,3.97,3.923,2.849,6.16,2.844,3.463,3.935,3.142,1.888,3.261,3.249,3.476,3.252,3.156,2.883,3.026,2.947,2.938,3.033,1.879,2.741,2.566,1.91,1.793,1.594,1.983,2.029,2.537,2.965,3.828,4.234,4.794,4.86,5.468,5.893,5.948,6.822,7.334,7.886,8.473,10.497,10.466,11.399,10.362,12.516,13.518,13.986,15.384,15.931,16.192,16.396,16.313,17.558,15.958,15.639,14.849,14.18,14.362,13.02,12.32,12.383,12.346,12.672,12.699,11.958,11.722,11.107,11.106,10.53,10.56,10.1,10.662,10.973,10.606,10.751,11.315,11.114,10.953,10.736,11.091,10.13,10.22,10.42,12.892,11.875,12.407,12.801,11.85,11.972,12.767,12.867,13.305,13.663,13.677,13.783,14.199,14.839,15.049,16.842,17.508,18.288,18.527,18.92,18.811,19.966,16.936,21.224,21.894,23.15,22.048,21.679,21.928,23.062,22.72,22.99,25.113,24.44,25.306,32.193,31.58,32.312,33.194,35.49,35.435,36.087,36.752,40.599,38.106,39.559,40.576,39.017,38.053,38.44,41.994,40.244,43.013,42.825,46.083,46.476,47.225,47.626,49.615,52.006,54.819,53.959,53.904,58.899,58.899,56.929,56.463,59.701,60.686,62.168,62.855,66.825,65.334,67.899,69.487,71.773,71.052,65.37,60.051,59.243,59.105,60.256,59.325,66.275,67.437,64.29,65.271,71.476,76.731,73.233,72.069,76.522,85.54,76.353,74.909,85.321,98.41,85.374,85.741,87.38,106.998,96.973,108.263,96.311,107.39,100.101,96.198,99.866,110.915,98.296,98.209,102.586,114.831,105.272,99.809,101.679,116.15,104.553,109.419,111.45,125.584,115.326,121.487,123.178
"29","21","State and local","B829RA3",12.86,13.035,13.339,13.555,13.534,13.923,14.17,14.515,15.114,15.976,16.642,16.959,17.38,17.527,17.541,17.55,17.378,17.674,17.759,17.73,17.785,18.164,17.673,18.088,18.477,18.446,18.94,19.4,20.096,20.177,20.737,20.833,21.708,21.993,21.957,22.087,22.327,22.601,22.71,22.942,23.519,23.72,24.054,24.649,25.347,25.712,26.275,26.756,26.968,27.042,27.066,26.92,27.389,28.058,28.476,28.803,29.736,29.537,29.787,30.613,30.395,30.614,31.004,31.343,31.932,32.222,33.083,33.545,34.044,34.825,35.205,35.578,35.915,36.825,37.861,38.408,38.884,39.184,39.636,40.655,41.158,41.383,41.545,42.269,43.01,43.846,44.477,44.859,45.226,45.604,45.7,45.605,46.026,46.278,47.323,47.561,47.777,48.098,48.217,48.835,48.996,48.892,49.291,49.985,50.21,50.296,50.824,51.447,52.123,52.791,52.734,52.763,54.328,53.927,54.595,55.293,55.89,54.933,54.549,54.376,54.902,55.225,55.165,55.256,55.27,56.89,57.529,58.065,57.108,57.638,57.848,58.505,58.783,58.013,57.197,56.952,57.381,56.281,56.1,56.547,56.374,56.552,56.555,56.948,57.157,57.014,57.468,57.433,58.08,58.83,59.856,60.524,61.259,62.532,63.738,64.482,66.081,66.894,67.544,67.738,67.717,67.768,67.913,68.765,69.611,70.476,70.727,71.513,71.878,72.595,73.261,74.241,75.415,75.569,76.071,76.909,77.006,77.305,77.755,78.332,79.356,79.26,79.327,79.327,79.663,80.33,80.74,81.102,81.344,82.217,83.16,83.45,84.106,84.76,84.811,85.237,85.014,86.243,87.038,88.378,89.239,89.6,89.957,90.282,90.741,92.333,94.053,94.929,96.195,96.865,97.679,98.896,99.679,99.696,100.007,100.618,101.601,103.394,102.784,104.869,105.631,105.701,106.152,106.514,106.551,106.432,107.006,106.968,106.965,107.482,107.033,107.202,107.178
"30","22","  Consumption expenditures","B991RA3",14.804,15.064,15.341,15.429,15.193,15.264,15.302,15.519,16.05,16.47,16.916,17.266,17.733,17.76,17.689,17.66,17.549,17.582,17.693,17.797,17.604,18.258,17.726,17.99,18.347,18.289,18.689,18.677,18.955,19.075,19.475,19.633,20.299,20.444,20.637,20.842,20.833,21.165,21.45,21.755,21.861,22.181,22.641,23.048,23.545,24.05,24.438,24.707,24.816,24.999,25.299,25.624,26.019,26.58,26.761,27.148,27.731,28.148,28.104,28.362,28.414,28.761,29.037,29.364,29.622,30.032,30.576,31.003,31.579,32.067,32.508,33.073,33.496,34.156,34.76,35.284,35.77,36.229,36.743,37.372,37.432,37.834,38.504,39.057,39.801,40.291,41.008,41.626,42.306,42.924,43.546,44.273,44.94,45.451,46.186,46.828,47.373,47.804,48.346,48.915,49.245,49.713,50.201,50.576,50.816,51.266,51.997,52.574,53.168,53.721,54.264,54.911,55.997,56.615,57.076,57.077,57.148,57.246,57.585,57.919,58.181,58.316,58.74,59.041,59.39,59.43,59.855,60.317,60.447,60.072,59.82,60.227,60.257,60.131,59.948,59.731,59.489,59.528,59.935,60.18,60.442,60.702,60.686,60.843,61.407,61.317,61.335,61.363,61.592,62.11,62.823,63.446,64.152,65.054,66.374,67.456,68.8,69.659,70.292,71.013,70.503,70.635,70.581,71.415,72.476,72.967,73.407,73.939,74.467,75.006,75.662,76.332,77.062,77.541,78.146,78.524,78.904,79.269,79.575,79.968,80.59,81.063,81.713,81.989,82.518,82.696,83.144,83.479,84.22,84.882,85.408,85.711,86.402,86.809,87.152,87.595,87.546,88.518,88.83,89.363,89.822,90.51,91.341,92.21,92.991,93.934,94.905,95.796,96.951,97.77,98.499,99.172,99.413,99.841,100.098,100.649,101.287,101.938,102.987,104.002,104.27,104.702,105.008,105.396,105.44,105.537,105.558,105.79,105.851,105.854,106.19,106.49,106.592
"31","23","  Gross investment","B799RA3",8.619,8.605,8.975,9.48,9.947,11.059,11.784,12.426,13.19,15.087,16.283,16.527,16.848,17.301,17.529,17.63,17.308,18.226,18.255,17.914,18.56,18.286,17.883,18.668,19.138,19.171,19.906,21.563,23.358,23.341,24.332,24.26,25.704,26.375,25.719,25.649,26.548,26.672,26.329,26.381,28.184,28.078,28.092,29.187,30.424,30.407,31.455,32.524,33.036,32.813,32.06,30.566,31.231,32.201,33.309,33.454,35.424,33.374,34.517,37.073,36.028,35.845,36.582,36.952,38.558,38.47,40.303,40.869,41.114,42.803,42.986,42.739,42.797,44.482,46.863,47.472,47.903,47.689,47.936,50.193,52.139,51.779,50.244,51.518,52.217,54.178,54.493,54.068,53.367,52.932,51.262,48.408,47.989,47.362,49.407,48.287,47.395,47.337,46.04,46.798,46.391,44.376,44.464,46.203,46.377,45.235,45.056,45.799,46.696,47.691,45.778,43.941,46.836,43.393,44.668,47.502,49.759,45.52,42.852,41.055,42.388,43.302,41.642,41.027,39.916,46.741,48.066,48.825,44.316,47.809,49.53,50.982,52.054,49.195,46.347,46.02,48.61,43.866,41.801,42.879,41.315,41.226,41.287,42.427,41.467,41.152,43.052,42.796,44.858,46.4,48.503,49.322,50.16,52.751,53.538,53.054,55.557,56.192,56.893,55.191,56.932,56.686,57.554,58.462,58.518,60.734,60.297,62.006,61.761,63.132,63.833,65.954,68.783,67.724,67.835,70.416,69.423,69.469,70.476,71.766,74.371,72.05,69.831,68.745,68.31,70.905,71.162,71.628,69.901,71.608,74.201,74.438,74.948,76.574,75.479,75.84,74.941,77.172,79.853,84.376,86.85,85.923,84.399,82.557,81.74,85.906,90.604,91.415,93.132,93.203,94.364,97.778,100.762,99.102,99.641,100.495,102.888,109.377,101.93,108.422,111.218,109.806,110.855,111.111,111.113,110.082,112.989,111.806,111.532,114.232,110.475,110.1,109.552
"32","24","    Structures","B842RA3",11.627,11.552,12.058,12.781,13.047,14.827,16.016,17.006,18.286,20.896,22.515,22.768,23.369,24.097,24.526,24.803,24.083,25.488,25.507,25.016,25.854,25.412,24.78,25.947,26.58,26.608,27.697,30.199,32.688,32.686,34.144,33.99,36.329,37.274,36.334,36.35,37.401,37.477,36.858,36.896,39.229,38.917,38.836,40.41,42.502,42.432,43.985,45.549,46.224,45.83,44.644,42.302,43.053,44.421,46.043,46.187,49.221,46.037,47.731,51.578,49.809,49.49,50.563,51.062,53.092,52.825,55.445,56.166,56.283,58.674,58.803,58.257,58.408,60.782,64.202,64.976,65.51,64.967,65.154,68.388,71.385,70.732,68.42,70.345,71.318,74.175,74.441,73.646,72.475,71.673,69.052,64.76,63.966,63.074,65.968,64.408,63.12,62.989,60.947,61.877,60.983,57.816,57.719,60.111,60.129,58.249,57.75,58.488,59.545,60.854,58.117,55.592,59.825,54.834,56.701,60.879,64.263,58.079,54.2,51.578,53.677,55.046,52.599,51.639,49.847,59.689,61.417,62.306,55.489,60.397,62.703,64.603,65.948,61.661,57.468,57,60.868,54.064,51.045,52.483,50.015,49.729,49.638,51.075,49.253,48.412,50.688,49.858,52.349,54.073,56.551,57.173,57.825,61.05,61.786,60.665,63.834,64.428,65.291,62.717,65.1,64.529,65.54,66.63,66.516,69.2,67.989,69.712,68.397,69.381,69.554,71.819,75.351,73.661,73.782,77.328,76.318,76.454,77.865,79.438,82.768,79.077,75.634,73.881,73.37,76.924,76.812,77.086,73.784,75.608,78.701,78.48,78.759,80.494,78.763,78.938,77.819,80.729,84.113,89.874,92.306,90.307,87.334,84.142,82.065,86.748,92.276,92.551,93.966,93.167,94.126,98.269,101.737,98.966,99.356,99.941,102.888,110.537,100.762,108.56,111.945,110.066,111.101,111.603,111.373,109.88,113.043,111.375,111.255,114.32,109.469,108.376,107.139
"33","25","    Equipment and software","B881RA3",1.929,2.001,2.075,2.131,2.749,2.599,2.463,2.438,2.269,2.621,2.877,3.033,2.877,2.822,2.715,2.561,2.857,2.842,2.876,2.842,3.028,3.066,3.098,3.123,3.23,3.26,3.292,3.299,3.61,3.58,3.642,3.699,3.53,3.626,3.55,3.406,3.788,3.924,4.046,4.097,4.619,4.818,4.955,5.068,4.78,4.839,4.884,4.958,5.088,5.165,5.23,5.343,5.693,5.826,5.902,6.003,5.931,6.042,6.091,6.116,6.375,6.435,6.488,6.57,7.122,7.309,7.513,7.699,8.057,8.276,8.485,8.733,8.643,8.878,9.112,9.317,9.479,9.807,10.08,10.307,10.191,10.36,10.376,10.356,10.47,10.591,10.901,11.137,11.317,11.556,11.762,11.821,12.103,12.039,12.279,12.106,12.043,12.117,12.324,12.653,13.167,13.503,13.902,14.203,14.63,15.007,15.449,16.11,16.606,16.883,16.813,16.534,16.451,16.427,16.408,16.324,16.165,16.152,16.108,16.085,15.808,15.748,15.769,15.874,16.166,16.5,16.901,17.321,17.702,18.105,18.502,18.914,19.312,19.549,19.655,19.64,19.402,19.291,19.365,19.612,20.055,20.39,20.767,21.198,22.12,22.935,23.908,24.87,25.885,26.932,28.095,29.269,30.439,31.507,32.349,33.255,34.162,34.848,35.156,35.458,35.694,36.183,36.683,37.135,37.572,38.617,39.962,41.559,43.76,45.951,47.833,49.53,50.613,51.07,51.154,51.377,50.47,50.303,50.323,50.892,51.684,52.658,53.412,53.954,53.733,53.945,55.085,56.003,58.185,59.549,60.82,62.192,63.247,64.553,65.152,66.015,65.803,66.155,66.841,67.808,70.224,72.347,75.051,77.266,80.476,83.072,85.175,87.736,90.356,93.313,95.134,96.008,97.29,99.574,100.647,102.49,102.859,105.013,106.391,107.876,108.374,108.814,109.923,109.18,110.117,110.991,112.829,113.676,112.751,113.89,114.924,117.773,120.391
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
