"","Table 1BUC# Current Dollar Manufacturing and Trade Inventories, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69"
"61","53","  Furniture, furnishings, electronics, and appliance stores","S44230",24328,23678,23115,22818,22628,22073,21498,21495,21438,21759,22026,22440,22797,23334,22868,23414,23058,22282,21745,21794,22284,22318,22957,22948,22907,23552,23755,24154,25093,25748,26257,27261,27229,28050,27438,27628,28191,28187,28064,28192,28669,28514,28737,29156,27960,27677,28301,25858,25054,24507,24266,23901,24159,24876,25240,25613,25616,25380,25033,25119,25279,25652,25189,25524,25322,24958
"62","54","  Building material and garden equipment and supplies dealers","S4440",32420,32971,33401,33519,34084,34241,35022,35431,36078,36614,36849,37734,38052,38487,38955,38965,38975,39194,39082,39016,39726,40064,40631,41297,41647,41586,42658,42975,44203,45937,46620,48041,48735,48604,49438,51621,51837,52594,53704,53202,52766,54849,54210,55340,54635,55792,55881,53150,51737,50149,49931,49875,49801,50104,49700,50802,51576,51553,52058,52403,52911,53123,54027,54231,54873,54731
"63","55","  Food and beverage stores","S4450",27676,27627,28066,27832,28121,28602,28713,29228,29611,30106,30866,30925,31016,30763,30881,30999,31719,31909,32105,32104,32496,31988,32639,32797,32966,32531,33655,33772,33909,34560,34810,35095,35416,35240,34889,35828,35544,36002,37107,37449,38609,38616,39798,41569,42219,43098,43319,42384,42343,42150,41939,42653,43892,42890,43220,44711,45752,45952,46817,47002,47415,47489,48325,48955,49298,49921
"64","56","  Clothing and clothing accessories stores","S4480",26126,26926,27297,27500,28024,28323,28878,28786,29107,29546,29038,30137,30650,31152,31970,32769,32649,32360,32307,31639,31224,32209,33033,33645,34261,33931,34159,34652,35081,35910,36681,37448,38658,38785,39282,39322,40665,42111,42812,44324,44701,44066,44489,44497,44368,43829,43736,42720,41828,40897,39334,38517,38464,39149,39483,40588,42230,42940,43948,43380,43609,44010,44193,44672,44529,44130
"65","57","  General merchandise stores","S4520",57874,58684,58429,58252,58528,58686,59451,59404,60106,60726,61443,62433,62659,63352,63146,63730,65353,65635,65615,64166,63589,63541,64691,66115,66483,67024,67950,68562,70441,71775,71955,74201,76213,76514,77352,78037,77524,77274,78892,80222,81191,81701,81455,82431,81781,82182,82838,80879,79773,79268,77846,78282,78745,79691,81055,82197,85053,85637,86856,87455,87512,87816,88073,89771,91270,91788
"66","58","    Department stores","S45210",41851,42385,42115,42098,41952,41760,42033,41535,41814,41903,41846,42311,42071,42160,41498,41687,42340,42051,41718,39948,38927,38261,38155,38517,38133,38005,37766,37465,37959,38185,37990,38639,39958,39222,39366,39697,38853,38276,38712,39163,39083,39207,38866,38974,38297,37591,37474,36270,35524,35252,34581,34133,34498,34992,35443,36497,37073,36864,37273,36946,36083,35993,35044,35796,36283,36106
"67","59","    Other general merchandise stores","S45290",16023,16299,16314,16154,16576,16926,17418,17869,18292,18823,19597,20122,20588,21192,21648,22043,23013,23584,23897,24218,24662,25280,26536,27598,28350,29019,30184,31097,32482,33590,33965,35562,36255,37292,37986,38340,38671,38998,40180,41059,42108,42494,42589,43457,43484,44591,45364,44609,44249,44016,43265,44149,44247,44699,45612,45700,47980,48773,49583,50509,51429,51823,53029,53975,54987,55682
"68","60","  Other retail stores","S44X0",59223,60187,61724,62412,64915,66263,66726,68802,69789,71593,73157,74997,76335,77574,77960,78539,77757,77350,77523,75681,75420,76368,77326,76642,78254,76307,76815,78207,79785,80850,82653,84583,86024,86878,89287,89445,91095,93036,92948,94403,96495,98014,98892,101966,102226,103027,102391,96608,95069,95592,95118,97196,97768,97900,99578,101994,103736,104516,104997,106292,107056,107208,109927,110172,111872,113106
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
