"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165"
"22","14","    Nondurable goods","B691RA3",8.279,7.73,7.938,8.044,8.228,8.645,8.771,8.651,7.817,9.405,8.786,8.294,9.725,9.759,9.529,10.04,10.07,9.892,11.978,8.581,11.178,9.973,11.594,11.114,12.672,13.738,13.56,13.391,15.647,16.024,15.879,15.776,14.668,14.107,16.06,16.906,16.102,17.307,16.142,17.712,17.516,18.086,20.55,19.279,18.218,20.515,21.104,21.814,21.353,21.69,22.636,23.999,27.66,28.127,26.65,27.754,29.947,30.481,28.953,27.956,27.185,29.209,27.901,28.391,27.878,26.524,27.171,27.876,26.262,26.991,27.262,27.624,27.1,25.872,25.797,26.943,27.771,28.273,29.104,29.296,29.963,32.061,33.856,34.577,36.02,38.627,40.594,42.347,42.355,46.346,46.536,47.093,50.173,55.019,53.353,55.947,59.518,56.463,56.196,57.141,59.216,61.399,63.587,64.223,63.296,63.041,64.849,65.837,66.467,69.568,74.865,75.858,73.285,74.386,77.799,77.506,80.259,80.584,80.273,82.961,87.147,88.26,87.648,89.752,89.075,91.312,91.616,90.794,92.455,90.207,91.301,92.432,95.739,100.138,102.653,101.47,102.643,101.956,95.521,96.619,93.422,96.138,96.905,98.807,103.01,102.132,104.777,104.829,111.634,115.479,113.642,118.517,119.627,122.382,122.255,125.094,128.694,128.402,133.088,135.493,138.357,137.883
"23","15","  Other","B643RA3",21.908,21.96,21.527,22.003,22.371,22.313,22.547,25.451,26.447,25.675,24.77,28.291,31.077,28.693,31.56,29.583,31.268,32.04,31.236,30.38,33.676,34.047,35.667,35.959,36.45,36.749,34.386,35.425,35.323,36.557,32.161,36.015,36.636,33.593,31.771,36.624,33.927,29.297,34.986,32.504,35.631,36.265,42.266,38.611,30.849,32.58,26.502,33.047,34.746,28.992,27.446,30.923,39.063,31.048,32.075,32.274,36.595,42.437,39.927,41.192,32.623,31.193,35.699,36.462,37.799,36.926,38.242,43.782,46.65,48.789,50.152,51.854,58.359,59.375,56.204,57.089,53.881,56.339,56.656,60.027,70.066,67.781,69.145,73.777,74.294,76.201,74.782,78.319,74.562,77.653,72.69,84.022,67.276,66.289,67.027,73.641,74.176,72.077,69.015,71.242,69.873,70.072,68.811,70.538,62.266,70.156,68.44,71.325,65.645,70.933,69.691,73.074,73.011,69.947,70.239,72.676,71.348,74.619,75.693,81.985,80.335,82.94,85.298,86.029,86.058,88.066,94.374,98.707,98.32,97.667,95.418,99.934,97.743,93.452,103.314,105.491,101.011,97.623,93.129,90.344,94.406,95.036,98.041,92.321,86.288,81.603,82.799,84.107,84.232,85.794,83.801,80.005,87.816,89.26,93.497,93.377,96.197,88.118,93.765,93.065,101.291,93.872
"24","16","Exports of services \1\","B646RA3",15.402,14.951,14.194,15.072,15.319,15.86,16.338,16.68,15.333,17.119,16.764,17.367,16.992,18.762,18.382,18.378,19.641,19.59,18.862,20.013,19.582,18.709,19.895,19.429,19.826,20.711,21.071,21.493,21.336,23.025,21.867,23.356,24.529,25.4,21.829,23.333,23.604,23.58,25.177,25.542,25.476,26.263,26.248,26.233,27.697,27.541,28.319,29.378,29.407,28.978,28.858,29.168,29.565,30.244,32.148,31.719,33.567,34.617,34.962,33.699,34.103,33.706,32.85,32.391,33.037,32.79,33.086,31.926,35.204,36.178,35.805,35.323,36.32,36.119,35.348,36.417,40.487,40.125,41.729,42.957,44.128,45.736,45.882,46.262,48.112,49.431,50.763,50.159,53.327,53.737,55.45,56.376,58.652,60.045,60.951,62.271,59.544,63.795,65.216,67.773,68.044,67.639,67.784,66.894,69.022,69.686,70.163,70.035,72.246,74.191,74.542,75.409,75.873,76.416,80.767,82.117,81.532,84.172,82.714,89.515,87.795,89.834,90.597,89.809,90.798,92.802,90.954,93.756,95.629,96.712,97.786,98.703,99.055,101.092,99.384,100.469,99.189,99.021,95.437,91.559,96.393,97.034,98.12,100.87,95.394,94.716,98.617,103.867,107.836,109.197,108.243,112.529,114.325,114.592,115.341,117.109,117.96,119.103,119.698,126.828,127.335,129.575
"25","17","  Transfers under U.S. military agency sales contracts","B267RA3",88.052,80.575,64.539,79.571,82.887,90.928,95.475,101.175,81.174,94.06,88.984,99.408,79.451,109.561,98.718,99.085,121.834,118.297,101.619,120.802,104.475,87.212,100.791,85.012,70.326,89.363,81.47,91.376,66.052,90.012,67.431,82.527,99.82,117.932,56.158,72.96,67.659,64.381,80.779,86.945,89.825,92.135,90.867,93.491,100.982,90.99,88.608,94.718,85.634,75.919,70.984,67.845,75.893,82.515,106.031,92.787,85.559,104.956,114.184,86.027,105.252,110.745,103.228,106.126,123.623,104.89,100.904,83.204,86.767,80.651,82.909,69.79,83.576,74.458,64.067,62.465,64.761,66.806,73.417,92.373,111.126,117.689,96.528,81.438,91.117,94.924,95.63,66.332,80.036,79.232,88.501,68.374,78.097,84.459,104.854,86.966,92.601,88.112,85.348,104.771,115.618,100.982,104.873,83.396,109.021,107.079,116.688,86.532,89.75,98.322,110.058,89.543,101.175,104.035,118.394,107.202,101.83,116.581,127.947,138.685,117.089,142.576,133.397,115.779,141.019,139.49,123.466,135.214,118.833,134.92,115.97,100.552,95.296,110.252,92.751,101.701,79.208,105.515,100,89.543,84.38,81.294,103.472,89.56,82.587,87.445,106.432,107.509,120.63,119.178,114.534,103.117,136.005,133.874,147.795,124.352,123.192,113.829,109.277,116.108,117.877,117.042
"26","18","  Travel","B493RA3",10.022,9.492,9.936,10.181,10.21,9.989,10.319,10.437,11.248,11.329,11.147,10.993,12.108,12.025,11.851,12.241,12.553,12.135,12.343,13.313,13.12,13.451,13.605,13.896,15.621,15.006,15.532,15.969,16.931,16.455,16.912,17.299,18.852,17.691,17.701,18.847,19.642,21.117,21.859,20.65,20.051,20.793,20.913,21.692,21.613,22.611,22.672,22.747,24.258,23.993,23.201,24.648,26.81,26.014,27.42,27.098,29.6,28.831,29.149,30.914,28.66,27.24,25.561,24.17,21.956,21.846,24.316,21.081,30.429,35.368,33.223,34.006,33.043,34.339,32.304,32.022,36.614,34.983,37.699,37.651,37.255,39.871,41.668,43.37,44.962,47.411,51.226,52.034,55.933,56.262,59.271,62.361,65.674,65.665,63.64,68.775,61.004,69.973,72.305,76.174,77.412,77.882,76.605,78.121,80.063,81.303,81.483,82.348,80.574,82.166,81.184,82.874,83.084,83.048,90.129,94.117,91.527,95.89,87.098,102.309,97.822,96.658,97.961,95.158,94.128,95.211,90.171,92.835,93.898,93.565,95.225,97.865,100.996,102.021,98.235,98.748,99.641,94.065,84.255,69.762,79.494,78.752,79.351,87.198,75.965,69.245,77.221,85.475,84.082,86.787,86.451,88.171,90.57,94.22,90.025,89.54,90.595,90.232,90.891,94.588,95.708,96.982
"27","19","  Passenger fares","B533RA3",5.523,5.438,6.162,6.1,6.314,6.523,6.337,6.461,6.703,6.908,7.295,6.791,8.036,8.51,8.204,8.571,8.878,8.331,8.214,8.998,8.632,9.119,9.018,10.377,12.133,12.471,13.61,13.058,13.589,12.798,12.437,12.206,10.893,9.965,11.438,10.843,10.971,12.158,12.722,12.188,12.034,13.546,13.153,13.46,13.671,14.035,15.624,17.918,19.455,20.853,21.166,22.713,22.583,22.559,23.13,21.726,23.739,25.619,25.219,23.751,24.542,23.995,23.361,23.907,27.136,27.166,26.532,28.132,30.195,32.658,31.099,31.926,31.818,34.377,36.411,39.187,42.289,38.229,46.787,45.609,46.428,51.373,52.163,53.727,58.654,60.94,65.057,61.162,68.941,66.883,72.963,76.309,92.389,95.95,92.832,101.479,76.342,90.315,95.96,97.539,93.085,92.046,89.425,92.446,90.948,89.08,90.075,88.274,89.361,91.772,90.458,88.123,92.218,88.248,97.615,101.015,101.073,103.549,97.949,106.699,111.532,107.577,107.72,112.366,106.558,111.608,110.677,101.523,97.678,97.642,101.45,96.154,97.147,102.547,100.048,100.258,96.865,93.898,86.655,66.354,81.702,80.992,76.995,78.463,67.778,59.661,66.035,68.851,69.956,72.047,73.882,69.413,67.712,72.856,76.352,77.404,77.833,74.689,78.369,79.078,78.03,79.842
"28","20","  Other transportation","B683RA3",27.536,27.437,26.669,26.713,26.816,27.663,28.349,28.179,24.227,32.192,31.638,31.518,33.124,34.085,34.857,33.539,32.941,34.481,35.244,30.72,36.412,36.289,37.594,39.759,45.676,43.991,44.255,43.306,43.463,46.638,46.043,49.271,46.735,45.001,44.813,46.466,49.948,47.042,48.985,51.674,49.389,52.558,51.08,46.767,50.717,52.415,53.876,55.132,58.966,57.987,60.838,61.337,58.366,58.723,59.475,61.04,60.976,59.264,59.486,59.123,59.691,58.358,56.407,54.864,51.649,54.035,56.422,59.007,65.746,66.88,67.303,67.285,68.771,66.886,66.937,69.779,65.05,65.625,67.82,68.641,70.619,72.779,75.923,78.902,83.046,85.862,85.045,85.625,86.693,87.356,83.674,86.131,86.504,88.266,88.589,81.441,82.26,87.288,88.112,89.295,84.013,82.524,80.829,81.176,82.827,82.357,81.15,83.835,83.91,89.653,90.143,95.113,93.812,96.355,96.801,100.05,91.648,94.093,92.922,97.871,95.528,97.448,97.173,98.797,95.004,93.474,94.198,99.246,99.612,99.314,97.619,101.91,101.117,102.475,98.965,97.444,99.984,98.065,95.268,92.528,98.157,97.067,98.484,101.056,95.861,100.816,100.214,106.991,112.727,115.055,111.556,113.816,115.468,113.222,107.916,108.278,111.893,117.324,116.434,121.94,121.499,120.872
"29","21","  Royalties and license fees","B684RA3",19.542,19.718,19.144,18.931,18.907,19.447,20.25,20.243,19.911,20.853,19.97,20.611,21.497,22.319,22.746,22.677,22.63,22.714,22.543,24.224,23.359,23.695,24.338,24.793,26.203,24.729,27.795,26.6,28.484,28.754,29.439,30.107,30.238,30.345,29.815,29.868,29.053,28.707,28.62,27.97,28.626,29.432,31.033,30.799,33.087,32.058,32.879,34.693,31.5,31.724,31.929,32.496,32.349,33.618,32.848,33.19,31.794,31.16,30.831,30.56,23.702,22.699,22.96,19.205,21.891,22.345,21.874,21.406,22.091,22.288,22.355,22.945,22.012,22.405,22.199,26.908,25.741,27.45,27.959,29.268,31.747,32.22,34.364,35.287,36.842,37.842,37.94,40.935,41.613,41.09,41.755,42.911,44.871,47.473,49.733,50.441,48.964,48.895,49.331,51.536,56.427,56.554,57.23,55.77,56.035,58.335,56.779,58.372,68.311,69.122,68.743,70.248,73.516,75.203,78.814,78.391,78.783,78.33,80.826,82.949,80.27,81.274,81.337,79.768,82.861,84.952,83.921,91.371,93.213,92.405,95.596,95.114,99.587,100.779,100.768,98.866,92.273,92.857,89.428,94.372,93.548,100.663,102.96,100.318,99.457,101.468,103.222,106.755,112.663,112.265,113.571,124.123,123.019,120.243,121.142,123.231,119.997,120.998,125.257,130.172,131.507,132.446
"30","22","  Other private services","B720RA3",2.282,2.436,2.675,2.754,2.684,2.631,2.599,2.603,2.691,2.82,2.979,3.055,3.058,3.024,3.118,3.176,3.349,3.5,3.667,3.824,3.939,3.991,3.993,4.072,4.133,4.254,4.417,4.651,7.027,7.029,7.097,7.331,7.707,8.206,8.415,8.729,9.033,9.358,9.848,10,9.914,9.829,9.709,9.954,10.802,10.943,12.305,12.613,12.823,13.021,12.907,13.25,12.888,13.792,14.199,14.698,19.326,19.971,19.701,20.464,23.499,23.711,23.863,24.75,23.261,23.801,23.497,24.136,24.576,23.866,24.06,23.511,23.742,23.434,23.87,24.786,34.046,34.095,33.815,34.122,33.684,33.869,34.054,34.622,35.119,35.156,35.694,36.534,39.192,40.644,41.888,42.703,41.809,42.335,43.263,45.429,47.007,49.079,49.798,50.607,49.54,49.608,50.857,50.217,50.953,51.305,52.22,54.089,56.677,58.109,58.433,60.798,59.486,60.375,62.009,63.124,64.993,66.821,67.685,71.078,72.699,76.064,78.177,79.36,80.479,83.894,84.822,86.715,93.608,95.466,98.007,100.552,97.767,99.106,100.171,102.956,103.683,105.182,106.399,110,113.303,113.929,113.824,117.831,115.047,116.808,117.914,122.646,128.935,129.675,127.729,136.22,136.915,135.911,140.254,147.828,149.786,153.15,152.54,166.009,166.151,171.242
"31","23","  Other","B980RA3",34.299,34.438,34.844,35.018,36.458,36.329,36.532,36.822,36.593,36.695,37.473,37.491,38.522,38.441,39.905,39.67,39.609,40.046,39.513,40.252,40.736,41.736,43.705,45.205,46.83,48.627,53.525,51.27,52.321,53.285,54.966,55.721,56.636,59.131,58.368,58.695,59.682,59.636,60.698,61.651,63.766,63.225,64.819,65.387,65.716,68.11,69.285,70.654,71.913,74.518,75.332,71.212,69.351,68.537,70.453,72.66,76.222,77.453,74.801,71.287,60.034,56.218,58.98,58.384,69.728,77.769,75.496,77.349,73.244,76.14,75.995,80.066,87.97,90.429,91.712,87.729,84.568,80.838,79.49,79.785,79.623,80.226,79.947,78.395,76.408,75.848,74.638,73.719,71.892,70.839,70.219,73.176,74.723,79.109,80.209,82.233,86.432,86.353,90.701,89.155,89.951,96.284,98.615,94.692,98.876,102.832,101.422,99.543,103.27,99.008,100.213,99.608,94.089,91.701,95.9,95.057,103.563,100.537,102.594,101.115,101.431,99.857,101.173,101.198,102.607,104.086,101.978,102.582,96.585,95.411,95.43,95.711,98.058,98.495,101.656,101.792,102.884,103.439,104.149,103.802,101.709,98.906,96.624,94.575,96.107,98.005,98.96,100.584,104.544,107.289,107.021,107.814,103.361,102.139,101.887,98.782,98.696,98.335,98.803,100.325,101.359,101.922
"32","24","    Imports of goods and services","B021RA3",11.257,11.17,11.32,11.921,12.618,12.811,13.58,13.465,12.197,14.602,14.412,14.253,14.207,14.487,14.455,14.681,14.506,15.601,15.946,14.863,17.038,16.432,16.773,17.529,18.339,17.81,17.318,17.45,16.855,17.75,17.44,17.265,15.535,14.29,15.478,16.304,17.325,18.076,18.814,19.437,20.358,20.545,20.258,20.544,21.922,21.992,22.28,22.59,22.523,22.648,22.302,22.785,22.809,21.148,19.626,20.682,21.561,21.599,21.354,21.965,21.34,20.99,21.962,21.099,21.583,23.243,25.054,26.284,28.394,29.584,30.351,31.244,30.555,32.057,31.744,32.978,32.964,34.362,35.317,35.6,35.372,36.259,36.964,37.811,37.648,37.209,38.077,39.223,39.113,39.698,39.745,40.267,41.153,41.613,41.552,40.24,39.402,40.527,41.596,42.094,42.457,43.527,44.142,44.868,45.891,47.164,47.777,49.471,50.586,52.722,54.206,55.51,56.681,57.507,57.71,58.257,59.942,61.76,63.805,64.67,67.401,70.123,72.707,73.918,76.644,78.747,79.746,82.061,84.174,87.17,90.21,92.011,95.643,99.371,102.7,102.286,101.33,97.972,95.345,94.518,97.172,100.078,101.467,103.688,102.355,103.398,104.354,108.666,111.867,115.903,117.279,121.135,121.756,121.994,122.63,127.321,129.472,129.764,131.483,132.014,133.272,132.387
"33","25","Imports of goods \1\","B255RA3",9.348,9.081,9.158,10.014,10.81,11.076,11.84,11.644,10.148,12.85,12.587,12.267,12.29,12.389,12.351,12.697,12.633,13.853,14.342,13.069,15.361,14.636,15.259,15.972,16.805,16.377,16.124,16.245,15.472,16.37,16.088,15.799,13.959,12.764,14.091,14.883,15.948,16.746,17.486,18.111,19.096,19.237,19.005,19.276,20.617,20.702,20.947,21.22,21.174,21.311,20.951,21.48,21.517,19.787,18.14,19.17,19.979,19.995,19.808,20.45,19.686,19.134,20.234,19.164,19.738,21.381,23.213,24.51,26.306,27.382,27.958,28.689,27.789,29.428,29.32,30.701,30.474,32.397,33.079,33.306,32.761,33.425,34.229,34.833,34.735,34.384,35.227,36.379,36.16,36.759,36.644,37.182,37.843,38.303,38.15,36.784,36.122,37.208,38.597,39.036,39.658,41.063,41.813,42.516,43.727,45.077,45.63,47.258,48.37,50.8,52.553,54.139,55.116,56.205,56.356,56.74,58.518,60.54,62.619,63.669,66.321,69.402,71.883,73.081,75.713,77.873,78.647,81.224,83.489,86.793,90.044,91.987,95.465,99.427,102.756,102.352,101.459,96.882,94.729,94.262,96.36,99.998,101.58,103.572,102.556,104.686,104.847,109.089,112.096,116.476,118.033,122.089,123.052,123.368,124.133,129.196,131.232,131.589,133.574,133.389,134.755,133.95
"34","26","  Foods, feeds, and beverages","B647RA3",36.138,33.368,35.245,36.391,37.307,38.72,45.348,38.775,29.972,40.855,40.759,40.186,40.458,39.745,40.795,41.107,38.768,42.436,52.589,33.548,46.472,41.069,45.646,44.956,45.906,45.11,44.691,46.977,48.132,43.086,39.348,38.451,32.186,31.967,42.19,43.151,40.913,41.014,44.337,43.88,43.307,43.223,39.846,42.068,47.554,46.668,45.358,49.543,48.994,51.012,45.51,48.606,44.094,41.924,39.686,43.254,45.199,42.796,42.125,45.677,39.59,45.193,48.09,46.33,46.695,48.391,49.656,49.754,54.337,52.796,55.61,57.573,58.292,57.624,57.739,56.203,57.963,59.62,58.397,59.308,61.156,61.514,60.255,58.239,60.35,55.463,58.383,57.4,57.259,56.435,61.458,61.731,64.63,61.438,60.569,59.319,57.806,59.759,58.752,58.518,57.566,64.341,63.754,62.255,62.31,62.289,62.907,63.296,64.095,64.744,64.794,62.875,65.909,64.726,65.752,66.436,69.648,70.783,73.897,74.696,75.86,78.356,82.296,81.879,84.646,84.921,85.779,86.34,89.85,93.471,94.459,95.76,96.523,99.214,102.154,102.11,100.468,102.507,108.913,106.537,106.967,109.512,112.096,111.96,114.887,117.108,119.915,122.787,123.533,126.488,125.114,126.803,126.739,128.428,132.392,132.686,137.651,136.56,139.015,138.663,141.379,140.027
"35","27","  Industrial supplies and materials, except petroleum and products","B649RA3",24.707,23.488,22.778,26.159,29.277,29.211,28.522,28.605,23.369,30.408,28.196,27.431,26.913,27.254,27.196,29.181,28.865,32.292,31.704,27.633,32.239,32.133,32.641,35.205,35.616,33.514,31.854,32.081,30.328,31.664,33.506,34.144,30.28,25.373,25.195,28.344,30.921,33.032,34.032,34.997,32.857,35.996,37.068,37.162,38.397,39.684,39.395,39.206,37.185,38.655,37.362,37.321,36.747,33.399,29.748,31.462,33.915,36.115,36.165,36.407,32.932,31.738,32.525,32.074,34.755,36.828,39.386,42.56,46.493,47.867,47.244,48.793,46.911,48.857,47.327,48.38,49.939,50.275,49.248,52.185,50.283,48.581,48.874,51.922,51.955,49.504,49.613,50.765,50.067,49.13,48.609,49.513,50.138,49.161,50.631,50.366,47.022,48.325,49.466,51.787,52.824,53.567,54.204,55.544,56.312,57.117,59.268,61.833,63.624,66.106,68.474,71.287,71.557,72.267,69.421,69.694,71.914,73.517,76.107,78.052,78.135,80.428,81.942,83.7,87.428,90.274,90.506,91.019,89.528,92.105,94.56,98.465,99.637,99.727,100.994,99.642,100.039,95.125,95.495,94.815,95.716,97.956,100.126,102.683,98.133,99.474,102.866,102.777,106.724,115.661,121.46,122.71,122.681,122.954,123.471,129.178,127.734,130,134.445,127.416,121.321,127.537
"36","28","    Durable goods","B820RA3",30.709,29.708,28.667,33.854,39.896,39.232,37.709,37.217,29.791,39.818,35.861,34.97,33.787,34.932,35.063,37.571,36.766,41.69,40.646,35.643,40.631,41.43,42.54,46.687,46.952,43.799,42.13,42.191,39.168,41.321,43.758,45.54,39.569,31.671,30.375,33.397,36.177,39.226,41.257,41.167,39.251,44.666,45.881,47.116,48.194,48.111,49.558,49.592,46.83,46.947,45.823,45.372,44.599,37.638,33.227,36.543,37.492,41.638,41.118,40.409,35.458,32.504,32.062,31.193,35.49,38.809,43.576,45.654,50.6,52.514,51.233,51.896,49.83,51.727,50.403,50.292,53.445,54.744,51.529,55.484,51.287,49.707,48.985,52.397,52.549,48.308,47.898,50.163,48.519,47.568,47.257,47.702,48.046,46.357,48.53,47.984,44.382,44.528,45.947,47.234,49.737,49.565,49.488,51.252,52.067,51.852,55.644,60.159,60.994,64.691,67.192,70.558,71.094,70.003,65.545,66.357,69.575,71.934,74.348,76.509,75.935,77.827,78.74,82.27,86.74,90.591,91.561,93.09,91.159,92.271,92.912,98.943,100.971,99.987,99.409,99.633,97.854,92.545,92.55,92.234,96.756,96.888,99.014,102.124,99.337,97.32,98.674,104.341,107.643,117.588,125.863,131.408,128.501,128.13,125.847,135.111,141.537,140.365,147.057,138.716,130.315,129.683
"37","29","    Nondurable goods","B696RA3",18.939,17.543,17.14,18.847,19.294,19.765,19.837,20.435,17.247,21.493,20.886,20.245,20.332,19.946,19.719,21.203,21.331,23.36,23.193,20.019,24.219,23.297,23.253,24.343,24.88,23.762,22.122,22.501,21.934,22.504,23.785,23.366,21.48,19.372,20.228,23.469,25.839,27.071,27.114,29.039,26.71,27.733,28.666,27.707,29.078,31.62,29.727,29.332,28.009,30.724,29.282,29.624,29.235,29.278,26.351,26.564,30.408,30.778,31.361,32.487,30.414,30.866,32.795,32.736,33.891,34.796,35.288,39.468,42.434,43.296,43.29,45.657,43.961,45.945,44.224,46.386,46.391,45.77,46.944,48.849,49.277,47.447,48.787,51.457,51.369,50.85,51.537,51.43,51.807,50.89,50.135,51.551,52.484,52.268,52.982,53.025,49.951,52.463,53.322,56.734,56.226,57.94,59.341,60.233,60.956,62.865,63.249,63.711,66.535,67.688,69.913,72.133,72.133,74.783,73.656,73.354,74.511,75.306,78.082,79.795,80.587,83.323,85.522,85.302,88.213,89.931,89.332,88.703,87.693,91.927,96.449,97.94,98.102,99.407,102.67,99.822,102.257,97.729,98.513,97.488,94.508,99.055,101.308,103.324,97.141,101.555,106.902,101.227,105.893,113.867,117.09,113.847,116.937,117.822,120.973,123.327,114.373,119.762,121.573,115.819,112.187,125.876
"38","30","  Petroleum and products","B648RA3",21.294,21.687,17.813,20.983,22.452,22.356,24.969,24.396,24.364,26.607,26.048,28.046,29.126,28.063,26.761,29.544,26.125,31.343,34.713,37.614,37.37,36.99,40.942,43.209,49.399,56.494,57.457,61.829,46.004,56.577,55.923,58.276,52.781,48.939,54.526,56.955,57.831,62.46,66.187,70.595,83.98,77.271,75.615,72.419,74.313,69.332,74.759,74.002,77.544,73.196,72.303,72.73,71.321,60.738,52.09,54.719,57.541,52.366,49.873,49.517,47.404,39.335,48.204,45.073,35.848,44.483,51.786,46.035,46.894,47.69,46.039,47.556,37.444,45.983,43.666,49.612,44.006,53.815,62.896,57.752,51.497,52.83,63.517,60.339,60.366,62.211,63.103,66.713,64.977,67.479,71.172,68.618,73.858,73.534,70.748,57.732,59.037,68.849,71.891,62.43,62.644,68.42,70.557,70.12,70.804,76.57,75.318,77.232,75.126,80.066,86.21,77.028,74.81,77.487,82.508,78.035,76.455,87.108,89.334,84.629,83.185,90.079,91.304,88.232,89.022,97.32,97.595,91.835,92.717,98.954,97.49,88.693,94.452,102.819,102.217,100.513,113.678,102.523,94.389,104.264,101.615,98.897,95.589,108.216,105.488,108.61,106.951,109.505,118.941,110.196,108.18,121.343,122.938,113.951,109.655,122.772,121.66,112.799,113.722,111.713,119.2,111.879
"39","31","  Capital goods, except automotive","B650RA3",0.779,0.753,0.775,0.775,0.83,0.839,0.909,0.952,0.842,1.093,1.103,1.09,1.131,1.124,1.005,1.037,0.989,1.096,1.101,1.07,1.39,1.31,1.324,1.417,1.556,1.582,1.736,1.836,1.723,1.767,1.871,1.791,1.836,1.559,1.623,1.78,1.933,1.978,2.06,2.26,2.078,2.191,2.13,2.387,2.744,2.736,2.778,3.082,3.201,3.419,3.532,3.73,4.07,4.094,3.949,4.237,4.352,4.665,4.919,5.332,5.332,5.462,5.268,4.908,5.556,5.749,6.55,7.509,8.261,9.248,10.057,10.338,10.363,10.604,10.53,11.225,11.328,12.227,12.406,12.535,12.472,13.477,14.471,14.953,14.958,15.657,16.372,16.834,16.852,18.029,18.262,19.137,18.991,19.465,19.542,19.923,20.058,20.704,21.407,21.607,22.404,23.974,24.964,25.693,26.386,28.064,28.506,30.209,32.052,33.797,35.447,37.753,39.145,41.653,44.108,46.305,47.569,48.652,50.882,54.063,57.816,61.846,65.287,67.241,70.411,71.986,72.618,74.832,76.699,81.712,85.542,88.791,91.581,99.386,104.451,104.582,99.308,88.75,83.816,82.517,84.827,87.504,87.736,88.568,89,91.072,91.747,97.666,101.577,107.421,110.801,114.146,114.859,120.225,121.734,125.464,129.712,132.929,136.698,136.887,140.115,140.815
"40","32","    Civilian aircraft, engines, and parts","B932RA3",2.901,2.162,2.547,2.767,3.524,3.646,3.005,4.355,3.481,3.145,3.182,3.347,3.029,3.683,2.938,3.793,3.958,4.385,4.239,2.675,6.01,7.897,7.702,9.992,9.589,8.874,10.377,10.444,9.039,10.407,9.839,7.042,7.873,8.978,5.827,6.718,5.607,4.636,4.55,4.611,4.624,6.315,5.717,9.094,8.424,9.345,8.103,8.44,11.813,11.36,10.446,16.515,22.899,26.504,22.528,29.418,29.473,27.701,24.712,32.328,26.521,24.999,20.147,23.51,21.746,18.168,17.117,25.58,22.035,19.976,26.285,24.184,28.975,34.639,29.88,35.813,31.021,44.603,34.397,35.915,32.498,40.943,41.989,46.537,38.386,50.657,49.709,48.994,46.455,56.962,51.026,60.216,50.423,56.349,52.751,67.351,55.315,58.512,59.612,55.347,56.867,62.876,58.163,61.471,49.676,53.612,48.111,57.327,51.564,54.26,43.928,52.994,47.189,48.608,45.403,46.362,46.791,53.093,54.715,57.988,56.847,62.224,76.474,72.824,71.97,89.886,89.38,95.562,87.745,90.168,99.969,93.424,89.642,95.231,100.946,114.182,115.084,113.806,111.906,117.557,102.827,88.702,79.761,96.103,85.002,86.288,81.712,92.652,74.276,85.89,83.34,95.27,86.739,94.668,81.025,84.252,92.359,89.415,88.072,98.044,103.341,105.231
"41","33","    Computers, peripherals, and parts","B852RA3",0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.006,0.006,0.008,0.007,0.007,0.007,0.009,0.011,0.012,0.012,0.013,0.015,0.017,0.018,0.018,0.017,0.018,0.019,0.024,0.027,0.03,0.035,0.033,0.037,0.04,0.046,0.055,0.068,0.068,0.079,0.086,0.103,0.099,0.111,0.123,0.131,0.163,0.176,0.182,0.208,0.218,0.241,0.261,0.298,0.346,0.37,0.578,0.721,0.831,1.01,1.178,1.4,1.554,1.606,1.52,1.502,1.613,1.866,2.158,2.42,2.668,2.857,3.248,3.743,4.375,4.839,4.949,5.215,5.501,5.561,5.949,6.365,6.851,7.597,7.557,7.436,7.39,7.774,8.697,9.34,10.143,10.515,11.363,12.91,14.363,14.975,15.959,17.415,18.612,19.482,20.969,22.811,24.44,26.925,27.347,29.789,32.921,36.531,37.721,39.421,41.02,43.019,47.792,52.235,55.68,57.064,62.189,64.871,65.877,72.126,77.729,85.116,88.034,90.873,90.374,99.149,106.961,103.516,97.106,90.869,87.655,89.438,99.348,100.639,101.325,101.275,104.048,106.738,109.58,118.541,124.257,132.7,140.49,146.101,148.148,151.639,157.712,163.876,173.972,180.915,187.747,186.217,202.963,195.807
