"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183"
"42","31","  Food and beverages purchased for off-premises consumption","DFXARX0",654415,657963,659725,663509,665482,663489,666269,669486,674689,669808,673466,699180,665947,674106,683163,683957,681326,688943,685348,684856,687843,692778,691940,694375,695263,689985,687482,695728,698163,693635,692293,692801,696288,693913,693126,699018,691983,692444,694558,689485,696202,697641,699919,697066,694957,699753,705116,705251,708977,709066,708722,710009,704624,709150,716251,720065,719890,718451,719394,714480,726371,721097,726061,726891,724619,723853,725842,729222,737406,736119,737473,742240,747528,751599,750818,751826,750061,756552,754690,759981,763340,768756,767249,768952,766794,775931,772185,777110,781547,778650,780529,782743,779148,788362,788506,798347,795725,792733,790996,788104,789258,790003,793353,787181,788830,788844,792842,797505,789846,786050,791941,790214,791483,796373,787652,782776,776291,768404,763668,757699,760385,761258,762701,764033,769049,768486,769836,770043,775808,776441,777065,784394,781452,791799,785138,780280,781341,780086,775953,787834,787705,789569,796737,799755,799179,799298,794825,802286,798310,801443,800218,800486,795690,799661,802872,791703,802750,803803,804894,809379,809113,806833,811331,809456,814426,816300,812069,812224,815201,818804,818713,810394,817535,818015,820366,818137,823971,822513,825619,836213
"43","32","  Clothing, footwear, and related services","DCAFRX0",257701,260654,263771,261322,263299,264158,263282,265348,265407,264804,265105,266369,264976,269404,274392,273863,276762,274753,274616,277689,281465,279191,280819,280081,280401,276545,269902,278253,277783,275321,277685,281510,270682,278869,280788,283157,284280,283611,283308,284520,280953,285274,283648,281887,279682,290648,287523,291021,290028,284506,291820,292458,296749,298831,301231,302227,302797,299218,302797,305906,306576,308815,313596,305391,308364,304409,306828,308755,311048,313750,312791,317215,316030,323292,316099,324688,322223,327224,323799,325748,321837,333408,332287,332991,335205,336580,332397,334908,330296,332034,335748,332304,338779,339171,334842,342529,342297,335789,344024,336765,342211,341967,343267,342937,341860,340965,343266,339679,339233,337850,338221,344751,347176,350911,348387,342737,330194,327580,330523,326701,329369,327257,315365,317589,320087,315800,319726,322892,319873,324638,323103,323607,327638,329259,335026,337367,335652,334643,333139,338567,338325,342666,350158,347556,344942,350062,351467,353930,352120,352464,348697,342783,349762,350073,351522,350492,347415,359350,357966,351356,351738,351451,354882,356557,355524,352220,354989,354058,353890,352120,358059,359899,359957,358090,357394,354530,354121,360881,362823,363513
"44","33","  Housing, utilities, and fuels","DHUFRX0",1560850,1554420,1570960,1572839,1575596,1584670,1592358,1592479,1594216,1595319,1585455,1595623,1601196,1600814,1593215,1610063,1621915,1631769,1627138,1637614,1641356,1641305,1656920,1685783,1663709,1669185,1678961,1665338,1670016,1669564,1674603,1674398,1675284,1682500,1664122,1672557,1670500,1671138,1677756,1678085,1685841,1679230,1684600,1682861,1684215,1697747,1694388,1691660,1702732,1699771,1686183,1709652,1703047,1692372,1704918,1708531,1703851,1712821,1718286,1725499,1729801,1735906,1718266,1738089,1739159,1741790,1745736,1745086,1757531,1762450,1769791,1776802,1781148,1780593,1804099,1796998,1809291,1819932,1823761,1828377,1827609,1824047,1828433,1841833,1798641,1834017,1844444,1839579,1855598,1850614,1870748,1856345,1854430,1867310,1853515,1837688,1861095,1876264,1850616,1880010,1854368,1858638,1859883,1877952,1869726,1856044,1870595,1861876,1868362,1880584,1878164,1880223,1879432,1878185,1876045,1865891,1877950,1887360,1899102,1894732,1902224,1886143,1909246,1905822,1900289,1901306,1897683,1907597,1908834,1918822,1897618,1927582,1922284,1926809,1911048,1904708,1923128,1926701,1927975,1930199,1927901,1925811,1940308,1950307,1944179,1931424,1943670,1937321,1945535,1945451,1958092,1953859,1954348,1957988,1952617,1940797,1936166,1949384,1941032,1961169,1965747,1968029,1982080,1966334,1968872,1961534,1964482,1945638,1962982,1979902,1998236,1986259,1974554,1975666,1962273,1962380,1972227,1964548,1983226,1975305
"45","34","  Furnishings, household equipment, and routine household maintenance","DFHHRX0",303530,308481,311131,308097,312431,314587,313776,318721,322274,323077,324881,330644,329178,332892,335787,334471,336922,336332,336077,337985,339002,340471,338643,336874,344609,340336,340010,342479,344078,343479,345362,347386,340310,346278,350091,354070,355510,358293,359226,359449,359911,359468,358750,360930,360023,363005,366418,368212,368263,362459,372218,372252,380418,384426,386902,392111,394380,395240,400236,400353,401525,402416,411503,409195,410251,411517,417969,417328,418210,418718,420130,426450,425044,427165,425371,431751,427186,435466,433231,438017,440877,446419,446105,444124,454775,453757,454751,452059,448674,450624,450815,451837,453314,451975,450715,455397,459849,455141,458049,455715,458301,455111,458346,459790,458676,457990,460918,458499,455687,449615,448527,454222,454862,455585,452699,445291,433237,429871,426290,420236,417425,415157,406000,406473,406872,405057,406070,408649,407946,410584,411966,415545,415039,419614,425103,429926,428707,427289,427135,432041,432594,433776,439971,441050,436835,441275,446956,448841,446210,448807,450349,452293,455463,458177,461444,460262,465286,467952,470351,468306,471931,470907,474296,476679,479387,478371,481143,485427,486186,486828,489205,491975,493382,497559,502814,507130,509777,510754,512417,514103
"46","35","  Health","DHLTRX0",1384402,1387754,1388189,1391722,1395119,1396157,1393449,1406288,1412307,1420445,1434482,1442272,1422919,1425016,1442099,1455864,1463016,1466957,1466203,1474229,1481129,1485758,1491667,1506862,1502835,1509693,1514178,1514869,1529969,1532558,1545948,1558438,1557996,1575259,1579703,1590848,1605510,1610822,1616513,1622783,1624578,1640778,1641477,1640195,1648557,1651992,1656677,1655604,1663002,1669325,1676628,1678083,1672207,1691232,1692956,1702679,1704359,1706009,1719372,1720334,1721240,1716430,1730520,1738458,1746280,1751977,1760772,1768007,1777508,1782726,1784570,1786593,1789487,1797337,1792217,1799307,1803444,1807734,1817773,1824673,1829260,1826589,1826546,1835529,1839139,1844806,1850909,1857811,1861385,1867065,1869720,1874666,1878709,1887207,1896765,1904985,1903846,1906871,1916148,1916742,1919209,1925772,1930131,1937570,1935646,1935819,1939511,1940254,1953792,1958470,1959915,1961969,1966586,1963708,1968656,1969868,1972437,1972627,1975460,1978991,1983877,1989949,1990980,1998945,2001722,2004437,2009332,2007831,2012206,2009858,2002430,1999447,1993778,1997254,2004808,2011680,2013451,2026989,2033454,2038846,2044679,2051367,2056270,2057754,2065323,2065402,2070193,2074321,2078954,2081152,2076809,2078059,2080285,2091394,2102696,2112515,2119340,2125828,2128228,2127194,2125093,2123748,2132335,2135530,2139324,2142499,2150929,2157636,2157611,2160247,2161550,2178525,2183096,2186547,2195971,2205534,2209796,2212693,2215238,2222823
"47","36","  Transportation","DTRNRX0",870608,880785,879699,902412,912581,926223,921337,919708,916891,906435,905159,921746,933777,957796,942058,915301,925714,913548,913408,926298,945728,933677,925130,929046,926586,954753,942412,919681,928067,942440,934949,949787,914416,1052694,996877,933908,948351,965808,957604,978796,936091,958313,991888,1014238,956820,941359,946075,987748,970701,949913,956583,977214,973867,978550,981039,1018770,987575,984938,1000580,992016,993487,996322,1006104,997157,1027459,980401,998839,997249,1021618,1011170,1007996,1018949,1015740,997055,1009270,1034828,989183,1026999,1078601,1007873,965735,952768,976475,988751,995616,979482,980571,987681,975010,984345,1002356,977177,992120,996893,1000191,1006275,1001405,1008843,998197,1006619,1012898,995988,992545,992896,1011229,1001202,986464,988254,977682,956734,970529,956848,946047,929283,901451,930397,896397,873503,862732,860087,877980,865613,868870,852350,866935,861495,878392,946093,838972,846545,850851,849679,841059,829931,871334,863208,868541,868575,871847,875646,879587,898525,886487,889562,894210,892987,893004,885882,875882,869226,883092,868277,886896,897335,894160,901017,902838,907329,904336,912100,902964,906743,902202,911893,917625,912853,921995,920166,924651,929284,929034,924660,926412,932443,933185,937739,931723,922477,944025,934584
"48","37","  Communication","DCMCRX0",120474,121884,123685,125742,127666,129445,131469,133025,133903,134794,136221,138242,139493,141206,143467,146095,148219,150010,151256,152645,153144,154072,154535,154514,154872,154717,155464,156408,157771,158942,159062,159239,158839,158500,158628,159050,159117,159481,159540,161065,162374,161099,160949,161239,161209,161413,161672,162402,163364,163875,164507,165464,166551,167605,168583,169005,168870,168833,169596,170483,171177,172124,173530,175113,176529,177733,178822,179625,180248,180545,180685,181050,181674,182355,183070,184009,184892,185469,185956,186430,187025,187476,187942,188361,190985,192504,194388,196025,197567,198721,199542,201638,204771,208503,210586,212770,214309,215935,217654,219435,220849,222056,223057,224218,225569,227474,229823,231268,232484,233043,233614,234330,235183,235536,236270,236310,235753,234262,233607,231858,231893,231251,229598,228936,228675,228799,229070,229709,230516,231269,232904,234174,235542,237109,237557,238070,238745,239782,240539,241336,242591,242602,243689,245590,248037,249977,251560,252475,253591,255635,258058,259490,259508,259109,259023,259985,262070,263379,264437,264675,265586,266838,268896,270700,273025,275636,277184,277306,275905,275114,274957,275301,275615,275916,277941,279454,280661,281502,281614,281988
"49","38","  Recreation","DRRLRX0",495895,504560,508156,512096,515698,519534,523427,530400,539890,542532,545322,554246,554321,559868,566851,566857,563791,564943,569425,570499,577869,576558,578998,579014,583759,580246,582540,584818,586374,585749,591253,593202,579077,590695,601619,604190,608803,610973,608703,615509,614747,614110,616141,619000,623997,625454,629524,633467,631921,628548,636797,641990,649758,657803,664304,676377,677695,684586,689535,692953,693242,703220,708620,709043,713423,714600,721829,724936,728032,730601,731234,739075,740966,754961,762476,768225,764562,772243,773751,777524,772201,784778,790478,788311,818136,810520,811439,817458,816503,815988,818594,822476,836476,841330,849435,858578,859330,853009,866505,863072,873569,872794,885543,889130,887536,893318,896447,898669,889795,889530,889013,895448,906265,905698,903124,893186,876580,866265,862211,854614,869770,859911,847257,850618,850570,850133,853933,861305,865946,864236,882172,885528,887261,892126,895295,900173,899261,909012,910156,920507,923748,930784,934961,933730,936921,938704,947752,952368,954988,962255,967460,968983,973318,987382,987346,981990,993339,999587,1006405,1006906,1010527,1015861,1025830,1025330,1032179,1030697,1037106,1045215,1043830,1051561,1052779,1055901,1059645,1063390,1070074,1082455,1081096,1083377,1093617,1091292
"50","39","  Education","DEDURX0",227165,228093,228345,228675,228635,228991,229819,228245,229329,230827,232329,233362,231992,233949,234536,235587,236397,237043,237809,237453,238654,239187,239347,239125,238569,241348,241825,241304,241689,240968,240381,240608,239627,239436,238923,238705,238378,235838,235555,235225,234586,234195,234938,234951,235231,233758,233371,232859,233217,233027,232795,233386,233630,234209,233468,232972,232670,231825,231843,231097,231016,230325,229604,228756,228085,227340,226821,226467,225821,225973,226057,226825,227030,227000,226969,226521,226595,226652,227125,227077,226604,227080,227320,227699,227847,227914,228133,228398,228373,228296,227575,227304,228013,228777,229327,229471,229512,229333,229521,229649,230105,230343,230775,230332,230487,231000,231080,230805,230474,230412,230461,230707,230743,230817,231264,231830,231021,230554,229658,229026,229101,228907,228746,228234,227747,227918,228127,229162,229096,229739,230266,231568,232313,232473,233101,233136,233632,233803,234107,234651,234372,234708,235130,235823,236082,236569,236647,236812,236918,237103,236992,237705,237654,237932,238271,238342,238546,238717,238884,239180,239230,239232,239640,239860,240077,239970,239564,238837,238427,238210,238434,239184,239731,240034,240235,240832,241225,241376,241443,241527
"51","40","  Food services and accommodations","DFSARX0",502851,507146,505176,507965,508124,508215,507977,508335,514100,520815,523033,522594,525994,529117,536903,534848,534910,536240,536330,534046,541197,539290,537758,529166,543800,538255,535987,532535,534769,534752,533860,538759,520521,525749,527047,537800,537555,540292,536156,543523,540142,542408,542467,543234,543302,540676,544171,546678,546841,545010,551435,552142,559501,562368,565049,571527,565745,573253,575244,571088,576713,579081,582462,579858,580005,580885,585885,582701,588040,589325,589019,596511,593507,599532,591967,603348,601814,605625,605815,606841,610731,609198,616657,616186,629295,619048,620906,620421,619615,618902,617022,623489,629269,627445,629278,641307,630870,624809,633746,628083,632083,633593,629803,633945,631886,635866,634047,642368,634128,627028,625818,632884,633734,630703,627857,627820,623144,620647,615357,614186,610983,607431,598993,601014,600284,598282,600021,599180,595463,594347,596681,601323,596868,605357,607027,608236,606673,608184,609857,612224,611887,614939,617569,616450,615328,627073,630118,629203,632172,633546,632503,636091,642122,644205,643004,643082,647133,650230,653259,656312,653292,652826,655033,654699,658850,660969,665229,673555,671058,668314,672585,675913,669721,670144,670837,672101,675501,685231,688691,694298
"52","41","  Financial services and insurance","DIFSRX0",575808,574604,578268,588627,590836,593001,598520,604864,608073,610343,626346,634719,643178,656840,665573,660154,651270,658093,658182,661121,663188,664768,660231,668233,660886,650897,651461,650569,647455,644794,637642,637769,640009,641331,643618,645259,640311,641085,639174,638145,638939,642677,651077,641480,638311,643043,645012,640895,639671,635519,636491,634228,640416,645813,644384,641945,648580,647439,649865,652612,659012,659307,661219,663222,661276,661095,666743,668577,671810,677182,683677,691680,687605,692013,695362,701316,701985,706399,707655,712347,711542,708519,709919,714372,717219,719343,718963,718120,721026,716073,714572,717501,720036,722003,726748,729172,731496,736041,738560,739322,743424,746908,748472,751993,740540,742707,748444,742526,745674,741632,739590,738372,739175,737399,738264,734199,744126,739330,727742,723570,721585,725220,724566,719774,718917,718391,718760,719609,719233,715036,711974,714397,718257,721761,724385,734073,739983,734388,733317,735131,737797,740013,743293,744753,747196,752255,752596,750801,750872,752438,757451,770165,760708,758497,758197,760399,756727,757922,756935,755755,751649,745791,739547,737163,737642,735185,736468,741451,745820,748933,748014,752785,755345,756675,756533,758112,760304,764960,766275,770967
"53","42","  Other goods and services","DOISRX0",572288,573963,576928,574629,576425,577228,579037,580232,581875,585721,587253,594279,590877,593932,592007,594492,600213,601089,602508,602580,607083,605739,604601,605662,606764,606930,604808,606863,607477,604040,606119,610156,605891,609251,611883,611527,612208,615007,615561,615288,614774,614087,613812,617033,615955,619192,620763,624752,627031,627792,630888,633183,637317,642940,646156,648242,649085,652452,656500,661600,661259,662714,663856,662232,663247,664707,667989,670762,673647,674892,674920,675439,679286,684660,683553,687604,683406,686373,682242,684005,682807,689252,690831,694074,697073,703144,703813,700457,704219,702823,703750,704469,705649,709485,713702,716069,712272,711617,714218,715070,716477,715154,717107,718031,719193,717433,718299,714660,713161,705862,712697,710548,711655,713477,712929,709399,701393,698766,693543,684897,683316,685122,678127,673797,668266,668102,667617,669892,669939,668448,669135,670791,676142,676603,676565,675978,677228,677355,679466,680009,681417,688337,689600,684765,686539,686070,691330,695077,692885,694736,692974,694668,692135,692219,690161,690313,695540,700219,698597,701031,704617,701869,705455,700883,706422,706291,709759,712757,707238,706618,703748,705619,709334,705260,704147,700004,703949,708239,709960,713196
"54","43","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRX0",-13293,-13307,-11397,-10796,-13408,-14788,-13500,-12742,-15560,-14021,-14506,-11616,-14594,-12360,-4877,-14388,-4787,-4844,-2549,-2843,-2451,-2208,-3853,-5803,-6566,-5936,-8340,7675,6756,2061,1443,-60,2141,-296,-1210,-1187,4238,4838,1690,2485,245,2079,-1994,-10499,-3514,-6788,-9361,-3716,5912,2334,2217,666,-6282,-3280,-671,184,-3544,-5982,-6736,-4496,3451,123,-2010,-3525,1587,2175,-2433,-400,-2491,-1779,-4008,-4419,-2137,-4798,-5177,-8252,-11812,-10953,-9002,-7835,-6337,-6274,-2685,-4525,-6400,-1861,-1294,-3166,-4412,-2488,-4391,-6252,-8169,-9520,-11026,-11780,-9634,-6787,-11367,-10569,-12514,-11016,-20816,-22836,-23416,-27968,-28087,-29420,-25339,-24664,-30792,-28836,-36379,-35148,-38655,-36309,-30563,-28604,-20753,-27058,-22588,-21394,-22104,-22777,-25747,-22343,-20089,-17883,-20710,-19623,-18108,-18875,-23025,-27233,-29022,-27029,-29474,-28262,-26297,-27004,-30280,-28779,-28223,-31397,-30016,-28136,-31001,-34217,-34002,-37070,-38839,-40151,-37981,-38694,-38706,-34669,-30824,-34899,-37271,-37949,-38974,-41272,-40406,-45500,-43042,-43155,-49179,-49531,-49211,-46764,-42571,-47078,-47377,-44873,-46071,-44878,-47326,-48550,-49995,-43307
"55","44","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",148001,147814,148407,148565,149416,149988,150186,150664,150674,150939,152843,153680,156723,157786,158570,157852,158656,159038,163105,164704,166172,168796,169975,170342,169795,170442,171913,173748,174529,175113,176076,177467,179290,180621,181276,182576,183907,184341,186620,188414,190514,192266,195607,198562,200284,201173,203729,204580,204316,203052,202994,204857,206909,207754,208253,207441,206720,208324,208025,207171,210468,211202,212034,210578,210340,210549,209893,210178,209522,210794,210743,207540,202941,202665,202359,206262,207973,209445,207656,208136,211565,216578,220857,222912,226251,228594,231833,233768,237741,239275,241066,241296,240968,238713,239662,240122,241012,240508,239931,237871,237206,237241,239307,240370,243734,250277,253496,253959,256063,259782,262787,266835,269053,272591,274974,277910,280443,287918,289250,285566,282731,277306,276751,273165,273138,272324,271609,274130,273948,278331,279702,279063,278504,278816,280395,281922,281672,281546,278343,277317,276573,275332,275109,273874,273589,272954,273831,273215,273124,278836,283901,287566,288212,282714,278596,280248,278245,283843,286893,290456,294831,294776,294410,295167,297945,301727,304256,300965,292842,286206,283660,282395,285774,286117,288001,287996,288104,289721,291336,288634
"56","45","  Gross output of nonprofit institutions \2\","DNPERX0",767690,769651,771825,772431,773631,775371,777585,779785,781447,784621,788465,790350,792054,794159,797384,799015,802083,805273,807967,811200,813938,817917,821958,824104,827586,829797,833951,836650,839212,841906,846958,851204,853966,858421,862362,868220,873808,877734,882507,888368,892403,897368,900844,905474,906864,908477,909410,909219,909914,909685,911266,912068,912562,913797,915426,915946,916416,916891,918217,920873,923805,926018,926952,928478,931958,936549,939213,942999,947302,952315,953490,951454,947071,947556,947949,952633,956094,959863,963862,966421,970611,972176,976582,979104,983222,986711,990200,992017,996220,999916,1002367,1004458,1005380,1006512,1009971,1011967,1015024,1015996,1019264,1017293,1017268,1017008,1019635,1022752,1025877,1030210,1031846,1034195,1039560,1044284,1046337,1048459,1049786,1053012,1056143,1059524,1062393,1067390,1068149,1067433,1068765,1068351,1069836,1070132,1071096,1072460,1073917,1075033,1075357,1076513,1075939,1073364,1070569,1071474,1075608,1080754,1083929,1087327,1087875,1091038,1092783,1095770,1097508,1097608,1095362,1093739,1095306,1097684,1098511,1099773,1098050,1097235,1100033,1103607,1107112,1113181,1117332,1124273,1126576,1123644,1126368,1128633,1134571,1138470,1141160,1141219,1143062,1139838,1134807,1131670,1131737,1139700,1143162,1143696,1146045,1148320,1149868,1152420,1155739,1154482
"57","46","  Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",630539,632887,634434,634873,635028,636137,638257,639991,641778,644863,646442,647349,645078,645922,648355,651113,653344,656294,653631,654961,655926,656650,659420,661246,665800,667306,669784,670171,671871,673989,678149,680836,681317,684326,687699,692267,696496,700153,702207,706114,707630,710632,709887,710945,710170,710746,708424,707155,708285,709694,711475,709970,707938,708218,709351,710929,712337,710890,712662,716499,715619,717069,717075,720390,724308,728852,732397,736004,741246,744975,746245,747813,748564,749373,750125,750475,752094,754312,760519,762626,763029,758909,758599,758884,759369,760337,760294,759998,759879,761987,762530,764438,765753,769401,771906,773448,775604,777153,781137,781373,782068,781753,782176,784195,783705,781044,779256,781132,784317,785131,783996,781826,780809,780313,780966,781299,781551,778766,778188,781367,785702,790886,792978,796931,797948,800151,802343,800960,801480,798311,796404,794469,792231,792821,795390,799018,802399,805878,809487,813601,816039,820184,822115,823397,821442,820439,821146,824077,824982,820777,814275,810017,812170,820841,828168,832582,838508,840111,839547,833376,832012,834280,840425,843545,843645,840254,839744,839593,842056,844993,847357,856325,856622,856840,857392,859619,861033,862042,863808,865075
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
