"","Table 5#4#5U# Private Fixed Investment in Structures by Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223"
"31","23","  Other structures","W004RC0",4447,4603,4844,4742,5086,5182,5183,5233,5163,5060,4993,4920,5155,5289,5197,5155,5167,5469,5663,6065,6366,6283,6232,6099,6425,7241,7556,7734,7917,7851,7663,7697,7859,7665,7864,7996,7606,7377,7020,7165,7389,7619,8110,7926,7772,7718,7659,7895,7917,7861,7836,7902,8285,8392,8589,8986,9308,9926,10191,10359,10128,10259,10280,10645,10016,10274,10134,10016,10686,10810,11119,11405,11769,12199,12657,13283,13461,15095,15998,16390,16593,18051,19407,19975,20512,20134,19426,19961,21045,21024,21864,20937,21136,21067,21051,22121,21651,23111,22895,25445,26618,28030,29063,28777,30439,32401,31651,32688,31872,29749,29946,31301,32461,33804,33955,34573,32838,32847,31717,32652,34034,33211,34434,35415,37551,38122,38354,36224,35521,33399,32501,31202,30150,31363,31793,30611,31488,34689,36260,35415,34742,35508,34571,34698,37410,38918,41882,44066,46536,47304,49568,52278,53719,56226,57421,61325,57794,61999,63854,65213,64962,65782,63389,64501,67936,69972,70958,68541,65119,66167,79513,64980,61569,61226,57751,57453,56908,60251,59237,58878,59131,62685,64561,65314,63676,62240,63625,66086,69145,74953,76574,79751,80983,89093,95125,99265,101825,106934,107707,104403,94508,90756,81182,71484,63396,61054,59146,57440,52848,56474,57744,59053,59346,62513,63771,63729,61786,67886,68951,70251
"32","24","    Religious","C309RC0",921,940,974,953,1017,1018,1006,1011,979,990,1014,1029,1038,1044,1035,1015,1016,1012,1004,972,973,953,1001,1041,1042,1280,1211,1271,1131,1132,1130,1187,1108,1030,1066,1048,1118,1108,1029,1061,1014,1014,1000,944,957,962,933,904,852,836,785,823,887,840,842,879,846,807,834,845,919,961,981,915,892,932,823,929,962,924,1065,1001,1031,1104,1109,1108,1097,1372,1454,1540,1560,1770,1765,1898,1925,1951,1910,1886,2019,2098,2065,1916,1916,1727,1819,2319,2141,2044,2444,2453,2615,2815,2644,2804,2645,3018,3376,3344,3343,3299,3409,3833,3593,3626,3853,3787,3976,4260,3771,3788,4433,4264,4033,4378,4005,3979,4449,3900,3848,3807,3779,3671,3523,3358,3360,3328,3650,3801,3883,3798,3637,3835,3867,3724,3837,4393,4468,4145,4067,4413,4401,4771,5163,5596,5577,6156,6299,5897,6480,7160,7343,7304,7137,7213,7860,7843,8046,8018,8020,8309,8572,8486,8557,8423,8107,8253,8524,8613,8773,8326,7756,8207,8323,8326,8082,7691,7634,7454,7765,7824,7607,7763,7693,7567,7602,7225,7231,7013,7092,7452,6982,6277,5952,5496,5376,5410,5019,5143,4438,4142,4298,3942,3894,3770,3730,3562,3739,3429,3172,3236
"33","25","    Educational and vocational","W044RC0",576,531,490,503,559,569,561,575,569,595,633,639,649,657,693,721,584,680,696,752,722,759,764,759,724,734,869,821,998,1007,984,959,1022,1051,1100,1019,1259,1158,1050,1121,1111,1055,1126,1040,980,964,843,913,957,1001,1041,1033,1064,1043,1074,1071,994,1028,995,915,788,737,684,739,633,680,660,639,749,745,725,649,738,728,750,752,719,877,948,969,903,1039,1147,1264,1489,1497,1591,1764,1782,1781,1638,1628,1750,1936,2041,2016,2106,2135,2146,2120,2262,2191,2376,2200,2241,2597,2940,2932,3116,3172,3164,3468,4593,4823,4465,4920,4099,3657,3577,3770,4191,4026,4548,4347,4648,4613,4882,5057,5138,5063,4581,4956,5441,5463,5125,4507,4445,5197,6056,5576,5979,5461,5130,5429,5934,6335,6701,6015,6836,6933,8009,8795,8666,9570,10315,10749,11557,11413,10199,10354,9751,10645,10468,10737,11497,12489,13457,13206,12973,13278,14054,15072,14726,14573,13612,13889,13964,14510,14797,14093,13643,13262,13405,14105,14008,14031,14121,13487,14214,14369,14112,15708,15918,16839,18313,17527,18079,18174,18717,18815,18588,18581,18079,16158,15897,15085,13981,13555,13585,14603,15107,15984,16770,16931,17142,16310,15780,17009,16142,15983
"34","26","    Lodging","W045RC0",501,518,549,540,555,604,648,721,819,787,706,668,705,673,707,731,793,823,904,1072,1428,1420,1424,1336,1375,1471,1459,1415,1426,1381,1376,1293,1256,1211,1162,1247,1114,1173,1178,1303,1337,1321,1344,1318,1377,1379,1282,1246,1217,1308,1344,1571,1766,1792,2135,2127,2256,2452,2278,2206,2019,1768,1503,1390,1281,1137,992,1010,878,894,930,1022,1037,1032,938,921,1141,1319,1444,1493,1867,2272,2682,3185,3300,3399,3492,3665,4069,4209,4829,4663,4285,4478,4643,4727,5294,5237,5579,6761,7232,7498,7483,7287,7699,8015,8102,8497,7875,8281,8673,8536,8704,8312,8452,8372,8101,8246,7403,7900,8454,8420,9387,9515,10405,11561,11104,10018,9651,7875,6738,5564,4571,4378,4642,4685,5142,5915,5947,5599,5533,6108,5334,6041,7909,7400,8910,10996,11869,12924,14175,15063,15409,16287,16154,16014,15122,17717,20071,20461,20526,19963,19264,19248,20193,21161,20278,19096,18030,18466,18820,16575,13766,14060,12231,11815,11939,13749,11826,11689,12435,14572,16012,16341,15559,14850,15494,16834,17676,21535,23270,24800,26952,32605,36259,40259,39440,45102,46442,44125,37840,36111,28890,22870,16329,14041,13144,11949,10020,10153,10208,11188,11553,13273,13753,14814,14592,16856,18217,19394
"35","27","    Amusement and recreation","W046RC0",633,679,799,824,867,900,908,889,888,857,814,832,925,973,841,816,847,971,993,1140,1146,1035,899,843,982,1288,1468,1550,1556,1445,1330,1273,1437,1329,1373,1437,863,777,725,641,757,960,1055,1053,1049,996,1030,1154,1170,1054,1096,1047,1141,1144,1123,1224,1243,1378,1340,1305,1241,1336,1342,1348,1272,1264,1377,1289,1541,1494,1404,1556,1494,1512,1748,1927,1845,2133,2253,2071,2048,2298,2697,2982,3176,2963,2609,2734,3011,3027,3214,3240,3449,3627,3837,4026,4032,4165,4402,4359,4848,5303,5544,5973,6151,6933,6624,6917,7190,6004,5880,6313,6205,6941,7108,7430,7491,7411,7733,7519,7185,6702,6600,6904,7518,7407,7332,6988,6867,6779,7203,6847,6520,7175,7079,6866,6606,7598,8186,8169,7855,8295,8091,7599,7524,8111,8704,9794,9915,9083,8872,9305,10066,10290,10449,10175,8991,10278,10645,11316,11878,11805,11071,11087,11376,10927,10470,9315,9003,9570,9435,9568,9285,9170,8871,8570,8468,9441,9473,9968,9432,10274,10385,10384,9661,8600,8529,9250,9807,11174,11844,11942,11007,11864,12784,13279,13113,12928,12472,11932,11131,10957,9879,8365,7641,8225,7763,7491,7096,8597,8575,8105,6816,6747,7243,6978,6427,7109,7877,7382
"36","28","    Transportation","W047RC0",663,743,781,627,745,746,733,743,649,628,681,598,640,709,650,579,652,685,740,809,795,772,762,717,800,844,874,880,894,1015,959,977,904,839,877,984,997,1009,957,944,1063,964,1103,1131,975,951,1022,933,1005,1100,1091,1089,1084,1239,1132,1226,1236,1192,1351,1474,1409,1478,1611,1866,1465,1720,1561,1478,1737,1949,2218,2208,2258,2477,2351,2429,2445,2765,3043,3316,3020,3193,3447,3029,3197,3187,3153,3454,3659,3404,3511,3064,3557,3384,2993,3433,2546,3976,2776,4352,3979,4125,4541,3759,4952,5045,4574,4415,3726,3532,3532,3518,3340,3234,3115,3076,3142,3175,3283,3320,3382,3371,3389,3419,3463,3426,3353,3245,3090,3066,3153,3206,3414,3607,3685,3749,3689,3865,4011,4050,4127,4233,4220,4215,4150,4274,4438,4784,5164,5307,5506,5753,5868,5995,6177,6368,6960,7290,7439,7071,6664,6445,6320,6398,6464,6687,6973,7197,7204,7208,6908,6805,6528,6818,6862,6873,6781,6399,6476,6611,6647,6915,6857,6939,6797,6933,7142,7620,8227,8883,8870,8635,8663,8939,9086,9350,9731,10076,10025,9907,9280,8937,8871,9134,9900,9787,9831,10064,9124,9247,9706,10252,10619,11782,11901,11887,11470,12362,12786,13473
"37","29","      Air","W048RC0",65,71,83,85,89,93,93,91,91,88,85,86,96,101,86,82,86,100,101,118,119,106,91,85,100,132,152,159,156,147,138,131,149,136,140,147,81,73,68,59,73,90,96,98,99,92,94,101,104,96,101,96,104,104,106,117,119,132,125,121,116,124,124,122,115,115,123,117,141,136,130,144,135,140,159,170,167,194,208,190,186,206,243,271,293,271,240,256,282,279,291,292,316,337,358,376,370,380,408,412,460,497,506,536,548,623,597,614,640,552,549,592,571,626,643,676,712,704,746,721,676,618,604,619,672,672,657,623,615,605,640,598,558,609,586,580,548,665,751,741,721,772,729,697,684,722,756,906,994,926,923,988,1045,998,1014,972,1104,1158,1265,1119,1196,1295,1362,1528,1589,1797,2089,2353,2429,2394,2020,1817,1396,1533,1450,1402,1361,982,1016,1060,956,1125,1008,1068,945,943,859,888,891,1133,899,635,826,1098,1076,1004,883,958,870,945,744,592,482,466,418,407,409,333,308,661,630,773,1080,1023,1023,1182,1001,1076,961,1156
"38","30","      Land \3\","W049RC0",598,672,698,542,656,653,639,652,558,541,596,511,544,608,564,497,565,585,639,691,676,667,672,632,701,712,722,721,738,868,821,846,755,703,738,837,915,936,889,885,990,874,1007,1032,876,858,929,833,901,1005,991,993,980,1135,1027,1110,1117,1060,1226,1352,1293,1354,1487,1744,1350,1605,1438,1362,1597,1813,2088,2063,2123,2337,2192,2259,2278,2571,2835,3126,2835,2986,3205,2758,2904,2917,2913,3197,3377,3125,3220,2772,3241,3047,2635,3057,2176,3596,2368,3941,3519,3628,4035,3223,4405,4422,3977,3800,3086,2980,2983,2926,2769,2607,2472,2400,2430,2471,2536,2599,2706,2752,2786,2800,2791,2754,2695,2622,2475,2461,2513,2609,2856,2999,3099,3169,3141,3200,3260,3308,3406,3461,3491,3517,3466,3552,3682,3877,4170,4381,4583,4765,4822,4996,5163,5396,5856,6131,6175,5952,5468,5150,4957,4869,4875,4890,4884,4845,4775,4815,4888,4988,5133,5285,5412,5471,5420,5416,5460,5552,5690,5790,5850,5871,5852,5990,6283,6732,7337,7750,7971,8000,7837,7841,8010,8346,8848,9118,9155,8961,8535,8345,8389,8668,9481,9380,9422,9730,8816,8586,9076,9479,9539,10759,10878,10706,10469,11287,11825,12317
"39","31","    Farm","C316RC0",1030,1094,1148,1188,1211,1215,1202,1176,1151,1140,1150,1183,1228,1273,1306,1325,1328,1324,1318,1314,1314,1321,1335,1354,1373,1386,1393,1396,1408,1442,1503,1583,1664,1717,1728,1699,1644,1595,1572,1581,1618,1666,1714,1758,1801,1848,1901,1950,1980,1966,1905,1813,1728,1704,1773,1935,2168,2420,2655,2857,3026,3179,3325,3466,3598,3705,3784,3837,3878,3926,3993,4087,4207,4346,4500,4671,4861,5082,5326,5567,5765,5863,5835,5693,5478,5268,5106,5000,4927,4826,4665,4434,4154,3866,3606,3402,3274,3232,3266,3344,3411,3389,3244,2980,2645,2328,2089,1962,1953,2039,2191,2373,2539,2641,2655,2585,2392,2394,2394,2389,2493,2556,2561,2510,2818,2826,2778,2782,2832,2756,2752,2671,2269,2344,2495,2485,3060,3450,3417,3641,3279,3180,3469,2975,2934,2981,3167,2974,3561,3682,3735,3655,3625,3689,3970,3975,4141,4533,4222,4241,4526,5474,4892,5344,5613,5567,6308,6463,5377,5207,5143,4813,5390,5381,5715,5959,4984,5066,5198,5163,5797,5672,5494,4977,5205,5640,6040,6531,6265,5792,5482,5729,5855,6467,6225,6621,9036,8411,7909,7553,6958,6660,6416,6514,6496,5956,5842,5654,5781,6755,6983,6710,6959,7073,6971,6797,6849,6990,6944,6930
"40","32","    Other \4\","W050RC0",147,144,171,198,210,209,219,226,229,209,170,178,202,203,217,234,221,229,257,249,240,268,267,237,270,320,318,373,468,377,292,312,323,334,369,356,405,363,338,341,304,457,585,520,496,508,574,755,716,593,585,549,637,651,529,537,535,592,657,661,618,667,700,753,726,711,821,727,846,816,714,791,853,768,983,1199,1059,1196,1166,1103,1152,1352,1572,1649,1658,1617,1377,1314,1452,1582,1832,1864,1848,1831,1892,1988,2165,2284,2232,2019,2186,2560,3036,3510,3726,4055,3822,4229,4356,3179,2880,3034,3266,3993,4031,4124,3352,3318,3148,3202,3395,3488,3578,4076,4501,4165,4329,4206,4070,4072,4407,4465,4562,5153,5480,5004,4925,4848,4697,4477,4240,4149,4218,4447,4814,5067,5110,4929,4591,4317,4121,3989,3907,3826,3745,3723,3846,3990,3973,3736,3405,3361,3490,3729,4088,4360,4443,4222,3653,3293,3085,2989,2634,2345,2234,2257,2407,2608,2825,3042,3238,3347,3341,3226,3066,3029,3107,3296,3605,3913,4150,4297,4372,4421,4451,4483,4546,4526,4328,3927,3267,2906,2906,2969,2190,2977,4073,3990,3435,3395,3114,3053,2872,3030,3056,3239,3049,4165,3730,3734
"41","33","    Brokers' commissions on sale of structures","C321RC0",147,153,160,160,172,175,178,187,190,186,187,189,190,204,214,208,194,205,207,210,211,223,234,240,258,284,293,321,319,318,326,317,321,300,306,305,299,283,259,259,268,265,270,257,246,237,221,208,207,205,202,194,194,193,191,198,255,297,339,369,388,413,417,442,421,397,398,396,399,383,397,429,492,565,606,593,570,581,577,556,541,571,594,614,625,591,556,556,586,582,593,583,588,591,580,585,587,591,653,677,746,821,859,902,970,1019,1037,1082,1070,1036,1044,1087,1119,1144,1171,1150,1183,1287,1309,1333,1414,1388,1438,1455,1514,1534,1556,1472,1396,1362,1294,1268,1280,1278,1287,1315,1263,1284,1315,1346,1323,1463,1463,1506,1582,1637,1653,1668,1720,1781,1837,1970,1991,1959,2065,2053,2135,2210,2214,2288,2303,2243,2222,2232,2334,2413,2457,2461,2420,2449,2365,2285,2230,2100,1968,1965,1981,2019,2017,2037,2030,2068,2156,2200,2244,2272,2316,2419,2533,2652,2766,2843,3024,3276,3520,3712,3764,3761,3735,3681,3465,3267,3054,2735,2445,2427,2317,2384,2117,2304,2462,2534,2596,2656,2733,2907,2646,2731,2849,2884
"42","34","    Net purchases of used structures","E322RC0",-171,-199,-228,-250,-250,-255,-272,-295,-311,-332,-362,-395,-421,-447,-466,-474,-467,-460,-456,-453,-464,-469,-455,-428,-399,-367,-329,-293,-283,-267,-238,-204,-176,-146,-118,-100,-93,-89,-88,-86,-83,-83,-87,-95,-110,-127,-147,-168,-187,-203,-213,-217,-216,-214,-211,-211,-225,-240,-258,-273,-280,-280,-282,-274,-272,-272,-282,-290,-305,-321,-328,-338,-341,-333,-328,-318,-276,-230,-213,-225,-263,-306,-332,-339,-335,-340,-367,-410,-459,-486,-484,-455,-411,-373,-360,-376,-495,-554,-603,-640,-660,-672,-663,-637,-590,-608,-913,-689,-756,-792,-827,-861,-898,-910,-894,-870,-898,-901,-901,-568,-913,-1006,-1100,-1189,-1321,-1388,-1430,-1445,-1372,-1381,-1406,-1445,-1430,-1393,-1358,-1327,-1292,-1269,-1252,-1241,-1232,-1217,-1222,-1238,-1272,-1279,-1269,-1240,-1187,-1136,-1088,-1023,-975,-987,-1031,2112,-1256,-1329,-1388,-1413,-1434,-1458,-1474,-1487,-1490,-1475,-1474,-1437,-1560,-1614,11131,-1614,-1548,-1643,-1848,-2126,-2140,-2154,-2148,-2051,-1846,-1633,-1412,-1184,-947,-805,-758,-805,-948,-1189,-1528,-1966,-2502,-2885,-3115,-3190,-3115,-3056,-3013,-2988,-3002,-2942,-2866,-2756,-2878,-2854,-2824,-2789,-2748,-2721,-2710,-2714,-2734,-2749,-2759,-2765,-2765,-2765,-2765,-2765
"43","35","Residential","A012RC0",27728,28740,28265,27500,28414,26161,25353,25379,25411,25597,27015,27937,28502,29373,29317,29220,30274,32339,32583,33854,35618,34361,33896,34015,34093,34424,34579,34807,35235,33682,32309,29520,28722,32179,34075,36688,37448,38730,39494,41660,43957,44124,43937,41443,41417,40269,41437,46035,49750,55714,59396,62637,67700,69332,70791,75628,79214,76977,76192,73947,70584,69232,69019,61508,59358,62075,66827,70997,78397,82749,82721,94694,100132,114161,117467,119569,124323,134257,139550,142973,142315,144509,147207,144665,136818,113582,119825,134351,134018,131705,122572,111172,106099,104030,104723,113784,134495,150884,166771,175422,181846,186575,186128,188047,189323,191306,196357,203096,214148,229118,235332,238654,241022,243999,244061,246857,244203,249445,251420,255490,254701,249617,249425,245719,249831,240841,228559,215412,204532,211941,220707,224441,236510,247275,249191,262305,265416,271936,284776,300820,309556,321725,320181,319018,315409,307184,320054,328319,338475,355022,358020,355407,359078,366025,372686,379475,388410,404715,420794,434628,440359,452088,459235,466369,476619,478908,475381,480026,488910,503226,514606,514071,530270,546773,550927,570303,593458,603746,643130,674303,697232,734124,754426,776969,805722,834103,865921,880002,885648,848680,803728,771349,739333,707409,661865,606598,555978,528802,498006,443264,396922,368048,383786,386952,374793,392348,357300,366416,368853,372559,378087,389310,409466,416844,434711,459654,480993,503866,523233,520188
"44","36","  Permanent site","A943RC0",19623,20266,19788,19015,19492,17457,16660,16379,16369,16671,17795,18785,19237,20003,20298,20246,20951,22311,22695,23699,25270,23960,23530,23632,23381,23642,24066,24295,24652,23310,20889,18393,18380,20060,22764,24960,25340,26509,26772,28271,30057,29971,28894,27974,26379,25676,26866,29315,33070,37514,40815,43281,47553,49246,50211,53370,56208,56485,55237,50546,46524,45266,43291,38599,34935,33740,36584,40013,44273,49076,52625,57106,62617,72981,75581,77745,79067,84107,88960,90269,88297,89133,91176,88481,78952,63324,62722,73518,77669,75077,66896,58059,54617,53935,56211,63237,78195,90326,102270,109052,112970,115098,115424,114972,115051,114639,115190,118676,125595,133810,139840,141432,140921,141757,142705,145289,140883,141276,141536,145869,147616,144971,141703,138642,143705,137697,128467,118676,107393,109042,119350,122515,127179,136251,135891,140959,144231,145427,151726,162260,170104,178527,178904,178025,174600,165280,169412,176323,183031,193639,194787,192999,193921,197078,197840,203409,208880,217401,229865,239787,245191,247670,251963,260260,268491,267563,260827,263307,270522,278395,285508,283139,286584,297149,300953,310678,326241,329737,349126,377659,390898,413414,429202,436490,454267,470612,490140,508213,517387,487736,450899,419170,393558,373614,345003,304401,266382,247991,218879,187205,149854,124099,130070,131473,130796,133299,124487,120438,120701,120185,124139,127835,137355,146690,158597,174346,189548,199164,203343,209451
"45","37","    Single-family structures","A944RC0",16681,17199,16779,16125,16712,14906,14124,13722,13535,13562,14325,14934,14954,15269,15218,14975,15156,15898,16046,16804,18433,17465,17203,17495,17223,17549,18121,18463,18712,17731,15839,13990,14286,15834,17901,19247,18993,19575,19281,20231,21027,20222,19228,18307,16966,16501,17447,19250,22045,25332,27148,28699,31379,32164,32967,34882,36900,36877,35111,31836,29693,30499,30303,28305,26427,27337,30819,33973,38248,42788,45574,48830,53733,62844,64986,67293,68238,71509,75122,76206,73719,72587,73249,69472,60089,47081,47562,56952,58957,56624,49904,42376,39020,39001,40749,47078,59397,69142,78542,82974,86156,87861,86039,85524,86000,86186,86755,90459,95723,101612,108682,110508,113243,116294,118597,120730,117767,119560,119608,123437,124977,121852,118919,117968,123683,118177,109297,100387,90074,93769,105338,108528,113921,121201,123422,129361,133663,135112,140489,151228,158422,165220,163771,161822,157431,148221,151001,157407,163097,171961,175289,172814,172004,174162,175454,179096,184636,193720,205023,214257,218791,220683,223627,232247,240565,238886,233298,234403,240987,248587,255075,251695,254363,263992,267843,277358,291452,295289,313657,341902,354077,374435,387705,394011,410268,424216,441422,458134,465476,435117,398751,364643,339874,324070,297954,258842,221315,202144,173985,145659,112050,92918,105049,111327,114701,118775,110427,106373,106932,105994,108490,111296,119418,125618,135062,147966,160526,167647,170746,173796
"46","38","    Multifamily structures","C292RC0",2942,3067,3009,2890,2780,2551,2536,2657,2834,3109,3470,3851,4283,4734,5080,5271,5795,6413,6649,6895,6837,6495,6327,6137,6158,6093,5945,5832,5940,5579,5050,4403,4094,4226,4863,5713,6347,6934,7491,8040,9030,9749,9666,9667,9413,9175,9419,10065,11025,12182,13667,14582,16174,17082,17244,18488,19308,19608,20126,18710,16831,14767,12988,10294,8508,6403,5765,6040,6025,6288,7051,8276,8884,10137,10595,10452,10829,12598,13838,14063,14578,16546,17927,19009,18863,16243,15160,16566,18712,18453,16992,15683,15597,14934,15462,16159,18798,21184,23728,26078,26814,27237,29385,29448,29051,28453,28435,28217,29872,32198,31158,30924,27678,25463,24108,24559,23116,21716,21928,22432,22639,23119,22784,20674,20022,19519,19170,18288,17318,15274,14013,13987,13258,15050,12469,11598,10568,10315,11237,11032,11682,13307,15133,16202,17170,17060,18411,18916,19934,21678,19498,20185,21918,22917,22385,24312,24244,23681,24842,25530,26400,26987,28336,28013,27926,28677,27529,28904,29535,29808,30433,31444,32221,33157,33110,33320,34789,34449,35469,35758,36821,38980,41496,42479,43999,46396,48718,50079,51911,52619,52147,54527,53684,49544,47050,45558,45067,45847,44893,41546,37804,31181,25021,20146,16095,14524,14060,14065,13769,14191,15649,16539,17937,21072,23535,26380,29022,31517,32597,35655
"47","39","  Other structures","A863RC0",8105,8474,8477,8485,8922,8704,8693,9000,9042,8926,9220,9152,9265,9370,9019,8974,9323,10028,9888,10155,10348,10401,10366,10383,10712,10782,10513,10512,10583,10372,11420,11127,10342,12119,11311,11728,12108,12221,12722,13389,13900,14153,15043,13469,15038,14593,14571,16720,16680,18200,18581,19356,20147,20086,20580,22258,23006,20492,20955,23401,24060,23966,25728,22909,24423,28335,30243,30984,34124,33673,30096,37588,37515,41180,41886,41824,45256,50150,50590,52704,54018,55376,56031,56184,57866,50258,57103,60833,56349,56628,55676,53113,51482,50095,48512,50547,56300,60558,64501,66370,68876,71477,70704,73075,74272,76667,81167,84420,88553,95308,95492,97222,100101,102242,101356,101568,103320,108169,109884,109621,107085,104646,107722,107077,106126,103144,100092,96736,97139,102899,101357,101926,109331,111024,113300,121346,121185,126509,133050,138560,139452,143198,141277,140993,140809,141904,150642,151996,155444,161383,163233,162408,165157,168947,174846,176066,179530,187314,190929,194841,195168,204418,207272,206109,208128,211345,214554,216719,218388,224831,229098,230932,243686,249624,249974,259625,267217,274009,294004,296644,306334,320710,325224,340479,351455,363491,375781,371789,368261,360944,352829,352179,345775,333795,316862,302197,289596,280811,279127,256059,247068,243949,253716,255479,243997,259049,232813,245978,248152,252374,253948,261475,272111,270154,276114,285308,291445,304702,319890,310737
"48","40","    Manufactured homes","A945RC0",551,544,559,590,541,527,549,499,499,499,495,547,563,582,548,563,584,634,624,710,765,841,908,910,1001,991,1038,1070,1025,1130,1114,1067,1033,1184,1242,1377,1592,1604,1721,1983,2366,2216,2305,2446,2116,2243,2407,2498,2628,2998,3413,3569,3803,3793,3671,4509,4746,4418,4133,4247,3845,3880,3244,2383,2184,2386,2682,2892,3115,3101,3181,3495,3731,3891,4149,4873,4880,4664,4473,4587,4742,5162,5310,5202,5191,3650,4358,5217,4829,5113,5187,4615,4620,4987,4658,4975,5645,6146,6617,6657,6320,6366,6489,6209,5861,6260,6242,6077,5404,5239,5123,5533,5222,5256,5465,5210,4776,5214,5445,5445,5284,5053,4944,5091,5112,4966,4810,4704,3797,4370,4564,4769,4873,4733,5682,6881,6526,6808,7559,8499,8962,9203,9571,10531,11005,10988,11757,12665,12599,13294,13579,13292,13164,13850,14203,14238,14141,14431,14902,15308,15151,14547,13891,13628,13041,11613,10535,8870,8116,8426,9334,9934,9638,9552,9814,9048,8375,8133,8760,8676,8980,8774,9643,10982,11741,11267,12143,14097,11969,11130,10316,9456,9415,9396,9494,9275,8848,8207,7873,6863,5071,4250,4760,4770,4986,5755,4625,3491,3337,4823,5170,5403,4738,5446,5415,4790,4721,6052,6023,5774
"49","41","    Dormitories","C295RC0",230,233,246,243,233,219,233,247,279,301,322,358,451,540,555,530,476,451,445,400,495,541,580,584,593,633,627,607,618,600,598,560,510,483,470,461,443,423,406,392,380,362,337,305,270,239,217,202,191,178,159,136,113,100,101,114,133,143,140,124,106,100,113,145,186,217,226,211,177,137,100,74,57,51,58,74,94,106,108,108,55,63,70,77,92,94,100,110,225,213,188,182,238,264,278,272,336,332,326,317,406,390,420,387,306,354,402,403,403,413,416,460,614,648,602,664,630,605,592,593,600,628,665,706,817,806,744,636,386,274,205,186,264,312,371,433,531,557,547,505,359,315,301,321,430,476,514,540,523,549,587,637,708,769,821,862,838,930,942,1114,1100,1180,1341,1479,1504,1328,1296,1299,1594,1450,1549,1629,1579,1509,1358,1666,1709,1742,1833,1760,1726,1878,1699,1373,1424,1340,1550,1835,1999,2066,2098,2098,2366,2733,2866,3635,3658,3620,3972,3913,3382,2940,2068,1594,1496,1552,1729,1839,1871,2206,2346,2233,2698,2768,3002,3288,3302,3300,3773,3945
"50","42","    Improvements","A946RC0",5914,6155,6098,6081,6438,6446,6471,6837,6863,6706,6840,6551,6520,6427,6022,5935,6217,6715,6509,6591,6594,6657,6572,6629,6721,6738,6414,6423,6409,6198,7588,7741,6972,8300,7078,7186,7476,7567,7668,7813,7935,8306,9157,7334,9476,8611,7983,9906,9346,10280,10278,10552,10882,10739,10765,11090,11194,9287,10295,12568,12635,12188,14725,13324,14238,16386,17538,17258,19901,19357,15167,21619,20190,22971,22839,21092,23379,27213,27598,28310,29535,29641,30045,31715,34832,32218,33331,36199,34401,34292,35001,34730,33767,32400,30640,29677,31398,33718,35513,36531,37631,40003,40344,42118,41354,42928,43883,47090,51275,54852,55416,54273,56203,57712,58846,59635,60255,60647,60967,61201,61535,61366,60906,60165,59589,58698,56393,56763,56058,56212,56935,58233,60296,62498,64970,67610,70747,73149,75173,76775,77713,78627,79329,79885,79941,80661,81661,82946,84977,86439,87772,88936,89939,90719,91329,91817,92132,92961,94199,95836,97927,100146,102338,104413,106344,108213,109973,111578,113003,114724,116758,119123,121836,124567,127311,130070,132827,135692,138668,141756,144963,148317,151824,155492,159331,162870,166067,168902,171671,173564,174539,174579,174238,174158,169643,168445,163730,161313,162361,156105,155001,152418,151892,147514,146359,154125,150124,154439,153944,158780,155962,162973,167516,161905,161872,164354,166926,171412,177546,176951
