"","Table 1AU2# Real Manufacturing and Trade Inventories, Seasonally","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"30","22","    Printing and publishing","WKS270",6917,6960,7089,7090,7189,7395,7293,7281,7306,7332,7408,7404,7359,7202,7176,7118,7269,7235,7585,7513,7588,7642,7743,7903,7944,8307,8197,8193,8226,8149,8230,8389,8568,8670,8880,8330,8219,8416,8278,8360,8207,8089,8073,7851,7957,7870,7854,7718,7895,7768,7745,7896,7764,7767,7782,7914,7821,7870,7888,7785,8043,7921,7990,7791,7766,7836,7796,7909,7963,7894,7923,7992,7974,7977,8073,8207,8398,8453,8450,8597,8614,8817,8783,8825,8871,9209,8838,8889,8843,8855,8892,8997,8928,8957,8970,9151,9451,9247,9414,9269,9222,9174,9100,9087,9138,9144,9136,9158,9089,8973,8786,8858,8888,8982,9047,9072,9284,9355,9391,9566,9500,9527,9588,9464,9445,9426,9456,9482,9463,9552,9639,9724,9734,9736,9833,9915,10042,10085,10148,10173,9837,9792,9975,9901,9915,10040,10118,10157,10307,10234,10258,10291,10343,10396,10369,10367,10415,10442,10485,10506,10514,10512,10504,10471,10390,10353,10328,10212,10245,10272,10311,10389,10401,10416,10478,10517,10577,10545,10553,10514,10485,10568,10475,10476,10507,10491,10407,10333,10309,10377,10259,10256,10305,10211,10000,10050,10082,10178,10257,10355,10306,10439,10526,10720,10812,10790,10929,11010,11147,11394,11500,11621,11813,11737,11750,11856
"31","23","    Chemical and allied products","WKS280",26489,26581,26747,27056,27142,26987,26867,27085,27240,27149,27388,27678,27752,27735,27911,28087,28081,28098,28428,28798,29032,29386,29540,29711,30058,30651,30969,31413,31606,31629,31947,32060,32229,32336,32494,32561,32158,32391,32390,32838,32998,33455,33499,33619,33931,33920,34089,34160,34154,34440,34381,34467,34735,34789,34853,34719,34682,34858,34649,35069,35096,35059,35038,34701,35015,35440,35355,35376,35604,35922,35853,35573,35269,35096,35410,35977,35750,35488,35736,35200,35135,34918,34772,35028,36177,36393,35854,36192,36350,36572,36352,36482,37160,37819,38631,39562,39161,39325,39632,39647,39521,39366,38635,38726,38544,38331,38521,38798,38806,38870,39254,39080,39380,39783,40329,40611,40947,41288,41158,41170,40639,40748,40547,40630,40792,41214,41656,41948,42492,43111,43076,43260,43146,43178,43561,43872,43701,43966,44239,44359,44458,44221,44156,44790,44146,43818,43534,43599,43149,43015,42969,43190,43415,43187,43213,43461,44778,45441,45374,45968,45982,45828,44884,44057,44067,43735,44131,44417,44669,44675,44699,44538,45209,45511,45333,45546,45693,46041,46064,46000,45998,45886,45867,45924,45074,44781,44808,44391,43975,44024,43425,42849,42325,42446,42289,42590,42741,42570,43082,43659,43594,44085,44517,44432,44116,44790,45536,45986,46650,47965,48124,48838,49723,49367,48774,48426
"32","24","    Petroleum products","WKS290",14949,15155,15002,15684,15978,15774,16154,15876,16254,16243,16179,16633,16750,16751,16946,16726,16946,17387,17840,17763,18069,18056,18096,17785,17383,17550,17260,16935,16835,16674,16699,16336,16701,16777,16953,17714,18275,18313,18551,18601,18811,18912,18188,18250,18027,18138,18662,17974,17986,17767,17847,17812,18065,18236,18383,18860,18849,18986,18962,18904,18744,18388,18217,18012,18013,17823,17891,17792,17847,17627,17517,17110,16702,16687,16592,16900,16456,16112,16521,16259,15804,16219,15711,15265,15255,15323,15839,17132,18282,18695,18891,19772,20227,20154,20169,20474,21277,21863,21965,21515,21103,20830,20733,20752,20809,21090,21189,21330,21142,21366,21598,20775,21053,21405,21293,21030,21536,22389,21969,22081,21994,21736,22201,22709,23499,23380,23640,23623,23945,24056,24323,24224,24234,24456,23225,23131,22350,22566,22836,22739,22332,22817,23138,22894,22709,22058,21500,21467,21049,21227,21226,21784,22347,22799,22648,23110,23321,23250,24224,24515,25108,25211,25362,25256,25226,24653,23901,24286,23666,23872,24694,24780,26017,25273,24874,24489,24313,24005,23600,24265,25049,24695,26292,24891,23362,23577,24143,24933,24787,24536,25504,25535,26221,26395,25415,24574,24189,24666,24825,24668,25476,25228,24219,24258,24067,24867,24964,26154,26064,25776,25872,26098,25976,26026,25208,24720
"33","25","    Rubber and plastic products","WKS300",7379,7362,7421,7403,7479,7487,7434,7295,7323,7352,7376,7459,7388,7417,7450,7696,7729,7812,7845,8002,7948,7969,8429,8290,8343,8454,8347,8417,8543,8482,8664,8765,8858,8894,8822,8890,9009,9159,9163,9076,9073,9081,9123,9014,9134,9161,9208,9162,9030,9094,9196,9235,9267,9310,9473,9268,9194,9424,9447,9552,9646,9567,9744,9948,10113,9979,10006,10159,10186,10131,10240,10318,10309,10401,10505,10584,10729,10811,10969,11002,11140,11196,11217,11228,11345,11543,11482,11555,11610,11628,11695,11573,11613,11673,11691,11753,11831,11707,11610,11496,11336,11488,11573,11450,11551,11617,11654,11622,11728,11747,11714,11912,11765,11766,11607,11587,11825,12017,12331,12337,12398,12636,12692,12721,12753,12879,12889,13029,13175,13216,13197,13323,13403,13534,13394,13342,13504,13583,13551,13789,13778,13796,13835,13998,14014,13987,14044,14236,14175,14152,14288,14246,14259,13912,13999,13836,14041,13890,13888,13919,13674,13340,13273,12894,12853,12875,12841,13086,13120,13449,13323,13311,13316,13378,13471,13502,13644,13578,13725,13407,13145,13218,13058,13085,13028,12909,12688,12695,12589,12832,12629,12524,12457,12327,12241,12443,12529,12655,12751,12766,12917,13148,13275,13163,13183,13375,13548,13412,13866,14242,14359,14497,14328,14397,14206,14056
"34","26","    Leather and leather products","WKS310",2708,2676,2671,2666,2685,2632,2550,2662,2652,2657,2657,2700,2695,2733,2728,2733,2718,2718,2667,2844,2881,2963,2804,2822,2894,2885,2975,3059,3051,3001,2918,2707,2777,2768,2816,2877,2877,2904,2886,2865,2882,2802,2789,2749,2652,2776,2767,2709,2691,2695,2626,2665,2635,2563,2601,2589,2606,2652,2669,2607,2648,2556,2591,2500,2589,2625,2618,2535,2521,2470,2410,2337,2384,2601,2613,2534,2594,2631,2611,2668,2635,2608,2592,2626,2626,2607,2636,2614,2617,2602,2549,2610,2591,2537,2602,2609,2587,2571,2525,2406,2321,2280,2283,2348,2379,2434,2424,2477,2398,2404,2447,2434,2428,2471,2385,2417,2430,2473,2488,2531,2446,2418,2428,2459,2439,2474,2479,2431,2415,2479,2510,2548,2533,2597,2651,2690,2709,2692,2744,2754,2634,2623,2534,2610,2607,2605,2471,2423,2356,2404,2471,2479,2515,2463,2425,2480,2493,2554,2638,2708,2765,2802,2666,2606,2522,2454,2452,2459,2500,2433,2490,2612,2504,2396,2502,2527,2612,2640,2695,2670,2662,2549,2421,2495,2531,2624,2594,2555,2595,2580,2498,2531,2579,2594,2582,2587,2603,2651,2703,2656,2627,2667,2673,2660,2625,2604,2626,2609,2663,2625,2658,2678,2649,2695,2641,2580
"35","27","Trade total","WKS50",197090,197003,197798,197359,197060,196312,196170,197667,198213,197766,199788,201518,204027,203923,204555,206340,208827,209295,210491,211665,209983,214307,215119,214688,215784,217294,218281,219047,220274,221994,223362,225658,227736,228981,229240,230650,230466,231696,232020,233128,232893,235445,237289,239903,239537,237896,237882,239426,241324,243871,247357,249412,251426,253839,256980,260788,263030,262785,262223,265898,266654,266845,267884,270758,273557,273414,273378,274968,278467,280341,283095,284101,288570,290200,289751,291152,292336,293659,294860,293248,293302,294526,298242,300260,300677,300006,303589,301749,304701,307156,305637,302646,303908,307747,309136,309991,307019,302008,298864,297762,294660,293513,293869,295556,295748,297120,294293,293283,295473,299418,300233,302961,304777,307893,309918,310543,313288,313041,314016,315286,317475,318501,320780,322804,322949,325699,326808,330282,333524,333608,336517,340058,343440,345850,352107,357362,358514,358686,358426,359766,360487,364086,366265,369197,371983,373983,374542,377207,379986,380226,386903,384299,379193,380939,379719,378313,378723,378917,377627,379929,379547,378869,379506,379951,380727,382752,382459,380622,381454,384649,384635,382688,383479,386867,389798,390893,391171,390665,395907,395694,392879,386943,388679,392299,388396,392579,394626,393349,394656,393280,389758,388737,387635,387897,389044,388636,388893,389893,390783,393567,396633,396865,400266,404066,409280,414770,418970,424188,427574,425649,427970,433799,433820,438020,443069,445898
"36","28","  Merchant wholesale","WKS5W0",84762,84872,85584,85062,85180,85057,85554,87212,88613,88612,89089,90468,91256,90705,90836,91470,92221,93018,93456,94375,94027,94008,94239,93567,93333,94470,95918,96609,97944,98442,98755,99657,100440,100540,100250,101247,102040,103576,103932,104157,104563,105448,105708,107153,108159,109349,110488,111010,110805,111033,111008,112024,112726,113824,115337,115868,115996,116382,117141,119349,119715,119394,119157,120877,121863,121724,122010,123052,124797,125668,125932,125922,128562,128707,127968,127493,127313,126899,127117,125530,126510,126990,128198,128862,129984,130313,133573,132502,134951,138021,137436,136473,136939,138921,139503,141617,141190,139146,137461,137151,134713,134213,134013,135477,134736,134316,133749,133348,133948,135047,134256,135512,137434,138988,140785,141218,142294,142809,143589,142994,144336,145459,146167,147759,147400,148922,149159,151773,153959,154351,156490,158096,159552,161500,165496,168333,169069,169469,168956,169366,170373,172840,173851,175342,176642,179569,180643,182264,182788,182027,186424,185324,184360,184524,184337,184913,186815,187317,186566,187453,188685,189203,190390,192694,192107,193158,193871,193035,193213,196277,196135,193362,193189,194223,193196,195510,195038,193821,197072,197598,197819,194681,195654,199702,197650,199217,199898,198307,197499,197767,195772,195198,193650,192996,193171,192597,190429,188865,189775,190636,191657,192147,192435,194440,195414,197787,198391,201118,202592,200970,203414,206556,208393,209026,212192,210584
"37","29","      Addendum: Wholesale less motor vehicle","WKS5WX0",68163,68448,69132,68730,68881,68910,69448,71028,72086,72232,72649,73664,74623,74217,74287,74709,75304,75772,75931,76750,76569,76257,76334,75643,75602,76431,77598,78193,79287,79566,79882,80565,81206,81057,80845,81600,82225,83514,83684,83962,84282,85051,85460,86409,87461,88623,89527,90031,89729,89289,89460,90256,90841,91586,92250,92570,92293,92200,92419,93478,93995,93664,93712,94505,95426,95391,95262,96267,97473,98294,98490,98600,99892,100584,100337,100497,99826,99611,99718,98364,98816,99050,100004,100680,101431,101430,103293,102043,103261,105635,105305,104059,104469,106291,106450,107981,107076,106366,105198,105248,103801,103543,103632,105207,104669,104395,104172,103336,103886,104785,104149,104969,106356,107527,109063,109361,110194,110825,111908,111445,112661,113520,114298,115807,115317,116552,116795,118974,121008,121030,122480,124079,124976,125921,129870,132372,132626,132958,132136,132244,133843,135057,134905,136804,137604,139115,140834,142518,143202,143293,146260,145545,145111,145002,144959,145614,147162,147385,146930,147207,148152,148583,149757,151759,151803,152868,153844,153008,153645,156965,157197,155227,155185,155710,155509,157762,157487,156348,158548,158513,158581,155458,155720,158753,157296,157540,157042,155824,155696,156036,154536,154644,153093,152968,153519,153086,151195,150072,150789,151926,152367,152581,153066,154933,155904,157630,158039,160556,161961,160667,162322,164646,164881,165932,168551,166691
"38","30","    Durable goods","WKS5WD0",49572,49626,49693,49525,49843,49763,49894,49680,50631,50942,51341,52126,52236,52150,52357,53017,53200,53411,53452,54098,53894,54015,54402,54309,54435,54774,55601,56184,56916,57537,57853,58366,58709,58995,58756,59179,59784,60508,60657,60524,60433,60897,61271,62011,62806,63268,63575,63718,64109,64624,64360,65387,65534,65865,67051,67254,67578,68475,68917,70055,70301,70339,70229,71449,72045,72358,73345,72997,73463,73669,75185,75628,76913,76712,76801,76399,77569,78086,78066,78231,78705,78601,79391,80024,80072,80731,82050,82354,83572,84245,84415,84583,86014,87024,87681,88783,90205,88953,88359,88348,86685,86033,85486,85000,84542,85040,85077,85119,85499,85894,85725,86349,87873,88665,89405,88595,90344,90669,90734,89772,91166,91651,91702,91581,91996,93515,94212,95368,96162,96517,97914,98907,100131,101897,103628,104650,105822,106506,107140,107366,107607,108997,109980,110864,111367,113849,113499,113924,114510,113922,116691,116583,116313,117309,116756,116612,117832,117850,117883,118850,119780,119924,119169,121141,119844,119999,121297,122215,121687,123550,123744,123367,125652,125344,123227,124749,124747,123554,126401,126024,127061,126163,126288,129392,126882,127617,129093,127049,125953,125587,123378,122475,121276,119479,118896,117873,116870,116241,116367,116583,117688,117737,118050,119680,119868,120765,122341,122456,123406,124134,125132,127306,128482,128431,129750,130187
"39","31","      Motor vehicles","WKS5010",7249,7080,7039,6978,6937,6809,6727,6645,6827,6694,6705,6908,6681,6600,6644,6778,6851,7074,7286,7293,7175,7438,7556,7634,7481,7655,7775,7800,7895,8047,8015,8131,8187,8403,8358,8485,8565,8647,8784,8716,8757,8780,8622,8938,8804,8721,8830,8800,8904,9482,9308,9414,9455,9672,10294,10434,10783,11173,11584,12408,12241,12279,12046,12721,12690,12609,12953,12894,13220,13186,13223,13115,14107,13586,13199,12641,13130,12977,13060,13005,13430,13627,13744,13648,13889,14194,15274,15603,16611,16956,16745,17177,17166,17079,17445,17791,18324,17207,16874,16551,15836,15651,15388,15118,14997,14898,14623,15089,15073,15150,15082,15374,15691,15899,15961,16047,16169,16005,15635,15568,15553,15692,15552,15468,15632,15751,15722,15873,15804,16110,16545,16399,16780,17530,17180,17212,17595,17619,17966,18214,17543,18486,19486,18950,19297,20355,19626,19398,19188,18439,19372,19114,18697,18948,18828,18689,18834,19059,18849,19364,19517,19548,19430,19477,18912,18788,18460,18552,18110,17587,17260,16789,16691,17067,16414,16262,16136,16182,16832,17285,17397,17648,18181,18720,18375,19386,20344,20150,19629,19543,19280,18744,18873,18475,18140,18066,18008,17757,17847,17529,17952,18155,17953,17897,17811,18177,18297,18234,18160,18010,18502,18955,20245,19803,20004,20386
"40","32","      Furniture and furnishings","WKS5020",1619,1636,1606,1599,1549,1596,1649,1576,1632,1645,1675,1623,1607,1639,1662,1674,1684,1684,1707,1703,1703,1726,1777,1790,1822,1818,1831,1841,1844,1860,1863,1895,1943,1974,1955,1974,2006,2012,2009,2021,2031,2059,2037,2093,2096,2019,2074,2084,2093,2111,2172,2190,2282,2257,2294,2236,2203,2270,2117,2148,2105,2117,2126,2135,2150,2159,2237,2222,2225,2258,2368,2445,2505,2531,2569,2595,2619,2575,2685,2753,2759,2779,2810,2727,2849,2879,2868,2853,2809,2852,2872,2821,2890,2805,2859,2822,2757,2761,2720,2759,2692,2673,2676,2698,2662,2716,2682,2759,2848,2850,2896,2929,3006,3041,3047,3023,3099,3191,3196,3132,3163,3132,3109,3082,3156,3113,3142,3234,3262,3218,3216,3398,3454,3531,3484,3552,3660,3671,3648,3640,3656,3637,3667,3627,3635,3618,3761,3719,3706,3817,3752,3790,3762,3940,3791,3812,3790,3763,3803,3872,3797,3805,3917,3849,3943,3975,3929,3991,3959,3948,4056,4160,4073,4070,4308,4011,4121,4086,3976,3867,3843,3853,3898,3756,3856,3777,3712,3800,3618,3702,3705,3724,3835,3818,3762,3773,3709,3769,3824,3807,3891,3758,3834,3881,3898,3951,3980,4079,4092,4182,4062,4069,4149,4242,4400,4341
"41","33","      Lumber and construction","WKS5030",4272,4081,4026,3960,4168,4179,4114,4114,4266,4244,4156,4162,4328,4259,4218,4223,4218,4304,4345,4431,4516,4506,4506,4525,4444,4378,4628,4872,4928,4989,5069,5174,5150,5094,5094,5103,5117,5103,5070,5164,5099,5145,5202,5211,5221,5525,5406,5224,5380,5343,5237,5063,4995,5158,5127,5131,5210,5272,5286,5118,5296,5421,5562,5566,5574,5595,5554,5558,5464,5583,5546,5803,5846,5846,5770,5877,5979,6202,5985,5926,5988,5923,5883,5948,6064,6188,6063,6009,6227,6248,6272,6094,6020,5995,6170,5841,5710,5538,5557,5535,5380,5349,5466,5551,5797,5592,5703,5652,5637,5488,5544,5408,5601,5504,5677,5685,5644,5721,5906,5774,5793,5907,6138,5897,5834,5797,5782,5950,6058,5985,6042,6121,6234,6318,6342,6427,6491,6591,6606,6470,6675,6715,6551,6625,6638,6627,6638,6816,6935,7061,7247,7162,7026,7078,7039,7017,7111,7064,7096,6991,6876,6828,6728,7000,6627,6611,6966,6592,6656,6732,6689,7002,7113,7155,6899,6838,6869,6697,6524,6478,6429,6340,6299,6085,6066,5933,5865,5863,5986,6345,6306,6330,6428,6504,6479,6479,6508,6639,6863,6936,7066,7043,7087,7203,7491,7208,7342,7413,7446,7336,7399,7520,7391,7424,7469,7529
"42","34","      Professional and commercial","WKS5040",8712,8709,8714,8720,8730,8722,8737,8754,8764,8756,8766,8754,8746,8740,8748,8750,8766,8771,8783,8796,8807,8816,8814,8813,8809,8820,8829,8821,8827,8840,8845,8834,8841,8844,8838,8850,8859,8874,8874,8896,8894,8906,8918,8931,8928,8935,8940,8950,8969,8973,8966,8985,8989,9002,9003,9013,9009,9040,9049,9049,9057,9055,9063,9061,9081,9077,9076,9086,9107,9126,9142,9151,9152,9163,9205,9176,9185,9200,9233,9239,9246,9248,9259,9258,9280,9240,9253,9221,9241,9237,9253,9243,9243,9229,9223,9235,9231,9244,9251,9246,9236,9260,9239,9251,9269,9266,9255,9244,9250,9228,9232,9230,9236,9231,9254,9265,9257,9274,9293,9314,9332,9365,9339,9360,9371,9362,9346,9352,9328,9340,9350,9337,9339,9321,9377,9407,9367,9391,9445,9404,9422,9433,9429,9444,9448,9436,9431,9446,9477,9460,9462,9453,9461,9446,9412,9418,9422,9456,9416,9431,9425,9446,9482,9496,9503,9475,9524,9538,9478,9541,9547,9504,9549,9572,9532,9579,9543,9547,9579,9574,9570,9502,9570,9612,9627,9613,9681,9660,9686,9698,9692,9687,9726,9782,9749,9796,9767,9765,9764,9816,9860,9884,9939,9969,10040,10040,10128,10131,10171,10248,10266,10278,10322,10326,10366,10445
"43","35","      Metals and minerals","WKS5050",7174,7356,7594,7619,7864,7585,7359,7121,7271,7432,7488,7631,7790,8053,8150,8588,8656,8612,8686,9016,9022,8851,8912,8821,8755,8472,8227,8113,8143,8256,8274,8308,8274,8376,8416,8535,8590,8740,8718,8582,8408,8582,8474,8634,9059,9383,9309,9584,9743,9900,10120,10530,10613,10664,10929,10575,10173,9998,9874,9659,9425,9539,9604,9420,9495,9595,9844,10091,10066,9932,10474,10954,10541,10253,10480,10761,10864,10675,10680,10694,10879,10516,10552,10795,10729,10419,10464,10476,10807,11000,11148,10990,11583,12513,13115,13496,14231,14918,15267,15234,14636,14503,14309,13848,13458,13369,13061,12841,12768,12882,12712,12701,12768,13042,13239,13016,13404,13424,13432,13606,13618,13330,13338,13542,13448,13479,13790,13933,14035,13864,14078,14113,14305,14872,15492,15570,16134,16020,15714,15722,15515,15272,15200,14989,15066,15983,15414,15488,15543,15879,16314,16841,16921,17518,17449,17379,17628,17024,17159,17196,17919,18040,17316,18283,18090,17881,18457,18957,18997,19713,19778,19999,20532,20518,19710,20999,21637,21567,21646,21754,22514,21792,22113,23959,22671,22130,22359,21612,21192,21604,21042,20637,19685,20050,19577,18954,18609,18571,18261,18596,19147,18758,18921,18849,18744,18796,18985,19067,19348,19687,19810,20290,19201,19027,19265,18747
"44","36","      Electrical goods","WKS5060",2901,2964,3056,3012,2946,2909,2967,2975,2938,2956,2971,3014,3025,3067,3085,3145,3093,3083,3082,3114,3133,3112,3161,3130,3164,3206,3233,3315,3350,3407,3402,3429,3436,3466,3426,3533,3505,3502,3500,3484,3513,3550,3550,3582,3645,3691,3716,3716,3762,3762,3661,3750,3808,3785,3821,3846,3917,3905,3971,3963,4009,4033,4110,4111,4145,4140,4216,4151,4249,4304,4276,4298,4342,4377,4453,4514,4558,4735,4706,4746,4661,4796,4891,4961,4963,5050,5016,5029,5029,5034,5084,5016,4968,4990,4904,4941,4886,4890,4748,4671,4492,4513,4462,4491,4392,4416,4466,4436,4478,4484,4553,4619,4671,4754,4762,4749,4812,4832,4886,4860,4931,4993,5049,5175,5215,5242,5251,5444,5469,5434,5476,5594,5607,5613,5839,5884,5959,6115,6112,6064,6255,6346,6442,6561,6650,6695,6780,6767,6908,6927,7188,7039,7004,7026,7119,6940,7355,7299,7136,7286,7336,7220,7370,7412,7393,7423,7344,7496,7435,7719,7699,7713,7941,7956,7793,8123,8119,8299,8480,8492,8475,8704,8840,8890,8764,8974,8774,8782,8806,8790,8782,8614,8597,8340,8385,8334,8291,8297,8409,8403,8484,8671,8697,8967,9378,9444,9707,10045,10414,10585,10924,11259,11560,11633,11822,12114
"45","37","      Hardware and plumbing","WKS5070",4383,4369,4392,4437,4432,4451,4487,4559,4613,4734,4658,4676,4587,4565,4578,4592,4605,4592,4627,4631,4670,4649,4740,4946,4924,5058,4994,5015,5296,5261,5167,5090,5252,5167,5209,5163,5330,5285,5368,5269,5289,5289,5338,5395,5428,5420,5387,5404,5363,5439,5459,5554,5562,5586,5677,5618,5653,5851,5791,5771,5751,5895,5954,5962,6129,6355,6295,6157,6409,6602,6717,6732,6883,6938,6965,6922,6961,7078,7109,7113,7139,7178,7208,7439,7541,7474,7445,7535,7626,7405,7605,7578,7465,7401,7345,7413,6968,6805,6888,6729,6588,6292,6313,6465,6408,6423,6483,6614,6498,6463,6486,6556,6605,6657,6723,6892,6966,6758,6975,6944,7012,6986,7106,7414,7287,7439,7639,7407,7478,7527,7636,7636,7746,7943,8110,8131,8328,8320,8393,8308,8387,8655,8524,8557,8771,9007,8835,9017,9025,9122,9155,9080,9083,9076,9046,9183,9174,9344,9328,9208,9114,9005,8920,9059,9099,9170,9180,9442,9483,9534,9589,9696,9781,9965,9814,9724,9661,9814,9542,9552,9461,9163,9213,9480,9061,8930,9427,9154,9056,8876,8455,8759,8865,8814,8630,8596,8533,8511,8472,8386,8531,8584,8764,8850,8749,8943,9003,9041,9173,9074,9265,9492,9618,9665,9807,9876
"46","38","      Machinery, equipment, and supplies","WKS5080",15195,15218,15024,14941,15152,15437,15577,15621,16254,16354,16731,17174,17541,17262,17178,17162,17300,17145,16785,16930,16502,16576,16332,15864,16129,16305,16882,16944,17016,17277,17538,17756,17595,17830,17771,17712,17989,18512,18401,18401,18251,18420,18895,18880,19148,19066,19380,19327,19211,18806,18777,19251,19232,18988,19179,19427,19489,19613,19456,19987,20585,19936,19847,20047,20279,20321,20563,20488,20182,20372,20862,20926,20940,21362,21578,21439,21582,21818,21662,21836,21672,21351,22132,22363,21581,21907,22624,22777,22419,22554,22376,22634,23866,24465,24030,24636,25693,25584,25094,25850,26418,26421,26529,26283,26590,27207,27516,26904,27438,27713,27505,27472,27978,27991,28302,26942,28205,28558,28346,27555,28810,29134,29190,28642,29064,30330,30528,30943,31389,31395,32391,33300,33858,34281,35038,35933,35743,35983,36359,36902,37347,37721,37751,39320,38889,39199,40281,40976,41595,41690,42928,43549,44226,44197,44084,44193,44334,45357,46021,46045,46515,46775,46396,47180,46899,46988,48186,48372,48382,49687,49875,49549,51544,50866,50251,51033,50281,48850,51716,50832,51363,51021,49975,50858,50095,49746,50235,49158,49604,48232,47335,46468,45384,44359,44628,43975,43389,42896,42523,41886,42164,42301,42157,43638,43322,43098,43492,43484,43831,44117,43896,44141,43941,44015,43824,43477
"47","39","      Other durable goods","WKS5090",5977,6068,5967,6067,6188,6248,6318,6338,6313,6438,6561,6586,6488,6458,6571,6591,6654,6732,6654,6809,6934,6847,6982,7097,7221,7245,7406,7542,7698,7665,7847,7908,8159,7913,7821,7802,7922,8091,8155,8246,8318,8327,8539,8606,8875,9028,9005,9166,9197,9166,9210,9259,9079,9258,9158,9349,9275,9475,9762,9827,9775,9905,9686,10138,10292,10382,10424,10289,10242,9938,10583,10327,10418,10555,10575,10474,10666,10642,10764,10725,10811,10702,10469,10542,10636,10689,10444,10234,10116,10298,10402,10469,10645,10602,10687,10821,10869,10549,10641,10717,10635,10553,10352,10503,10339,10653,10879,10976,10948,11131,11084,11354,11718,11897,11907,12197,12263,12484,12701,12503,12711,12891,12621,12583,12565,12900,13027,13173,13427,13772,13414,13329,13200,12886,13449,13384,13303,13507,13674,13486,13709,13522,13483,13691,13728,13760,13699,13472,13383,12834,12623,12161,11953,11899,11705,11896,11869,11364,11215,11441,11390,11509,11566,11689,11619,11918,11997,12041,12074,12372,12696,12462,12383,11899,12144,12015,12185,11849,11759,11541,11552,11145,10815,11081,11112,11369,11022,10769,10323,10669,10268,11186,11144,10611,10805,10946,10924,10832,11028,12030,11396,11164,11377,11302,11008,11657,12039,11370,11164,11360,11277,11695,11834,12146,12684,12795
"48","40","    Nondurable goods","WKS5WN0",34299,34356,35013,34657,34443,34403,34774,36707,37133,36797,36862,37445,38144,37666,37578,37520,38103,38705,39119,39373,39234,39081,38896,38290,37899,38726,39333,39410,40004,39836,39814,40195,40640,40423,40383,40967,41128,41946,42158,42550,43086,43504,43358,44061,44235,44978,45842,46235,45581,45247,45514,45441,46020,46811,47085,47421,47187,46568,46878,47947,48058,47668,47539,47988,48365,47857,47036,48551,49889,50592,49160,48663,50019,50393,49547,49494,48111,47191,47431,45779,46269,46814,47228,47283,48257,48000,49804,48546,49707,51958,51252,50205,49346,50279,50226,51204,49438,48663,47591,47295,46544,46698,47045,48947,48674,47777,47184,46747,46960,47648,47036,47653,48030,48774,49814,51059,50363,50544,51262,51657,51568,52204,52868,54604,53813,53774,53261,54729,56153,56172,56885,57482,57671,57783,60072,61917,61412,61087,59856,60036,60829,61896,61874,62470,63284,63628,65142,66373,66277,66116,67690,66672,65963,65070,65462,66206,66864,67360,66553,66440,66721,67098,69086,69376,70112,71009,70396,68608,69326,70490,70142,67733,65205,66553,67706,68470,67990,68004,68296,69253,68342,66028,66905,67739,68345,69180,68250,68836,69200,69899,70265,70673,70370,71731,72593,73150,71951,70976,71813,72491,72331,72799,72752,73054,73894,75439,74275,77113,77624,75004,76520,77419,78056,78830,80791,78446
