"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210"
"44","36","    Metal and mineral (except petroleum) wholesalers","PK42153",64.711,65.08,65.315,65.115,65.157,65.301,65.25,65.386,65.412,65.18,65.07,64.965,64.46,64.378,63.92,63.804,63.686,63.196,62.679,61.982,61.259,60.266,59.501,59.05,58.371,58.442,58.035,57.981,58.279,58.412,58.493,58.909,59.096,59.587,60.04,60.679,61.469,61.587,62.031,62.039,61.757,61.661,61.736,61.563,61.4,60.775,59.884,59.866,59.673,59.565,59.292,58.822,58.769,58.313,58.372,58.131,58.044,57.554,57.223,56.994,57.092,57.274,57.788,58.395,59.101,59.97,60.481,60.704,61.526,61.724,61.778,61.82,61.868,62.52,62.58,62.378,62.142,62.041,62.088,62.735,63.146,63.755,64.715,66.271,68.884,72.718,75.609,78.126,78.822,78.912,82.953,85.882,86.418,88.627,90.138,90.115,90.728,90.548,89.796,89.681,87.517,84.633,83.796,84.434,86.651,86.842,89.665,90.338,91.4,93.007,93.652,95.812,99.382,101.106,102.966,102.585,104.217,104.164,102.544,103.136,102.693,104.565,108.353,110.669,110.33,110.212,110.032,108.592,107.69,107.791,107.957,109.05,112.702,115.818,120.926,131.272,137.691,142.647,146.698,146.406,139.117,124.179,112.418,104.718,102.489,99.951,97.011,93.622,93.274,93.953,96.663,100.954,104.333,105.763,105.182,107.763,111.916,113.151,117.088,121.929,122.767,121.222,118.162,118.104,119.267,120.246,121.822,124.063,129.15,132.97,135.166,137.157,136.835,136.624,137.281,137.029,136.879,134.644,132.675,133.515,134.457,134.223,134.122,132.808,131.452,127.029,124.283,124.258,125.087,122.992,124.188,125.096,123.746,123.011,123.149,122.018,119.965,119.148,119.408,120.041,119.92,120.485,121.986,123.285,124.455,124.212,122.932
"45","37","    Electrical goods wholesalers","PK42163",112.902,112.706,112.874,112.417,112.195,112.32,112.231,111.85,111.601,111.216,110.976,110.601,110.386,109.865,109.822,109.683,109.558,109.17,108.719,108.703,108.57,108.758,108.727,108.615,108.655,108.732,108.591,108.402,108.022,107.749,107.433,107.414,107.384,107.169,106.963,106.868,106.694,106.545,106.345,106.487,106.437,106.378,106.325,106.103,106.043,105.96,105.789,105.363,105.348,105.166,105.078,104.723,104.595,104.36,104.208,104.01,103.83,103.854,103.835,103.69,103.838,103.778,103.773,103.475,103.26,103.25,102.782,102.895,102.854,102.581,102.484,102.171,102.134,101.843,101.803,101.883,101.779,101.593,101.52,101.34,101.332,101.094,101.115,100.654,100.283,99.872,99.886,99.85,99.901,99.815,99.398,99.434,99.397,99.3,99.344,99.389,99.574,99.68,99.657,99.643,99.479,99.411,99.295,99.336,99.061,99.049,98.797,98.687,98.657,98.748,99.749,100.167,100.204,100.391,100.651,101.068,101.303,101.278,101.225,101.052,101.16,100.347,100.095,99.777,99.617,99.803,99.568,99.466,99.451,99.409,99.452,99.309,99.42,99.714,99.689,99.69,99.945,99.96,99.988,100.156,100.258,100.397,100.18,100.061,99.98,99.991,100.121,100.185,100.169,100.068,99.862,99.935,99.961,99.984,100.051,99.714,99.744,99.722,99.462,99.384,99.425,99.38,99.336,99.214,99.138,99.086,98.909,98.952,98.983,99.135,99.299,99.335,99.372,99.558,99.454,99.425,99.265,99.277,99.232,99.575,99.927,100.018,99.998,99.92,100.072,99.93,99.898,99.817,99.732,99.652,99.588,99.568,99.77,99.721,99.705,99.749,99.87,99.876,99.883,99.837,99.842,99.879,99.855,100.027,99.878,99.908,99.762
"46","38","    Hardware and plumbing and heating equipment wholesalers","PK42173",75.108,75.235,75.312,75.345,75.387,75.387,75.339,75.495,75.54,75.639,75.669,75.709,75.675,75.89,75.77,75.795,75.856,75.752,75.815,75.768,75.835,75.893,75.991,75.964,76.138,75.961,75.993,76.117,76.188,76.404,76.429,76.562,76.634,76.686,76.787,76.933,76.913,77.097,77.178,77.359,77.353,77.446,77.585,77.669,77.602,77.665,77.639,77.636,77.864,78.14,77.985,77.915,78.263,78.285,78.222,78.278,78.419,78.519,78.661,78.682,78.663,78.648,78.74,78.721,78.744,78.65,78.634,78.803,78.918,78.84,78.736,78.858,79.119,79.27,79.324,79.364,79.414,79.503,79.518,79.573,79.653,79.68,79.904,80.009,80.476,80.613,80.834,81.059,81.518,81.851,82.152,82.315,82.756,83.2,83.424,83.69,84.622,85.195,85.39,85.497,85.605,85.658,85.628,86.166,86.273,86.523,87.006,87.146,87.305,87.272,87.537,88.1,88.368,88.952,89.557,89.875,90.447,90.816,91.289,91.673,92,92.505,92.767,93.086,93.542,93.632,93.582,93.881,94.081,94.125,94.299,94.313,94.849,95.563,95.96,96.803,97.699,98.411,99.6,100.201,100.872,100.992,101.03,101.112,100.508,99.874,100.077,99.867,99.675,99.829,99.583,99.721,99.988,100.176,100.27,100.424,100.465,100.461,100.24,100.703,100.882,100.895,101.173,101.211,101.271,101.368,101.596,101.812,102.046,102.649,102.951,103.459,103.931,104.075,104.568,104.888,105.052,104.988,105.167,105.22,105.611,105.925,105.954,105.89,105.806,106.107,106.091,106.097,106.558,106.961,107.014,107.094,107.119,107.2,107.499,107.514,107.473,107.263,107.393,107.555,107.625,107.612,107.859,107.931,108.221,108.744,108.818
"47","39","    Machinery, equipment, and supplies wholesalers","PK42183",76.133,76.218,76.162,76.221,76.252,76.304,76.372,76.409,76.355,76.482,76.583,76.633,76.745,76.763,76.858,76.828,76.863,76.869,76.86,76.909,77.048,77.168,77.296,77.304,77.404,77.461,77.445,77.55,77.499,77.48,77.495,77.515,77.584,77.703,77.797,77.831,77.925,78.035,78.043,78.101,78.113,78.143,78.269,78.283,78.383,78.414,78.415,78.51,78.625,78.709,78.725,78.823,78.875,78.927,78.907,78.983,79.067,79.166,79.184,79.178,79.154,79.17,79.277,79.285,79.308,79.386,79.548,79.686,79.766,79.799,79.838,79.95,80.042,80.11,80.239,80.305,80.346,80.553,80.63,80.7,80.74,80.856,81.066,81.193,81.404,81.609,81.899,82.272,82.542,82.766,83.042,83.273,83.572,84.032,84.357,84.762,85.28,85.674,86.163,86.49,86.948,87.046,87.207,87.34,87.548,87.733,88.018,88.247,88.568,88.895,89.041,89.211,89.529,89.874,90.241,90.442,90.716,90.977,91.215,91.384,91.881,92.197,92.404,92.627,92.844,93.077,93.345,93.535,93.674,93.87,94.276,94.484,94.963,95.378,95.659,96.234,96.704,97.134,98.157,98.619,99.098,99.35,99.778,99.907,100.236,100.139,100.124,100.063,100.05,99.957,99.921,99.806,99.814,99.844,99.912,100.087,100.023,100.175,100.291,100.509,100.673,100.709,100.804,100.997,100.932,101.086,101.201,101.434,101.865,102.395,102.751,103.201,103.776,104.149,104.525,104.78,105.167,105.301,105.553,105.702,105.953,106.299,106.519,106.735,106.869,106.962,107.03,107.192,107.355,107.504,107.67,107.801,107.946,108.147,108.158,108.222,108.328,108.275,108.367,108.466,108.62,108.787,108.938,108.995,109.516,109.534,109.59
"48","40","    Miscellaneous durable goods wholesalers","PK42193",83.467,83.474,83.783,83.578,83.236,83.189,82.953,83.731,83.117,83.326,83.636,83.469,83.463,83.342,82.956,82.606,82.396,81.41,80.624,80.123,80.089,79.475,78.925,78.737,78.602,78.947,78.679,78.482,78.573,79.338,79.849,80.26,80.755,81.447,82.676,83.056,83.356,83.147,83.036,83.01,82.833,82.98,82.221,80.801,81.05,81.141,80.831,80.006,79.567,79.115,79.504,79.076,79.357,79.057,78.279,78.405,78.56,78.223,78.182,77.651,77.264,77.31,77.43,77.884,78.12,79.045,79.135,78.485,78.793,80.053,79.053,78.959,79.21,79.626,79.903,79.428,80.356,80.4,79.88,80.366,81.143,81.599,82.501,83.977,85.316,86.796,87.662,86.588,84.733,85.131,88.039,89.371,88.434,90.347,91.118,90.513,89.912,88.733,88.681,88.914,87.708,86.236,86.456,88.377,90.3,90.169,91.254,92.398,92.616,93.693,93.654,94.077,97.337,97.584,98.124,97.104,97.344,97.221,98.046,99.113,99.802,101.476,104.464,102.621,101.927,102.408,102.456,103.804,104.613,106.885,107.066,107.597,108.943,110.143,112.544,115.361,116.628,117.388,120.01,118.008,111.491,103.449,94.331,94.454,95.136,94.968,93.972,93.018,94.934,97.059,98.812,102.007,103.267,105.028,107.468,111.041,113.021,112.607,115.06,115.446,112.356,110.398,107.944,108.802,111.8,117.175,121.103,123.813,124.432,125.33,124.59,123.777,123.021,124.58,124.785,125.117,127.269,127.932,128.238,129.987,126.488,126.49,125.667,123.906,122.544,120.727,118.362,119.319,120.758,121.885,125.546,125.328,122.766,122.496,122.098,120.71,118.351,119.376,119.603,119.813,120.061,120.928,122.884,121.919,121.619,121.217,120.195
"49","41","  Nondurable goods merchant wholesale industries","PK42WN3",69.417,69.023,69.07,68.418,67.981,67.254,67.052,67.46,67.375,67.758,67.372,67.48,66.384,66.139,65.694,65.539,65.272,64.878,65.141,63.981,63.78,64.464,64.142,63.795,64.461,63.649,64.3,65.477,65.509,65.637,65.967,67.015,67.715,67.581,68.029,69.12,69.299,70.91,71.812,70.647,71.172,71.849,71.514,71.004,72.343,72.78,73.415,73.081,73.336,73.153,72.581,72.609,72.836,72.341,71.195,71.428,72.006,69.889,69.274,68.764,68.834,69.21,70.395,70.54,70.304,70.385,71.435,71.998,72.714,73.676,73.051,73.176,74.741,77.226,77.411,74.444,73.638,74.468,74.438,75.156,75.385,76.238,76.777,77.889,78.824,78.755,79.121,79.727,80.876,80.131,80.392,80.738,81.383,83.773,84.093,82.672,83.265,84.343,86.15,85.907,85.103,85.999,87.158,88.417,91.159,93.22,90.307,91.543,92.232,90.928,91.078,92.969,93.403,94.383,94.499,95.474,92.482,92.448,93.456,95.049,93.733,95.984,96.759,97.88,98.391,98.327,99.244,98.593,101.365,103.448,108.723,109.083,111.16,112.166,114.854,114.906,117.712,120.853,122.545,119.442,120.275,111.122,102.822,95.395,96.658,96.203,94.511,95.93,97.569,100.847,97.778,101.756,101.574,104.091,105.963,107.58,110.563,109.392,110.887,110.456,107.835,104.758,105.165,107.221,109.781,113.828,115.637,119.464,122.015,126.264,127.33,129.047,126.782,125.407,125.895,125.207,128.157,127.287,129.282,129.752,130.116,131.107,132.001,130.362,126.467,124.136,125.587,128.724,132.394,132.519,129.791,130.423,131.172,133.486,130.636,128.351,128.727,130.209,131.372,130.842,129.965,129.27,127.732,128.928,128.743,130.493,129.521
"50","42","    Paper and paper products wholesalers","PK42213",74.138,73.455,72.276,71.705,71.723,72.109,72.344,73.463,74.489,75.124,76.152,76.942,77.201,77.004,76.63,76.185,75.91,75.975,75.575,75.052,74.3,73.727,73.084,72.783,72.516,72.43,72.899,73.241,73.63,74.204,74.952,75.835,76.947,77.56,77.983,78.303,78.936,79.316,81.199,82.396,83.561,83.996,83.986,84.046,84.13,84.412,84.445,84.361,84.506,84.104,83.83,83.464,82.663,82.102,81.583,80.421,80.166,79.781,79.547,79.691,79.268,78.786,78.368,78.134,77.681,77.905,78.169,78.955,79.31,79.78,79.744,79.626,79.641,79.794,79.872,80.172,80.272,80.255,79.828,79.732,79.311,79.212,79.162,79.338,78.728,78.784,79.131,80.315,81.278,82.662,83.723,84.748,85.17,85.287,85.324,85.71,86.218,86.752,87.254,87.337,87.234,86.622,86.343,85.411,85.518,85.761,86.859,87.189,87.732,89.604,90.137,90.222,92.141,93.268,93.543,94.199,94.57,94.611,94.455,94.631,94.703,94.624,94.573,94.601,94.365,94.585,94.68,94.972,95.657,96.937,97.277,97.613,98.59,99.174,99.542,100.133,100.412,100.884,101.869,105.414,106.518,106.529,106.43,106.116,105.052,104.056,103.072,101.739,100.052,99.425,98.475,98.163,97.989,97.413,97.692,97.671,97.819,99.824,100.779,101.758,105.167,106.283,106.688,106.683,107.346,107.242,107.305,107.524,107.977,107.341,107.888,108.172,108.443,109.186,109.212,108.962,108.467,108.32,107.679,108.38,107.671,107.854,108.143,107.921,108.141,107.78,107.337,107.553,107.157,108.297,109.756,109.798,109.768,109.928,109.762,109.755,110.447,110.81,111.258,111.039,110.816,111.672,111.769,112.22,112.081,112.412,112.093
"51","43","    Drugs and druggists' sundries wholesalers","PK42223",71.065,70.769,70.537,70.347,70.475,70.547,70.573,70.754,70.866,71.096,71.295,71.543,71.597,71.951,74.925,74.924,75.231,75.505,75.748,75.808,75.874,76.133,76.344,76.467,76.363,76.252,76.385,76.187,76.253,76.992,77.173,77.21,77.526,77.741,77.907,77.877,78.025,78.027,77.888,77.945,78.127,77.999,78.262,78.635,78.708,78.652,78.614,78.728,78.818,78.956,78.905,79.01,78.675,78.98,78.797,78.807,78.92,79.126,79.211,79.21,79.258,79.38,79.452,79.523,79.573,79.806,79.897,80.199,80.351,80.616,80.587,80.651,80.794,80.72,80.988,81.162,81.304,81.545,81.708,81.737,81.999,82.183,82.421,82.551,82.998,83.08,83.259,83.665,83.747,83.616,83.631,83.864,83.93,84.286,84.547,85.004,85.142,85.782,85.919,86.267,86.763,87.102,87.802,87.948,87.818,88.003,88.468,88.49,88.754,88.942,89.082,88.913,89.527,89.617,89.898,89.935,90.038,90.267,90.444,90.833,91.211,91.418,91.375,91.636,91.781,91.975,92.218,92.765,93.022,93.369,93.563,93.755,94.045,94.743,94.925,95.324,95.654,96.184,96.601,96.846,97.255,97.66,97.994,98.069,98.795,98.476,98.929,99.233,99.413,99.676,100.226,100.452,100.59,101.077,101.367,101.769,102.284,102.555,103.123,103.216,103.427,103.694,104.179,104.398,104.715,105.034,105.131,105.158,105.687,105.873,105.256,105.406,105.417,105.29,105.528,106.082,106.458,106.972,107.226,107.425,108.232,108.196,108.607,108.812,109.303,109.54,110.008,110.82,110.55,110.99,111.081,111.135,112.3,113.042,113.18,113.796,114.445,115.05,115.262,115.138,114.58,115.073,114.905,115.628,117.664,118.329,118.996
"52","44","    Apparel, piece goods, and notions wholesalers","PK42233",97.222,97.394,97.488,97.539,97.675,97.609,97.693,97.809,97.937,97.924,97.925,97.947,98.353,98.247,98.167,98.138,98.131,97.963,97.856,97.889,98.018,97.991,97.834,97.622,97.605,97.468,97.56,97.519,97.445,97.286,97.372,97.287,97.414,97.297,97.149,97.409,97.346,97.404,97.434,97.427,97.363,96.928,97.154,97.175,97.249,97.173,97.073,97.027,97.03,97.098,97.655,97.492,97.355,97.259,97.172,97.296,96.929,96.773,96.699,96.589,96.343,96.221,95.779,95.626,95.634,95.549,95.482,95.523,95.376,95.565,95.521,96.126,95.929,95.854,96.001,96.063,96.152,95.96,95.884,96.079,96.193,96.148,96.17,96.227,96.317,96.253,96.186,96.26,96.296,96.277,96.298,96.219,96.305,96.325,96.344,96.319,96.458,96.475,96.513,96.445,96.515,96.577,96.649,96.73,97.092,96.864,96.777,96.809,96.997,97.11,96.942,97.141,97.24,97.205,97.248,97.371,97.32,97.451,97.457,97.366,97.68,97.672,97.869,97.9,97.857,97.834,97.915,98.007,98.216,98.249,98.301,98.435,98.582,98.605,98.716,98.969,98.931,98.902,99.247,99.619,99.671,99.829,100.048,100.003,100.179,100.275,100.247,100.121,99.948,100,99.858,99.889,99.924,99.98,99.957,99.622,99.762,99.797,99.844,100.118,100.052,100.289,100.677,100.817,100.819,100.877,101.274,101.811,102.939,103.832,104.662,105.525,106.508,106.973,107.84,108.466,108.905,108.859,108.982,109.28,109.242,109.594,109.564,109.62,109.594,109.265,109.258,109.179,109.211,109.669,109.74,109.665,109.639,109.83,110.059,109.891,109.829,110.032,109.49,109.973,110.12,110.165,110.227,110.249,109.929,110.014,110.236
"53","45","    Grocery and related products wholesalers","PK42243",76.341,76.382,77.232,76.423,76.8,75.797,75.478,75.91,75.898,76.827,76.018,76.578,75.908,76.426,76.137,76.715,76.033,75.737,76.533,76.043,76.301,76.776,76.323,76.625,77.635,76.476,76.874,76.546,76.75,77.028,76.636,76.617,77.496,77.271,76.606,77.304,76.697,76.811,77.032,77.383,78.054,76.936,76.993,76.349,77.219,77.736,77.965,77.278,78.334,78.778,79.324,79.192,79.716,79.36,78.722,79.477,80.033,79.717,79.307,79.696,80.26,80.752,81.608,78.216,78.535,78.402,78.585,78.384,78.161,78.609,78.473,78.332,79.7,79.442,79.703,80.249,80.64,80.273,80.325,81.274,82.44,83.555,83.351,83.87,82.531,82.129,83.235,84.192,85.733,84.965,83.829,84.221,85.31,87.522,87.339,86.897,86.41,86.972,87.448,87.712,87.507,86.955,86.186,86.224,87.256,87.465,88.094,89.34,89.16,87.049,87.231,88.014,87.204,88.044,88.735,90.391,91.023,90.855,89.892,91.74,92.042,93.76,94.887,95.571,94.375,94.25,94.268,94.195,95.172,96.645,96.583,98.393,99.241,98.378,99.561,99.416,99.932,100.939,101.044,101.107,102.244,102.123,102.421,101.609,100.797,99.671,99.342,100.096,98.786,99.559,98.792,98.964,99.114,100.818,101.222,102.997,103.093,103.571,106.439,105.74,105.035,102.267,102.98,102.942,103.503,103.594,104.474,106.002,107.092,110.799,109.921,108.93,107.488,109.613,110.661,111.536,112.321,111.706,113.491,112.795,112.363,112.005,112.385,112.232,111.442,111.884,111.763,112.604,113.088,113.55,115.086,114.637,115.855,114.353,115.685,114.517,115.356,115.746,115.701,117.055,115.849,116.423,116.371,115.679,116.608,116.846,117.56
"54","46","    Farm product raw material wholesalers","PK42253",81.348,81.183,84.27,85.705,83.867,82.602,82.667,81.531,81.342,81.184,79.001,78.266,75.128,75.704,74.565,71.871,71.862,71.976,72.464,66.944,64.491,67.018,66.695,63.923,64.603,63.538,62.725,62.174,62.641,62.445,57.78,62.423,60.57,59.972,59.949,59.263,60.894,63.633,65.75,64.593,66.211,63.714,60.941,58.956,61.131,64.106,64.596,66.5,66.979,64.77,64.829,62.522,61.921,61.779,64.626,64.281,62.973,61.309,59.823,60.315,60.521,61.087,60.451,59.213,59.538,60.263,66.474,71.328,74.44,73.518,70.698,70.071,69.971,73.075,69.96,70.686,72.336,71.967,69.489,70.91,75.5,81.037,82.698,81.866,82.096,82.112,85.105,83.788,85.925,81.537,78.695,72.922,72.98,69.504,67.902,68.578,69.824,67.725,73.201,69.639,70.739,69.565,71.367,70.339,68.992,70.405,70.518,71.124,70.347,69.592,68.528,70.186,70.369,70.422,74.256,72.677,73.927,84.676,91.946,88.861,87.488,94.372,92.501,89.948,91.631,94.093,93.336,95.79,103.725,107.441,113.427,120.167,129.264,131.229,138.333,137.987,135.538,142.117,143.742,136.408,133.452,108.623,105.559,93.225,98.534,97.143,95.532,99.858,105.241,108.077,98.127,99.866,94.41,100.869,100.608,101.717,99.544,96.698,98.229,99.371,100.93,96.75,103.578,110.963,118.288,129.91,133.724,138.302,142.03,154.226,146.525,159.849,154.939,160.625,160.387,166.895,165.705,156.773,155.887,148.625,153.724,153.615,158.187,154.333,148.964,147.846,172.299,179.483,177.492,174.921,169.354,170.986,167.416,161.959,165.854,154.383,158.607,161.543,165.616,149.014,142.622,137.35,133.764,133.261,131.691,132.64,142.352
"55","47","    Chemical and allied products wholesalers","PK42263",62.868,62.756,62.445,62.225,62.186,62.048,62.227,62.501,62.475,62.302,62.378,62.343,62.201,61.809,62.146,61.913,61.867,61.773,61.692,61.468,61.302,61.227,61.339,61.192,60.956,60.636,60.456,60.432,60.656,60.888,61.14,61.242,61.709,62.278,62.597,62.826,63.092,63.483,63.907,64.127,64.338,64.727,65.62,65.218,65.329,65.345,65.39,65.57,66.216,66.579,66.658,66.2,66.055,65.764,64.612,63.996,64.526,63.81,63.422,62.78,62.797,62.702,63.439,64.264,64.317,64.417,64.905,65.304,65.543,66.101,66.193,65.964,67.304,69.528,70.381,68.771,68.746,69.018,68.481,68.694,68.569,68.807,68.837,69.517,71.06,71.143,71.21,72.176,72.474,73.27,74.107,75.759,77.232,78.094,78.911,79.108,79.337,79.951,81.392,81.432,80.885,80.307,81.387,81.829,84.993,88.572,87.962,88.161,89.303,89.342,89.319,89.53,90.757,92.044,92.395,93.052,91.871,91.419,90.353,90.905,91.089,91.084,91.752,92.215,94.015,94.509,95.566,94.032,95.184,96.869,100.26,99.96,102.42,103.004,105.148,107.391,110.928,113.494,118.768,117.914,119.308,111.404,104.7,98.087,97.181,97.548,97.324,96.796,97.833,99.683,100.017,101.215,101.994,102.171,103.189,104.994,106.767,108.595,109.862,110.737,110.169,108.404,107.095,107.784,108.653,109.974,112.371,114.277,117.481,120.768,122.353,126.028,128.581,128.635,128.575,128.294,128.282,126.088,123.938,122.612,122.354,123.961,126.896,127.7,126.402,121.668,120.388,120.411,121.357,121.582,120.796,120.972,123.206,125.869,124.864,123.585,123.374,123.892,123.041,123.224,122.796,121.981,121.26,121.949,122.792,124.164,123.245
"56","48","    Petroleum and petroleum products wholesalers","PK42273",44.123,42.731,40.797,38.275,36.572,35.364,34.713,36.002,35.324,35.977,35.904,35.831,33.106,31.378,29.178,29.051,28.515,27.259,27.219,25.287,25.218,26.363,25.7,23.85,25.279,23.876,26.232,31.498,31.09,30.855,34.053,36.503,37.871,37.344,39.895,44.117,44.811,49.991,52.889,46.993,46.754,52.448,51.456,50.134,54.133,53.93,56.555,54.741,52.93,52.373,48.726,50.368,51.164,49.522,44.432,45.195,47.832,39.487,37.678,35.106,34.88,35.832,40.11,44.297,42.659,42.598,44.508,44.99,47.037,50.765,49.035,50.536,55.79,66.06,66.764,51.718,46.842,51.184,52.3,54.011,52.014,52.242,54.241,58.403,63.028,62.858,61.838,63.017,66.186,64.728,67.648,69.791,71.405,81.302,83.184,75.599,76.95,81.539,86.833,86,81.183,86.626,91.672,98.244,110.73,119.633,102.463,106.899,109.868,105.099,105.695,113.876,115.795,119.387,116.928,120.743,104.066,99.75,103.502,109.688,101.93,107.815,110.76,115.671,118.406,116.635,120.564,116.073,125.11,131.299,155.924,151.788,155.58,158.746,166.514,164.659,176.99,186.092,190.097,175.332,178.776,144.278,105.52,78.399,83.545,84.053,75.912,80.732,88.267,102.716,92.781,111.029,111.641,118.672,126.824,131.567,147.42,140.354,142.303,139.495,125.454,115.136,113.527,120.006,128.029,141.795,146.763,161.173,168.651,180.316,189.289,191.685,182.682,170.428,170.617,163.512,176.913,175.767,184.203,190.598,190.482,195.673,196.467,188.931,171.905,161.415,159.352,170.183,188.189,188.486,174.991,177.907,179.662,193.925,176.222,170.213,168.599,173.704,178.445,181.19,181.302,179.402,174.221,179.304,176.214,182.591,172.91
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","PK42283",78.719,78.545,78.952,78.952,79.126,78.719,78.893,78.952,77.963,77.905,77.905,78.196,78.545,78.486,78.486,78.486,78.428,78.428,78.428,78.37,78.312,78.952,79.242,79.359,79.533,79.765,79.01,79.068,79.242,79.126,79.94,79.417,79.533,79.591,79.475,79.824,79.882,80.347,80.231,79.824,82.207,82.091,82.091,82.614,82.614,83.021,82.556,83.137,84.01,83.661,84.3,84.3,84.417,84.591,84.533,84.591,84.417,84.998,85.056,85.289,85.23,85.172,85.114,85.172,85.289,85.463,85.405,85.289,85.463,85.579,86.161,86.219,85.754,85.463,86.742,86.8,86.568,86.568,86.8,86.451,85.87,87.207,86.451,87.905,89.823,89.881,90.056,89.998,87.789,87.73,87.73,89.009,87.905,88.661,88.951,88.428,91.568,91.8,92.091,91.858,92.091,91.974,92.207,92.207,92.149,92.498,92.556,92.614,93.021,93.254,93.951,94.184,93.719,93.835,93.893,91.8,91.8,91.8,92.381,93.428,92.73,93.428,91.684,92.556,92.614,93.021,93.021,93.312,93.428,93.951,94.009,94.067,94.474,96.102,96.219,96.335,96.219,96.451,96.509,96.567,96.567,97.614,97.556,97.498,98.835,99.823,99.881,99.823,99.881,100.114,99.823,99.184,99.532,101.044,101.16,101.102,101.044,100.87,101.102,100.986,101.044,100.986,100.928,100.986,101.567,103.718,103.893,104.125,104.3,104.242,104.3,104.532,104.474,104.474,104.416,104.416,104.765,107.032,107.207,107.265,107.207,107.265,107.73,107.73,107.73,107.672,108.718,109.009,109.59,110.346,110.404,110.346,110.579,110.761,111.135,111.112,111.06,111.082,111.151,111.224,111.36,111.221,111.144,111.773,111.685,111.986,112.128
"58","50","    Miscellaneous nondurable goods wholesalers","PK42293",64.791,64.721,64.929,65.254,65.235,64.835,64.778,64.726,65.21,64.96,64.909,64.809,64.572,64.382,64.194,64.277,64.583,64.49,64.763,64.736,64.913,65.058,65.08,67.642,67.709,67.512,67.633,67.694,67.631,67.793,67.66,67.829,69.305,69.341,69.337,69.352,69.06,70.521,70.308,69.895,70.233,70.297,70.308,70.736,71.106,71.589,71.687,71.861,73.78,73.854,73.992,73.659,74.283,73.891,73.731,73.651,73.497,73.072,73.359,73.192,73.059,73.008,73.576,74.411,74.566,74.661,75.094,75.39,75.718,75.615,75.463,74.24,74.711,75.343,76.048,75.851,75.954,75.816,75.032,75.21,75.46,75.839,76.316,76.784,77.286,77.695,78.153,78.627,78.665,78.385,78.587,78.706,78.78,79.1,79.335,79.244,80.25,80.434,81.432,81.903,82.161,82.689,83.174,83.459,83.628,84.049,84.12,84.582,85.326,85.172,85.309,85.701,85.806,85.571,85.896,85.859,85.466,85.776,86.3,86.532,87.058,89.109,90.278,90.956,91.176,91.584,92.434,92.388,92.939,93.604,94.717,95.841,97.927,99.548,101.81,103.987,106.314,109.978,113.254,114.525,115.003,112.998,110.058,105.656,102.561,100.262,101.097,101.115,101.24,100.027,98.607,98.379,98.239,98.652,99.657,100.135,100.789,100.973,101.932,102.414,102.911,102.986,103.043,103.304,103.911,105.231,106.504,108.093,110.592,110.479,111.885,113.557,113.296,113.648,114.951,114.618,115.288,115.152,115.968,115.47,115.447,115.394,115.708,115.739,116.263,116.073,117.267,118.022,118.292,118.004,117.369,117.787,117.675,117.827,118.095,117.71,118.192,118.114,118.029,115.903,115.825,114.649,113.558,114.801,114.812,115.725,116.43
