"","Table 1#13# National Income by Sector, Legal Form of Organizatio","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"55","48","    Taxes on production and imports less subsidies plus business current transfer payments","W478RC1",1.4,1.6,1.7,2,2.2,2.4,2.7,3.1,3.5,4,4.5,4.8,5.2,5.8,6.3,6.9,7.5,8.2,9,10,11.3,12.6,14.3,15.7,16.7,18.2,19.2,21.3,24,26.8,27.4,27.6,29.7,33.4,36.4,38.9,41.8,44.3,48.4,53.4,56,57.9,62.9,67.9,64.5,74.8,77.1,81.2,83.3,92.5,92.9,97.3,101.3,104.1,117.1,126.3,129.9,124.2,155.8,161
"56","49","  Nonprofit institutions serving households","W505RC1",3.4,3.8,4.1,4.5,4.9,5.4,5.8,6.3,6.9,7.6,8.4,9.2,10.5,11.2,12.3,13.4,14.6,16.1,18,20.2,22.8,26.3,29.4,32.8,36.3,40.3,44.8,49.9,54.4,59.4,66.5,74.7,85.6,97.2,109.1,121.5,134.4,144.2,157.6,177,197.6,216.4,238.3,258,279.9,296,308.4,327.6,342.1,359.3,382.6,404.1,430.3,454.1,486.4,512.2,543,565.2,589.2,621.2
"57","50","    Compensation of employees","W152RC1",3.2,3.6,3.9,4.3,4.6,5.1,5.5,6.1,6.6,7.3,8,8.9,10.1,10.7,11.8,12.8,14,15.3,17.2,19.2,21.7,25,27.9,31,34.3,38.2,42.6,47.3,51.6,56.4,63.2,70.9,81,91.5,102,112.9,123.9,133.6,145.8,164.9,184.2,202.1,223.4,242.1,263,277.2,290.3,308.5,321.7,337.8,360.3,381.5,407.8,430.7,463,489.5,520.7,543.8,568.3,599.4
"58","51","      Wage and salary accruals","W481RC1",3.2,3.5,3.8,4.1,4.5,5,5.4,5.9,6.4,7,7.7,8.4,9.6,10.2,11.2,12.1,13.1,14.4,16.1,17.9,20.3,23.3,25.9,28.6,31.3,34.5,38.3,42.5,46.1,50.1,56.4,63.3,72.4,81.7,91.1,99.6,108,116.1,126.4,143.2,160.8,175.3,193,208.3,225.5,236.8,248.4,264.8,278.2,294.4,313.5,331.6,354.1,375.2,401.8,423.1,444.5,461.9,489.2,517.2
"59","52","      Supplements to wages and salaries","W482RC1",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1.1,1.3,1.4,1.7,2,2.4,3,3.7,4.2,4.9,5.5,6.4,6.8,7.6,8.6,9.8,10.9,13.3,15.9,17.6,19.4,21.7,23.5,26.9,30.4,33.8,37.5,40.4,41.8,43.7,43.5,43.4,46.8,49.9,53.7,55.5,61.2,66.4,76.2,82,79.1,82.2
"60","53","    Rental income of persons","W159RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.5,0.7,0.8,0.8,1,1,1,1,1,1.1,1.2,1.4,1.5,1.7,2,2,2.1,2.3,2.2,2,2,2.2,2.2,2.2,2,2.1,2.4
"61","54","    Net interest","B1131C1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1.1,1.4,1.4,1.5,1.9,2.3,3,3.7,4.8,5.9,7.7,7.5,8.6,8.7,9.7,10.4,10.8,11.4,11.9,13.8,12.7,13.4,14.5,15.2,15.6,15.9,15.8,16.1,15.5,14.5,13.7,12.6,11.5,11.6
"62","55","    Taxes on production and imports","B1320C1",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1,1,1.1,1.1,1.2,1.3,1.3,1.3,1.3,1.5,1.6,1.8,1.9,2.1,2.2,2.4,2.6,2.8,3.1,3.4,3.5,3.6,3.8,3.8,3.9,4.2,4.3,4.6,4.8,5.2,5.6,6,6.4,6.7,7.2,7.8
"63","56","General government","A194RC1",18.1,20.1,21.2,27.7,31.5,32.4,33,34.8,37.2,39.8,42.9,44.9,48.1,51.6,55.5,59.3,64.4,69.3,78.4,87.4,97.8,107.5,119.4,130.9,143.1,155.4,169.7,189.6,206.4,225,244.7,266.1,295.5,325.2,352.7,375.3,410.4,443.7,470.4,499.1,531.7,566.2,608.5,645.6,674.6,698.6,721.1,740.3,763.3,788.5,818.4,854.3,903.2,953.7,1023.6,1096.9,1156,1217.4,1273.7,1341.8
"64","57","  Compensation of employees","A194RC1",18.1,20.1,21.2,27.7,31.5,32.4,33,34.8,37.2,39.8,42.9,44.9,48.1,51.6,55.5,59.3,64.4,69.3,78.4,87.4,97.8,107.5,119.4,130.9,143.1,155.4,169.7,189.6,206.4,225,244.7,266.1,295.5,325.2,352.7,375.3,410.4,443.7,470.4,499.1,531.7,566.2,608.5,645.6,674.6,698.6,721.1,740.3,763.3,788.5,818.4,854.3,903.2,953.7,1023.6,1096.9,1156,1217.4,1273.7,1341.8
"65","58","    Wage and salary accruals","B1663C1",16.8,18.3,20,26.3,30,30.9,31.4,32.9,35,37,39.7,41.4,44.1,47.2,50.7,53.9,58.4,62.9,70.7,78.3,87.4,95.4,105.5,114.3,124.3,133.9,143.7,157.7,169.1,181.7,197.1,212.1,233.2,254.2,274.4,289.5,310,333,354.5,377.7,403.1,429.7,463.2,489.8,509.3,526.2,543.1,560.7,577.5,598.9,625.5,655.1,695.2,734.1,781,818.1,852.2,888.4,928,977.1
"66","59","    Supplements to wages and salaries","B1664C1",1.3,1.8,1.2,1.4,1.5,1.5,1.6,1.9,2.2,2.8,3.2,3.5,3.9,4.4,4.8,5.4,6,6.4,7.7,9.1,10.4,12,13.9,16.6,18.7,21.5,26,31.9,37.2,43.3,47.5,54,62.3,71,78.3,85.8,100.4,110.6,115.9,121.4,128.6,136.6,145.4,155.9,165.3,172.4,177.9,179.6,185.9,189.5,192.9,199.3,208.1,219.6,242.5,278.8,303.8,329,345.6,364.7
"67","60","Rest of the world","A192RC1",1.5,1.3,1.4,1.9,2,1.9,2.1,2.4,2.8,3.1,2.6,2.8,3.1,3.5,4.1,4.5,4.9,5.3,5.1,5.4,6.1,6.1,6.4,7.6,8.6,12.6,15.5,13,16.8,20.3,21.6,31.9,34.2,32.9,36.5,37.1,36.3,26.5,17.8,17.9,23.6,26.2,34.8,30.4,29.7,31.9,26.2,35.8,35,32.9,21.3,33.8,38.9,43.6,30.6,56.8,76.2,93,78.3,102.4
"68","61","  Compensation of employees","A4187C1",0.1,0.1,0.1,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-1.8,-1.4,-0.9,-1.3,-2.3,-2.8,-3,-3.3,-4,-4.1,-4.1,-4.4,-4.6,-5.2,-4.6,-5.2,-5.4,-5.7,-6.1,-6.4,-6.6,-7
"69","62","  Corporate profits","B394RC1",1.3,1.1,1.3,1.7,1.9,1.8,2,2.4,2.8,3.1,2.5,2.7,3.1,3.3,3.8,4.1,4.5,4.7,4.5,4.8,5.6,6.6,7.1,7.9,9.5,14.9,17.5,14.6,16.5,19.1,22.9,34.6,35.5,29.7,32.6,35.1,36.6,38.1,39.5,48,57,67.1,76.1,76.5,73.1,76.9,77.1,92.8,101.9,110.9,103,121.5,145.7,169.7,155.8,165.5,193.4,239.4,267.5,344.7
"70","63","  Net interest","A1627C1",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0,0.2,0.1,0.1,0.3,0.4,0.5,0.5,0.6,0.5,0.6,0.4,-0.5,-0.7,-0.3,-1,-2.3,-1.9,-1.6,0.3,1.2,-1.2,-2.6,-1.2,3.4,4.1,2.2,-0.1,-11.3,-19.9,-28.8,-32.5,-39.6,-39,-43.4,-40.5,-41.7,-46.9,-52.9,-62.7,-73.6,-77.1,-82.5,-102.2,-120.9,-119.7,-102.9,-111.1,-140,-182.6,-235.2
"71",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","64","    Corporate profits with IVA and CCAdj","A445RC1",29.9,27.9,34.7,39.5,37.4,37.9,36.9,47.2,45.7,45.3,41,53,50.6,51.5,59.5,64.9,72,82.8,88.7,86.6,93.2,88.8,76.5,90.2,102.6,110.6,98.3,120.2,146.8,173.3,193.8,188.6,165.7,196.4,177.1,229.2,282,292.2,280,320.8,375.7,359.5,361.7,374.7,406.2,465,523.2,603.9,684.3,757.5,698.7,729.8,672.2,597.6,730.5,827.7,1037.8,1208.5,1401,1297.8
"74","65","      Profits before tax (without IVA and CCAdj)","E561RC1",34.6,28.5,42,43,38.3,39.9,37.4,47.5,47.6,46,40.4,51,48.5,48.3,53.2,58,64.6,75.4,82.2,78.8,86.8,84.8,73.9,85,98.3,120,130.3,130.9,163.2,191.3,223.3,237.3,218,214.1,166,198.8,232,219.3,206.5,269.6,329.1,316.6,333.4,346.5,388,440.2,500,581.5,631.2,687.2,615.3,654.4,627.7,538.2,612.6,742.6,1011.3,1381.1,1606.2,1541.6
"75","66","      Inventory valuation adjustment","B058RC1",-2.2,1.9,-5,-1.2,1,-1,-0.3,-1.7,-2.7,-1.5,-0.3,-0.3,-0.2,0.3,0,0.1,-0.5,-1.2,-2.1,-1.6,-3.7,-5.9,-6.6,-4.6,-6.6,-19.6,-38.2,-10.5,-14.1,-15.7,-23.7,-40.1,-42.1,-24.6,-7.5,-7.4,-4,0,7.1,-16.2,-22.2,-16.3,-12.9,4.9,-2.8,-4,-12.4,-18.3,3.1,14.1,20.2,1,-14.1,11.3,-2.2,-13.6,-43.1,-37.8,-39.5,-51.2
"76","67","      Corporate capital consumption adjustment","A059RC1",-2.6,-2.4,-2.3,-2.4,-1.9,-1,-0.2,1.4,0.8,0.8,0.8,2.2,2.3,3,6.2,6.8,7.9,8.6,8.6,9.3,10,9.9,9.2,9.7,10.9,10.2,6.2,-0.2,-2.3,-2.3,-5.8,-8.5,-10.2,7,18.6,37.8,54,72.9,66.5,67.5,68.7,59.2,41.2,23.3,21.1,28.8,35.7,40.7,50.1,56.2,63.1,74.5,58.6,48.1,120.1,98.7,69.7,-134.8,-165.7,-192.7
"77",NA,"  Sole proprietors and partnerships:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","68","    Proprietors' income with IVA and CCAdj","A1645C1",39.3,34.7,37.6,42.7,43.2,42.2,42.4,44.3,45.9,47.9,50.2,50.3,50.4,52.8,54.9,56,58.9,63.4,67.6,69.3,73.8,76.9,77.9,84.3,95.3,112.8,112.5,118.9,131.5,145,166,179.4,173.5,182.3,175.6,191.4,242,261.2,274.6,300.5,339.7,361.3,379,375.2,425.6,451.8,470.8,489.5,540.8,573.3,625.7,676.7,726.9,770.5,767.1,810,909.3,957.4,1011.8,1052.7
"79","69","      Farm proprietors' income with IVA and CCAdj","B042RC1",16.7,12,12.9,15.3,14.3,12.1,11.7,10.6,10.5,10.4,12.3,10,10.5,11,11,10.8,9.6,11.8,12.8,11.5,11.5,12.6,12.7,13.2,16.8,28.9,23.2,21.7,17,15.7,19.6,21.8,11.3,18.7,13.1,6,20.6,20.8,22.6,28.7,26.8,33,31.9,26.7,34.5,31.2,33.9,22.7,37.3,34.2,29.4,28.6,22.7,19.7,10.6,29.2,37.3,34.1,16.2,44
"80","70","        Proprietors' income with IVA","A043RC1",17.1,12.4,13.3,15.8,14.9,12.7,12.2,11.1,11.1,11.1,12.9,10.6,11.1,11.6,11.6,11.3,10.1,12.4,13.4,12.2,12.3,13.6,13.8,14.4,18.2,30.3,25.3,24.6,20.2,19.4,23.8,26.8,17.5,25.8,20.8,13.6,28,27.7,29.4,35.2,33.3,39.5,38.4,33.2,40.9,37.5,40.2,28.9,43.4,40.1,35.2,34.4,28.5,25.5,15.8,34.5,43.2,40.7,23.3,51.5
"81","71","        Capital consumption adjustment","B044RC1",-0.4,-0.4,-0.4,-0.5,-0.6,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.6,-0.7,-0.7,-0.8,-0.9,-1.1,-1.2,-1.4,-1.5,-2.1,-2.9,-3.2,-3.7,-4.2,-5,-6.1,-7.1,-7.7,-7.6,-7.4,-6.9,-6.8,-6.6,-6.5,-6.5,-6.5,-6.5,-6.4,-6.3,-6.3,-6.2,-6.1,-5.9,-5.8,-5.8,-5.8,-5.9,-5.2,-5.3,-5.8,-6.6,-7.2,-7.5
"82","72","      Nonfarm proprietors' income with IVA and CCAdj","A1646C1",22.6,22.7,24.7,27.5,28.9,30,30.7,33.7,35.4,37.5,37.8,40.3,39.9,41.7,43.9,45.2,49.3,51.6,54.9,57.9,62.3,64.3,65.2,71.1,78.5,84,89.3,97.2,114.6,129.3,146.4,157.6,162.2,163.6,162.5,185.5,221.4,240.4,252,271.9,312.8,328.3,347.1,348.5,391,420.6,436.8,466.8,503.4,539.1,596.4,648.2,704.2,750.8,756.5,780.8,872,923.3,995.6,1008.7
"83","73","        Proprietor's income (without IVA and CCAdj)","A1647C1",23.2,22.2,25.7,27.8,28.6,30,30.5,33.7,35.6,37.4,37.9,40,39.6,41.6,43.6,45,49,51.7,55.2,58.2,62.9,65,66.1,72,79.3,85.8,93.1,98.7,115.8,130.4,148.2,159.1,163.1,158.3,155.4,169.3,196.4,207.4,213.2,236.9,276.7,292,320.2,324.6,363.8,390.4,411.1,442.1,472.4,497.4,550.8,593.2,639.8,655,644.4,656.2,747.1,836.6,888.8,889.2
"84","74","          Inventory valuation adjustment","B179RC1",-0.4,0.5,-1.1,-0.3,0.2,-0.2,0,-0.2,-0.5,-0.3,-0.1,0,0,0,0,0,-0.1,-0.2,-0.2,-0.2,-0.4,-0.5,-0.5,-0.6,-0.7,-1.9,-3.4,-1.1,-1.1,-1.1,-1.9,-2.6,-2.9,-1.3,-0.5,-0.5,-0.4,-0.2,0,-0.8,-1.2,-1.3,-1.1,-0.1,-0.5,-0.4,-0.7,-1.5,-0.4,1,1.6,-0.5,-1.6,1.4,-0.7,-1.7,-5.5,-4.9,-3.8,-6.8
"85","75","          Capital consumption adjustment","A2205C1",-0.2,0,0.1,0,0.1,0.2,0.2,0.2,0.3,0.3,0,0.3,0.3,0.1,0.3,0.2,0.4,0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.4,-0.1,0,-0.4,-0.4,-0.1,0,0.1,1.1,2,6.5,7.6,16.7,25.4,33.2,38.8,35.8,37.4,37.6,28.1,24,27.8,30.6,26.5,26.2,31.4,40.7,44,55.4,66,94.4,112.8,126.4,130.5,91.6,110.6,126.3
"86",NA,"  Other private business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","76","    Proprietors' income with IVA and CCAdj","A1654C1",0,0,0,0,0,0,0,0,0,-0.1,0,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.6,0.7,0.8,1.1,1.3,1.1,1.1,1.7,1.9,2,1.6,1.9,2,2,2.5,2.6,2.4,2.7,2,1.5,1.5,1.4,1.3,1.2,2.3,2.4,2.9,3.5
"88","77","      Proprietors' income with IVA","B1207C1",0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.6,1.9,1.6,1.6,2.2,2.5,2.6,2.2,2.5,2.6,2.6,3.1,3.2,3,3.3,2.6,2,1.9,2,1.8,1.8,2.9,3.1,3.6,4.3
"89","78","      Capital consumption adjustment","B1411C1",0,0,0,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.4,-0.5,-0.5,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.5,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.6,-0.5,-0.5,-0.6,-0.7,-0.7,-0.8
"90","79","    Rental income of persons with CCAdj","W155RC1",4.7,4.6,5,5.3,5.4,5.5,5.6,5.6,5.6,5.6,5.8,5.7,5.7,5.8,5.9,6.1,6.1,6.3,6.4,6.3,6.4,6.3,6.5,6.5,7.6,8.8,8.6,8.7,8.7,10.4,11.3,12.7,15.7,21.3,24.7,25.4,28.1,31.9,27.3,25.2,24.6,24.1,27.8,32.7,41,44.8,50.5,54.4,57.4,58.8,58.1,58.7,59.6,65.7,57.3,52,49.2,44.2,48.6,59.2
"91","80","      Rental income of persons (without CCAdj)","W488RC1",5.2,5.1,5.5,5.9,6,6.1,6.2,6.2,6.3,6.2,6.5,6.3,6.3,6.4,6.4,6.6,6.6,6.9,7,7,7.2,7.3,7.5,7.6,8.9,10.4,10.5,11,11.2,13.4,14.8,16.8,20.6,26.7,30.5,31.3,34.2,38.1,33.7,31.9,31.5,31.4,35.2,40.1,48.5,52.7,58.7,62.9,66.2,67.8,67.5,68.6,70.1,76.8,68.7,64.1,64.9,68.1,65,76
"92","81","      Capital consumption adjustment","B050RC1",-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.6,-0.6,-0.7,-0.8,-0.9,-1,-1.2,-1.3,-1.6,-1.9,-2.3,-2.5,-2.9,-3.5,-4.2,-4.9,-5.5,-5.8,-5.9,-6,-6.2,-6.5,-6.7,-7,-7.2,-7.4,-7.5,-7.5,-7.9,-8.2,-8.5,-8.8,-9.1,-9.4,-9.9,-10.5,-11.1,-11.4,-12.1,-15.7,-23.9,-16.4,-16.8
"93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","1. Prior to 1959, the current surplus of government enterprises (lines 18 and 40) is not available",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","separately; the current surplus of government enterprises is included in line 17, taxes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","on production and imports less subsidies plus business current transfer payments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
