"","Table 2#4#4U# Chain-Type Price Indexes for Personal Consumption ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201"
"208","200","P1FREG D         Reupholstery and furniture repair","P1FREG3",19.467,19.658,19.821,19.835,19.857,19.911,19.992,20.067,20.031,20.286,20.286,20.237,20.398,20.742,20.674,20.594,20.772,20.872,20.795,21.009,21.138,21.137,21.083,21.393,21.431,21.651,21.807,21.673,21.931,22.126,22.441,22.633,22.9,23.17,23.396,23.605,23.793,24.242,24.677,24.934,25.306,25.674,26.093,26.332,26.662,27.11,27.422,27.654,27.909,27.945,28.186,28.393,28.747,29.097,29.263,29.476,29.825,30.356,30.653,30.691,31.457,32.129,32.909,34.137,34.703,34.689,34.945,35.121,35.772,36.339,36.681,37.095,37.418,38.015,38.207,38.562,39.284,39.705,40.128,40.755,41.532,42.14,42.972,43.843,44.619,45.528,46.381,46.975,48.036,48.947,49.989,51.479,52.299,53.138,53.715,54.406,54.984,55.636,56.494,57.112,57.858,58.533,59.453,60.613,60.877,61.271,62.039,62.488,62.92,63.411,63.825,64.22,64.569,65.354,65.774,66.071,66.689,67.125,67.843,67.807,68.321,68.537,68.389,68.783,70.222,71.086,70.549,71.227,71.884,72.778,73.317,74.043,74.926,75.717,77.503,78.818,79.589,80.542,81.168,81.304,81.615,81.939,82.242,82.268,82.664,82.93,83.844,84.787,85.728,86.449,87.17,88.254,88.263,88.948,89.504,89.777,89.919,90.538,91.115,93.506,95.082,95.859,96.456,96.665,97.981,99.236,101.178,101.679,103.795,106.261,108.583,109.303,110.189,111.115,112.53,114.59,115.943,116.847,117.911,118.83,121.181,124.692,126.483,127.151,128.484,131.251,132.783,135.623,136.46,137.451,139.239,141.306,143.226,143.111,143.93,147.3,149.497,152.388
"209","201","P1PSTG D         Postage","P1PSTG3",13.492,13.541,13.441,13.442,13.814,14,13.932,14.017,13.958,13.943,14.119,14.266,14.185,14.136,14.184,14.3,15.727,16.41,16.55,16.638,16.659,16.734,16.946,17.056,16.939,16.861,17.013,17.108,16.966,16.993,17.185,17.298,17.433,17.513,17.635,17.708,19.276,19.957,20.093,20.512,20.558,20.405,20.535,20.676,20.637,20.446,20.466,21.173,21.39,24.016,25.644,25.977,25.957,25.505,25.562,26.032,26.092,26.086,26.114,26.098,27.736,31.172,31.133,31.095,31.085,31.091,31.174,31.098,38.732,39.065,40.117,40.136,40.08,40.07,40.039,40.04,40.041,41.937,45.703,45.717,45.73,45.744,45.758,45.772,45.785,45.798,45.812,45.826,46.856,54.941,54.957,58.471,60.229,60.247,60.264,60.283,60.301,60.318,60.334,60.354,60.371,60.389,60.408,60.425,63.195,66.631,66.649,66.668,66.688,66.709,66.73,66.749,66.752,66.752,66.752,66.752,66.752,75.784,75.784,75.777,75.777,75.777,75.777,75.777,75.777,75.777,75.777,75.777,83.867,88.019,88.019,88.019,88.019,88.019,88.019,88.019,88.019,88.019,88.019,88.019,88.019,88.019,88.019,88.019,97.111,97.111,97.111,97.111,97.111,97.111,97.111,97.111,97.111,97.111,97.111,97.111,97.111,97.111,97.093,97.093,100,100,100,100,100,100,100,100,102.966,103.362,104.615,104.615,104.615,104.615,115.615,115.615,115.615,115.615,115.615,115.615,115.615,115.615,115.615,115.615,115.615,115.615,115.615,115.615,121.811,121.811,121.811,121.811,121.814,124.328,126.546,126.546,126.546,128.787
"210","202","P1MHOG D         Household operation services, n.e.c.","P1MHOG3",16.376,16.631,17.004,17.304,17.324,17.222,17.143,17.246,17.489,17.585,17.632,17.825,17.761,17.894,18.147,18.147,18.172,18.147,18.299,18.542,18.45,18.519,18.666,18.754,18.842,18.965,19.063,19.252,19.309,19.586,19.774,20.025,20.161,20.271,20.302,20.596,20.845,21.247,21.606,21.864,22.374,22.744,23.137,23.552,24.081,24.624,24.908,25.432,25.607,25.819,26.26,26.531,26.725,27.061,27.224,27.421,27.642,27.994,28.341,29.035,29.566,30.294,31.292,32.079,32.754,33.289,33.848,34.694,35.419,36.006,36.687,37.164,37.838,38.559,39.311,39.83,40.796,41.926,43.297,44.366,45.395,46.301,47.288,48.173,49.159,50.264,51.029,51.773,52.917,54.676,55.678,57.037,57.8,58.301,58.603,58.845,59.146,59.488,59.812,60.268,60.768,61.009,61.369,61.708,62.387,63.1,63.58,63.939,64.258,64.476,64.733,64.992,65.316,65.73,65.981,66.177,66.363,68.221,68.46,68.747,69.391,69.493,69.677,69.893,70.242,70.766,71.505,72.451,74.284,75.355,75.856,76.544,76.924,77.733,78.729,79.359,79.495,79.991,80.626,81.113,81.31,81.616,82.006,82.254,84.217,84.462,84.932,85.585,86.101,86.78,87.698,88.34,88.302,89.167,89.864,90.521,90.826,91.632,92.402,92.999,93.565,94.259,94.893,95.647,97.879,99.629,100.926,101.56,103.481,103.847,105.142,105.854,106.985,107.287,107.978,108.494,109.957,109.939,110.374,110.913,111.542,112.381,113.995,114.716,116.121,117.34,118.266,119.913,121.878,122.853,124.03,125.692,126.459,127.099,127.436,128.149,130.154,132.985
"211","203","P1TOTG B   Transportation","P1TOTG3",15.224,15.394,15.525,15.601,15.708,15.74,15.815,15.949,16.069,16.217,16.307,16.379,16.482,16.597,16.56,16.542,16.589,16.633,16.662,16.703,16.812,16.845,16.926,17.024,17.113,17.238,17.363,17.513,17.543,17.609,17.829,18.026,18.169,18.336,18.508,18.661,18.897,19.101,19.272,19.544,19.927,20.278,20.574,20.94,21.6,21.868,22.259,22.668,23.13,23.661,24.166,24.301,24.47,24.578,24.79,25.003,25.223,25.509,25.792,26.127,26.456,27.088,27.841,28.598,29.261,29.903,30.504,31.424,32.371,32.853,33.247,33.454,34.101,34.813,35.618,36.511,37.093,37.309,37.042,38.436,36.237,40.777,42.727,43.455,43.863,45.157,47.043,50.94,52.899,52.575,51.098,50.964,52.465,53.439,55.483,56.786,57.097,53.364,59.607,57.802,57.469,60.101,61.122,60.302,61.988,60.711,62.778,60.188,62.15,62.507,62.857,63.913,64.744,65.188,66.314,66.753,67.538,68.436,69.846,70.671,71.95,72.523,72.65,73.072,74.422,75.348,75.578,76.604,76.866,77.094,78.785,79.145,80.467,80.817,80.697,82.767,84.311,84.832,85.721,86.296,86.873,87.196,87.406,87.64,88.079,89.45,90.283,90.595,90.34,90.953,91.88,92.891,92.569,93.127,93.404,94.26,94.968,94.961,95.598,96.06,96.574,97.364,97.785,98.389,98.952,99.681,100.33,101.037,101.541,101.582,101.691,101.951,102.035,102.862,103.071,103.73,104.408,105.522,106.597,107.28,107.496,107.762,108.593,109.375,110.606,112.104,113.324,114.546,115.155,116.034,116.655,116.845,117.775,118.559,119.935,121.004,122.455,124.768
"212","204","P1UOSG C     User-operated transportation","P1UOSG3",14.834,15.025,15.17,15.228,15.297,15.312,15.349,15.474,15.57,15.702,15.765,15.795,15.843,15.915,15.836,15.849,15.944,16.001,16.075,16.122,16.174,16.209,16.293,16.379,16.486,16.627,16.77,16.955,16.967,17.027,17.183,17.351,17.535,17.696,17.865,18.029,18.258,18.437,18.618,18.865,19.259,19.505,19.797,20.199,20.671,20.984,21.352,21.67,22.188,22.695,23.106,23.261,23.404,23.557,23.807,23.992,24.263,24.574,24.839,25.12,25.42,26.03,26.871,27.67,28.339,28.948,29.474,30.433,31.514,31.919,32.221,32.324,33.033,33.763,34.69,35.755,36.299,36.581,36.086,38.008,34.953,40.906,42.886,42.271,41.6,42.557,43.847,48.063,49.489,48.745,46.042,45.876,48.057,49.128,51.499,53.658,54.711,48.691,56.073,53.464,52.364,55.987,58.235,56.755,58.56,57.029,59.696,56.606,59.782,60.362,61.233,62.152,62.905,63.471,64.167,64.258,65.124,66,67.48,68.371,69.012,69.743,70.343,70.948,72.017,72.64,72.863,73.712,74.513,75.076,76.846,77.221,78.158,79.238,79.889,80.908,82.195,83.089,84.026,84.782,85.73,86.37,86.805,87.738,88.346,88.901,89.537,90.154,90.954,91.11,92.133,92.585,92.461,92.902,93.047,93.577,94.573,94.844,95.482,96.441,97.008,97.708,98.222,98.742,99.179,99.658,100.291,100.871,102.108,102.613,103.443,104.193,104.812,105.56,106.274,107.019,107.678,108.621,109.39,110.121,110.459,111.215,112.324,113.465,114.905,116.337,117.504,118.115,118.511,119.346,120.028,120.923,121.984,122.693,123.976,124.663,126.134,127.879
"213","205","P1REPG C       Repair, greasing, washing, parking, storage, rental, and leasing (74)","P1REPG3",15.539,15.679,15.811,15.862,15.928,15.938,15.993,16.148,16.262,16.424,16.509,16.523,16.53,16.625,16.666,16.721,16.768,16.793,16.875,16.945,17,17.019,17.065,17.096,17.195,17.342,17.447,17.581,17.522,17.585,17.729,17.915,18.146,18.342,18.547,18.741,19.016,19.273,19.536,19.844,20.205,20.505,20.8,21.167,21.642,21.999,22.401,22.752,23.114,23.65,24.12,24.306,24.555,24.709,24.938,25.196,25.63,26.059,26.4,26.84,27.357,28.19,29.381,30.604,31.636,32.32,32.849,33.466,34.134,34.636,35.209,35.756,36.543,37.237,37.893,38.573,39.335,40.001,40.887,41.935,42.904,44,45.032,45.929,47.13,48.526,49.619,50.838,52.074,52.941,53.952,55.061,55.965,57.144,58.113,58.692,59.228,59.756,60.149,60.743,61.344,61.813,62.381,62.893,63.372,63.582,64.026,64.808,65.369,66.038,66.627,67.485,68.324,68.935,69.356,70.169,70.687,71.517,72.285,72.906,73.832,74.348,74.979,75.819,76.512,77.348,77.834,78.738,79.333,80.082,81.268,81.578,82.033,82.49,83.394,84.087,84.801,85.362,85.702,86.315,87.042,87.855,88.397,89.039,89.717,90.185,90.574,91.001,91.434,91.705,92.577,92.865,92.955,93.591,93.529,93.958,94.673,94.947,95.532,96.269,96.543,97.056,97.399,98.1,98.732,99.423,100.475,101.371,102.478,102.902,103.707,104.341,105.091,105.889,106.469,106.99,107.225,107.713,108.222,108.737,108.763,109.054,109.71,110.352,111.117,112.232,113.406,114.431,115.253,116.519,117.257,117.957,118.81,119.383,120.49,121.127,122.668,124.488
"214","206","P1ARPG D         Motor vehicle repair","P1ARPG3",15.309,15.445,15.574,15.624,15.691,15.699,15.75,15.899,16.012,16.166,16.251,16.263,16.28,16.372,16.415,16.467,16.509,16.532,16.616,16.687,16.742,16.763,16.809,16.842,16.938,17.089,17.19,17.315,17.254,17.308,17.452,17.632,17.865,18.06,18.266,18.455,18.727,18.98,19.237,19.541,19.894,20.19,20.48,20.842,21.31,21.663,22.061,22.407,22.764,23.294,23.753,23.936,24.18,24.332,24.555,24.814,25.243,25.671,26.007,26.441,26.952,27.767,28.936,30.138,31.147,31.817,32.338,32.947,33.613,34.109,34.675,35.215,35.982,36.664,37.308,37.979,38.768,39.472,40.379,41.364,42.312,43.388,44.41,45.327,46.532,47.889,48.907,50.138,51.281,52.193,53.223,54.365,55.233,56.276,57.199,57.728,58.257,58.745,59.154,59.757,60.163,60.611,61.079,61.56,61.888,62.114,62.557,63.255,63.655,64.057,64.518,65.173,65.858,66.471,66.876,67.656,68.344,69.177,69.762,70.271,71.187,71.842,72.508,73.188,73.784,74.679,75.298,76.209,76.838,77.573,78.687,79.515,80.196,80.788,81.192,81.764,82.487,83.182,83.633,84.097,84.752,85.277,85.826,86.358,86.665,87.329,87.797,88.27,88.808,89.309,90.089,90.844,91.286,91.92,92.379,92.716,93.366,93.859,94.606,95.442,95.935,96.687,97.251,97.778,98.717,99.505,100.483,101.273,102.176,102.966,104.019,105.016,105.956,107.123,107.763,108.629,109.438,110.04,110.716,111.206,111.657,112.296,113.179,114.137,115.02,115.94,117.068,118.496,119.698,121.126,122.178,123.155,124.101,125.208,126.292,127.083,128.847,130.728
"215","207","P1RLOG D         Motor vehicle rental, leasing, and other","P1RLOG3",15.185,15.343,15.485,15.532,15.593,15.615,15.692,15.869,15.975,16.176,16.249,16.275,16.212,16.319,16.338,16.405,16.477,16.521,16.576,16.629,16.68,16.683,16.723,16.743,16.835,16.93,17.061,17.236,17.207,17.322,17.448,17.652,17.839,18.012,18.184,18.383,18.645,18.89,19.158,19.458,19.832,20.118,20.415,20.771,21.226,21.573,21.945,22.287,22.636,23.15,23.637,23.826,24.098,24.258,24.508,24.739,25.151,25.543,25.883,26.315,26.831,27.686,28.869,30.054,31.037,31.703,32.201,32.806,33.474,33.988,34.555,35.087,35.855,36.534,37.18,37.841,38.366,38.665,39.286,40.671,41.621,42.727,43.708,44.366,45.48,47.014,48.5,49.501,51.139,51.598,52.349,53.093,54.079,55.939,57.065,57.882,58.399,59.128,59.365,59.838,61.571,62.128,63.2,63.837,65.079,65.19,65.604,66.775,68.179,70.287,71.548,73.503,75.153,75.677,76.153,77.087,76.489,77.228,79.014,80.256,81.166,80.826,81.203,82.907,84.096,84.493,84.18,84.963,85.319,86.092,87.543,85.602,85.157,85.085,87.8,88.877,89.492,89.568,89.525,90.593,91.543,93.218,93.726,94.665,96.366,96.265,96.43,96.727,96.887,96.59,97.677,96.89,96.226,96.868,95.765,96.373,97.208,97.039,97.301,97.84,97.687,97.742,97.668,98.693,98.745,99.257,100.449,101.549,103.062,102.799,103.128,103.037,103.389,103.411,103.857,103.615,102.564,102.793,102.912,103.497,102.514,101.971,102.089,101.984,102.474,104.053,105.338,105.437,105.399,106.305,106.362,106.47,107.131,106.605,107.752,108.073,109.151,110.833
"216","208","P1MVRG D           Motor vehicle rental","P1MVRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.46,66.992,67.64,67.952,67.129,67.835,69.58,70.788,71.882,71.782,72.234,73.717,75.271,76.025,75.441,75.935,75.507,76.341,78.425,76.104,75.433,74.71,80.027,81.175,81.573,81.695,81.123,82.759,84.493,85.121,84.435,85.421,87.006,86.314,87.227,87.5,89.312,88.282,88.426,86.832,89.558,90.625,91.871,93.106,93.123,93.398,96.478,95.675,94.569,96.85,96.756,100.291,98.945,100.102,100.595,100.316,99.512,96.325,93.674,95.26,100.845,103.283,103.531,99.799,99.183,100.59,101.488,103.034,99.334,99.013,98.339,96.623,98.217,98.718,100.531,102.283,102.312,102.719,102.875,105.907,105.841,104.172,110.129,106.001,107.646,113.694
"217","209","P1MVLG D           Motor vehicle leasing","P1MVLG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.895,84.129,83.897,86.376,86.673,87.312,88.792,89.86,90.021,89.101,89.229,91.243,91.189,90.657,91.016,92.333,94.381,94.886,94.736,93.706,93.495,94.392,93.277,94.244,95.247,95.322,95.92,96.415,96.595,99.214,100.763,101.632,103.355,103.675,103.311,103.625,102.785,102.947,104.623,104.279,101.553,101.937,99.499,99.759,99.718,99.114,98.678,99.364,99.267,98.773,98.231,98.878,98.771,99.057,100.403,101.768,103.701,103.63,104.521,103.511,102.353,101.532,101.878,101.956,100.213,99.907,99.032,99.277,97.834,96.081,95.599,95.15,94.253,95.389,96.133,95.832,95.2,96.503,96.155,95.402,95.604,94.92,94.949,95.89,96.196,95.894
"218","210","P1ALEG D             Auto leasing","P1ALEG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.803,86.045,85.821,88.332,88.614,89.275,90.82,91.909,92.04,91.131,91.169,93.202,93.013,92.372,92.694,93.899,96.037,96.635,96.396,95.323,95.024,95.858,94.737,95.722,96.655,96.658,97.149,97.6,97.626,100.224,101.758,102.638,104.479,104.709,104.148,104.351,103.466,103.577,105.347,104.727,101.807,102.228,99.726,99.826,99.718,99.108,98.665,99.35,99.264,98.772,98.232,98.88,98.775,99.052,100.397,101.763,103.694,103.621,104.509,103.497,102.345,101.522,101.867,101.938,100.185,99.875,99,99.249,97.829,96.084,95.604,95.147,94.228,95.364,96.116,95.808,95.188,96.502,96.151,95.4,95.596,94.91,94.938,95.879,96.182,95.883
"219","211","P1TLEG D             Truck leasing","P1TLEG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.677,77.64,76.879,79.37,79.595,79.97,80.95,82.059,82.927,81.894,82.826,84.846,85.476,85.55,86.122,88.019,89.945,90.176,90.352,89.44,89.454,90.625,89.43,90.287,91.837,92.201,93.198,93.745,94.169,96.819,98.438,99.383,101.162,101.809,101.936,102.493,101.561,101.79,103.308,103.456,101.197,101.561,99.24,99.751,99.744,99.128,98.689,99.374,99.285,98.795,98.255,98.903,98.793,99.086,100.432,101.79,103.714,103.643,104.533,103.526,102.365,101.543,101.882,101.959,100.207,99.897,99.023,99.266,97.852,96.104,95.622,95.171,94.259,95.385,96.117,95.828,95.212,96.512,96.173,95.42,95.616,94.931,94.958,95.899,96.207,95.902
"220","212","P1OASG D           Other motor vehicle services","P1OASG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.528,64.036,64.652,64.952,64.165,64.849,66.511,67.665,68.711,68.614,69.045,70.463,71.944,72.672,72.111,72.584,72.175,72.976,74.961,72.744,72.099,71.416,76.498,77.595,77.96,78.1,77.544,79.113,80.75,81.37,80.708,81.658,83.168,82.506,83.375,83.652,85.354,84.394,84.524,82.998,85.629,86.625,87.816,88.996,92.701,93.438,93.94,94.853,95.057,95.353,96.562,97.299,98.536,99.331,100.481,101.631,103.306,104.193,104.717,106.006,107.137,107.863,108.668,109.608,109.805,110.521,112.16,112.87,114.328,115.898,117.663,119.274,121.713,124.872,126.89,126.736,127.95,128.304,129.212,129.433,131.67,132.346,133.159,134.803,137.595,141.714
"221","213","P1ATNG C       Other user-operated transportation (76+77)","P1ATNG3",12.223,12.498,12.656,12.72,12.79,12.812,12.812,12.871,12.924,12.986,13.002,13.062,13.185,13.205,12.901,12.835,13.013,13.128,13.18,13.178,13.219,13.282,13.432,13.618,13.732,13.849,14.054,14.324,14.476,14.528,14.693,14.814,14.89,14.969,15.053,15.144,15.267,15.283,15.291,15.399,15.821,15.943,16.202,16.64,17.072,17.272,17.54,17.769,18.566,18.977,19.234,19.312,19.23,19.367,19.639,19.66,19.587,19.651,19.753,19.719,19.599,19.737,19.864,19.843,19.791,20.18,20.634,22.181,24.053,24.227,23.952,23.135,23.628,24.376,25.817,27.612,27.626,27.129,23.851,27.435,15.53,32.091,35.845,32.274,27.679,27.671,29.279,38.713,40.495,36.998,27.147,24.29,29.084,29.949,34.698,39.465,41.588,22.969,44.196,35.298,30.101,40.722,46.314,40.517,45.577,39.922,48.041,35.174,44.967,45.265,46.757,47.78,48.363,48.813,50.163,48.477,50.163,51.13,54.409,55.993,55.893,57.185,57.7,57.695,59.703,59.776,59.333,60.038,61.344,61.459,64.593,65.125,67.22,69.82,69.827,71.667,74.406,76.162,78.689,79.837,81.43,81.586,81.715,83.505,83.874,84.687,86.084,87.302,89.298,89.077,90.605,91.615,90.759,90.517,91.399,92.283,94.279,94.543,95.367,97.129,98.764,100.151,101.308,101.164,100.875,100.554,99.597,98.974,100.709,101.523,102.447,103.632,103.764,104.334,105.528,107.079,109.255,111.824,113.521,115.018,116.453,118.835,121.527,124.419,128.254,130.819,131.972,131.094,129.938,129.189,129.654,131.266,133.092,134.306,136.243,137.117,138.305,139.754
"222","214","P1TOLG C         Bridge, tunnel, ferry, and road tolls","P1TOLG3",24.79,24.764,24.797,24.724,24.81,24.823,24.856,24.768,24.825,24.855,24.724,24.754,24.82,24.844,24.836,24.844,24.799,24.709,24.745,24.764,24.777,24.798,24.772,24.779,24.828,24.813,24.793,24.89,24.838,24.811,24.798,24.856,24.798,24.848,24.832,24.831,24.794,24.768,24.775,24.778,24.779,24.771,24.761,24.777,24.782,24.782,24.776,24.774,24.782,24.797,24.783,24.764,24.776,24.797,24.787,24.758,25.022,25.458,25.722,25.861,26.14,26.428,26.609,27.057,27.398,27.624,28.073,28.48,28.661,28.76,28.99,29.358,29.658,30.069,30.238,30.117,30.45,30.716,31.254,32.376,33.166,34.062,34.899,35.445,36.37,37.63,38.867,39.7,41.035,41.483,42.134,42.785,43.656,45.229,46.163,46.847,47.268,47.959,48.189,48.598,49.558,49.959,50.764,51.227,51.87,52.141,52.625,53.521,54.866,56.638,57.919,59.106,60.431,60.978,61.712,62.097,61.529,62.175,64.008,65.201,65.816,66.904,67.327,68.126,69.858,70.926,70.549,71.165,70.633,71.52,73.6,71.623,71.032,70.463,75.524,76.724,77.412,77.497,76.925,78.6,80.635,81.209,80.746,81.861,83.161,82.497,83.372,83.629,85.364,84.391,84.529,83.008,85.595,86.616,87.812,88.991,92.701,93.44,93.941,94.856,95.06,95.357,96.566,97.302,98.54,99.336,100.485,101.635,103.306,104.197,104.723,106.011,107.14,107.866,108.671,109.611,109.809,110.526,112.164,112.874,114.335,115.902,117.666,119.277,121.717,124.875,126.894,126.74,127.955,128.309,129.216,129.437,131.676,132.351,133.166,134.809,137.605,141.72
"223","215","P1AING C         Insurance","P1AING3",11.053,11.344,11.506,11.579,11.645,11.667,11.665,11.733,11.786,11.85,11.877,11.937,12.063,12.083,11.761,11.689,11.881,12.01,12.062,12.059,12.103,12.168,12.332,12.532,12.649,12.777,13.002,13.286,13.458,13.517,13.698,13.823,13.911,13.994,14.086,14.185,14.324,14.344,14.352,14.469,14.932,15.067,15.353,15.835,16.313,16.535,16.835,17.09,17.979,18.437,18.728,18.818,18.724,18.875,19.181,19.207,19.094,19.119,19.204,19.152,18.99,19.113,19.235,19.17,19.079,19.481,19.935,21.603,23.665,23.848,23.518,22.571,23.095,23.882,25.457,27.448,27.396,26.835,23.193,27.067,13.715,32.011,36.068,32.141,26.97,26.825,28.456,38.618,40.484,36.679,25.862,22.639,27.855,28.664,33.741,38.821,41.098,20.877,43.795,34.199,28.448,39.94,45.87,39.602,45.012,38.894,47.613,33.568,44.119,44.274,45.772,46.774,47.302,47.746,49.154,47.299,49.166,50.159,53.54,55.151,54.994,56.303,56.827,56.752,58.784,58.775,58.326,59.037,60.492,60.54,63.763,64.521,66.87,69.777,69.289,71.195,74.139,76.066,78.912,80.006,81.556,81.669,81.86,83.723,83.992,84.963,86.418,87.743,89.768,89.635,91.329,92.645,91.373,90.978,91.823,92.675,94.472,94.684,95.546,97.402,99.197,100.711,101.862,101.616,101.149,100.698,99.492,98.661,100.409,101.217,102.186,103.357,103.378,103.931,105.169,106.787,109.184,111.962,113.665,115.251,116.682,119.156,121.955,124.996,128.996,131.492,132.544,131.58,130.136,129.251,129.662,131.445,133.219,134.5,136.577,137.354,138.337,139.446
